sources,product,orthographic_normalization,simplification,categorization,sitc_rev1,sitc_rev2,medicinal
toflit18,Tabac en feuilles,tabac ; en feuille,tabac ; en feuille,tabac,1,1,
toflit18,Trompettes de cuivre,trompette ; de cuivre,,,,,
toflit18,Tables de sapin peintes,table ; de sapin ; peinte,table ; de sapin ; peinte,,8,8,
toflit18,Tonneaux a l'eau cerclés de fer,tonneau ; à eau ; cerclé ; de fer,,,,,
toflit18,Verres a boire communs,verre ; à boire ; commun,,,,,
toflit18,Beuf fumé,bœuf ; fumé,bœuf ; fumé,,0,0a,
toflit18,Graine de senegré,graine ; de sénegré,,,,,
toflit18,Matreaux de 38 pieds,mâtereau ; de 38 pieds,,,,,
toflit18,Planches de sapin ; de 20 pieds,planche ; de sapin ; de 20 pieds,,,,,
toflit18,Planches de sapin ; de 7 pieds,planche ; de sapin ; de 7 pieds,,,,,
toflit18,Quincail de fer,quincaille ; de fer,quincaillerie ; de fer,quincaillerie ; de fer,6,6,
toflit18,Soliveaux de sapin de 9 pieds,soliveaux ; de sapin ; de 9 pieds,,,,,
toflit18,Matreaux de sapin de 28 pieds,mâtereau ; de sapin ; de 28 pieds,,,,,
toflit18,Matreaux de sapin de 20 pieds,mâtereau ; de sapin ; de 20 pieds,,,,,
toflit18,Planches de sapin ; de 40 pieds,planche ; de sapin ; de 40 pieds,,,,,
toflit18,Planches de sapin ; : de 17 pieds,planche ; de sapin ; de 17 pieds,,,,,
toflit18,Planches de sapin ; de 8 a 9 pieds,planche ; de sapin ; de 8 à 9 pieds,,,,,
toflit18,Soliveaux de sapin de 20 pieds,soliveaux ; de sapin ; de 20 pieds,,,,,
toflit18,Mats de navire de 65 pieds,mât de sapin ; de 65 pieds,,,,,
toflit18,Mats de navire de 45 pieds,mât de sapin ; de 45 pieds,,,,,
toflit18,Mats de navire de 38 pieds,mât de sapin ; de 38 pieds,,,,,
toflit18,Meulles de coutelier,meule ; à coutelier,,,,,
toflit18,Pierres blanches a carler,pierre ; blanche ; à carler,,,,,
toflit18,Planches de sapin ; de 6 pieds,planche ; de sapin ; de 6 pieds,,,,,
toflit18,Soliveaux de sapin de 34 pieds,soliveaux ; de sapin ; de 34 pieds,,,,,
toflit18,Balais de jongs,balai ; de jonc,balai ; de jonc,balais,8,8,
toflit18,Peaux de mouton enlaine,peau ; de mouton ; en laine,peau ; non apprêtée ; de mouton,,2,,
toflit18,Planches de noyer de 6 pieds,planche ; de noyer ; de 6 pieds,,,,,
toflit18,Roseaux,roseau,roseau,,2,,
toflit18,Soliveaux de sapin de 14 pieds,soliveaux ; de sapin ; de 14 pieds,,,,,
toflit18,Barbe de baleine,barbe ; de baleine,barbe ; de baleine,barbe ; de baleine,0,0a,
toflit18,Tabac d'Espagne,tabac ; d'Espagne,tabac ; d'Espagne,tabac,1,1,
toflit18,Bois de gayac,bois ; de gaïac,bois ; de gayac,,2,,bois ; de gayac
toflit18,Dents d'Elefant,dent ; d'éléphant,dent ; d'éléphant,,2,,
toflit18,Dents de vache marine,dent ; de vache marine,dent ; de vache marine,,2,,
toflit18,Graine a chapelets,graine ; de chapelet,graine ; de chapelet,graine,2,,
toflit18,Morüe verte,morue ; verte,,,,,
toflit18,Noix d'acajou,noix ; d'acajou,,,,,
toflit18,Ongles de caret,ongle ; de caret,,,,,
toflit18,Plomb vieux,plomb ; vieux,plomb ; vieux,,,,
toflit18,Tabac de la havanne,tabac ; de la Havane,,,,,
toflit18,Cuir de beuf en poil,cuir ; de bœuf ; en poil,cuir ; de bœuf ; en poil,cuirs ; crûs et à poil,2,,
toflit18,Mignonnete étoffe,étoffe ; mignonnette,,,,,
toflit18,Papiers,papier,papier,papier,6,6,
toflit18,Peau d'ours,peau ; d'ours,peau ; d'ours,peaux,2,,
toflit18,Argentrie,argenterie,argenterie,argenterie et orfèvrerie,8,8,
toflit18,Annizete,anisette,anisette,anisette,1,1,
toflit18,Betilles,bétille,bétille,,,,
toflit18,Bazins des L'Indes,basin ; des Indes,basin ; des Indes,,6,6d,
toflit18,Bonnet de laine,bonnet ; de laine,bonnet ; de laine,bonnet,8,8,
toflit18,Bonnets de cotton,bonnet ; de coton,bonneterie ; bonnet ; de coton,,8,8,
toflit18,Camelots de laine,camelot ; de laine,camelot ; de laine,camelot,6,,
toflit18,Camelots soye et laine,camelot ; laine et soie,camelot ; laine et soie,,???,,
toflit18,Coupes,coupis,coupis,toile ; de coton,6,6d,
toflit18,Charonin,charonin,charonin,,5,,
toflit18,Chapeaux de castor borde or et argent,chapeau ; de castor ; brodé d'or et d'argent,chapeau ; de castor ; brodé d'or et d'argent,,8,8,
toflit18,Chapeaux de castor tins,chapeau ; de castor ; fin,chapeau ; de castor ; fin,,8,8,
toflit18,Chaises roulantes averc leurs harnais,chaise ; roulante ; avec harnais,chaise ; roulante ; avec harnais,,7,7,
toflit18,Chaises et fauteuils en paille,chaise et fauteuil de paille,chaise et fauteuil de paille,,8,8,
toflit18,Caerreaux de verres à vitre,carreau ; de verre à vitre,carreau ; de verre à vitre,,6,6,
toflit18,Chaudières de fer,chaudière ; de fer,chaudière ; de fer,,6,6,
toflit18,Chaises de fer,chaise ; de fer,chaise ; de fer,,8,8,
toflit18,Drap de carcassonne,drap ; de Carcassonne,drap ; de Carcassonne,drap,6,,
toflit18,Drap de lin ayant servy,drap ; de lit ; ayant servi,,,,,
toflit18,Fayence en vaisselle,faïence ; en vaisselle,,,,,
toflit18,Flacons de verres,flacon ; de verre,flacon de verre,flacons de verre,6,6,
toflit18,Forme de terre à sucre,forme ; de terre à sucre,,,6,6,
toflit18,Guingain,guingan,,,,,
toflit18,Gant de soye,gant ; de soie,gant ; de soie,,,,
toflit18,Galon argent,galon ; d'argent,galon ; d'argent,galon,8,8,
toflit18,Grelon de cuivre,grelot ; de cuivre,grelot ; de cuivre,,8,8,
toflit18,Huile de poissons,huile ; de poisson,huile ; de poisson,huile,4,4,
toflit18,Habits de peaux complets,habit ; de peau ; complet,habit ; de peau ; complet,,8,8,
toflit18,Housses de cheval enrichies,housse ; de cheval ; enrichie,housse ; de cheval ; enrichie,,6,6,
toflit18,Horloges,horlogerie ; horloge,,,,,
toflit18,Liménéas,liménéas,,,,,
toflit18,Mocade,mocade,mocade,,,,
toflit18,Meulles à moulin,meule ; de moulin,meule ; à moulin,meule,6,6,
toflit18,Meulles à couteliers,meule ; à coutelier,,,,,
toflit18,Neganipeau,neganepeau,neganepeau,,6,6d,
toflit18,Nécanéas,nicanéas,nicanéas,,???,,
toflit18,Poudre en grenaille,poudre ; en grenaille,poudre ; en grenaille,,9,,
toflit18,Planches de sapin commune,planche ; de sapin ; commune,,,,,
toflit18,Retzà pescher,rets ; à pêcher,,,,,
toflit18,Roues à charrette,roue ; de charrette,roue ; de charrette,,6,6,
toflit18,Roues à cabroues,roue ; à cabrouet,roue ; à cabrouet,,6,6,
toflit18,Tabernacle,tabernacle,tabernacle,tabernacles,8,8,
toflit18,Tables de marbres avec leurs pieds,table ; de marbre ; avec leur pied,,,,,
toflit18,Tapisserie d'Aubusson,tapisserie ; d'Aubusson,tapisserie ; d'Aubusson,tapisserie,6,6,
toflit18,Toile petite,toile ; petite,toile ; petite,,6,6a,
toflit18,Toile de cotton des L'Indes,toile ; de coton ; des Indes,toile ; de coton ; des Indes,,6,6d,
toflit18,Toile de fleures de Rouen,toile ; de fleurs ; de Rouen,,,,,
toflit18,Toile de toupe,toile ; d'étoupe,toile ; d'étoupe,,6,6a,
toflit18,Vin de canarie,vin ; des Canaries,vin ; des Canaries,,1,1,
toflit18,Bois de chesne,bois ; de chêne,bois ; de chêne,,2,,
toflit18,ardoises,ardoise,ardoise,ardoise,6,6,
toflit18,Bois tes peintes,bois ; peint,bois ; peint,,2,,
toflit18,bercEaux denfant,berceau ; d'enfant,berceau ; d'enfant,berce et berceau,8,8,
toflit18,Bordages de chesne,bois ; bordage ; de chêne,bois ; bordage ; de chêne,,2,,
toflit18,bordelles,bourdille,bourdille,bourdille,???,,
toflit18,curous,curous,curous,,???,,
toflit18,cafas,café,café,café,0,0b,
toflit18,Cuirs d de Rousy,cuir ; de Russie,cuir ; de Russie,cuirs,???,,
toflit18,Corne a Lanterne,corne ; à lanterne,corne ; à lanterne,cornes,2,,
toflit18,comodes,commode,commode,commodes,8,8,
toflit18,Caves Garnies asorties,cave ; garnie,cave ; garnie,caves ; garnies,8,8,
toflit18,Canneles detein,cannelle,épicerie ; cannelle,épicerie,0,0b,
toflit18,Cuivre en Chaudon,cuivre ; en chaudron,cuivre ; en chaudron,,6,6,
toflit18,Couteaux de traite,couteau ; de traite,couteau ; de traite,,6,6,
toflit18,coutteaux de commons,couteau ; commun,couteau ; commun,,6,6,
toflit18,Carreaux de Verre s a vitres,carreau ; de verre à vitre,carreau ; de verre à vitre,,6,6,
toflit18,Cruches de Terre,cruche ; de terre,cruche ; de terre,,6,6,
toflit18,couperose blanches,couperose ; blanche,couperose ; blanche,,2,,
toflit18,fotase,fotas,fotas,fotas,8,8,
toflit18,fiselle,ficelle,ficelle,ficelle,6,6a,
toflit18,Fer ; en fouilLard,fer ; en feuillard,fer ; en feuillard,,,,
toflit18,guinée,guinée,guinée,,6,6d,
toflit18,guinimos,guinimos,guinimos,,???,,
toflit18,grulleau,gruau,gruau,gruau,0,0a,
toflit18,limeneas,liménéas,,,,,
toflit18,licanes,licanes,,,,,
toflit18,merurie grosiere,mercerie ; grossière,mercerie ; grossière,,???,,
toflit18,mansicot,manicot,manicot,manicot,???,,
toflit18,Moulin caffé,moulin ; à café,moulin ; à café,,7,7,
toflit18,Merain a Foncaille,merrain ; fonçaille,,,,,
toflit18,manche a Lave place,manche ; à lave place,manche ; à lave place,manches,6,6,
toflit18,nates de Paille,natte ; de paille,natte ; de paille,natte,6,6,
toflit18,nates de Jong,natte ; de jonc,natte ; de jonc,,6,6,
toflit18,pimen,piment,épicerie ; piment,épicerie,0,0b,
toflit18,paRavent,paravent,paravent,,8,8,
toflit18,sapien Violet,sapien ; violet,,,,,
toflit18,Peaux de chundernes,peau ; de chundernes,,,,,
toflit18,Pinceaux a Gaudronnes,pinceau ; à goudronner,,,,,
toflit18,Poids de bourgogne,poids ; de Bourgogne,poids ; de Bourgogne,,6,6,
toflit18,Pipe a fumer,pipe ; à fumer,pipe ; à fumer,,8,8,
toflit18,peinture grosiére,peinture ; grossière,peinture ; grossière,,5,,
toflit18,Planches de chesne commune,planche ; de chêne ; commune,planche ; de chêne ; commune,,2,,
toflit18,pupitre,pupitre,pupitre,,8,8,
toflit18,saxsafra,sassafras,,,,,
toflit18,soufre,soufre,,,,,
toflit18,tegers de Cuivre,tegers ; de cuivre,,,,,
toflit18,Tables de Sapin peinte,table ; de sapin ; peinte,table ; de sapin ; peinte,,8,8,
toflit18,Vermillons,vermillon,vermillon,,2,,
toflit18,Yeux d'escrevises,œil ; d'écrevisse,drogue ; médicinale ; œil d'écrevisse,drogue ; médicinale,2,,drogue ; médicinale ; œil d'écrevisse
toflit18,Bois de chesne a batir,bois ; de chêne de construction,bois ; de chêne de construction,,2,,
toflit18,guiné Bleue,guinée ; bleu,guinée ; bleu,,6,6d,
toflit18,gournaBles de chesne,gournable ; de chêne,gournable ; de chêne,,6,6,
toflit18,Linenas,liménéas,,,,,
toflit18,limes,lime,lime,limes,6,6,
toflit18,Noir de Fumé,noir ; de fumée,noir ; de fumée,,5,,
toflit18,Verre s a boires,verre ; à boire,verre ; à boire,verre,6,6,
toflit18,Bois a brules,bois ; à brûler,bois ; à brûler,,2,,
toflit18,lattes,latte,latte,lattes,2,,
toflit18,pierres a faune,pierre ; à faune,,,,,
toflit18,rogue,rogue,rogue,,,,
toflit18,Carreaux de pierres de Terre,carreau ; de pierre de terre,carreau ; de pierre de terre,,6,6,
toflit18,Esparsts,espar,,,,,
toflit18,Planches de chataigne,planche ; de châtaignier,,,,,
toflit18,Bois d'ebene,bois ; d'ébène,bois ; d'ébène,,2,,
toflit18,Bois a faire Meuble,bois ; pour meuble,bois ; pour meuble,,2,,
toflit18,Citrons confit,citron ; confit,citron ; confit,citrons,0,0a,
toflit18,den d'elefans,dent ; d'éléphant,dent ; d'éléphant,,2,,
toflit18,Graine d'Indigo,graine ; d'indigo,graine ; d'indigo,,2,,
toflit18,Huile d'Ours,huile ; d'ours,huile ; d'ours,,4,4,huile ; d'ours
toflit18,peleterie commune de canada,pelleterie ; commune ; du Canada,pelleterie ; commune ; du Canada,,2,,
toflit18,Peaux de chevreil,peau ; de chevreuil,peau ; de chevreuil,,2,,
toflit18,Peaux de vEau Tannées,peau ; de veau ; tannée,,,,,
toflit18,antimoine,antimoine,antimoine,antimoine,6,6,antimoine
toflit18,bois de sandal moulu,bois ; de santal ; moulu,bois ; de santal ; moulu,,2,,bois ; de santal ; moulu
toflit18,bois de brezil,bois ; de Brésil,bois ; de Brésil,,2,,
toflit18,mercerie de bois,mercerie ; de bois,mercerie ; de bois,,???,,
toflit18,orpiment,orpiment,drogue ; pour la peinture et la teinture ; orpiment,drogue ; pour la peinture et la teinture,5,,drogue ; pour la peinture et la teinture ; orpiment
"belgium,toflit18",pelles de bois,pelle ; de bois,pelle ; de bois,pelle ; de bois,6,6,
toflit18,planches de chesne,planche ; de chêne,planche ; de chêne,planches,2,,
toflit18,cordes d'auf,corde ; d'auf,corde ; d'auf,,6,6,
"belgium,toflit18",mouchoirs,mouchoir,mouchoir,mouchoirs,8,8,
toflit18,bergamottes,bergamote,bergamote,bergamotes,0,0a,
toflit18,bois à barrils,bois ; à baril,bois ; à baril,,2,,
"belgium,toflit18",bois de noyer,bois ; de noyer,bois ; de noyer,,2,,
toflit18,cheval à moyen prix,cheval ; à moyen prix,cheval ; à moyen prix,,,,
toflit18,cordages de chanvre neuf,cordage ; de chanvre ; neuf,,,,,
"belgium,toflit18",cordages vieux,cordage ; vieux,cordage ; vieux,cordage,6,6,
toflit18,cercles de bois à tonneau,cercle ; de bois ; à tonneau,,,,,
toflit18,ecorces d'orange seches,écorce ; d'orange sèche,,,,,
toflit18,filets à pescher petits poisson,filet ; à pêcher ; petit poisson,,,,,
toflit18,graines de chanvre,graine ; de chanvre,graine ; de chanvre,graine,2,,
toflit18,sucre candy,sucre ; candi,,,,,
toflit18,teraille blanche,teraille ; blanche,,,,,
toflit18,vermichelle,vermicelle,,,,,
toflit18,agourats de bois,agourat ; de bois,,,,,
toflit18,bois de rozeau,bois ; de roseau,,,,,
toflit18,chataignes,châtaigne,fruit ; cru ; châtaigne,fruits,0,0a,
toflit18,capotes,capote,,,,,
toflit18,cuirs doré,cuir ; doté,,,,,
toflit18,cuirs de beuf en poil,cuir ; de bœuf ; en poil,cuir ; de bœuf ; en poil,cuirs ; crûs et à poil,2,,
toflit18,drogues d'apoticaires,drogue ; d'apothicaire,drogue ; d'apothicaire,,???,,drogue ; d'apothicaire
toflit18,fromages de sardaignes,fromage ; de Sardaigne,fromage ; de Sardaigne,,0,0a,
toflit18,fer ouvré,fer ; ouvré,ouvrage ; de fer,ouvrage ; de fer,6,6,
toflit18,graine de verre à soye,graine ; de vers à soie,,,,,
toflit18,manne de calabre,manne ; de Calabre,manne ; de Calabre,,2,,manne ; de Calabre
toflit18,pommes et poires,pomme ; et poire,,,,,
toflit18,poisson frais,poisson ; frais,poisson ; frais,poisson,0,0a,
toflit18,pomade,pommade,pommade,pommade,5,,
toflit18,paste d'amande,pâte ; d'amande,pâte ; d'amande,pâte ; d'amande,0,0a,
toflit18,papier estrasse,papier ; estrasse,,,,,
toflit18,peau de veau en poil,peau ; de veau ; en poil,peau ; de veau ; en poil,,2,,
toflit18,poutres,poutre,poutre,poutres,6,6,
toflit18,tableau commun sur toile,tableau ; commun ; sur toile,,,,,
toflit18,toile royale,toile ; royale,toile ; royale,,6,6a,
toflit18,terre à pipes,terre ; à pipe,terre ; à pipe,terre,2,,
toflit18,cuir de beuf en poil,cuir ; de bœuf ; en poil,cuir ; de bœuf ; en poil,cuirs ; crûs et à poil,2,,
toflit18,coton filé; fin d'once,coton ; filé ; fin ; d'once,,,,,
toflit18,drogueries communes,droguerie ; commune,,,,,
toflit18,drogueries fines,droguerie ; fine,,,,,
toflit18,graine de canarie,graine ; de canarie,graine ; de canarie,,2,,
toflit18,plume d'autre brute,plume ; d'autre brute,,,,,
toflit18,peaux petites de barbe,peau ; petite ; de barbe,,,,,
toflit18,sel de saturne,sel ; de saturne,,sel,5,,sel ; de saturne
toflit18,terramerita,terra-mérita,,,,,
toflit18,vin de chipres,vin ; de Chypre,vin ; de Chypre,vin ; étranger,1,1,
toflit18,carret,caret,caret,,2,,
toflit18,sucre rafiné,sucre ; raffiné,sucre ; raffiné,sucre,0,0b,
toflit18,Liege en planches,liège ; planche,liège ; planche,liège,2,,
toflit18,Oignons d'Aubereufes,oignon ; d'Aubereufes,,,,,
toflit18,Cuirs doré,cuir ; doré,cuir ; doré,,2,,
toflit18,Cuirs de Vache en poil,cuir ; de vache ; en poil,cuir ; de vache ; en poil,cuirs ; crûs et à poil,2,,
toflit18,Corbeilles d'ozier,corbeille ; d'osier,,,,,
toflit18,Doruze fausse,dorure ; fausse,dorure ; fausse,dorure,8,8,
toflit18,Fromage de gruyere,fromage ; de Gruyère,fromage ; de Gruyère,fromage,0,0a,
toflit18,Huille d'ollive fine,huile ; d'olive ; fine,,,,,
toflit18,Peaux de veau en poil,peau ; de veau ; en poil,peau ; de veau ; en poil,,2,,
toflit18,Tapisseries filozelle et laine,tapisserie ; filoselle ; et laine,,,,,
toflit18,Caffé de Levant,café ; de Levant,café ; du Levant,café,0,0b,
toflit18,Laine de Levant,laine ; de Levant,laine ; du Levant,laine,2,,
toflit18,Merluche,Merluche,,,,,
toflit18,Raisin de Damas,raisin ; de Damas,,,,,
toflit18,Raisin sec de Provence,raisin ; sec ; de Provence,,,,,
toflit18,Truffles noires,truffe ; noire,truffe ; noire,,0,0a,
toflit18,Terique,terique,,,,,
toflit18,Bas grossiers,bas ; grossier,,,,,
toflit18,Billons de bois petits,billon ; de bois petit,,,,,
toflit18,Draps cordeillat,drap ; cordeillat,,,,,
toflit18,Charbon,charbon,charbon,charbon,3,3,
toflit18,Draps ecarlate,drap ; écarlate,drap ; écarlate,drap,6,,
toflit18,Etamine avec vin brin de soye,étamine ; avec un brin de soie,,,,,
toflit18,Jayes brut,jais ; brut,,,,,
toflit18,Peaux de veau tanées,peau ; de veau ; tannée,,,,,
toflit18,Sangles pour malets,sangle ; pour malet,,,,,
toflit18,Tableaux anciens,tableau ; à cadres dorés,,,,,
toflit18,Toile de lin fine,toile ; de lin ; fine,toile ; de lin ; fine,,6,6a,
toflit18,Terrailles,terraille,terraille,,,,
toflit18,Etoffe avec vin brin de soye,étoffe ; avec un brin de soie,,,,,
toflit18,Bougies et cierges de Cire blanche,bougie ; et cierge ; de cire ; blanche,,,,,
toflit18,Bouge,bouge,,,,,
toflit18,Cal d'artichaux,cal ; d'artichaut,,,,,
toflit18,Camelot sur soye,camelot ; de soie,camelot ; de soie,,6,6c,
toflit18,Chemises pour Soldats,chemise ; pour soldat,,,,,
toflit18,Capotes de gros dray,capote ; de gros dray,,,,,
toflit18,Chapeaux Balards,chapeau ; balard,,,,,
toflit18,Chaises garnies,chaises ; garnies,,,,,
toflit18,Fusils communs,fusil ; commun,,,,,
toflit18,Lames d'epées,lame ; d'épée,lame ; d'épée,lames,9,,
toflit18,Toile blanche fine,toile ; blanche ; fine,toile ; blanche ; fine,,6,6a,
toflit18,Eau de la reine d'Hongrie,eau ; de la reine de Hongrie,eau ; de la reine d'Hongrie,,5,,eau ; de la reine d'Hongrie
toflit18,Oüate de soye,ouate ; de soie,ouate ; de soie,,,,
toflit18,Sperme de baleine,sperme ; de baleine,,,,,
toflit18,Savonnettes de senteur,savonnette ; de senteur,savonnette ; de senteur,,5,,
toflit18,Cordes de chanvre,corde ; de chanvre,corde ; de chanvre,,6,6,
toflit18,Clochettes de fonte,clochette ; de fonte,clochette ; de fonte,,8,8,
toflit18,Dantelle du Puy,dentelle ; du Puy,dentelle ; du Puy,,6,6a,
toflit18,Etoffe d'or et soye,étoffe ; or et soie,étoffe ; or et soie,,6,6c,
toflit18,Peaux aprêtées,peau ; apprêtée,peau ; apprêtée,peaux,2,,
toflit18,Peaux de chevres en poil,peau ; de chèvre ; en poil,peau ; non apprêtée ; de chèvre,,2,,
toflit18,Peigne de Buy,peigne ; de buis,peigne ; de buis,peignes,8,8,
toflit18,Sargue,sargue,,,,,
toflit18,Prunes brugnoles,prune ; brignole,,,,,
toflit18,Sempiterne,sempiterne,sempiterne,draps ; de laine,6,,
toflit18,Sandal moulu,sandal ; moulu,,,,,
toflit18,Truffes seiches,truffe ; sèches,,,,,
toflit18,Tournesol en drapeau,tournesol ; en drapeau,tournesol ; en drapeau,,5,,
toflit18,Dorure fine,dorure ; fine,dorure ; fine,,8,8,
toflit18,Bois de St Marthe,bois ; de Ste Marthe,bois ; de Sainte Marthe,,2,,
toflit18,Cuivre en platine,cuivre ; en platine,cuivre ; en platine,cuivre,6,6,
toflit18,Harans sor,hareng ; saur,hareng ; saur,,,,
toflit18,Cochenille Mereque,cochenille ; mestèque,cochenille ; mestèque,,5,,
toflit18,Couffin de palme,couffin ; de palme,couffin ; de palme,couffins ; de palmes,6,6,
toflit18,Barils vuides de sardines,baril ; de sardine ; vide,,,,,
toflit18,Fromage de l'ardaigne,fromage ; de Sardaigne,fromage ; de Sardaigne,,0,0a,
toflit18,Galles legeres,galle ; légère,,,,,
toflit18,Gomme Adragan,gomme ; adragante,gomme ; adragante,,2,,gomme ; adragante
toflit18,Mâne de calabre,manne ; de Calabre,manne ; de Calabre,,2,,manne ; de Calabre
toflit18,Teraille noire,terraille ; noire,terraille ; noire,,,,
toflit18,Terre de fayance,terre ; à faïence,terre ; à faïence,terre,2,,
toflit18,Cuirs de beouf en poil,cuir ; de bœuf ; en poil,cuir ; de bœuf ; en poil,cuirs ; crûs et à poil,2,,
toflit18,Coque levant,coque ; Levant,coque ; Levant,coque ; levant,2,,coque ; Levant
toflit18,Sene,séné,drogue ; médicinale ; séné,drogue ; médicinale,5,,drogue ; médicinale ; séné
toflit18,Sang d'avac,sandaraque,,drogues,5,,drogue ; sandarac
toflit18,Eau de vie de charante,eau ; de vie ; de Charente,eau ; de vie ; de Charente,eau ; de vie,1,1,
toflit18,Noix de marons,noix ; de marron,,,,,
toflit18,Eau de vie Charante,eau ; de vie ; de Charente,eau ; de vie ; de Charente,eau ; de vie,1,1,
toflit18,Caffé des L'Indes,café ; des Indes,café ; des Indes,café,0,0b,
toflit18,Mignonette,mignonnette,mignonnette,mignonnette,6,6a,
toflit18,Peaux de moutons prestées,peau ; apprêtée ; de mouton,peau ; apprêtée ; de mouton,peaux,2,,
toflit18,Caffé de la Martinique,café ; de Martinique,café ; de Martinique,,0,0b,
toflit18,Eau de vie de la Charente,eau ; de vie ; de Charente,eau ; de vie ; de Charente,eau ; de vie,1,1,
toflit18,Gingembre confit,gingembre ; confit,gingembre ; confit,,0,0b,gingembre ; confit
toflit18,Peaux d'agneaux aprestées,peau ; d'agneau ; apprêtée,peau ; apprêtée ; d'agneau,peaux,2,,
toflit18,Sucre cassonnade,sucre ; cassonade,sucre ; cassonade,sucre,0,0b,
toflit18,Eau de vie de Charente,eau ; de vie ; de Charente,eau ; de vie ; de Charente,eau ; de vie,1,1,
toflit18,Artichaux secs,artichaut ; sec,artichaut ; sec,artichaut,0,0a,
toflit18,Taffetas bleu,taffetas ; bleu,,,,,
toflit18,Bas de fleures,bas ; de fleuret,bas ; de fleuret,bas,8,8,
toflit18,Bas de cotton,bas ; coton,bas ; coton,bas,8,8,
toflit18,Bas de Saint Mexant,bas ; de Saint Mexant,bas ; de Saint Mexant,bas,8,8,
toflit18,Boutons de fil d'or trait,bouton ; d'or traité,bouton ; d'or traité,bouton,8,8,
toflit18,Bouteilles vuides,bouteille ; vide,bouteille ; vide,bouteille,6,6,
toflit18,Bouchons de lièges,bouchon ; de liège,bouchon ; de liège,bouchon,6,6,
toflit18,Cuiabre boyé,cuiabre broyé,,,,,
toflit18,Couperons verte,couperose ; verte,drogue ; pour la peinture et la teinture ; couperose,drogue ; pour la peinture et la teinture,5,,drogue ; pour la peinture et la teinture ; couperose
toflit18,Coton fil,coton ; fil,,,,,
toflit18,Caffars,caffar,caffar,,???,,
toflit18,Chasselas,chasselas,chasselas,chasselas,0,0a,
toflit18,Chanoni,chanoni,chanoni,,???,,
toflit18,Calmande,callemande,callemande,,6,,
toflit18,Couvertures de laine fines,couverture ; de laine ; fine,couverture ; de laine ; fine,,6,6,
toflit18,Couvertures de laines commune,couverture ; de laine ; commune,couverture ; de laine ; commune,,6,6,
toflit18,Chemises de toiles de Morlaix,chemise ; de toile de Morlaix,,,,,
toflit18,Carizee,carizé,carizé,carizé,6,,
toflit18,Chaise roulante,chaise ; roulante,chaise ; roulante,chaises,7,7,
toflit18,Cordillatrie,cordillaterie,cordillaterie,étoffe ; de laine,6,,
toflit18,Ceinturons de soye,ceinturon ; de soie,ceinturon ; de soie,,8,8,
toflit18,Dorure,dorure,dorure,,8,8,
toflit18,D'antelle d'argent,dentelle ; d'argent,,,,,
toflit18,D'antelle de fil,dentelle ; de fil,dentelle ; de fil,,6,6a,
toflit18,Drap de laine,drap ; de laine,drap,drap,6,,
toflit18,Drogues soye et laine,drogue ; soie et laine,drogue ; soie et laine,drogues,???,,
toflit18,Draps de lin ayant servy,drap ; de lit ; ayant servi,,,,,
toflit18,Eau de vie d'Audage,eau ; de vie ; d'Andaye,eau ; de vie ; d'Andaye,eau ; de vie,1,1,
toflit18,Epée d'argent,,épée ; d'argent,épées,9,,
toflit18,Etamine de line,étamine ; de laine,étamine ; de laine,étamine,6,,
toflit18,Fontes de pistoles,fonte ; de pistolet,fonte ; de pistolet,,9,,
toflit18,Faux à faucher,faux ; à faucher,faux ; à faucher,faux,6,6,
toflit18,Fléaux à poids de fer,fléau ; de fer,fléau ; de fer,,,,
toflit18,Galon d'or et d'argent,galon ; or et argent,galon ; or et argent,galon,8,8,
toflit18,Galon d'or et d'argent faux,galon ; or et argent ; faux,,,,,
toflit18,Gras de tours,grappin ; de tours,,,,,
toflit18,Guinée blanche,guinée ; blanc,indienne ; guinée ; blanc,,6,6d,
toflit18,Guinée tachée,guinée ; tachée,guinée ; tachée,,6,6d,
toflit18,Garas blanc,garas ; blanc,garas ; blanc,toile ; de coton,6,6d,
toflit18,Guingans de madras,guingan ; de madras,,,,,
toflit18,Guingans de pontichery,guingan ; de Pontichery,,,,,
toflit18,Hamans,hamac,hamac,hamac,6,6,
toflit18,Houssesde selles,housse ; de selle,housse ; de selle,,6,6,
toflit18,Harnois de cheval,harnais ; de cheval,,,,,
toflit18,Haches de fer et acier,hache ; de fer et d'acier,hache ; de fer et d'acier,,6,6,
toflit18,Liqueurs,liqueur,liqueur,liqueur,1,1,
toflit18,Lignes d'acier,ligne ; d'acier,ligne ; d'acier,,8,8,
toflit18,Mouchoirs de pontichery,mouchoir ; de Pondichéry,mouchoir ; de Pondichéry,mouchoirs,8,8,
toflit18,Mouchoirs de Bengale,mouchoir ; de Bengale,,mouchoirs,8,8,
toflit18,Mouchoirs peint,mouchoir ; peint,mouchoir ; peint,mouchoirs,8,8,
toflit18,Miroir à cadre doré,miroir ; à cadre doré,miroir ; à cadre doré,,8,8,
toflit18,Marchandises à l'estimation,marchandise ; à l'estimation,marchandise,marchandises diverses,???,,
toflit18,Moulins à caffé doux,moulin ; à café ; doux,moulin ; à café ; doux,,7,7,
toflit18,Meulles à taillandier,meule ; à taillandier,meule ; à taillandier,,6,6,
toflit18,Merain à pipes,merrain ; à pipe,,,,,
toflit18,Noisietes,noisette,noisette,noisette,0,0a,
