simplification,sitc_rev2,note
fruit ; sec ; raisin,0a,
fruit ; sec ; pruneau,0a,
fruit ; sec ; prune et pruneau,0a,
fruit ; sec ; pistache,0b,
fruit ; sec ; orange,0a,
fruit ; sec ; noix et noisette,0a,
fruit ; sec ; noix,0a,
fruit ; sec ; figue,0a,
fruit ; sec ; divers,0a,
fruit ; sec ; datte,0a,
fruit ; sec ; châtaigne,0a,
fruit ; sec ; avelines et noisette,0a,
"fruit sec ; amande, figue et raisin",0a,
fruit ; sec ; amande et raisin,,
fruit ; sec ; amande,0a,
fruit ; sec,0a,
fruit ; salé et au vinaigre ; olive,0a,
fruit ; salé ; olive,0a,
fruit ; salé ; mariné,0a,
fruit ; rude,0a,
fruit ; raisin ; de Corinthe,0a,
fruit ; raisin,0a,
fruit ; pruneau,0a,
fruit ; prune et pruneau,0a,
fruit ; prune ; sèche,0a,
fruit ; pomme et noix,,
fruit ; pistache,0b,
fruit ; orange,0a,
fruit ; noisette,0a,
fruit ; mêlé,,
fruit ; moulu ; divers,0a,
fruit ; grenade,0a,
fruit ; frais ; raisin,0a,
fruit ; frais ; orange ; citron,0a,
fruit ; frais ; olive,0a,
fruit ; frais ; divers,0a,
fruit ; frais ; amande,0a,
fruit ; frais,0a,
fruit ; figue,0a,
fruit ; en somme,0a,
fruit ; en figue,0a,
fruit ; en confiture,0a,
fruit ; dur mêlé,,
fruit ; divers ; citron ; orange,0a,
"fruit ; divers ; amande, pelure, raisin, prune",,
fruit ; de Corinthe,0a,
fruit ; cuit,0a,
fruit ; cru ; vendange,0a,
fruit ; cru ; raisin,0a,
fruit ; cru ; prune de ...,0a,
fruit ; cru ; pomme et poire,0a,
fruit ; cru ; pomme,,
fruit ; cru ; orange,0a,
fruit ; cru ; marron,0a,
fruit ; cru ; divers,0a,
fruit ; cru ; citron et orange,0a,
fruit ; cru ; citron,0a,
fruit ; cru ; châtaigne et marron,0a,
fruit ; cru ; cedras,0a,
fruit ; cru ; bigarade,0a,
fruit ; cru ; bergamote,0a,
fruit ; confit ; à l'eau de vie et au sucre,0a,
fruit ; confit ; à l'eau de vie,0a,
fruit ; confit ; olive,0a,
fruit ; confit ; en vinaigre,0a,
fruit ; confit ; en confiture,0a,
fruit ; confit ; divers,0a,
fruit ; confit ; confiture et au sucre,0a,
fruit ; confit ; confiture,0a,
fruit ; confit ; au sucre,0a,
fruit ; confit,0a,
fruit ; citron,0a,
"fruit ; châtaigne, marron, noix",0a,
fruit ; châtaigne,0a,
fruit ; au vinaigre ; divers,0a,
fruit ; au vinaigre ; cornichon,0a,
fruit ; au vinaigre,0a,
fruit ; amande,0a,
fruit,0a,
grain ; froment ; en gerbe,,
fromage et souffre,,
fromage et plomb,,
fromage ; en jambon,0a,
fromage ; du pays,,
fromage ; de lait doux,,
fromage ; de chèvre,0a,
fromage ; de Suisse,0a,
fromage ; de Sassenage,0a,
fromage ; de Sardaigne,0a,
fromage ; de Roquefort,0a,
fromage ; de Parmesan,0a,
fromage ; de Parme,,
fromage ; de Normandie,,
fromage ; de Milan,0a,
fromage ; de Marottes,0a,
fromage ; de Karolles,0a,
fromage ; de Hollande et doux,,
fromage ; de Hollande,0a,
fromage ; de Gruyère,0a,
fromage ; de Comté,0a,
fromage ; de Chester,0a,
fromage ; de Brie,0a,
fromage ; d'Auvergne,0a,
fromage ; d'Angleterre,,
fromage ; cru,0a,
fromage ; commun,0a,
fromage,0a,
froc de laine,,
froc de Bolbec,,
frise ; étoffe,,
frise ; à la Gode,,
frise ; sèche,,
frise,,
frisade ; teinte,,
frisade et bergopzoom,,
frisade ; blanche,,
frisade,,
friperie,8,
frions,,
frange ; or et argent ; faux,6c,
frange ; or et argent,6c,
frange ; or,6c,
frange ; de soie,6c,
frange ; or ; faux,6c,
fraisset ; de vermillon,,
fourré,,
fourrure et grande peau,,
fourrure ; morceau,,
fourrure ; de soie,,
fourrure ; de phoque,,
fourrure ; de petit gris,,
fourrure ; de martre,,
fourrure ; de léopard,,
fourrure ; de lynx,,
fourrure ; de lapin,,
fourrure ; de chèvre,,
fourrure ; de chevreuil,,
fourrure ; de chaton,,
fourrure ; de chat,,
fourrure ; de Russie,,
fourrure ; d'agneau,,
fourrure,,
foureau ; de bajonette,,
foureau ; d'épée et de sabre,,
foureau ; d'épée de toute espece,,
fourreau ; d'épée,,
fourrage et patûrage,0a,
fourrage ; vesse,0a,
fourrage ; son,0a,
"fourrage ; paille, son, foin",0a,
fourrage ; paille,0a,
fourrage ; herbe et trèfle,,
fourrage ; gland de chêne,0a,
fourrage ; foin,0a,
fourrage ; divers,0a,
fourrage,0a,
fourniment,6,
fourneau ; de terre,7,
fourneau ; de fer,7,
fourneau ; de brique,7,
fourchette,,
four,7,
foulerie,,
foulas,,
foulard ; pour femme en tissu très fin,,
foulard ; en soie,,
foulard,8,
fouet,6,
fotas,8,
fotail,,
fort ; en diable,,
forme ; à sucre,6,
forme ; à soulier,6,
forme ; à cordonnier,6,
forme ; de chapeau,6,
force ; à tondre,6,
force ; à drapier,6,
fonte ; de pistolet,,
fonte,,
fontaine de fer blanc ; avec lève cuvette,8,
fontaine de fer blanc,8,
fond à meule ; blanc,6,
fond ; de bateau/navire ?,,
fond ; de bassin,6,
fond ; ?,,
folium ; geriofilalum,,
folium,,
foin,0a,
flûte ; douce,,
flûte,8,
poisson ; flétan ; salé,,
poisson ; flétan,,
fléau ; de fer,,
flèche ; marine,,
flèche,,
flotteur ; en écorce,,
fleuret et lame de fleuret,,
fleuret,,
fleur de muscade,,
fleur ; de violette,,
fleur ; de souffre,,
fleur ; de rose,,
fleur ; de romarin,,
fleur ; de poix,,
fleur ; de pin,,
épicerie ; muscade ; fleur,0b,
moutarde ; fleur,0a,
fleur ; de lavande,,
fleur ; de jasmin,,
fleur ; de jardin,,
fleur ; de dictame,,
fleur ; de cannelle,,
fleur ; de bouquet,,
fleur ; de Chine,,
fleur ; d'oranger et de lavande,,
fleur ; d'oranger,,
fleur ; d'orange,,
fleur ; d'estima,,
fleur ; d'esquinante,,
fleur ; d'avoine,,
fleur ; d'aspic,,
fleur ; artificielle,,
fleur ; aromatique,,
fleur,,
poisson ; flet et carrelet,,
flanelle et Bergopzoom,,
étoffe ; de laine ; flanelle ; rayée,,
étoffe ; de laine ; flanelle ; peint,,
étoffe ; de laine ; flanelle ; blanche,,
étoffe ; de laine ; flanelle,,
flambeau ; d'harpoise,,
flambeau ; argenté,6,
flambeau,6,
flacon ; vide,6,
flacon de verre,6,
flacon ; de crème,6,
flacon,6,
fiole pour apothicaire,,
finette,,
fine et biscuit,,
"filoselle, fleuret et bourre de soie",,
filoselle et bourre de soie,,
filoselle,,
filoers ou safran sauvage,,
filin,6,
filet ; à sennes,6,
filet ; à sardine,,
filet ; pour la pêche,6,
filet ; de verre,,
filet ; de patine,6,
filet ; de palme,6,
filet ; de lin tord cru et simple cru,,
filet ; de lin cru pour toile,,
filet ; de lin cru pour dentelle,,
filet ; de lin cru haut prix,,
filet ; de lin cru de bas prix,,
filet ; de lin cru de 10 à 12 florins la livre,,
filet ; de lin blanc pour dentelle,,
filet ; de lin blanc et cru pour dentelle,,
filet ; de lin blanc de 5 à 8 florins la livre,,
filet ; de lin blanc de 10 à 12 florins la livre,,
filet ; de lin blanc ; non tordu,,
filet ; de laine pour tenture,,
filet ; de laine ou sayette teinte,,
filet ; de laine ou sayette blanche,,
filet ; de filoselle,,
filet ; de Turquie teint,,
filet ; de Turquie cru,,
filet ; de Turquie blanc,,
filet ; d'auf,6,
filet ; cru pour toile,,
filet ; blanc haut prix,,
filet ; blanc bas prix,,
filet,6,
filasse,6,
filage,,
fil ; écru,6a,
fil ; à voile,6a,
fil ; à tricoter,,
fil ; à toile,6a,
fil ; à tisserand ; divers,6a,
fil ; à tisserand ; de chenette,6a,
fil ; à senne,6,
fil ; à rez,6,
fil ; à papillon,6,
fil ; à marquer,6,
fil ; à ligne,6a,
fil ; à forme,6a,
fil ; à fondre,6a,
fil ; à folle,6a,
fil ; à faire toile cru,6a,
fil ; à esturgeon,6,
fil ; à dentelle ; sain,6a,
fil ; à dentelle ; moyen,6a,
fil ; à dentelle ; mi fin,6a,
fil ; à dentelle ; fin,6a,
fil ; à dentelle ; cru,6a,
fil ; à dentelle ; commun,6a,
fil ; à dentelle ; blanc,6a,
fil ; à dentelle,6a,
fil ; à coudre ; à voile,6a,
fil ; à coudre ; moyen,6a,
fil ; à coudre ; en poignée,6a,
fil ; à coudre ; en masse,6a,
fil ; à coudre ; du fin,6a,
fil ; à coudre ; divers,6a,
fil ; à coudre ; de ritte,6a,
fil ; à coudre ; de ménage,6a,
fil ; à coudre ; de couteau,6a,
fil ; à coudre ; de couleur,6a,
fil ; à coudre ; de chanvre,6a,
fil ; à coudre ; de Rennes,6a,
fil ; à coudre ; de Piedmont,6a,
fil ; à coudre ; de Bretagne,6a,
fil ; à coudre ; commun,6a,
fil ; blanc ; à coudre,6a,
fil ; à coudre,6a,
fil ; à cordonnier,6a,
fil ; à broder,6a,
fil ; à brocher,6a,
fil ; à Sennes,6a,
fil ; tord,6a,
fil ; teint,6a,
fil ; single,6a,
fil ; retord,6a,
fil ; pour dentelle ?,,
fil ; plat,6a,
fil ; or et argent ; fin,6,
fil ; or et argent,6,
fil ; non retord,6,
fil ; long,,
fil ; gros,6a,
fil ; gris single,6a,
fil ; gris ; simple,6a,
fil ; gris,6a,
fil ; fin,6a,
fil ; everda,6a,
fil ; en poignée,6a,
fil ; en masse,6a,
fil ; en gueule,6a,
fil ; double,,
fil ; dorure ; or et argent ; fin,6,
fil ; dorure ; or et argent faux,6,
fil ; dorure ; or et argent,6,
fil ; dorure ; d'or et d'argent ; faux,6,
fil ; dorure ; d'or ; fin,6,
fil ; dorure ; d'or,6,
fil ; dorure ; d'argent,6,
fil ; divers de lin et de chanvre,6a,
fil ; divers,6a,
fil ; de ville,6a,
fil ; de soie,6c,
fil ; de ritte,6a,
fil ; de poil ; de chèvre,,
fil ; de palangre,6a,
fil ; de ménage,6a,
fil ; de loupe,6a,
fil ; de lin teint,,
fil ; de lin et de chanvre,6a,
fil ; de lin ; écru ; audelis,6a,
fil ; de lin ; écru,6a,
fil ; de lin ; à coudre,6a,
fil ; de lin ; teint ; à coudre,6a,
fil ; de lin ; teint ; retord,6a,
fil ; de lin ; simple ; commun,6a,
fil ; de lin ; simple,6a,
fil ; de lin ; retord,6a,
fil ; de lin ; non retord,6a,
fil ; de lin ; gris ; simple,6a,
fil ; de lin ; gris ; retord,6a,
fil ; de lin ; fin ; retord,6a,
fil ; de lin ; divers,6a,
fil ; de lin ; de couleur,6a,
fil ; de lin ; crû ; simple,6a,
fil ; de lin ; crû,6a,
fil ; de lin ; blanc ; simple,6a,
fil ; de lin ; blanc ; retord,6a,
fil ; de lin ; blanc,6a,
fil ; de lin ; bis ; simple,6a,
fil ; de lin ; bis ; retord,6a,
fil ; de lin ; bis ; blanc,6a,
fil ; de lin ; bis,6a,
fil ; de lin,6a,
fil ; de laiton ; argenté,,
fil ; de laiton,6,
fil ; de laine ; à coudre,,
fil ; de laine ; teint,,
fil ; de laine ; blanc,,
fil ; de laine,,
fil ; de fleuret,6c,
fil ; de fer ; à carde,6,
quincaillerie ; de fer ; fil,6,
fil ; de cuivre,,
fil ; de crin,,
fil ; de couleur,6a,
fil ; de coton ; teint,,
fil ; de coton ; blanc,,
fil ; de coton,6d,
fil ; de corailleur,6a,
fil ; de chèvre,,
fil ; de chevrette,,
fil ; de chenette,,
fil ; de charrette,6a,
fil ; de chanvre,6a,
fil ; de caret,6a,
fil ; de Turquie,,
fil ; de Silésie,6a,
fil ; de Rennes,6a,
fil ; de Piémont,6a,
fil ; de Niort,6a,
fil ; de mulquinerie,6a,
fil ; de Morlaix,6a,
fil ; de Flandre ; fin,6a,
fil ; de Bretagne,6a,
fil ; de Bourgogne,6,
fil ; de Bieustons,6a,
fil ; d'étoupe,6a,
fil ; d'épreuve,6,
fil ; d'or et d'argent,6,
fil ; d'or ; fin,6,
fil ; d'or ; faux,6,
fil ; d'or,6,
fil ; d'argent,6,
fil ; d'archal,6,
fil ; d'arbalète,6,
fil ; d'acier,,
fil ; d'Espinay,6,
fil ; cru ; à toile,6a,
fil ; cru ; simple,6a,
fil ; cru,6a,
fil ; cardé,6,
fil ; blanc et couleur,6a,
fil ; à coudre ; blanc,6a,
fil ; blanc ; retord,6a,
fil ; blanc,6a,
fil ; auville,6a,
fil ; à tisserand,6a,
fil,6a,
figure ; en plâtre,8,
figure ; de cire habillée,,
figure ; de bronze,8,
figure,8,
figue et sumac,,
figue et raisin,0a,
figue,0a,
fideau,,
fichu,,
ficelle,6a,
fiasque,,
feutre,,
feuille et herbe ; à teindre,,
feuille a poing,,
feuille ; de laurier,,
feuillard ; en bois,,
feuillard ; de fer,,
feuillard ; de bois,,
feuillard,,
feu ; argenté,8,
fert ; ouvré,,
ferré,,
ferronnerie,,
ferrement ; à sucre,6,
ferrement,6,
ferrandine,,
ferraille ; vieille,,
feraille,,
ferblanterie,6,
fer et canon de fer,,
fer et acier,6,
fer ; écuré avec de l'acier,,
fer ; à sculpter,,
ouvrage ; de fer ; à repasser,6,
ouvrage ; de fer ; à nègre,6,
fer ; à moulin,6,
fer ; à lame,6,
fer ; à la valeur,6,
fer ; à friser,6,
fer ; à coiffure,,
fer ; à cheval,6,
fer ; vieux,6,
fer ; tôle,6,
fer ; suédois,,
fer ; spatté,6,
fer ; roue,6,
fer ; rond,6,
fer ; raille,6,
fer ; quarré,6,
fer ; pour foyer,6,
fer ; plat,6,
ouvrage ; de fer pour maréchal,,
fer ; ouvré et battu,,
fer ; ouvré en son et vesse,6,
ouvrage ; de fer ; de plomb,6,
ouvrage ; de fer,6,
fer ; noir ; en feuille,,
fer ; noir et en tôle,6,
fer ; noir ; simple,6,
fer ; noir,6,
fer ; neuf,6,
fer ; marth,6,
fer ; marchand,,
fer ; maqua,6,
fer ; malléable,,
fer ; forgé,,
fer ; fondu et coulé,,
fer ; figuré,6,
fer ; ferrement,6,
fer ; en étrille,6,
fer ; en étau,6,
fer ; en écope,6,
fer ; en verge et Latte,,
fer ; en verge,6,
fer ; en tôle et en feuille,6,
fer ; en tôle,6,
fer ; en tuyau,6,
fer ; en truffe,6,
fer ; en taillanderie,6,
fer ; en suc,6,
ouvrage ; de serrurerie ; fer,6,
fer ; en scie,6,
fer ; en rechaux,6,
fer ; en rampe,6,
fer ; en poêle à frire,6,
fer ; en poterie,6,
fer ; en poids,6,
fer ; en plature,6,
fer ; en platine,6,
fer ; en plate,6,
fer ; en plaque,6,
fer ; en plançon,6,
fer ; en pivot,6,
fer ; en pierrier,6,
fer ; en pelle,6,
fer ; en paquet,6,
fer ; en palme,6,
outil ; en fer,6,
fer ; en mitraille,6,
fer ; en mine,6,
fer ; en metume,6,
fer ; en masse,6,
fer ; en marmite,6,
fer ; en lèchefrite,6,
fer ; en limaille,6,
fer ; en lame,6,
fer ; en gueuse,6,
fer ; en grillon,6,
fer ; en grille,6,
fer ; en grillage,6,
fer ; en grenaille,6,
fer ; en gratte,6,
fer ; en grappin,6,
fer ; en fléau,6,
fer ; en figure,6,
"fer ; en feuille, feuillard et tôle",6,
fer ; en feuille double,,
fer ; en feuille,6,
fer ; en feuillard et en cercle,6,
fer ; en feuillard,,
ferraille,,
fer ; en fafion,6,
fer ; en essieu,6,
ouvrage ; de fer ; enclume et étau,6,
fer ; en culture,6,
fer ; en crapaudine,6,
fer ; en couvercle,6,
fer ; en compas,6,
fer ; en coffre,6,
fer ; en clou,6,
fer ; en cloche,8,
fer ; en cierge,,
fer ; en chou,6,
fer ; en chaudronnerie,6,
fer ; en chaudière,6,
fer ; en charrue,7,
fer ; en chape,6,
fer ; en cercle,6,
fer ; en caverge,6,
fer ; en casse,6,
ouvrage ; de fer ; carillon,8,
fer ; en brancard,6,
fer ; en boue,6,
fer ; en botte,6,
fer ; en bombe,6,
fer ; en boite,6,
fer ; en bocage,6,
fer ; en batterie,6,
fer ; en bassin,6,
fer ; en barre et verge,6,
fer ; en bande,6,
fer ; en ballon,6,
fer ; en balance,7,
fer ; en Guéné,6,
fer ; en ?,6,
fer ; de tête,,
fer ; de traite,6,
fer ; de lin Cierge,6,
fer ; de fonte ; ouvré,6,
fer ; de fonte,6,
fer ; de charrue,,
fer ; courbe,6,
fer ; caverge,6,
fer ; blanc ; vieux,6,
fer ; blanc simple,6,
ouvrage ; de fer ; blanc,6,
fer ; blanc en tôle,6,
fer ; blanc ; en feuille,6,
fer ; blanc ; en barre,6,
fer ; blanc,6,
fer ; battu et fondu,6,
poêle ; de fer,6,
fer ; battu,6,
fer ; argenté,6,
fer ; Dhipsium,6,
fer,6,
fenugrec,,
fenouil,0a,
"faïence, poterie et verrerie",6,
"faïence, poterie ; de grès et de terre",6,
faïence et poterie,6,
faïence ; en carreau,6,
faïence ; diverse,6,
faïence ; de Rouen,6,
faïence ; commune,6,
faïence,6,
fayotte,,
favelotte ; en gerbe,,
favelotte,,
faux et faucille,6,
faux ; à faucher,6,
faux,6,
fauteuil de tapisserie,8,
faute,,
fautas,,
faucon,,
faucille,6,
fataille vidée,,
fasoche,,
fascine ; de bois,,
"farine, pâte et vermicelle",0a,
"farine, gruau, biscuit et pâte",0a,
"farine, gruau et pâte",0a,
"farine, gruau et biscuit",0a,
"farine, biscuit de mer et pâte d'Italie",0a,
"farine, biscuit et pâte",0a,
farine et pâte ; d'Italie,0a,
farine et biscuit de mer,0a,
farine ; ordinaire,0a,
farine ; en tonneau,,
farine ; en sac,,
farine ; en fleure,0a,
farine ; en déchet,0a,
farine ; diverse,0a,
farine ; en gruau,0a,
farine ; de grain ; seigle,0a,
farine ; de grain ; sarrasin,0a,
farine ; de grain ; froment ; fleur,0a,
farine ; de grain ; froment,0a,
farine ; de fleur,0a,
farine ; de bouquette,0a,
farine ; de grain ; blé,0a,
farine et gruau ; d'orge,0a,
farine ; d'orge,0a,
farine ; d'avoine,0a,
farine,0a,
farce a drapier,,
fanon ; de baleine,,
fanon,,
fange ; de soie,6c,
fanal de vaisseau,8,
fanal ; de verre,,
fanaile,,
faltranck suisse,,
falquiere de mulet,,
faisan,0a,
faille de laine,,
drogue ; médicinale ; quinquina ; extrait,,
extrait ; de lavande,,
extrait ; de genièvre,,
extrait ; de citron,,
extrait ; d'odaw,,
euphorbe,,
etoffe ; mélangée ; diverse,,
etoffe ; mélangée,,
étoffe ; de soie en dorure,6c,
étoffe ; de soie ; brodée,6c,
etoffe ; brodée et brochée,,
etoffe ; bourrée ; de soie,6c,
étoffe ; au 1/4 de soie,6c,
etendelle,6,
etaya,,
etave,6,
estère de jonc,8,
esturgeon ; salé,,
esturgeon ; mariné,0a,
esturgeon ; en daube,,
estrasse ; de soie,6c,
estrasse ; de Savoie,6c,
estampe et gravure,8,
estampe et carte géographique,8,
estampe ; en feuille,8,
estampe,8,
estagnon,6,
essieu ; de fer,6,
essieu,,
essence ; de thym,,
essence ; de rose,,
essence ; de paruce,,
épicerie ; muscade ; essence,0b,
essence ; de jasmin,,
essence ; de girofle,,
essence ; de citron,,
essence ; de cendre de bois,,
essence ; de cannelle,,
essence ; de bergamote,,
essence ; d'anis,,
essence ; au bruit ; aromatique,,
essence,,
esquine,,
esprots fumé,,
esprit ; de vitriol,,
esprit ; de vin,,
esprit ; de souffre,,
esprit ; de sel,,
esprit ; de romarin,,
esprit ; de nitre,,
esprit ; de myrrhe,,
esprit ; de lavande,,
esprit ; de fleur d'orange,,
esprit ; de fil,,
esprit ; de cèdre,,
esprit ; de coton,,
esprit ; de corne de cerf,,
esprit ; de coclearia,,
esprit ; de citron,,
esprit ; de bergamote,,
esprit ; d'absinthe,,
esprit,,
étoffe ; espagnolette,,
espadrille,8,
espadon,,
escot ; de fer,,
escortine,,
escope,6,
esco,,
esclephins ; salé,,
esclephins,,
escayolle,,
escargot,0a,
escarbille,,
escarasse,,
escamite,6d,
ergot ; de bœuf,,
equine,,
equeurs,,
entenolle,,
engrais ; gru,,
engrais ; divers,,
engrais,,
endive,,
encre ; à écrire et à imprimer,,
encre ; à écrire,8,
encre ; rouge,8,
encre ; de la chine,8,
encre ; d'imprimerie,,
encre ; commune,,
encre,,
ouvrage ; de fer ; enclume,6,
encens et savon,,
encens,,
empeigne ; peinte pour soulier,,
empeigne et talon de cuir coupé,,
empeigne ; de toille,,
empeigne ; de soulier,6,
empeigne ; couppé pour empeigne ;,,
empeigne ; brodée pour soulier,,
empeigne,6,
embarcation et autre objet de marine,7,
embarcation ; avec agrès,7,
elegias,,
elbot ; salé,,
elbot,,
efforce à tondre,,
effilé ; de soie,6c,
effilé ; de fil,6a,
effet ; à déménager,,
echaussillon,,
ecart de bœuf,,
écaille ; diverse,,
eau et huile spiritueuse,1,
eau ; vulnéraire,,
eau ; spiritueuse,1,
eau ; sans pareille,,
eau ; rose,,
eau ; remède,,
eau ; puante,,
eau ; octaze,,
eau ; ocgeniente,,
eau ; médicinale et minérale,,
eau ;médicinale ; vulnéraire,,
eau ; médicinale ; des Carmes,,
eau ; médicinale ; de raisin,,
eau ; médicinale ; de pin,,
eau ; médicinale ; de marquette,,
eau ; médicinale ; de genièvre,,
eau ; médicinale ; de fleur d'oranger,,
eau ; médicinale ; de coclearia,,
eau ; médicinale ; de cannelle,,
eau ; médicinale ; de Chypre,,
eau ; médicinale ; cordiale,,
eau ; médicinale,,
eau ; minérale,,
eau ; gazeuse,1,
eau ; forte,,
eau ; ferrée,,
eau ; divine,,
eau ; diverse,,
eau ; distillée,,
eau ; des caverne,1,
eau ; de vie ; triple,1,
eau ; de vie ; simple,1,
eau ; de vie ; rectifiée,1,
eau ; de vie ; et rhum et tafia,1,
eau ; de vie ; et rhum,1,
eau ; de vie ; et liqueur,1,
eau ; de vie ; double,1,
eau ; de vie ; diverse,1,
eau ; de vie ; de vin,1,
eau ; de vie ; de grain,1,
eau ; de vie ; de genièvre,1,
eau ; de vie ; de grain ; blé,,
eau ; de vie ; de Rochefort,1,
eau ; de vie ; de Rez,1,
eau ; de vie ; de Marennes,1,
eau ; de vie ; de Cognac,1,
eau ; de vie ; de Charente,1,
eau ; de vie ; d'oléron,1,
eau ; de vie ; d'Espagne,1,
eau ; de vie ; d'Andaye,1,
eau ; de vie,1,
eau ; de toilette,,
eau ; de tartre,,
eau ; de senteur et quintessence,,
eau ; de senteur ; sans pareille,,
eau ; de senteur ; rose,,
eau ; de senteur ; diverse,,
eau ; de senteur ; de nard,,
eau ; de senteur ; de lavande,,
eau ; de senteur ; de citron,,
eau ; de senteur ; de bergamote,,
eau ; de senteur,,
eau ; de sel,,
eau ; de rose,,
eau ; de raisin,,
eau ; de pin,,
eau ; de nard,,
eau ; de mélisse,,
eau ; de miel,,
eau ; de mer,1,
eau ; de lavande,,
eau ; de la reine d'Hongrie,,
eau ; de senteur ; de la reine de Hongrie,,
eau ; de genièvre,,
eau ; de cuivre,,
eau ; de composition,,
eau ; de coclearia,,
eau ; de citron,,
eau ; de cerise,,
eau ; de cannelle,,
eau ; de bouleau,,
eau ; de bergamote,,
eau ; de Spa,,
eau ; de Philipine,1,
eau ; de Marquette,1,
eau ; de Cologne,,
eau ; des carmes,,
eau ; de Bussingne,,
eau ; de Bussing,,
eau ; de Bristol,,
eau ; d'arquebusade,,
eau ; d'anis,,
eau ; cordiale,,
eau ; citronnelle,,
eau,1,
dégrau,,
déchet ; de pierre,,
debris de vaisseau et vieux ouvrage de charpente,,
dé ; à jouer,8,
dé ; à coudre,6,
dé ; de laiton,6,
dé ; de fer,6,
dé ; de cuivre,,
dé,6,
duyvelsterck,,
duvet,,
duffel ; teint,,
duffel,,
duc-d'Albe ; de terre,,
duc-d'Albe ; de grés,,
duc-d'Albe,,
droguet et Maroc,,
droguet ; de fil et laine,,
étoffe ; droguet,6c,
droguerie,,
drogue d'apothicaire ; commune,,
drogue a peindre,,
drogue ; émeri,,
drogue ; verdet,,
drogue ; térébenthine,,
drogue ; tripoli,,
drogue ; séné,,
drogue ; soux ; en feuille,,
drogue ; soux ; de grabanite,,
drogue ; soie et laine,,
drogue ; sel ; de saturne,,
drogue ; salsepareille,,
drogue ; rhubarbe,,
drogue ; quinquina,,
drogue ; pour la peinture et la teinture ; garonne,,
drogue ; pour la peinture et la teinture ; laque plate,,
drogue ; pour la peinture et la teinture ; laque fausse,,
drogue ; pour la peinture et la teinture ; laque en poudre,,
drogue ; pour la peinture et la teinture ; laque de Venise,,
drogue ; pour la peinture et teinture ; gande,,
drogue ; pour la peinture et la teinture ; alizari,,
drogue ; pour la peinture et la teinture ; vitriol ; de Chypre,,
drogue ; pour la peinture et la teinture ; poudre et teinture ; verte,,
drogue ; pour la peinture et la teinture ; tournesol et d'acmail,,
drogue ; pour la peinture et la teinture ; tournesol,,
drogue ; pour la peinture et la teinture ; terre ; d'ombre,,
drogue ; pour la peinture et la teinture ; tartre,,
drogue ; pour la peinture et la teinture ; sumac,,
drogue ; pour la peinture et la teinture ; semence,,
drogue ; pour la peinture et la teinture ; rouge ; minéral,,
drogue ; pour la peinture et la teinture ; rocou,,
drogue ; pour la peinture et la teinture ; pérelle,,
drogue ; pour la peinture et la teinture ; perle ; bleue,,
drogue ; pour la peinture et la teinture ; pastel ; à teindre,,
drogue ; pour la peinture et la teinture ; orseille,,
drogue ; pour la peinture et la teinture ; orpin,,
drogue ; pour la peinture et la teinture ; orbe,,
drogue ; pour la peinture et la teinture ; ocre ; rouge,,
drogue ; pour la peinture et la teinture ; ocre ; jaune,,
drogue ; pour la peinture et la teinture ; ocre ; en pierre,,
drogue ; pour la peinture et la teinture ; noix ; de galles,,
drogue ; pour la peinture et la teinture ; noir de fumée,,
drogue ; pour la peinture et la teinture ; noir d'ivoire,,
drogue ; pour la peinture et la teinture ; noir,,
drogue ; pour la peinture et la teinture ; mine de plomb ; rouge,,
drogue ; pour la peinture et la teinture ; mine de plomb ; noire,,
drogue ; pour la peinture et la teinture ; mine de plomb,,
drogue ; pour la peinture et la teinture ; mastie,,
drogue ; pour la peinture et la teinture ; marron,,
drogue ; pour la peinture et la teinture ; laque,,
drogue ; pour la peinture et la teinture ; lacque ; platte,,
drogue ; pour la peinture et la teinture ; lackmoir,,
drogue ; pour la peinture et la teinture ; lackière,,
drogue ; pour la peinture et la teinture ; iris,,
drogue ; pour la peinture et la teinture ; indigo ; gatimalo,,
drogue ; pour la peinture et la teinture ; indigo,,
drogue ; pour la peinture et la teinture ; herbe à teindre,,
drogue ; pour la peinture et la teinture ; gris,,
drogue ; pour la peinture et la teinture ; graine d'Avignon,,
drogue ; pour la peinture et la teinture ; graine ; jaune,,
drogue ; pour la peinture et la teinture ; gatte ; noire,,
drogue ; pour la peinture et la teinture ; garance,,
drogue ; pour la peinture et la teinture ; galles ; en sorte,,
drogue ; pour la peinture et la teinture ; galle,,
drogue ; pour la peinture et la teinture ; fris,,
drogue ; pour la peinture et la teinture ; fnée platte,,
drogue ; pour la peinture et la teinture ; diverse,,
drogue ; pour la peinture et la teinture ; curcuma,,
drogue ; pour la peinture et la teinture ; cunier,,
drogue ; pour la peinture et la teinture ; couleur et huile,,
drogue ; pour la peinture et la teinture ; borax ; raffiné,,
drogue ; pour la peinture et la teinture ; bleu en encre,,
drogue ; pour la peinture et la teinture ; bleu de pierre,,
drogue ; pour la peinture et la teinture ; bleu ; en pierre,,
drogue ; pour la peinture et la teinture ; blanc de ?,,
drogue ; pour la peinture et la teinture ; blanc,,
drogue ; pour la peinture et la teinture ; alun ; en dracy,,
drogue ; pour la peinture et la teinture ; alun,,
drogue ; pour la peinture et la teinture ; Inde ; platte,,
drogue ; pour la peinture et la teinture ; vert de gris,,
drogue ; pour la peinture et la teinture ; verni,,
drogue ; pour la peinture et la teinture ; vermillon,,
