orthographic_normalization,simplification,note
vis ; en fer,vis ; en fer,
vis,vis,
virez,virez,
vipres,,
vipérine ; en racine,vipérine ; en racine,
vipérine,vipérine,
vipères ; vives,,
vipères,,
violons ; d'enfant,,
violons,,
violoncelle,violoncelle,
vin ; ordinaires ; divers,,
vins ; et eaux de vie,,
vins ; et autres boissons ; vin ; divers ; de Bordeaux,,
vins ; et autres boissons ; vin ; divers,,
vins ; et autres boissons ; vin ; de liqueur ; de différentes espèces,,
vins ; et autres boissons ; cidre,,
vins ; et autres boissons ; bière,,
vin ; divers ; ordinaires,,
vin ; divers ; fins ; en bouteilles,,
vin ; divers ; fins,,
vin ; de toutes sortes,,
vins ; de liqueur,,
vins ; de France ; divers ; en bouteilles,,
vins ; de France ; de Champagne ; en bouteilles,,
vins ; de France ; de Paugres,,
vins ; de France ; de Coulauges,,
vins ; de France ; de Conté,,
vin ; de Bordeaux ; ordinaires,,
vin ; de Bordeaux ; fins ; et en bouteilles,,
vin ; de Bordeaux ; fins,,
vin ; étrangers ; de Cerère,,
vin ; à la valeurs,,
vin ; ordinaire ; en miel,vin ; ordinaire ; en miel,
vins ; divers ; de France,,
vin ; divers : étrangers ; de liqueur,,
vin ; de liqueurs ; en bouteilles,,
vin ; de Hainaut,vin ; du Hainaut,
vin ; de France ; de Gascogne,vin ; de France ; de Gascogne,
vin ; de France ; de Champagne,vin ; de France ; de Champagne,
vin ; de France ; de Bourgogne,vin ; de Bourgogne,
vin ; de France ; de Bordeaux,vin ; de France ; de Bordeaux,
vin ; de France ; de Lyonnois,,
vins ; de France ; de Languedoc,,
vin ; de France ; d'Anjou,vin ; de France,
vin ; de France ; d'Orléans,vin ; d'Orléans,
vin ; de France ; commun,vin ; de France,
vin ; de Flandres,vin ; de Flandres,
vin ; de Champagne ; en muid,vin ; de Champagne,
vin ; communs,,
vin ; étrangers ; divers ; en bouteilles,,
vin ; étrangers ; de Wermute,,
vin ; étrangers ; de Terès,,
vin ; étrangers ; de Syracuse,,
vin ; étrangers ; de Pacaret,,
vin ; étrangers ; de Moselle,,
vin ; étrangers ; de Malvoisie,,
vin ; étrangers ; de Lantirini,,
vin ; étrangers ; Fuo,,
vin ; étrangers ; du Rhin,,
vin ; étrangers ; du Portugal,,
vin ; étrangers ; du Cap,,
vin ; étrangers ; divers ; en muid,,
vin ; étrangers ; divers au ; illisible,,
vin ; étrangers ; de suisse,,
vin ; étrangers ; de Chypre,,
vin ; étrangers ; de Xérès,,
vin ; étrangers ; de Tenerife,,
vin ; étrangers ; de Tokay,,
vin ; étrangers ; de Tinto,,
vin ; étrangers ; de Tavel,,
vin ; étrangers ; de Rota,,
vin ; étrangers ; de Porto Rico,,
vin ; étrangers ; de Malaise,,
vin ; étrangers ; de Malaga,,
vin ; étrangers ; de Madère,,
vin ; étrangers ; de Flacres,,
vin ; étrangers ; illisible,,
vin ; étrangers ; d'Espagne,,
vin ; étrangers ; d'Alicante,,
vin ; étrangers ; communs,,
vin ; étrangers ; blanc,,
vins ; de liqueurs ; de Mascat,,
vins ; de liqueur ; muscat,,
vins ; de liqueur ; Musant,,
vin ; de liqueurs ; divers,,
vin ; de France ; de Dauphine,vin ; de Dauphiné,
vin ; de France ; divers,vin ; de France,
vin ; de France ; de santé ; en muid,,
vin ; de France ; de santé ; en bouteille,,
vin ; de France ; de Champagne ; en muid,,
vin ; de France ; de Champagne ; en bouteilles,,
vin ; de France ; de Touraine,vin ; de France,
vin ; de France ; de Saintonge,vin ; de France,
vin ; de France ; de Roussillon,vin ; de France,
vin ; de France ; de Rhône,vin ; de France,
vin ; de France ; de Provence,vin ; de Provence,
vin ; de France ; de Nantes,vin ; Nantais,
vin ; de France ; de Bourgogne ; en muid,vin ; de Bourgogne,
vin ; de France ; de Bourgogne ; en bouteilles,,
vin ; de France ; de Bordeaux ; en bouteilles,,
vin ; de France ; de Bordeaux ; de retour,vin ; de Bordeaux,
vin ; de France ; de Bordeaux ; au muid,vin ; de Bordeaux,
vinaigre ; de cidre,vinaigre ; de cidre,
vinaigre ; de vin,vinaigre ; de vin,
vinaigre ; de bière,vinaigre ; de bière,
vinaigre ; composé,vinaigre ; de composition,
vinaigre ; ordinaire,vinaigre ; ordinaire,
vinaigre ; de composition,vinaigre ; de composition,
vinaigre ; illisible,,
vinaigre,vinaigre,
vin ; jauge ch. ; Grosbard,vin ; jauge gros bard,
vin ; d'Espagne ; de Ranejo,,
vin ; idem ; de Rota,vin ; idem ; de Rota,
vin ; idem ; de Ranijo,,
vin ; idem ; d'Alicante,vin ; idem ; d'Alicante,
vin ; très doux ; de Malaga,vin ; de Malaga,
vin ; sucré,vin ; sucré,
vin ; sec ; de Malaga,vin ; de Malaga,
vin ; sec ; illisible,,
vin ; rouge ; et blanc,,
vin ; et fer,,
vin ; et eau de vie ; de vin,,
vin ; et eau de vie,vin et eau de vie,
vin ; du Rhum,,
vin ; du Rhin ; de retour,,
vin ; du Haut-Pays,vin ; du Haut-Pays,
vin ; doux,vin ; doux,
vin ; des grandes borderies,,
vin ; de ville ; de Bordeaux,,
vin ; de velle,,
vin ; de Mus ; illisible,,
vin ; de l'île de Ré,,
vin ; de Haule,vin ; de Haule,
vin ; de deviet,vin ; de deviet,
vin ; de chère,,
vin ; de casterotie,,
vin ; de Xiamen ; illisible,,
vin ; de Vidonie ; illisible,,
vin ; de Tenerife,,
vin ; de Tarag ; illisible,,
vin ; de Tinto,vin ; de Tinto,
vin ; de Sicile,vin ; de Sicile,
vin ; de Samos,vin ; de Samos,
vin ; de Saint Jean d'Angély,,
vin ; de Saint Jean,vin ; de Saint Jean,
vin ; de Rots,vin ; de Rots,
vin ; de Poitou,vin ; de Poitou,
vin ; de Prague,vin ; de Prague,
vin ; de Muscat,,
vin ; de Malaga ; de Rancio,,
vin ; de Guacy,vin ; de Guacy,
vin ; de Grèce,vin ; de Grèce,
vin ; de France ; Bordeaux,,
vin ; de Corse,vin ; de Corse,
vin ; des Canaries,vin ; des Canaries,
vin ; de Boubonne,,
vin ; de Benicarlo,vin ; de Benicarlo,
vin ; de ; illisible,,
vin ; d'orange,vin ; d'orange,
vin ; d'Oléron rouge,vin ; d'Oléron rouge,
vin ; d'Ambrion,vin ; d'Ambrion,
vin ; d'aigluillon,vin ; d'aigluillon,
vin ; d'absinthe,vin ; d'absinthe,
vin ; d'Italie,vin ; d'Italie,
vin ; d'Espagne ; de Madres,vin ; d'Espagne ; de Madres,
vin ; de Saint Ange,vin ; de Saint Ange,
vin ; du Cap Breton,vin ; du Cap Breton,
vin ; étranger,vin ; étranger,
vin ; verdé ; de Florence,,
vin ; rouge ; Grosbard,,
vin ; rouge ; de renvoy,,
vin ; rouge ; commun,vin ; rouge ; commun,
vin ; petit,vin ; ordinaire,
vin ; ordinaire ; en bouteilles,,
vin ; ordinaire,vin ; ordinaire,
vin ; noir,vin ; noir,
vin ; naniou,,
vin ; muscat ; ordinaire,,
vin ; mousseux,,
vin ; jauge ch. ; Paris,vin ; en fût,
vin ; jauge ; Soissons,vin ; Soissons,
vin ; jauge ; Paris,,
vin ; hors,vin ; hors,
vin ; jauge ; groban,,
vin ; en bouteille,vin,
vin ; du Roussillon,,
vin ; du Rhin ; en cercle,vin ; du Rhin,
vin ; du Rhin ; en bouteille,vin ; du Rhin,
vin ; du Rhin,vin ; du Rhin,
vin ; du Languedoc,vin ; du Languedoc,
vin ; du Fayal,vin ; du Fayal,
vin ; du Croisic,vin ; du Croisic,
vin ; du Comté,vin ; du Comté,
vin ; divers,vin ; divers,
vin ; des Îles,vin ; des Îles,
vin ; de ville,vin ; de ville,
vin ; de teinte,,
vin ; de rivière,vin ; de rivière,
vin ; de poisson,vin ; de poisson,
vin ; de palme,,
vin ; de pays,,
vin ; de malaga,,
vin ; de liqueur ; en cercle,,
vin ; de liquan,,
vin ; de lignum,,
vin ; de La Mochette,,
vin ; de jauge gros bard,vin ; en fût,
vin ; de hors,vin ; de hors,
vin ; de hora,,
vin ; de haut,vin ; de haut,
vin ; de fap,,
vin ; de coraté,,
vin ; de Chenove,vin ; de Chenove,
vin ; de Champagne ; de Reisses,,
vin ; du Cap,vin ; du Cap,
vin ; de Vienne,vin ; de Vienne,
vin ; de Touraine,vin ; de Touraine,
vin ; de Tokay,,
vin ; de Suisse,vin ; de Suisse,
vin ; de Sainte Foy,vin ; de Ste. Foy,
vin ; de St Laurent,vin ; de St. Laurent,
vin ; de Syracuse,,
vin ; de Savoie,vin ; de Savoie,
vin ; de Saintonge,,
vin ; de St. Jean,vin ; de St. Jean,
vin ; de St. Seau,vin ; de St. Seau,
vin ; de Ré,vin ; de Ré,
vin ; de Rully,,
vin ; de Rouys,vin ; de Rouys,
vin ; de Roussillon,,
vin ; de Rota,vin ; de Rota,
vin ; de Rome,vin ; de Rome,
vin ; de Rochefort,vin ; de Rochefort,
vin ; de Rivesac,vin ; de Rivesac,
vin ; de Rhin,vin ; du Rhin,
vin ; de Rez,,
vin ; de Ranijo,vin ; de Ranijo,
vin ; de Querée,,
vin ; de Querey,vin ; de Querey,
vin ; de Quercy,vin ; de Quercy,
vin ; de Quecrey,,
vin ; de Provence,vin ; de Provence,
vin ; de Portugal,vin ; de Portugal,
vin ; de Porto,vin ; de Porto,
vin ; de port en port,vin,
vin ; de Picardan,vin ; de Picardan,
vin ; de Palme,vin ; de Palme,
vin ; de Pacaret,,
vin ; de Nuys,,
vin ; de Vougeot,,
vin ; de Navarre,vin ; de Navarre,
vin ; de Naples,,
vin ; de Nantois,vin ; Nantais,
vin ; de N. Jean,vin ; de N. Jean,
vin ; de muscat,,
vin ; de Mursante,vin ; de Mursante,
vin ; de Moselle,vin ; de Moselle,
vin ; de Mezac,vin ; de Mezac,
vin ; de Médoc,,
vin ; de Marennes,vin ; de Marennes,
vin ; de Manheim,vin ; de Manheim,
vin ; de Malvoisie,vin ; de Malvoisie,
vin ; de Madère,,
vin ; de Mâcon,vin ; de Mâcon,
vin ; de Lyonnois,,
vin ; de Lyon,vin ; de Lyon,
vin ; de Lorraine,vin ; de Lorraine,
vin ; de liqueur,vin ; de liqueur,
vin ; de Languedoc,,
vin ; de Langres ch.,,
vin ; de Langres,vin ; de Langres,
vin ; de Langes,,
vin ; de La Rochelle,vin ; de La Rochelle,
vin ; de Graves,,
vin ; de Gilly,vin ; de Gilly,
vin ; de Gevrey,,
vin ; de Gensac,vin ; de Gensac,
vin ; de Gênes,vin ; de Gênes,
vin ; de Garonne,vin ; de Garonne,
vin ; de Gaillac,vin ; de Gaillac,
vin ; de Frontignan,vin ; de Frontignan,
vin ; de France,vin ; de France,
vin ; de Florence,vin ; de Florence,
vin ; de Domé,vin ; de Domé,
vin ; de Dijon,vin ; de Dijon,
vin ; de Dauphiné,vin ; de Dauphiné,
vin ; de Cotte,vin ; de Coste,
vin ; de côte-rôtie,,
vin ; de Constance,vin ; de Constance,
vin ; de Condrieux,vin ; de Condrieux,
vin ; de Comté,vin ; de Comté,
vin ; de Cognac,vin ; de Cognac,
vin ; de Clermontois,,
vin ; de Clerac,vin ; de Clerac,
vin ; de Cioutan,vin ; de Cioutan,
vin ; de Chèrés,,
vin ; de Chypre,vin ; de Chypre,
vin ; de Cherés,,
vin ; de Cheris,,
vin ; de Charente,vin ; de Charente,
vin ; de Champagne ; en bouteilles,,
vin ; de Champagne ; de Ricey,vin ; de Champagne,
vin ; de Champagne ; de Chaumont,vin ; de Champagne,
vin ; de Champagne ; de Chalons,vin ; de Champagne,
vin ; de Champagne ; de Bar-sur-Aube,,
vin ; de Champagne ; de rivière,vin ; de Champagne,
vin ; de Champagne ; de Reims,vin ; de Champagne,
vin ; de Champagne ; de montagne,vin ; de Champagne,
vin ; de Chalons,vin ; de Chalons,
vin ; de Chaguy,vin ; de Chagny,
vin ; de Cette,vin ; de Cette,
vin ; de Catillon,vin ; de Castillon,
vin ; de Castillon,vin ; de Castillon,
vin ; de Canaries,vin ; de Canaries,
vin ; de Cahors,vin ; de Cahors,
vin ; de Cabreton,vin ; de Cabreton,
vin ; de Bretagne ; de Blaye,,
vin ; de Bretagne,vin ; de Bretagne,
vin ; de Bourgogne ; en bouteilles,,
vin ; de Bourgogne ; de la Ferté,vin ; de Bourgogne ; de la Ferté,
vin ; de Bourgogne ; de grand,vin ; de Bourgogne ; de grand,
vin ; de Bourgogne ; de Chablis,vin ; de Bourgogne ; de Chablis,
vin ; de Bourgogne ; de Suvigny,vin ; de Bourgogne ; de Suvigny,
vin ; de Bourgogne ; de Rully,vin ; de Bourgogne ; de Rully,
vin ; de Bourgogne ; de Poutigny,vin ; de Bourgogne ; de Poutigny,
vin ; de Bourgogne ; de Vougeot,,
vin ; de Bourgogne ; de Nays,,
vin ; de Bourgogne ; de Mursault,vin ; de Bourgogne ; de Mursault,
vin ; de Bourgogne ; de Mercuray,vin ; de Bourgogne ; de mercuray,
vin ; de Bourgogne ; de Gilly,vin ; de Bourgogne ; de Gilly,
vin ; de Bourgogne ; de Gevray,vin ; de Bourgogne ; de Gevray,
vin ; de Bourgogne ; de Comté,vin ; de Bourgogne ; de Comté,
vin ; de Bourgogne ; de Chalons,vin ; de Bourgogne ; de Chalons,
vin ; de Bourgogne ; de Chagny,vin ; de Bourgogne ; de Chagny,
vin ; de Bourgogne ; d'Auxerre,vin ; de Bourgogne ; d'Auxerre,
vin ; de Bourgogne ; d'Auxonne,vin ; de Bourgogne ; d'Auxonne,
vin ; de Bourgogne ; d'Arbois,vin ; de Bourgogne ; d'Arbois,
vin ; de Bourgogne ; de Nuyts,,
vin ; de Bourgogne ; de Mâcon,,
vin ; de Bourgogne ; de Dijon,vin ; de Bourgogne ; de Dijon,
vin ; de Bourgogne ; de Beaune,vin ; de Bourgogne ; de Beaune,
vin ; de Bourgogne ; de Tonnerre,vin ; de Bourgogne ; de Tonnerre,
vin ; de Bourg,,
vin ; de Bordeaux ; de Médoc,vin ; de Médoc,
vin ; de Bordeaux ; de castillon,vin ; de Castillon,
vin ; de Bordeaux ; de Bourg,vin ; de Bourg,
vin ; de Bordeaux ; de Blaye,vin ; de Bordeaux ; de Blaye,
vin ; de Bordeaux ; de ville,vin ; de Bordeaux ; de ville,
vin ; de Bordeaux ; de haut,vin ; de Bordeaux ; de haut,
vin ; de Blaye,vin ; de Blaye,
vin ; de Blave,vin ; de Blaye,
vin ; de Bergerac,vin ; de Bergerac,
vin ; de Beaune,vin ; de Beaune,
vin ; idem ; de Barcelone,,
vin ; de Bar-sur-aube,,
vin ; de Bayonne,vin ; de Bayonne,
vin ; de Amont,vin ; de Amont,
vin ; d'or ; de ville,vin ; d'or ; de ville,
vin ; d'or ; de haut,vin ; d'or ; de haut,
vin ; d'or ; de Nuits,vin ; d'or ; de Nuits,
vin ; d'or ; de Mâcon,vin ; d'or ; de Mâcon,
vin ; d'or ; de Dijon,vin ; d'or ; de Dijon,
vin ; d'or ; de Beaune,vin ; d'or ; de Beaune,
vin ; d'or ; d'Auxerre,vin ; d'or ; d'Auxerre,
vin ; d'Orléans,vin ; d'Orléans,
vin ; d'Oléron,vin ; d'Oléron,
vin ; de Hongrie,,
vin ; d'Espagne ; de Xérès,vin ; d'Espagne ; de Xérès,
vin ; d'Espagne ; de Rota,vin ; d'Espagne ; de Rota,
vin ; d'Espagne ; de Ranijo,,
vin ; d'Espagne ; de Raneio,,
vin ; d'Espagne ; de Rancio,vin ; d'Espagne ; de Rancio,
vin ; d'Espagne ; de Pacarel,vin ; d'Espagne ; de Pacarel,
vin ; d'Espagne ; de Navarre,vin ; d'Espagne ; de Navarre,
vin ; d'Espagne ; de Malaga,vin ; d'Espagne ; de Malaga,
vin ; de Catalogne,vin ; de Catalogne,
vin ; d'Espagne ; d'Alicante,vin ; d'Alicante,
vin ; d'Espagne ; Tinto,vin ; d'Espagne ; Tinto,
vin ; d'Espagne ; de Barcelone,vin ; de Barcelonne,
vin ; d'...pernay,,
vin ; d'...gypte,,
vin ; d'Auxerre,vin ; d'Auxerre,
vin ; d'Aument,vin ; d'Aument,
vin ; d'Arbois,vin ; d'Arbois,
vin ; d'Andresis,,
vin ; d'Andely,,
vin ; d'Amour,vin ; d'Amour,
vin ; d'Alicante,vin ; d'Alicante,
vin ; cuit,vin ; cuit,
vin ; du Portugal,vin ; du Portugal,
vin ; Natois,,
vin ; Nantois,,
vin ; Nantais,vin ; Nantais,
vin ; muscat,,
vin ; jauge ; Grosbard,,
vin ; idem ; de Malaga,,
vin ; idem ; de ville,,
vin ; idem ; de la Ferté,vin ; idem ; de la Ferté,
vin ; idem ; de haut,vin ; de Bordeaux ; de haut,
vin ; idem ; de Ville,vin ; idem ; de Ville,
vin ; idem ; de Rully,vin ; idem ; de Rully,
vin ; idem ; de rivière,,
vin ; idem ; de Reims,vin ; idem ; de Reims,
vin ; idem ; de Nuits,,
vin ; idem ; de Nuit,,
vin ; idem ; de Vougeot,,
vin ; idem ; de montagne,vin ; idem ; de montagne,
vin ; idem ; de Madère,,
vin ; idem ; de Mâcon,,
vin ; idem ; de Dijon,,
vin ; idem ; de Beaune,,
vin ; de Barcelone,vin ; de Barcelone,
vin ; idem ; d'Auxonne,,
vin ; idem ; Meursault,vin ; idem ; Meursault,
vin ; Grec,,
vin ; français,,
vin ; de Champagne,vin ; de Champagne,
vin ; de Bugey,vin ; de Bugey,
vin ; de Bourgogne,vin ; de Bourgogne,
vin ; de Bordeaux,vin ; de France,
vin ; de Barrois,vin ; de Barrois,
vin ; Dan ; de ville,vin ; Dan ; de ville,
vin ; Dan ; de haut,vin ; de Bordeaux ; de haut,
vin ; Dan ; de Bourg,vin ; de Bourg,
vin ; Dan ; de Blaye,vin ; de Blaye,
vin ; d'Anjou,,
vin ; d'Espagne,vin ; d'Espagne,
vin ; d'Aubagne,vin ; d'Aubagne,
vin ; d'Amont,vin ; d'Amont,
vin ; Champagne,vin ; Champagne,
vin ; blanc,vin ; blanc,
vin ; d'Espagne ; de Madère,vin ; d'Espagne ; de Madère,
vin ; de Malaga,vin ; de Malaga,
vin ; rouge,vin ; rouge,
vin ; de Xérès,vin ; d'Espagne ; de Xérès,
vin ; de Rancio,,
vin,vin,
vilebrequin,,
vif d'argent ; ou mercure,,
vif d'argent,vif d'argent,
vieux ; linge,linge ; vieux,
vieux ; oing,vieux ; oing,
viande ; salée,viande ; salée,
viande ; fumée,viande ; fumée,
viande ; et pâte,,
viande ; de mouton,viande ; de mouton,
viande ; de bœuf,viande ; de bœuf,
viande ; d'agneau,viande ; d'agneau,
viande,viande,
veste ; de drap ; brodée ; en or,veste ; de drap ; brodée ; en or,
veste ; brodées ; or ; et argent,,
veste ; galonnée ; d'argent,,
veste ; de toile,,
veste ; de soie ; brodée ; or ; et argent,,
veste ; de soie,veste ; de soie,
veste ; de satin ; brodée,,
veste ; de drap ; galonnée ; d'argent,,
veste ; de drap,,
veste ; de basin,,
veste,veste,
veste ; de toile ; brodée,veste ; de toile ; brodée,
veste ; de soie ; brodée ; d'or,,
veste ; de basin ; brodée,,
veste ; brodées,,
vessie ; natatoire,vessie ; natatoire,
vesces,vesce,
vertes ; et bordures,,
Vert-de-gris ; et savon,,
vert ; distillé,,
vert ; de montagne,,
vert,vert,
verrunes,verrunes,
verroterie ; et rassade,,
verre ; pointus,,
verre ; commun ; à boire,,
verre ; commun ; gobelet,,
verre ; chimiques,,
verre ; à boire ; cristallin,,
verre ; commun,verre,
verre ; à vitrer,,
verre ; à horloge ; de mer,,
verre ; à cristal,,
verre ; illisible ; d'estampes,,
verre ; vitre,,
verre ; verreriers,,
verre ; en lampe,,
verre ; en carreaux,,
verre ; pour estampes,,
verre ; de Saint Louis,verre ; de Saint Louis,
verre ; de Barrois,verre ; de Barrois,
verre ; d'estampes,,
verre ; d'Alsace,verre ; d'Alsace,
verre ; d'Allemagne,verre ; d'Allemagne,
verre ; cristal,,
verre ; à boire ; de cristal,,
verre ; à boire ; cristallins,,
verre ; et gobelets,,
verre ; et gobeleterie,,
verre ; de Lorraine,verre ; de Lorraine,
verrerie ; ordinaire,verrerie ; diverse,
verrerie ; en cristaux,,
verrerie ; en bouteilles pleines ; vides ; et dames-jeannes,,
verrerie ; en bouteilles,,
verrerie ; en boucaut,,
verrerie ; diverse,verrerie ; diverse,
verrerie ; de toute espèce,,
verrerie ; de Baume,,
verrerie,verrerie,
verre ; de grin,verre ; de grin,
verre ; de mer,verre ; de mer,
verre ; à vin,verre ; à vin,
verre ; de cristallin,verre ; de cristallin,
verre ; communs ; à boire,,
verre ; pour vitre,verre ; à vitre,
verre ; moulein,verre ; moulein,
verre ; en gobelets ; à boire,,
verre ; de Venise,verre ; de Venise,
verre ; de Hessen,verre ; de Hessen,
verre ; de France,verre ; de France,
verre ; de Dantzig,,
verre ; d'ambre,verre ; d'ambre,
verre ; cassé,verre ; cassé,
verre ; à vitre,verre ; à vitre,
verre ; à boire ; cristal,,
verre ; à vitres ; communs,,
verre ; à lunettes,,
verre ; à boire ; commun,,
verre ; à boire ; assortiment,verre ; à boire,
verre ; à boire,verre ; à boire,
verre ; verroterie,verre ; verroterie,
verre ; verrerie,ouvrage ; de verre,
verre ; ouvré,ouvrage ; de verre,
verre ; en tables,,
verre ; en gobelets,,
verre ; en flacons,,
verre ; en bouteille,ouvrage ; de verre ; bouteille,
verre ; en ; illisible,,
verre ; de montre,verre ; de montre,
verre ; de lampe,verre ; de lampe,
verre ; de cristal,,
verre ; de composition,composition ; de verre,
verre ; de baromètre,verre ; de baromètre,
verre ; de Bohème,verre ; de Bohème,
verre ; d'offre,verre,
verre ; d'antimoine,verre ; d'antimoine,
verre ; cristallin,verre ; cristallin,
verre ; communs,,
verre ; cassé ; en groisil,verre ; cassé ; en groisil,
verre ; blancs,,
verre ; assortis,,
verre ; ouvré ; en table,ouvrage ; de verre ; en table,
verre ; ouvré ; en gobeleterie ; illisible,,
verre ; ouvrés ; en bouteilles,,
verre ; ouvré ; divers,ouvrage ; de verre,
verre ; ouvré ; dames-jeannes,,
verre ; ouvré ; d'assortiment,ouvrage ; de verre,
verre ; divers,verre,
verre ; cuivré ; en table,verre ; en table,
verre ; cuivré ; en gobeleterie ; et à boire,,
verre ; cuivré ; dame-jeanne,,
verre ; cuivré ; cristallin,verre ; cristallin,
verre ; cassés,,
verre ; à vitres,,
verre,verre,
verroterie,,
vernune,,
vernoix,,
vernis ; à préparer,,
vernis,,
verni ; à peindre,,
vermillon ; et cinabre,,
vermillon ; de tasse,,
vermillon,vermillon,
vermilles,,
vermicelle,,
verjus,verjus,
vergue ; de sapin ; de 44 pieds,,
vergue ; de navire,vergue ; de navire,
vergue ; de 53 à 57 pieds,,
vergue ; de 44 pieds,,
vergue ; de 44 à 50 pieds,,
vergue ; de 25 pieds,,
vergue,vergue,
vergne,,
verge ; de fer,,
verge ; de cuivre,,
verres ; à boire ; commun,,
verres ; à boire,,
verdet ; et vert-de-gris,,
verdes,,
verdasse,,
verd de grez,,
verd de grer,,
verd ; d'eau,verd ; d'eau,
verd ; rouge,verd ; rouge,
verd ; distillé,verd ; distillé,
verd ; de vessie,verd ; de vessie,
verd ; de montagne,verd ; de montagne,
verd ; de mer,verd ; de mer,
vert-de-gris,,
verd ; d'antimoine,drogue ; chimique et métallique ; antimoine,
verd ; d'ambre,ambre ; vert,
ver ; illisible,,
verdet,drogue ; pour la peinture et la teinture ; verdet,
vendange,vendange,
velours ; imitation,,
velours ; de soie,velours ; de soie,
velours ; de Gênes,velours ; de Gênes,
velours ; commun,,
velours ; ciselé ; à fond d'or,,
velours ; uni,velours ; uni,
velours ; de coton,velours ; de coton,
velours ; de gueux,velours ; de gueux,
velours ; d'Ytreck,,
velours ; d'Utrecht,velours ; d'Utrecht,
velours ; d'Etreek,,
velours ; avec argent,velours ; avec argent,
velours,velours,
végétal,végétal,
veaux-oing,veaux-oing,
veau,,
vases ; de terre,,
vaude,vaude,
vaté,,
vatons,vatons,
vase ; de plâtre,,
vase,vase,
vas ; du Rhin,vas ; du Rhin,
vanille,vanille,
vandes,vandes,
van ; à vanner,van ; à vanner,
valtones,valtones,
valeur de diverse marchandise entrées en franchise de droits à charge de réexportation pour le commerce colonial,divers,
vaisselle ; d'argent ; d'Allemagne,,
vaisselle ; d'or,vaisselle ; d'or,
vaisselle ; d'étain,vaisselle ; d'étain,
vaisselle ; terre,vaisselle ; terre,
vaisselle ; plate,vaisselle ; plate,
vaisselle ; de terre,vaisselle ; de terre,
vaisselle ; de bois ; verni,,
vaisselle ; de bois,vaisselle ; de bois,
vaisselle,vaisselle,
vaisselle ; de faïence,,
vaisselle ; d'argent,vaisselle ; d'argent,
vacquette,,
vaches ; veaux,,
vaches ; vaches,,
vache ; tuée,,
vaches ; taureau,,
vache ; en vie,,
"vache, taureau et génisse",,
vache,,
ustensiles ; de sécheurs,,
ustensiles ; de cuisine,,
ustensiles ; de fer,,
ustensiles ; de pêche ; filet,,
ustensile ; de ménage,ustensile ; de ménage,
ustensiles ; divers ; pour la pêche,,
ustensiles ; de moulins,,
ustensiles ; divers,,
ustensiles,,
ustensiles ; de pêche,,
tôles ; de fer,,
tôle ; de fer ; blanc,,
tôle ; de cuivre,tôle ; de cuivre,
tôle ; en platine ; vernie,,
têtes ; de morue,,
têtes ; à perruques,,
tête ; de morue ; des îles,,
tête ; de clou de girofle,tête ; de clou de girofle,
têtes ; de choux,,
tétras ; noir,tétras ; noir,
térébenthine ; et tartre,,
térébenthine ; et résine,,
térébenthine ; et blanc de plomb,,
térébenthine ; en pâte,térébenthine ; en pâte,
térébenthine ; en pâte ; huile ; et essence,,
térébenthine ; huile ; et essence,,
tuyaux ; de pipe,,
tuyaux ; de plomb,,
tuyaux ; de grenade,,
tuyaux ; de fer,,
tuyau ; de poêle ; ou de cheminée,,
tutilly,tutilly,
tutie,tutie,
turlutaines,,
turquoise,turquoise,
turbot,poisson ; turbot,
turbit,turbit,
tulle,tulle,
tulie,,
tuile ; de couverture,,
tuile ; à voile,toile ; à voile,
tuile ; de lin ; de Laval,toile ; de lin ; de Laval,
tuile ; de lin ; de Beauvais,toile ; de lin ; de Beauvais,
tuile ; de Bretagne ; de pontivy,toile ; de Bretagne ; de Pontivy,
tuile ; de Bretagne ; de halle,toile ; de Bretagne ; de halle,
tuffeaux,,
tube ; long,tube ; long,
trémail ; ou tramail,,
trumeau ; de glace,,
trully,trully,
truites,,
truffe ; illisible ; cul d'artichaut ; etc.,,
truffe ; verte,,
truffe ; noire,truffe ; noire,
truffe ; fraîche,,
truffe ; et morille,,
truffe ; à l'huile,,
truffe ; mousserons ; et morilles,,
truffe ; sèches,,
truffe ; mousserons,,
truffe ; sèche,truffe ; sèche,
truffe ; noires,,
truffe,truffe,
truelles ; de fer,,
truelles,,
trousse ; de fleures,,
trompette ; de fer,,
trompette ; de cuivre,,
trompette,,
trompe ; de fer,,
tripe ; de laine,tripe ; de laine,
tripe ; de Lannoy,tripe ; de Lannoy,
tripoli,tripoli,
tripieds,,
tripes ; de bœuf ; salées,,
tripes ; d'huître,,
tripe ; de velours,tripe ; de velours,
tripe,tripe,
trictrac,trictrac,
tricots ; de nuit,,
treuils,,
treuils ; d'espar,,
tresse ; de fleures,,
tresse ; de fil,tresse ; de fil,
tresse ; d'or et d'argent,tresse ; d'or et d'argent,
tresse ; de soie,tresse ; de soie,
tresse ; de laine,tresse ; de laine,
tresse ; de joncs,,
tresse ; de fleuret,tresse ; de fleuret,
tresse ; d'or,tresse ; d'or,
tresse ; d'argent,tresse ; d'argent,
trenelles ; d'espagne,,
trenelle ; de jonc,,
trenelles ; d'espars,,
tremille,tremille,
treillis ; d'Allemagne,treillis ; d'Allemagne,
treillis,treillis,
trèfle ; or ; et argent,,
travons ; de sapin,,
travons,,
transport ; des troupes,,
trait ; d'or ; et d'argent,,
trait ; d'or,trait ; d'or,
