marchandises,marchandises_norm_ortho,mériteplusdetravail,imprimatur,nbr_dans_bdc,source_bdc
Marmittes ; de fer,marmites de fer,,Pierre Gervais,22,1
Marmittes ; de fonte,marmites de fonte,,Pierre Gervais,1,1
Marmittes de fer,marmites de fer,,Pierre Gervais,10,1
marmittes de Fer,marmites de fer,,Pierre Gervais,1,1
Marmittes de fer grandes,marmites de fer grandes,,Pierre Gervais,1,1
Marmittes de fer moyennes,marmites de fer moyennes,,Pierre Gervais,1,1
Marmittes de fers,marmites de fer,,Pierre Gervais,1,1
Marmittes en Fer,marmites de fer,,Pierre Gervais,1,1
Marne,marne,x,Pierre Gervais,1,1
marne,marne,x,Pierre Gervais,,1
Maroc,Maroc,x,Pierre Gervais,3,1
Maroc ras de maron,Maroc raz de marron,x,Pierre Gervais,1,1
Maron,marrons,,Pierre Gervais,5,1
Maronic,maronic,x,Pierre Gervais,1,1
Marons,marrons,,Pierre Gervais,115,1
marons,marrons,,Pierre Gervais,1,1
marons et chataignes,marrons et chataignes,,Pierre Gervais,,1
Maroquin,maroquins,,Pierre Gervais,1,1
Marquise,marquise,,Pierre Gervais,1,1
Marraye,marraye,x,Pierre Gervais,2,1
Marre de Calabre,manne de Calabre,x,Pierre Gervais,1,1
Marregue,marregues,x,Pierre Gervais,5,1
Marregues,marregues,x,Pierre Gervais,16,1
Marrons,marrons,,Pierre Gervais,8,1
Marroquins,maroquins,,Pierre Gervais,14,1
Marsoin,marsoin,,Pierre Gervais,1,1
Marte ; commune et en pointe,marte commune et en pointe,x,Pierre Gervais,4,1
Marteaux,marteaux,,Pierre Gervais,2,1
marteaux de forge,marteaux de forge,,Pierre Gervais,,1
Marteaux en fer,marteaux en fer,,Pierre Gervais,,1
Martinets a tonnelier,martinets à tonnelier,,Pierre Gervais,1,1
Masicot,massicot,x,Pierre Gervais,14,1
masicot,massicot,x,Pierre Gervais,1,1
Masicots,massicot,x,Pierre Gervais,1,1
masiscot,massicot,x,Pierre Gervais,1,1
Masne,manne,x,Pierre Gervais,1,1
Masques,masques,,Pierre Gervais,23,1
masques,masques,,Pierre Gervais,,1
Masques ; de Venise,masques de Venise,,Pierre Gervais,2,1
Masques ; de venise,masques de Venise,,Pierre Gervais,1,1
Masques ; fins,masques fins,,Pierre Gervais,2,1
masques communs,masques communs,,Pierre Gervais,,1
Masques de Venise,masques de Venise,,Pierre Gervais,2,1
masques fins,masques fins,,Pierre Gervais,,1
Masses,masses,,Pierre Gervais,1,1
Masses ; de bois,masses de bois,,Pierre Gervais,1,1
Masses ; de mail,masses de mail,x,Pierre Gervais,1,1
Masses de fer,masses de fer,,Pierre Gervais,1,1
Masses de mail,masses de mail,x,Pierre Gervais,2,1
Massicol,massicot,,Pierre Gervais,1,1
Massicos,massicot,,Pierre Gervais,2,1
Massicot,massicot,,Pierre Gervais,11,1
massicot,massicot,,Pierre Gervais,1,1
Massicots,massicot,,Pierre Gervais,4,1
Massie,massie,x,Pierre Gervais,1,1
Massis,massis,x,Pierre Gervais,1,1
Massisot,massicot,,Pierre Gervais,1,1
Massy,massy,x,Pierre Gervais,1,1
mast de sapin de 12 à 14 paumes,mâts de sapin de 12 à 14 paumes,,Pierre Gervais,,1
mast de sapin de 14 paumes,mâts de sapin de 14 paumes,,Pierre Gervais,,1
mast de sapin de 16 paumes,mâts de sapin de 16 paumes,,Pierre Gervais,,1
mast façonné,mâts façonnés,,Pierre Gervais,,1
Mastic,mastic,,Pierre Gervais,45,1
mastic,mastic,,Pierre Gervais,4,1
Mastic ; en larmes,mastic en larmes,,Pierre Gervais,1,1
Mastic en Larmes,mastic en larmes,,Pierre Gervais,1,1
Mastic en larmes,mastic en larmes,,Pierre Gervais,1,1
Mastie,mastic,,Pierre Gervais,1,1
Mastrre,mastrre,x,Pierre Gervais,1,1
Mastures,mâtures,,Pierre Gervais,2,1
Mat,mâts,,Pierre Gervais,1,1
Mat ; matures,mâts mâtures,,Pierre Gervais,1,1
mat assortis,mâts assortis,,Pierre Gervais,1,1
mat de navire,mâts de navire,,Pierre Gervais,1,1
MatEaux,mateaux,x,Pierre Gervais,1,1
Matelas,matelas,,Pierre Gervais,6,1
Matelas ; de laine,matelas de laine,,Pierre Gervais,2,1
Matelas ; de lit,matelas de lit,,Pierre Gervais,1,1
Matelas de laine,matelas de laine,,Pierre Gervais,5,1
Matelat,matelas,,Pierre Gervais,1,1
Matelats,matelas,,Pierre Gervais,32,1
matelats,matelas,,Pierre Gervais,,1
Matelats ; de crin,matelas de crin,,Pierre Gervais,1,1
Matelats ; de frin,matelas de crin,x,Pierre Gervais,1,1
Matelats ; de laine,matelas de laine,,Pierre Gervais,35,1
Matelats ; vieux,matelas vieux,,Pierre Gervais,1,1
matelats de crin et de noppes,matelas de crin et de noppes,x,Pierre Gervais,,1
Matelats de laine,matelas de laine,,Pierre Gervais,16,1
matelats de laine,matelas de laine,,Pierre Gervais,,1
mâteraux,mâtereaux,,Pierre Gervais,2,1
Materaux ; de sapin,mâtereaux de sapin,,Pierre Gervais,1,1
Materaux de Sapin,mâtereaux de sapin,,Pierre Gervais,1,1
mâtereaux,mâtereaux,,Pierre Gervais,2,1
matéreaux,matéreaux,,Pierre Gervais,10,1
Matereaux ; ou petits mats,mâtereaux ou petits mats,,Pierre Gervais,2,1
Matériaux,matériaux,,Pierre Gervais,,1
"Matériaux de construction ; chaux, pierres, plâtre, ardoise, ciment, sable, terre pozzolane",matériaux de construction chaux pierres plâtre ardoises ciment sable terre pouzzolane,,Pierre Gervais,10,1
"Matériaux de construction ; chaux, pierres, plâtre, briques et tuiles, ciment, sable, terre pozzolane",matériaux de construction chaux pierres plâtre brique et tuiles ciment sable terre pouzzolane,,Pierre Gervais,10,1
"Matériaux de construction tels que chaux, pierres, plâtres",matériaux de construction tels que chaux pierres plâtre,,Pierre Gervais,14,1
"Matériaux de construction, tels que pierres, plâtres, &c",matériaux de construction tels que pierres plâtre etc.,,Pierre Gervais,14,1
"Matériaux de construction, tels que pierres, plâtres, chaux, &e",matériaux de construction tels que pierres plâtre chaux etc.,,Pierre Gervais,15,1
Matériaux pour les constructions,matériaux pour la construction,,Pierre Gervais,9,1
"Matériaux pour les constructions, chaux, pierres, plâtre, &c",matériaux pour la construction chaux pierres plâtre etc.,,Pierre Gervais,9,1
Matériaux propres à la construction,matériaux propres à la construction,,Pierre Gervais,52,1
"Matériaux, tels que pierres, plâtre, chaux, ciment",matériaux tels que pierres plâtre chaux ciment,,Pierre Gervais,8,1
matière blanche dérivée du plomb,matières blanches dérivées du plomb,,Pierre Gervais,,1
Matière colorante,matières colorantes,,Pierre Gervais,,1
matière colorante noir,matières colorantes noires,,Pierre Gervais,,1
Matière tannante,matières tannantes,,Pierre Gervais,,1
Matieres ; de verre ; composées,matières de verre composées,,Pierre Gervais,1,1
Matières d'argent ; en piastres d'Espagne,matières d'argent en piastres d'Espagne,,Pierre Gervais,1,1
Matières d'or ; en lingots d'or du Brésil reçus par l'envoie d'Angleterre,matières d'or en lingots d'or du Brésil reçus par l'envoi d'Angleterre,,Pierre Gervais,1,1
Matières d'or ; en quadruples ou pièces d'or importées d'Espagne,matières d'or en quadruples ou pièces d'or importées d'Espagne,,Pierre Gervais,1,1
Matières d'or et d'argent,matières d'or et d'argent,,Pierre Gervais,236,1
matières d'or et d'argent,matières d'or et d'argent,,Pierre Gervais,1,1
Matières grasses,matières grasses,,Pierre Gervais,,1
Matières premières ; diverses,matières premières diverses,,Pierre Gervais,1,1
Matis ; divers,matis divers,x,Pierre Gervais,1,1
Matocaux,matocaux,x,Pierre Gervais,1,1
Matraux,mâtereaux,,Pierre Gervais,2,1
matraux,mâtereaux,,Pierre Gervais,1,1
Matraux ; de 25 a 30 pieds,mâtereaux de 25 à 30 pieds,,Pierre Gervais,1,1
Matraux ; de 25 pieds,mâtereaux de 25 pieds,,Pierre Gervais,1,1
Matraux ; de 35 pieds,mâtereaux de 35 pieds,,Pierre Gervais,1,1
Matraux ; de 36 pieds,mâtereaux de 36 pieds,,Pierre Gervais,1,1
Matraux ; de 40 a 45 pieds,mâtereaux de 40 à 45 pieds,,Pierre Gervais,1,1
Matraux ; de 45 pieds,mâtereaux de 45 pieds,,Pierre Gervais,1,1
Matraux ; de 50 a 55 pieds,mâtereaux de 50 à 55 pieds,,Pierre Gervais,1,1
Matraux de différentes longueurs,mâtereaux de différente longueur,,Pierre Gervais,1,1
Matre,matre,x,Pierre Gervais,2,1
matreau de sapin de 25 pieds,mâtereaux de sapin de 25 pieds,,Pierre Gervais,1,1
Matreaux,mâtereaux,,Pierre Gervais,112,1
matreaux,mâtereaux,,Pierre Gervais,5,1
Matreaux ; de 16 pieds,mâtereaux de 16 pieds,,Pierre Gervais,1,1
Matreaux ; de 19 pieds,mâtereaux de 19 pieds,,Pierre Gervais,1,1
Matreaux ; de 22 a 26 pieds,mâtereaux de 22 à 26 pieds,,Pierre Gervais,1,1
Matreaux ; de 24,mâtereaux de 24,,Pierre Gervais,1,1
Matreaux ; de 25 pieds,mâtereaux de 25 pieds,,Pierre Gervais,2,1
Matreaux ; de 26 a 30 pieds,mâtereaux de 26 à 30 pieds,,Pierre Gervais,1,1
Matreaux ; de 27 pieds,mâtereaux de 27 pieds,,Pierre Gervais,1,1
Matreaux ; de 30 pieds,mâtereaux de 30 pieds,,Pierre Gervais,1,1
Matreaux ; de 32 a 33 pieds,mâtereaux de 32 à 33 pieds,,Pierre Gervais,1,1
Matreaux ; de 35 pieds,mâtereaux de 35 pieds,,Pierre Gervais,2,1
Matreaux ; de 36 pieds,mâtereaux de 36 pieds,,Pierre Gervais,1,1
Matreaux ; de 45 a 50 pieds,mâtereaux de 45 à 50 pieds,,Pierre Gervais,1,1
Matreaux ; de 45 pieds,mâtereaux de 45 pieds,,Pierre Gervais,2,1
Matreaux ; de 50 à 55 pieds,mâtereaux de 50 à 55 pieds,,Pierre Gervais,1,1
Matreaux ; divers,mâtereaux divers,,Pierre Gervais,1,1
Matreaux ; ou petits mats,mâtereaux ou petits mâts,,Pierre Gervais,1,1
Matreaux 30 pieds,mâtereaux 30 pieds,,Pierre Gervais,1,1
Matreaux a barques,mâtereaux à barques,,Pierre Gervais,1,1
Matreaux de 12 pieds,mâtereaux de 12 pieds,,Pierre Gervais,1,1
Matreaux de 18 a 19 pieds,mâtereaux de 18 à 19 pieds,,Pierre Gervais,1,1
Matreaux de 20 a 22 pieds,mâtereaux de 20 à 22 pieds,,Pierre Gervais,1,1
Matreaux de 20 a 24 pieds,mâtereaux de 20 à 24 pieds,,Pierre Gervais,1,1
Matreaux de 20 pieds,mâtereaux de 20 pieds,,Pierre Gervais,1,1
Matreaux de 22 pieds,mâtereaux de 22 pieds,,Pierre Gervais,2,1
Matreaux de 24 pieds 6 pouces,mâtereaux de 24 pieds 6 pouces,,Pierre Gervais,1,1
Matreaux de 25 a 28 pieds,mâtereaux de 25 à 28 pieds,,Pierre Gervais,1,1
Matreaux de 25 a 30 pieds,mâtereaux de 25 à 30 pieds,,Pierre Gervais,3,1
Matreaux de 28 a 30 pieds,mâtereaux de 28 à 30 pieds,,Pierre Gervais,1,1
Matreaux de 28 pieds,mâtereaux de 28 pieds,,Pierre Gervais,1,1
Matreaux de 30 a 34 pieds,mâtereaux de 30 à 34 pieds,,Pierre Gervais,1,1
Matreaux de 30 a 35 pieds,mâtereaux de 30 à 35 pieds,,Pierre Gervais,1,1
Matreaux de 30 a 36 pieds,mâtereaux de 30 à 36 pieds,,Pierre Gervais,2,1
Matreaux de 30 a 40 pieds,mâtereaux de 30 à 40 pieds,,Pierre Gervais,1,1
Matreaux de 30 pieds,mâtereaux de 30 pieds,,Pierre Gervais,1,1
Matreaux de 32 a 34 pieds,mâtereaux de 32 à 34 pieds,,Pierre Gervais,1,1
Matreaux de 32 pieds,mâtereaux de 32 pieds,,Pierre Gervais,2,1
Matreaux de 33 pieds,mâtereaux de 33 pieds,,Pierre Gervais,2,1
Matreaux de 34 a 36 pieds,mâtereaux de 34 à 36 pieds,,Pierre Gervais,1,1
Matreaux de 35 a 37 pieds,mâtereaux de 35 à 37 pieds,,Pierre Gervais,1,1
Matreaux de 35 pieds,mâtereaux de 35 pieds,,Pierre Gervais,1,1
Matreaux de 36 a 38 pieds,mâtereaux de 36 à 38 pieds,,Pierre Gervais,2,1
Matreaux de 36 a 45 pieds,mâtereaux de 36 à 45 pieds,,Pierre Gervais,1,1
Matreaux de 36 pieds,mâtereaux de 36 pieds,,Pierre Gervais,1,1
Matreaux de 36 pieds 9 pouces,mâtereaux de 36 pieds 9 pouces,,Pierre Gervais,1,1
Matreaux de 37 a 38 pieds,mâtereaux de 37 à 38 pieds,,Pierre Gervais,1,1
Matreaux de 38 pieds,mâtereaux de 38 pieds,,Pierre Gervais,2,1
Matreaux de 40 a 44 pieds,mâtereaux de 40 à 44 pieds,,Pierre Gervais,1,1
Matreaux de 40 a 45 pieds,mâtereaux de 40 à 45 pieds,,Pierre Gervais,1,1
Matreaux de 40 pieds,mâtereaux de 40 pieds,,Pierre Gervais,7,1
Matreaux de 42 a 47 pieds,mâtereaux de 42 à 47 pieds,,Pierre Gervais,1,1
Matreaux de 45 a 50 pieds,mâtereaux de 45 à 50 pieds,,Pierre Gervais,1,1
Matreaux de 45 pieds,mâtereaux de 45 pieds,,Pierre Gervais,1,1
Matreaux de 46 a 60 pieds,mâtereaux de 46 à 60 pieds,,Pierre Gervais,1,1
Matreaux de 47 a 48 pieds,mâtereaux de 47 à 48 pieds,,Pierre Gervais,1,1
Matreaux de 47 a 49 pieds,mâtereaux de 47 à 49 pieds,,Pierre Gervais,1,1
Matreaux de 48 pieds,mâtereaux de 48 pieds,,Pierre Gervais,1,1
Matreaux de 54 a 60 pieds,mâtereaux de 54 à 60 pieds,,Pierre Gervais,1,1
Matreaux de 60 pieds,mâtereaux de 60 pieds,,Pierre Gervais,1,1
Matreaux de chaLoupe,mâtereaux de chaloupe,,Pierre Gervais,1,1
matreaux de sapin,mâtereaux de sapin,,Pierre Gervais,1,1
Matreaux de sapin de 20 pieds,mâtereaux de sapin de 20 pieds,,Pierre Gervais,1,1
Matreaux de sapin de 28 pieds,mâtereaux de sapin de 28 pieds,,Pierre Gervais,1,1
matreaux de sapin de 30 pieds,mâtereaux de sapin de 30 pieds,,Pierre Gervais,1,1
Matreaux ordinaires à 30 pieds,mâtereaux ordinaires à 30 pieds,,Pierre Gervais,1,1
Matreaux petits,mâtereaux petits,,Pierre Gervais,1,1
Matreeaux de 26 a 28 pieds,mâtereaux de 26 à 28 pieds,,Pierre Gervais,1,1
Mats,mâts,,Pierre Gervais,137,1
mats,mâts,,Pierre Gervais,2,1
Mâts,mâts,,Pierre Gervais,3,1
Mats ; au dessous de 6 paumes,mâts au dessous de 6 paumes,,Pierre Gervais,1,1
Mats ; bouts de 3 a 4 pieds,mâts bouts de 3 à 4 pieds,,Pierre Gervais,1,1
Mats ; de 16 a 18 pieds,mâts de 16 à 18 pieds,,Pierre Gervais,1,1
Mats ; de 20 a 30 pieds,mâts de 20 à 30 pieds,,Pierre Gervais,1,1
Mats ; de 28 a 32 pieds,mâts de 28 à 32 pieds,,Pierre Gervais,1,1
Mats ; de 30 pieds,mâts de 30 pieds,,Pierre Gervais,3,1
Mats ; de 31 a 36 pieds,mâts de 31 à 36 pieds,,Pierre Gervais,1,1
Mats ; de 33 a 43 pieds,mâts de 33 à 43 pieds,,Pierre Gervais,1,1
Mats ; de 35 a 45 pieds,mâts de 35 à 45 pieds,,Pierre Gervais,1,1
Mats ; de 36 a 38 pieds,mâts de 36 à 38 pieds,,Pierre Gervais,1,1
Mats ; de 40 a 45 pieds,mâts de 40 à 45 pieds,,Pierre Gervais,1,1
mats ; de 40 a 45 piés,mâts de 40 à 45 pieds,,Pierre Gervais,1,1
Mats ; de 40 a 50 pieds,mâts de 40 à 50 pieds,,Pierre Gervais,1,1
Mats ; de 42 a 48 piés,mâts de 42 à 48 pieds,,Pierre Gervais,2,1
Mats ; de 45 a 50 piés,mâts de 45 à 50 pieds,,Pierre Gervais,2,1
Mats ; de 45 pieds,mâts de 45 pieds,,Pierre Gervais,3,1
Mats ; de 48 a 50 piés,mâts de 48 à 50 pieds,,Pierre Gervais,1,1
Mats ; de 50 a 53 pied,mâts de 50 à 53 pied,,Pierre Gervais,1,1
Mats ; de 50 a 55 piés,mâts de 50 à 55 pieds,,Pierre Gervais,1,1
Mats ; de 50 a 60 pieds,mâts de 50 à 60 pieds,,Pierre Gervais,1,1
mats ; de 50 a 60 pieds,mâts de 50 à 60 pieds,,Pierre Gervais,1,1
Mats ; de 50 pieds,mâts de 50 pieds,,Pierre Gervais,2,1
Mats ; de 52 a 55 pieds,mâts de 52 à 55 pieds,,Pierre Gervais,1,1
Mats ; de 55 a 56 pieds,mâts de 55 à 56 pieds,,Pierre Gervais,1,1
Mats ; de 55 a 60 piés,mâts de 55 à 60 pieds,,Pierre Gervais,1,1
Mats ; de 59 a 60 piés,mâts de 59 à 60 pieds,,Pierre Gervais,1,1
Mats ; de 60 a 66 pieds,mâts de 60 à 66 pieds,,Pierre Gervais,1,1
Mats ; de 66 a 70 piés,mâts de 66 à 70 pieds,,Pierre Gervais,1,1
Mats ; de 68 a 70 pieds,mâts de 68 à 70 pieds,,Pierre Gervais,1,1
Mats ; de 68 pieds de long,mâts de 68 pieds de long,,Pierre Gervais,1,1
Mats ; de 70 pieds,mâts de 70 pieds,,Pierre Gervais,1,1
mats ; de 72 pieds,mâts de 72 pieds,,Pierre Gervais,1,1
Mats ; de 75 a 78 pieds,mâts de 75 à 78 pieds,,Pierre Gervais,1,1
Mats ; de barque,mâts de barques,,Pierre Gervais,1,1
Mats ; de batteaux,mâts de bateaux,,Pierre Gervais,1,1
Mats ; de Beaupré,mâts de beauprés,,Pierre Gervais,3,1
Mats ; de beaupré ; de 38 pieds,mâts de beauprés de 38 pieds,,Pierre Gervais,1,1
Mats ; de beaupré ; de 40 pieds,mâts de beauprés de 40 pieds,,Pierre Gervais,1,1
Mats ; de beaupré de 35 piés,mâts de beauprés de 35 pieds,,Pierre Gervais,1,1
Mats ; de chaloupe,mâts de chaloupe,,Pierre Gervais,4,1
Mats ; de chaloupes,mâts de chaloupe,,Pierre Gervais,2,1
Mats ; de différentes longueurs,mâts de différente longueur,,Pierre Gervais,1,1
Mâts ; de navire ; de 10 palmes,mâts de navire de 10 palmes,,Pierre Gervais,1,1
Mâts ; de navire ; de 12 palmes,mâts de navire de 12 palmes,,Pierre Gervais,1,1
Mats ; de navire ; de 30 pieds,mâts de navire de 30 pieds,,Pierre Gervais,1,1
Mats ; de navire ; de 35 pieds,mâts de navire de 35 pieds,,Pierre Gervais,1,1
Mats ; de navire ; de 40 pieds,mâts de navire de 40 pieds,,Pierre Gervais,1,1
Mats ; de navire ; de 50 pieds,mâts de navire de 50 pieds,,Pierre Gervais,1,1
Mats ; de navire ; de 55 pieds,mâts de navire de 55 pieds,,Pierre Gervais,1,1
mats ; de navire ; de 55 pieds,mâts de navire de 55 pieds,,Pierre Gervais,1,1
Mâts ; de navire ; de 6 palmes,mâts de navire de 6 palmes,,Pierre Gervais,1,1
Mats ; de navire ; de 60 pieds,mâts de navire de 60 pieds,,Pierre Gervais,1,1
Mâts ; de navire ; de 8 palmes,mâts de navire de 8 palmes,,Pierre Gervais,1,1
Mâts ; de navire ; de 9 palmes,mâts de navire de 9 palmes,,Pierre Gervais,1,1
Mats ; de navires,mâts de navire,,Pierre Gervais,4,1
Mâts ; de navires ; de 10 palmes,mâts de navire de 10 palmes,,Pierre Gervais,1,1
Mâts ; de navires ; de 12 palmes,mâts de navire de 12 palmes,,Pierre Gervais,1,1
Mats ; de navires ; de 27 pieds,mâts de navire de 27 pieds,,Pierre Gervais,1,1
Mats ; de navires ; de 50 pieds,mâts de navire de 50 pieds,,Pierre Gervais,1,1
Mats ; de navires ; de 55 pieds,mâts de navire de 55 pieds,,Pierre Gervais,1,1
Mâts ; de navires ; de 7 palmes,mâts de navire de 7 palmes,,Pierre Gervais,1,1
Mats ; de navires ; de 8 palmes,mâts de navire de 8 palmes,,Pierre Gervais,1,1
Mats ; de navires ; de diverses grandeurs,mâts de navire de diverses grandeurs,,Pierre Gervais,1,1
Mats ; de petits navires,mâts de petit navire,,Pierre Gervais,1,1
Mats ; de sapin,mâts de sapin,,Pierre Gervais,1,1
Mats ; de sapin ; de 10 palmes,mâts de sapin de 10 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 11 palmes,mâts de sapin de 11 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 12 palmes,mâts de sapin de 12 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 15 palmes,mâts de sapin de 15 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 5 palmes,mâts de sapin de 5 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 55 pieds,mâts de sapin de 55 pieds,,Pierre Gervais,1,1
Mats ; de sapin ; de 6 palmes,mâts de sapin de 6 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 7 palmes,mâts de sapin de 7 palmes,,Pierre Gervais,1,1
Mats ; de sapin ; de 9 palmes,mâts de sapin de 9 palmes,,Pierre Gervais,1,1
Mats ; de vaisseaux,mâts de vaisseaux,,Pierre Gervais,1,1
Mats ; divers,mâts divers,,Pierre Gervais,55,1
Mâts ; divers,mâts divers,,Pierre Gervais,4,1
Mats ; doubles,mâts doubles,,Pierre Gervais,1,1
Mats ; grands,mâts grands,,Pierre Gervais,2,1
Mats ; matières,mâts matières,,Pierre Gervais,4,1
Mats ; matreaux,mâts mâtereaux,,Pierre Gervais,8,1
Mats ; matures,mâts mâtures,,Pierre Gervais,21,1
Mâts ; matures,mâts mâtures,,Pierre Gervais,2,1
Mâts ; mâtures,mâts mâtures,,Pierre Gervais,1,1
Mats ; ordinaires,mâts ordinaires,,Pierre Gervais,2,1
Mats ; petits,mâts petits,,Pierre Gervais,32,1
Mâts ; petits,mâts petits,,Pierre Gervais,5,1
Mats Asortie,mâts assortis,,Pierre Gervais,1,1
Mats Asorties,mâts assortis,,Pierre Gervais,1,1
Mats asortis,mâts assortis,,Pierre Gervais,1,1
mats assortis,mâts assortis,,Pierre Gervais,2,1
mâts assortis,mâts assortis,,Pierre Gervais,1,1
Mats d'hune,mâts de hune,,Pierre Gervais,1,1
Mats de 20 pieds,mâts de 20 pieds,,Pierre Gervais,1,1
Mats de 24 a 30,mâts de 24 à 30,,Pierre Gervais,1,1
Mats de 30 a 40 pieds,mâts de 30 à 40 pieds,,Pierre Gervais,1,1
Mats de 30 pieds,mâts de 30 pieds,,Pierre Gervais,1,1
Mats de 35 a 40 pieds,mâts de 35 à 40 pieds,,Pierre Gervais,1,1
Mats de 39 a 40 pieds,mâts de 39 à 40 pieds,,Pierre Gervais,1,1
Mats de 4 paumes,mâts de 4 paumes,,Pierre Gervais,1,1
Mats de 40 a 45 pieds,mâts de 40 à 45 pieds,,Pierre Gervais,1,1
Mats de 40 a 45 piés,mâts de 40 à 45 pieds,,Pierre Gervais,1,1
Mats de 40 pieds,mâts de 40 pieds,,Pierre Gervais,2,1
Mats de 50 a 52 pieds,mâts de 50 à 52 pieds,,Pierre Gervais,1,1
Mats de 50 a 56 pieds,mâts de 50 à 56 pieds,,Pierre Gervais,1,1
Mats de 50 pieds,mâts de 50 pieds,,Pierre Gervais,2,1
Mats de 55 a 60 pieds,mâts de 55 à 60 pieds,,Pierre Gervais,1,1
Mats de 55 pieds,mâts de 55 pieds,,Pierre Gervais,1,1
Mats de 60 a 65 pieds,mâts de 60 à 65 pieds,,Pierre Gervais,1,1
Mats de 60 a 70,mâts de 60 à 70,,Pierre Gervais,1,1
Mats de 60 pieds,mâts de 60 pieds,,Pierre Gervais,1,1
Mats de 66 a 55 pieds,mâts de 66 à 55 pieds,,Pierre Gervais,1,1
Mats de 66 a 72 pieds,mâts de 66 à 72 pieds,,Pierre Gervais,1,1
Mâts de bateau,mâts de bateaux,,Pierre Gervais,,1
Mats de Beaupré,mâts de beauprés,,Pierre Gervais,1,1
Mats de Beaupré de 42 a 45 pieds,mâts de beauprés de 42 à 45 pieds,,Pierre Gervais,1,1
Mats de Différentes grandeur,mâts de différente grandeur,,Pierre Gervais,1,1
Mats de divers grandeur,mâts de diverse grandeur,,Pierre Gervais,1,1
Mâts de drapeau,mâts de drapeaux,,Pierre Gervais,,1
Mats de Navire,mâts de navire,,Pierre Gervais,1,1
Mats de navire,mâts de navire,,Pierre Gervais,20,1
mâts de navire,mâts de navire,,Pierre Gervais,1,1
mâts de navire asortie,mâts de navire assortis,,Pierre Gervais,1,1
Mats de navire de 18 pieds,mâts de navire de 18 pieds,,Pierre Gervais,1,1
Mats de navire de 27 a 30 pieds,mâts de navire de 27 à 30 pieds,,Pierre Gervais,1,1
Mats de navire de 30 pieds,mâts de navire de 30 pieds,,Pierre Gervais,5,1
Mats de navire de 34 pieds,mâts de navire de 34 pieds,,Pierre Gervais,2,1
Mats de navire de 36 pieds,mâts de navire de 36 pieds,,Pierre Gervais,1,1
Mats de navire de 38 pieds,mâts de navire de 38 pieds,,Pierre Gervais,1,1
Mats de navire de 40 pieds,mâts de navire de 40 pieds,,Pierre Gervais,2,1
Mats de navire de 45 pieds,mâts de navire de 45 pieds,,Pierre Gervais,1,1
Mats de navire de 46 pieds,mâts de navire de 46 pieds,,Pierre Gervais,1,1
Mats de navire de 48 pieds,mâts de navire de 48 pieds,,Pierre Gervais,1,1
Mats de navire de 50 pieds,mâts de navire de 50 pieds,,Pierre Gervais,3,1
mats de navire de 50 pieds,mâts de navire de 50 pieds,,Pierre Gervais,1,1
Mats de navire de 60 pieds,mâts de navire de 60 pieds,,Pierre Gervais,2,1
Mats de navire de 61 pieds,mâts de navire de 61 pieds,,Pierre Gervais,1,1
Mats de navire de 65 pieds,mâts de navire de 65 pieds,,Pierre Gervais,1,1
Mats de navire de 70 pieds,mâts de navire de 70 pieds,,Pierre Gervais,1,1
Mats de navire de 80 pieds,mâts de navire de 80 pieds,,Pierre Gervais,1,1
Mats de navire de differentes grandeur,mâts de navire de différente grandeur,,Pierre Gervais,1,1
Mats de navire en Sapin,mâts de navire en sapin,,Pierre Gervais,1,1
Mats de navire grands,mâts de navire grands,,Pierre Gervais,1,1
Mats de navire matreaux,mâts de navire mâtereaux,,Pierre Gervais,1,1
Mats de navires ; de 7 paumes,mâts de navire de 7 paumes,,Pierre Gervais,1,1
Mats de navires asortis,mâts de navire assortis,,Pierre Gervais,3,1
Mats de navires de 40 A 50 pieds,mâts de navire de 40 à 50 pieds,,Pierre Gervais,1,1
Mats de navires de 40 a 50 pieds,mâts de navire de 40 à 50 pieds,,Pierre Gervais,1,1
Mats de navires de 40 pieds,mâts de navire de 40 pieds,,Pierre Gervais,1,1
Mats de navires de 50 pieds,mâts de navire de 50 pieds,,Pierre Gervais,1,1
Mats de navires de 56 pieds,mâts de navire de 56 pieds,,Pierre Gervais,1,1
Mats de navires de 60 pieds,mâts de navire de 60 pieds,,Pierre Gervais,1,1
Mats de navires de 69 pieds,mâts de navire de 69 pieds,,Pierre Gervais,1,1
Mats de navires de 78 pieds,mâts de navire de 78 pieds,,Pierre Gervais,1,1
Mats de Sapin,mâts de sapin,,Pierre Gervais,9,1
mats de sapin,mâts de sapin,,Pierre Gervais,1,1
mâts de Sapin,mâts de sapin,,Pierre Gervais,1,1
Mats de sapin ; de 35 pieds,mâts de sapin de 35 pieds,,Pierre Gervais,1,1
mats de sapin ; de 36 pieds,mâts de sapin de 36 pieds,,Pierre Gervais,1,1
Mats de sapin ; de 40 pieds,mâts de sapin de 40 pieds,,Pierre Gervais,1,1
