quantity_unit,marchandises_normalisees,N2_quantity_unit_ajustees,N2_u_conv,N2_q_conv,N2_Remarque_unit,source_hambourg,incertitude_unit,need_geo
barriques,Vin ; de La Rochelle,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Languedoc,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Madère,bariques d'alicante,kg,231.03,p60 61 doursther,0,,0
barriques,Vin ; de Marennes,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; de Provence,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Quercy,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Ré,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de Saintonge,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; de St. Jean,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; du Cap,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; du Portugal,bariques d'alicante,kg,231.03,p60 61 doursther,0,,0
barriques,Vin ; jauge gros bard,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; liqueur,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; muscat,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; ordinaire,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vin ; rouge,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
barriques,Vin ; étranger,bariques de bordeaux,kg,226.28999,p60 61 doursther,0,,0
barriques,Vinaigre,bariques de bordeaux,kg,226.28999,Barrique de Bordeaux - chez Doursther (comme de base chez Werner),0,,0
bottes,Café ; de Bourbon,bottes pour les solides,,,p81 doursther,0,,1
bottes,Cercles et feuillard ; en bois,bottes pour les solides,,,p81 doursther,0,,1
bottes,Fruit ; sec ; raisin,bottes pour les solides,,,p81 doursther,0,,1
bottes,Fruits ; secs ; divers,bottes pour les solides,,,p81 doursther,0,,1
bottes,Huile ; d'olive,"bottes=pipes, de bordeaux",kg,377,p81 doursther,0,,0
bottes,Jonc,bottes pour les solides,,,p81 doursther,0,,1
bottes,Latte ; de bois,bottes pour les solides,,,p81 doursther,0,,1
bottes,Lin,bottes pour les solides,,,p81 doursther,0,,1
bottes,Liège,"bottes=pipes, de bordeaux",kg,377,p81 doursther,0,,0
bottes,Ouvrage ; de bois,bottes pour les solides,,,p81 doursther,0,,1
bottes,Quincaillerie ; de fer,bottes pour les solides,,,p81 doursther,0,,1
bottes,Roseau ; d'Espagne,bottes pour les solides,,,p81 doursther,0,,1
bottes,Vin ; d'Espagne,"bottes=pipes, d'espagne",kg,433.70001,p81 doursther,0,,0
bottes,Vin ; d'Espagne ; de Navarre,"bottes=pipes, d'espagne",kg,433.70001,p81 doursther,0,,0
bouteilles,Bière,bouteilles,kg,.75,,0,,0
bouteilles,Eau ; cordiale,bouteilles,kg,.75,,0,,0
bouteilles,Eau ; de Barbades,bouteilles,kg,.75,,0,,0
bouteilles,Eau ; de Bussingne,bouteilles,kg,.75,,0,,0
bouteilles,Eau ; de Spa,bouteilles,kg,.75,,0,,0
bouteilles,Eau ; de senteur,bouteilles,kg,.75,,0,,0
bouteilles,Eau ; de vie,bouteilles,kg,.75,,0,,0
bouteilles,Liqueur,bouteilles,kg,.75,,0,,0
bouteilles,Ratafia,bouteilles,kg,.75,,0,,0
bouteilles,Vin,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; Champagne,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Alicante,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Anjou,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Aubagne,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Espagne,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Espagne ; d'Alicante,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Espagne ; de Malaga,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Espagne ; de Xérès,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; d'Orléans,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Barcelonne,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Bordeaux,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Bourgogne,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Bourgogne ; de Beaune,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Bourgogne ; de Dijon,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Cabreton,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Canaries,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Champagne,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Chypre,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Comté,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de France,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Frontignan,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Hongrie,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Langres,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Lantirini,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Madère,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Malaga,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Porto,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Rivesac,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Suisse,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Tavel,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; de Tokay,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; du Cap,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; du Rhin,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; liqueur,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; muscat,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; ordinaire,bouteilles,kg,.75,,0,,0
bouteilles,Vin ; étranger,bouteilles,kg,.75,,0,,0
bouteilles,Vinaigre,bouteilles,kg,.75,,0,,0
chariots,Bois ; à tapis,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
chariots,Boîte,chariots (contenant),contenant,1,,0,,0
chariots,Ecorce ; de chêne,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
chariots,Foin,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
chariots,Grains ; seigle,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
chariots,Paille,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
chariots,Pierre ; blanche,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
chariots,Sabots,chariots,litres,1028.3199,doursther p112: 1 charriot=10 carreaux=102.32 litres,0,,0
faix,Cendre ; commune,faix (mesure de houille),kg,50,http://www.la-genealogie-entre-amis.com/Outils/mesures_anciennes.php,0,,0
faix,Feuillard,faix (mesure de houille),kg,50,http://www.la-genealogie-entre-amis.com/Outils/mesures_anciennes.php,0,,0
faix,Lin,faix (mesure de houille),kg,50,http://www.la-genealogie-entre-amis.com/Outils/mesures_anciennes.php,0,,0
faix,Osier,faix (mesure de houille),kg,50,http://www.la-genealogie-entre-amis.com/Outils/mesures_anciennes.php,0,,0
faix,Roseau,faix (mesure de houille),kg,50,http://www.la-genealogie-entre-amis.com/Outils/mesures_anciennes.php,0,,0
faix,Soude,faix (mesure de houille),kg,50,http://www.la-genealogie-entre-amis.com/Outils/mesures_anciennes.php,0,,0
millerolles,Citrons et oranges,,,,,0,,1
millerolles,Huile ; d'olive,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; Tinto,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; blanc,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; d'Espagne,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; d'Espagne ; Tinto,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; d'Espagne ; de Malaga,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; d'Espagne ; de Xérès,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
millerolles,Vin ; de Bourgogne,millerolles,kg,60,http://www.cnrtl.fr/definition/millerolle,0,,0
