marchandises_simplifiees,marchandises_tres_simplifiees,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_simplifiees
blanc ; de céruse,blanc,5,5,1,"Liste Wallis (Utilisé dans la peinture et pour le fard blanc): A name for WHITE LEAD, a mixture or compound of carbonate and hydrate of lead (usually 2 PbCO3+ PbH2O2); largely used as a white paint, formerly also in medicine for ointments, etc.",1,,Cerussa,1,0,,,,,,,0,0,0,,1,13
blanc ; de plomb,blanc,5,5,0,,0,,,0,0,,,1,,,,0,0,0,,1,28
blanc ; en chevron,blanc,5,5,,,,,,,,,,,,,,,,,,1,1
blanc ; simple,blanc,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,2
blanchissoire,blanchissoire,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,2
blanquette,blanquette,1,1,0,Variété de bière avec un faible degré d'alcool,0,,,0,0,,,2,,,,0,0,0,,1,1
bled,bled,0,0a,0,"Savary, volume 1, 1748 : « Blé ou Bled»",,,,0,0,,,,,,,1,1,1,,1,263
bled  ; froment,bled,0,0a,,,,,,,,,,,,,,,,,,0,0
bled ; baillarge,bled,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,1
bled ; d'Espagne,bled,0,0a,0,,,,,0,0,,,,,,,1,1,3,,0,0
bled ; de Turquie,bled,0,0a,,,,,,,,,,,,,,,,,,1,1
bled ; de seigle,bled,0,0a,,,,,,,,,,,,,,,,,,1,1
bled ; froment,bled,0,0a,0,,,,,0,0,,,,,,,1,1,1,,0,0
bled ; maïs,bled,0,0a,0,,,,,0,0,,,,,,,1,1,2,,0,0
bled ; méteil,bled,0,0a,0,,,,,0,0,,,,,,,1,1,2,,0,0
bled ; sarrasin,bled,0,0a,0,,,,,0,0,,,,,,,1,1,3,,0,0
bled ; seigle,bled,0,0a,,,,,,,,,,,,,,,,,,1,198
bled et riz,bled,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,9
bleu ; calaminé,bleu,5,5,,,,,,,,,,,,,,,,,,1,1
bleu ; de Prusse,bleu,5,5,0,,,,,0,0,,,,,,,0,0,0,,0,0
bleu ; foncé,bleu,5,5,,,,,,,,,,,,,,,,,,1,1
bleu ou tournesol,bleu ou tournesol,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,1
bloc,blocs,2,2,0,,0,,,0,0,,,5,,,,0,0,0,,1,4
blonde,blonde,6,6c,,,,,,,,,,,,,,,,,,1,2
blonde ; d'argent,blonde,6,6c,0,,0,,,0,0,,,2,,,,0,0,0,,1,2
blonde ; d'or,blonde,6,6c,0,Dentelle de soie faite en auvergne,0,,,0,0,,,1,,,,0,0,0,,1,1
blonde ; de fil,blonde,6,6c,0,,0,,,0,0,,,,,,,0,0,0,,1,1
blonde ; de soie,blonde,6,6c,0,,0,,,0,0,,,3,,,,0,0,0,,1,105
blonde ; or et argent,blonde,6,6c,,,,,,,,,,,,,,,,,,1,1
bluteau,bluteau,6,6,0,"Savary, volume 1, 1748 : Les instruments, ustencile, et machines, dont se servent les boulangers, sont, les moulins à bras, les bluteaux... »",0,,,0,0,,,80,,,,0,0,0,,1,1
blé ; froment,blé,0,0a,,,,,,,,,,,,,,,,,,1,1
bobine de cuir,bobine de cuir,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bocal,,,,,,,,,,,,,,,,,,,,,1,1
boclans,boclans,???,???,0,,0,,,0,0,,,1,,,,0,0,0,,1,3
bois,bois,2,2,0,,0,,,0,0,,,117,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,1,675
"bois , scié",bois,2,2,0,,0,,,0,0,,,,,,,0,0,0,,0,0
bois ;  à teindre,bois,2,2,,,,,,,,,,,,,,,,,,0,0
bois ; Sainte Lucie,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; Sustek,bois,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,9
bois ; a fond,bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; a parquet,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
bois ; a teinture,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; amer,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; anspects,bois,2,2,0,,0,,,0,0,,,7,,,,0,0,0,,1,12
bois ; au daume,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,3
bois ; autre,bois,2,2,0,,0,,,0,0,,,1,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; barre ; de guindeau,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; billot,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; blanc,bois,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,3
bois ; bordage,bois,2,2,0,,0,,,0,0,,,56,,,,0,0,0,,0,0
bois ; bordage ; de chêne,bois,2,2,0,,0,,,0,0,,,14,,,,0,0,0,,1,43
bois ; bordage ; de sapin,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,0,0
bois ; bourdillon,bois,2,2,0,,0,,,0,0,,,54,,,,0,0,0,,1,37
bois ; boway ; de chêne,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
bois ; boway ; de sapin,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
bois ; brandille,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
bois ; bray,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; brun,bois,2,2,0,,0,,,0,0,,,3,,,,0,0,0,,1,2
bois ; campêche,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; cercle,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; chêne,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; chêne ; en bloc,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; cordayer,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
bois ; coudé,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; courbé,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; d'Inde,bois,2,2,0,,0,,,0,0,,,9,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,80
bois ; d'Inde ; rapé,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; d'Inde et des îles,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,362
bois ; d'Inde et des îles ; pour l'ébénisterie,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; d'Inde et des îles ; pour la teinture,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; d'Inde pour teinture et marqueterie ; divers,bois,2,2,0,,0,,,0,0,,,1,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,7
bois ; d'acajou,bois,2,2,0,bois servant à tourner et embellir,0,,,0,0,2,2,35,,Bois ; de Pernambouc,,0,0,0,,1,148
bois ; d'aloès,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,7
bois ; d'amarante,bois,2,2,0,,0,,,0,0,,,7,,,,0,0,0,,1,2
bois ; d'arc,bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; d'arc et d'arbalète,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; d'arc et de fusil,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; d'arc et de selle,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; d'aspatton,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
bois ; d'aulne,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; d'espar,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,6
bois ; d'esquine,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; d'esquisse,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
bois ; d'olivier,bois,2,2,0,,0,,,0,0,,,16,,,,0,0,0,,1,10
bois ; d'olivier ; pelé,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
bois ; d'originelle,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,2
bois ; d'orme,bois,2,2,0,,0,,,0,0,,,41,,,,0,0,0,,1,3
bois ; d'osier,bois,2,2,0,,0,,,0,0,,,144,,,,0,0,0,,1,16
bois ; d'ébène,bois,2,2,0,,0,,,0,0,,,59,,Bois ; de Pernambouc,,0,0,0,,1,76
bois ; d'écarage,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; d'érable,bois,2,2,0,,0,,,0,0,,,17,,,,0,0,0,,1,1
bois ; d'éventail,bois,2,2,0,,0,,,0,0,,,6,,,,0,0,0,,1,2
bois ; d'éventail ; de nacre ; de perle,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de Brésil,bois,2,2,,,,,,,,,,,,,,,,,,1,257
bois ; de Brésil ; en bûche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,4
bois ; de Brésil ; menu,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de Brésil ; moulu,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de Camanbourg,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de Cayenne,bois,2,2,0,,0,,,0,0,,,5,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,1,3
bois ; de Constentines,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de Honduras,bois,2,2,0,,0,,,0,0,,,3,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,1
bois ; de Nantes,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de Nicorago,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de Pernambouc,bois,2,2,,,,,,,,,,,,,,,,,,0,0
bois ; de Provence,bois,2,2,,,,,,,,,,,,,,,,,,1,1
"bois ; de Provence, sernambue et campeche",bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de Rhode,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de Rhodes,bois,2,2,0,,0,,,0,0,,,,,Bois ; de Pernambouc,,0,0,0,,1,5
bois ; de Sainte Lucie,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de Sainte Marthe,bois,2,2,0,,0,,,0,0,,,15,,Bois ; de teinture,,0,0,0,,1,127
bois ; de Siramonbas,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,20
bois ; de St. Martin,bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; de Ste Marthe,bois,2,2,0,,0,,,0,0,,,7,,Bois ; de Pernambouc,,0,0,0,,0,0
bois ; de Surinam,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de bateau,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,2
bois ; de bordage,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de bordage ; de sapin,bois,2,2,,,,,,,,,,,,,,,,,,1,4
bois ; de bouleau,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de brochialle,bois,2,2,0,,0,,,0,0,,,5,,,,0,0,0,,1,1
bois ; de brésil ; rapé,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,5
bois ; de buis,bois,2,2,0,,0,,,0,0,,,25,,,,0,0,0,,1,102
bois ; de caliatour,bois,2,2,0,,0,,,0,0,,,70,,,,0,0,0,,1,59
bois ; de caliatour ; en bûche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de caliatour ; moulu,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,11
bois ; de caliatour ; rapé,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de camphre,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de campêche,bois,2,2,0,,0,,,0,0,,,57,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,478
bois ; de campêche ; en bûche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,10
bois ; de campêche ; moulu,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,6
bois ; de campêche ; rapé,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; de campêche ; râpé,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,19
bois ; de cannelle,bois,2,2,0,,0,,,0,0,,,2,,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; de cerisier,bois,2,2,0,,0,,,0,0,,,3,,,,0,0,0,,1,3
bois ; de chaise,bois,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,2
bois ; de charbonnage,bois,2,2,0,,0,,,0,0,,,8,,,,0,0,0,,1,7
bois ; de charonage,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de charpente,bois,2,2,0,,0,,,0,0,,,8,,,,0,0,0,,1,9
bois ; de chataignier,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de chevron,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de chêne,bois,2,2,,,,,,,,,,,,,,,,,,1,97
bois ; de chêne ; 30 pieds,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de chêne ; bordage,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; de chêne ; pour construction,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,4
bois ; de chêne ; scié,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,2
bois ; de chêne ; à poutre,bois,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,1
bois ; de chêne ; à sommier,bois,2,2,0,,0,,,0,0,,,71,,,,0,0,0,,1,2
bois ; de chêne de construction,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de chêne des carisage,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
"bois ; de chêne, carré",bois,2,2,,,,,,,,,,,,,,,,,,1,2
"bois ; de chêne, ronde",bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; de cleippe,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
bois ; de coco,bois,2,2,0,,0,,,0,0,,,8,,,,0,0,0,,1,2
bois ; de construction,bois,2,2,0,,0,,,0,0,2,2,34,,,,0,0,0,,1,212
bois ; de construction ; divers,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; de construction ; en chêne et sapin,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de corne,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de couleur,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,23
bois ; de coutelier,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de crabe,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,2
bois ; de cèdre,bois,2,2,0,,0,,,0,0,,,18,,,,0,0,0,,1,13
bois ; de fauteuil,bois,2,2,,,,,,,,,,,,,,,,,,1,4
bois ; de fauteuil et canapé,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de faïence,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de fer,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3
bois ; de fernambourg,bois,2,2,0,,0,,,0,0,,,4,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,1,124
bois ; de fernambourg ; en bûche,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de fernambourg ; moulu,bois,2,2,,,,,,,,,,,,,,,,,,1,4
bois ; de ferol,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de flèche,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de flèche et arc,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de fond à castor,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de frêne,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de fusil,bois,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,2
bois ; de fustel,bois,2,2,0,,0,,,0,0,,,91,,,,0,0,0,,1,116
bois ; de fustel ; haché,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de fustel ; moulu,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de gabarie,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de gayac,bois,2,2,1,"Pierre Hubert Nysten, Isidore Bricheteau, Ossian Henry, Joseph Briand, Dictionnaire de médecin, de chirurgie, de pharmacie, des sciences accessoires et de l'art vétérinaire, 8ème édition, 1840 : «GAYAC, ou GAÏAC ou GUAJACUM OFFICINALE est un ar",1,0,Lignum Vite,0,1,,,141,,Bois ; de Pernambouc,,0,0,0,,1,149
bois ; de gaïac,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; de gaïac ; en bûche,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de genièvre,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de girofle,bois,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,18
bois ; de gitte,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
bois ; de goyae,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de grenadier,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,6
bois ; de hêtre,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,7
bois ; de jacaranda,bois,2,2,,,,,,,,,,,,,,,,,,1,17
bois ; de jaraconda,bois,2,2,0,,0,,,0,0,,,12,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; de jayat,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,3
bois ; de la chine,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,1
bois ; de lettre,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,6
bois ; de lin,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,3
bois ; de lit,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,9
bois ; de machemillier,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de machenette,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de marbre,bois,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,2
bois ; de marqueterie,bois,2,2,0,,0,,,0,0,,,6,,,,0,0,0,,1,61
bois ; de marqueterie ; marbre,bois,2,2,0,,0,,,0,0,,,1,,,,0,0,0,,1,5
bois ; de menuiserie,bois,2,2,0,,0,,,0,0,,,97,,,,0,0,0,,1,12
bois ; de merrain,bois,2,2,,,,,,,,,,,,,,,,,,1,7
bois ; de merrain ; à barrique,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; de merrain a fond,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de noyer,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,28
bois ; de néphrétique,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de palisante,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de palissandre,bois,2,2,0,,0,,,0,0,,,12,,,,0,0,0,,1,40
bois ; de passementerie ; en mat,bois,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,2
bois ; de passementerie ; en planche ; de sapin,bois,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,4
bois ; de passementerie ; en planche et poutrelle,bois,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,3
bois ; de pernambouc,bois,2,2,0,,0,,,0,0,,,45,Bois ; de Pernambouc,Bois ; de Pernambouc,,0,0,0,,1,25
bois ; de pernambouc ; en bûche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; de pernambouc ; moulu,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; de pernambouc ; rapé,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de pin,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,1
bois ; de raquette,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de romarin,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de rose,bois,2,2,1,"Cf. P.H.Wallis  : An oil yielded by such plants, used in herbal medicine",1,0,Lignum rhodium,0,1,,,2,,,,0,0,0,,1,50
bois ; de rouage,bois,2,2,,,,,,,,,,,,,,,,,,1,12
bois ; de rouage et ouvrage de charronerie,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de réglisse,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de sainte Marthe,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de santal,bois,2,2,1,"Sous la forme de poudre de santal citrin et de poudre de santal rouge en égales proportions, il était un des constituants du diaprun solutif de la pharmacopée maritime occidentale au xviiie siècle (wiki)",1,1,Saunders Red alias Stock,1,0,,,11,,Bois ; de Pernambouc,,0,0,0,,1,91
bois ; de santal ; en bûche,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de santal ; moulu,bois,2,2,1,"Sous la forme de poudre de santal citrin et de poudre de santal rouge en égales proportions, il était un des constituants du diaprun solutif de la pharmacopée maritime occidentale au xviiie siècle (wiki)",1,1,Saunders Red alias Stock,1,0,,,3,,,,0,0,0,,1,24
bois ; de sapin,bois,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,103
bois ; de sapin ; en planche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,26
bois ; de sapin ; en soliveau,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de sapin ; mat et vergue,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de sapin ; peint,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de saune,bois,2,2,0,,0,,,0,0,,,0,,,,0,0,0,,1,1
bois ; de saxafras,bois,2,2,1,"Bois, écorce, essence de sassafras employé(e) notamment comme sudorifique. Une infusion d'écorce de sassafras (Geoffroy, Méd. prat., 1800, p. 501).Produit thérapeutique extrait du sassafras. Le sassafras est un stimulant diaphorétique recommand",1,0,Sassafras Wood,0,1,,,0,,,,0,0,0,,1,7
bois ; de saxafras ; moulu,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de selle,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de senteur,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de serrure,bois,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,1
bois ; de sipre,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; de sommier,bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; de table ; doré,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de teck,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; de teinture,bois,2,2,0,,0,,,0,0,,,52,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,66
bois ; de teinture ; d'Honduras,bois,2,2,0,,0,,,0,0,,,1,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,1
bois ; de teinture ; de campêche,bois,2,2,0,,0,,,0,0,,,7,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,5
bois ; de teinture ; de fustick,bois,2,2,0,,0,,,0,0,,,1,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,1
bois ; de teinture ; divers,bois,2,2,0,,0,,,0,0,,,0,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,1
bois ; de teinture ; en buche,bois,2,2,0,,0,,,0,0,,,1,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,2
bois ; de teinture ; nicaragua,bois,2,2,0,,0,,,0,0,,,3,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,1
bois ; de teinture et marqueterie,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3
bois ; de terre,bois,2,2,0,,0,,,0,0,,,10,,,,0,0,0,,1,1
bois ; de tilleul,bois,2,2,0,,0,,,0,0,,,100,,,,0,0,0,,1,3
bois ; de violette,bois,2,2,0,,0,,,0,0,,,4,,,,0,0,0,,1,13
bois ; des Iles,bois,2,2,0,,0,,,0,0,,,112,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,26
bois ; des Isles,bois,2,2,0,,0,,,0,0,,,,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,4
bois ; des Isles et des Indes,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,2
bois ; dit 'ricter',bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; dit a fond,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; dit schaelen ou rebus de bois ;,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; divers,bois,2,2,0,,0,,,0,0,,,43,,Bois ; de Pernambouc,,0,0,0,,0,0
bois ; divers ; en planche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,6
bois ; doré,bois,2,2,0,,0,,,0,0,,,5,,Bois ; de Pernambouc,,0,0,0,,1,8
bois ; du Brésil,bois,2,2,,,,,,,,,,,,,,,,,,0,0
bois ; du Japon,bois,2,2,0,,0,,,0,0,,,54,,,,0,0,0,,1,19
bois ; du Japon ; jaune,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; du brésil,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3
bois ; durci,bois,2,2,0,,0,,,0,0,,,12,,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; en bûche,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; en copeau,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; en eprier,bois,2,2,0,,0,,,0,0,,,1,,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; en madrier ; d'acajou,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,8
bois ; en planche,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,37
bois ; en rame,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; en taille ; à couvrir,bois,2,2,0,,0,,,0,0,,,2,,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; en tranche,bois,2,2,0,,0,,,0,0,,,2,,Bois ; de Pernambouc,,0,0,0,,1,13
bois ; espar ; de 40 à 50 pieds,bois,2,2,,,,,,,,,,,,,,,,,,1,2
bois ; espar ; de 56 à 61 pieds,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; fagot,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,0,0
bois ; feuillard,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1
bois ; flotté ; en étançon ; rond,bois,2,2,0,,0,,,0,0,,,3,,Bois ; de Pernambouc,,0,0,0,,1,1
bois ; fonçaille,bois,2,2,,,,,,,,,,,,,,,,,,1,1
bois ; fustel,bois,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3
bois ; gros,bois,2,2,0,,0,,,0,0,,,1,,Bois ; de Pernambouc,,0,0,0,,1,3
bois ; jaune,bois,2,2,0,,0,,,0,0,,,116,Bois ; de teinture,Bois ; de teinture,,0,0,0,,1,125
