numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,
153,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Marseille,18722611,8
154,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Montpellier,303367,5
155,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Nantes,526639,12
156,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Narbonne,24012,10
157,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Roüen,203118,10
158,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,9,Italie,Saint Quentin,353660,0
159,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,10,Levant,Marseille,30333088,1
160,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,10,Levant,Flandre,1632935,0
161,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,10,Levant,Marseille,22750222,1
162,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,10,Levant,Roüen,38361,13
163,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Amiens,26481,14
164,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Bayonne,616413,7
165,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Bordeaux,1637166,13
166,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,La Rochelle,424658,0
167,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Marseille,1625371,0
168,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Montpellier,1997,15
169,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Nantes,1814930,17
170,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Rennes,427428,4
171,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,11,Nord,Roüen,2967375,18
172,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Amiens,8960,0
173,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Bayonne,501513,6
174,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Bordeaux,16982253,1
175,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Bourgogne,10614,0
176,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Châlons,900,0
177,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,La Rochelle,2105713,10
178,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Marseille,655121,0
179,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Montpellier,257371,6
180,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Nantes,4536446,10
181,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Rennes,977593,4
182,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Roüen,5020036,6
183,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,11,Nord,Saint Quentin,17034,0
184,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Amiens,620,13
185,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Bayonne,7070,0
186,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Caën,45617,10
187,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Marseille,80104,0
188,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Nantes,18989,8
189,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Rennes,28046,10
190,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,12,"Portugal et Isles Madère, Terceres et Açores",Roüen,759751,4
191,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Amiens,122635,0
192,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Bayonne,124952,0
193,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Bordeaux,2500,0
194,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Bourgogne,45,0
195,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Caën,34028,5
196,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Châlons,747776,15
197,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Flandre,73530,10
198,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Lyon,868387,10
199,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Marseille,101915,0
200,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Nantes,628069,7
201,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Rennes,840150,17
202,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Roüen,1413307,17
203,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,12,"Portugal et Isles Madère, Terceres et Açores",Saint Quentin,453740,0
204,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Amiens,7569,10
205,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Bayonne,36200,0
206,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Bordeaux,20603,19
207,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Châlons,320,0
208,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,La Rochelle,61637,8
209,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Nantes,161771,10
210,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Rennes,511087,6
211,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,13,Russie,Roüen,57064,0
212,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,13,Russie,Amiens,16800,0
213,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,13,Russie,Bordeaux,464099,12
214,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,13,Russie,Bourgogne,3965,0
215,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,13,Russie,Châlons,280,0
216,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,13,Russie,Nantes,244920,9
217,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,13,Russie,Roüen,50807,15
218,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,14,Savoye et Piemont,Bourgogne,14144,15
219,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,14,Savoye et Piemont,Langres,70,0
220,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,14,Savoye et Piemont,Lyon,9726148,18
221,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,14,Savoye et Piemont,Marseille,90776,0
222,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,14,Savoye et Piemont,Montpellier,4735,16
223,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Amiens,92722,0
224,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Bordeaux,70452,18
225,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Bourgogne,11198,10
226,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Langres,920,0
227,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,La Rochelle,17932,0
228,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Lyon,3665486,14
229,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Marseille,218155,15
230,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Montpellier,4467,6
231,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,14,Savoye et Piemont,Roüen,126318,15
232,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,15,Suede,Bordeaux,207880,18
233,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,15,Suede,La Rochelle,43871,9
234,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,15,Suede,Montpellier,435,8
235,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,15,Suede,Nantes,245485,19
236,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,15,Suede,Rennes,341552,10
237,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,15,Suede,Roüen,1001718,14
238,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,Bordeaux,1412478,14
239,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,Bordeaux,1800,0
240,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,La Rochelle,8835,3
241,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,Montpellier,58996,0
242,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,Nantes,207314,18
243,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,Rennes,24004,0
244,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,15,Suede,Roüen,55100,12
245,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,16,Suisse et Geneve,Bourgogne,166866,13
246,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,16,Suisse et Geneve,Châlons,10746,0
247,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,16,Suisse et Geneve,Langres,10631,14
248,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,16,Suisse et Geneve,Lyon,11100667,1
249,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,16,Suisse et Geneve,Rennes,37400,0
250,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Amiens,91178,8
251,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Bordeaux,220965,9
252,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Bourgogne,1428248,9
253,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Châlons,42582,10
254,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Langres,305149,10
255,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,La Rochelle,57596,7
256,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Lyon,2891817,14
257,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Marseille,50592,17
258,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,16,Suisse et Geneve,Roüen,86593,17
259,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,17,Guinée,Flandre,29794,0
260,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,17,Guinée,La Rochelle,520459,19
261,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,17,Guinée,Nantes,2590744,19
262,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,17,Guinée,Rennes,778729,0
263,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,17,Guinée,Roüen,508504,13
264,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Bayonne,1111766,5
265,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Bordeaux,23525569,19
266,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Flandre,1559454,19
267,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,La Rochelle,5883392,5
268,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Marseille,11382264,0
269,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Nantes,19111041,2
270,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Rennes,651548,0
271,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Imports,18,Isles Françoises de l’Amérique et Terre Neuve,Roüen,12203580,6
272,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Bayonne,369865,16
273,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Bordeaux,10378202,14
274,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Flandre,272200,9
275,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,La Rochelle,3068321,19
276,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Marseille,2709721,12
277,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Montpellier,50339,11
278,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Nantes,4364767,7
279,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Rennes,1177884,9
280,Stephen Jackson,"BM Rouen, Fonds Montbret, 155-1",National toutes directions sans produits/1753.csv,National toutes directions sans produits,1753,Exports,18,Isles Françoises de l’Amérique et Terre Neuve,Roüen,8999910,6
