numerodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,direction,value,,,
180,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Naples et Sicile,Marseille,16401007,,
181,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Naples et Sicile,Marseille,8176820,,
182,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Naples et Sicile,Paris,106490,,
183,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Naples et Sicile,Saint Quentin,77700,,
184,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Genes,Marseille,38712751,,problème de somme
185,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Genes,Paris,4255,,problème de somme
186,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Genes,Châlons,9460,,
187,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Genes,Marseille,4810168,,
188,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Genes,Narbonne,10770,,
189,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Genes,Paris,27545,,
190,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Genes,Saint Quentin,33740,,
191,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Venise,Marseille,969941,,
192,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,73,Venise,Paris,4750,,
193,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Venise,Marseille,1943939,,
194,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Venise,Paris,7310,,
195,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,73,Venise,Saint Quentin,181868,,
196,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,74,Levant,Marseille,36309301,,
197,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,74,Levant,Flandre,1491027,,problème de somme dans la source
198,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,74,Levant,Marseille,31378373,,problème de somme dans la source
199,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,74,Levant,Montpellier,18000,,problème de somme dans la source
200,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,74,Levant,Paris,30383,,problème de somme dans la source
201,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,74,Levant,Rennes,65925,,problème de somme dans la source
202,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Amiens,107816,,
203,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Bayonne,613626,,
204,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Bordeaux,2554004,,
205,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,La Rochelle,2590,,
206,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Marseille,1196653,,
207,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Nantes,2037576,,
208,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Rennes,138857,,
209,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,75,Nord,Roüen,2856926,,
210,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Amiens,11124,,
211,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Bayonne,556867,,
212,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Bordeaux,20135510,,
213,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Bourgogne,280,,
214,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Caën,2206,,
215,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,La Rochelle,1737407,,
216,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Marseille,483861,,
217,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Nantes,7471185,,
218,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Paris,325852,,
219,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Rennes,357570,,
220,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Roüen,5133063,,
221,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,75,Nord,Saint Quentin,6860,,
222,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Amiens,22145,,
223,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Bayonne,53982,,
224,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Bordeaux,63855,,
225,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Marseille,654840,,
226,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Nantes,103924,,
227,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Rennes,40660,,
228,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,76,"Portugal et Isles Terceres, Madère et Açores",Roüen,1903000,,
229,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Amiens,94710,,
230,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Bayonne,127874,,
231,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Bourgogne,70,,
232,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Châlons,1052955,,
233,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Flandre,27340,,
234,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Lyon,219900,,
235,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Marseille,30171,,
236,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Montpellier,100017,,
237,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Nantes,874554,,
238,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Paris,135890,,
239,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Rennes,703858,,
240,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Roüen,526780,,
241,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,76,"Portugal et Isles Terceres, Madère et Açores",Saint Quentin,209860,,
242,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,Bordeaux,762444,,
243,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,La Rochelle,39899,,
244,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,Marseille,696672,,
245,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,Nantes,886453,,
246,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,Paris,6370,,
247,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,Rennes,966744,,
248,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,77,Russie,Roüen,834446,,
249,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Amiens,29310,,
250,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Bordeaux,9787157,,
251,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Bourgogne,800,,
252,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Caën,1443,,
253,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Flandre,11292,,
254,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,La Rochelle,16040,,
255,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Marseille,43443,,
256,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Paris,237380,,
257,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Roüen,471737,,
258,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,77,Russie,Saint Quentin,15680,,
259,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,78,Savoye et Piemont,Bourgogne,12766,,
260,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,78,Savoye et Piemont,Lyon,866158,,
261,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,78,Savoye et Piemont,Marseille,3358300,,
262,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,78,Savoye et Piemont,Paris,6470,,
263,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Amiens,44745,,
264,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Bourgogne,65771,,
265,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Caën,14875,,
266,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Châlons,57357,,
267,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Flandre,45469,,
268,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Lyon,2827815,,
269,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Marseille,3052827,,
270,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Montpellier,23744,,
271,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Nantes,4270,,
272,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,paris,122945,,
273,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Roüen,456286,,
274,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,78,Savoye et Piemont,Saint Quentin,16520,,
275,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,Bordeaux,576497,,
276,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,La Rochelle,8852,,
277,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,Marseille,1176529,,
278,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,Montpellier,856,,
279,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,Nantes,636314,,
280,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,Rennes,897433,,
281,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,79,Suede,Roüen,1395371,,
282,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Bordeaux,7516443,,
283,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,La Rochelle,8730,,
284,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Marseille,239332,,
285,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Montpellier,212597,,
286,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Nantes,529832,,
287,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Paris,52607,,
288,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Rennes,341,,
289,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Roüen,136311,,
290,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,79,Suede,Saint Quentin,4900,,
291,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,80,Suisse,Bourgogne,893410,,
292,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,80,Suisse,Lyon,4705500,,
293,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,80,Suisse,Paris,810,,
294,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Amiens,127965,,
295,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Bordeaux,1313750,,
296,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Bourgogne,1800545,,
297,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Châlons,64342,,
298,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Flandre,119385,,
299,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Langres,609812,,
300,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,La Rochelle,282409,,
301,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Lyon,4451917,,
302,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Montpellier,52566,,
303,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Paris,103901,,
304,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Roüen,335071,,
305,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,80,Suisse,Saint Quentin,19320,,
306,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,Bayonne,472230,,
307,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,Bordeaux,49679999,,
308,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,La Rochelle,4495418,,
309,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,Marseille,21238665,,
310,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,Nantes,20560312,,
311,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,Rennes,2323911,,
312,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,81,Isles Françoises de l’Amérique et Terre Neuve,Roüen,15898572,,
313,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Bayonne,363000,,
314,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Bordeaux,5453838,,
315,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Bourgogne,3811,,
316,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Flandre,612976,,
317,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,La Rochelle,3957140,,
318,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Marseille,12245771,,
319,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Montpellier,11590,,
320,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Nantes,3454198,,
321,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Rennes,813142,,
322,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Roüen,5360836,,
323,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,81,Isles Françoises de l’Amérique et Terre Neuve,Saint Quentin,574560,,
324,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,82,Guinée,La Rochelle,10367445,,
325,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,82,Guinée,Nantes,3174568,,
326,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,82,Guinée,Rennes,637213,,
327,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,82,Guinée,Roüen,2208076,,
328,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,83,Indes Orientales,Rennes,24380572,,
329,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,imports,83,Indes Orientales,Roüen,3064,,
330,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Amiens,555,,
331,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Châlons,17312,,
332,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,La Rochelle,2912019,,
333,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Marseille,461869,,
334,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Montpellier,158627,,
335,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Nantes,423368,,
336,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Rennes,1441820,,
337,Stephen Jackson,IIHS-123,National toutes directions sans produits/1773.csv,National toutes directions sans produits,1773,1773,exports,83,Indes Orientales,Roüen,104882,,
