ÊÈCode","Description"
"641.1","Papier journal, en rouleaux ou en feuilles"
"641.2","Papiers et cartons, non couchés ni enduits, des types utilisés pour l'écriture, l'impression ou d'autres fins graphiques, et papiers et cartons pour cartes ou bandes à perforer, en rouleaux ou en feuilles (autres que les papiers des rubriques 641.1 ou 641.63); papiers et cartons formés feuille à feuille (papiers à la main)"
"641.21","Papiers et cartons formés feuille à feuille (papiers à la main)"
"641.22","Papiers et cartons supports pour papiers ou cartons photosensibles, thermosensibles ou électrosensibles"
"641.23","Papiers supports pour carbone"
"641.24","Papiers supports pour papiers peints"
"641.25","Autres papiers et cartons, d’un poids au m5 inférieur à 40 g, sans fibres obtenues par un procédé mécanique ou dont 10 % au plus en poids de la composition fibreuse totale sont constitués par de telles fibres"
"641.26","Autres papiers et cartons, d’un poids au m5 de 40 g ou plus mais n’excédant pas 150 g, sans fibres obtenues par un procédé mécanique ou dont 10 % au plus en poids de la composition fibreuse totale sont constitués par de telles fibres"
"641.27","Autres papiers et cartons, d’un poids au m5 supérieur à 150 g, sans fibres obtenues par un procédé mécanique ou dont 10 % au plus de la composition fibreuse totale sont constitués par de telles fibres"
"641.29","Autres papiers et cartons, dont plus de 10 % en poids de la composition fibreuse totale sont constitués par des fibres obtenues par un procédé mécanique"
"641.3","Papiers et cartons, des types utilisés pour l'écriture, l'impression ou d'autres fins graphiques, couchés, enduits, imprégnés, coloriés en surface, décorés en surface ou imprimés (autres que ceux du groupe 892), en rouleaux ou en feuilles"
"641.31","Papiers carbone, papiers dits « autocopiants » et autres papiers pour duplication ou reports (y compris les papiers couchés, enduits ou imprégnés pour stencils ou pour plaques offset), même imprimés, en rouleaux d’une largeur dépassant 36 cm ou en feuilles de forme carrée ou rectangulaire dont un côté au moins dépasse 36 cm à l’état non plié"
"641.32","Papiers et cartons des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques, couchés au kaolin ou à d’autres substances inorganiques sur une ou les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés en surface, décorés en surface ou imprimés, sans fibres obtenues par un procédé mécanique ou dont 10 % au plus en poids de la composition fibreuse totale sont constitués par de telles fibres, en rouleaux ou en feuilles, d’un poids au m5 inférieur ou égal à 150 g"
"641.33","Papiers et cartons des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques, couchés au kaolin ou à d’autres substances inorganiques sur une ou les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés en surface, décorés en surface ou imprimés, sans fibres obtenues par un procédé mécanique ou dont 10 % au plus en poids de la composition fibreuse totale sont constitués par de telles fibres, en rouleaux ou en feuilles, d’un poids au m5 supérieur à 150 g"
"641.34","Papiers et cartons des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques, couchés au kaolin ou à d’autres substances inorganiques sur une ou les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés en surface, décorés en surface ou imprimés, dont plus de 10 % en poids de la composition fibreuse totale sont constitués par des fibres obtenues par un procédé mécanique, en rouleaux ou en feuilles"
"641.4","Papiers et cartons Kraft, non couchés ni enduits, n.d.a., en rouleaux ou en feuilles"
"641.41","Papiers et cartons pour couverture, dits « kraft », non couchés ni enduits, en rouleaux ou en feuilles"
"641.42","Papiers kraft, pour sacs de grande contenance, non couchés ni enduits, en rouleaux ou en feuilles"
"641.46","Papiers et cartons kraft, non couchés ni enduits, en rouleaux ou en feuilles, n.d.a., d’un poids au m5 égal ou inférieur à 150 g"
"641.47","Papiers et cartons kraft, non couchés ni enduits, en rouleaux ou en feuilles, n.d.a., d’un poids au m5 supérieur à 150 g mais inférieur à 225 g"
"641.48","Papiers et cartons kraft, non couchés ni enduits, en rouleaux ou en feuilles, n.d.a., d’un poids au m5 égal ou supérieur à 225 g"
"641.5","Papiers et cartons, non couchés ni enduits, en rouleaux ou en feuilles, n.d.a."
"641.51","Papiers mi-chimiques pour cannelures, non couchés ni enduits, en rouleaux ou en feuilles"
"641.52","Papier d’emballage au sulfite, non couché ni enduit, en rouleaux ou en feuilles"
"641.53","Papiers et cartons sulfurisés, papiers ingraissables, papiers-calque, papiers dit « cristal » et autres papiers calandrés transparents ou translucides, en rouleaux ou en feuilles"
"641.54","Papiers et cartons multicouches, non couchés ni enduits, en rouleaux ou en feuilles"
"641.55","Papier à cigarettes, n.d.a."
"641.56","Papiers et cartons filtres, non couchés ni enduits ; papier et carton feutre, non couchés ni enduits"
"641.57","Autres papiers et cartons, non couchés ni enduits, d’un poids au m5 égal ou inférieur à 150 g"
"641.58","Autres papiers et cartons, non couchés ni enduits, d’un poids au m5 supérieur à 150 g mais inférieur à 225 g"
"641.59","Autres papiers et cartons, non couchés ni enduits, d’un poids au m5 égal ou supérieur à 225 g"
"641.6","Papiers et cartons ondulés, crêpés, plissés, qaufrés, estampés ou perforés, en rouleaux ou en feuilles"
"641.61","Papiers kraft pour sacs de grande contenance, crêpés ou plissés, même gaufrés, estampés ou perforés, en rouleaux ou en feuilles"
"641.62","Autres papiers kraft crêpés ou plissés, en rouleaux ou en feuilles, même gaufrés, estampés ou perforés"
"641.63","Papiers des types utilisés pour la toilette ou le démaquillage, comme essuie-mains ou serviettes et papiers similaires à usages domestiques ou d’hygiène, ouate de cellulose et nappes de fibres de cellulose, même crêpés, plissés, gaufrés, estampés, perforés, colorés ou décorés en surface ou imprimés, en rouleaux d’une largeur dépassant 36 cm ou en feuilles de forme carrée ou rectangulaire dont, non pliées, un côté au moins dépasse 36 cm"
"641.64","Papiers et cartons ondulés (même avec recouvrement par collage), perforés ou non, en rouleaux ou en feuilles"
"641.69","Papiers crêpés, plissés, gaufrés, estampés ou perforés, en rouleaux ou en feuilles, n.d.a."
"641.7","Papiers, cartons, ouate de cellulose et nappes de fibres de cellulose, couchés, enduits, imprégnés, recouverts, colori´€s en surface, décorés en surface ou imprimés (autres que ceux du groupe 892), n.d.a., en rouleaux ou en feuilles"
"641.71","Papiers et cartons couchés, enduits, imprégnés ou recouverts de matières plastiques (à l’exclusion des adhésifs), en rouleaux ou en feuilles, blanchis, d’un poids au m5 supérieur à 150 g"
"641.72","Autres papiers et cartons couchés, enduits, imprégnés ou recouverts de matières plastiques (à l’exclusion des adhésifs), en rouleaux ou en feuilles"
"641.73","Papiers et cartons goudronnés, bitumés ou asphaltés, en rouleaux ou en feuilles"
"641.74","Papiers et cartons kraft, couchés au kaolin ou à d’autres substances inorganiques sur une ou sur les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés ou décorés en surface ou imprimés, en rouleaux ou en feuilles, autres que ceux des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques, blanchis uniformément dans la masse et dont plus de 95 % en poids de la composition fibreuse totale sont constitués par des fibres de bois obtenues par un procédé chimique, d’un poids au m5 inférieur ou égal à 150 g"
"641.75","Papiers et cartons kraft, couchés au kaolin ou à d’autres substances inorganiques sur une ou sur les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés ou décorés en surface ou imprimés, en rouleaux ou en feuilles, autres que ceux des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques, blanchis uniformément dans la masse et dont plus de 95 % en poids de la composition fibreuse totale sont constitués par des fibres de bois obtenues par un procédé chimique, d’un poids au m5 supérieur à 150 g"
"641.76","Autres papiers et cartons kraft, couchés au kaolin ou à d’autres substances inorganiques sur une ou sur les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés ou décorés en surface ou imprimés, ou en rouleaux ou en feuilles, autres que ceux des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques"
"641.77","Autres papiers et cartons, couchés au kaolin ou à d’autres substances inorganiques, sur une ou sur les deux faces, avec ou sans liant, à l’exclusion de tout autre couchage ou enduction, même colorés ou décorés en surface ou imprimés, en rouleaux ou en feuilles, autres que ceux des types utilisés pour l’écriture, l’imprimerie ou d’autres fins graphiques"
"641.78","Papiers et cartons  gommés ou adhésifs"
"641.79","Autres papiers, cartons, ouates de cellulose et nappes de fibres de cellulose, enduits, imprégnés, recouverts, colorés ou décorés en surface ou imprimés, en rouleaux ou en feuilles"
"641.9","Papiers et cartons transformés, n.d.a."
"641.91","Papiers et cartons « entre-deux », assemblés avec du bitume, du goudron ou de l’asphalte, en rouleaux ou en feuilles"
"641.92","Autres papiers et cartons, assemblés à plat par collage, non couchés ni enduits en surface ni imprégnés, même renforcés intérieurement, en rouleaux ou en feuilles"
"641.93","Blocs filtrants et plaques filtrantes, en pâte à papier"
"641.94","Papiers peints et revêtements muraux similaires ; vitrauphanies"
"642","Papiers et cartons decoupes en vue d’un usage determine ; ouvrages en papier ou carton"
"642.1","Boîtes, sacs, pochettes, cornets et autres emballages en papier, carton, ouate de cellulose ou nappes de fibres de cellulose; cartonnages de bureau, de magasin ou similaires"
"642.11","Boîtes et caisses en papier ou carton ondulé"
"642.12","Boîtes et cartonnages pliants, en papier ou carton non ondulé"
"642.13","Sacs en papier ou carton, d’une largeur à la base de 40 cm ou plus"
"642.14","Autres sacs, y compris les cornets, en papier ou carton"
"642.15","Autres emballages (y compris les pochettes pour disques), en papier ou carton "
"642.16","Cartonnages de bureau, de magasin ou similaires"
"642.2","Enveloppes, cartes-lettres, cartes postales non illustrées et cartes pour correspondance, en papier ou carton; boîtes, pochettes et présentations similaires, en papier ou carton, renfermant un assortiment d'articles de correspondance"
"642.21","Enveloppes"
"642.22","Cartes-lettres, cartes postales non illustrées et cartes pour correspondance"
"642.23","Boîtes, pochettes et présentations similaires, en papier ou carton, renfermant un assortiment d’articles de correspondance"
"642.3","Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonages ou pour collections et couvertures pour livres, en papier ou carton"
"642.31","Registres, livres comptables, carnets (de notes, de commandes, de quittances), blocs-mémorandums, blocs de papiers à lettres, agendas et ouvrages similaires"
"642.32","Cahiers d’écoliers"
"642.33","Classeurs, reliures, chemises et couvertures à dossiers"
"642.34","Liasses et carnets manifold, même comportant des feuilles de papier carbone intercalées"
"642.35","Albums pour échantillons ou collections"
"642.39","Couvertures pour livres, sous-mains et autres articles de papeterie, n.d.a."
"642.4","Papiers et cartons découpés en vue d'un usage déterminé, n.d.a."
"642.41","Papier à cigarettes découpé à format, même en cahiers ou en tubes"
"642.42","Papiers carbone, papiers dits « autocopiants » et autres papiers pour duplication ou reports, découpés à format (y compris les stencils complets et les plaques offset) en papier, même conditionnés en boîtes"
"642.43","Papier hygiénique, découpé à format, en rouleaux ou en feuilles"
"642.44","Papiers gommés ou adhésifs, en bandes ou en rouleaux"
"642.45","Papiers et cartons-filtre, découpés à format ou en forme"
"642.48","Papiers et cartons des types utilisés pour l’écriture, l’imprimerie ou d’autres usages graphiques, n.d.a."
"642.9","Ouvrages en pâte à papier, papier, carton ou ouate de cellulose, n.d.a."
"642.91","Tambours, bobines, busettes, canettes et supports similaires, en pâte à papier, papier ou carton (même perforés ou durcis)"
"642.92","Cartes non perforées, même présentées en bandes, pour machines à cartes perforées"
"642.93","Plateaux, plats, assiettes, tasses, gobelets et articles similaires, en papier ou carton"
"642.94","Mouchoirs, serviettes à démaquiller, essuie-mains, serviettes, nappes, draps de lit et autre linge, en papier ; vêtements et accessoires du vêtement en papier"
"642.95","Serviettes et tampons hygiéniques, couches pour bébés et articles hygiéniques, en pâte à papier, papier, ouate de cellulose ou nappes de fibres de cellulose"
"642.99","Autres ouvrages en pâte à papier, papier, carton, ouate de cellulose ou nappes de fibres de cellulose, n.d.a."
"65","Fils, tissus, articles textiles faconnes, n.d.a., et produits connexes"
"651","Fils textiles"
"651.1","Fils de laine ou de poils [non compris les rubans de laine peignée enroulés en boules (tops)]"
"651.12","Fils de laine cardée contenant au moins 85 % en poids de laine, non conditionnés pour la vente au détail"
"651.13","Fils de laine peignée, contenant au moins 85 % en poids de laine, non conditionnés pour la vente au détail"
"651.14","Fils de poils fins (cardés ou peignés), non conditionnés pour la vente au détail"
"651.15","Fils de poils grossiers ou de crin (y compris les fils de crin guipés), même conditionnés pour la vente au détail"
"651.16","Fils contenant au moins 85 % en poids de laine ou de poils fins, conditionnés pour la vente au détail"
"651.17","Fils de laine cardée contenant moins de 85 % en poids de laine, non conditionnés pour la vente au détail"
"651.18","Fils de laine peignée contenant moins de 85 % en poids de laine peignée, non conditionnés pour la vente au détail"
"651.19","Fils de laine ou de poils fins contenant moins de 85 % en poids de laine ou de poils fins, conditionnés pour la vente au détail"
"651.2","Fils à coudre de coton, même conditionnés pour la vente au détail"
"651.21","Fil à coudre de coton, non conditionné pour la vente au détail"
"651.22","Fil à coudre de coton, conditionné pour la vente au détail"
"651.3","Fils de coton autres que les fils à coudre"
"651.31","Fils de coton (autres que le fil à coudre), conditionnés pour la vente au détail, contenant au moins 85 % en poids de coton"
"651.32","Autres fils de coton (autres que le fil à coudre), conditionnés pour la vente au détail"
"651.33","Fils de coton (autres que le fil à coudre), contenant au moins 85 % en poids de coton, non conditionnés pour la vente au détail"
"651.34","Fils de coton (autres que le fil à coudre) contenant moins de 85 % en poids de coton, non conditionnés pour la vente au détail"
"651.4","Fils à coudre de fibres synthétiques ou artificielles, même conditionnés pour la vente au détail"
"651.41","Fil à coudre de filaments synthétiques, même conditionné pour la vente au détail"
"651.42","Fil à coudre de filaments artificiels, même conditionné pour la vente au détail"
"651.43","Fil à coudre de fibres synthétiques discontinues, même conditionné pour la vente au détail"
"651.44","Fil à coudre de fibres artificielles discontinues, même conditionné pour la vente au détail"
"651.5","Fils de filaments synthétiques (autres que les fils à coudre), texturés, non conditionnés pour la vente au détail (y compris les monofilaments de moins de 67 décitex)"
"651.51","Fils (autres que le fil à coudre) de filaments, de nylon ou d’autres polyamides, non conditionnés pour la vente au détail"
"651.52","Fils (autres que le fil à coudre) de filaments de polyesters, non conditionnés pour la vente au détail"
"651.59","Autres fils (autres que le fil à coudre) de filaments synthétiques, non conditionnés pour la vente au détail"
"651.6","Autres fils de filaments synthétiques (autres que les fils à coudre), y compris les monofilaments de moins de 67 décitex"
"651.61","Fils (autres que le fil à coudre) de filaments synthétiques, conditionnés pour la vente au détail"
"651.62","Fils à haute ténacité, de nylon, d’autres polyamides ou de polyesters (autre que le fil à coudre), non conditionnés pour la vente au détail"
"651.63","Autres fils synthétiques, simples, d’une torsion excédant 50 tours au mètre, non conditionnés pour la vente au détail"
"651.64","Autres fils synthétiques, simples, d’une torsion excédant 50 tours au mètre, non conditionnés pour la vente au détail"
"651.69","Autres fils synthétiques, retors ou câblés, non conditionnés pour la vente au détail"
"651.7","Fils de filaments artificiels (autres que les fils à coudre); monofilaments artificiels, n.d.a.; lames et formes similaires de matières textiles artificielles, n.d.a."
"651.71","Fils de filaments artificiels (autres que le fil à coudre), conditionnés pour la vente au détail."
"651.72","Fils de filaments artificiels texturés, non conditionnés pour la vente au détail"
"651.73","Fils à haute ténacité, de rayonne viscose, non conditionnés pour la vente au détail"
"651.74","Autres fils, simples, de rayonne viscose, sans torsion ou d’une torsion n’excédant pas 120 tours par mètre, non conditionnés pour la vente au détail"
"651.75","Autres fils de filaments artificiels, simples"
"651.76","Autres fils de filaments artificiels (sauf fil à coudre), retors ou câblés, non conditionnés pour la vente au détail"
"651.77","Monofilaments artificiels de 67 décitex ou plus et dont la plus grande dimension de la coupe transversale n’excède pas 1 mm ; lames et formes similaires (p. Ex. La paille artificielle) en matières textiles artificielles, dont la largeur apparente n’excède pas 5 mm"
"651.8","Fils (autres que les fils à coudre) de fibres discontinues; monofilaments synthétiques n.d.a.; lames et formes similaires en matières textiles synthétiques, dont la largeur apparente n'excède pas 5 mm"
"651.81","Fils (autre que le fil à coudre) contenant au moins 85 % en poids de fibres synthétiques discontinues, conditionnés pour la vente au détail"
"651.82","Fils (autre que le fil à coudre) contenant au moins 85 % en poids de fibres synthétiques discontinues, non conditionnés pour la vente au détail"
"651.83","Fils (autre que le fil à coudre) de fibres synthétiques discontinues, contenant moins de 85 % en poids de ces fibres, conditionnés pour la vente au détail"
"651.84","Fils (autre que le fil à coudre) de fibres synthétiques discontinues, contenant moins de 85 % en poids de ces fibres, non conditionnés pour la vente au détail"
"651.85","Fils (autres que le fil à coudre) de fibres artificielles discontinues, conditionnés pour la vente au détail"
"651.86","Fils (autres que le fil à coudre), contenant au moins 85 % en poids de fibres artificielles discontinues, non conditionnés pour la vente au détail"
"651.87","Fils (autres que le fil à coudre) de fibres artificielles discontinues, contenant moins de 85 % en poids de ces fibres, non conditionnés pour la vente au détail"
"651.88","Monofilaments synthétiques de 67 décitex ou plus et dont la plus grande dimension de la coupe transversale n’excède pas 1 mm ; lames et formes similaires (p. Ex. La paille artificielle) en matières textiles synthétiques, dont la largeur apparente n’excède pas 5 mm"
"651.9","Fils de fibres textiles, n.d.a. (y compris les fils de papier et les fils, mèches et ""rovings"" de fibres de verre)"
"651.91","Fils textiles, lames et formes similaires des Nos 651.77 ou 651.88, associés à du métal sous forme de fils, de lames ou de poudre (filés métalliques), ou bien métallisés"
"651.92","Fils de soie (autres que les fils de déchets de soie), non conditionnés pour la vente au détail"
"651.93","Fils de déchets de soie, non conditionnés pour la vente au détail"
"651.94","Fils de soie et fils de déchets de soie, conditionnés pour la vente au détail ; poil de Messine (crin de Florence)"
"651.95","Mèches, stratifils (« rovings ») et fils, coupés ou non, de fibres de verre"
"651.96","Fils de lin"
"651.97","Fils de jute ou d’autres fibres textiles libériennes du groupe 264"
"651.99","Fils d’autres fibres textiles végétales ; fils de papier"
"652","Tissus de coton (a l’exception des tissus en petite largeur et des tissus speciaux)"
"652.1","Tissus à point de gaze, velours, peluches, tissus bouclés et tissus de chenilles, de coton"
"652.11","Tissus de coton à point de gaze (autres que les tissus en petites largeurs du sous-groupe 656.1)"
"652.12","Tissus bouclés du genre éponge, en coton (autres que les tissus du sous-groupe 651.1), écrus"
"652.13","Autres tissus bouclés du genre éponge en coton (sauf tissus du sous-groupe 656.1)"
"652.14","Velours et peluches tissés, en coton (autres que les tissus bouclés du genre éponge des Nos 652.12 et 652.13 et les tissus du sous-groupe 656.1), non coupés"
"652.15","Autres velours et peluches tissés et tissus de chenilles, en coton (autres que les tissus bouclés du genre éponge des Nos 652.12 et  652.13 et les tissus du sous-groupe 656.1)"
"652.2","Tissus de coton, écrus (autres que les tissus à point de gaze, velours, peluches, tissus bouclés et tissus de chenille)"
"652.21","Tissus contenant au moins 85 % en poids de coton, écrus, d’un poids n’excédant pas 200 g/m5"
"652.22","Tissus contenant au moins 85 % en poids de coton, écrus, d’un poids excédant 200 g/m5"
"652.23","Tissus de coton, contenant moins de 85 % en poids de coton, écru, mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, d’un poids n’excédant pas 200 g/m5"
"652.24","Tissus de coton, contenant moins de 85 % en poids de coton, écru, mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, d’un poids excédant 200 g/m5"
"652.25","Autres tissus de coton, écrus, d’un poids n’excédant pas 200 g/m5"
"652.26","Autres tissus de coton, écrus, d’un poids excédant 200 g/m5"
"652.3","Autres tissus, contenant au moins 85 p. 100 en poids de coton, blanchis, teints, imprimés ou autrement traités, d'un poids n'excédant pas 200 g/m2"
"652.31","Autres tissus contenant au moins 85 % en poids de coton, blanchis, d’un poids n’excédant pas 200 g/m5"
"652.32","Autres tissus contenant au moins 85 % en poids de coton, teints, d’un poids n’excédant pas 200 g/m5"
"652.33","Autres tissus contenant au moins 85 % en poids de coton, en fils de diverses couleurs, d’un poids n’excédant pas 200 g/m5"
"652.34","Autres tissus contenant au moins 85 % en poids de coton, imprimés, d’un poids n’excédant pas 200 g/m5"
"652.4","Autres tissus, contenant au moins 85 p. 100 en poids de coton, blanchis, teints, imprimés ou autrement trait´€s, d'un poids excédant 200 g/m2"
"652.41","Autres tissus contenant au moins 85 % en poids de coton, blanchis, d’un poids excédant 200 g/m5"
"652.42","Autres tissus contenant au moins 85 % en poids de coton, teints, d’un poids excédant 200 g/m5"
"652.43","Tissus dits “Denim”"
"652.44","Autres tissus contenant au moins 85 % en poids de coton, en fils de diverses couleurs (autres que les tissus dits denim), d’un poids excédant 200 g/m5"
"652.45","Autres tissus contenant au moins 85 % en poids de coton, imprimés, d’un poids excédant 200 g/m5"
"652.5","Autres tissus de coton, contenant moins de 85 p. 100 en poids de coton, mélangés principalement ou uniquement avec des fibres synthétiques ou artificielles, blanchis, teints, imprimés ou autrement traités, d'un poids n'excédant pas  200 g/m2"
"652.51","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, blanchis, d’un poids n’excédant pas 200 g/m5"
"652.52","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, teints, d’un poids n’excédant pas 200 g/m5"
"652.53","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, en fils de diverses couleurs, d’un poids n’excédant pas 200 g/m5"
"652.54","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, imprimés, d’un poids n’excédant pas 200 g/m5"
"652.6","Autres tissus de coton, contenant moins de 85 p. 100 en poids de coton, mélangés principalement ou uniquement avec des fibres synthétiques ou artificielles, blanchis, teints, imprimés ou autrement traités, d'un poids excédant 200 g/m2"
"652.61","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, blanchis, d’un poids excédant 200 g/m5"
"652.62","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, teints, d’un poids excédant 200 g/m5"
"652.63","Tissus dits “Denim”"
"652.64","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, en fils de diverses couleurs (autres que les tissus dits « denim »), d’un poids excédant 200 g/m5"
"652.65","Autres tissus de coton contenant moins de 85 % en poids de coton mélangé principalement ou uniquement avec des fibres synthétiques ou artificielles, imprimés, d’un poids excédant 200 g/m5"
"652.9","Autres tissus de coton"
"652.91","Autres tissus de coton, blanchis, d’un poids n’excédant pas 200 g/m5"
"652.92","Autres tissus de coton, teints, d’un poids n’excédant pas 200 g/m5"
"652.93","Autres tissus de coton en fils de diverses couleurs, d’un poids n’excédant pas 200 g/m5"
"652.94","Autres tissus de coton, imprimés, d’un poids n’excédant pas 200 g/m5"
"652.95","Autres tissus de coton, blanchis, d’un poids excédant 200 g/m5"
"652.96","Autres tissus de coton, teints, d’un poids excédant 200 g/m5"
"652.97","Autres tissus de coton, en fils de diverses couleurs, d’un poids excédant 200 g/m5"
"652.98","Autres tissus de coton, imprimés, d’un poids excédant 200 g/m5"
"653","Tissus en matieres textiles synthetiques ou artificielles (a l’exclusion des tissus en petite largeur et des tissus speciaux)"
"653.1","Tissus de fils de filaments synthétiques (y compris les tissus obtenus à partir des produits de la position 651.88), autres que les velours, peluches, tissus bouclés et tissus de chenille"
"653.11","Tissus faits à partir de fils à haute ténacité de nylon, d’autres polyamides ou de polyesters"
"653.12","Tissus obtenus à partir de lames ou formes similaires"
"653.13","Tissus constitués par des nappes de filaments synthétiques parallélisés qui se superposent à angle aigu ou droit, ces nappes étant fixées entre elles aux points de croisement de leurs fils par un liant ou par thermosoudage"
"653.14","Autres tissus contenant au moins 85 % en poids de filaments de nylon ou d’autres polyamides"
"653.15","Autres tissus contenant au moins 85 % en poids de filaments de polyester texturés"
"653.16","Autres tissus contenant au moins 85 % en poids de filaments de polyester non texturés"
"653.17","Autres tissus contenant au moins 85 % en poids de filaments synthétiques, n.d.a."
"653.18","Autres tissus contenant moins de 85 % en poids de filaments synthétiques, mélangés principalement ou uniquement avec du coton"
"653.19","Tissus de filaments synthétiques, n.d.a."
"653.2","Tissus de fibres synthétiques discontinues contenant au moins 85 p. 100 en poids de ces fibres (autres que les velours, peluches, tissus bouclés et tissus de chenille)"
"653.21","Tissus de fibres de polyester discontinues, contenant au moins 85 % en poids de ces fibres (autres que les velours, peluches et tissus de chenille)"
"653.25","Tissus de fibres acryliques ou modacryliques discontinues, contenant au moins 85 % en poids de ces fibres (autres que les velours, peluches et tissus de chenille)"
"653.29","Tissus d’autres fibres synthétiques discontinues, contenant au moins 85 % en poids de ces fibres (autres que les velours, peluches et tissus de chenille)"
"653.3","Tissus de fibres synthétiques discontinues, contenant moins de 85 p. 100 en poids de ces fibres, mélangés principalement ou uniquement avec du coton (autres que les velours, peluches, tissus bouclés et tissus de chenille)"
"653.31","Tissus de fibres de polyester discontinues, d’un poids n’excédant pas 170 g/m5, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec du coton"
"653.32","Tissus d’autres fibres synthétiques discontinues, d’un poids n’excédant pas 170 g/m5, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec du coton"
"653.33","Tissus de fibres de polyester discontinues, d’un poids excédant 170 g/m5, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec du coton"
"653.34","Tissus d’autres fibres synthétiques discontinues, d’un poids excédant 170 g/m5, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec du coton"
"653.4","Tissus de fibres synthétiques discontinues, contenant moins de 85 p. 100 en poids de ces fibres, mélangés principalement ou uniquement avec des fibres autres que de coton (autres que les velours, peluches, tissus bouclés et tissus de chenille)"
"653.41","Tissus de fibres synthétiques discontinues, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec de la laine ou des poils fins"
"653.42","Tissus de fibres synthétiques discontinues, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec des filaments synthétiques ou artificiels"
"653.43","Tissus de fibres synthétiques discontinues, contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec des fibres autres que de coton, de laine ou de poils fins ou qu’avec des filaments synthétiques ou artificiels"
"653.5","Tissus de fils de filaments artificiels (y compris les tissus obtenus à partir des produits de la position 651.77)"
"653.51","Tissus faits à partir de fils à haute ténacité de rayonne viscose"
"653.52","Autres tissus contenant au moins 85 % en poids de filaments ou de lames ou formes similaires artificiels (autres que les velours, peluches et tissus de chenille)"
"653.59","Tissus de filaments artificiels, n.d.a."
"653.6","Tissus contenant au moins 85 % en poids de fibres artificielles discontinues"
"653.8","Tissus de fibres artificielles discontinues, contenant moins de 85 p. 100 en poids de ces fibres (autres que les velours, peluches, tissus bouclés et tissus de chenille)"
"653.81","Tissus de fibres artificielles discontinues contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec du coton (autres que les velours, peluches et tissus de chenille)"
"653.82","Tissus de fibres artificielles discontinues contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec de la laine ou des poils fins (autres que les velours, peluches et tissus de chenille) "
"653.83","Tissus de fibres artificielles discontinues contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec des filaments synthétiques ou artificiels (autres que les velours, peluches et tissus de chenille) "
"653.89","Tissus de fibres artificielles discontinues contenant moins de 85 % en poids de ces fibres mélangées principalement ou uniquement avec des fibres autres que de coton, de laine ou de poils fins ou qu’avec des filaments synthétiques ou artificiels (autres que les velours, peluches et tissus de chenille)"
"653.9","Velours et peluches tissés et tissus de chenille de fibres synthétiques ou artificielles (autres que ceux du groupe 652 ou 656)"
"653.91","Velours et peluches tissés, non coupés, en fibres synthétiques ou artificielles"
"653.93","Autres velours et peluches tissés et tissus de chenille"
"654","Autres tissus"
"654.1","Tissus de soie ou de déchets de soie"
