marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
beurreterie en bar de fil blanc,999,???,???,,ambiguous,,[Beurreterie ; en bar ; de fil blanc],non
beurrière,,,,,,,,non
bezoar,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bezoar] [Bezouard] [Bézoard],non
bezoar du Ponent,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bibliothèque,6,6,6,,ambiguous,[Biblioteque],[Biblioteque] [Bibliotheque],non
bidet de faïence,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Bidet ; de fayence],non
bidet de faïence et leurs pièce,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Bidets ; de fayence et leurs pieces],non
bidets,660,6k,Autres manufs classés par mat 1ères,,new,,,non
bidets de faïence avec leurs pieds de bois,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Bidets ; de fayence ; avec leurs prez de bois],non
bière,660,6k,Autres manufs classés par mat 1ères,,ambiguous,[Biere] [Bierre] [Bierres] [Bierze] [Bière] [Biére] [biere] [bierre] [Sorte de bière],"[Biere] [Bierre] [Bierres] [Bierze] [Bière] [Biére] [biere] [bierre] [Sorte de bière] [Comestibles ; bière] [bierre de liège, d'anglettere etc] [1///Subsistances///Bière] [Comestibles bière] [Comestibles ; bierre]",non
bière aigre,100,1,Boissons et tabac,x,ambiguous,,[Bierre ; aigre],non
bière blanche,100,1,Boissons et tabac,x,ambiguous,,[Bierre ; blanche],non
bière cidre et vinaigre,920,9b,Divers mélangés,x,new,,,non
bière commune du pays,100,1,Boissons et tabac,x,ambiguous,,[bierre commune du pays],non
bière d'Angleterre,100,1,Boissons et tabac,x,ambiguous,,[Bière anglaise] [bierre d'angleterre] [bierre d'Angleterre],non
bière d'Hougarde,100,1,Boissons et tabac,x,ambiguous,,[bierre d'hougarde],non
bière de Hollande,100,1,Boissons et tabac,x,ambiguous,,[bierre d'hollande] [bierre d'Hollande],non
bière de Hollande et d'Angleterre,100,1,Boissons et tabac,x,ambiguous,,[buerre d'hollande et d'angleterre],non
bière de Liège,100,1,Boissons et tabac,x,new,,,non
bière de Lubek,100,1,Boissons et tabac,x,ambiguous,,[Biere ; de Lubek] [Biere de Lubec] [Bierre ; de Lubek],non
bière de Lubek pour médecine,100,1,Boissons et tabac,x,ambiguous,,[Biere ; de Luber ; pour médecine] [Bierre ; médecinale ; de Lubek],non
bière dite juypenbier,100,1,Boissons et tabac,x,ambiguous,,[bierre dite juypenbier],non
bière dite lumay,100,1,Boissons et tabac,x,ambiguous,,[bierre dite lumay],non
bière en bouteille,100,1,Boissons et tabac,x,new,,,non
bière en muid,100,1,Boissons et tabac,x,new,,,non
bière et cidre,100,1,Boissons et tabac,x,ambiguous,[Bierre et cidre] [Bière et cidre] [Cidre et bière],[Boissons ; bierre et cidre] [Bierre et cidre] [Bière et cidre] [Cidre et bière],non
bière et cidre et vinaigre,920,9b,Divers mélangés,x,ambiguous,,"[Bierre, cidre et vinaigne] [Bierre, cidre et vinaigre]",non
bière forte,100,1,Boissons et tabac,x,ambiguous,,[Bierre ; fortes],non
bigarade,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Bigarade] [Bigarades],[Bigarade] [Bigarades],non
bigarade fraîche,110,0a,Nourriture européenne et animaux vivants,,,,,non
bigons,999,???,???,,new,,,non
bigous,999,???,???,,new,,,non
bigues,999,???,???,,new,,,non
bijouterie,800,8,Manufs divers,,ambiguous,[Bijouterie] [Bijouteries] [Bijoutterie] [bijouteries],[Bijouterie] [Bijouteries] [Bijoutterie] [///Industrie Générale///Bijouterie] [Orfèvrerie et bijouterie] [Bijouterie ; divers] [Orfèvrerie bijouterie ; bijouterie] [///Industrie générale///Bijouterie] [Bijouterie ; diverse] [Bijoutrie],non
bijouterie et perles fines,800,8,Manufs divers,,ambiguous,,[Bijouterie et perles fines],non
bijouterie fine,800,8,Manufs divers,,new,,,non
bijouterie fine fausse en pierres faite métal,800,8,Manufs divers,,new,,,non
bijouterie pour montre d'argent,800,8,Manufs divers,,ambiguous,,[Bijouterie ; pour montre d'argent],non
bilardeaux,999,???,???,,existing,,,non
billard,800,8,Manufs divers,,ambiguous,[Billard],[Billard],non
billard vieux,800,8,Manufs divers,,ambiguous,,[Billard ; vieux],non
billes d'ivoire,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Billes d'yvoire] [Billes ; d'Yvoire] [Billes ; d'yvoire] [Billes d'ivoir],non
billes de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Billes de Bois] [Billes de bois],non
billes de bois de gaïac,630,6b,"Bois, liège, jonc",,ambiguous,,[Billes de Bois de Gayac],non
billes de bois marbré,630,6b,"Bois, liège, jonc",,ambiguous,,[Billes de Bois Marbré],non
billes de bois pour meuble,630,6b,"Bois, liège, jonc",,ambiguous,,[Billes de Bois a faire Meubles],non
billets de parchemin,640,6c,Papier,,ambiguous,,[Billets ; de parchemin] [Billets de parchemin],non
billles de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Belles ; de bois],non
billons,630,6b,"Bois, liège, jonc",,new,,,non
billons de bois blanc,630,6b,"Bois, liège, jonc",,new,,,non
billons de bois petits,630,6b,"Bois, liège, jonc",,new,,,non
billots,630,6b,"Bois, liège, jonc",,ambiguous,,[Billots],non
billots de chêne pour merrain,630,6b,"Bois, liège, jonc",,new,,,non
billots de sapin,630,6b,"Bois, liège, jonc",,ambiguous,,[Billot ; de sapin] [Billots de Sapin] [Billots de sapin] [billons de Sapin] [billots de Sapin],non
billots pour merrain,630,6b,"Bois, liège, jonc",,ambiguous,,[billots a faire Merrain],non
bimbeloterie,800,8,Manufs divers,,ambiguous,[Bimbeloterie],[Bimbeloterie],non
binages à pousser,999,???,???,,new,,,non
birampots bleu,999,???,???,,ambiguous,,[Birampots bleu],non
biscuit,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Biscuit] [Biscuits],[Comestibles ; biscuit] [Biscuit] [Biscuits] [Comestibles biscuits] [Comestibles ; biscuits],non
biscuit amer,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Biscuits amer],non
biscuit de mer,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Biscuit ; de mer] [Biscuit de Mer] [Biscuit de mer] [Biscuits ; de mer] [Biscuits de mer] [Provisions de bouche biscuit de mer],non
biscuit de munition,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[biscuits de munition],non
biscuits de mer,110,0a,Nourriture européenne et animaux vivants,,,,,non
biscuits de mer et pâtes d'Italie,110,0a,Nourriture européenne et animaux vivants,,,,,non
biscuits et farine et gruau et pâte,110,0a,Nourriture européenne et animaux vivants,,,,,non
bitume,500,5,Produits chimiques,,ambiguous,[Bithume],[Bithume],non
bitume de Judée,500,5,Produits chimiques,,ambiguous,,[Bithume ; de Judée] [Bithume de Judée] [Bitume ; de Judée] [bithume; de judée],non
blagues,800,8,Manufs divers,,new,,,non
blagues de cuir,800,8,Manufs divers,,new,,,non
blallst,999,???,???,,ambiguous,[Blallst],[Blallst],non
blanc,500,5,Produits chimiques,,ambiguous,[Blanc ;],[Drogue ; pour peinture et teinture ; blanc] [Blanc ;] [Blanc],non
blanc d'écaille,500,5,Produits chimiques,,ambiguous,,[Blanc ; d'ecaille] [blanc d'ecailles],non
blanc d'Espagne,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; Blanc d'Espagne] [Drogues ; Pour la peinture ; blanc d'Espagne] [Blan d'Espagne] [Blanc ; d' espagne] [Blanc ; d'Espagne] [Blanc ; d'espagne] [Blanc d'Espagne] [Blanc d'espagne] [Blanc; d'espagne] [blan d'Espagne] [blanc d'Espagne],non
blanc d'Espagne craie blanche et moulue,500,5,Produits chimiques,,new,,,non
blanc de ???,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture et la teinture ; Blanc de ****],non
blanc de baleine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Drogues ; melées ; Blanc de baleine] [Drogues melées ; Diverses ; Blanc de Baleine] [Blan de baleine] [Blan;de baleine] [Blanc ; de balaine] [Blanc ; de baleine] [Blanc de Baleine] [Blanc de baleine] [Blanc; de baleine] [blanc de Baleine] [blanc de balaine] [sperma ceti ou blanc de baleines] [Drogueries ; médecinales ; blanc ; de baleine],non
blanc de céruse,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture et la teinture ; Blanc de cerus] [Blanc ; de cerruze] [Blanc ; de cerure] [Blanc ; de ceruse] [Blanc ; de ceruze] [Blanc ; de seruze] [Blanc de Ceruze] [blanc de ceruse] [Blanc ; de Ceruse],non
blanc de ferax,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; Blanc de ferax],non
blanc de ferux,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; blanc de ferux],non
blanc de Herps,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; Blanc de Herps],non
blanc de plomb,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; blanc de plomb] [Drogues ; Pour la peinture et la teinture ; Blanc de plomb] [Drogues ; pour la peinture et la teinture ; blanc ; de plomb] [Blanc ; de plomb] [Blanc ; plomb] [Blanc de plomb] [Blanc; de plomb],non
blanc de plomb et térébenthine,500,5,Produits chimiques,,new,,,non
blanc de Troyes,500,5,Produits chimiques,,ambiguous,,[Blanc ; de Croyes] [Blanc ; de Froyes] [Blanc ; de Troyes] [Blanc ; de troyes] [Blanc; de S Croyes],non
blanc en chevron,500,5,Produits chimiques,,ambiguous,,[Blanc ; en chevron],non
blanc simple,500,5,Produits chimiques,,ambiguous,,[Blanc simple],non
blanchette,999,???,???,,new,,,non
blanchissoire,999,???,???,,ambiguous,[Blanchissoires] [blanchisoire],[Blanchissoires] [blanchisoire],non
blanquette,100,1,Boissons et tabac,x,ambiguous,[Blanquette],[Blanquette],non
blé,110,0a,Nourriture européenne et animaux vivants,,,,,non
blé avarié,110,0a,Nourriture européenne et animaux vivants,,new,,,non
blé et autres grains,110,0a,Nourriture européenne et animaux vivants,,,,,non
bleu,500,5,Produits chimiques,,ambiguous,,[Bleu] [Bleu colorant],non
bleu calaminé,500,5,Produits chimiques,,ambiguous,,[Bleu ; calaminé],non
bleu commun,500,5,Produits chimiques,,ambiguous,,[Bleu ; commun] [Drogues ; Pour la peinture et la teinture ; Bleu commun] [Drogues ; pour peinture et teinture ; bleue ; commune],non
bleu d'azur,500,5,Produits chimiques,,new,,,non
bleu de Berlin,500,5,Produits chimiques,,ambiguous,,[bleu de Berlin],non
bleu de paille,500,5,Produits chimiques,,new,,,non
bleu de Pierre,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture et la teinture ; Bleu de Pierre],non
bleu de Prusse,500,5,Produits chimiques,,ambiguous,,[Bleu ; de Prusse] [Bleu ; de prusse] [Bleu de Prusse] [Bleu de prusse] [Bleu; de Prusse] [Bleue de Prusse] [Drogues ; Pour la peinture et la teinture ; Bleu de Prusse] [Drogues ; pour la peinture et la teinture ; bleu ; de prusse] [Drogues ; pour la peinture et la teinture ; bleue ; de Prusse] [Drogues ; pour peinture et teinture ; bleu ; de Prusse] [Drogues ; Pour la teinture ; Bleu de Prusse] [Drogues ; pour la peinture et la teinture ; Bleu ; de Prusse] [Drogues; Pour peintures et teintures; Bleu de Prusse],non
bleu de Prusse et graine jaune,500,5,Produits chimiques,,ambiguous,,[Bleu de Prusse et graine jaune],non
bleu de Prusse et lazulite,500,5,Produits chimiques,,ambiguous,,[Bleu de Prusse et lazulite] [Bleu de Prusse et lazulize],non
bleu de Saxe,500,5,Produits chimiques,,new,,,non
bleu de smalt,500,5,Produits chimiques,,new,,,non
bleu en encre,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture et la teinture ; Bleu en encre],non
bleu en pierres,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la teinture ; Bleu en pierre] [Drogue ; pour peinture et teinture ; bleu ; en pierres] [Drogueries ; pour peinture et teinture ; bleu ; en pierre] [Drogues ; pour la peinture et la teinture ; bleu ; en pierre],non
bleu fin,500,5,Produits chimiques,,ambiguous,,[Bleu ; fin],non
bleu foncé,500,5,Produits chimiques,,ambiguous,,[Bleu ; foncé],non
bleu ordinaire,500,5,Produits chimiques,,,,,non
bleu ou tournesol,500,5,Produits chimiques,,ambiguous,[Bleu ou tournesol],[Bleu ou tournesol],non
blocs,999,???,Produits inconnus,x,ambiguous,,[Blocs] [Blois] [Blocs ; ???],non
blocs de cuivre jaune,670,6j,Métal,,new,,,non
blocs de jonc,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Blois de Jong],non
blonde,656,6i,Autres textiles,,ambiguous,[Blonde] [Blondes],[Blonde] [Blondes],non
blonde d'argent,656,6i,Autres textiles,,ambiguous,,[Blonde ; d'argent],non
blonde d'or,656,6i,Autres textiles,,ambiguous,,[Blonde ; d'or],non
blonde de fil,655,6h,Autres textiles mêlés fibres végétales et toiles,,ambiguous,,[Blonde ; de fil],non
blonde de soie,653,6f,Textiles soie soie mêlée,,ambiguous,,[Blonde ; de soye] [Blonde de soye] [Blonde de soie],non
blonde or et argent,656,6i,Autres textiles,,ambiguous,,[Blonde ; or et argent],non
blonde visage,999,???,???,,new,,,non
blues d'étain,670,6j,Métal,,new,,,non
bluteau de laine,652,6e,Textiles laine poil,,,,,non
bluteaux,700,7,Machines et transports,,new,,,non
bobine de cuir,610,6a,"Cuirs, peaux et produits dérivés hors sellerie",x,ambiguous,[Bobine de Cuirs],[Bobine de Cuirs],non
bodans,999,???,???,,,,,non
boëland,999,???,???,,new,,,non
bœuf,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Beuf] [Beufs],[Beuf; en vie] [Bœufs en vie] [Beuf] [Beufs] [Bestiaux ; Bœufs] [Bestiaux ; bœufs] [Boeufs] [Bœuf] [Bœufs] [Bœufs ; sallé] [Bœufs ; en vie] [Beuf ; en vie] [Bestiaux ; búufs] [Boeuf ; en vie] [Bœuf ; en vie] [Boeufs en vie] [Bestiaux bœufs] [Bœuf en vie] [Bestiaux et bêtes ; de somme ; búuf] [Bestiaux divers; Bœufs] [Bœufs ; bœufs] [Beuf en vie] [Beufs ; en vie] [Bestiaux; Bœufs] [Bestiaux ; en búufs] [Boeuf] [Bestiaux et bêtes ; de somme ; boeufs],non
bœuf à l'écarlate,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Beuf ; à l'Ecarlate] [Beufs ; à l'écarlatte],non
bœuf à la mode,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Boeuf ; a la mode] [Bœuf a la mode] [Beuf ; a la mode],non
bœuf d'Irlande,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Bœuf d'Irlande],non
bœuf du pays,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf en daube,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Beuf ; à la daube] [Beuf à la daube] [Beuf; à la daube] [Beufs ; à la daube] [Bœuf à la daube] [Chairs salées ; bœuf en daube] [Bœuf en daube] [Bœuf ; a la daube] [Beuf a la daube] [Chair de bœuf à la daube],non
bœuf et génisses et vaches,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf et langue salée,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Bœufs et langues salées ; de toutes sortes],[Bœufs et langues salées ; de toutes sortes],non
bœuf et moutons et porcs et vaches,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Bestiaux en bœufs, vaches porcs, moutons] [Bestiaux en bœufs, vaches, porcs et moutons] [Bestiaux en bœufs, vaches, porcs moutons] [Bestiaux en bœufs, vaches, porcs, et moutons] [Bestiaux en bœufs, vaches, porcs, moutons] [1///Subsistances///Bestiaux en Bœufs, vaches, porcs, moutons] [1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons] [1///Subsistances///Bestiaux en bœufs, vaches, porcs, moutons]",non
bœuf et moutons et porcs et vaches et veaux,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,"[Bestiaux en bœufs, vaches, veaux, porcs et moutons] [1///Subsistances///Bestiaux en bœufs, vaches, veaux, porcs et moutons] [1///Subsistances///Bestiaux en bœufs,vaches, veaux, porcs et moutons]",non
bœuf et moutons et vaches et veaux,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf et taureaux,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf et vaches,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf froment,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Bœuf Froment],non
bœuf fumé,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Beuf ; fumé] [Beuf fumé] [Beuf; fumé] [Beufs ; fumé] [Beufs ; fumée] [Beufs ; fumés] [Boeuf ; fumé] [Bœuf ; fumé] [Bœuf Fumé] [Bœuf fumé] [beuf Fumé] [beuf fumé] [bœuf Fumé],non
bœuf fumée et salée,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf gras,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf illinois,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Bœufs Illinois],non
bœuf jeune,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf préparé,110,0a,Nourriture européenne et animaux vivants,,,,,non
bœuf salé,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Comestibles ; bœuf ; salé] [Chairs salées ; chair de bœuf ; diverses] [Chairs salées ; chair de bœuf ; bœuf salé] [Chair salée ; Bœuf] [Chair salée ; Bœuf salé] [Chair salée ; De bœuf] [Chairs ; salées ; bœuf] [Chairs ; salées ; de bœuf] [Beuf ; sallé] [Beuf ; salé] [Beuf Sallé] [Beuf Salé] [Beuf sale] [Beuf sallé] [Beuf salé] [Beuf; salé] [Beufs ; Salé] [Beufs ; salé] [Beufs ; salés] [Boeuf ; salé] [Boeuf salé] [Bœuf ; sallé] [Bœuf ; salé] [Bœuf Sallé] [Bœuf Salé] [Bœuf sallé] [Bœuf salé] [Bœufs ; salé] [beuf sallé] [beuf salé] [bœuf salé] [Bœufs salés] [Chairs salées ; bœuf salé] [Chair de bœuf salé] [Chairs salées bœuf salé] [Chairs salées de bœuf] [Chairs ; salés ; búuf] [Chairs ; salées ; búuf] [Chairs salées bœuf] [Chairs salées; Bœuf] [Bœufs salé] [Chair salée bœuf salé] [Chairs de bœuf salé] [Chairs ; salées ; de búuf] [Chaires salées ; bœuf salé] [Chair salée bœuf],non
bœuf salé d'Irlande,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf salé du pays,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuf taureau,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bœuftins et génisses,110,0a,Nourriture européenne et animaux vivants,,new,,,non
bois,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Bois] [Bois ; de bois] [Bois ; ?] [Bois ; ??] [Bois de France] [bois de toutes sortes] [Bois ; Divers] [Bois ; divers] [Bois divers] [bois dit werres] [Parties de bois non spécifiées ?] [Parties de bois ordinaires ?] [Parties de bois prussien ?] [Sorte de bois],[Bois ; mêlée] [Bois] [Bois ; de bois] [Bois ; ?] [Bois ; ??] [bois de toutes sortes] [Bois ; Divers] [Bois ; divers] [Bois divers] [Parties de bois non spécifiées ?] [Parties de bois ordinaires ?] [Parties de bois prussien ?] [Sorte de bois] [Bois de toute sorte] [Bois divers;] [2///Matières premières///Bois divers] [Bois de toutes espèces] [Bois ; mêlés] [2///Matières première///Bois divers] [Bois; Divers] [bois de toutes sortes declarés par valeur] [Bois de toutes sortes],non
bois à fusil,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; fusil],non
bois à quart,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; a quart] [Bois ; a quarts],non
bois à tourner,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; à tourner],non
bois à travailler,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois amer,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; amer] [Bois ; a visse],non
bois atamis,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois au daume,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; au daumes],non
bois autre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois de ?],non
bois barres de guindeau,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois billot,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; billots],non
bois blanc,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; blanc],non
bois bordage,630,6b,"Produits du bois, liège, jonc",x,ambiguous,[Bois ; Bordages] [Bois ; bardage] [Bois ; bardages] [Bois ; bordage] [Bois ; bordages] [Bois bordages],[Bois ; Bordages] [Bois ; bardage] [Bois ; bardages] [Bois ; bordage] [Bois ; bordages] [Bois bordages],non
bois bourdillon,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; Bbourdillons] [Bois ; bourdille] [Bois ; bourdilles] [Bois ; bourdilleu] [Bois ; bourdillon] [Bois ; bourdillons] [Bois; bourdilles],non
bois boway de chêne,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; boway ; de chesne],non
bois boway de sapin,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; boway ; de sapin],non
bois brandille,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; brandilles],non
bois bray,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; bray],non
bois brun,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; brun] [Bois ; buis],non
bois cercle,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; cercles] [Bois; Cercles],non
bois cordayer,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; cordayer],non
bois courbé,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois courbé],non
bois d'acajou,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'Accajou] [Bois ; d'acajou] [Bois ; d'accajou] [Bois d'Acajou] [Bois d'acajou] [Bois; d'acajou] [bois d'acajou] [Bois ; D'inde ; D'acajou] [Bois ; d'inde pour teinture et marquetrie ; d'acajou] [Bois ; d'indes pour teinture et marqueterie ; d'acajou] [Bois ; des Isles ; d'Acajou] [Bois ; d'accajoû] [Bois d'accajou],non
bois d'acajou divers,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois d'aloès,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'aloes] [Bois ; d'aloès] [Bois ; d'aloës] [Bois; d'aloës] [bois d'aloües],non
bois d'amarante,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'amarante] [Bois ; d'amarente],non
bois d'Angeot,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'Angeole] [Bois ; d'angeot] [Bois; d'angeole],non
bois d'Angola,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois d'ansprete,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; d'ansprete],non
bois d'arc,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois pour arc] [bois d'arcs],non
bois d'arc et à fusil,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[bois d'arc et de fusils],non
bois d'arc et d'arbalètes,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[bois d'arcs et d'arbulettes],non
bois d'arc et de flèche,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,"[bois de flèches, arcs etc]",non
bois d'arc et de selles,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[bois d'arcs et de selles],non
bois d'aspatton,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'aspatton],non
bois d'ébène,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'Ebenne] [Bois ; d'Ebennes] [Bois ; d'Ebène] [Bois ; d'ebene] [Bois ; d'ebenne] [Bois ; d'ebennes] [Bois ; d'ébenne] [Bois ; d'ébène] [Bois d'Ebene] [Bois d'ebene] [Bois d'ebenne] [Bois d'ébène] [Bois; d'ebenne] [bois d'ebenne] [Bois ; des Indes ; d'Ebene] [Bois ; d'Ebeinne] [Bois ; des Isles et des Indes ; d'ébenne] [Bois ; D'inde ; D'ebenne],non
bois d'ébène d'Indes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois d'ébénisterie et des Indes,630,6b,"Produits du bois, liège, jonc",x,,,,non
bois d'écarage,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; d'écarage],non
bois d'érable,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de erable],non
bois d'espars,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; d'Esparts],non
bois d'esquine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'esquisse] [Bois ; d'esquine],non
bois d'olivier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d' olivier] [Bois ; d'olivier] [Bois d'olivier] [Bois; d'olivier] [bois d'olivier],non
bois d'olivier à brûler,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois d'olivier pelé,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'olivier pelé],non
bois d'orignal,,,,,,,,non
bois d'orme,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'orme],non
bois d'ormeau,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois d'osier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; D'osier] [Bois ; d'osier] [Bois ; d'ozier] [Bois d'ozier] [Ozier (bois)],non
bois de bateau,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois de bateau] [Bois ; en battreaux],non
bois de bordage,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de bordage] [Bois de Bordage],non
bois de bordage de chêne,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois de Bordages ; de chêne],non
bois de bordage de sapin,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de bordages ; de sapin],non
bois de Brésil,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois du Brésil] [bois du Brezil] [Bois ; de Bresil] [Bois ; de Brezil] [Bois ; de Brésil] [Bois ; de brazil] [Bois ; de bresil] [Bois ; de bressil] [Bois ; de brezil] [Bois ; de brésil] [Bois ; de brézil] [Bois ; du Brésil] [Bois a bresil] [Bois de BREZIL] [Bois de Bresil] [Bois de Brezil] [Bois de Brésil] [Bois de bresil] [Bois de brezil] [Bois de brésil] [Bois de brézil] [Bois du BR...SIL] [Bois du BREZIL] [Bois du bresil] [Bois du brésil] [Bois; de brezil] [Bois; de brésil] [bois Brezil] [bois de Brésil] [bois de bezil] [bois de bresil] [bois de brezil] [bois de brézil] [bois de Brezil] [Bois ; des Indes ; de Brésil] [Bois ; D'inde ; De Bresil] [Bois ; Bresil] [Bois ; d'indes pour teinture et marqueterie ; de brésil] [Bois ; des Isles et des Indes ; de Brésil] [Bois ; d'inde pour teinture et marquetrie ; de brésil],non
