Data entry by,Source,Year,Sheet,Marchandises,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total
Fatima Zahra,,1 788,42,Bois métaux combustible et autres pructions brutes de la terre ; Bois divers,,23 300,,,,3 354 900
Fatima Zahra,,1 788,45,Drogues ;                safran,1 730,39 600,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;                falssepareil,27 700,66 700,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ; pour peinture et teinture,,24 000,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;       alun,452 200,114 000,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;        cochenille,107 240,1 935 500,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;        garence,80 700,65 100,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;        indigo,368 000,3 740 900,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;        sumac,113 100,22 600,,,,6 683 300
Fatima Zahra,,1 788,45,Drogues ;        vermillon,28 560,228 400,,,,6 683 300
Fatima Zahra,,1 788,45,Epicerie ; cannelle,6 290,70 500,157 000,,,157 000
Fatima Zahra,,1 788,45,Epicerie ; piment,57 100,58 000,157 000,,,157 000
Fatima Zahra,,1 788,45,Epicerie ; poivre,18 400,28 500,157 000,,,157 000
Fatima Zahra,,1 788,45,Tabac ; divers,121 100,62 200,,,,62 200
Fatima Zahra,,1 788,45,Objets de moindre valeur,,134 200,,,,
