"numrodeligne","dataentryby","source","sourcepath","sourcetype","year","exportsimports","sheet","marchandises","pays","direction","value","remarks"
108,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1741,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3578571,97083333","En fait sur deux ans"
109,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1742,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","4365079,9","En fait sur deux ans"
110,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1743,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3897717,975","En fait sur deux ans"
111,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1744,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","4100953,8","En fait sur deux ans"
112,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1745,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","5912120,45","En fait sur deux ans"
113,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1746,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3111924,37083333","En fait sur deux ans"
114,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1747,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3774321,27083333","En fait sur deux ans"
115,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1748,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
116,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1749,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
117,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","National toutes directions tous partenaires",1750,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
118,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1751,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3427029,25","En fait sur deux ans"
119,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1752,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","5080262,15","En fait sur deux ans"
120,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1753,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","5785553,3","En fait sur deux ans"
121,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1754,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3195282,45","En fait sur deux ans"
122,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1755,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","6636704,55","En fait sur deux ans"
123,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1756,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3762067,55","En fait sur deux ans"
124,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1757,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","10335,7","En fait sur deux ans"
125,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1758,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","2162155,6","En fait sur deux ans"
126,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1759,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","1320402,5","En fait sur deux ans"
127,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1760,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
128,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1761,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
129,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1762,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","3099117,05","En fait sur deux ans"
130,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1763,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
131,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1764,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes",0,"En fait sur deux ans"
132,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1765,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","5173666,9","En fait sur deux ans"
133,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1766,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","4429615,25","En fait sur deux ans"
134,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1767,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","7130910,3","En fait sur deux ans"
135,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1768,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","4499655,9","En fait sur deux ans"
136,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1769,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","5841223,25","En fait sur deux ans"
137,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1770,"Imports",1,"thés, porcelaine, soyeries","Chine","France par la Compagnie des Indes","4894359,4","En fait sur deux ans"
138,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1771,"Imports",1,"thés, porcelaine, soyeries, etc","Chine","France par la Compagnie des Indes","5354972,25","En fait sur deux ans"
139,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"castors","Canada","France par la Compagnie des Indes","396904,920833333","En fait sur deux ans"
140,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"castors","Canada","France par la Compagnie des Indes","274042,85","En fait sur deux ans"
141,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"castors","Canada","France par la Compagnie des Indes","432156,1","En fait sur deux ans"
142,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"castors","Canada","France par la Compagnie des Indes","470362,625","En fait sur deux ans"
143,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"castors","Canada","France par la Compagnie des Indes","636721,1125","En fait sur deux ans"
144,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"castors","Canada","France par la Compagnie des Indes","681232,7875","En fait sur deux ans"
145,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"castors","Canada","France par la Compagnie des Indes","471592,2875","En fait sur deux ans"
146,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"castors","Canada","France par la Compagnie des Indes","607142,75","En fait sur deux ans"
147,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"castors","Canada","France par la Compagnie des Indes","538520,775","En fait sur deux ans"
148,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"castors","Canada","France par la Compagnie des Indes","579856,15","En fait sur deux ans"
149,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"castors","Canada","France par la Compagnie des Indes","759415,6625","En fait sur deux ans"
150,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1737,"Imports",1,"castors","Canada","France par la Compagnie des Indes","790241,8875","En fait sur deux ans"
151,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1738,"Imports",1,"castors","Canada","France par la Compagnie des Indes","745982,8375","En fait sur deux ans"
152,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1739,"Imports",1,"castors","Canada","France par la Compagnie des Indes","586617,35","En fait sur deux ans"
153,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1740,"Imports",1,"castors","Canada","France par la Compagnie des Indes","593855,15","En fait sur deux ans"
154,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1741,"Imports",1,"castors","Canada","France par la Compagnie des Indes","588004,1","En fait sur deux ans"
155,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1742,"Imports",1,"castors","Canada","France par la Compagnie des Indes","560704,5625","En fait sur deux ans"
156,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1743,"Imports",1,"castors","Canada","France par la Compagnie des Indes","649302,65","En fait sur deux ans"
157,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1744,"Imports",1,"castors","Canada","France par la Compagnie des Indes","690202,3","En fait sur deux ans"
158,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1745,"Imports",1,"castors","Canada","France par la Compagnie des Indes","440580,95","En fait sur deux ans"
159,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1746,"Imports",1,"castors","Canada","France par la Compagnie des Indes","621902,625","En fait sur deux ans"
160,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1747,"Imports",1,"castors","Canada","France par la Compagnie des Indes","632739,4125","En fait sur deux ans"
161,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1748,"Imports",1,"castors","Canada","France par la Compagnie des Indes","707082,55","En fait sur deux ans"
162,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1749,"Imports",1,"castors","Canada","France par la Compagnie des Indes","967578,3","En fait sur deux ans"
163,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","National toutes directions tous partenaires",1750,"Imports",1,"castors","Canada","France par la Compagnie des Indes","1231172,3","En fait sur deux ans"
164,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1751,"Imports",1,"castors","Canada","France par la Compagnie des Indes","1240568,6625","En fait sur deux ans"
165,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1752,"Imports",1,"castors","Canada","France par la Compagnie des Indes","1047969,5","En fait sur deux ans"
166,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1753,"Imports",1,"castors","Canada","France par la Compagnie des Indes","924101,15","En fait sur deux ans"
167,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1754,"Imports",1,"castors","Canada","France par la Compagnie des Indes","788584,95","En fait sur deux ans"
168,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1755,"Imports",1,"castors","Canada","France par la Compagnie des Indes","874673,85","En fait sur deux ans"
169,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1756,"Imports",1,"castors","Canada","France par la Compagnie des Indes","773136,1","En fait sur deux ans"
170,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1757,"Imports",1,"castors","Canada","France par la Compagnie des Indes",710934,"En fait sur deux ans"
171,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1758,"Imports",1,"castors","Canada","France par la Compagnie des Indes","778356,1","En fait sur deux ans"
172,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1759,"Imports",1,"castors","Canada","France par la Compagnie des Indes",792777,"En fait sur deux ans"
173,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1760,"Imports",1,"castors","Canada","France par la Compagnie des Indes","751282,45","En fait sur deux ans"
174,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1761,"Imports",1,"castors","Canada","France par la Compagnie des Indes","478750,404166667","En fait sur deux ans"
175,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1762,"Imports",1,"castors","Canada","France par la Compagnie des Indes","42748,15","En fait sur deux ans"
176,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1763,"Imports",1,"castors","Canada","France par la Compagnie des Indes","68320,25","En fait sur deux ans"
177,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1764,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
178,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1765,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
179,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1766,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
180,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1767,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
181,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1768,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
182,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1769,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
183,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1770,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
184,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1771,"Imports",1,"castors","Canada","France par la Compagnie des Indes",0,"En fait sur deux ans"
185,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1726,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","532004,866666667","En fait sur deux ans"
186,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1727,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","519367,358333333","En fait sur deux ans"
187,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1728,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","338965,0125","En fait sur deux ans"
188,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1729,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","170762,129166667","En fait sur deux ans"
189,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1730,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","352894,166666667","En fait sur deux ans"
190,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1731,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","244111,958333333","En fait sur deux ans"
191,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1732,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","313506,1125","En fait sur deux ans"
192,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1733,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","229317,304166667","En fait sur deux ans"
193,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1734,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",136544,"En fait sur deux ans"
194,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1735,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","162079,6375","En fait sur deux ans"
195,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1736,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","76372,4166666667","En fait sur deux ans"
196,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1737,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","94529,5583333333","En fait sur deux ans"
197,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1738,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","304003,7125","En fait sur deux ans"
198,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1739,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","205057,270833333","En fait sur deux ans"
199,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1740,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","162512,445833333","En fait sur deux ans"
200,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1741,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","354995,045833333","En fait sur deux ans"
201,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1742,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","110103,141666667","En fait sur deux ans"
202,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1743,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","209260,45","En fait sur deux ans"
203,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1744,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","113638,429166667","En fait sur deux ans"
204,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1745,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","113206,7125","En fait sur deux ans"
205,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1746,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
206,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1747,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",9450,"En fait sur deux ans"
207,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1748,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","16313,5916666667","En fait sur deux ans"
208,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1749,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","21034,4791666667","En fait sur deux ans"
209,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","National toutes directions tous partenaires",1750,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","56129,0458333333","En fait sur deux ans"
210,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1751,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","32049,0375","En fait sur deux ans"
211,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1752,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","16833,6416666667","En fait sur deux ans"
212,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Local",1753,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","30486,4833333333","En fait sur deux ans"
213,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1754,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","61419,5833333333","En fait sur deux ans"
214,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1755,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","12600,2","En fait sur deux ans"
215,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1756,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
216,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1757,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes","569,35","En fait sur deux ans"
217,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1758,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
218,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1759,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
219,"Stephen Jackson","BNF_MF_6431","National/Objet Général/Compagnie des Indes – Entrées – BNF MF 6431.csv","Objet Général",1760,"Imports",1,"denrées du crû des Isles d’Amérique provenant de la vente aux dites Isles des nègres de Guinée","Guinée","France par la Compagnie des Indes",0,"En fait sur deux ans"
