numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
80,Hasna,Archives de la CCI de Marseille - I 109,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,fromage,Marseille,Espagne,"47 750,00",livres,"0,2500000","11937,00","-0,50",
81,Hasna,Archives de la CCI de Marseille - I 110,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,fusils,Marseille,Espagne,"200,00",nombre,"15,0000000","3000,00","0,00",
82,Hasna,Archives de la CCI de Marseille - I 111,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,garance,Marseille,Espagne,"515,00",livres,"0,4000000","206,00","0,00",
83,Hasna,Archives de la CCI de Marseille - I 112,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,graines jaune,Marseille,Espagne,"6 780,00",livres,"0,2600000","1762,00","-0,80",
84,Hasna,Archives de la CCI de Marseille - I 113,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,graines de millet,Marseille,Espagne,"8 720,00",livres,"0,0500000","436,00","0,00",
85,Hasna,Archives de la CCI de Marseille - I 114,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,harangs fumés,Marseille,Espagne,"1 015,00",barrils,"24,0000000","24360,00","0,00",
86,Hasna,Archives de la CCI de Marseille - I 115,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,herbes d'orseille,Marseille,Espagne,"11 845,00",livres,"0,5000000","5922,00","-0,50",
87,Hasna,Archives de la CCI de Marseille - I 116,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,herbes perelles,Marseille,Espagne,"3 105,00",livres,"0,4000000","1242,00","0,00",
88,Hasna,Archives de la CCI de Marseille - I 117,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,herbes a teindre,Marseille,Espagne,"5 765,00",livres,"0,3000000","1729,00","-0,50",
89,Hasna,Archives de la CCI de Marseille - I 118,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,huile d'olive,Marseille,Espagne,"5 256,00",milleroles,"40,0000000","210240,00","0,00",
90,Hasna,Archives de la CCI de Marseille - I 119,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,huile de poisson,Marseille,Espagne,"107 941,00",livres,"0,2500000","26985,00","-0,25",
91,Hasna,Archives de la CCI de Marseille - I 120,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,jalap,Marseille,Espagne,"10 499,00",livres,"2,2500000","23622,00","-0,75",
92,Hasna,Archives de la CCI de Marseille - I 121,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,indigo,Marseille,Espagne,"103 745,00",livres,"10,0000000","1037450,00","0,00",
93,Hasna,Archives de la CCI de Marseille - I 122,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,ipecacuana,Marseille,Espagne,"517,00",livres,"4,0000000","2068,00","0,00",
94,Hasna,Archives de la CCI de Marseille - I 123,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,3,1757,Imports,jus de citron,Marseille,Espagne,"7 500,00",livres,"0,2000000","1500,00","0,00",
