numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantit_unit,prix_unitaire,value,probleme,remarks
539,Hasna,Archives de la CCI de Marseille - I 568,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,toile blanche,Marseille,Italie,"726,00",pieces,"4,0000000","2904,00","0,00",
540,Hasna,Archives de la CCI de Marseille - I 569,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,toile blanche,Marseille,Italie,"20 570,00",livres,"5,0000000","102850,00","0,00",
541,Hasna,Archives de la CCI de Marseille - I 570,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,toile crue,Marseille,Italie,"75,00",pieces,"30,0000000","2250,00","0,00",
542,Hasna,Archives de la CCI de Marseille - I 571,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,toile diverses,Marseille,Italie,"4 400,00",livres,"4,0000000","17600,00","0,00",
543,Hasna,Archives de la CCI de Marseille - I 572,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,toile d'emballage,Marseille,Italie,"9 810,00",livres,"0,6000000","5886,00","0,00",
544,Hasna,Archives de la CCI de Marseille - I 573,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,toile avoile,Marseille,Italie,"8 050,00",livres,"2,0000000","16100,00","0,00",
545,Hasna,Archives de la CCI de Marseille - I 574,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,trelis,Marseille,Italie,"89,00",douzaines,"36,0000000","3204,00","0,00",
546,Hasna,Archives de la CCI de Marseille - I 575,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,trictrac,Marseille,Italie,"1,00",nombre,"18,0000000","12,00","-6,00",erreur d'écriture
547,Hasna,Archives de la CCI de Marseille - I 576,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,vanille,Marseille,Italie,"500,00",livres,"48,0000000","24000,00","0,00",
548,Hasna,Archives de la CCI de Marseille - I 577,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,velours,Marseille,Italie,"5 358,50",livres,"50,0000000","267925,00","0,00",
549,Hasna,Archives de la CCI de Marseille - I 578,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,9,1757,Imports,velours,Marseille,Italie,"1 345,00",pieces,"400,0000000","538000,00","0,00",
550,Hasna,Archives de la CCI de Marseille - I 579,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vermichel,Marseille,Italie,"313 814,00",livres,"0,1500000","47072,00","-0,10",
551,Hasna,Archives de la CCI de Marseille - I 580,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,verres communs,Marseille,Italie,"5 500,00",livres,"1,0000000","5500,00","0,00",
552,Hasna,Archives de la CCI de Marseille - I 581,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,verres cristalins,Marseille,Italie,"8 050,00",livres,"2,0000000","16100,00","0,00",
553,Hasna,Archives de la CCI de Marseille - I 582,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,verrunes,Marseille,Italie,"1,00",douzaines,"3,0000000","3,00","0,00",
554,Hasna,Archives de la CCI de Marseille - I 583,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vin blanc,Marseille,Italie,"10,00",milleroles,"24,0000000","240,00","0,00",
555,Hasna,Archives de la CCI de Marseille - I 584,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vin de chipres,Marseille,Italie,"180,00",milleroles,"60,0000000","10800,00","0,00",erreur d'écriture (l'unité de mesure est la millerole pas la livre)
556,Hasna,Archives de la CCI de Marseille - I 585,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vin muscat,Marseille,Italie,"100,00",milleroles,"40,0000000","200,00","-3 800,00",erreur d'écriture (sous au lieu de lt)
557,Hasna,Archives de la CCI de Marseille - I 586,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vin muscat,Marseille,Italie,"360,00",bouteilles,"1,0000000","360,00","0,00",
558,Hasna,Archives de la CCI de Marseille - I 587,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vin muscat,Marseille,Italie,"3 790,00",livres,"0,3000000","1137,00","0,00",
559,Hasna,Archives de la CCI de Marseille - I 588,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vin rouge,Marseille,Italie,"15,00",milleroles,"9,0000000","135,00","0,00",
560,Hasna,Archives de la CCI de Marseille - I 589,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,vitriol,Marseille,Italie,"450,00",livres,"0,6000000","270,00","0,00",
561,Hasna,Archives de la CCI de Marseille - I 590,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,ajamis,Marseille,Levant,"58 776,00",pieces,"9,0000000","528984,00","0,00",
562,Hasna,Archives de la CCI de Marseille - I 591,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,alaya,Marseille,Levant,"329,00",pieces,"4,0000000","1316,00","0,00",
563,Hasna,Archives de la CCI de Marseille - I 592,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,aloës,Marseille,Levant,"632,00",livres,"1,5000000","948,00","0,00",
564,Hasna,Archives de la CCI de Marseille - I 593,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,alun,Marseille,Levant,"139 040,00",livres,"0,1200000","16684,00","-0,80",
565,Hasna,Archives de la CCI de Marseille - I 594,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,amandes,Marseille,Levant,"28 496,00",livres,"0,2000000","5699,00","-0,20",
566,Hasna,Archives de la CCI de Marseille - I 595,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,anis,Marseille,Levant,"21 090,00",livres,"0,1500000","3163,00","-0,50",
567,Hasna,Archives de la CCI de Marseille - I 596,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,assafetida,Marseille,Levant,"200,00",livres,"1,5000000","300,00","0,00",
568,Hasna,Archives de la CCI de Marseille - I 597,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,balais de palme ,Marseille,Levant,"1 500,00",douzaines,"0,6000000","900,00","0,00",
569,Hasna,Archives de la CCI de Marseille - I 598,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bas de cotton,Marseille,Levant,"11 680,00",livres,"5,0000000","58400,00","0,00",
570,Hasna,Archives de la CCI de Marseille - I 599,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,batanonis,Marseille,Levant,"13 705,00",livres,"4,0000000","54820,00","0,00",
571,Hasna,Archives de la CCI de Marseille - I 600,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bazannes tanées,Marseille,Levant,"400,00",livres,"1,0000000","400,00","0,00",
572,Hasna,Archives de la CCI de Marseille - I 601,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bedelium,Marseille,Levant,"150,00",livres,"0,9000000","135,00","0,00",
573,Hasna,Archives de la CCI de Marseille - I 602,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bernus,Marseille,Levant,"16,00",pieces,"30,0000000","480,00","0,00",
574,Hasna,Archives de la CCI de Marseille - I 603,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bled froment,Marseille,Levant,"37 086,00",charges,"20,0000000","741720,00","0,00",
575,Hasna,Archives de la CCI de Marseille - I 604,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bois a buis,Marseille,Levant,"19 957,00",livres,"0,0150000","299,00","-0,36",
576,Hasna,Archives de la CCI de Marseille - I 605,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,boucassins,Marseille,Levant,"1 779,00",pieces,"3,0000000","5337,00","0,00",
577,Hasna,Archives de la CCI de Marseille - I 606,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bourde,Marseille,Levant,"763 325,00",livres,"0,0400000","30533,00","0,00",
578,Hasna,Archives de la CCI de Marseille - I 607,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,bours de Levant,Marseille,Levant,"14 443,00",pieces,"36,0000000","519948,00","0,00",
579,Hasna,Archives de la CCI de Marseille - I 608,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cabas de palmes,Marseille,Levant,"84,00",douzaines,"2,0000000","168,00","0,00",
580,Hasna,Archives de la CCI de Marseille - I 609,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,caffé,Marseille,Levant,"280 956,00",livres,"1,8000000","505720,00","-0,80",
581,Hasna,Archives de la CCI de Marseille - I 610,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,caffetieres,Marseille,Levant,"800,00",livres,"1,5000000","1200,00","0,00",
582,Hasna,Archives de la CCI de Marseille - I 611,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cantarides,Marseille,Levant,"400,00",livres,"2,5000000","1000,00","0,00",
583,Hasna,Archives de la CCI de Marseille - I 612,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,capots,Marseille,Levant,"778,00",pieces,"9,0000000","7002,00","0,00",
584,Hasna,Archives de la CCI de Marseille - I 613,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cendre,Marseille,Levant,"1 607 600,00",livres,"0,0800000","128608,00","0,00",
585,Hasna,Archives de la CCI de Marseille - I 614,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,chanvre crû,Marseille,Levant,"4 880,00",livres,"0,1800000","878,00","-0,40",
586,Hasna,Archives de la CCI de Marseille - I 615,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,chocolat,Marseille,Levant,"310,00",livres,"2,0000000","620,00","0,00",
587,Hasna,Archives de la CCI de Marseille - I 616,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cire jaune,Marseille,Levant,"393 052,00",livres,"1,5000000","589578,00","0,00",
588,Hasna,Archives de la CCI de Marseille - I 617,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cochenille,Marseille,Levant,"8 472,00",livres,"17,0000000","144024,00","0,00",
589,Hasna,Archives de la CCI de Marseille - I 618,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,coque du Levant,Marseille,Levant,"378,00",livres,"2,0000000","756,00","0,00",
590,Hasna,Archives de la CCI de Marseille - I 619,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,corail brut,Marseille,Levant,"8 400,00",livres,"4,0000000","33600,00","0,00",
591,Hasna,Archives de la CCI de Marseille - I 620,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cordage d'esparts,Marseille,Levant,"845,00",douzaines,"7,0000000","5915,00","0,00",
592,Hasna,Archives de la CCI de Marseille - I 621,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cordes a boyaux,Marseille,Levant,"300,00",livres,"10,0000000","3000,00","0,00",
593,Hasna,Archives de la CCI de Marseille - I 622,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cornes de mouton,Marseille,Levant,"6 000,00",paires,"0,1000000","600,00","0,00",
594,Hasna,Archives de la CCI de Marseille - I 623,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,coton filé,Marseille,Levant,"1 779 544,00",livres,"1,0000000","1779544,00","0,00",
595,Hasna,Archives de la CCI de Marseille - I 624,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,coton en laine,Marseille,Levant,"5 585 893,00",livres,"0,5000000","2792946,00","-0,50",
596,Hasna,Archives de la CCI de Marseille - I 625,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cordoüans,Marseille,Levant,"482,00",douzaines,"18,0000000","8676,00","0,00",
597,Hasna,Archives de la CCI de Marseille - I 626,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,crin,Marseille,Levant,"13 996,00",livres,"0,6000000","8397,00","-0,60",
598,Hasna,Archives de la CCI de Marseille - I 627,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cuirs de beuf en poil,Marseille,Levant,"91 754,00",en nombre,"14,0000000","1284556,00","0,00",
599,Hasna,Archives de la CCI de Marseille - I 628,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cuirs de beuf en poil,Marseille,Levant,"16 000,00",livres,"0,5000000","8000,00","0,00",
600,Hasna,Archives de la CCI de Marseille - I 629,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cuirs de beuf en poil testes,Marseille,Levant,"1 193,00",en nombre,"0,1500000","178,00","-0,95",
601,Hasna,Archives de la CCI de Marseille - I 630,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cuirs de beuf en poil testes,Marseille,Levant,"7 775,00",en nombre,"0,2000000","1555,00","0,00",
602,Hasna,Archives de la CCI de Marseille - I 631,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cuirs de vache en poil,Marseille,Levant,"7 014,00",en nombre,"12,0000000","84168,00","0,00",
603,Hasna,Archives de la CCI de Marseille - I 632,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cuivre tangoul,Marseille,Levant,"45 325,00",livres,"0,9000000","40792,00","-0,50",
604,Hasna,Archives de la CCI de Marseille - I 633,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,cumin,Marseille,Levant,"7 000,00",livres,"0,1600000","1120,00","0,00",
605,Hasna,Archives de la CCI de Marseille - I 634,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,dattes,Marseille,Levant,"72 976,00",livres,"0,2500000","18244,00","0,00",
606,Hasna,Archives de la CCI de Marseille - I 635,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,demitte,Marseille,Levant,"6 362,00",pieces,"3,0000000","19086,00","0,00",
607,Hasna,Archives de la CCI de Marseille - I 636,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,eau de fleur d'orange,Marseille,Levant,"3 000,00",livres,"0,5000000","1500,00","0,00",
608,Hasna,Archives de la CCI de Marseille - I 637,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,encens,Marseille,Levant,"33 530,00",livres,"0,5000000","16765,00","0,00",
609,Hasna,Archives de la CCI de Marseille - I 638,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,eponges,Marseille,Levant,"2 445,00",livres,"1,0000000","2445,00","0,00",
610,Hasna,Archives de la CCI de Marseille - I 639,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,escamittes,Marseille,Levant,"397,00",pieces,"3,0000000","1191,00","0,00",
611,Hasna,Archives de la CCI de Marseille - I 640,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,escayolles,Marseille,Levant,"182 590,00",livres,"0,0600000","10955,00","-0,40",
612,Hasna,Archives de la CCI de Marseille - I 641,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,estrasse de soye,Marseille,Levant,"16 075,00",livres,"0,5000000","8037,00","-0,50",
613,Hasna,Archives de la CCI de Marseille - I 642,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,10,1757,Imports,etoffe de soye,Marseille,Levant,"552,00",livres,"40,0000000","22080,00","0,00",
614,Hasna,Archives de la CCI de Marseille - I 643,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,etoupes de soye,Marseille,Levant,"35 670,00",livres,"1,0000000","35670,00","0,00",
615,Hasna,Archives de la CCI de Marseille - I 644,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,fer vieux,Marseille,Levant,"1 070,00",livres,"0,0800000","85,00","-0,60",
616,Hasna,Archives de la CCI de Marseille - I 645,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,feves,Marseille,Levant,"752,00",charges,"10,0000000","7520,00","0,00",
617,Hasna,Archives de la CCI de Marseille - I 646,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,ficelles ,Marseille,Levant,"1 050,00",livres,"0,7500000","787,00","-0,50",
618,Hasna,Archives de la CCI de Marseille - I 647,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,fil de chevre,Marseille,Levant,"306 948,00",livres,"3,0000000","920844,00","0,00",
619,Hasna,Archives de la CCI de Marseille - I 648,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,fil de fer,Marseille,Levant,"47 015,00",livres,"0,5000000","23507,00","-0,50",
620,Hasna,Archives de la CCI de Marseille - I 649,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,filets d'esparts,Marseille,Levant,"29,00",milliers,"40,0000000","1160,00","0,00",
621,Hasna,Archives de la CCI de Marseille - I 650,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,folicule de sené,Marseille,Levant,"1 393,00",livres,"2,0000000","2786,00","0,00",
622,Hasna,Archives de la CCI de Marseille - I 651,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,fourrures de soye,Marseille,Levant,"3 553,00",livres,"1,5000000","5329,00","-0,50",
623,Hasna,Archives de la CCI de Marseille - I 652,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,fromage,Marseille,Levant,"1 940,00",livres,"0,2500000","485,00","0,00",
624,Hasna,Archives de la CCI de Marseille - I 653,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,galles,Marseille,Levant,"246 020,00",livres,"0,5000000","123010,00","0,00",
625,Hasna,Archives de la CCI de Marseille - I 654,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gillets de laine,Marseille,Levant,"670,00",en nombre,"6,0000000","4020,00","0,00",
626,Hasna,Archives de la CCI de Marseille - I 655,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme adragan,Marseille,Levant,"16 169,00",livres,"1,0000000","16169,00","0,00",
627,Hasna,Archives de la CCI de Marseille - I 656,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,glu,Marseille,Levant,"1 650,00",livres,"0,5000000","825,00","0,00",
628,Hasna,Archives de la CCI de Marseille - I 657,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme arabique,Marseille,Levant,"44 346,00",livres,"0,9000000","39911,00","-0,40",
629,Hasna,Archives de la CCI de Marseille - I 658,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme armoniac,Marseille,Levant,"495,00",livres,"2,0000000","990,00","0,00",
630,Hasna,Archives de la CCI de Marseille - I 659,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme de barbarie,Marseille,Levant,"39 225,00",livres,"0,7500000","29418,00","-0,75",
631,Hasna,Archives de la CCI de Marseille - I 660,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme sandarac,Marseille,Levant,"600,00",livres,"1,0000000","600,00","0,00",
632,Hasna,Archives de la CCI de Marseille - I 661,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme de senegal,Marseille,Levant,"57 826,00",livres,"1,0000000","57826,00","0,00",
633,Hasna,Archives de la CCI de Marseille - I 662,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,gomme thurique,Marseille,Levant,"72 772,00",livres,"0,7500000","54579,00","0,00",
634,Hasna,Archives de la CCI de Marseille - I 663,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,grabeau d'encens,Marseille,Levant,"18 445,00",livres,"0,1200000","2213,00","-0,40",
635,Hasna,Archives de la CCI de Marseille - I 664,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,grabeau de senné,Marseille,Levant,"663,00",livres,"0,4000000","265,00","-0,20",
636,Hasna,Archives de la CCI de Marseille - I 665,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,huile de lin,Marseille,Levant,"536,00",livres,"0,3000000","160,00","-0,80",
637,Hasna,Archives de la CCI de Marseille - I 666,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,huile d'olive,Marseille,Levant,"47 439,00",milleroles,"40,0000000","1897560,00","0,00",
638,Hasna,Archives de la CCI de Marseille - I 667,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,jambons,Marseille,Levant,"2 600,00",livres,"0,5000000","1300,00","0,00",
639,Hasna,Archives de la CCI de Marseille - I 668,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,indienne,Marseille,Levant,"6 936,00",pieces,"12,0000000","83232,00","0,00",
640,Hasna,Archives de la CCI de Marseille - I 669,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,indigo,Marseille,Levant,"975,00",livres,"10,0000000","9750,00","0,00",
641,Hasna,Archives de la CCI de Marseille - I 670,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,jus de citron,Marseille,Levant,"20 685,00",livres,"0,1000000","2068,00","-0,50",
642,Hasna,Archives de la CCI de Marseille - I 671,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,jus de reglisse,Marseille,Levant,"9 000,00",livres,"0,2500000","2250,00","0,00",
643,Hasna,Archives de la CCI de Marseille - I 672,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,laine de chevron,Marseille,Levant,"126 943,00",livres,"3,0000000","380829,00","0,00",
644,Hasna,Archives de la CCI de Marseille - I 673,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,laine lavée,Marseille,Levant,"770 722,00",livres,"1,1000000","847794,00","-0,20",
645,Hasna,Archives de la CCI de Marseille - I 674,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,laine surge,Marseille,Levant,"11 850 510,00",livres,"0,4000000","4740204,00","0,00",
646,Hasna,Archives de la CCI de Marseille - I 675,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,legumes,Marseille,Levant,"8 760,00",livres,"0,1500000","1314,00","0,00",
647,Hasna,Archives de la CCI de Marseille - I 676,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,limes d'acier,Marseille,Levant,"1 800,00",livres,"0,3000000","540,00","0,00",
648,Hasna,Archives de la CCI de Marseille - I 677,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,lin crû,Marseille,Levant,"12 630,00",livres,"0,6000000","7578,00","0,00",
649,Hasna,Archives de la CCI de Marseille - I 678,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,mane,Marseille,Levant,"12 360,00",livres,"1,7000000","21012,00","0,00",
650,Hasna,Archives de la CCI de Marseille - I 679,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,mastic en larmes,Marseille,Levant,"1 260,00",livres,"2,7500000","3465,00","0,00",
651,Hasna,Archives de la CCI de Marseille - I 680,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1757,Local,11,1757,Imports,mercerie,Marseille,Levant,"300,00",livres,"3,5000000","1050,00","0,00",
