numrodesource,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
212,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Planches de sapin,Marseille,Espagne,"20,00",douzaines,"9,0000000","180,00","0,00",
213,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Plaques de fer,Marseille,Espagne,"140,00",en nombre,"10,0000000","1400,00","0,00",
214,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Poil de chevre,Marseille,Espagne,"300,00",livres,"3,0000000","900,00","0,00",
215,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Poil de lapin,Marseille,Espagne,"4 667,00",livres,"4,0000000","18668,00","0,00",
216,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Poissons salés,Marseille,Espagne,"88 400,00",livres,"0,2000000","17680,00","0,00",
217,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Poix raisine,Marseille,Espagne,"1 700,00",livres,"0,1500000","255,00","0,00",
218,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Quincailles de fer et acier,Marseille,Espagne,"3 297,00",livres,"1,0000000","3297,00","0,00",
219,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Quinquina,Marseille,Espagne,"1 789,00",livres,"4,0000000","7156,00","0,00",
220,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Racines de Lizary,Marseille,Espagne,"1 300,00",livres,"0,4000000","520,00","0,00",
221,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Raisins secs,Marseille,Espagne,"1 131 890,00",livres,"0,2000000","226378,00","0,00",
222,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Reglisse,Marseille,Espagne,"135 230,00",livres,"0,0750000","10142,00","-0,25",
223,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Ris,Marseille,Espagne,"219 650,00",livres,"0,1200000","26358,00","0,00",
224,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Rocaille de corail,Marseille,Espagne,"9 620,00",livres,"0,2500000","2405,00","0,00",
225,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Rocou,Marseille,Espagne,"26 018,00",livres,"1,0000000","26018,00","0,00",
226,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Saffran,Marseille,Espagne,"115,00",livres,"10,0000000","1150,00","0,00",
227,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Salicor,Marseille,Espagne,"428 775,00",livres,"0,0800000","34302,00","0,00",
228,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Sardines salées,Marseille,Espagne,"341 100,00",livres,"0,1500000","51165,00","0,00",
229,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Sardines salées,Marseille,Espagne,"359,00",barils,"9,0000000","3231,00","0,00",
230,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Saumure,Marseille,Espagne,"1 250,00",livres,"0,1500000","187,00","-0,50",
231,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Sel,Marseille,Espagne,"246 000,00",livres,"0,1500000","36900,00","0,00",
232,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,5,1746,Import,Sel d'Espagne,Marseille,Espagne,"210,00",livres,"0,1000000","21,00","0,00",
233,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Sel de saturne,Marseille,Espagne,"7 695,00",livres,"1,5000000","11542,00","-0,50",
234,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Son,Marseille,Espagne,"11 200,00",livres,"0,1500000","1680,00","0,00",
235,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Soude,Marseille,Espagne,"7 859 550,00",livres,"0,0800000","628764,00","0,00",
236,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Soye crue,Marseille,Espagne,"125 436,00",livres,"12,0000000","1505232,00","0,00",
237,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Stocfiche,Marseille,Espagne,"13 010,00",livres,"0,1500000","1951,00","-0,50",
238,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Sucre blanc,Marseille,Espagne,"112 459,00",livres,"0,6000000","67475,00","-0,40",
239,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Suif,Marseille,Espagne,"96 713,00",livres,"0,4000000","38685,00","-0,20",
240,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Tabac en poudre,Marseille,Espagne,"50,00",livres,"3,0000000","150,00","0,00",
241,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Tableaux,Marseille,Espagne,"10,00",douzaines,"80,0000000","800,00","0,00",
242,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Terraille,Marseille,Espagne,"1 200,00",livres,"0,1000000","120,00","0,00",
243,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Thé,Marseille,Espagne,"90,00",livres,"3,0000000","270,00","0,00",
244,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Toille a voile,Marseille,Espagne,"9,00",pièces,"30,0000000","270,00","0,00",
245,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Tourron d'Espagne,Marseille,Espagne,"730,00",livres,"0,4000000","292,00","0,00",
246,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Velours,Marseille,Espagne,"12,00",pièces,"400,0000000","4800,00","0,00",
247,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Vermichel,Marseille,Espagne,"22 800,00",livres,"0,2000000","4560,00","0,00",
248,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Vermillon,Marseille,Espagne,"13 334,00",livres,"5,0000000","66670,00","0,00",
249,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Vin blanc,Marseille,Espagne,"20,00",milleroles,"60,0000000","1200,00","0,00",
250,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Vin de champagne,Marseille,Espagne,"25,00",milleroles,"160,0000000","4000,00","0,00",
251,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Vin d'Espagne,Marseille,Espagne,"981,00",milleroles,"30,0000000","29430,00","0,00",
252,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Vin de tenite,Marseille,Espagne,"75,00",milleroles,"80,0000000","6000,00","0,00",Erreur pour vin de teinte (vino tinto)
253,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Cacao,Marseille,Portugal,"30 000,00",livres,"1,3000000","39000,00","0,00",
254,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Cuirs de bœuf en poil,Marseille,Portugal,"4 042,00",pièces,"14,0000000","56588,00","0,00",
255,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Douelles a tonneaux,Marseille,Portugal,"47,00",tonneaux,"5,0000000","235,00","0,00",
256,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Gaudron,Marseille,Portugal,"6 000,00",livres,"0,1500000","900,00","0,00",
257,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Poivre,Marseille,Portugal,"6 000,00",livres,"1,6000000","9600,00","0,00",
258,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Thé,Marseille,Portugal,"500,00",livres,"3,0000000","1500,00","0,00",
259,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Acier,Marseille,Savoye et Piemons,"67,00",livres,"0,3500000","23,00","-0,45",
260,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Amadou,Marseille,Savoye et Piemons,"70,00",livres,"0,6000000","42,00","0,00",
261,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Amidon,Marseille,Savoye et Piemons,"10,00",livres,"0,2000000","2,00","0,00",
262,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Anchoyes,Marseille,Savoye et Piemons,"349,50",barils,"9,0000000","3145,00","-0,50",
263,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Arquifou,Marseille,Savoye et Piemons,"350,00",livres,"0,1500000","52,00","-0,50",
264,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Avirons,Marseille,Savoye et Piemons,"6,00",paires,"3,5000000","21,00","0,00",
265,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Barils vuides,Marseille,Savoye et Piemons,"55,00",pièces,"1,0000000","55,00","0,00",
266,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bas de fil,Marseille,Savoye et Piemons,"26,00",livres,"5,0000000","130,00","0,00",
267,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bas de soye,Marseille,Savoye et Piemons,"10,00",livres,"40,0000000","400,00","0,00",
268,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Beurre,Marseille,Savoye et Piemons,"283,00",livres,"0,3000000","84,00","-0,90",
269,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bijouterie,Marseille,Savoye et Piemons,"1,00",valeur,"16,0000000","16,00","0,00",
270,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Billons de sapin,Marseille,Savoye et Piemons,"300,00",douzaines,"4,0000000","1200,00","0,00",
271,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bois de buys,Marseille,Savoye et Piemons,"25,00",livres,"0,1000000","2,00","-0,50",
272,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bois ouvré,Marseille,Savoye et Piemons,"200,00",livres,"0,0600000","12,00","0,00",
273,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bourre a batier,Marseille,Savoye et Piemons,"1 000,00",livres,"0,1000000","100,00","0,00",
274,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Briquets,Marseille,Savoye et Piemons,"30,00",livres,"0,3000000","9,00","0,00",
275,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Bronze,Marseille,Savoye et Piemons,"200,00",livres,"1,2000000","240,00","0,00",
276,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,6,1746,Import,Capres,Marseille,Savoye et Piemons,"15,00",livres,"1,1000000","16,00","-0,50",
277,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Carreaux de marbre,Marseille,Savoye et Piemons,"200,00",en nombre,"1,0000000","200,00","0,00",
278,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Carrubis,Marseille,Savoye et Piemons,"383,00",livres,"0,0500000","19,00","-0,15",
279,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cassonnade,Marseille,Savoye et Piemons,"16,00",livres,"0,4000000","6,00","-0,40",
280,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cercles de bois,Marseille,Savoye et Piemons,"100,00",faix,"2,5000000","250,00","0,00",
281,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cercles de bois,Marseille,Savoye et Piemons,"53,00",boutades,"4,0000000","212,00","0,00",
282,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chandelle,Marseille,Savoye et Piemons,"281,00",livres,"0,4500000","126,00","-0,45",
283,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chanvre cru,Marseille,Savoye et Piemons,"16 125,00",livres,"0,1800000","2902,00","-0,50",
284,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chanvre battu,Marseille,Savoye et Piemons,"29 988,00",livres,"0,2000000","5997,00","-0,60",
285,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chanvre peigné,Marseille,Savoye et Piemons,"1 725,00",livres,"0,3600000","621,00","0,00",
286,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chataignes,Marseille,Savoye et Piemons,"5 675,00",livres,"0,0500000","283,00","-0,75",
287,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cheveux communs,Marseille,Savoye et Piemons,"4,00",livres,"12,0000000","48,00","0,00",
288,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chevrons de sapin,Marseille,Savoye et Piemons,"2,00",douzaines,"6,0000000","12,00","0,00",
289,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Chocolat,Marseille,Savoye et Piemons,"13,00",livres,"3,5000000","45,00","-0,50",
290,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Citrons,Marseille,Savoye et Piemons,"118,00",charges,"12,0000000","1416,00","0,00",
291,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Citrons,Marseille,Savoye et Piemons,"8 760,00",en nombre,"0,0250000","219,00","0,00",
292,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cloux de fer,Marseille,Savoye et Piemons,"184,00",livres,"0,2500000","46,00","0,00",
293,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Confitures,Marseille,Savoye et Piemons,"262,00",livres,"1,0000000","262,00","0,00",
294,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Corbeilles d'auf,Marseille,Savoye et Piemons,"10,00",douzaines,"4,0000000","40,00","0,00",
295,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Corbeilles d'ozier,Marseille,Savoye et Piemons,"6,00",pièces,"1,0000000","6,00","0,00",
296,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cordes de chanvre,Marseille,Savoye et Piemons,"5 932,00",livres,"0,3000000","1779,00","-0,60",
297,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Crasse de graisse,Marseille,Savoye et Piemons,"325,00",livres,"0,1500000","48,00","-0,75",
298,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cuirs de bœuf en poil,Marseille,Savoye et Piemons,"97,00",pièces,"14,0000000","1358,00","0,00",
299,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cuirs de vache en poil,Marseille,Savoye et Piemons,"6,00",pièces,"10,0000000","60,00","0,00",
300,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cuirs de vache en poil,Marseille,Savoye et Piemons,"823,00",livres,"0,4000000","329,00","-0,20",
301,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cuivre neuf,Marseille,Savoye et Piemons,"16,00",livres,"1,0000000","16,00","0,00",
302,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cuivre ouvré,Marseille,Savoye et Piemons,"25,00",livres,"1,6000000","40,00","0,00",
303,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Cuivre vieux,Marseille,Savoye et Piemons,"1 173,00",livres,"0,8000000","938,00","-0,40",
304,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Drogueries,Marseille,Savoye et Piemons,"25,00",livres,"1,0000000","25,00","0,00",
305,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Eau de senteur,Marseille,Savoye et Piemons,"327,00",livres,"0,5000000","163,00","-0,50",
306,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Essence,Marseille,Savoye et Piemons,"163,00",livres,"1,0000000","163,00","0,00",
307,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Etoffe de soye,Marseille,Savoye et Piemons,"6,00",livres,"40,0000000","240,00","0,00",
308,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fayence,Marseille,Savoye et Piemons,"6,00",livres,"0,5000000","3,00","0,00",
309,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fer en barres,Marseille,Savoye et Piemons,"3 300,00",livres,"0,1450000","478,00","-0,50",
310,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fer ouvré,Marseille,Savoye et Piemons,"140,00",livres,"0,2500000","35,00","0,00",
311,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fer vieux,Marseille,Savoye et Piemons,"250,00",livres,"0,0750000","18,00","-0,75",
312,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fil de chanvre,Marseille,Savoye et Piemons,"50,00",livres,"0,7500000","37,00","-0,50",
313,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fil cru,Marseille,Savoye et Piemons,"83,00",livres,"1,0000000","83,00","0,00",
314,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fil de palamard,Marseille,Savoye et Piemons,"336,00",livres,"0,5000000","168,00","0,00",
315,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Filets a pescher,Marseille,Savoye et Piemons,"1,00",valeur,"30,0000000","30,00","0,00",
316,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fleurs  d'orange,Marseille,Savoye et Piemons,"300,00",livres,"0,2500000","75,00","0,00",
317,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Fromage,Marseille,Savoye et Piemons,"1 398,00",livres,"0,2500000","349,00","-0,50",
318,Pascal Fontaine,Archives de la CCI de Marseille - I 30,Local/Marseille/Archives_de_la_CCI_de_Marseille-I30/Marseille – Imports – 1750,Local,7,1746,Import,Gans de Rome,Marseille,Savoye et Piemons,"12,00",paires,"0,7500000","9,00","0,00",
