line number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,
59,Local,1747,Nantes,,De hollande,Imports,bois de teinture moulu,,,1620,,4050,livres,0.4,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
60,Local,1747,Nantes,,De hollande,Imports,bordages de chêne de 28 pieds,,,122,,101,pièces,12,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,-1090,,,,,,,,,,,,,,,,,,,,,
61,Local,1747,Nantes,,De hollande,Imports,bouteilles de verre,,,226,,1130,livres,0.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
62,Local,1747,Nantes,,De hollande,Imports,bray gras,,,11544,,444,barils,26,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
63,Local,1747,Nantes,,De hollande,Imports,bray sec,,,61740,,1764,barriques,35,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,3,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
64,Local,1747,Nantes,,De hollande,Imports,Briques,,,500,,50,milliers,10,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
65,Local,1747,Nantes,,De hollande,Imports,brosserie,,,670,,670,livres,1,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
66,Local,1747,Nantes,,De hollande,Imports,cabilleaux,,,5,,0.25,barils,20,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notée 20),0,,,,,,,,,,,,,,,,,,,,,
67,Local,1747,Nantes,,De hollande,Imports,cabilleaux,,,128760,,429200,livres,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
68,Local,1747,Nantes,,De hollande,Imports,canelle,,,25416,,4236,livres,6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
69,Local,1747,Nantes,,De hollande,Imports,carreaux de brique,,,840,,60,milliers,14,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
70,Local,1747,Nantes,,De hollande,Imports,canes et flacons de verre,,,160,,800,livres,0.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
71,Local,1747,Nantes,,De hollande,Imports,ceruze,,,318,,1591,livres,0.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.200000000000045,,,,,,,,,,,,,,,,,,,,,
72,Local,1747,Nantes,,De hollande,Imports,Chaises de Commodité,,,12,,2,douzaine,6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
73,Local,1747,Nantes,,De hollande,Imports,cloux de fer,,,534,,2546,livres,0.21,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.659999999999968,,,,,,,,,,,,,,,,,,,,,
74,Local,1747,Nantes,,De hollande,Imports,coffre de fer,,,100,,1,pièce,100,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
75,Local,1747,Nantes,,De hollande,Imports,cornes à lanterne ,,,148,,247,livres,0.6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.199999999999989,,,,,,,,,,,,,,,,,,,,,
76,Local,1747,Nantes,,De hollande,Imports,couperoze verte,,,9450,,99475,livres,0.095,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.125,,,,,,,,,,,,,,,,,,,,,
77,Local,1747,Nantes,,De hollande,Imports,coutil,,,942,,314,aunes,3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
78,Local,1747,Nantes,,De hollande,Imports,crapandine de fer,,,161,,538,livres,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.400000000000006,,,,,,,,,,,,,,,,,,,,,
79,Local,1747,Nantes,,De hollande,Imports,cuirs,,,1720,,2868,livres,0.6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.799999999999955,,,,,,,,,,,,,,,,,,,,,
80,Local,1747,Nantes,,De hollande,Imports,cuirs de Roussi,,,515,,515,livres,1,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
81,Local,1747,Nantes,,De hollande,Imports,cuirs verts en poil,,,27952,,1747,pièces,16,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,erreur de calcul (valeur notée 17952),0,,,,,,,,,,,,,,,,,,,,,
82,Local,1747,Nantes,,De hollande,Imports,cuivre jaune ouvré,,,2550,,1700,livres,1.5,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
83,Local,1747,Nantes,,De hollande,Imports,cuivre rouge ouvrée,,,723,,452,livres,1.6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.200000000000045,,,,,,,,,,,,,,,,,,,,,
84,Local,1747,Nantes,,De hollande,Imports,droguerie en épicerie,,,11816,,5908,livres,2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
85,Local,1747,Nantes,,De hollande,Imports,epars ,,,336,,280,pièces,1.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
86,Local,1747,Nantes,,De hollande,Imports,fayance,,,1320,,2640,livres,0.5,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
87,Local,1747,Nantes,,De hollande,Imports,fer blanc simple,,,220,,2,barils,110,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
88,Local,1747,Nantes,,De hollande,Imports,fer en cercle,,,1298,,8658,livres,0.15,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.700000000000046,,,,,,,,,,,,,,,,,,,,,
89,Local,1747,Nantes,,De hollande,Imports,Fil blanc,,,2,,12,onces,0.2,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-0.4,,,,,,,,,,,,,,,,,,,,,
90,Local,1747,Nantes,,De hollande,Imports,fil de caret,,,5204,,20816,livres,0.25,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
91,Local,1747,Nantes,,De hollande,Imports,fil de fer,,,850,,2838,livres,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,-1.39999999999998,,,,,,,,,,,,,,,,,,,,,
92,Local,1747,Nantes,,De hollande,Imports,fil de laton,,,215,,215,livres,1,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,4,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
93,Local,1747,Nantes,,De hollande,Imports,fleches,,,240,,40,pièces,6,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
94,Local,1747,Nantes,,De hollande,Imports,fromage,,,37170,,123902,livres,0.3,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,-0.599999999998545,,,,,,,,,,,,,,,,,,,,,
95,Local,1747,Nantes,,De hollande,Imports,garence ,,,12571,,27935,livres,0.45,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0.25,,,,,,,,,,,,,,,,,,,,,
96,Local,1747,Nantes,,De hollande,Imports,goudron,,,21575,,863,barils,25,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
97,Local,1747,Nantes,,De hollande,Imports,geroffle,,,43400,,3100,barils,14,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
98,Local,1747,Nantes,,De hollande,Imports,gruau,,,80,,4,bariques,20,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
99,Local,1747,Nantes,,De hollande,Imports,harangs sors,,,8030,,146,barils,55,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
100,Local,1747,Nantes,,De hollande,Imports,harangs blancs,,,49440,,824,barils,60,sources/Local/AD44_C706_Nantes_Imports_1747.csv,AD44 C706,5,,,,,Marion Merville & Jules Oudot,,,0,,,,,,,,,,,,,,,,,,,,,
