marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,classificationproduitsmdicinaux,remarques_marchandises,wallislist,exclusion_not_medical_primarily,nom_wallis,large,narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,commestibles_eur_grainsetsubstit,grains_ou_farine,categories_de_grains,v9,source_bdc,nbr_bdc_marchandises_normalisees,nbr_bdc_marchandises_simplifies
Cire ; en crasse,Cire,4,4,0,,0,,,0,0,,,11,,,,0,0,0,,1,4,1146
Cire ; en figures,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; en flambeaux,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cire ; en grabeau,Cire,4,4,0,,0,,,0,0,,,28,,,,0,0,0,,1,20,1146
Cire ; en grains,Cire,4,4,0,,0,,,0,0,,,6,,,,0,0,0,,1,8,1146
Cire ; en pain,Cire,4,4,0,,0,,,0,0,,,19,,,,0,0,0,,1,2,1146
Cire ; jaune,Cire,4,4,0,,0,,,0,0,,,19,,,,0,0,0,,1,654,1146
Cire ; jaune ; du levant,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; jaune en bougies et Chandelle,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; jaune en cierge et flambeaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; jaune en pain,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; rouge en flambeaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; verte,Cire,4,4,0,,0,,,0,0,3,3,2,,,,0,0,0,,1,7,1146
Cire ; à cacheter,Cire,4,4,0,,0,,,0,0,,,30,,,,0,0,0,,1,25,1146
Cire et chandelles ; de cire,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cire ; jaune,,,,,,,,,,,,,,,,,,,,,1,18,63124
Cire ; jaune et blanche,,4,4,0,,,,,0,0,,,,,,,0,0,0,,1,479,63124
Cirsaca,Toile ; de coton,6,6d,0,Cirsaca ou cirsaka : Etoffe des Indes presque toute de coton et de très peu de soie (Savary),0,,,0,0,,,2,,,,0,0,0,,1,13,399
Ciseaux,Ciseaux,6,6,0,,0,,,0,0,,,7,,,,0,0,0,,1,14,14
Citrons,Citrons,0,0a,0,,0,,,0,0,,,4,,,,0,0,0,,1,294,328
Citrons ; aigres,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
Citrons ; confits,Citrons,0,0a,0,,0,,,0,0,,,2,,,,0,0,0,,1,34,328
Citrons ; en conserve,,,,,,,,,,,,,,,,,,,,,1,1,63124
Citrons ; salés,,,,,,,,,,,,,,,,,,,,,1,1,63124
Citrons et oranges,Citrons et oranges,0,0a,0,,0,,,0,0,,,1,,,,0,0,0,,1,173,173
Citrons vert,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Citrons ; aigres,,,,,,,,,,,,,,,,,,,,,1,3,63124
Citrons ; verts,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clairons,,,,,,,,,,,,,,,,,,,,,1,2,63124
Claphout,,,,,,,,,,,,,,,,,,,,,1,1,63124
Claphout en blocq,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clappes ou douves à barils,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clappes ou douves à barils de sapin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clarifiant,,5,5,0,,0,,,0,0,,,3,,,,0,0,0,,1,1,63124
Clavecin,Instruments ; de musique,8,8,0,,0,,,0,0,,,7,,,,0,0,0,,1,7,16
Clavecin ; vieux,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Clayes ; à parquer,Clayes ; à parquer,6,6,0,"Savary, volume 2, 1748 : « Ouvrage de vannier »",0,,,0,0,,,0,,,,0,0,0,,1,1,1
Clinquant ; d'or faux,Clinquant ; d'or faux,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,1,1
Cloches,Cloches,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,11,46
Cloches ; de cuivre,Cloches,8,8,0,,0,,,0,0,,,0,,,,0,0,0,,1,1,46
Cloches ; de fonte,Cloches,8,8,0,,0,,,0,0,,,39,,,,0,0,0,,1,29,46
Cloches ; de métal,Cloches,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,3,46
Cloches ; de verre,Cloches,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,2,46
Cloches ; en fonte,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clochettes,Clochettes,8,8,0,,0,,,0,0,,,6,,,,0,0,0,,1,5,5
Clochettes ; de fonte,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Cloportes,Cloportes,9,9,0,,0,,,0,0,,,0,,,,0,0,0,,1,1,1
Clous,,,,,,,,,,,,,,,,,,,,,1,2,63124
Clous ; de cuivre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clous ; de fer,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,100,63124
Clous ; dorés,Clous,6,6,0,,0,,,0,0,,,0,,,,0,0,0,,1,34,34
Clous de girofle,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Clous et acier,,,,,,,,,,,,,,,,,,,,,1,2,63124
Clous et caboches de fer,,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,17,63124
Clous ; de cuivre ; doré,,,,,,,,,,,,,,,,,,,,,1,1,63124
Clous ; de fer,,,,,,,,,,,,,,,,,,,,,1,10,63124
Clous ; de girofle,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cloutiers,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coas ; de soie,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cocalum,,0,0a,0,Dictionnaire étymologique de la langue françoise : « Artichaut »,0,,,0,0,,,,,,1,0,0,0,,1,1,63124
Cochenille,,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,4,63124
Cochenille ; Silvestre,,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Cochenille ; mestèque,,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
Cochenille et indigo,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cochenille ; campêche,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cochenille ; mesteque,,,,,,,,,,,,,,,,,,,,,1,13,63124
Cochenille ; sylvestre,,,,,,,,,,,,,,,,,,,,,1,3,63124
Cochons ; de lait,Bestiaux,0,0a,0,,0,,,0,0,,,29,,,,0,0,0,,1,28,805
Cochons ; salé,Cochons ; salé,0,0a,0,,0,,,0,0,,,1,,,,0,0,0,,1,25,25
Cochon ; salé,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coco,,0,0b,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cocons,Cocons ; de soie,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,2,57
Cocons ; de soie,Cocons ; de soie,2,2,0,,0,,,0,0,,,54,,,,0,0,0,,1,55,57
Cocos,Cocos,0,0b,0,,0,,,0,0,,,2,,,,0,0,0,,1,35,35
Cocos ; de levant,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cocos ; du levant,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coctif,Coctif,???,???,0,,0,,,0,0,,,3,,,,0,0,0,,1,1,1
Cocullus,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coddes blancs,,,,,,,,,,,,,,,,,,,,,1,1,63124
Codearia,,2,2,0,Semble être le mot espagnol pour la plante « cochlearia »,,,,0,0,,,,,,,0,0,0,,1,1,63124
Codres ; à Roseau,,???,???,0,,0,,,0,0,,,5,,,,0,0,0,,1,1,63124
Coffre,,,,,,,,,,,,,,,,,,,,,1,2,63124
Coffre ; de fer,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffre ; de noyer,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffre ; fort,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres ; de bois,Boîtes,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,19,175
Coffres ; de chirurgie,Boîtes,8,8,1,,1,0,Surgeon's Instruments,0,1,,,176,,,,0,0,0,,1,35,175
Coffres ; de fer,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Coffres ; de fer et berses,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres ; de sapin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres ; de thé,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Coffres ; de voyage,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres ; forts,Boîtes,8,8,0,,0,,,0,0,,,2,,,,0,0,0,,1,6,175
Coffres ; vieux,Boîtes,8,8,0,,0,,,0,0,,,14,,,,0,0,0,,1,1,175
Coffres ; à garniture de peau,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres et cercueils en cyprès,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coffres forts ; de fer,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cognac,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffe ; de chapeaux,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Coiffe ; de dentelle ; de soie,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffe ; de tambou,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Coiffes ; de gaze,Chapeaux,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,2,2135
Coiffes de chapeaux,Chapeaux,8,8,0,,0,,,0,0,,,12,,,,0,0,0,,1,13,2135
Coiffes ; blonde,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffes ; à perruques,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffure ; de gaze,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffures,,8,8,0,,0,,,0,0,,,,,,,0,0,0,,1,1,63124
Coiffures ; de gaze,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffures ; de gazes,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Coiffures ; à dentelles,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Coiffures et palatines,,,,,,,,,,,,,,,,,,,,,1,2,63124
Coiffures ; de blondes,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffures ; de gaze,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffure ; de blonde,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coiffure ; de blonde et palatine,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coins,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coity,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Colins,,0,0a,0,,0,,,0,0,,,21,,,,0,0,0,,1,1,63124
Colle,Colle,5,5,0,,0,,,0,0,,,50,,,,0,0,0,,1,66,842
Colle ; commune,Colle,5,5,0,,0,,,0,0,5,5,4,,,,0,0,0,,1,15,842
Colle ; de Flandre,Colle,5,5,0,,0,,,0,0,,,9,,,,0,0,0,,1,19,842
Colle ; de poisson,Colle,5,5,0,List de Wallis : Isinglass is a substance obtained from the dried swim bladders of fish. It is a form of collagen used mainly for the clarification or fining of wine and beer. It can also be cooked into a paste for specialized gluing purposes.,1,1,Isinglass,0,0,,,20,,,,0,0,0,,1,267,842
Colle ; diverse,Colle,5,5,0,,0,,,0,0,,,2,,,,0,0,0,,1,158,842
Colle ; faible,,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Colle ; forte,Colle,5,5,0,,0,,,0,0,5,5,20,,,,0,0,0,,1,315,842
Colle ; forte ; de Flandres,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colle ; forte ; de poisson,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colle ; à papier,Colle,5,5,0,,0,,,0,0,,,15,,,,0,0,0,,1,2,842
Colle; forte,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colle ; ordinaire,,5,5,0,,,,,0,0,,,,,,,0,0,0,,1,22,63124
Collier ; de perles ; fausses,,,,,,,,,,,,,,,,,,,,,1,2,63124
Colliers ; d'ambre,,8,8,0,,0,,,0,0,,,,,,,0,0,0,,1,1,63124
Colliers ; de cheval,Harnachement,6,6,0,,0,,,0,0,,,27,,,,0,0,0,,1,6,6
Colliers ; de grenat,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Colliers ; de grenats,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colliers ; de jais,Bijoux,8,8,0,,0,,,0,0,,,12,,,,0,0,0,,1,2,17
Colliers ; de perles,Bijoux,8,8,0,,0,,,0,0,,,3,,,,0,0,0,,1,2,17
Colliers ; de perles ; fausses,Bijoux,8,8,0,,0,,,0,0,,,41,,,,0,0,0,,1,13,17
Colliers ; de verre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colliers ; de nacre ; de perles,,,,,,,,,,,,,,,,,,,,,1,1,63124
Collier ; de chevaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Collier ; de perles ; fausses,,,,,,,,,,,,,,,,,,,,,1,3,63124
Colombine,Laque ; colombine,5,5,0,La laque colombine est une des 3 sortes de laques utilisées par les peintes.,0,,,0,0,,,5,,,,0,0,0,,1,93,93
Colonne ; de noyer,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Colophane ou Spingler,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colorant ; rouge,,,,,,,,,,,,,,,,,,,,,1,2,63124
Colorant ; rouge et marron,,,,,,,,,,,,,,,,,,,,,1,1,63124
Colorant ?,,,,,,,,,,,,,,,,,,,,,1,1,63124
Comestibles,Comestibles,0,0a,0,,0,,,0,0,,,6,,,,0,0,0,,1,14,36
Comestibles ; beurre ; salé,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; biscuit,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; bœuf ; salé,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; chairs ; salées ; diverses,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; cochon ; salé,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
Comestibles ; confitures ; diverses,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; cuisses ; d'oyes,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
Comestibles ; divers,Comestibles,0,0a,0,,0,,,0,0,,,9,,,,0,0,0,,1,22,36
Comestibles ; farine,,0,0a,0,,,,,0,0,,,,,,,1,2,5,,1,6,63124
Comestibles ; fromages ; divers,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; graisses ; diverses,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
Comestibles ; gruau,,0,0a,0,,,,,0,0,,,,,,,1,2,5,,1,2,63124
Comestibles ; jambon,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; lard ; salé,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Comestibles ; pâtes d'Italie et vermicelle,,0,0a,0,,,,,0,0,,,,,,,1,2,5,,1,4,63124
Comestibles ; riz,,0,0a,0,,,,,0,0,,,,,,,1,1,3,,1,4,63124
Comme ; animée ou Courbary,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Commode ; avec dessus ; de marbre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commode ; de noyer,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commode ; de sapin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commodes,Commodes,8,8,0,,0,,,0,0,,,16,,,,0,0,0,,1,34,34
Commodes ; avec dessus de marbre,,,,,,,,,,,,,,,,,,,,,1,3,63124
Commodes ; de bois,Commodes ; de bois,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,3,3
Commodes ; de bois ; violet,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commodes ; de marqueterie,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commodes ; de noyer,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Commodes ; dessus de marbre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commodes ; ornées,,8,8,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Commodes ; à dessus marbre,,,,,,,,,,,,,,,,,,,,,1,2,63124
Commodes ; avec dessus de marbre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Commodes ; de sapin,,,,,,,,,,,,,,,,,,,,,1,1,63124
Compas,Instruments de marine,8,8,0,,0,,,0,0,,,24,,,,0,0,0,,1,2,6
Compas ; de cuivre,Instruments de marine,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,1,6
Compas ; de mer,Instruments de marine,8,8,0,,0,,,0,0,,,1,,,,0,0,0,,1,3,6
Composition ; de chimie,Composition ; de chimie,5,5,0,?,0,,,0,0,,,1,,,,0,0,0,,1,1,1
Composition ; de verre,Composition ; de verre,6,6,0,,0,,,0,0,,,8,,,,0,0,0,,1,4,4
Compotiers;  de terre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Concombre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Concombre et cornichons,,,,,,,,,,,,,,,,,,,,,1,1,63124
Conducteur,,,,,,,,,,,,,,,,,,,,,1,1,63124
Confection,Confection,5,5,1,"Savary, volume 2, 1748 : « Terme d'Epicier Droguiste. Espèce de remède en forme d'électuaire solide. »",0,,,0,1,,,2,,,,0,0,0,,1,12,12
Confection ; d'Alkerme,Confection ; d'Alkerme,5,5,1,"Savary, volume 2, 1748 : « On la met du nombre des meilleurs cardiaques ; et on l'emploie volontiers pour la palpitation de coeur et la syncope »",1,0,Confection Of Hyacinths And Alkermes,0,1,,,4,,,,0,0,0,,0,0,0
Confection ; d'Alkermès,,,,,,,,,,,,,,,,,,,,,1,3,63124
Confection ; d'hyacinte,Confection ; d'hyacinte,5,5,1,"Savary, volume 2, 1748 : « à peu près les mêmes vertus que celle d'Alkerme : il u entre pourtant le triple des drogues… »",1,0,Confection Of Hyacinths And Alkermes,0,1,,,0,,,,0,0,0,,0,0,0
Confection ; d'hyacinthe,,,,,,,,,,,,,,,,,,,,,1,14,63124
Confiseries,,,,,,,,,,,,,,,,,,,,,1,1,63124
Confitures,Confitures,0,0a,0,,0,,,0,0,,,5,,,,0,0,0,,1,796,796
Confitures ; sèches,,0,0a,0,,,,,0,0,,,,,,,0,0,0,,1,6,63124
Congres,Congres,0,0a,0,,0,,,0,0,,,1,,,,0,0,0,,1,30,30
Connoissement,,???,???,0,"Savary, volume 2, 1748 : « Espèce d'acte, ou de reconnaissance, sous signature privé, que le maître, ou le capitaine d'un navire, donne à un marchant, des marchandises qu'il a fait charger à son bord. »",,,,0,0,,,,,,,0,0,0,,1,1,63124
Conserve ; de fleures d'orange,Conserve ; de fleures d'orange,5,5,0,,0,,,0,0,,,4,,,,0,0,0,,1,1,1
Conserve ; de rose,Conserve ; de rose,5,5,0,,0,,,0,0,,,9,,,,0,0,0,,1,1,1
Conserve ; d'Alkerme,,1,1,1,Wiki : Alkermès (sanglant ; rouge ; cochenille ; kermès) : nom d'une liqueur à base de plantes nommée aussi kermès officinal. Élixir alkermès : nom de médicaments composés renfermant le suc du kermès animal.Selon l'ouvrage de Dorvault (1875) (p,1,1,Grana Tinctorum,0,1,,,,,,,0,0,0,,1,1,63124
Conterie,Conterie,6,6,0,"Terme de commerce. Grosse verroterie de Venise, dont on se sert surtout pour commercer avec les nègres.",0,,,0,0,,,8,,,,0,0,0,,1,41,41
Contrahierba,Contrahierba,2,2,1,"Savary, volume 2, 1748 : CONTRA-YERVA, apporté du Perou ou de la Nouvelle Espagne, « un alixitere, ou contre-poison souverain »",1,0,Radix Contra Yerva,0,1,,,27,,,,0,0,0,,1,16,16
Contre-bordé,,6,6,0,"Jean Baptiste Le Rond d' Alembert, Encyclopédie volume 36, voir Rassade : type de verroterie.",0,,,0,0,,,,,,,0,0,0,,1,14,63124
Contrefoyer de fer,Contrefoyer de fer,6,6,0,,0,,,0,0,,,1,,,,0,0,0,,1,3,3
Conty,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Copeaux ; pour fourreaux d'épée,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coqs,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coqs ; d'Inde,Coqs ; d'Inde,0,0b,0,,0,,,0,0,,,18,,,,0,0,0,,1,6,6
Coqs ; d'Inde,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coque ; Levant,Coque ; Levant,2,2,1,"Savary, volume 2, 1748 :  « sorte de fruit […] sert à faire mourir la vermine et à endormir le poisson », C'est aussi un stimulant respiratoire utilisé comme antidote dans les cas d'empoisonnement aux barbituriques ou à la morphine.",0,,,0,1,,,36,,,,0,0,0,,1,40,40
Coque ; du Levant,,,,,,,,,,,,,,,,,,,,,1,1,63124
Coquillages,Coquillages,2,2,0,,0,,,0,0,,,10,,,,0,0,0,,1,4,4
Coquilles ; de Mocres,Coquilles ; écaille de tortue et nacre de perle,2,2,0,,0,,,0,0,,,38,,,,0,0,0,,1,2,62
Coquilles ; de mer,Coquilles ; écaille de tortue et nacre de perle,2,2,0,,0,,,0,0,,,61,,,,0,0,0,,1,33,62
Coquilles ; de nacre,Coquilles ; écaille de tortue et nacre de perle,2,2,0,"Cf. P.H.Wallis  : coquilles dite nacre de perle, utilité médecine ???",1,1,Mother Of Pearl Shells,0,0,,,7,,,,0,0,0,,1,27,62
Coquilles ; écaille de tortue et nacre de perle,,,,,,,,,,,,,,,,,,,,,1,1,63124
Corail,Corail,2,2,0,Liste Wallis : semi-precious stone,1,1,Coral Whole,0,0,5,5,8,,,,0,0,0,,1,45,329
"Corail , ouvré",,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Corail ; blanc,Corail,2,2,0,Liste Wallis : semi-precious stone,1,1,Coral (Red And White),0,0,,,1,,,,0,0,0,,1,4,329
Corail ; brun,Corail,2,2,0,,0,,,0,0,,,,,,,0,0,0,,1,3,329
Corail ; brut,Corail,2,2,0,Liste Wallis : semi-precious stone,1,1,Coral Whole,0,0,,,66,,,,0,0,0,,1,79,329
Corail ; brut et taillé,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,45,63124
Corail ; de jardin,Corail,2,2,0,,0,,,0,0,,,56,,,,0,0,0,,1,23,329
Corail ; en grabeau,Corail,2,2,0,Liste Wallis : semi-precious stone,1,1,Coral Whole,0,0,,,1,,,,0,0,0,,1,2,329
Corail ; faux,Corail,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,4,329
Corail ; fin ; ouvré,,,,,,,,,,,,,,,,,,,,,1,1,63124
Corail ; gros,Corail,2,2,0,,0,,,0,0,,,20,,,,0,0,0,,1,3,329
Corail ; ouvré,Corail,2,2,0,,0,,,0,0,,,41,,,,0,0,0,,1,163,329
Corail ; rouge,Corail,2,2,0,Liste Wallis : semi-precious stone,1,1,Coral (Red And White),0,0,,,2,,,,0,0,0,,1,1,329
Corail ; terraille,Corail,2,2,0,,0,,,0,0,,,2,,,,0,0,0,,1,2,329
Corail ; taillé,,2,2,0,,,,,0,0,,,,,,,0,0,0,,1,3,63124
Coralines ; fines,,2,2,0,"Savary, volume 2, 1748 : « Plante qu'on trouve attachée aux rochers, aux coquillages»",0,,,0,0,,,,,,1,0,0,0,,1,1,63124
Corbeilles,,,,,,,,,,,,,,,,,,,,,1,1,63124
Corbeilles ; d'ozier,Corbeilles ; d'ozier,6,6,0,,0,,,0,0,,,7,,,,0,0,0,,1,43,43
Cordage,Cordage,6,6,0,,0,,,0,0,,,53,,,,0,0,0,,1,315,929
Cordage ; aussières,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordage ; d'auf,Cordage,6,6,0,,0,,,0,0,,,7,,,,0,0,0,,1,30,929
Cordage ; d'emballage,Cordage,6,6,0,,0,,,0,0,,,11,,,,0,0,0,,1,4,929
Cordage ; d'espars,Cordage,6,6,0,,0,,,0,0,,,19,,,,0,0,0,,1,63,929
Cordage ; de Caret,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cordage ; de Satangres,Cordage,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,1,929
Cordage ; de chanvre,Cordage,6,6,0,,0,,,0,0,,,28,,,,0,0,0,,1,396,929
Cordage ; de jonc,Cordage,6,6,0,,0,,,0,0,,,4,,,,0,0,0,,1,15,929
Cordage ; de tilleul,Cordage,6,6,0,,0,,,0,0,,,9,,,,0,0,0,,1,12,929
Cordage ; divers,Cordage,6,6,0,,0,,,0,0,,,5,,,,0,0,0,,1,61,929
Cordage ; goudronné,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cordage ; vieux,Cordage,6,6,0,,0,,,0,0,,,204,,,,0,0,0,,1,8,929
Cordage et ficelle,Cordage,6,6,0,,0,,,0,0,,,33,,,,0,0,0,,1,18,929
Cordages ; d'ethit,Cordage,6,6,0,,0,,,0,0,,,2,,,,0,0,0,,1,1,929
Cordages ; en ficelle,Cordage,6,6,0,,0,,,0,0,,,8,,,,0,0,0,,1,3,929
Cordages ; en morceaux,Cordage,6,6,0,,0,,,0,0,,,56,,,,0,0,0,,1,1,929
Cordages ; à boyaux,Cordage,6,6,0,,0,,,0,0,,,79,,,,0,0,0,,1,1,929
Cordages et cordes,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Corde,,,,,,,,,,,,,,,,,,,,,1,1,63124
Corde ; à boyaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordeillard,,???,???,0,,,,,0,0,,,,,,,0,0,0,,1,10,63124
Cordes ; d'or,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cordes ; de boyaux,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; de tilleul,Cordes,6,6,0,,0,,,0,0,,,0,,,,0,0,0,,1,2,200
Cordes ; de violon,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; en fibre,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; pour navires,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; vieilles,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; à arçons,Cordes,6,6,0,,0,,,0,0,,,55,,,,0,0,0,,1,5,200
Cordes ; à boyaux,Cordes,6,6,0,,0,,,0,0,,,171,,,,0,0,0,,1,83,200
Cordes ; à boyaux et à violon,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,2,63124
Cordes ; à instruments,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,5,63124
Cordes ; à violons,Cordes,6,6,0,,0,,,0,0,,,24,,,,0,0,0,,1,91,200
Cordes et ficelles,Cordes,6,6,0,,0,,,0,0,,,13,,,,0,0,0,,1,11,200
Cordes et écorces de tilleul,,,,,,,,,,,,,,,,,,,,,1,1,63124
"Cordes, cables et ficelles",,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; d'auf,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,7,63124
Cordes ; de chanvre,,6,6,0,,,,,0,0,,,,,,,0,0,0,,1,1,63124
Cordes ; de guitare,,,,,,,,,,,,,,,,,,,,,1,1,63124
Cordes ; à fouet,Cordes,6,6,0,,0,,,0,0,,,,,,,0,0,0,,1,4,200
Cordillaterie,Étoffe ; de laine,6,6b,0,étoffe de laine grossière du Languedoc semble-t-il.,0,,,0,0,,,4,,,,0,0,0,,1,26,75
