numrodeligne,dataentryby,sources,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
233,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Morue seche,Marseille,Espagne,"282 832,00",livres,"0,1500000","42 424,80","-0,80",
234,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Morue verte,Marseille,Espagne,"350,00",livres,"0,2000000","70,00","0,00",
235,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mouchoirs de coton,Marseille,Espagne,"464,00",pièces,"16,0000000","7 424,00","0,00",
236,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mouchoirs de fil,Marseille,Espagne,"1 800,00",livres,"1,0000000","1 800,00","0,00",
237,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mouchoirs fil et coton,Marseille,Espagne,"200,00",livres,"3,0000000","600,00","0,00",
238,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mopuchoirs d'indienne,Marseille,Espagne,"400,00",pièces,"24,0000000","9 600,00","0,00",
239,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mouchoirs de soye,Marseille,Espagne,"465,00",douzaines,"28,0000000","13 020,00","0,00",
240,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mouchoirs de soye,Marseille,Espagne,"1 100,00",livres,"25,0000000","27 500,00","0,00",
241,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Mousseline,Marseille,Espagne,"475,00",pièces,"77,0000000","36 575,00","0,00",
242,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Muscade,Marseille,Espagne,"410,00",livres,"7,5000000","3 075,00","0,00",
243,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Olives,Marseille,Espagne,"3 230,00",livres,"0,1500000","484,50","-0,50",
244,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Opium,Marseille,Espagne,"150,00",livres,"5,0000000","750,00","0,00",
245,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Orge,Marseille,Espagne,"1 836,00",charges,"12,0000000","22 032,00","0,00",
246,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Orpiment,Marseille,Espagne,"2 375,00",livres,"0,3000000","712,50","-0,50",
247,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,8,1750,Exports,Oüate,Marseille,Espagne,"802,00",livres,"1,5000000","1 203,00","0,00",
248,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Papier a ecrire,Marseille,Espagne,"25 645,00",rames,"6,0000000","153 870,00","0,00",
249,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pate d'amande,Marseille,Espagne,"1 515,00",livres,"0,3000000","454,50","-0,50",
250,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pastel,Marseille,Espagne,"900,00",livres,"3,0000000","2 700,00","0,00",
251,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Peaux de boucs,Marseille,Espagne,"132,00",livres,"0,2500000","33,00","0,00",
252,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Peaux de chamois,Marseille,Espagne,"7 980,00",livres,"1,2500000","9 975,00","0,00",
253,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Peaux de marroquin,Marseille,Espagne,"1 460,00",livres,"1,5000000","2 190,00","0,00",
254,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Peaux de mouton passées,Marseille,Espagne,"1 475,00",livres,"1,0000000","1 475,00","0,00",
255,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Peaux de veau tannées,Marseille,Espagne,"2 240,00",livres,"1,2500000","2 800,00","0,00",
256,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Peignes de buys,Marseille,Espagne,"3 664,00",grosses,"40,0000000","146 560,00","800,00",erreur de calcul
257,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pelleterie apretées,Marseille,Espagne,"1 800,00",livres,"2,5000000","4 500,00","0,00",
258,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pierres a batir,Marseille,Espagne,"312,00",pièces,"0,5000000","156,00","0,00",
259,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pierres d'emery,Marseille,Espagne,"2 500,00",livres,"0,2000000","500,00","0,00",
260,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pierres a fusil,Marseille,Espagne,"1 710,00",livres,"0,1000000","171,00","0,00",
261,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Piere ponce,Marseille,Espagne,"10 685,00",livres,"0,0400000","427,40","-0,40",
262,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pipes a fumer,Marseille,Espagne,"240,00",grosses,"3,0000000","720,00","0,00",
263,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pistaches,Marseille,Espagne,"125,00",livres,"1,0000000","125,00","0,00",
264,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Plomb en grenaille,Marseille,Espagne,"27 250,00",livres,"0,2500000","6 812,50","-0,50",
265,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Plumes d'autruche aprestées,Marseille,Espagne,"480,00",livres,"40,0000000","19 200,00","0,00",
266,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Plumes d'oye,Marseille,Espagne,"550,00",livres,"0,6500000","357,50","-0,50",
267,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Poil de castor,Marseille,Espagne,"1 861,00",livres,"15,0000000","27 915,00","0,00",
268,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Poissons salés,Marseille,Espagne,"108 825,00",livres,"0,2500000","27 206,25","-0,25",
269,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Poivre,Marseille,Espagne,"62 633,00",livres,"1,6000000","100 212,80","-0,80",
270,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Poivre girofflé,Marseille,Espagne,"460,00",livres,"1,0000000","460,00","0,00",
271,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pomade,Marseille,Espagne,"600,00",livres,"1,5000000","900,00","0,00",
272,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Pommes,Marseille,Espagne,"1 800,00",livres,"0,0500000","90,00","0,00",
273,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Prunes,Marseille,Espagne,"9 464,00",livres,"0,2000000","1 892,80","-0,80",
274,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Quincaille de fer et acier,Marseille,Espagne,"94 069,00",livres,"1,0000000","94 069,00","0,00",
275,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Quinquina,Marseille,Espagne,"725,00",livres,"4,0000000","2 900,00","0,00",
276,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Raisins secs,Marseille,Espagne,"12 500,00",livres,"0,2000000","2 500,00","0,00",
277,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Reglisse,Marseille,Espagne,"2 500,00",livres,"0,0800000","200,00","0,00",
278,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Rhubarbe,Marseille,Espagne,"749,00",livres,"15,0000000","11 235,00","0,00",
279,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,9,1750,Exports,Ris,Marseille,Espagne,"691 175,00",livres,"0,1200000","82 941,00","0,00",
280,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Rocou,Marseille,Espagne,"24 972,00",livres,"1,0000000","24 972,00","0,00",
281,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Ruban or et argent,Marseille,Espagne,"6 860,00",livres,"120,0000000","823 200,00","12 240,00",erreur de calcul
282,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Ruban de soye,Marseille,Espagne,"31 391,00",livres,"60,0000000","1 883 460,00","0,00",
283,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Saffran,Marseille,Espagne,"1 198,00",livres,"15,0000000","17 970,00","0,00",
284,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Saffranum,Marseille,Espagne,"32 704,00",livres,"0,6500000","21 257,60","-0,60",
285,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Salsepareille ,Marseille,Espagne,"1 264,00",livres,"2,2500000","2 844,00","0,00",
286,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sang de dragon,Marseille,Espagne,"328,00",livres,"0,6000000","196,80","-0,80",
287,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Saucisson,Marseille,Espagne,"3 038,00",livres,"0,8000000","2 430,40","-0,40",
288,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Saumon salé,Marseille,Espagne,"3 000,00",livres,"0,2500000","750,00","0,00",
289,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Savon madré,Marseille,Espagne,"89 768,00",livres,"0,4000000","35 907,20","-0,20",
290,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Savonettes,Marseille,Espagne,"650,00",livres,"0,6000000","390,00","0,00",
291,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sel amoniac,Marseille,Espagne,"2 442,00",livres,"1,0000000","2 442,00","0,00",
292,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sel mestry,Marseille,Espagne,"300,00",livres,"1,5000000","450,00","0,00",
293,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sel de saturne,Marseille,Espagne,"40,00",livres,"1,5000000","60,00","0,00",
294,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sel petre,Marseille,Espagne,"150,00",livres,"0,9000000","135,00","0,00",
295,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Semen contra,Marseille,Espagne,"30,00",livres,"3,0000000","90,00","0,00",
296,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sené,Marseille,Espagne,"4 846,00",livres,"1,5000000","7 269,00","0,00",
297,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Serrures,Marseille,Espagne,"200,00",livres,"1,5000000","300,00","0,00",
298,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sirop de capilaire,Marseille,Espagne,"13 823,00",livres,"1,0000000","13 823,00","0,00",
299,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sirop melasse,Marseille,Espagne,"73 175,00",livres,"0,0800000","5 854,00","0,00",
300,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Soude,Marseille,Espagne,"1 875,00",livres,"0,0900000","168,75","-0,75",
301,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Souffre,Marseille,Espagne,"500,00",livres,"0,1500000","75,00","0,00",
302,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Soye ouvrée,Marseille,Espagne,"9 756,00",livres,"20,0000000","195 120,00","0,00",
303,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Stocfiche,Marseille,Espagne,"6 000,00",livres,"0,1500000","900,00","0,00",
304,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Storax,Marseille,Espagne,"200,00",livres,"4,0000000","800,00","0,00",
305,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sucre blanc,Marseille,Espagne,"2 185 050,00",livres,"0,4500000","983 272,50","-0,50",
306,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sucre candy,Marseille,Espagne,"1 801,00",livres,"1,1000000","1 981,10","-0,10",
307,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Sucre rafiné,Marseille,Espagne,"15 418,00",livres,"0,6000000","9 250,80","-0,80",
308,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Tabac,Marseille,Espagne,"25,00",livres,"0,2500000","6,25","-0,25",
309,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Tabatières d'olivier,Marseille,Espagne,"1 350,00",livres,"2,0000000","2 700,00","0,00",
310,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Tables de marbre,Marseille,Espagne,"700,00",livres,"1,0000000","700,00","0,00",
311,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,10,1750,Exports,Tableaux,Marseille,Espagne,"76,00",douzaines,"48,0000000","3 648,00","0,00",
312,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Tamarin,Marseille,Espagne,"580,00",livres,"0,6000000","348,00","0,00",
313,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Tapis,Marseille,Espagne,"1 850,00",livres,"3,0000000","5 550,00","0,00",
314,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Tapisseries,Marseille,Espagne,"3 830,00",livres,"4,0000000","15 320,00","0,00",
315,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Tartre,Marseille,Espagne,"22 875,00",livres,"0,2400000","5 490,00","0,00",
316,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Tayolles,Marseille,Espagne,"2 615,00",livres,"10,0000000","26 150,00","0,00",
317,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Terebentine,Marseille,Espagne,"1 334,00",livres,"0,3000000","400,20","-0,20",
318,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Terraille,Marseille,Espagne,"11 850,00",livres,"0,0700000","829,50","-0,50",
319,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Terre d'ombre,Marseille,Espagne,"2 991,00",livres,"0,1000000","299,10","-0,10",
320,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Thé,Marseille,Espagne,"923,00",livres,"3,5000000","3 230,50","-0,50",
321,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Thon mariné,Marseille,Espagne,"47 210,00",livres,"0,9000000","42 489,00","0,00",
322,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Thonine,Marseille,Espagne,"33 000,00",livres,"0,4000000","13 200,00","0,00",
323,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Toille d'aman,Marseille,Espagne,"500,00",pièces,"15,0000000","7 500,00","0,00",
324,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Toille d'antioche,Marseille,Espagne,"2 795,00",pièces,"12,0000000","33 540,00","0,00",
325,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille batiste,Marseille,Espagne,"76,00",pièces,"60,0000000","4 560,00","0,00",
326,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille blanche,Marseille,Espagne,"750,00",livres,"4,0000000","3 000,00","0,00",
327,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille Caissies,Marseille,Espagne,"450,00",pièces,"5,0000000","2 250,00","0,00",
328,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille de Cambray,Marseille,Espagne,"1 280,00",livres,"40,0000000","51 200,00","0,00",
329,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille cirée,Marseille,Espagne,"50,00",livres,"1,3000000","65,00","0,00",
330,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille de coton diverses,Marseille,Espagne,"450 010,00",livres,"3,0000000","1 350 030,00","0,00",
331,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille de crin,Marseille,Espagne,"2 505,00",livres,"1,0000000","2 505,00","0,00",
332,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille d'embalage,Marseille,Espagne,"4 600,00",livres,"0,6000000","2 760,00","0,00",
333,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille killi,Marseille,Espagne,"1 200,00",pièces,"8,0000000","9 600,00","0,00",
334,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille manouf,Marseille,Espagne,"250,00",pièces,"7,0000000","1 750,00","0,00",
335,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille de montagne,Marseille,Espagne,"11 878,00",livres,"1,5000000","17 817,00","0,00",
336,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille piquée,Marseille,Espagne,"210,00",livres,"10,0000000","2 100,00","0,00",
337,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille a serviettes,Marseille,Espagne,"4 625,00",livres,"2,0000000","9 250,00","0,00",
338,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports, Toille de suiss,Marseille,Espagne,"600,00",livres,"4,0000000","2 400,00","0,00",
339,Pascal Fontaine,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1750,Local,11,1750,Exports,Treilly,Marseille,Espagne,"1 060,00",livres,"1,2500000","1 325,00","0,00",
