numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,destination,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte,
142,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; bierre,,2191,24,,,pintes,132464,,,,,,,2
143,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; bierre,,13584,2096,,,bouteilles,132464,,,,,,,2
144,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; biscuits,,26216,174900,,,livres,36421,36422,,,,,,0
145,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; biscuits,,7401,49341,,,livres,36421,,,,,,,0
146,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; biscuits,,2805,18704,,,livres,36421,,,,,,,0
147,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; biscuits,,15408,102720,,,livres,36421,,,,,,,0
148,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; fromages,,245423,480654,,,livres,303084,303079,,,,,,0
149,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; fromages,,32197,63692,,,livres,303084,,,,,,,0
150,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; fromages,,22749,44916,,,livres,303084,,,,,,,0
151,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Comestibles ; fromages,,2710,5350,,,livres,303084,,,,,,,0
152,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; fromages,,3917,7796,,,livres,303084,,,,,,,0
153,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; farine,,4086016,25537600,,,livres,5542623,5542623,,,,,,0
154,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; farine,,904467,5877920,,,livres,5542623,,,,,,,0
155,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Comestibles ; farine,,511462,3196640,,,livres,5542623,,,,,,,0
156,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Comestibles ; farine,,40678,254240,,,livres,5542623,,,,,,,0
157,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; farine,,18329,114560,,,livres,5542623,,,,,,,0
158,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Comestibles ; riz,,159,530,,,livres,310,,,,,,,0
159,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Comestibles ; riz,,161,505,,,livres,310,,,,,,,0
160,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Comestibles ; riz,,20552,68508,,,livres,310,,,,,,,0
161,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Chaires salées ; divers,,41768,,,,,54694,54704,,,,,,0
162,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Chaires salées ; divers,,7527,,,,,54694,,,,,,,0
163,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Chaires salées ; divers,,4809,,,,,54694,,,,,,,0
164,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Cayenne et Guyanne,,3,Chaires salées ; divers,,600,,,,,54694,,,,,,,0
165,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,3,Chaires salées ; divers,,1417,,,,,54694,,,,,,,0
166,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,St Domingue,,3,Chaires salées ; bœuf salé,,309744,1032480,,,livres,1023138,1023138,,,,,,0
167,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Martinique,,3,Chaires salées ; bœuf salé,,562842,1876140,,,livres,1023138,,,,,,,0
168,Elisa Tirindelli,ANOM Col F 2B 14,,,1787,Exports,La Guadeloupe,,3,Chaires salées ; bœuf salé,,147690,492300,,,livres,1023138,,,,,,,0
