product,orthographic,note,sourceFR,sourceFR_nbr,sourceBEL,sourceBEL_nbr,sourceSUND,sourceSUND_nbr,sourceNAVIGO_nbr,_merge,sourceNAVIGO
Plumes d' autruches,plume (autruche),,,,,,,,1,Using only (2),1
Plusieurs marchandises,"divers, assortiment",,,,,,,,3,Using only (2),1
Poisson [salé],poisson salé,,,,,,,,1,Using only (2),1
Pour finir son chargement,pour compléter son chargement,,,,,,,,1,Using only (2),1
Pour la pêche,pêche,,,,,,,,125,Using only (2),1
Pour la pêche du poisson,pêche au poisson frais,,,,,,,,2,Using only (2),1
Poussière de poivre,poussière de poivre,,,,,,,,1,Using only (2),1
Prisonniers anglais,prisonier (anglais),,,,,,,,1,Using only (2),1
Prisonniers français,prisionier (français),,,,,,,,2,Using only (2),1
Produits inconnus,produit inconnu,,,,,,,,1,Using only (2),1
"Prunes, figues et raisins","prune, figue et raisin",,,,,,,,72,Using only (2),1
Pèche au maquereau,pêche au maquereau,,,,,,,,1,Using only (2),1
Pêche [du poisson frais],pêche au poisson frais,,,,,,,,19,Using only (2),1
Pêche [morue],pêche à la morue,,,,,,,,1,Using only (2),1
Pêche annuelle et au batelage,pêche au poisson frais,,,,,,,,1,Using only (2),1
Pêche au maquereau frais,pêche au maquereau,,,,,,,,1,Using only (2),1
Pêche au maquereau salé,pêche au maquereau,,,,,,,,9,Using only (2),1
Pêche aux Huitres,pêche aux huitres,,,,,,,,1,Using only (2),1
Pêche aux Huîtres,pêche aux huitres,,,,,,,,1,Using only (2),1
Pêche de la raye,pêche à la raie,,,,,,,,4,Using only (2),1
Pêche de raye,pêche à la raie,,,,,,,,9,Using only (2),1
Pêche de rayes,pêche à la raie,,,,,,,,1,Using only (2),1
Pêche du maquereau frais,pêche au maquereau,,,,,,,,4,Using only (2),1
Pêche du maquereau frais à la côte,pêche au maquereau,,,,,,,,24,Using only (2),1
Pêche du maquereau salé,pêche au maquereau,,,,,,,,5,Using only (2),1
Pêche du maquereau à la côte,pêche au maquereau,,,,,,,,6,Using only (2),1
Pêche fraiche annuelle,pêche au poisson frais,,,,,,,,1,Using only (2),1
Pêche fraîche du maquereau,pêche au maquereau,,,,,,,,1,Using only (2),1
Pêche à Terre-Neuve,pêche à la morue,,,,,,,,1,Using only (2),1
Pêche à la raie [et] maque[reau],pêche au maquereau,,,,,,,,1,Using only (2),1
Pêche à la raie et maquereau,pêche au maquereau,,,,,,,,10,Using only (2),1
Pêche à la raye,pêche à la raie,,,,,,,,2,Using only (2),1
Quelques machandises,"divers, assortiment",,,,,,,,1,Using only (2),1
Quelques marchandises de la foire de Beaucaire,"divers, assortiment (foire de beaucaire)",,,,,,,,3,Using only (2),1
Quelques marchandises de la vente,"divers, assortiment",,,,,,,,1,Using only (2),1
Quelques marchandises de retour,"divers, assortiment",,,,,,,,1,Using only (2),1
Quelques pacotilles,"divers, assortiment",,,,,,,,1,Using only (2),1
Quina,quinquina,,,,,,,,1,Using only (2),1
Raisine [raisins],raisin,,,,,,,,1,Using only (2),1
Rasque de pin,ecorce,,,,,,,,1,Using only (2),1
"Redingotes, habillemens ou casaques","redingotes, habillements ou casaques",,,,,,,,63,Using only (2),1
Restant de cargaison,"divers, assortiment",,,,,,,,1,Using only (2),1
Restant de son cargaison,"divers, assortiment",,,,,,,,1,Using only (2),1
