numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,doubleaccounts
4747,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Quincaille de Fer ; et d'Acier,Hollande,3052.5,2775,livres,1.1,0,,0
4748,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Rubarbe de moscovie,Hollande,250,10,livres,25,0,,0
4749,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Rasade,Hollande,2254.5,5010,livres,.45,0,,0
4750,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Ruban de Fil,Hollande,1335,534,livres,2.5,0,,0
4751,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,stocfiche,Hollande,200,2000,livres,.1,0,prix divisé par cent,0
4752,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Salsepareille,Hollande,100,50,livres,2,0,,0
4753,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Soye de porc,Hollande,27,27,livres,1,0,,0
4754,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Savon Noir,Hollande,231,1050,livres,.22,0,prix divisé par cent,0
4755,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Souffre,Hollande,8681.25,57875,livres,.15,0,prix divisé par cent,0
4756,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Sumac,Hollande,231,1100,livres,.21,0,prix divisé par cent,0
4757,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Soliveaux de Sapin,Hollande,135,54,nombre,2.5,0,,0
4758,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,The,Hollande,68,17,livres,4,0,,0
4759,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Tapsel,Hollande,945,70,pieces,13.5,0,,0
4760,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Toile peinte,Hollande,20620,1031,pieces,20,0,,0
4761,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Toile d'Hollande,Hollande,508.5,113,aumes,4.5,0,,0
4762,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,tournesol,Hollande,112.5,75,livres,1.5,0,,0
4763,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Vin du Rhin,Hollande,150,75,Pots,2,0,,0
4764,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Verre s a boires communs,Hollande,377,377,livres,1,0,,0
4765,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,argen vif,Nord qui comprend les villes anscatiques a la Moscovie,950,190,livres,.25,902.5,erreur de calcul,0
4766,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Acier,Nord qui comprend les villes anscatiques a la Moscovie,105,300,livres,.35,0,,0
4767,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Amidon,Nord qui comprend les villes anscatiques a la Moscovie,1230,6150,livres,.2,0,,0
4768,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Bierre,Nord qui comprend les villes anscatiques a la Moscovie,400,20,Bariques,20,0,,0
4769,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,bafetar,Nord qui comprend les villes anscatiques a la Moscovie,1800,150,pieces,12,0,,0
4770,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Broses a Gaudronne,Nord qui comprend les villes anscatiques a la Moscovie,54,108,nombre,.5,0,,0
4771,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Bouteilles de Verre clisé,Nord qui comprend les villes anscatiques a la Moscovie,475,2375,livres,.2,0,prix divisé par cent,0
4772,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Bariques Vieilles Vuides,Nord qui comprend les villes anscatiques a la Moscovie,100,40,nombre,2.5,0,,0
4773,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Bourdillons,Nord qui comprend les villes anscatiques a la Moscovie,3300,6600,nombre,.5,0,,0
4774,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Cuivres ; rouge Ouvre,Nord qui comprend les villes anscatiques a la Moscovie,16912,10570,livres,1.6,0,,0
4775,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Cuivres ; rouge Brun,Nord qui comprend les villes anscatiques a la Moscovie,22890,16350,livres,1.4,0,,0
4776,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Caves Garnies de 12 flacons,Nord qui comprend les villes anscatiques a la Moscovie,168,14,nombre,12,0,,0
4777,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,Chause pieds,Nord qui comprend les villes anscatiques a la Moscovie,50,50,nombre,1,0,,0
4778,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,3,ceruze,Nord qui comprend les villes anscatiques a la Moscovie,432,1800,livres,.24,0,prix divisé par cent,0
4779,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Espars,Nord qui comprend les villes anscatiques a la Moscovie,2,2,nombre,1,0,,0
4780,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Fil de Fer,Nord qui comprend les villes anscatiques a la Moscovie,540,1200,livres,.45,0,prix divisé par cent,0
4781,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Fer ; blanc,Nord qui comprend les villes anscatiques a la Moscovie,12330,137,livres,90,0,,0
4782,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Fer ; en barres,Nord qui comprend les villes anscatiques a la Moscovie,63,450,livres,.14,0,prix divisé par cent,0
4783,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,limes d'Acier,Nord qui comprend les villes anscatiques a la Moscovie,2250,150,livres,15,0,,0
4784,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Mine de Plomb,Nord qui comprend les villes anscatiques a la Moscovie,335,1675,livres,.2,0,prix divisé par cent,0
4785,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Mercerie grosiere,Nord qui comprend les villes anscatiques a la Moscovie,1150,1150,livres,1,0,,0
4786,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a pipes,Nord qui comprend les villes anscatiques a la Moscovie,27945,93150,douelles,.3,0,,0
4787,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a Bariques,Nord qui comprend les villes anscatiques a la Moscovie,19722.5,112700,douelles,.175,0,,0
4788,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a quarts,Nord qui comprend les villes anscatiques a la Moscovie,450,4500,douelles,.1,0,,0
4789,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Noir de Fumée,Nord qui comprend les villes anscatiques a la Moscovie,30,300,Barils,.1,0,,0
4790,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Platille,Nord qui comprend les villes anscatiques a la Moscovie,74337,15650,pieces,4.75,-.5,,0
4791,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Pellesterie commune,Nord qui comprend les villes anscatiques a la Moscovie,300,150,livres,2,0,,0
4792,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Peaux d'Ours Crue,Nord qui comprend les villes anscatiques a la Moscovie,256,64,nombre,4,0,,0
4793,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Papier Marbré en doré,Nord qui comprend les villes anscatiques a la Moscovie,270,90,livres,3,0,,0
4794,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Plomb en Saumon,Nord qui comprend les villes anscatiques a la Moscovie,46585,211750,livres,.22,0,prix divisé par cent,0
4795,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Nord qui comprend les villes anscatiques a la Moscovie,1982.2,2332,9 a 10 pieds,.85,0,,0
4796,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Nord qui comprend les villes anscatiques a la Moscovie,1995,2660,8 pieds,.75,0,,0
4797,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Pipes Vieilles vuides,Nord qui comprend les villes anscatiques a la Moscovie,100,10,nombre,10,0,,0
4798,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Quincaille de Fer,Nord qui comprend les villes anscatiques a la Moscovie,3510,3510,livres,1,0,,0
4799,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Verre s a boires communs,Nord qui comprend les villes anscatiques a la Moscovie,205,205,livres,1,0,,0
4800,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Amidon,Dannemarc,600,3000,livres,.2,0,,0
4801,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Avirons,Dannemarc,200,100,nombre,2,0,,0
4802,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Anspects,Dannemarc,102.3,372,nombre,.275,0,,0
4803,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Bray gras,Dannemarc,1640,82,Barils,20,0,,0
4804,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Bariques Vieilles Vuides,Dannemarc,160,64,nombre,2.5,0,,0
4805,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Cire Jaune,Dannemarc,187,170,livres,1.1,0,,0
4806,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Chandelles,Dannemarc,149.5,460,livres,.325,0,prix divisé par cent,0
4807,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Cordage,Dannemarc,120,500,livres,.24,0,prix divisé par cent,0
4808,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Cuivre rouge Brun,Dannemarc,1552.5,1150,livres,1.35,0,,0
4809,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Chevrons de Sapin,Dannemarc,125,25,nombre,5,0,,0
4810,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Epars,Dannemarc,372,372,nombre,1,0,,0
4811,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Fer ; blanc,Dannemarc,1080,12,Barils,90,0,de 450 FeuilleS,0
4812,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Fer ; en barres,Dannemarc,23100,165000,livres,.14,0,prix divisé par cent,0
4813,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Gaudron,Dannemarc,6840,456,Barils,15,0,,0
4814,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Matreaux,Dannemarc,3180,212,nombre,15,0,,0
4815,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a pipes,Dannemarc,1500,5000,douelles,.3,0,,0
4816,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a Bariques,Dannemarc,1575,9000,douelles,.175,0,,0
4817,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Dannemarc,7900,7900,11 pieds,1,0,,0
4818,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Dannemarc,17694,19660,10 pieds,.9,0,,0
4819,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Dannemarc,42415,49900,9 a 10 pieds,.85,0,,0
4820,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Dannemarc,14385,19180,8 pieds,.75,0,,0
4821,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Perches de Sapin,Dannemarc,306,204,nombre,1.5,0,,0
4822,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,rogue de stocfiche,Dannemarc,7400,296,Barils,25,0,,0
4823,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Saumon Sallé,Dannemarc,585,13,Barils,45,0,,0
4824,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Suif,Dannemarc,180,600,livres,30,-17820,OUBLIE DIVISION,0
4825,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Acier,Suéde,140,400,livres,.35,0,,0
4826,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Bray gras,Suéde,1720,86,Barils,20,0,,0
4827,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Bourdilles,Suéde,426,426,pieces,1,0,,0
4828,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Bourdillons,Suéde,1245,2490,pieces,.5,0,,0
4829,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Fer ; en barres,Suéde,9751,69650,livres,.14,0,prix divisé par cent,0
4830,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Gaudron,Suéde,11490,766,Barils,15,0,,0
4831,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Mats de navires asortis,Suéde,44370,306,nombre,145,0,,0
4832,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Matreaux de 30 a 35 pieds,Suéde,620,31,nombre,20,0,,0
4833,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Matreaux de chaLoupe,Suéde,3840,480,nombre,8,0,,0
4834,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a pipes,Suéde,3142.5,10475,pieces,.3,0,,0
4835,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Merain a Bariques,Suéde,971.25,5550,douelles,.175,0,,0
4836,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Pruses,Suéde,310,31,40 pieds,10,0,,0
4837,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Suéde,30625,30625,10 a11 pieds,1,0,,0
4838,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Suéde,3570,4200,9 a10 pieds,.85,0,,0
4839,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Planches de Sapin,Suéde,9105,12140,8 pieds,.75,0,,0
4840,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Avirons,Espagne,2280,380,traques,6,0,,0
4841,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,ancre de Fer,Espagne,1150,4600,livres,.25,0,prix divisé par cent,0
4842,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,beure salé,Espagne,1650,5500,livres,.3,0,prix divisé par cent,0
4843,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,4,Bray gras,Espagne,192,16,Barils,12,0,,0
4844,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Bray Sec,Espagne,420,6000,livres,.7,-3780,prix divisé par cent et erreur de calcul,0
4845,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Citrons,Espagne,100,2,milliers,50,0,,0
4846,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Fromage,Espagne,805,3500,livres,.23,0,prix divisé par cent,0
4847,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Fer ; en barres,Espagne,18693.5,133525,livres,.14,0,prix divisé par cent,0
4848,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Gaudron,Espagne,162,18,Barils,9,0,,0
4849,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Linge de Table,Espagne,80,,valeur,80,80,QUANTITE NON INDIQUE,0
4850,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Meulles a Coutelier,Espagne,1662,831,nombre,2,0,,0
4851,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Orange Douces,Espagne,1250,25,milliers,50,0,,0
4852,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Oranges Aigre,Espagne,150,15,milliers,10,0,,0
4853,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Planches de Sapin commune,Espagne,70,200,nombre,.35,0,,0
4854,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Balais de Jong s,Portugal,36,30,douzaine,1.2,0,,0
4855,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Cuirs rs Secs en poil,Portugal,4500,300,nombre,15,0,,0
4856,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Figues,Portugal,622.5,4150,livres,.15,0,prix divisé par cent,0
4857,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Oranges Douces,Portugal,210,4200,nombre,.05,0,,0
4858,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Aiguille a coudre,Ile française des Amériques et du Canada,10,,valeur,0,10,MANQUE QUANTITE ET prix,0
4859,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Bray gras,Ile française des Amériques et du Canada,13290,886,Barils,15,0,,0
4860,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Baleine en Fanon,Ile française des Amériques et du Canada,680,170,livres,4,0,,0
4861,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Bordage de cipres,Ile française des Amériques et du Canada,412,103,nombre,4,0,,0
4862,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Bois Violet,Ile française des Amériques et du Canada,62.5,125,Billes,.5,0,,0
4863,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Bois Violet,Ile française des Amériques et du Canada,51,1360,livres,.0375,0,,0
4864,Demba,41 ETP 270 / 9402,Local/La Rochelle/41 ETP 270/La Rochelle - Entrées - 1718-1780.csv,Local,1735,Imports,La Rochelle,5,Citrons Confits,Ile française des Amériques et du Canada,2265,3020,livres,.75,0,,0
