numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,DoubleAccounts
643,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dattes,Espagne,2831,11327.0,6662,livres,,,,0
644,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dattes,Naples,2481,9927.0,6662,livres,,,,0
645,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dattes,Russie,1350,5400.0,6662,livres,,,,0
646,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle or et argt,Hollande,7200,18.0,3806689,livres,,,,0
647,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Allemagne,15885,98.0,3806689,livres,924767,1491016,,0
648,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Allemagne,14500,,3806689,,924767,1491016,,0
649,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Angleterre,88555,285.0,3806689,livres,924767,1491016,,0
650,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Espagne,27636,83.5,3806689,livres,924767,1491016,,0
651,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Espagne,9030,,3806689,,924767,1491016,,0
652,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Flandre,199499,454.75,3806689,livres,924767,1491016,,0
653,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Geneve,25088,56.0,3806689,livres,924767,1491016,,0
654,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Hollande,2000,20.0,3806689,livres,924767,1491016,,0
655,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Italie,49333,115.75,3806689,livres,924767,1491016,,0
656,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Levant,393372,878.0,3806689,livres,924767,1491016,,0
657,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Savoye,13132,29.25,3806689,livres,924767,1491016,,0
658,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Suisse,55878,213.0,3806689,livres,924767,1491016,,0
659,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; blanc,Isles,30859,181.5,3806689,livres,924767,1491016,,0
660,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; fine,Isles,12300,,3806689,,1491016,,,0
661,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; du Puy,Espagne,466400,9328.0,3806689,livres,553949,1491016,,0
662,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; du Puy,Italie,51770,1035.5,3806689,livres,553949,1491016,,0
663,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de fil ; du Puy,Savoye,35779,715.66,3806689,livres,553949,1491016,,0
664,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de soye,Allemagne,559188,1597.0,3806689,livres,2308473,,,0
665,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de soye,Angleterre,1303050,3723.0,3806689,livres,2308473,,,0
666,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de soye,Danemark,1925,5.5,3806689,livres,2308473,,,0
667,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de soye,Espagne,156230,446.0,3806689,livres,2308473,,,0
668,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de soye,Flandre,43115,123.0,3806689,livres,2308473,,,0
669,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,31,Dentelle ; de soye,Geneve,2800,8.0,3806689,livres,2308473,,,0
670,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Hollande,67309,,3806689,,2308473,,,0
671,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Italie,99687,,3806689,,2308473,,,0
672,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Naples,21350,,3806689,,2308473,,,0
673,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Venise,2975,,3806689,,2308473,,,0
674,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Nord,5337,,3806689,,2308473,,,0
675,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Portugal,1575,,3806689,,2308473,,,0
676,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Russie,6562,,3806689,,2308473,,,0
677,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Savoye,17675,,3806689,,2308473,,,0
678,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Suisse,7875,,3806689,,2308473,,,0
679,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Isles,10500,,3806689,,2308473,,,0
680,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dentelle ; de soye,Indes,1320,,3806689,,2308473,,,0
681,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dominoterie,Allemagne,13550,1355.0,15850,livres,,,,0
682,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dominoterie,Flandre,2300,4650.0,15850,livres,,,,0
683,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Allemagne,216120,1801.0,3607290,livres,,,,0
684,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Angleterre,12050,120.0,3607290,livres,,,,0
685,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Espagne,1804660,17209.0,3607290,livres,,,,0
686,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Flandre,64920,516.0,3607290,livres,,,,0
687,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Geneve,3960,33.0,3607290,livres,,,,0
688,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Hollande,25080,234.0,3607290,livres,,,,0
689,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Italie,744120,6286.0,3607290,livres,,,,0
690,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Naples,36200,362.0,3607290,livres,,,,0
691,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Levant,89500,895.0,3607290,livres,,,,0
692,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Portugal,24960,208.0,3607290,livres,,,,0
693,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Savoye,435240,3941.0,3607290,livres,,,,0
694,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Suisse,93360,778.0,3607290,livres,,,,0
695,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Dorure fine,Isles,57120,537.0,3607290,livres,,,,0
696,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; d'Abbeville,Espagne,2750,125.0,2.77E7,aunes,1.83E7,,Je n'ai pu vérifier le total étant donné que je n'ai pas réussi à lire certains chiffres,0
697,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; d'Andelis,Allemagne,1400,70.0,2.77E7,aunes,1.83E7,,,0
698,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; de Carcassonne,Portugal,1050,175.0,2.77E7,livres,14438,1.83E7,,0
699,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; de Carcassonne,Isles,3204,534.0,2.77E7,livres,14438,1.83E7,,0
700,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; de Carcassonne,Guinée,10184,2546.0,2.77E7,livres,14438,1.83E7,,0
701,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; Cordeillard,Espagne,5825,116.5,2.77E7,livres,101325,1.83E7,,0
702,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; Cordeillard,Savoye,95500,1910.0,2.77E7,pièces,101325,1.83E7,,0
703,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; divers,Indes,15200,,2.77E7,,1.83E7,,,0
704,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; écarlatte,Allemagne,2850,190.0,2.77E7,livres,310635,1.83E7,,0
705,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; écarlatte,Espagne,19470,1298.0,2.77E7,livres,310635,1.83E7,,0
706,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; écarlatte,Italie,205605,13707.0,2.77E7,livres,310635,1.83E7,,0
707,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; écarlatte,Savoye,76650,5110.0,2.77E7,livres,310635,1.83E7,,0
708,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,32,Drap ; de laine ; écarlatte,Suisse,6060,404.0,2.77E7,livres,310635,1.83E7,,0
709,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Allemagne,,10039.0,2.77E7,aunes,1596102,1.83E7,,0
710,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Allemagne,388649,19107.0,2.77E7,livres,1596102,1.83E7,2 qtités pour Allemagne,0
711,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Angleterre,1875,125.0,2.77E7,livres,1596102,1.83E7,,0
712,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Danemark,1755,117.0,2.77E7,aunes,1596102,1.83E7,,0
713,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Espagne,520352,83004.75,2.77E7,livres,1596102,1.83E7,,0
714,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Flandre,39345,3278.0,2.77E7,livres,1596102,1.83E7,,0
715,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Geneve,5950,1190.0,2.77E7,livres,1596102,1.83E7,,0
716,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Hollande,445,89.0,2.77E7,livres,1596102,1.83E7,,0
717,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Italie,266760,17784.0,2.77E7,aunes,1596102,1.83E7,,0
718,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Nord,12235,1223.0,2.77E7,livres,1596102,1.83E7,,0
719,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Portugal,,528.0,2.77E7,aunes,1596102,1.83E7,,0
720,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Portugal,19495,2315.0,2.77E7,livres,1596102,1.83E7,,0
721,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Russie,1315,263.0,2.77E7,livres,1596102,1.83E7,,0
722,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Savoye,,16485.0,2.77E7,aunes,1596102,1.83E7,,0
723,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Savoye,250635,280.0,2.77E7,livres,1596102,1.83E7,,0
724,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Suisse,75606,6053.0,2.77E7,livres,1596102,1.83E7,,0
725,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; d'Elbeuf,Isles,11685,1960.0,2.77E7,livres,1596102,1.83E7,,0
726,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Espagne,24840,4140.0,2.77E7,livres,1.57E7,1.83E7,,0
727,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Italie,34164,5694.0,2.77E7,livres,1.57E7,1.83E7,,0
728,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Naples,58740,9790.0,2.77E7,livres,1.57E7,1.83E7,,0
729,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Genes,11022,1837.0,2.77E7,livres,1.57E7,1.83E7,,0
730,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Levant,1.54E7,2574000.0,2.77E7,livres,1.57E7,1.83E7,,0
731,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Savoye,4200,700.0,2.77E7,livres,1.57E7,1.83E7,,0
732,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; Londrin,Indes,112000,80.0,2.77E7,ballots,1.57E7,1.83E7,,0
733,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Allemagne,,2632.0,2.77E7,aunes,217574,1.83E7,,0
734,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Allemagne,57036,314.0,2.77E7,livres,217574,1.83E7,2 qtités pour Allemagne,0
735,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Espagne,14260,713.0,2.77E7,aunes,217574,1.83E7,,0
736,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Flandre,11338,587.0,2.77E7,aunes,217574,1.83E7,,0
737,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Hollande,4740,237.0,2.77E7,aunes,217574,1.83E7,,0
738,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Italie,28600,1430.0,2.77E7,aunes,217574,1.83E7,,0
739,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Savoye,96360,4818.0,2.77E7,aunes,217574,1.83E7,,0
740,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Suede,2300,115.0,2.77E7,livres,217574,1.83E7,,0
741,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Louviers,Suisse,2940,147.0,2.77E7,aunes,217574,1.83E7,,0
742,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Espagne,,206.0,2.77E7,pièces,208006,1.83E7,,0
743,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Espagne,110536,1256.0,2.77E7,livres,208006,1.83E7,2 qtités pour Espagne,0
744,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Hollande,5050,10.0,2.77E7,pièces,208006,1.83E7,,0
745,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Nord,18500,37.0,2.77E7,pièces,208006,1.83E7,,0
746,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Portugal,,131.0,2.77E7,pièces,208006,1.83E7,,0
747,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Portugal,71920,1070.0,2.77E7,livres,208006,1.83E7,2 qtités pour Portugal,0
748,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Sedan,Russie,2000,4.0,2.77E7,pièces,208006,1.83E7,,0
749,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Silesie,Allemagne,21132,3522.0,2.77E7,livres,67050,1.83E7,,0
750,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Silesie,Flandre,3636,606.0,2.77E7,livres,67050,1.83E7,,0
751,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Silesie,Italie,16740,2790.0,2.77E7,livres,67050,1.83E7,,0
752,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Silesie,Portugal,10590,1765.0,2.77E7,livres,67050,1.83E7,,0
753,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Silesie,Savoye,11832,1972.0,2.77E7,livres,67050,1.83E7,,0
754,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Silesie,Suisse,3120,520.0,2.77E7,livres,67050,1.83E7,,0
755,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Vanrobais,Espagne,14670,2095.0,2.77E7,livres,68820,1.83E7,,0
756,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Vanrobais,Flandre,22950,1530.0,2.77E7,livres,68820,1.83E7,,0
757,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Vanrobais,Italie,26175,1745.0,2.77E7,livres,68820,1.83E7,,0
758,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,33,Drap ; de laine ; de Vanrobais,Suisse,5025,335.0,2.77E7,livres,68820,1.83E7,,0
759,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; layette,Guinée,4953,1651.0,2.77E7,livres,,9409901,Je n'ai pu vérifier le sous-total 2 étant donné que je n'ai pas réussi à lire certains chiffres,0
760,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; ?,Allemagne,207,69.0,2.77E7,livres,,9409901,,0
761,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; crepe,Allemagne,2300,42.0,2.77E7,pièces,,9409901,,0
762,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; dauphine,Allemagne,50952,20381.0,2.77E7,livres,69201,9409901,,0
763,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; dauphine,Flandre,1087,435.0,2.77E7,livres,69201,9409901,,0
764,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; dauphine,Italie,11512,4605.0,2.77E7,livres,69201,9409901,,0
765,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; dauphine,Suisse,5650,2260.0,2.77E7,livres,69201,9409901,,0
766,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; droguet,Allemagne,2454,409.0,2.77E7,livres,,9409901,,0
767,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Allemagne,15331,2258.0,2.77E7,livres,56110,9409901,nombres illisibles,0
768,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Espagne,4367,631.0,2.77E7,livres,56110,9409901,,0
769,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Flandre,2866,445.0,2.77E7,livres,56110,9409901,,0
770,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Hollande,2065,335.0,2.77E7,livres,56110,9409901,,0
771,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Italie,8958,1214.0,2.77E7,livres,56110,9409901,,0
772,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Nord,1980,290.0,2.77E7,livres,56110,9409901,,0
773,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Russie,3144,524.0,2.77E7,livres,56110,9409901,,0
774,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Savoye,12349,2006.0,2.77E7,livres,56110,9409901,,0
775,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Suisse,2298,342.0,2.77E7,livres,56110,9409901,,0
776,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; espagnolette,Geneve,1532,262.0,2.77E7,livres,56110,9409901,,0
777,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; flanelle,Angleterre,14360,7180.0,2.77E7,livres,57608,9409901,,0
778,Milewski,IIHS-122E,National/Objet Général/IIHS - Amsterdam/1771.csv,Objet Général,1771,Exports,35,Drap ; draperie ; flanelle,Espagne,28736,0.7184,2.77E7,livres,57608,9409901,,0
