numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,prix_unitaire
141,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Vaus a vaner,Angleterre,312,208,En nombre,,"1,5"
142,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,2,Verre à boire,Angleterre,60,120,Livres,,"0,5"
143,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Vin,Angleterre,312,"2,17",Muids,2 muids et 1/6,144
144,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Volailles,Angleterre,8046,447,douzaine,,18
145,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Beure salé,Danemark,190,380,Livres,,"0,5"
146,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Marchandises meslées,Danemark,100,1,Valeur,,100
147,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Mercerie,Danemark,920,230,Livres,,4
148,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Chataigne,Flandre autrichienne,132,1320,Livres,,"0,1"
149,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Fromage,Flandre autrichienne,720,1800,Livres,,"0,4"
150,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Navets,Flandre autrichienne,240,1600,Livres,,"0,15"
151,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Oeufs,Flandre autrichienne,11550,38500,En nombre,,"0,3"
152,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Bougie,Hollande,232,116,Livres,,2
153,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Huites en ecailles,Hollande,750,30,Milliers,,25
154,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1769,exports,Caen,3,Marchandises a l'estimation,Pour les Isles françaises de l'Amérique,3240,1,Valeur,,3240
155,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Agneaux,Angleterre,25,5,En nombre,,5
156,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Amidon,Angleterre,50,125,Livres,,"0,4"
157,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Arbres a planter,Angleterre,5000,10000,En nombre,,"0,5"
158,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Armoire,Angleterre,40,1,En nombre,,40
159,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Auges,Angleterre,102,34,En nombre,,3
160,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Baleine coupée,Angleterre,152,38,Livres,,4
161,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Bouteilles de terre,Angleterre,"57,6",48,douzaine,,"1,2"
162,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Carreaux demoulage,Angleterre,300,600,En nombre,,"0,5"
163,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Chandelle,Angleterre,"229,2",382,Livres,,"0,6"
164,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Choux,Angleterre,1065,42600,En nombre,,"0,025"
165,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Cidre,Angleterre,60,4,Bariques,,15
166,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Cidre,Angleterre,2180,109,Muids,,20
167,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Cidre,Angleterre,420,7,Tonneaux,,60
168,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,1,Cuivre en batterie,Angleterre,"6385,75",3649,Livres,,"1,75"
169,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Bas de laine,Angleterre,280,70,Livres,,4
170,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Beufs en vie,Angleterre,5600,28,En nombre,,200
171,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Beurre,Angleterre,"1261,8",2103,Livres,,"0,6"
172,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Biscuits,Angleterre,"7,5",50,Livres,,"0,15"
173,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Bois ouvré,Angleterre,283,1,Valeur,,283
174,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Dentelle ; de Caen,Angleterre,18275,"182,75",Livres,182 Livres 3/4,100
175,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Dentelle ; de Soye,Angleterre,"62737,5","179,25",Livres,179 Livres 1/4,350
176,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Dragées,Angleterre,971,971,Livres,,1
177,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Drap de lit,Angleterre,96,4,En nombre,,24
178,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Eau de vie,Angleterre,708,708,Pots,,1
179,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Faulx,Angleterre,100,100,Livres,,1
180,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Fruits cruds ;,Angleterre,150,10,Charges,,15
181,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Fruits cruds ;,Angleterre,"1072,5","107,25",Sommes,,10
182,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Fruits cruds ;,Angleterre,100,40,Razieres,,"2,5"
183,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Fruits secs,Angleterre,"1038,5",2077,Livres,,"0,5"
184,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Gans de peaux,Angleterre,126,14,Livres,,9
185,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Glaces et miroirs,Angleterre,80,2,En nombre,,40
186,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Graine de,Angleterre,"229,95",1533,Livres,,"0,15"
187,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Huile de graines,Angleterre,120,300,Livres,,"0,4"
188,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Huile d'olive,Angleterre,"1387,5",1850,Livres,,"0,75"
189,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Huittres,Angleterre,200,20000,En nombre,10 Liv. le 100,"0,01"
190,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Lard,Angleterre,110,275,Livres,,"0,4"
191,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Manchettes,Angleterre,794,1,Valeur,,794
192,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Marchandises meslées,Angleterre,1158,1,Valeur,,1158
193,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Mercerie,Angleterre,39264,9816,Livres,,4
194,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Meuble,Angleterre,239,1,Valeur,,239
195,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Miel,Angleterre,"424,35",2829,Livres,,"0,15"
196,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Mouton,Angleterre,2330,233,En nombre,,10
197,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Noix,Angleterre,"142,5","9,5",Poinçons,,15
198,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Oeufs,Angleterre,"544,4",10888,En nombre,"272,2 erreur calcul (double de la valeur normale)","0,025"
199,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Paniers d'osier,Angleterre,510,"56,67",douzaine,,9
200,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Parchemin,Angleterre,"222,5",445,Feuilles,,"0,5"
201,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,2,Plumes de lit,Angleterre,2600,2600,Livres,,1
202,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Porc gras,Angleterre,14400,288,En nombre,,50
203,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Potterie de terre,Angleterre,"2118,6",14124,En nombre,,"0,15"
204,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Pruneaux,Angleterre,"124,5",830,Livres,,"0,15"
205,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Retz de charue,Angleterre,200,400,En nombre,,"0,5"
206,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Ruban ; de Soye,Angleterre,3378,1,Valeur,,3378
207,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Ruban ; de coutil,Angleterre,624,312,Livres,,2
208,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Ruban ; de crin,Angleterre,310,62,Livres,,5
209,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Ruban ; d'etoupe de chanvre,Angleterre,"7306,5",9742,Livres,,"0,75"
210,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Ruban ; d'etoupe de lin,Angleterre,"8890,5",5927,Livres,,"1,5"
211,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Ruban ; de lin,Angleterre,1480,148,Livres,,10
212,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Vaches,Angleterre,32520,542,En nombre,,60
213,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Vin,Angleterre,180,"1,25",Muids,1 muid 1/4 1/8 valeur indiquée 252,144
214,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Vin,Angleterre,18,"0,13",Muids,1 muid 1/4 1/8 valeur indiquée 252,144
215,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Vinaigre,Angleterre,260,"3,25",Muids,,80
216,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Vinaigre,Angleterre,800,"3,33",Tonneaux,3 tonneaux 1/3,240
217,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Volailles,Angleterre,"7801,5",5201,En nombre,,"1,5"
218,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Eau de vie,Danemark,414,"2,88",Muids,2 Muids 3/4 1/8,144
219,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Houblon,Danemark,"174,2",228,Livres,83 Erreur calcul,"0,4"
220,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Marchandises meslées,Danemark,1081,1,Valeur,,1081
221,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Mercerie,Danemark,1600,400,Livres,,4
222,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Dentelle de soye,Espagne,1750,5,Livres,,350
223,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Confitures,Flandre,70,70,Livres,,1
224,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,3,Fromage,Flandre,330,660,Livres,,"0,5"
225,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Fruits,Flandre,175,"17,5",Sommes,,10
226,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Graines de jardin,Flandre,2750,2750,Livres,,1
227,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Navets,Flandre,"1560,5",31210,Livres,,"0,05"
228,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Noix,Flandre,4515,301,Poinçons,,15
229,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Oeufs,Flandre,"3862,5",154500,En nombre,,"0,025"
230,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Vin,Flandre,216,"0,5",Tonneaux,216 Prix unitaire non indiqué,0
231,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Cantarides,Hollande,105,70,Livres,,"1,5"
232,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Dentelle ; de Caen,Italie,300,3,Livres,3 Livres et 3 onces,100
233,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Dentelle ; de Caen,Italie,"18,75",3,onces,"18,75 3 Livres et 3 onces",0
234,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Dentelle ; de soye,Italie,20650,59,Livres,,350
235,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Dentelle de soye,Savoye,350,1,Livres,1 Livre et 10 onces,350
236,Pascal Fontaine,CCI Rouen Carton VIII 110,Local/Caen/Caen - Sorties 1767-69-74.csv,Local,1774,exports,Caen,4,Dentelle de soye,Savoye,"218,75",10,Onces,"218,75 1 Livre et 10 onces",0
