line_number;source_type;year;customs_region;customs_office;partner;export_import;product;origin;width_in_line;value;value_part_of_bundle;quantity;quantity_unit;value_per_unit;filepath;source;sheet;value_total;value_sub_total_1;value_sub_total_2;value_sub_total_3;data_collector;unverified;remarks;value_minus_unit_val_x_qty;absurd_observation;trade_deficit;trade_surplus;duty_quantity;duty_quantity_unit;duty_by_unit;duty_total;duty_part_of_bundle;duty_remarks
35;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture ceruse;;;18 780,00;;52 168,00;Livres;0,3600000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;-0,48;;;;;;;;;
36;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture cinabre;;;216,00;;72,00;Livres;3,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
37;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture couperose blanche;;;120,00;;160,00;Livres;0,7500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
38;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues pour la peinture et la teinture couperose verte;;;6 447,00;;80 588,00;Livres;0,0800000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;-0,04;;;;;;;;;
39;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture galangal;;;360,00;;60,00;Livres;6,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
40;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture garance;;;6 477,00;;7 620,00;Livres;0,8500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
41;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture indigo;;;610,00;;61,00;Livres;10,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
42;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Drogues pour la peinture et la teinture mine de plomb;;;3 022,00;;12 090,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
43;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Drogues pour la peinture et la teinture vermillon;;;150,00;;50,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
44;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Epiceries Girofles;;;2 580,00;;258,00;Livres;10,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
45;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Epiceries Muscade;;;710,00;;71,00;Livres;10,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
46;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Epiceries Piment;;;5 655,00;;3 770,00;Livres;1,5000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
47;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Epiceries poivre;;;13 848,00;;8 655,00;Livres;1,6000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;3;;;;;Xavier Bidard;;;0,00;;;;;;;;;
48;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Etain glacé pour glaces;;;100,00;;100,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
49;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Etain non ouvré;;;640,00;;640,00;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
50;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Fer blanc;;;5 690,00;;14 645,00;Livres;0,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
51;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Fer en botte;;;602,00;;3 010,00;Livres;0,2000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
52;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Fer noir;;;1 351,00;;4 505,00;Livres;0,3000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;-0,50;;;;;;;;;
53;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Fer ouvré;;;753,00;;3 015,00;Livres;0,2500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;-0,75;;;;;;;;;
54;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Fer en tole;;;832,00;;2 080,00;Livres;0,4000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
55;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Fil blanc;;;9 800,00;;490,00;Livres;20,0000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
56;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Fromage;;;7 404,00;;21 155,00;Livres;0,3500000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;-0,25;;;;;;;;;
57;National toutes directions partenaires manquants;1789;Caen;Caen;Marseille;Imports;Fruits secs (figues);;;673,00;;2 245,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
58;National toutes directions partenaires manquants;1789;Caen;Caen;Marseille;Imports;Fruits secs Raisins;;;614,00;;3 070,00;Livres;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
59;National toutes directions partenaires manquants;1789;Caen;Caen;Angleterre;Imports;Grains divers (riz);;;18 750,00;;62 500,00;Livres;0,3000000;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;;0,00;;;;;;;;;
60;National toutes directions partenaires manquants;1789;Caen;Caen;Hollande;Imports;Graines de jardins;;;1 551,00;;;Valeurs;;sources/National toutes directions partenaires manquants/AN_F12_1667_Caen_Imports_1789.csv;AN F12 1666;4;;;;;Xavier Bidard;;Pas de prix unitaire;;;;;;;;;;
