line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
27,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Indigo,Colonies françaises de l'Amérique,,470636,0,49541,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,6678970,,,,Guillaume Daudin,,,,,,,,,,,,
34,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Rocou,Colonies françaises de l'Amérique,,3679,0,4088,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,66239,,,,Guillaume Daudin,,,,,,,,,,,,
39,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Sucre brut,Colonies françaises de l'Amérique,,8529322,0,21323304,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,22002675,,,,Guillaume Daudin,,,,,,,,,,,,
51,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,Sucre terré,Colonies françaises de l'Amérique,,5622832,0,9371386,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,44248771,,,,Guillaume Daudin,,,,,,,,,,,,
61,National toutes directions partenaires manquants,1789,Nantes,Nantes,Étranger,Exports,"Sirop, mélasse, rum et taffia",Colonies françaises de l'Amérique,,934170,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 5),4,2336369,,,,Guillaume Daudin,,,,,,,,,,,,
1491,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Agrès de navire,,,2434,0,,,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,Pas de quantité indiquée,,,,,,,,,,
1492,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Amandes en coques,Provence,,294,0,420,livres,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1493,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Arbres fruitiers,Touraine,,774,0,1548,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1494,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Argent en piastres,Étranger,,315000,0,40000,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1495,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Ardoises,Anjou,,49527,0,2751500,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,53385,,,Cyril Mouton,,,,,,,,,,,,
1496,National toutes directions partenaires manquants,1789,Nantes,Nantes,La Martinique,Exports,Ardoises,Anjou,,654,0,38000,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,53385,,,Cyril Mouton,,,,,,,,,,,,
1497,National toutes directions partenaires manquants,1789,Nantes,Nantes,La Guadeloupe,Exports,Ardoises,Anjou,,3204,0,178000,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,53385,,,Cyril Mouton,,,,,,,,,,,,
1498,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Ardoises en carreau,Anjou,,2466,0,5166,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1499,National toutes directions partenaires manquants,1789,Nantes,Nantes,St Domingue,Exports,Armes blanches (sabres),,,330,0,22,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
1500,National toutes directions partenaires manquants,1789,Nantes,Nantes,Sénégal et Guinée,Exports,Sabres et poignards de traitte,Étranger,,16304,0,8152,en nombre,,sources/National toutes directions partenaires manquants/ANOM_Col_F_2B_14_Colonies_Exports_1789.csv,ANOM Col F 2B 14 (tableau 18),18,,,,,Cyril Mouton,,,,,,,,,,,,
