simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
tables de nuit,2,non,Pas grain (0),827454
tables de quadrilles,3,non,Pas grain (0),827454
tables de sapin,17,non,Pas grain (0),827454
tables de sapin en forme de commonde,1,non,Pas grain (0),827454
tables de sapin peinte,3,non,Pas grain (0),827454
tables de sapin peintes,12,non,Pas grain (0),827454
tables de sapin vernies,4,non,Pas grain (0),827454
tables de toilette,1,non,Pas grain (0),827454
tables de verre,53,non,Pas grain (0),827454
tables en feuilles,1,non,Pas grain (0),827454
tables en marbre,27,non,Pas grain (0),827454
tables fermées,1,non,Pas grain (0),827454
tables jacinthes,1,non,Pas grain (0),827454
tables peintes,10,non,Pas grain (0),827454
tables vernies,13,non,Pas grain (0),827454
tabletterie,7,non,Pas grain (0),827454
tabletterie et porcelaine,0,non,Pas grain (0),827454
tablettes anisées,1,non,Pas grain (0),827454
tablettes d'ardoise,2,non,Pas grain (0),827454
tablier,4,non,Pas grain (0),827454
tablier brodé,4,non,Pas grain (0),827454
tablier brodé et de taffetas,1,non,Pas grain (0),827454
tablier de peau de chamois,1,non,Pas grain (0),827454
tablier de quadrilles,1,non,Pas grain (0),827454
tablier de soie,1,non,,13751
tablier de taffetas,6,non,Pas grain (0),827454
tablier de toile peinte,3,non,Pas grain (0),827454
tablier peint,2,non,Pas grain (0),827454
tabourets,1,non,Pas grain (0),827454
tabourets d'enfant,1,non,Pas grain (0),827454
tabourets de lit en satin,2,non,Pas grain (0),827454
tabourets de lit en satin brodé,2,non,Pas grain (0),827454
tacelle de fer,0,non,Pas grain (0),827454
taffetas,244,non,Pas grain (0),827454
taffetas à la bonne femme,2,non,Pas grain (0),827454
taffetas blanc,2,non,Pas grain (0),827454
taffetas bleu,3,non,Pas grain (0),827454
taffetas broché,1,non,Pas grain (0),827454
taffetas chiné,1,non,Pas grain (0),827454
taffetas cirés de soie,1,non,Pas grain (0),827454
taffetas crin,1,non,Pas grain (0),827454
taffetas d'Angleterre,4,non,Pas grain (0),827454
taffetas d'Avignon,2,non,Pas grain (0),827454
taffetas de Florence,2,non,Pas grain (0),827454
taffetas de Léon,2,non,Pas grain (0),827454
taffetas de Lyon,1,non,Pas grain (0),827454
taffetas de Naples,1,non,,13751
taffetas de Pékin,4,non,Pas grain (0),827454
taffetas de soie,35,non,Pas grain (0),827454
taffetas double,1,non,,13751
taffetas foulard,1,non,Pas grain (0),827454
taffetas foulas,7,non,Pas grain (0),827454
taffetas lustré,2,non,Pas grain (0),827454
taffetas noir,7,non,Pas grain (0),827454
taffetas petit,5,non,Pas grain (0),827454
taffetas rayé,5,non,Pas grain (0),827454
tafia,386,non,Pas grain (0),827454
tafia par Dunkerque et étranger,1,non,Pas grain (0),827454
taillanderie,7,non,Pas grain (0),827454
taille de bois à couvrir,1,oui,Pas grain (0),827454
taille de bois pour couvrir,1,non,,13751
taillole de coton,2,non,Pas grain (0),827454
taillole de laine,4,non,Pas grain (0),827454
talaris,8,non,Pas grain (0),827454
talc,5,non,Pas grain (0),827454
talc de Venise,2,non,Pas grain (0),827454
talons de bois,37,non,Pas grain (0),827454
talons de bois et forme de bois,1,non,Pas grain (0),827454
talons de cuir,1,non,Pas grain (0),827454
tamarin,333,non,Pas grain (0),827454
tamarin confit dans le sucre,4,non,Pas grain (0),827454
tamarin en gousse,38,non,Pas grain (0),827454
tamarin gousse entière,5,non,Pas grain (0),827454
tamarin gras,1,non,Pas grain (0),827454
tamarindy,2,non,Pas grain (0),827454
tambours,15,non,Pas grain (0),827454
tambours à sucre,5,non,Pas grain (0),827454
tambours d'acier,2,non,Pas grain (0),827454
tambours d'enfant,2,non,Pas grain (0),827454
tambours de cuir,1,non,,13751
tambours de fer,35,non,Pas grain (0),827454
tambours de fer pour moulins à sucre,1,non,Pas grain (0),827454
tambours de fonte,1,non,Pas grain (0),827454
tambours de forme,1,non,Pas grain (0),827454
tambours pour moulins à sucre,1,non,Pas grain (0),827454
tamis,58,non,Pas grain (0),827454
tamis à faire et faits,111,non,Pas grain (0),827454
tamis à sucre,2,non,Pas grain (0),827454
tamis à tabac,1,non,Pas grain (0),827454
tamis de crin,4,non,Pas grain (0),827454
tamis de fil de laiton,3,non,Pas grain (0),827454
tamis de laine,1,non,,13751
tamis de soie,1,non,Pas grain (0),827454
tamis de toile de crin,1,non,Pas grain (0),827454
tan,3,non,Pas grain (0),827454
tanabare ???,1,non,Pas grain (0),827454
tanches,2,non,Pas grain (0),827454
tanelles,1,non,Pas grain (0),827454
tanier de laine,1,non,Pas grain (0),827454
tanjebs,7,non,Pas grain (0),827454
tanquets de terre,1,non,Pas grain (0),827454
tapenade,1,non,Pas grain (0),827454
tapetal,0,non,Pas grain (0),827454
tapette,1,non,Pas grain (0),827454
tapette à mouches,1,non,Pas grain (0),827454
tapis,120,non,Pas grain (0),827454
tapis à côtes et à nœuds de laine,2,non,Pas grain (0),827454
tapis à petit point,1,non,Pas grain (0),827454
tapis autres qu'à côtes et à nœuds de laine,1,non,Pas grain (0),827454
tapis brodés,2,non,Pas grain (0),827454
tapis brodés en soie,1,non,Pas grain (0),827454
tapis brodés en surface et de drap,1,non,Pas grain (0),827454
tapis courtepointe,1,non,Pas grain (0),827454
tapis courtepointe de toile peinte,1,non,Pas grain (0),827454
tapis d'Angleterre,3,non,Pas grain (0),827454
tapis d'Aubusson,10,non,Pas grain (0),827454
tapis d'Auvergne,12,non,Pas grain (0),827454
tapis d'indienne,18,non,Pas grain (0),827454
tapis de billard,1,non,Pas grain (0),827454
tapis de chitte,2,non,Pas grain (0),827454
tapis de coton,1,non,Pas grain (0),827454
tapis de coton et de fil,2,non,Pas grain (0),827454
tapis de fil et de laine,3,non,Pas grain (0),827454
tapis de Guinée,2,non,Pas grain (0),827454
tapis de laine,117,non,Pas grain (0),827454
tapis de laine à côtes et à nœuds,1,non,Pas grain (0),827454
tapis de laine d'Aubusson,3,non,Pas grain (0),827454
tapis de laine d'Auvergne,1,non,Pas grain (0),827454
tapis de laine simples,4,non,Pas grain (0),827454
tapis de moquette,9,non,Pas grain (0),827454
tapis de palampoux,2,non,Pas grain (0),827454
tapis de Perse,2,non,Pas grain (0),827454
tapis de pieds,4,non,Pas grain (0),827454
tapis de pure laine,3,non,Pas grain (0),827454
tapis de Rouen,1,non,Pas grain (0),827454
tapis de satin,2,non,Pas grain (0),827454
tapis de satin blanc brodé,1,non,Pas grain (0),827454
tapis de satin brodé,8,non,Pas grain (0),827454
tapis de soie,1,non,Pas grain (0),827454
tapis de table,68,non,Pas grain (0),827454
tapis de table pièces,171,non,Pas grain (0),827454
tapis de toile cirée,1,non,Pas grain (0),827454
tapis de toile peinte,14,non,Pas grain (0),827454
tapis de toile rayée,1,non,Pas grain (0),827454
tapis de Turquie,12,non,Pas grain (0),827454
tapis de velours,8,non,Pas grain (0),827454
tapis des Indes,7,non,Pas grain (0),827454
tapis divers,19,non,Pas grain (0),827454
tapis du Caire,3,non,Pas grain (0),827454
tapis du Levant,2,non,Pas grain (0),827454
tapis et courtepointe,1,non,Pas grain (0),827454
tapis et tapisserie,3,non,Pas grain (0),827454
tapis fabrique de Tournai,3,non,Pas grain (0),827454
tapis fil teint,1,non,Pas grain (0),827454
tapis gros point,1,non,Pas grain (0),827454
tapis indienne,1,non,Pas grain (0),827454
tapis peints,7,non,Pas grain (0),827454
tapis peints brodés,1,non,Pas grain (0),827454
tapis vieux de renvoi,1,non,Pas grain (0),827454
tapisserie,201,non,Pas grain (0),827454
tapisserie à l'Aubusson,4,non,Pas grain (0),827454
tapisserie aux aiguilles,3,non,Pas grain (0),827454
tapisserie commune,24,non,Pas grain (0),827454
tapisserie d'Amiens,2,non,Pas grain (0),827454
tapisserie d'Anvers,1,non,Pas grain (0),827454
tapisserie d'Aubusson,112,non,Pas grain (0),827454
tapisserie d'Aubusson en tenture,1,non,Pas grain (0),827454
tapisserie d'Aubusson tenture,2,non,Pas grain (0),827454
tapisserie d'Audenarde,17,non,Pas grain (0),827454
tapisserie d'Auvergne,105,non,Pas grain (0),827454
tapisserie d'Auvergne en tentures,1,non,Pas grain (0),827454
tapisserie d'Elbeuf,13,non,Pas grain (0),827454
tapisserie d'oudenarde,2,non,Pas grain (0),827454
tapisserie d'ouvrage,1,non,Pas grain (0),827454
tapisserie de Bayonne,1,non,Pas grain (0),827454
tapisserie de Beauvais,1,non,Pas grain (0),827454
tapisserie de Bergame,12,non,Pas grain (0),827454
tapisserie de Bruxelles,1,non,Pas grain (0),827454
tapisserie de Bruxelles et autres,5,non,Pas grain (0),827454
tapisserie de coton,1,non,Pas grain (0),827454
tapisserie de coton imprimé,3,non,Pas grain (0),827454
tapisserie de coutil,2,non,Pas grain (0),827454
tapisserie de coutil peinte,1,non,Pas grain (0),827454
tapisserie de cuir doré,13,non,Pas grain (0),827454
tapisserie de fil et de laine,3,non,Pas grain (0),827454
tapisserie de fil peint,1,non,Pas grain (0),827454
tapisserie de fil teint,2,non,Pas grain (0),827454
tapisserie de filoselle,1,non,Pas grain (0),827454
tapisserie de Flandre avec argent et or,1,non,Pas grain (0),827454
tapisserie de haut lieu vieille,1,non,Pas grain (0),827454
tapisserie de haute lice,23,non,Pas grain (0),827454
tapisserie de haute lice en tenture,3,non,Pas grain (0),827454
tapisserie de Hongrie,3,non,Pas grain (0),827454
tapisserie de la Marche,1,non,Pas grain (0),827454
tapisserie de laine,8,non,Pas grain (0),827454
tapisserie de laine d'Aubusson,1,non,Pas grain (0),827454
tapisserie de moquette,33,non,Pas grain (0),827454
tapisserie de papier peau,1,non,Pas grain (0),827454
tapisserie de papier peint,1,non,Pas grain (0),827454
tapisserie de point de Hongrie,3,non,Pas grain (0),827454
tapisserie de Rouen,104,non,Pas grain (0),827454
tapisserie de toile cirée,1,non,Pas grain (0),827454
tapisserie de toile peinte,4,non,Pas grain (0),827454
tapisserie de verdure,4,non,Pas grain (0),827454
tapisserie de verdure tentures,1,non,Pas grain (0),827454
tapisserie des Gobelins,21,non,Pas grain (0),827454
tapisserie du Dauphiné,1,non,Pas grain (0),827454
tapisserie en tentures,2,non,Pas grain (0),827454
tapisserie fausse et de toile,1,non,Pas grain (0),827454
tapisserie filoselle et laine,1,non,Pas grain (0),827454
tapisserie fine coutil,1,non,Pas grain (0),827454
tapisserie hachée et de laine,2,non,Pas grain (0),827454
tapisserie peinte,15,non,Pas grain (0),827454
tapisserie peinte ??? toile,1,non,Pas grain (0),827454
tapisserie peinte de Hongrie,4,non,Pas grain (0),827454
tapisserie peinte sur coutil,2,non,Pas grain (0),827454
tapisserie peinte sur toile,2,non,Pas grain (0),827454
tapisserie peinte tentures,1,non,Pas grain (0),827454
tapisserie pièce,2,non,Pas grain (0),827454
tapisserie point de Hongrie,3,non,Pas grain (0),827454
tapisserie pour chaises,1,non,Pas grain (0),827454
tapisserie pur ??? coutil,1,non,Pas grain (0),827454
tapisserie simple,2,non,Pas grain (0),827454
tapisserie sur toile,3,non,Pas grain (0),827454
tapisserie tontisse,3,non,Pas grain (0),827454
tapisserie verdure,2,non,Pas grain (0),827454
tapisserie vieille,17,non,Pas grain (0),827454
tapkankanias,1,non,,13751
tapsel,178,non,Pas grain (0),827454
tapsel des Indes,3,non,Pas grain (0),827454
tapsel étoffe,1,non,Pas grain (0),827454
tapsel étroite,1,non,Pas grain (0),827454
tapsel grand,4,non,Pas grain (0),827454
tapsel large,1,non,Pas grain (0),827454
tapsel longue et large,1,non,Pas grain (0),827454
taques de cheminée,2,non,Pas grain (0),827454
tarnatanes,3,non,Pas grain (0),827454
tars,1,non,Pas grain (0),827454
tartagogne,1,non,Pas grain (0),827454
tartre,1679,non,Pas grain (0),827454
tartre blanc,9,non,Pas grain (0),827454
tartre brut,3,non,Pas grain (0),827454
tartre de lie de vin désséchée,2,non,Pas grain (0),827454
tartre de lie de vin liquide,1,non,Pas grain (0),827454
tartre de potasse de soudes et de potasse,2,non,Pas grain (0),827454
tartre de soudes et de potasse,1,non,Pas grain (0),827454
tartre émétique,3,non,Pas grain (0),827454
tartre en grabeau,26,non,Pas grain (0),827454
tartre en pierre,1,non,Pas grain (0),827454
tartre en poussière,1,non,Pas grain (0),827454
tartre et lie de vin,22,non,Pas grain (0),827454
tartre et térébenthine,6,non,Pas grain (0),827454
tartre glan,1,non,Pas grain (0),827454
tartre rouge,8,non,Pas grain (0),827454
tartre térébenthine,4,non,Pas grain (0),827454
tartre vitriolé,1,non,Pas grain (0),827454
tase rouge,1,non,Pas grain (0),827454
tasse à café de terre anglaise,1,non,,13751
tasseaux,1,non,Pas grain (0),827454
tasses,4,non,Pas grain (0),827454
tasses de coco,1,non,Pas grain (0),827454
tasses de coraux garnies d'argent,1,non,Pas grain (0),827454
tasses de faïence,2,non,Pas grain (0),827454
tasses de terre blanche,1,non,Pas grain (0),827454
tasses de vermillon,4,non,Pas grain (0),827454
tatie,1,non,Pas grain (0),827454
taulier pour canon,1,non,Pas grain (0),827454
taupine,3,non,Pas grain (0),827454
taupine de coton et de soie,2,non,Pas grain (0),827454
taureaux,68,non,Pas grain (0),827454
taureaux et vache,6,non,Pas grain (0),827454
tavelle,33,non,Pas grain (0),827454
tavelle de fil et de laine,1,non,Pas grain (0),827454
tavelle de laine,1,non,Pas grain (0),827454
tayolles,74,non,Pas grain (0),827454
tayolles de ???,1,non,Pas grain (0),827454
tayolles de coton,10,non,Pas grain (0),827454
tayolles de coton et de fil,1,non,Pas grain (0),827454
tayolles de coton et de soie,1,non,Pas grain (0),827454
tayolles de fil,1,non,Pas grain (0),827454
tayolles de laine,12,non,Pas grain (0),827454
tayolles de soie,7,non,Pas grain (0),827454
tegers de cuivre,0,non,Pas grain (0),827454
teinture,289,non,Pas grain (0),827454
teinture cerise,2,non,Pas grain (0),827454
teinture commune,1,non,Pas grain (0),827454
teinture d'herbes,1,non,Pas grain (0),827454
teinture jaune,1,non,Pas grain (0),827454
teinture pour les filets,1,non,Pas grain (0),827454
teinture préparée,1,non,Pas grain (0),827454
tejenes de cuivre,1,non,Pas grain (0),827454
télescope,9,non,Pas grain (0),827454
télescope de bois uni,1,non,Pas grain (0),827454
télescope de cuivre poli,1,non,Pas grain (0),827454
temparille,2,non,Pas grain (0),827454
tenaille,3,non,Pas grain (0),827454
tenaille de fer,2,non,Pas grain (0),827454
tenaille grossière,2,non,Pas grain (0),827454
tendeurs pour voile,4,non,Pas grain (0),827454
tenelle d'espars,1,non,Pas grain (0),827454
tenevie,1,non,Pas grain (0),827454
tentes,6,non,Pas grain (0),827454
tentes canonnières,1,non,Pas grain (0),827454
tentes d'officiers vieilles,1,non,,13751
tentes et voile,58,non,Pas grain (0),827454
tentes et voile en rolles ou pièces,6,non,Pas grain (0),827454
tepaye des Indes,1,non,Pas grain (0),827454
tepays,12,non,Pas grain (0),827454
terc,4,non,Pas grain (0),827454
térébenthine,1277,non,Pas grain (0),827454
térébenthine brune,1,non,,13751
térébenthine commune,2,non,Pas grain (0),827454
térébenthine compacte,45,non,Pas grain (0),827454
térébenthine d' ???,1,oui,Pas grain (0),827454
térébenthine de bergamote,1,non,Pas grain (0),827454
térébenthine de Venise,6,non,Pas grain (0),827454
térébenthine en essence et en huile et en pâte,19,non,Pas grain (0),827454
térébenthine en pâte,20,non,Pas grain (0),827454
térébenthine essence,50,non,Pas grain (0),827454
térébenthine grosse,1,non,Pas grain (0),827454
térébenthine liquide,44,non,Pas grain (0),827454
terendine,5,non,Pas grain (0),827454
terixe,1,non,Pas grain (0),827454
ternilles,1,non,Pas grain (0),827454
terra merita,2,non,Pas grain (0),827454
terraille,519,non,Pas grain (0),827454
terraille blanche,22,non,Pas grain (0),827454
terraille commune,62,non,Pas grain (0),827454
terraille de brin ???,1,non,Pas grain (0),827454
terraille de Gênes,4,non,Pas grain (0),827454
terraille de Gênes noire,2,non,Pas grain (0),827454
terraille de grès,18,non,Pas grain (0),827454
terraille de terre,4,non,Pas grain (0),827454
terraille étrangère,2,non,,13751
terraille grise,1,non,Pas grain (0),827454
terraille grosse,2,oui,Pas grain (0),827454
terraille grossière,5,non,Pas grain (0),827454
terraille minime,1,non,Pas grain (0),827454
terraille noire,14,non,Pas grain (0),827454
terraillon de grès,1,non,Pas grain (0),827454
terraque,1,oui,Pas grain (0),827454
terrasse,1,non,Pas grain (0),827454
terre,81,non,Pas grain (0),827454
terre ?,4,non,Pas grain (0),827454
terre à bâtir,9,non,Pas grain (0),827454
terre à brûler,1,non,Pas grain (0),827454
terre à ciment,20,non,Pas grain (0),827454
terre à cimenter,2,non,Pas grain (0),827454
terre à faïence,24,non,Pas grain (0),827454
terre à faïence commune,1,non,Pas grain (0),827454
terre à fouler,72,non,Pas grain (0),827454
terre à fouler et à potier,16,non,Pas grain (0),827454
terre à foulon,49,non,Pas grain (0),827454
terre à nettoyer,2,non,Pas grain (0),827454
terre à piment,1,non,Pas grain (0),827454
terre à pipes,94,non,Pas grain (0),827454
terre à porcelaine,5,non,Pas grain (0),827454
terre à poterie,1,non,Pas grain (0),827454
terre à potier,180,non,Pas grain (0),827454
terre à pots à sucre,1,non,Pas grain (0),827454
terre à raffiner le sucre,71,non,Pas grain (0),827454
terre à teindre,1,non,Pas grain (0),827454
terre blanche,12,non,Pas grain (0),827454
terre ciselée,2,non,Pas grain (0),827454
terre commune,3,non,Pas grain (0),827454
terre d'émeri,3,non,Pas grain (0),827454
terre d'ombre,218,non,Pas grain (0),827454
terre d'ombre de Cologne et de rocou,46,non,Pas grain (0),827454
terre d'ombre et terre pour la peintures,4,non,Pas grain (0),827454
terre d'orfèvre,4,non,Pas grain (0),827454
terre de Bologne,1,non,Pas grain (0),827454
terre de Boulogne,1,non,Pas grain (0),827454
terre de broue,16,non,Pas grain (0),827454
terre de ciment,8,non,Pas grain (0),827454
terre de Cologne,42,non,Pas grain (0),827454
terre de corail,2,non,Pas grain (0),827454
terre de creusets,2,non,Pas grain (0),827454
terre de cristal,1,non,Pas grain (0),827454
terre de foulon,4,non,Pas grain (0),827454
terre de graide,1,non,Pas grain (0),827454
terre de grès,10,non,Pas grain (0),827454
terre de Hongrie,1,non,Pas grain (0),827454
terre de marne,7,non,Pas grain (0),827454
terre de marne et argile,7,non,Pas grain (0),827454
terre de marne et engrais,17,non,Pas grain (0),827454
terre de mine,3,non,Pas grain (0),827454
terre de monnaie,1,non,Pas grain (0),827454
terre de mulardeau,4,non,Pas grain (0),827454
terre de myrthe,1,non,Pas grain (0),827454
terre de pipes,28,non,Pas grain (0),827454
terre de plomb,31,non,Pas grain (0),827454
terre de poil,1,non,Pas grain (0),827454
terre de porcelaine,186,non,Pas grain (0),827454
terre de pouzzolane,2,non,Pas grain (0),827454
terre de rocou,5,non,Pas grain (0),827454
terre de Rome,4,non,Pas grain (0),827454
terre de Rouen,4,non,Pas grain (0),827454
terre de satine,2,non,Pas grain (0),827454
terre de Vérone,7,non,Pas grain (0),827454
terre de Vérone verte,1,non,Pas grain (0),827454
terre de verrerie,3,non,Pas grain (0),827454
terre dite souda,88,non,Pas grain (0),827454
terre du Faubourg Saint-Antoine,1,non,Pas grain (0),827454
terre du Limousin,2,non,Pas grain (0),827454
terre glaise,8,non,Pas grain (0),827454
terre grasse,40,non,Pas grain (0),827454
terre houille,187,non,Pas grain (0),827454
terre jaune,35,non,Pas grain (0),827454
terre maganaise,3,non,Pas grain (0),827454
terre maganaize,1,non,Pas grain (0),827454
terre manganèse,14,non,Pas grain (0),827454
terre noire,1,non,Pas grain (0),827454
terre orianne ???,1,non,Pas grain (0),827454
terre pour le goudron,1,non,Pas grain (0),827454
terre pour pipes et à potier,49,non,Pas grain (0),827454
terre pour teinture,1,non,Pas grain (0),827454
terre pour verrerie,7,non,Pas grain (0),827454
terre pourrie,3,non,Pas grain (0),827454
terre pouzzolane,12,non,Pas grain (0),827454
terre rouge,37,non,Pas grain (0),827454
terre sigillée,21,non,Pas grain (0),827454
terre silvestre,1,non,Pas grain (0),827454
terre vernie,1,non,Pas grain (0),827454
terre verte,24,non,Pas grain (0),827454
terrementil,0,non,Pas grain (0),827454
terrerie,22,non,Pas grain (0),827454
terrerie blanche,1,non,Pas grain (0),827454
terrerie de grès,2,non,Pas grain (0),827454
terrier de fer,2,non,Pas grain (0),827454
terrine,1,non,Pas grain (0),827454
terrine de grès,1,non,Pas grain (0),827454
têtes à perruques,6,non,Pas grain (0),827454
têtes brodées et de basin,1,non,Pas grain (0),827454
têtes de cabillaud,1,non,Pas grain (0),827454
têtes de carabé,1,non,Pas grain (0),827454
têtes de choux,3,non,Pas grain (0),827454
têtes de clou de girofle,2,non,Pas grain (0),827454
têtes de clous,2,non,Pas grain (0),827454
têtes de cuir,1,non,Pas grain (0),827454
têtes de cuir et en poil,20,non,Pas grain (0),827454
têtes de cuivre en poêle,1,non,Pas grain (0),827454
têtes de girofle,8,non,Pas grain (0),827454
têtes de morue,5,non,Pas grain (0),827454
têtes de morue des Indes,1,non,Pas grain (0),827454
têtes de pavot,1,non,Pas grain (0),827454
têtes de pipe,1,non,,13751
thé,2124,non,Pas grain (0),827454
thé ???,2,non,Pas grain (0),827454
the bou,1,non,Pas grain (0),827454
thé bou,71,non,Pas grain (0),827454
thé cambou,15,non,Pas grain (0),827454
thé congo,1,non,,13751
thé de mauvaise qualité,1,non,,13751
thé des entrepôts,0,non,Pas grain (0),827454
thé des Indes,14,non,Pas grain (0),827454
thé en fleurs blanc,1,non,Pas grain (0),827454
thé et porcelaine,1,non,Pas grain (0),827454
thé étranger,1,non,Pas grain (0),827454
thé étranger par Strasbourg,1,non,Pas grain (0),827454
thé filé,1,non,Pas grain (0),827454
thé fin,3,non,,13751
thé haysswen,2,non,Pas grain (0),827454
thé impérial,16,non,Pas grain (0),827454
thé ordinaire,1,non,Pas grain (0),827454
thé par Dunkerque,1,non,Pas grain (0),827454
thé par Pontarlier et Saint-Louis,1,non,Pas grain (0),827454
thé pays,1,non,Pas grain (0),827454
thé pékan,7,non,Pas grain (0),827454
thé roux,6,non,Pas grain (0),827454
thé saotchaon,2,non,Pas grain (0),827454
thé saoul,4,non,Pas grain (0),827454
thé souchon,7,non,Pas grain (0),827454
thé tonkay,0,non,Pas grain (0),827454
thé vert,53,non,Pas grain (0),827454
thé vert commun,2,oui,Pas grain (0),827454
thé vert foncé,1,non,,13751
thé vert saoul,9,non,Pas grain (0),827454
théières,3,non,Pas grain (0),827454
théières d'étain,11,non,Pas grain (0),827454
théières de cuivre,5,non,Pas grain (0),827454
théières de fer-blanc,1,non,Pas grain (0),827454
théières de métal,2,non,Pas grain (0),827454
théières de terre noire,1,non,Pas grain (0),827454
theloc,1,non,Pas grain (0),827454
thénique,1,non,,13751
thepays,6,non,Pas grain (0),827454
thériaque,214,non,Pas grain (0),827454
thériaque de Venise,1,non,Pas grain (0),827454
thermomètre,2,non,Pas grain (0),827454
thon,12,non,Pas grain (0),827454
thon à l'huile,3,non,Pas grain (0),827454
thon frais,56,non,Pas grain (0),827454
thon mariné,481,non,Pas grain (0),827454
thon mariné au vinaigre,2,non,Pas grain (0),827454
thon mariné de retour de la foire de Beaucaire,1,non,,13751
thon mariné et salé,9,non,Pas grain (0),827454
thon salé,126,non,Pas grain (0),827454
thon salé et mariné,2,non,,13751
thon sec,1,non,Pas grain (0),827454
thon thonine,24,non,Pas grain (0),827454
thonine,71,non,Pas grain (0),827454
thonine salée,1,non,Pas grain (0),827454
tierçon en jarre,1,non,Pas grain (0),827454
tierçons de bois,2,non,Pas grain (0),827454
tierçons en bottes,1,non,Pas grain (0),827454
tierçons vides,1,non,,13751
tiers à tonneau,1,non,Pas grain (0),827454
tiges de bottes,1,non,Pas grain (0),827454
tigois,1,non,Pas grain (0),827454
tilles à tonnelier,1,non,Pas grain (0),827454
tilleul,3,non,Pas grain (0),827454
timbres,1,non,Pas grain (0),827454
timon,1,non,Pas grain (0),827454
tin canarie,1,non,Pas grain (0),827454
tinettes,2,non,Pas grain (0),827454
tires-bouchons d'acier,1,non,Pas grain (0),827454
tiretaine,14,non,Pas grain (0),827454
tiretaine de laine,2,non,Pas grain (0),827454
tiretaine et miselaine,90,non,Pas grain (0),827454
tiretaine grosse de fil,1,non,,13751
tissus de laine,3,non,Pas grain (0),827454
tissus de poils,3,non,Pas grain (0),827454
tobines,1,non,Pas grain (0),827454
tobines de Hollande,1,non,Pas grain (0),827454
toile,1049,non,Pas grain (0),827454
toile ???,21,non,Pas grain (0),827454
toile ...,0,non,Pas grain (0),827454
toile ..ya,0,non,,13751
toile 3/4,1,non,Pas grain (0),827454
toile a ???,1,non,Pas grain (0),827454
toile à 4 fils,5,non,Pas grain (0),827454
toile à bas,8,non,Pas grain (0),827454
toile à bas prix blanche de lin,5,non,Pas grain (0),827454
toile à bas prix blanche et de coton,6,non,Pas grain (0),827454
toile à bas prix de chanvre,3,non,Pas grain (0),827454
toile à bas prix de coton et imprimée,11,non,Pas grain (0),827454
toile à bâts,14,non,Pas grain (0),827454
toile à bluteaux,2,non,Pas grain (0),827454
toile à bouquets de laine de coton,2,non,Pas grain (0),827454
toile à camis ???,1,non,Pas grain (0),827454
toile à carreaux,262,non,Pas grain (0),827454
toile à carreaux de fil et de laine,1,non,Pas grain (0),827454
toile à carreaux de Rouen,2,non,Pas grain (0),827454
toile à carreaux et à matelas,4,non,Pas grain (0),827454
toile à carreaux et de coton,5,non,Pas grain (0),827454
toile à carreaux et de coutil,56,non,Pas grain (0),827454
toile à carreaux et de lin,11,non,Pas grain (0),827454
toile à carreaux fine et de lin,1,non,Pas grain (0),827454
toile à carreaux grosse et de Lille,1,non,Pas grain (0),827454
toile à carreaux pièces de 50 aunes,1,non,Pas grain (0),827454
toile à carreaux pour matelas,8,non,Pas grain (0),827454
toile à cottray,1,non,Pas grain (0),827454
toile à doubler,1,non,Pas grain (0),827454
toile à drap,1,non,Pas grain (0),827454
toile à faire drap de lin,1,non,Pas grain (0),827454
toile à fleurs,4,non,Pas grain (0),827454
toile à halle,1,non,Pas grain (0),827454
toile à image,1,non,Pas grain (0),827454
toile à matelas,74,non,Pas grain (0),827454
toile à matelas et à carreaux,3,non,Pas grain (0),827454
toile à matelot,5,non,Pas grain (0),827454
toile à napon ???,1,non,Pas grain (0),827454
toile à nappes,7,non,Pas grain (0),827454
toile à nappes et serviettes,3,non,Pas grain (0),827454
toile à nègre,6,non,Pas grain (0),827454
toile à paillasse,3,non,Pas grain (0),827454
toile à pavillon,4,non,Pas grain (0),827454
toile à peindre,21,non,Pas grain (0),827454
toile à robes,2,non,Pas grain (0),827454
toile à sacquette dite talette,4,non,Pas grain (0),827454
toile à sacs,13,non,Pas grain (0),827454
toile à serpillère,10,oui,Pas grain (0),827454
toile à serviettes,66,non,Pas grain (0),827454
toile à sorties,1,non,Pas grain (0),827454
toile à tamis,117,non,Pas grain (0),827454
toile à tapisser,3,non,Pas grain (0),827454
toile à voile,1561,non,Pas grain (0),827454
toile à voile commune,1,non,,13751
toile à voile de 24 aunes,1,non,Pas grain (0),827454
toile à voile de fil,1,non,,13751
toile abas,1,non,Pas grain (0),827454
toile abat,32,non,Pas grain (0),827454
toile ajamis,13,non,Pas grain (0),827454
toile alanea,1,non,Pas grain (0),827454
toile aman,5,oui,,13751
toile amant,3,oui,Pas grain (0),827454
toile anascotes,2,non,Pas grain (0),827454
toile anglaise,1,non,Pas grain (0),827454
toile anglaise des prises,1,non,Pas grain (0),827454
toile Antioche,6,non,Pas grain (0),827454
toile apprêtée de chanvre et de lin écrue de 13 à 20 fils,2,non,Pas grain (0),827454
toile apprêtée de chanvre et de lin écrue de 20 fils et au-dessus,2,non,Pas grain (0),827454
toile apprêtée de chanvre et de lin écrue de 8 à 13 fils,2,non,Pas grain (0),827454
toile apprêtée de chanvre et de lin écrue de moins de 8 fils,2,non,Pas grain (0),827454
