simplification,nbr_occurences_simpl,obsolete,grains,nbr_occurences_grains
anguilles marinées,1,non,Pas grain (0),827454
anguilles salées,23,non,Pas grain (0),827454
anille,1,non,Pas grain (0),827454
animaux,5,non,Pas grain (0),827454
anis,589,non,Pas grain (0),827454
anis et rac et rhum etc.,101,non,Pas grain (0),827454
anis et sucre,1,non,Pas grain (0),827454
anis vert,97,non,Pas grain (0),827454
anis vert à distiller,2,non,Pas grain (0),827454
anisette,113,non,Pas grain (0),827454
anisette au fiasque,6,non,Pas grain (0),827454
anisette de Bordeaux,2,non,Pas grain (0),827454
anneau de cuivre,1,non,Pas grain (0),827454
anneau de fer,2,non,Pas grain (0),827454
anneaux de cuivre,1,non,Pas grain (0),827454
anneaux de fer,1,non,Pas grain (0),827454
ânon,2,non,Pas grain (0),827454
anspects,118,non,Pas grain (0),827454
anspects de 3 à 4 pieds,1,non,Pas grain (0),827454
anspects de bois,21,non,Pas grain (0),827454
anspects de sapin,1,non,Pas grain (0),827454
antale,3,non,Pas grain (0),827454
antale et cauris,1,non,Pas grain (0),827454
antenelle,1,non,Pas grain (0),827454
antennes,2,non,Pas grain (0),827454
antennes et mâts de bateaux,1,non,Pas grain (0),827454
antimoine,288,non,Pas grain (0),827454
antimoine cru,28,non,Pas grain (0),827454
antimoine métallique et sulfuré,2,non,Pas grain (0),827454
antimoine préparé,2,non,Pas grain (0),827454
antimoine vert,1,non,Pas grain (0),827454
antofle,1,non,Pas grain (0),827454
antofle de girofle,11,non,Pas grain (0),827454
apasier,1,non,Pas grain (0),827454
apier,3,non,Pas grain (0),827454
apios,7,non,Pas grain (0),827454
apparaux,1,non,Pas grain (0),827454
apparaux et bâtiments de mer,38,non,Pas grain (0),827454
apprêtée à toiler les livres,2,non,Pas grain (0),827454
apprêtée pour parchemins,2,non,Pas grain (0),827454
apprêts,0,non,Pas grain (0),827454
arachis olives fraîches,1,non,Pas grain (0),827454
arains,6,non,Pas grain (0),827454
arak,17,non,Pas grain (0),827454
arbalètes,7,non,Pas grain (0),827454
arbalètrie et cartes marines,1,non,Pas grain (0),827454
arbres,51,non,Pas grain (0),827454
arbres à fruits,2,non,Pas grain (0),827454
arbres à planter,144,non,Pas grain (0),827454
arbres à planter pommiers,1,non,,13751
arbres châtaignier,4,non,Pas grain (0),827454
arbres d' ???,1,non,Pas grain (0),827454
arbres d'auban,1,non,Pas grain (0),827454
arbres de sapin,1,non,Pas grain (0),827454
arbres et arbrisseaux,25,non,Pas grain (0),827454
arbres et arbrisseaux à fruits,134,non,Pas grain (0),827454
arbres et arbrisseaux sauvages,138,non,Pas grain (0),827454
arbres et arbustes,6,non,Pas grain (0),827454
arbres et plants,1,non,Pas grain (0),827454
arbres fruitiers,97,non,Pas grain (0),827454
arbres marronniers à planter,1,non,Pas grain (0),827454
arbres nains,1,non,Pas grain (0),827454
arbres tilleul,3,non,Pas grain (0),827454
arbrisseaux,9,non,Pas grain (0),827454
arbustes,4,non,Pas grain (0),827454
arcanette,1,non,Pas grain (0),827454
arcanie,2,non,Pas grain (0),827454
arcanson,4,non,Pas grain (0),827454
arcanum duplicatum,2,non,Pas grain (0),827454
archets de violons,19,non,Pas grain (0),827454
archets et violon,1,non,Pas grain (0),827454
arçons de bas de bois,1,non,Pas grain (0),827454
arçons de bois,1,non,Pas grain (0),827454
arçons de selles,24,non,Pas grain (0),827454
arçons démontés,1,non,Pas grain (0),827454
ardoise,387,non,Pas grain (0),827454
ardoise à piler,1,non,Pas grain (0),827454
ardoise commune,215,non,Pas grain (0),827454
ardoise dite chérubin et à mortier,63,non,Pas grain (0),827454
ardoise dite grande voisine,2,non,Pas grain (0),827454
ardoise dite moyenne voisine,3,non,Pas grain (0),827454
ardoise dite petite voisine,2,non,Pas grain (0),827454
ardoise dite voisine grande moyenne et petite,7,non,Pas grain (0),827454
ardoise en carreaux,2,non,Pas grain (0),827454
ardoise en carreaux et d'1 pied carré,1,non,Pas grain (0),827454
ardoise en carreaux ou en table,7,non,Pas grain (0),827454
ardoise en livret,7,non,Pas grain (0),827454
ardoise encadrée,2,non,Pas grain (0),827454
ardoise encadrée et en livret,71,non,Pas grain (0),827454
ardoise non travaillée,8,non,Pas grain (0),827454
ardoise pour fenêtre,6,non,Pas grain (0),827454
ardoise pour toiture,8,non,Pas grain (0),827454
ardoise pour toiture au kilogramme,1,non,Pas grain (0),827454
ardoise pour toiture au nombre,2,non,Pas grain (0),827454
ardoise verte,1,non,Pas grain (0),827454
ardoises,3,non,Pas grain (0),827454
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,non,Pas grain (0),827454
arelles de baleine,1,non,Pas grain (0),827454
argent,12,non,Pas grain (0),827454
argent battu,1,non,Pas grain (0),827454
argent battu et en feuille,2,non,Pas grain (0),827454
argent battu filé laminé et tiré,3,non,Pas grain (0),827454
argent brisé et en lingots et en masses,1,non,Pas grain (0),827454
argent brûlé,8,non,Pas grain (0),827454
argent brut,1,non,Pas grain (0),827454
argent brut en lingot et en masse ouvrages détruits,2,non,Pas grain (0),827454
argent carragoux,2,non,Pas grain (0),827454
argent en barils,2,non,Pas grain (0),827454
argent en barres,17,non,Pas grain (0),827454
argent en lingots,27,non,Pas grain (0),827454
argent en lingots par Calais,1,non,Pas grain (0),827454
argent et or,237,non,Pas grain (0),827454
argent et or billon,8,non,Pas grain (0),827454
argent et or et bijouterie,1,non,,13751
argent faux,9,non,Pas grain (0),827454
argent faux en fil cantilles etc.,3,non,Pas grain (0),827454
argent faux et or faux,54,non,Pas grain (0),827454
argent faux et or faux traits,5,non,Pas grain (0),827454
argent fin,1,non,Pas grain (0),827454
argent monnayé et nogat d'or,4,non,Pas grain (0),827454
argent vif,3,non,Pas grain (0),827454
argenterie,736,non,Pas grain (0),827454
argenterie épée,7,non,Pas grain (0),827454
argenterie et bijouterie,21,non,Pas grain (0),827454
argenterie et bijouterie et orfèvrerie,1,non,Pas grain (0),827454
argenterie et orfèvrerie,122,non,Pas grain (0),827454
argenterie et orfèvrerie vermeil,37,non,Pas grain (0),827454
argenterie neuve,4,non,Pas grain (0),827454
argenterie vieille,11,non,Pas grain (0),827454
argenterie vieille en couverts,1,non,,13751
argenterie vieille et bijouterie d'argent,2,non,,13751
argile et terre pour engrais,15,non,Pas grain (0),827454
arins,1,non,Pas grain (0),827454
aristoloche,74,non,Pas grain (0),827454
armement de tables,3,non,Pas grain (0),827454
armes,349,non,Pas grain (0),827454
armes à feu,352,non,Pas grain (0),827454
armes à feu de guerre,2,non,Pas grain (0),827454
armes à feu de guerre et de traite,1,non,Pas grain (0),827454
armes à feu de guerre portatives,2,non,Pas grain (0),827454
armes à feu de luxe,4,non,Pas grain (0),827454
armes à feu de luxe ou de traite,3,non,Pas grain (0),827454
armes à feu de munitions,2,non,Pas grain (0),827454
armes à feu de munitions fines,4,non,Pas grain (0),827454
armes à feu de traite,1,non,Pas grain (0),827454
armes à feu et artillerie,1,non,Pas grain (0),827454
armes à feu et de traite,1,non,Pas grain (0),827454
armes à feu et fusils,1,non,Pas grain (0),827454
armes armureries,1,non,Pas grain (0),827454
armes autres que de guerre à feu,1,non,Pas grain (0),827454
armes autres que de guerre blanches,1,non,Pas grain (0),827454
armes blanches,190,non,Pas grain (0),827454
armes blanches à feu et artillerie,5,oui,,13751
armes blanches de guerre,1,non,Pas grain (0),827454
armes blanches de guerre et de traite,1,non,Pas grain (0),827454
armes blanches de luxe,2,non,Pas grain (0),827454
armes blanches de luxe ou de traite,3,non,Pas grain (0),827454
armes blanches de traite,1,non,Pas grain (0),827454
armes de chasse ou de luxe à feu,2,non,Pas grain (0),827454
armes de chasse ou de luxe blanches,2,non,Pas grain (0),827454
armes de guerre,2,non,Pas grain (0),827454
armes différentes,1,non,Pas grain (0),827454
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,non,Pas grain (0),827454
armes et munitions,9,non,Pas grain (0),827454
armes lames,1,non,Pas grain (0),827454
armes remontrances,3,non,Pas grain (0),827454
armoires,57,non,Pas grain (0),827454
armoires ayant servi,1,non,Pas grain (0),827454
armoires d'acajou,12,non,Pas grain (0),827454
armoires de bois,2,non,Pas grain (0),827454
armoires de bois de noyer,1,non,Pas grain (0),827454
armoires de bois de sapin peintes,0,non,Pas grain (0),827454
armoires de bois des Indes,1,non,Pas grain (0),827454
armoires de chêne,9,non,Pas grain (0),827454
armoires de chêne ornée,1,non,Pas grain (0),827454
armoires de noyer,12,non,Pas grain (0),827454
armoires de sapin,4,non,Pas grain (0),827454
armoires et commodes,1,non,Pas grain (0),827454
armoires vieilles,2,non,Pas grain (0),827454
armoisin,47,non,Pas grain (0),827454
armure de fer,1,non,Pas grain (0),827454
armure vieille,1,non,Pas grain (0),827454
arnas,1,non,Pas grain (0),827454
arquebuse,1,non,Pas grain (0),827454
arrangas,1,non,Pas grain (0),827454
arrosoirs,7,non,Pas grain (0),827454
arrosoirs de bois,2,non,Pas grain (0),827454
arrosoirs de cuivre,1,non,Pas grain (0),827454
arrosoirs de fer,1,non,Pas grain (0),827454
arrosoirs de fer-blanc,6,non,Pas grain (0),827454
arrosoirs de sapin,1,non,Pas grain (0),827454
arrosoirs de terre,1,non,Pas grain (0),827454
arrowroot,1,non,Pas grain (0),827454
arséniate de potasse,2,non,Pas grain (0),827454
arsenic,487,non,Pas grain (0),827454
arsenic métallique,6,non,Pas grain (0),827454
artichauts,84,non,Pas grain (0),827454
artichauts champignons et truffes,2,non,Pas grain (0),827454
artichauts confits,70,non,Pas grain (0),827454
