marchandises_simplification,grains,obsolete
baigots,Pas grain (0),non
baillarge,Céréales inférieures (2),non
bailles,Pas grain (0),non
baïonnettes,,non
bajutapau,Pas grain (0),non
bajutapau commun,Pas grain (0),non
bajutapau des Indes,Pas grain (0),non
bakeliau et stockfis,Pas grain (0),oui
balais,Pas grain (0),non
balais communs,,non
balais coupés,Pas grain (0),non
balais de bois,Pas grain (0),non
balais de brandes,Pas grain (0),non
balais de bruyère,Pas grain (0),non
balais de chanvre,Pas grain (0),non
balais de crin,Pas grain (0),non
balais de foyer,Pas grain (0),non
balais de jonc,Pas grain (0),non
balais de jonc petits,Pas grain (0),non
balais de laine à laver les planchers,Pas grain (0),non
balais de millet,,non
balais de paille,Pas grain (0),non
balais de paille de riz,Pas grain (0),non
balais de palme,Pas grain (0),non
balais de palme petits,,non
balais de plumes,Pas grain (0),non
balais de poil,Pas grain (0),non
balais de riz,Pas grain (0),non
balais de soie,Pas grain (0),non
balais de soie de porc,Pas grain (0),non
balais de toile,Pas grain (0),non
balais du roi,Pas grain (0),non
balais fins,Pas grain (0),non
balais grands de palme,,non
balais ou ramons,Pas grain (0),non
balais petits,Pas grain (0),non
balance,Pas grain (0),non
balance à la romaine,Pas grain (0),non
balance de bois,Pas grain (0),non
balance de cuivre,Pas grain (0),non
balance de cuivre jaune,,non
balance de fer,Pas grain (0),non
balance et romaine,Pas grain (0),non
balance et ses poids,Pas grain (0),non
balance ou fléaux en fer,Pas grain (0),non
balance petite,Pas grain (0),non
balance romaine,Pas grain (0),non
balauste,Pas grain (0),non
balcon de fer,Pas grain (0),non
baleine,Pas grain (0),non
baleine apprêtée,Pas grain (0),non
baleine coupée,Pas grain (0),non
baleine coupée en fanon,Pas grain (0),non
baleine coupée et en fanon,Pas grain (0),non
baleine de sarde,Pas grain (0),non
baleine en fanon,Pas grain (0),non
baleine non sciée,Pas grain (0),non
balles,Pas grain (0),non
balles à jouer,Pas grain (0),non
balles d'osier,Pas grain (0),non
balles de fer et canons de fer,Pas grain (0),non
balles de fer uni,Pas grain (0),non
balles de plomb,Pas grain (0),non
balles et dragées de plomb,Pas grain (0),non
balles vides,Pas grain (0),non
balustres,,non
bambous,Pas grain (0),non
banastron,,non
banc à couper la paille,Pas grain (0),non
banc de sapin,Pas grain (0),non
bandages,Pas grain (0),non
bandages de peaux,Pas grain (0),non
bandages pour soldats,,non
bandanas des Indes,Pas grain (0),non
bandanas et mousselines et Nankin de soieries des Indes,Pas grain (0),oui
bandeaux,Pas grain (0),non
banderoles,Pas grain (0),non
banderoles de cuir,Pas grain (0),non
bandes de cabrouets de fer,Pas grain (0),non
bandes de fer,Pas grain (0),non
bandes de fer à tombereaux,Pas grain (0),non
