marchandises_simplification,grains,obsolete
petit salé et porc salé,Pas grain (0),non
petit son,,non
petite ratine,,non
petite Venise,Pas grain (0),non
petites pièces de pin,,non
petits chênes dits chêneaux,Pas grain (0),non
pétrification,Pas grain (0),non
pétrole,,non
petum,Pas grain (0),non
peury,Pas grain (0),non
pevine,Pas grain (0),non
phaéton,Pas grain (0),non
phaëton,Pas grain (0),non
phiass,Pas grain (0),non
philas,Pas grain (0),non
philipichine,Pas grain (0),non
philipichine de poil,Pas grain (0),non
phillipichine,Pas grain (0),non
photade,Pas grain (0),non
photas,Pas grain (0),non
photas des Indes,Pas grain (0),non
piano,Pas grain (0),non
piano forte,Pas grain (0),non
piastres,Pas grain (0),non
piastres d'Espagne,Pas grain (0),non
piastres du grand seigneur,Pas grain (0),non
piastres et talaris,Pas grain (0),non
piastres et talaris par La Cure et Strasbourg,Pas grain (0),non
piastres et talaris par Marseille,Pas grain (0),non
piastres et talaris par Strasbourg,Pas grain (0),non
piastres fortes,Pas grain (0),non
piastres gourdes,Pas grain (0),non
piastres par le Havre,Pas grain (0),non
piastres par le Pont de Beauvoisin,Pas grain (0),non
picotte,Pas grain (0),non
picotte de laine,Pas grain (0),non
picotte de soie,Pas grain (0),non
pièces à eau,Pas grain (0),non
pièces couvertures de laine,,non
pièces d'argent et d'or d'Espagne,Pas grain (0),non
pièces d'or d'Espagne,Pas grain (0),non
pied d'huile,Pas grain (0),non
pied d'huile de poisson,Pas grain (0),non
piedmento,Pas grain (0),non
pieds d'élan,Pas grain (0),non
pieds de bœuf,Pas grain (0),non
pieds de bœuf et sang de bétail,,non
pieds de gite de bois scié,Pas grain (0),non
pieds de vide,Pas grain (0),non
pieds doré,Pas grain (0),non
pieds et têtes,Pas grain (0),non
pienne de fil,Pas grain (0),non
pierre à plâtre ou plâtre brut,,non
pierre d'ailx,,non
pierre d'algazon,,non
pierre de molasse,,non
pierrerie,Pas grain (0),non
pierrerie fausse,,non
pierrerie fausse et fine,Pas grain (0),non
pierres,Pas grain (0),non
pierres ???,,non
pierres à,Pas grain (0),non
pierres à affiler de 1 à 2 1/2 pieds,Pas grain (0),non
pierres à affiler de 3 à 4 pieds,Pas grain (0),non
pierres à affiler de 5 à 6 pieds,Pas grain (0),non
pierres à affiler milanaises ou fiquets,Pas grain (0),non
pierres à aiguiser,Pas grain (0),non
pierres à aiguiser et en meules et à taillandier,Pas grain (0),non
pierres à aiguiser et tendres,Pas grain (0),non
pierres à aiguiser milanaise ou fiquets,Pas grain (0),non
pierres à aiguiser ou fiquets,Pas grain (0),non
pierres à bâtir,Pas grain (0),non
pierres à bâtir brutes,Pas grain (0),non
pierres à bâtir chaux et plâtre,Pas grain (0),non
pierres à bâtir communes,Pas grain (0),non
pierres à bâtir communes de 3 à 7 pieds,Pas grain (0),non
pierres à bâtir dites tuffeaux,Pas grain (0),non
pierres à bâtir et à paver,Pas grain (0),non
pierres à broyer couleurs,Pas grain (0),non
pierres à broyer couleurs et moudre tabac,Pas grain (0),non
pierres à broyer couleurs et tabac,Pas grain (0),non
pierres à broyer le cacao,Pas grain (0),non
pierres à calfeutrer,Pas grain (0),non
pierres à chaux,Pas grain (0),non
pierres à diguer,Pas grain (0),non
pierres à distiller d'eau,Pas grain (0),non
pierres à éviers,Pas grain (0),non
pierres à faire chaux,Pas grain (0),non
pierres à faux,Pas grain (0),non
pierres à faux et à polir,Pas grain (0),non
pierres à feu,Pas grain (0),non
pierres à feu autres qu'agates,,non
pierres à filtrer,Pas grain (0),non
pierres à filtrer l'eau,Pas grain (0),non
pierres à fouler le blé,,non
pierres à four,Pas grain (0),non
pierres à foyer,Pas grain (0),non
pierres à fusils,Pas grain (0),non
pierres à fusils et autres,Pas grain (0),non
pierres à huile,Pas grain (0),non
pierres à manganèse,Pas grain (0),non
pierres à meubles,Pas grain (0),non
pierres à meuler,Pas grain (0),non
pierres à meules,Pas grain (0),non
pierres à mordre,Pas grain (0),non
pierres à mordre moutarde de 1 1/2 à 3 pieds,Pas grain (0),non
pierres à mordre tabac,Pas grain (0),non
pierres à moules,Pas grain (0),non
pierres à moutarde travaillées,Pas grain (0),non
pierres à paver,Pas grain (0),non
pierres à paver d'1 pied carré,Pas grain (0),non
pierres à paver d'en dessus d'1 pied carré,Pas grain (0),non
pierres à paver de 12 à 13 pouces,Pas grain (0),non
pierres à paver de 3 à 9 pouces,Pas grain (0),non
pierres à paver de 9 pouces,Pas grain (0),non
pierres à paver non polies,Pas grain (0),non
pierres à paver polies,Pas grain (0),non
pierres à plaque,,non
pierres à plâtre ou plâtre brut,,non
pierres à polir,Pas grain (0),non
pierres à polir et ponce,Pas grain (0),non
pierres à rasoir,Pas grain (0),non
pierres à repasser,Pas grain (0),non
pierres à taillandier,Pas grain (0),non
pierres à tombe,Pas grain (0),non
pierres affiloires,,non
pierres antiques,Pas grain (0),non
pierres bant et de jais,Pas grain (0),non
pierres blanches,Pas grain (0),non
pierres blanches à bâtir,Pas grain (0),non
pierres blanches à carreler,Pas grain (0),non
pierres blanches en longues pièces à paver,Pas grain (0),non
pierres bleues,Pas grain (0),non
pierres bleues brûlées,Pas grain (0),non
pierres bleues en blocs,Pas grain (0),non
pierres bleues en carreaux,Pas grain (0),non
pierres bleues travaillées,Pas grain (0),non
pierres calamines,Pas grain (0),non
pierres caprades blanches,Pas grain (0),non
pierres carrées à bâtir,,non
pierres carrées à paver,Pas grain (0),non
pierres carrées à paver de 8 à 9 pouces,Pas grain (0),non
pierres chaux et plâtre,Pas grain (0),non
pierres codes,Pas grain (0),non
pierres cornaline,Pas grain (0),non
pierres d'absinthe,Pas grain (0),non
pierres d'agate,Pas grain (0),non
pierres d'agate travaillées,Pas grain (0),non
pierres d'aimant,Pas grain (0),non
pierres d'architecture,Pas grain (0),non
pierres d'ardoise,Pas grain (0),non
pierres d'arquebuse,Pas grain (0),non
pierres d'asphalte,Pas grain (0),non
pierres d'autel,Pas grain (0),non
pierres d'écrevisses,Pas grain (0),non
pierres d'élan,Pas grain (0),non
pierres d'émeraude,,non
pierres d'émeri,Pas grain (0),non
pierres d'émeri en poudre,Pas grain (0),non
pierres d'éponges,Pas grain (0),non
pierres d'hyacinthe,Pas grain (0),non
pierres de ??? à paver,Pas grain (0),non
pierres de barriques,Pas grain (0),non
pierres de bas de meule,Pas grain (0),non
pierres de Bentem,Pas grain (0),non
pierres de Bidache,Pas grain (0),non
pierres de Bidache en carreaux,Pas grain (0),non
pierres de bleu,Pas grain (0),non
pierres de Briançon,,non
pierres de chaussée ou de grès,Pas grain (0),non
pierres de chaux,Pas grain (0),non
pierres de composition,Pas grain (0),non
pierres de coument,Pas grain (0),non
pierres de faux,,non
pierres de fer,,non
pierres de four,Pas grain (0),non
pierres de fusils,Pas grain (0),non
pierres de grès,Pas grain (0),non
pierres de grés à paver,Pas grain (0),non
pierres de grison,Pas grain (0),non
pierres de jais,Pas grain (0),non
pierres de jais brut,Pas grain (0),non
pierres de jais et ???,Pas grain (0),non
pierres de jais et ouvrées,Pas grain (0),non
pierres de jaspe,Pas grain (0),non
pierres de laine,Pas grain (0),non
pierres de Malte,Pas grain (0),non
pierres de marbre,Pas grain (0),non
pierres de marbre brut,,non
pierres de marbre ouvré,Pas grain (0),non
pierres de matte,Pas grain (0),non
pierres de meubles,Pas grain (0),non
pierres de meules,Pas grain (0),non
pierres de Milan,Pas grain (0),non
pierres de mine,Pas grain (0),non
pierres de mouches,Pas grain (0),non
pierres de Namur,Pas grain (0),non
pierres de roche,Pas grain (0),non
pierres de Saint-Cast,Pas grain (0),non
pierres de seuil,Pas grain (0),non
pierres de Suisse,Pas grain (0),non
pierres de taille,Pas grain (0),non
pierres de tombe,Pas grain (0),non
pierres de tombe de 4 à 6 pieds,Pas grain (0),non
pierres de tombe de 7 à 9 pieds,Pas grain (0),non
pierres de tombe de haute catégorie,Pas grain (0),non
pierres de tombe de moindre classe,Pas grain (0),non
pierres de touche,Pas grain (0),non
pierres de tuiles,,non
pierres de verre,Pas grain (0),non
pierres de vin,Pas grain (0),non
pierres des Indes,Pas grain (0),non
pierres éclatantes,Pas grain (0),non
pierres éclatantes et de verre,Pas grain (0),non
pierres éclatantes et fausses,Pas grain (0),non
pierres éclatantes ou de verre,Pas grain (0),non
pierres en ???,Pas grain (0),non
pierres en blocs,Pas grain (0),non
pierres en blocs et brutes,Pas grain (0),non
pierres en borne-frontière,Pas grain (0),non
pierres en carreaux,Pas grain (0),non
pierres en carreaux à mouler,Pas grain (0),non
pierres en cheminée et statue,Pas grain (0),non
pierres en cheminée et travaillées,Pas grain (0),non
pierres en cippes,Pas grain (0),non
pierres en grès taillés meules,Pas grain (0),non
pierres en longues pièces à paver,Pas grain (0),non
pierres en masses et en blocs,Pas grain (0),non
pierres en meules,Pas grain (0),non
pierres en mortier,Pas grain (0),non
pierres en pièces grandes,Pas grain (0),non
pierres en quartiers,Pas grain (0),non
pierres en quartiers à bâtir,,non
pierres et chanvre,Pas grain (0),non
pierres et grès taillé à meule,Pas grain (0),non
pierres et grès taillés meules etc.,Pas grain (0),non
pierres et meules à aiguiser,Pas grain (0),non
pierres et plâtre,Pas grain (0),non
pierres et terres à bâtir,,non
pierres et terres servant aux arts et métiers,,non
pierres façonnées d'architecte,Pas grain (0),non
pierres fausses,Pas grain (0),non
pierres fausses et fines,Pas grain (0),non
pierres fausses et montées,Pas grain (0),non
pierres fausses et pur métal,Pas grain (0),non
pierres fausses non montées,,non
pierres ferrugineuses,,non
pierres fines,Pas grain (0),non
pierres fusil,,non
pierres jaunes,,non
pierres lithographiques,,non
pierres lithographiques et autres,,non
pierres maguisses minérales pour la fabrique de Tournai,Pas grain (0),non
pierres manganèse,Pas grain (0),non
pierres marcassite,Pas grain (0),non
pierres meules,Pas grain (0),non
pierres minérales,Pas grain (0),non
pierres noires,Pas grain (0),non
pierres ponces,Pas grain (0),non
pierres pour faire sucre,Pas grain (0),non
pierres pour la bâtisse,Pas grain (0),non
pierres pour piliers,Pas grain (0),non
pierres pourries,Pas grain (0),non
pierres serpentine,Pas grain (0),non
pierres taillées,Pas grain (0),non
pierres taillées à bâtir,Pas grain (0),non
pierres taillées en auge,Pas grain (0),non
pierres tendres,Pas grain (0),non
pierres toilées,Pas grain (0),non
pierres travaillées,Pas grain (0),non
pierres travaillées en banc balcon goulots etc.,Pas grain (0),non
pierrestre,Pas grain (0),non
pierrette,Pas grain (0),non
pierreuve,Pas grain (0),non
pierrier,Pas grain (0),non
pierrier de fer,Pas grain (0),non
pierriers,Pas grain (0),non
pierriers de fer,Pas grain (0),non
pierriers de fonte,Pas grain (0),non
pigeons,Pas grain (0),non
pigeons sauvages,Pas grain (0),non
pignons,Pas grain (0),non
pignons cassés,Pas grain (0),non
pignons d'épine,Pas grain (0),non
pignons d'Inde,Pas grain (0),non
pignons de pin,,non
pigouilles,,non
pigouilles de 11 à 15,,non
piharge,Pas grain (0),non
piles de bois,Pas grain (0),non
pilotis,,non
pilules,Pas grain (0),non
pilules de Belloste,Pas grain (0),non
piment,Pas grain (0),non
piment des entrepôts,,non
piment et poivre,Pas grain (0),non
pinasse,Pas grain (0),non
pince de fer,Pas grain (0),non
pinceaux,Pas grain (0),non
pinceaux ???,Pas grain (0),non
pinceaux à blanchir,Pas grain (0),non
pinceaux à dorer,Pas grain (0),non
pinceaux à goudron,Pas grain (0),non
pinceaux à goudronner,Pas grain (0),non
pinceaux à goudronnier,Pas grain (0),oui
pinceaux à peindre,,non
pinceaux de fer,,non
pincettes de fer,Pas grain (0),non
pinche,,non
pinchinat,Pas grain (0),non
pinchinat de laine,Pas grain (0),non
pinen,Pas grain (0),non
pinques,Pas grain (0),non
pioches de fer,Pas grain (0),non
pipes,Pas grain (0),non
pipes à cordée,Pas grain (0),non
pipes à cuivre,Pas grain (0),non
pipes à fumer,Pas grain (0),non
pipes à fumer ???? pour la Hollande,Pas grain (0),non
pipes à fumer de terre,Pas grain (0),non
pipes à fumer de terre cuite,Pas grain (0),non
pipes à fumer grosses,Pas grain (0),non
pipes à tabac,Pas grain (0),non
pipes cerclées de fer,,non
pipes céréalier de fer,,non
pipes de side,Pas grain (0),non
pipes de terre,Pas grain (0),non
pipes de terre cuite,Pas grain (0),non
pipes de vide,Pas grain (0),non
pipes en bottes,Pas grain (0),non
pipes muid,Pas grain (0),non
pipes sans émail à fumer de terre,,non
pipes vides,Pas grain (0),non
pipes vieilles,Pas grain (0),non
pipes vieilles et vides,Pas grain (0),non
piphout en blocs,Pas grain (0),non
piques,Pas grain (0),non
pissuron,,non
pistache,,non
pistaches,Pas grain (0),non
pistaches cassées,,non
pistaches en coques,,non
pistaches non cassées,,non
pistaches sèches,Pas grain (0),non
pistolets,Pas grain (0),non
pistolets d'arçon,,non
pistolets de maître,Pas grain (0),non
pistolets de traite,Pas grain (0),non
pistolets démontés,Pas grain (0),non
pistolets montés,Pas grain (0),non
pistolets par paire,Pas grain (0),non
pistolets vieux,,non
pivots de fer,Pas grain (0),non
plaids,Pas grain (0),non
plaids ou châles,Pas grain (0),non
plaire,Pas grain (0),non
plaisses et solles sec et fumés,Pas grain (0),non
plan d'habitation,Pas grain (0),non
plan de rouge d'Espagne,,oui
plancards,Pas grain (0),non
planchenier,Pas grain (0),non
planches,Pas grain (0),non
planches à bâtir,,non
planches alcalines,,non
planches communes,Pas grain (0),non
planches communes de chêne et hêtre,Pas grain (0),non
planches communes de hêtre,Pas grain (0),non
planches communes de sapin,Pas grain (0),non
planches communes de sapin ou pin,Pas grain (0),non
planches communes et bois,Pas grain (0),non
planches d'acajou,Pas grain (0),non
planches d'acajou de 8 pieds,Pas grain (0),non
planches d'acajou de 9 pieds,Pas grain (0),non
planches d'arbres,Pas grain (0),non
planches d'ardoise,Pas grain (0),non
planches d'aunis,Pas grain (0),non
planches d'orme,Pas grain (0),non
planches d'orme de 80 pieds de longueur sur 3 pouces d'épaisseur,Pas grain (0),non
planches de 12 à 18 pieds,Pas grain (0),non
planches de 18 pieds,Pas grain (0),non
planches de 20 pied sur 1 pouce,Pas grain (0),non
planches de 24 à 30 pieds,Pas grain (0),non
planches de 3 pieds dites pakdragers,Pas grain (0),non
planches de 4 pieds,Pas grain (0),non
planches de 9 pieds,Pas grain (0),non
planches de bois,Pas grain (0),non
planches de bois blanc,Pas grain (0),non
planches de bois des Indes,Pas grain (0),non
planches de bois du Nord,Pas grain (0),non
planches de bois et à barils,Pas grain (0),non
planches de bois falquettes,,non
planches de bois fortes,,non
planches de bois melliaises,,non
planches de bois minces,,non
planches de bois pour bordage,,non
planches de bois pour construction,Pas grain (0),non
planches de bois vernies,Pas grain (0),non
planches de châtaignier,Pas grain (0),non
planches de chêne,Pas grain (0),non
planches de chêne 24 pieds,Pas grain (0),non
planches de chêne 26 pieds,Pas grain (0),non
planches de chêne 6 pieds,Pas grain (0),non
planches de chêne à 6,Pas grain (0),non
planches de chêne à 9,Pas grain (0),non
planches de chêne bouts,,non
planches de chêne commune,Pas grain (0),non
planches de chêne d'un pouce et en dessous,Pas grain (0),non
planches de chêne de 1 1/2 pouces,Pas grain (0),non
planches de chêne de 1 1/4 pouces,Pas grain (0),non
planches de chêne de 1/2 pouce,Pas grain (0),non
planches de chêne de 1/4 pouce,Pas grain (0),non
planches de chêne de 10 12 à 14 pieds,,non
planches de chêne de 10 à 11 pieds,Pas grain (0),non
planches de chêne de 10 à 12 pieds,Pas grain (0),non
planches de chêne de 10 pieds,Pas grain (0),non
planches de chêne de 11 pieds,Pas grain (0),non
planches de chêne de 12 pieds,Pas grain (0),non
planches de chêne de 13 pieds,Pas grain (0),non
planches de chêne de 14 pieds,Pas grain (0),non
planches de chêne de 15 à 20 pieds,Pas grain (0),non
planches de chêne de 15 pieds,Pas grain (0),non
planches de chêne de 18 pieds,Pas grain (0),non
planches de chêne de 2 pouces et en dessus,Pas grain (0),non
"planches de chêne de 2,5 pouces",Pas grain (0),non
planches de chêne de 20 pieds,Pas grain (0),non
planches de chêne de 24 pieds,Pas grain (0),non
planches de chêne de 25 pieds,Pas grain (0),non
planches de chêne de 28 pieds,Pas grain (0),non
planches de chêne de 3 pouces et en dessus,Pas grain (0),non
planches de chêne de 35 pieds,Pas grain (0),non
planches de chêne de 36 pieds,Pas grain (0),non
planches de chêne de 4 pieds,Pas grain (0),non
planches de chêne de 4 pouces,Pas grain (0),non
planches de chêne de 40 pieds,Pas grain (0),non
planches de chêne de 42 pieds,Pas grain (0),non
planches de chêne de 5 pouces,Pas grain (0),non
planches de chêne de 6 pieds,Pas grain (0),non
planches de chêne de 7 à 8 pieds,Pas grain (0),non
planches de chêne de 7 pieds,Pas grain (0),non
planches de chêne de 8 pieds,Pas grain (0),non
planches de chêne de 8 pieds et demi,Pas grain (0),non
planches de chêne de 9 à 10 pieds,Pas grain (0),non
planches de chêne de 9 à 12 pieds,Pas grain (0),non
planches de chêne de 9 pieds,Pas grain (0),non
planches de chêne et planches de sapin,Pas grain (0),non
planches de chêne pour bordage,Pas grain (0),non
planches de chênes de 20 pieds,Pas grain (0),non
planches de chênes pour bordage,Pas grain (0),non
planches de citronnier,Pas grain (0),non
planches de Copernic,Pas grain (0),non
planches de cuivre,Pas grain (0),non
planches de cuivre gravées,Pas grain (0),non
planches de cuivre jaune,Pas grain (0),non
planches de cuivre neuf,Pas grain (0),non
planches de cuivre rouge,Pas grain (0),non
planches de cyprès,Pas grain (0),non
planches de Danemark Prusse et Poméranie,Pas grain (0),non
planches de futeau,Pas grain (0),non
planches de hêtre,Pas grain (0),non
planches de jacaranda,Pas grain (0),non
planches de laiton,Pas grain (0),non
planches de laiton filé,Pas grain (0),oui
planches de lard,Pas grain (0),non
planches de liège,Pas grain (0),non
planches de Liège,,non
planches de lin,Pas grain (0),non
planches de Lorient,Pas grain (0),non
planches de merisier,Pas grain (0),non
planches de noyer,Pas grain (0),non
planches de noyer d'un pouce de 1/2,Pas grain (0),non
planches de noyer de 6 pieds,Pas grain (0),non
planches de peuplier,Pas grain (0),non
planches de pin,Pas grain (0),non
planches de piphout,Pas grain (0),non
planches de plomb,Pas grain (0),non
planches de plomb et grains de plomb,Pas grain (0),non
planches de plomb et plomb en saumon et plomb en rouleau,Pas grain (0),non
planches de plomb gravées,Pas grain (0),non
planches de poirier cerisier etc,Pas grain (0),non
planches de pont de barque,Pas grain (0),non
planches de Prusse,Pas grain (0),non
planches de Prusse 28 pieds,Pas grain (0),non
planches de Prusse communes,Pas grain (0),non
planches de Prusse de 10 à 12 pieds,,non
planches de Prusse de 10 pieds,Pas grain (0),non
planches de Prusse de 11 à 12 pieds,Pas grain (0),non
planches de Prusse de 12 pieds,Pas grain (0),non
planches de Prusse de 13 à 16 pieds,,non
planches de Prusse de 13 pieds,Pas grain (0),non
planches de Prusse de 15 pieds,Pas grain (0),non
planches de Prusse de 18 pieds,Pas grain (0),non
planches de Prusse de 20 pieds,Pas grain (0),non
planches de Prusse de 21 à 22 pieds,Pas grain (0),non
planches de Prusse de 22 pieds,Pas grain (0),non
planches de Prusse de 24 pieds,Pas grain (0),non
planches de Prusse de 25 pieds,Pas grain (0),non
planches de Prusse de 26 à 27 pieds,Pas grain (0),non
planches de Prusse de 27 à 28 pieds,Pas grain (0),non
planches de Prusse de 27 pieds,Pas grain (0),non
planches de Prusse de 28 à 30 pieds,Pas grain (0),non
planches de Prusse de 28 pieds,Pas grain (0),non
planches de Prusse de 30 pieds,Pas grain (0),non
planches de Prusse de 33 à 35 pieds,Pas grain (0),non
planches de Prusse de 33 pieds,Pas grain (0),non
planches de Prusse de 35 pieds,Pas grain (0),non
planches de Prusse de 36 pieds,Pas grain (0),non
planches de Prusse de 40 pieds,,non
planches de Prusse de 7 à 9 pieds,,non
planches de Prusse de 8 à 12 pieds,,non
planches de Prusse de 8 à 9 pieds,Pas grain (0),non
planches de Prusse de 9 à 10 pieds,,non
planches de Prusse de 9 pieds,Pas grain (0),non
planches de Prusse de différents grandeurs,,non
planches de Prusse demie,Pas grain (0),non
planches de Prusse ordinaires,Pas grain (0),non
planches de Prusse petites,Pas grain (0),non
planches de Pui,Pas grain (0),non
planches de rebut,Pas grain (0),non
planches de sapin,Pas grain (0),non
planches de sapin 1/2 planches,Pas grain (0),non
planches de sapin 10 à 11 pieds,Pas grain (0),non
planches de sapin 10 à 13 pieds,Pas grain (0),non
planches de sapin 11 à 12 pieds,Pas grain (0),non
planches de sapin 12 à 14 pieds,Pas grain (0),non
planches de sapin 12 à 15 pieds,Pas grain (0),non
planches de sapin 12 pieds,Pas grain (0),non
planches de sapin 13 à 14 pieds,Pas grain (0),non
planches de sapin 15 à 18 pieds,Pas grain (0),non
planches de sapin 15 pieds,Pas grain (0),non
planches de sapin 18 pieds,Pas grain (0),non
planches de sapin 19 à 20 pieds,Pas grain (0),non
planches de sapin 26 à 27 pieds,Pas grain (0),non
planches de sapin 26 à 29 pieds,Pas grain (0),non
planches de sapin 27 pieds,Pas grain (0),non
planches de sapin 30 pieds,Pas grain (0),non
planches de sapin 32 à 33 pieds,Pas grain (0),non
planches de sapin 32 à 34 pieds,Pas grain (0),non
planches de sapin 35 pieds,Pas grain (0),non
planches de sapin 36 pieds,Pas grain (0),non
planches de sapin 4 pieds,Pas grain (0),non
planches de sapin 6 pieds,Pas grain (0),non
planches de sapin 7 à 11 pieds,Pas grain (0),non
planches de sapin 7 à 8 pieds,Pas grain (0),non
planches de sapin 8 à 12 pieds,Pas grain (0),non
planches de sapin 8 pieds,Pas grain (0),non
planches de sapin 9 à 10 pieds,Pas grain (0),non
planches de sapin 9 à 10 pieds à 15 sous,Pas grain (0),non
planches de sapin boîtes,Pas grain (0),non
planches de sapin commun,Pas grain (0),non
planches de sapin de ??? pieds,Pas grain (0),non
planches de sapin de 1 1/4 pouce,Pas grain (0),non
planches de sapin de 1 pouce,Pas grain (0),non
planches de sapin de 1/2 pouce,Pas grain (0),non
planches de sapin de 10 à 11 pieds,Pas grain (0),non
planches de sapin de 10 à 11 pieds à 20 sous,Pas grain (0),non
planches de sapin de 10 à 12 pieds,Pas grain (0),non
planches de sapin de 10 à 12 pieds à 30 sous,Pas grain (0),non
planches de sapin de 10 à 13 pieds,Pas grain (0),non
planches de sapin de 10 à 14 pieds,Pas grain (0),non
planches de sapin de 10 à 15 pieds,Pas grain (0),non
planches de sapin de 10 à 18 pieds,,non
planches de sapin de 10 à 20 pieds,Pas grain (0),non
planches de sapin de 10 pieds,Pas grain (0),non
planches de sapin de 10 pieds à 20 sous,Pas grain (0),non
planches de sapin de 10 pieds et 1 1/2 pouce,Pas grain (0),non
planches de sapin de 11 à 12,Pas grain (0),non
planches de sapin de 11 à 12 pieds,Pas grain (0),non
planches de sapin de 11 à 14 pieds,Pas grain (0),non
planches de sapin de 11 pieds,Pas grain (0),non
planches de sapin de 12 à 13 pieds,Pas grain (0),non
planches de sapin de 12 à 14 pieds,Pas grain (0),non
planches de sapin de 12 à 15 pieds,Pas grain (0),non
planches de sapin de 12 à 16 pieds,Pas grain (0),non
planches de sapin de 12 à 18 pieds,Pas grain (0),non
planches de sapin de 12 à 20 pieds,Pas grain (0),non
planches de sapin de 12 pieds,Pas grain (0),non
planches de sapin de 13 à 14 pieds,Pas grain (0),non
planches de sapin de 13 pieds,Pas grain (0),non
planches de sapin de 14 à 15 pieds,Pas grain (0),non
planches de sapin de 14 à 16 pieds,Pas grain (0),non
planches de sapin de 14 pieds,,non
planches de sapin de 15 à 16 pieds,Pas grain (0),non
planches de sapin de 15 à 20 pieds,Pas grain (0),non
planches de sapin de 15 à 30 pieds,Pas grain (0),non
planches de sapin de 15 pieds,Pas grain (0),non
planches de sapin de 16 à 17 pieds,Pas grain (0),non
planches de sapin de 16 à 18 pieds,Pas grain (0),non
planches de sapin de 16 pieds,Pas grain (0),non
planches de sapin de 17 à 18 pieds,Pas grain (0),non
planches de sapin de 17 à 20 pieds,Pas grain (0),non
planches de sapin de 17 pieds,Pas grain (0),non
planches de sapin de 18 à 20 pieds,Pas grain (0),non
planches de sapin de 18 à 21 pieds,,non
planches de sapin de 18 à 22 pieds,Pas grain (0),non
planches de sapin de 18 pieds,Pas grain (0),non
planches de sapin de 20 à 22 pieds,Pas grain (0),non
planches de sapin de 20 à 24 pieds,Pas grain (0),non
planches de sapin de 20 à 25 pieds,Pas grain (0),non
planches de sapin de 20 à 26 pieds,Pas grain (0),non
planches de sapin de 20 à 27 pieds,Pas grain (0),non
planches de sapin de 20 à 30 pieds,Pas grain (0),non
planches de sapin de 20 pieds,Pas grain (0),non
planches de sapin de 21 à 22 pieds,Pas grain (0),non
planches de sapin de 21 à 24 pieds,Pas grain (0),non
planches de sapin de 21 pieds,,non
planches de sapin de 22 à 23 pieds,Pas grain (0),non
planches de sapin de 22 pieds,Pas grain (0),non
planches de sapin de 23 pieds,Pas grain (0),non
planches de sapin de 24 à 26 pieds,Pas grain (0),non
planches de sapin de 24 à 27 pieds,Pas grain (0),non
planches de sapin de 24 à 30 pieds,Pas grain (0),non
planches de sapin de 24 pieds,Pas grain (0),non
planches de sapin de 25 à 26 pieds,Pas grain (0),non
planches de sapin de 25 pieds,Pas grain (0),non
planches de sapin de 26 à 27 pieds,Pas grain (0),non
planches de sapin de 26 à 30 pieds,Pas grain (0),non
planches de sapin de 26 pieds,Pas grain (0),non
planches de sapin de 27 à 28 pieds,Pas grain (0),non
planches de sapin de 27 à 30 pieds,Pas grain (0),non
planches de sapin de 27 pieds,Pas grain (0),non
planches de sapin de 28 à 30 pieds,Pas grain (0),non
planches de sapin de 28 pieds,Pas grain (0),non
planches de sapin de 29 à 30 pieds,Pas grain (0),non
planches de sapin de 29 pieds,Pas grain (0),non
planches de sapin de 3 à 4 pieds,Pas grain (0),non
planches de sapin de 3 à 6 pieds,Pas grain (0),non
planches de sapin de 3 pieds,Pas grain (0),non
planches de sapin de 3/4 pouce,Pas grain (0),non
planches de sapin de 30 à 32 pieds,Pas grain (0),non
planches de sapin de 30 à 33 pieds,Pas grain (0),non
planches de sapin de 30 à 34 pieds,Pas grain (0),non
planches de sapin de 30 à 36 pieds,Pas grain (0),non
planches de sapin de 30 à 38 pieds,Pas grain (0),non
planches de sapin de 30 à 40 pieds,,non
planches de sapin de 30 pieds,Pas grain (0),non
planches de sapin de 31 pieds,Pas grain (0),non
planches de sapin de 32 à 33 pieds,Pas grain (0),non
planches de sapin de 32 pieds,Pas grain (0),non
planches de sapin de 33 à 34 pieds,Pas grain (0),non
planches de sapin de 33 pieds,Pas grain (0),non
planches de sapin de 35 pieds,Pas grain (0),non
planches de sapin de 36 pieds,Pas grain (0),non
planches de sapin de 38 pieds,Pas grain (0),non
planches de sapin de 4 à 5 pieds,Pas grain (0),non
planches de sapin de 4 à 5 pieds à 4 sous,Pas grain (0),non
planches de sapin de 4 pieds,Pas grain (0),non
planches de sapin de 40 pieds,Pas grain (0),non
planches de sapin de 45 pieds,Pas grain (0),non
planches de sapin de 48 pieds,,non
planches de sapin de 5 à 6 pieds,Pas grain (0),non
planches de sapin de 5 à 6 pieds à 4 sous,Pas grain (0),non
planches de sapin de 5 à 7 pieds,Pas grain (0),non
planches de sapin de 5 pieds,Pas grain (0),non
planches de sapin de 50 pieds,Pas grain (0),non
planches de sapin de 6 à 15 pieds,,non
planches de sapin de 6 à 7 pieds,Pas grain (0),non
planches de sapin de 6 à 8 pieds,Pas grain (0),non
planches de sapin de 6 pieds,Pas grain (0),non
planches de sapin de 7 à 10 pieds,Pas grain (0),non
planches de sapin de 7 à 8 pieds,Pas grain (0),non
planches de sapin de 7 à 8 pieds à 6 sous,Pas grain (0),non
planches de sapin de 7 à 9 pieds,Pas grain (0),non
planches de sapin de 7 pieds,Pas grain (0),non
planches de sapin de 75 pieds,Pas grain (0),non
planches de sapin de 8 à 10 pieds,Pas grain (0),non
