product_simplification,product_sitc_FR,observations_total,années_observées,product_new_classification_revised
terre de marne et engrais,Matières brutes non-comestibles non transformées n.d.a.,17,3,"Engrais, terre de marne et argile"
argile et terre pour engrais,Matières brutes non-comestibles non transformées n.d.a.,15,2,"Engrais, terre de marne et argile"
terre de marne et argile,Matières brutes non-comestibles non transformées n.d.a.,7,1,"Engrais, terre de marne et argile"
terre de marne,Matières brutes non-comestibles non transformées n.d.a.,6,1,"Engrais, terre de marne et argile"
épicerie,Divers mélangés,331,25,Épiceries diverses
graine de cumin,Matières brutes non-comestibles non transformées n.d.a.,11,2,Épiceries diverses
girofle et muscade,Produits agricoles alimentaires des régions de colonisation européenne,10,2,Épiceries diverses
muscades et poivre,Produits agricoles alimentaires des régions de colonisation européenne,8,1,Épiceries diverses
épingles,"Métaux, produits métalliques et outils",39,4,Ouvrages divers et mélangés
éponges,Matières brutes non-comestibles non transformées n.d.a.,104,12,Éponges
éponges communes et fines,Matières brutes non-comestibles non transformées n.d.a.,6,1,Éponges
esprit-de-vin,Produits chimiques transformés n.d.a.,82,20,Esprit-de-vin
essence et huile de térébenthine,Produits chimiques transformés n.d.a.,184,19,"Essence, huile et pâte de térébenthine"
essence de térébenthine et huile de térébenthine,Produits chimiques transformés n.d.a.,85,5,"Essence, huile et pâte de térébenthine"
huile et essence de térébenthine,Produits chimiques transformés n.d.a.,24,3,"Essence, huile et pâte de térébenthine"
térébenthine en essence et en huile et en pâte,Produits chimiques transformés n.d.a.,19,1,"Essence, huile et pâte de térébenthine"
térébenthine en pâte,Produits chimiques transformés n.d.a.,9,1,"Essence, huile et pâte de térébenthine"
térébenthine,Produits chimiques transformés n.d.a.,2,1,"Essence, huile et pâte de térébenthine"
estampes et tableaux,Articles manufacturés divers n.d.a,333,23,Estampes et tableaux
tableaux,Articles manufacturés divers n.d.a,34,2,Estampes et tableaux
étain,"Métaux, produits métalliques et outils",307,28,Étain
étampes,Autres filés ou tissés mélangés de fibres végétales dont toiles,17,1,Produits filés ou tissés divers
étoffe de coton,Filés ou tissés de coton,239,24,Étoffe de coton
étoffe de coton et de fil,Filés ou tissés de coton,12,3,Étoffe de coton
étoffe de coton et de fil mélangés,Filés ou tissés de coton,10,3,Étoffe de coton 
étoffe de laine,Filés ou tissés de laine et de poil,223,19,Étoffe de laine
étoffe de laine et de poil,Filés ou tissés de laine et de poil,17,1,Étoffe de laine
étoffe de soie,Filés ou tissés de soie et soie mélangée,505,25,Étoffe de soie
étoffes brochées de soie et unies,Filés ou tissés de soie et soie mélangée,70,4,Étoffe de soie
étoffes brochées de pure soie et unies,Filés ou tissés de soie et soie mélangée,39,2,Étoffe de soie
étoffe,Autres filés ou tissés,296,23,Étoffes diverses
étoffe riche,Autres filés ou tissés,111,18,Étoffes diverses
étoffe en or mêlée de soie,Filés ou tissés de soie et soie mélangée,27,5,Étoffes diverses
étoffe de crin,Filés ou tissés de laine et de poil,29,3,Étoffes diverses
étoffe de coton et de laine et de soie mélangés,Filés ou tissés de soie et soie mélangée,26,3,Étoffes diverses
étoffe de fleuret,Filés ou tissés de soie et soie mélangée,19,3,Étoffes diverses
étoffe de coton et de laine,Autres filés ou tissés,16,3,Étoffes diverses
étoffe de chanvre et de lin en toile diverse,Autres filés ou tissés mélangés de fibres végétales dont toiles,26,2,Étoffes diverses
étoffe de chanvre et de fil de lin en toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,12,1,Étoffes diverses
étoffe de coton et de laine et de filoselle,Autres filés ou tissés,7,1,Étoffes diverses
étoffe à carreaux et de toile de coutil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",1,1,Étoffes diverses
farine et biscuit de mer,Autres produits alimentaires et animaux,200,19,"Farine, gruau, biscuits et pâtes"
farine,Autres produits alimentaires et animaux,84,13,"Farine, gruau, biscuits et pâtes"
farine et pâte d'Italie,Autres produits alimentaires et animaux,47,6,"Farine, gruau, biscuits et pâtes"
farine et biscuit et pâte,Autres produits alimentaires et animaux,73,5,"Farine, gruau, biscuits et pâtes"
farine et pâte et vermicelle,Autres produits alimentaires et animaux,42,3,"Farine, gruau, biscuits et pâtes"
farine en gruau,Autres produits alimentaires et animaux,19,3,"Farine, gruau, biscuits et pâtes"
farine et gruau et pâte,Autres produits alimentaires et animaux,23,2,"Farine, gruau, biscuits et pâtes"
farine et biscuit de mer et pâte d'Italie,Autres produits alimentaires et animaux,16,2,"Farine, gruau, biscuits et pâtes"
biscuit de mer,Autres produits alimentaires et animaux,8,2,"Farine, gruau, biscuits et pâtes"
biscuit,Autres produits alimentaires et animaux,15,1,"Farine, gruau, biscuits et pâtes"
biscuit et farine et gruau et pâte,Autres produits alimentaires et animaux,14,1,"Farine, gruau, biscuits et pâtes"
farine et pâte d'Italie et vermicelle,Autres produits alimentaires et animaux,13,1,"Farine, gruau, biscuits et pâtes"
farine et biscuit,Autres produits alimentaires et animaux,12,1,"Farine, gruau, biscuits et pâtes"
vermicelle,Autres produits alimentaires et animaux,11,1,"Farine, gruau, biscuits et pâtes"
farine et biscuit de mer et pâte,Autres produits alimentaires et animaux,10,1,"Farine, gruau, biscuits et pâtes"
farine et biscuit et gruau,Autres produits alimentaires et animaux,5,1,"Farine, gruau, biscuits et pâtes"
pâte d'Italie,Autres produits alimentaires et animaux,3,1,"Farine, gruau, biscuits et pâtes"
pâte d'Italie vermicelle macaroni,Autres produits alimentaires et animaux,3,1,"Farine, gruau, biscuits et pâtes"
biscuit de mer et pâte d'Italie,Autres produits alimentaires et animaux,1,1,"Farine, gruau, biscuits et pâtes"
faucilles et faux et fil de laiton et limes,"Métaux, produits métalliques et outils",143,15,"Faucilles, faux et limes"
limes,"Métaux, produits métalliques et outils",48,12,"Faucilles, faux et limes"
faux et faucilles,"Métaux, produits métalliques et outils",47,8,"Faucilles, faux et limes"
faux,"Métaux, produits métalliques et outils",6,2,"Faucilles, faux et limes"
quincaillerie faux,"Métaux, produits métalliques et outils",5,1,"Faucilles, faux et limes"
faucilles et faux,"Métaux, produits métalliques et outils",3,1,"Faucilles, faux et limes"
fer,"Métaux, produits métalliques et outils",511,28,Fer
fer de toute sorte,"Métaux, produits métalliques et outils",12,1,Fer
fer-blanc,"Métaux, produits métalliques et outils",223,27,Fer-blanc
fer-blanc en tôle,"Métaux, produits métalliques et outils",4,1,Fer-blanc
feuilles d'oranger et fleurs d'oranger,Matières brutes non-comestibles non transformées n.d.a.,11,4,Feuilles et fleurs d’oranger
fleurs d'oranger,Matières brutes non-comestibles non transformées n.d.a.,2,2,Feuilles et fleurs d’oranger
fleurs d'oranger et de lavande,Matières brutes non-comestibles non transformées n.d.a.,6,1,Feuilles et fleurs d’oranger
fil,Autres filés ou tissés,324,17,Fils divers
fil de chanvre ou de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",209,12,Fils divers
fil de chanvre ou de lin à coudre retors et teint,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",28,2,Fils divers
fil de coton,Filés ou tissés de coton,55,5,Fil de coton
fil de laine,Filés ou tissés de laine et de poil,21,2,Fils divers
fil de laine commune,Filés ou tissés de laine et de poil,16,2,Fils divers
fil de laine fine,Filés ou tissés de laine et de poil,13,1,Fils divers
fil de laine fine et teinte,Filés ou tissés de laine et de poil,13,1,Fils divers
laine blanche et fine et filée et teinte,Filés ou tissés de laine et de poil,13,1,Fils divers
fil de poil de chèvre,Filés ou tissés de laine et de poil,17,4,Fils divers
filoselle et soie,Matières brutes non-comestibles non transformées n.d.a.,167,16,"Filoselle, fleuret et bourre de soie"
filoselle et fleuret et bourre de soie,Matières brutes non-comestibles non transformées n.d.a.,31,7,"Filoselle, fleuret et bourre de soie"
bourre de soie et filoselle et soie,Matières brutes non-comestibles non transformées n.d.a.,15,3,"Filoselle, fleuret et bourre de soie"
filoselle et bourre de soie,Matières brutes non-comestibles non transformées n.d.a.,4,1,"Filoselle, fleuret et bourre de soie"
fleurs artificielles,Articles manufacturés divers n.d.a,327,21,Fleurs artificielles et ouvrages de mode
ouvrages de modes,Articles manufacturés divers n.d.a,129,7,Fleurs artificielles et ouvrages de mode
fleurs artificielles et ouvrages de modes,Articles manufacturés divers n.d.a,32,3,Fleurs artificielles et ouvrages de mode
ouvrages en fleurs artificielles,Articles manufacturés divers n.d.a,33,2,Fleurs artificielles et ouvrages de mode
fourrages,Autres produits alimentaires et animaux,50,10,Fourrages
fromage,Autres produits alimentaires et animaux,663,28,Fromage
fruits confits à l'eau-de-vie,Autres produits alimentaires et animaux,74,7,Fruits et légumes confits et marinés
fruits et légumes confits et marinés,Autres produits alimentaires et animaux,67,4,Fruits et légumes confits et marinés
fruits confits au sucre,Autres produits alimentaires et animaux,44,3,Fruits et légumes confits et marinés
fruits et légumes confits au vinaigre,Autres produits alimentaires et animaux,33,2,Fruits et légumes confits et marinés
confitures et fruits confits au sucre,Autres produits alimentaires et animaux,17,1,Fruits et légumes confits et marinés
confitures,Autres produits alimentaires et animaux,17,1,Fruits et légumes confits et marinés
confitures et fruit confit au sucre,Autres produits alimentaires et animaux,16,1,Fruits et légumes confits et marinés
fruits confits à l'eau-de-vie et au sucre,Autres produits alimentaires et animaux,14,1,Fruits et légumes confits et marinés
fruits confits en vinaigre,Autres produits alimentaires et animaux,13,1,Fruits et légumes confits et marinés
fruits,Autres produits alimentaires et animaux,314,21,Fruits frais et secs
citrons et orange frais,Autres produits alimentaires et animaux,177,17,Fruits frais et secs
fruits secs,Autres produits alimentaires et animaux,303,12,Fruits frais et secs
amandes sèches et figue sèche et raisin sec,Autres produits alimentaires et animaux,135,11,Fruits frais et secs
amandes,Autres produits alimentaires et animaux,88,8,Fruits frais et secs
fruits frais,Autres produits alimentaires et animaux,145,7,Fruits frais et secs
citrons et orange,Autres produits alimentaires et animaux,37,5,Fruits frais et secs
amandes sèches,Autres produits alimentaires et animaux,62,4,Fruits frais et secs
raisin,Autres produits alimentaires et animaux,13,3,Fruits frais et secs
citrons frais et orange fraîche et amandes sèches et figue sèches et raisin sec,Autres produits alimentaires et animaux,29,2,Fruits frais et secs
amandes et figue et raisin,Autres produits alimentaires et animaux,24,2,Fruits frais et secs
pruneaux,Autres produits alimentaires et animaux,4,2,Fruits frais et secs
amandes sèches et figue sèche et ???,Autres produits alimentaires et animaux,9,1,Fruits frais et secs
olives fraîches,Autres produits alimentaires et animaux,2,1,Fruits frais et secs
herbes médicinales et plantes médicinales,Matières brutes non-comestibles non transformées n.d.a.,58,6,"Fruits, plantes, herbes et racines médicinales"
fruits médicinaux et herbes médicinaux et plantes médicinaux et racines médicinaux,Matières brutes non-comestibles non transformées n.d.a.,52,3,"Fruits, plantes, herbes et racines médicinales"
herbes médicinales et plantes médicinales et racines médicinales,Matières brutes non-comestibles non transformées n.d.a.,35,3,"Fruits, plantes, herbes et racines médicinales"
gants de peau,Articles manufacturés divers n.d.a,302,25,Gants de peau
gants de peau et autre,Articles manufacturés divers n.d.a,16,1,Gants de peau
garance,Produits chimiques transformés n.d.a.,321,22,Garance et alizari
alizari et garance,Matières brutes non-comestibles non transformées n.d.a.,162,9,Garance et alizari
œufs,Autres produits alimentaires et animaux,53,10,"Gibier, volailles et œufs"
gibier et volailles,Autres produits alimentaires et animaux,36,5,"Gibier, volailles et œufs"
œufs et volaille,Autres produits alimentaires et animaux,19,4,"Gibier, volailles et œufs"
chair de volaille et chair de gibier,Autres produits alimentaires et animaux,28,3,"Gibier, volailles et œufs"
volailles,Autres produits alimentaires et animaux,11,2,"Gibier, volailles et œufs"
chair de gibier et de volailles,Autres produits alimentaires et animaux,8,1,"Gibier, volailles et œufs"
girofle,Produits agricoles alimentaires des régions de colonisation européenne,214,25,Girofle
gomme,Matières brutes non-comestibles non transformées n.d.a.,608,28,Gommes diverses
gomme du Sénégal,Matières brutes non-comestibles non transformées n.d.a.,34,11,Gommes diverses
gomme adragant,Matières brutes non-comestibles non transformées n.d.a.,49,10,Gommes diverses
gomme arabique,Matières brutes non-comestibles non transformées n.d.a.,58,8,Gommes diverses
gomme copale,Matières brutes non-comestibles non transformées n.d.a.,46,8,Gommes diverses
gomme laque,Produits chimiques transformés n.d.a.,21,5,Gommes diverses
gomme d'acacia,Matières brutes non-comestibles non transformées n.d.a.,11,4,Gommes diverses
gomme sandaraque,Matières brutes non-comestibles non transformées n.d.a.,14,3,Gommes diverses
gomme gedda,Matières brutes non-comestibles non transformées n.d.a.,9,2,Gommes diverses
gomme élastique,Matières brutes non-comestibles non transformées n.d.a.,7,1,Gommes diverses
gomme thurique,Matières brutes non-comestibles non transformées n.d.a.,3,1,Gommes diverses
gomme animée ou courbaril,Matières brutes non-comestibles non transformées n.d.a.,1,1,Gommes diverses
graine d'anis,Matières brutes non-comestibles non transformées n.d.a.,26,3,Graine d’anis
graine de moutarde,Autres produits alimentaires et animaux,9,2,Graines diverses et mélangées
graine jaune d'Avignon,Matières brutes non-comestibles non transformées n.d.a.,68,9,Graine jaune d’Avignon
graine jaune d'Avignon ou nerprun,Matières brutes non-comestibles non transformées n.d.a.,19,3,Graine jaune d’Avignon
graine jaune,Matières brutes non-comestibles non transformées n.d.a.,8,1,Graine jaune d’Avignon
graine de jardin,Matières brutes non-comestibles non transformées n.d.a.,339,28,Graines de jardin
graine de lin,Matières brutes non-comestibles non transformées n.d.a.,28,6,Graines diverses et mélangées
graine de trèfle,Matières brutes non-comestibles non transformées n.d.a.,138,18,"Graines de trèfle, de luzerne et de prairie"
graine de luzerne et de trèfle,Matières brutes non-comestibles non transformées n.d.a.,118,11,"Graines de trèfle, de luzerne et de prairie"
graine de prairie,Matières brutes non-comestibles non transformées n.d.a.,28,5,"Graines de trèfle, de luzerne et de prairie"
graine de prairie et de trèfle et luzerne,Matières brutes non-comestibles non transformées n.d.a.,22,3,"Graines de trèfle, de luzerne et de prairie"
graine diverse,Matières brutes non-comestibles non transformées n.d.a.,298,22,Graines diverses et mélangées
graine,Matières brutes non-comestibles non transformées n.d.a.,27,3,Graines diverses et mélangées
graine de lin et grasse,Matières brutes non-comestibles non transformées n.d.a.,25,3,Graines diverses et mélangées
graine de genièvre,Autres produits alimentaires et animaux,14,3,Graines diverses et mélangées
graine diverse et de jardin,Matières brutes non-comestibles non transformées n.d.a.,24,2,Graines diverses et mélangées
graine et graine de lin,Matières brutes non-comestibles non transformées n.d.a.,10,1,Graines diverses et mélangées
graine de diverse,Matières brutes non-comestibles non transformées n.d.a.,4,1,Graines diverses et mélangées
graine grasse,Matières brutes non-comestibles non transformées n.d.a.,66,10,Graines diverses et mélangées
graisse,"Huiles, graisses et cires d'origine animale et végétale",14,2,Graisse
gravelée potasse et védasse,Produits chimiques transformés n.d.a.,139,13,"Gravelée, potasse et védasse"
potasse et védasse et gravelée,Matières brutes non-comestibles non transformées n.d.a.,86,8,"Gravelée, potasse et védasse"
potasse gravelée et védasse,Matières brutes non-comestibles non transformées n.d.a.,32,3,"Gravelée, potasse et védasse"
potasse,Matières brutes non-comestibles non transformées n.d.a.,15,1,"Gravelée, potasse et védasse"
peintures et gravures,Articles manufacturés divers n.d.a,78,4,"Gravures, peintures et sculptures"
gravures peintures et sculptures,Articles manufacturés divers n.d.a,54,3,"Gravures, peintures et sculptures"
habits et lingerie,Articles manufacturés divers n.d.a,580,25,Habits et lingerie
habits,Articles manufacturés divers n.d.a,38,2,Habits et lingerie
habits et lingerie et effets militaires,Articles manufacturés divers n.d.a,38,2,Habits et lingerie
lingerie,Articles manufacturés divers n.d.a,9,1,Habits et lingerie
herbes à teindre,Produits chimiques transformés n.d.a.,59,6,Herbes à teindre et mousse de mer
feuilles et herbes à teindre,Matières brutes non-comestibles non transformées n.d.a.,19,2,Herbes à teindre et mousse de mer
mousse de mer,Matières brutes non-comestibles non transformées n.d.a.,7,1,Herbes à teindre et mousse de mer
mousse de mer et herbes à teindre,Matières brutes non-comestibles non transformées n.d.a.,4,1,Herbes à teindre et mousse de mer
oignons de fleurs,Matières brutes non-comestibles non transformées n.d.a.,17,4,"Herbes, plantes, racines et fleurs"
plantes herbes racines etc.,Matières brutes non-comestibles non transformées n.d.a.,23,2,"Fruits, plantes, herbes et racines médicinales"
herbes plantes racines fleurs etc.,Matières brutes non-comestibles non transformées n.d.a.,14,1,"Fruits, plantes, herbes et racines médicinales"
herbes et plantes et racines,Matières brutes non-comestibles non transformées n.d.a.,6,1,"Fruits, plantes, herbes et racines médicinales"
horlogerie,Articles manufacturés divers n.d.a,499,28,Horlogerie
horloge de bois,Articles manufacturés divers n.d.a,9,3,Horlogerie
horlogerie et carillon,Articles manufacturés divers n.d.a,4,1,Horlogerie
houblon,Autres produits alimentaires et animaux,90,16,Houblon
huile d'olive pour fabrique,"Huiles, graisses et cires d'origine animale et végétale",243,26,Huile d’olive
huile d'olive,"Huiles, graisses et cires d'origine animale et végétale",563,25,Huile d’olive
huile d'olive fine,"Huiles, graisses et cires d'origine animale et végétale",57,3,Huile d’olive
huile d'olive et autres pour fabrique,"Huiles, graisses et cires d'origine animale et végétale",21,2,Huile d’olive
huile d'olive à manger,"Huiles, graisses et cires d'origine animale et végétale",11,2,Huile d’olive
huile d'olive commune,"Huiles, graisses et cires d'origine animale et végétale",2,1,Huile d’olive
huile marc d'olive ou amurca,"Huiles, graisses et cires d'origine animale et végétale",1,1,Huile d’olive
huile de graine,"Huiles, graisses et cires d'origine animale et végétale",296,27,Huile de graine et de noix
huile de graine et de noix,"Huiles, graisses et cires d'origine animale et végétale",38,4,Huile de graine et de noix
huile d'œillette,Produits inconnus,31,4,Huile de graine et de noix
huile de faine et de noix,"Huiles, graisses et cires d'origine animale et végétale",2,2,Huile de graine et de noix
huile de grain,"Huiles, graisses et cires d'origine animale et végétale",4,1,Huile de graine et de noix
huile de genièvre,Boissons et tabac,1,1,Huile de graine et de noix
huile de laurier,"Huiles, graisses et cires d'origine animale et végétale",2,1,Huile diverse
huile de poisson,"Huiles, graisses et cires d'origine animale et végétale",338,28,Huile de poisson
dégras,"Huiles, graisses et cires d'origine animale et végétale",2,1,Huile de poisson
huile diverse,Divers mélangés,11,1,Huile diverse
huîtres fraîches et salées,Autres produits alimentaires et animaux,18,1,Huîtres fraîches et salées
huîtres,Autres produits alimentaires et animaux,3,1,Huîtres fraîches et salées
indigo,Produits chimiques transformés n.d.a.,503,28,Indigo
instruments de musique,Articles manufacturés divers n.d.a,110,7,Instruments de musique
instruments de musique et autres,Articles manufacturés divers n.d.a,11,1,Instruments de musique
cordes pour instruments,Articles manufacturés divers n.d.a,3,1,Instruments de musique
instruments pour les arts et les sciences,Articles manufacturés divers n.d.a,179,7,Instruments pour les arts et les sciences
instruments machine et mécanique propres aux arts et aux sciences,Articles manufacturés divers n.d.a,11,1,Instruments pour les arts et les sciences
instruments propres aux science,Articles manufacturés divers n.d.a,2,1,Instruments pour les arts et les sciences
ipécacuanha,Matières brutes non-comestibles non transformées n.d.a.,74,15,Ipécacuanha
iris de Florence,Matières brutes non-comestibles non transformées n.d.a.,7,3,Drogues diverses
iris,Matières brutes non-comestibles non transformées n.d.a.,5,1,Drogues diverses
jalap,Matières brutes non-comestibles non transformées n.d.a.,23,5,Drogues médicinales diverses
joncs et roseaux,Matières brutes non-comestibles non transformées n.d.a.,32,5,Joncs et roseaux
joncs pour cannes et bambou et rotin,Matières brutes non-comestibles non transformées n.d.a.,19,3,Joncs et roseaux
joncs pour cannes et bambou et ruban,Matières brutes non-comestibles non transformées n.d.a.,8,1,Joncs et roseaux
joncs,Matières brutes non-comestibles non transformées n.d.a.,4,1,Joncs et roseaux
jus de citron,Autres produits alimentaires et animaux,29,6,Jus de citron
jus de réglisse,Autres produits alimentaires et animaux,192,28,Jus et bois de réglisse
bois de réglisse,Matières brutes non-comestibles non transformées n.d.a.,41,10,Jus et bois de réglisse
réglisse,Autres produits alimentaires et animaux,2,1,Jus et bois de réglisse
lainage couvertures,Filés ou tissés de laine et de poil,53,6,Lainages divers
couvertures et tapis et tapisserie de laine,Filés ou tissés de laine et de poil,27,2,Lainages divers
couvertures et tapisseries de laine,Filés ou tissés de laine et de poil,27,2,Lainages divers
casimir et mérinos fin de laine,Filés ou tissés de laine et de poil,23,2,Lainages divers
tapis de laine,Filés ou tissés de laine et de poil,7,2,Lainages divers
casimir fin de laine,Filés ou tissés de laine et de poil,10,1,Lainages divers
laine,Matières brutes non-comestibles non transformées n.d.a.,495,23,Laines non transformées diverses
laine de chevrons et poil de chameau,Matières brutes non-comestibles non transformées n.d.a.,43,6,Laines non transformées diverses
laine ordinaire,Matières brutes non-comestibles non transformées n.d.a.,68,4,Laines non transformées diverses
laine mérinos lavée,Matières brutes non-comestibles non transformées n.d.a.,23,3,Laines non transformées diverses
laine de chevrons et poil de chameau et vigogne,Matières brutes non-comestibles non transformées n.d.a.,18,2,Laines non transformées diverses
laine mérinos et lavée et en suint,Matières brutes non-comestibles non transformées n.d.a.,17,2,Laines non transformées diverses
laine fine mérinos lavée,Matières brutes non-comestibles non transformées n.d.a.,14,2,Laines non transformées diverses
laine fine mérinos en suint,Matières brutes non-comestibles non transformées n.d.a.,10,2,Laines non transformées diverses
laine ordinaire en masse,Matières brutes non-comestibles non transformées n.d.a.,16,1,Laines non transformées diverses
laine fine et de chevron,Matières brutes non-comestibles non transformées n.d.a.,9,1,Laines non transformées diverses
laine commune et lavée et en suint,Matières brutes non-comestibles non transformées n.d.a.,8,1,Laines non transformées diverses
laine en poil de chameau,Matières brutes non-comestibles non transformées n.d.a.,8,1,Laines non transformées diverses
laine fine,Matières brutes non-comestibles non transformées n.d.a.,8,1,Laines non transformées diverses
laine mérinos en suint,Matières brutes non-comestibles non transformées n.d.a.,6,1,Laines non transformées diverses
laine de chevrons et poil de lapin,Matières brutes non-comestibles non transformées n.d.a.,5,1,Laines non transformées diverses
légumes,Autres produits alimentaires et animaux,591,28,Légumes
légumes verts et secs,Autres produits alimentaires et animaux,25,2,Légumes
librairie,Articles manufacturés divers n.d.a,785,28,Librairie
liège en bouchons,"Produits du bois, liège, jonc",243,28,Liège en bouchons
bouchons,"Produits du bois, liège, jonc",7,1,Liège en bouchons
lin,Matières brutes non-comestibles non transformées n.d.a.,214,28,Lin
liqueurs,Boissons et tabac,365,24,Liqueurs et sirop
liqueurs et sirop,Boissons et tabac,130,15,Liqueurs et sirop
liqueurs et sirop fin,Boissons et tabac,25,2,Liqueurs et sirop
litharge,Produits chimiques transformés n.d.a.,63,13,Litharge
manganèse,Matières brutes non-comestibles non transformées n.d.a.,23,4,Manganèse
terre manganèse,Matières brutes non-comestibles non transformées n.d.a.,5,1,Manganèse
manne,Divers incertains,200,28,Manne
marbre,Matières brutes non-comestibles non transformées n.d.a.,121,21,Marbre et albâtre
albâtre et marbre brut et poli,Divers mélangés,21,3,Marbre et albâtre
ardoise,Matières brutes non-comestibles non transformées n.d.a.,48,8,Matériaux de construction
matériaux de construction,Matières brutes non-comestibles non transformées n.d.a.,99,6,Matériaux de construction
chaux et plâtre et ciment,"Articles minéraux non métalliques manufacturés, n.d.a.",48,6,Matériaux de construction
pierres chaux et plâtre,Divers mélangés,24,3,Matériaux de construction
brique et tuile et carreau de terre,"Articles minéraux non métalliques manufacturés, n.d.a.",21,3,Matériaux de construction
brique et tuile et carreau et pipe,Divers mélangés,27,2,Matériaux de construction
pierres à bâtir chaux et plâtre,Divers mélangés,13,2,Matériaux de construction
chaux et pierres et plâtre,"Articles minéraux non métalliques manufacturés, n.d.a.",14,1,Matériaux de construction
brique et chaux et ciment et pierres et plâtre et pouzzolane et sable et terre et tuiles,Divers mélangés,10,1,Matériaux de construction
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,Divers mélangés,9,1,Matériaux de construction
ciment et chaux et pierres et plâtre,"Articles minéraux non métalliques manufacturés, n.d.a.",8,1,Matériaux de construction
pierres et plâtre,Matières brutes non-comestibles non transformées n.d.a.,6,1,Matériaux de construction
chaux,Produits chimiques transformés n.d.a.,4,1,Matériaux de construction
matières premières,Matières brutes non-comestibles non transformées n.d.a.,104,3,Matières premières diverses
baleine en fanon,Matières brutes non-comestibles non transformées n.d.a.,5,1,Matières premières diverses
émeri,Matières brutes non-comestibles non transformées n.d.a.,1,1,Matières premières diverses
médicament composés,Produits chimiques transformés n.d.a.,67,5,Médicaments
médicaments,Produits chimiques transformés n.d.a.,85,3,Médicaments
mercerie,Divers incertains,623,24,Mercerie
bimbeloterie,Articles manufacturés divers n.d.a,83,6,Mercerie
mercerie commune,Divers incertains,148,5,Mercerie
mercerie fine,Divers incertains,120,5,Mercerie
mercerie bimbeloterie,Divers incertains,66,3,Mercerie
mercure,Matières brutes non-comestibles non transformées n.d.a.,151,26,Mercure
mercure précipité,Matières brutes non-comestibles non transformées n.d.a.,7,2,Mercure
métaux,"Métaux, produits métalliques et outils",144,12,Métaux divers et mélangés
métal,"Métaux, produits métalliques et outils",80,8,Métaux divers et mélangés
étain et plomb,"Métaux, produits métalliques et outils",18,1,Métaux divers et mélangés
meubles et pierres,Articles manufacturés divers n.d.a,32,3,Meubles et pierres
glaces et meubles,Divers mélangés,281,19,"Meubles, glaces et miroirs"
meubles et miroirs,Articles manufacturés divers n.d.a,129,15,"Meubles, glaces et miroirs"
mobilier,Articles manufacturés divers n.d.a,313,12,"Meubles, glaces et miroirs"
glaces et miroirs,"Articles minéraux non métalliques manufacturés, n.d.a.",114,7,"Meubles, glaces et miroirs"
glaces petites et miroirs,"Articles minéraux non métalliques manufacturés, n.d.a.",13,3,"Meubles, glaces et miroirs"
miroirs,Articles manufacturés divers n.d.a,7,2,"Meubles, glaces et miroirs"
glaces,"Articles minéraux non métalliques manufacturés, n.d.a.",18,1,"Meubles, glaces et miroirs"
meubles glaces et miroirs,Articles manufacturés divers n.d.a,13,1,"Meubles, glaces et miroirs"
meules,"Articles minéraux non métalliques manufacturés, n.d.a.",14,3,Pierres et meules
meules à aiguiser,"Articles minéraux non métalliques manufacturés, n.d.a.",12,2,Pierres et meules
meules pour moulins,"Articles minéraux non métalliques manufacturés, n.d.a.",10,2,Pierres et meules
meules de pierre,"Articles minéraux non métalliques manufacturés, n.d.a.",14,1,Pierres et meules
miel,Autres produits alimentaires et animaux,270,28,Miel
minium,Produits chimiques transformés n.d.a.,19,5,Minium et mine orange
minium et mine orange,Produits chimiques transformés n.d.a.,4,2,Minium et mine orange
lingots et monnaies étrangères,Monnaies et métaux précieux,150,14,Monnaies et métaux précieux
monnaies au type étranger,Monnaies et métaux précieux,95,13,Monnaies et métaux précieux
argent et or,Monnaies et métaux précieux,237,7,Monnaies et métaux précieux
lingots ou monnaies étrangères d'argent et d'or,Monnaies et métaux précieux,14,2,Monnaies et métaux précieux
monnaies d'argent et d'or et au type étranger,Monnaies et métaux précieux,7,2,Monnaies et métaux précieux
or et argent monnayés,Monnaies et métaux précieux,6,1,Monnaies et métaux précieux
lingots et monnaies étrangères d'argent et d'or,Monnaies et métaux précieux,3,1,Monnaies et métaux précieux
piastres,Monnaies et métaux précieux,1,1,Monnaies et métaux précieux
mousseline,Filés ou tissés de coton,170,18,"Mousseline, basin et nankin"
basin et Nankin,Autres filés ou tissés,99,7,"Mousseline, basin et nankin"
mousseline de coton,Filés ou tissés de coton,65,7,"Mousseline, basin et nankin"
nankin,Filés ou tissés de coton,45,6,"Mousseline, basin et nankin"
basin uni et Nankin uni,Autres filés ou tissés,38,2,"Mousseline, basin et nankin"
mousseline de coton et nankin des Indes,Filés ou tissés de coton,21,2,"Mousseline, basin et nankin"
mousseline de coton unies et peintes,Filés ou tissés de coton,17,2,"Mousseline, basin et nankin"
Nankin,Filés ou tissés de coton,11,2,"Mousseline, basin et nankin"
mousseline de coton unies et brûlées,Filés ou tissés de coton,14,1,"Mousseline, basin et nankin"
