simplification_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
bénitier de marbre pesant 250 livres,1,not raw cotton,non,549530
benjoin,151,not raw cotton,non,549530
benjoin du Levant,1,not raw cotton,non,549530
bennes,1,not raw cotton,non,549530
bennes vides,1,not raw cotton,non,549530
berce de fer et lit de fer,1,not raw cotton,non,549530
berceau d'enfant,2,not raw cotton,non,549530
berceau d'osier,1,not raw cotton,non,549530
bergamote,2,not raw cotton,non,549530
bergamotes,111,not raw cotton,non,549530
bergamotes fraîches,1,not raw cotton,non,549530
bergamotes ouvrées,0,not raw cotton,oui,549530
Bergopzoom,5,not raw cotton,non,549530
Bergopzoom aune,1,not raw cotton,non,549530
berline,6,not raw cotton,non,549530
berline et harnais,3,not raw cotton,non,549530
berline garnie de velours,1,not raw cotton,non,549530
berline garnie de velours et crêpine d'or et harnais riche,1,not raw cotton,non,549530
berline vieille,1,not raw cotton,non,549530
bernes,11,not raw cotton,non,549530
bernes de laine,4,not raw cotton,non,549530
bernes ou tapsel,1,not raw cotton,non,549530
bernic,1,,non,4126
bestiaux,262,not raw cotton,non,549530
bestiaux et bêtes de somme,2,not raw cotton,non,549530
bêtes de somme,151,not raw cotton,non,549530
bêtes de somme et bœuf,1,not raw cotton,non,549530
bêtes de somme et poulains,1,not raw cotton,non,549530
bêtes principalement en mules et mulets,11,not raw cotton,non,549530
bétilles,29,not raw cotton,non,549530
bétilles des Indes,2,not raw cotton,non,549530
betteraves,2,not raw cotton,non,549530
beunne,1,not raw cotton,non,549530
beurre,2334,not raw cotton,non,549530
beurre commun,22,not raw cotton,non,549530
beurre d'Angleterre,1,not raw cotton,non,549530
beurre d'Irlande,19,not raw cotton,non,549530
beurre d'Irlande non comestible,1,not raw cotton,non,549530
beurre d'Irlande salé,10,not raw cotton,non,549530
beurre de Bretagne,18,not raw cotton,non,549530
beurre de cacao,4,not raw cotton,non,549530
beurre de Dixmude,1,not raw cotton,non,549530
beurre du pays,9,not raw cotton,non,549530
beurre du pays salé,8,not raw cotton,non,549530
beurre et fromage,12,not raw cotton,non,549530
beurre fondu,2,not raw cotton,non,549530
beurre frais,18,not raw cotton,non,549530
beurre frais ou fondu,7,not raw cotton,non,549530
beurre frais ou fondu ou salé,2,not raw cotton,non,549530
beurre pour Genève par transit,2,not raw cotton,non,549530
beurre pour l'entrepôt des Îles,5,not raw cotton,non,549530
beurre salé,227,not raw cotton,non,549530
beurreterie en bar de fil blanc,1,not raw cotton,non,549530
beurrière,63,not raw cotton,non,549530
bezoar,5,not raw cotton,non,549530
bezoar du Ponent,1,not raw cotton,non,549530
bibelots et mercerie,1,not raw cotton,non,549530
bibliothèque,3,not raw cotton,non,549530
bidets,2,not raw cotton,non,549530
bidets de faïence,1,not raw cotton,non,549530
bidets de faïence avec leurs pieds de bois,1,not raw cotton,non,549530
bidets de faïence et leurs pièces,1,not raw cotton,non,549530
bidons,1,,non,4126
bière,1414,not raw cotton,non,549530
bière aigre,1,not raw cotton,non,549530
bière blanche,1,not raw cotton,non,549530
bière cidre et vinaigre,1,not raw cotton,non,549530
bière commune du pays,1,not raw cotton,non,549530
bière d'Angleterre,2,not raw cotton,non,549530
bière d'Hoegaarden,1,not raw cotton,non,549530
bière de Hollande,7,not raw cotton,non,549530
bière de Hollande et d'Angleterre,1,not raw cotton,non,549530
bière de Liège,1,not raw cotton,non,549530
bière de Lübeck,3,not raw cotton,non,549530
bière de Lübeck pour médecine,1,not raw cotton,non,549530
bière dite juypenbier,1,not raw cotton,non,549530
bière dite lumay,1,not raw cotton,non,549530
bière en barrique,1,not raw cotton,non,549530
bière en bouteille,3,not raw cotton,non,549530
bière en muid,4,not raw cotton,non,549530
bière et cidre,100,not raw cotton,non,549530
bière et cidre et vinaigre,9,not raw cotton,non,549530
bière forte,1,not raw cotton,non,549530
bière médicinale de Lübeck,1,not raw cotton,non,549530
bière vétérinaire,1,not raw cotton,non,549530
bigarade,1,not raw cotton,non,549530
bigarade fraîche,1,not raw cotton,non,549530
bignes,2,not raw cotton,non,549530
bigons,14,not raw cotton,non,549530
bigous,1,not raw cotton,non,549530
bigues,6,not raw cotton,non,549530
bijouterie,867,not raw cotton,non,549530
bijouterie d'argent,6,not raw cotton,non,549530
bijouterie d'argent autre qu'ornée en perles fines ou pierres,2,not raw cotton,non,549530
bijouterie d'argent ornée en perles fines ou pierres,2,not raw cotton,non,549530
bijouterie d'or,7,not raw cotton,non,549530
bijouterie d'or autre qu'ornée en perles fines ou pierres,2,not raw cotton,non,549530
bijouterie d'or ornée en perles fines ou pierres,2,not raw cotton,non,549530
bijouterie en argent,1,not raw cotton,non,549530
bijouterie et mercerie,1,not raw cotton,non,549530
bijouterie et perles fines,17,not raw cotton,non,549530
bijouterie fine,4,not raw cotton,non,549530
bijouterie fine fausse en pierres faite métal,2,not raw cotton,non,549530
bijouterie pour montres d'argent,1,not raw cotton,non,549530
bijoux,1,not raw cotton,non,549530
bijoux d'or,1,not raw cotton,non,549530
bilardeaux,3,not raw cotton,non,549530
billard,14,not raw cotton,non,549530
billard vieux,1,not raw cotton,non,549530
billes d'ivoire,8,not raw cotton,non,549530
billes de billard,1,,non,4126
billes de bois,4,not raw cotton,non,549530
billes de bois de gaïac,2,not raw cotton,non,549530
billes de bois et de marbre,1,not raw cotton,non,549530
billes de bois marbré,4,not raw cotton,non,549530
billes de bois pour meuble,1,not raw cotton,non,549530
billets de parchemin,7,not raw cotton,non,549530
billons,6,not raw cotton,non,549530
billons de bois,2,not raw cotton,non,549530
billons de bois blanc,3,not raw cotton,non,549530
billons de bois petits,1,not raw cotton,non,549530
billons de pin,1,not raw cotton,non,549530
billons de sapin,4,not raw cotton,non,549530
billons et bois blanc,1,not raw cotton,non,549530
billots,1,not raw cotton,non,549530
billots de chêne pour merrain,1,not raw cotton,non,549530
billots de pin,1,not raw cotton,non,549530
billots de sapin,13,not raw cotton,non,549530
billots de sapin de 20 pieds,1,not raw cotton,non,549530
billots de sapin de 30 à 35 pieds,1,not raw cotton,non,549530
billots pour merrain,1,not raw cotton,non,549530
bimbeloterie,91,not raw cotton,non,549530
binages à pousser,1,not raw cotton,non,549530
birampots,4,not raw cotton,non,549530
birampots bleu,1,not raw cotton,non,549530
birampots des Indes,2,not raw cotton,non,549530
biscuit,261,not raw cotton,non,549530
biscuit amer,2,not raw cotton,non,549530
biscuit anisé,1,,non,4126
biscuit de mer,172,not raw cotton,non,549530
biscuit de mer et pain,7,not raw cotton,non,549530
biscuit de mer et pâte d'Italie,1,not raw cotton,non,549530
biscuit de munition,1,not raw cotton,non,549530
biscuit en pain,1,not raw cotton,non,549530
biscuit et farine et gruau et pâte,14,not raw cotton,non,549530
biscuit sucré,7,not raw cotton,non,549530
biseaux,1,not raw cotton,non,549530
bismuth,5,not raw cotton,non,549530
bitume,2,not raw cotton,non,549530
bitume de Judée,6,not raw cotton,non,549530
bitume et ambre jaune,2,not raw cotton,non,549530
bitume et bitume de Judée,2,not raw cotton,non,549530
bitume et houille brute,2,not raw cotton,non,549530
bitume et houille coak,1,not raw cotton,non,549530
blagues,3,not raw cotton,non,549530
blagues à tabac,1,not raw cotton,non,549530
blagues de cuir,1,not raw cotton,non,549530
blallst,1,not raw cotton,non,549530
blanc,3,not raw cotton,non,549530
blanc d'écaille,2,not raw cotton,non,549530
blanc d'Espagne,74,not raw cotton,non,549530
blanc d'Espagne craie blanche et moulue,2,not raw cotton,non,549530
blanc de ???,2,not raw cotton,non,549530
blanc de baleine,129,not raw cotton,non,549530
blanc de céruse,30,not raw cotton,non,549530
blanc de céruse pour l'entrepôt de la Compagnie des Indes,1,not raw cotton,non,549530
blanc de ferax,9,not raw cotton,non,549530
blanc de ferux,5,not raw cotton,non,549530
blanc de Herps,3,not raw cotton,non,549530
blanc de Hollande,1,not raw cotton,non,549530
blanc de Marne,1,not raw cotton,non,549530
blanc de Naples,1,not raw cotton,non,549530
blanc de plomb,51,not raw cotton,non,549530
blanc de plomb et térébenthine,1,not raw cotton,non,549530
blanc de Troyes,23,not raw cotton,non,549530
blanc de Troyes et craie,2,not raw cotton,non,549530
blanc en chevron,1,not raw cotton,non,549530
blanc simple,2,not raw cotton,non,549530
blanchette,1,not raw cotton,non,549530
blanchissoire,2,not raw cotton,non,549530
blanquette,3,not raw cotton,non,549530
blé,16,not raw cotton,non,549530
blé avarié,1,not raw cotton,non,549530
blé en gerbe,1,not raw cotton,non,549530
blé et autres grains,17,not raw cotton,non,549530
bleu,18,not raw cotton,non,549530
bleu azure,1,not raw cotton,non,549530
bleu calaminé,1,not raw cotton,non,549530
bleu commun,7,not raw cotton,non,549530
bleu d'Allemagne,1,not raw cotton,non,549530
bleu d'azur,1,not raw cotton,non,549530
bleu de Berlin,1,not raw cotton,non,549530
bleu de Berlin ou de Prusse,1,not raw cotton,non,549530
bleu de paille,1,not raw cotton,non,549530
bleu de Pierre,1,not raw cotton,non,549530
bleu de Prusse,168,not raw cotton,non,549530
bleu de Prusse boules et indique,2,not raw cotton,non,549530
bleu de Prusse et graine jaune,2,not raw cotton,non,549530
bleu de Prusse et lazulite,15,not raw cotton,non,549530
bleu de Saxe,1,not raw cotton,non,549530
bleu de smalt,1,not raw cotton,non,549530
bleu en encre,1,not raw cotton,non,549530
bleu en pierres,5,not raw cotton,non,549530
bleu et vert minéral ou de montagne,1,not raw cotton,non,549530
bleu fin,2,not raw cotton,non,549530
bleu foncé,1,not raw cotton,non,549530
bleu ordinaire,1,not raw cotton,non,549530
bleu ou tournesol,1,not raw cotton,non,549530
Blicourt écarlate,1,not raw cotton,non,549530
bloc de 30 pieds,1,not raw cotton,non,549530
bloc de bois de l'Amérique,1,not raw cotton,non,549530
blocs,4,not raw cotton,non,549530
blocs de cuivre jaune,1,not raw cotton,non,549530
blonde,4,not raw cotton,non,549530
blonde d'argent,2,not raw cotton,non,549530
blonde d'or,1,not raw cotton,non,549530
blonde de fil,1,not raw cotton,non,549530
blonde de soie,127,not raw cotton,non,549530
blonde or et argent,1,not raw cotton,non,549530
blonde visage,2,not raw cotton,non,549530
blondine,1,not raw cotton,non,549530
blues d'étain,1,not raw cotton,non,549530
bluteau de laine,7,not raw cotton,non,549530
bluteaux,2,not raw cotton,non,549530
bobine de cuir,1,not raw cotton,non,549530
bocard de verre,1,,non,4126
bocau soie,1,not raw cotton,non,549530
bodans,1,not raw cotton,non,549530
boëland,18,not raw cotton,non,549530
bœuf,428,not raw cotton,non,549530
bœuf à l'écarlate,11,not raw cotton,non,549530
bœuf à la mode,7,not raw cotton,non,549530
bœuf d'Irlande,1,not raw cotton,non,549530
bœuf du pays,3,not raw cotton,non,549530
bœuf en daube,57,not raw cotton,non,549530
bœuf et génisses et vaches,1,not raw cotton,non,549530
bœuf et langue salée,6,not raw cotton,non,549530
bœuf et moutons et porcs et vaches,123,not raw cotton,non,549530
bœuf et moutons et porcs et vaches et veaux,67,not raw cotton,non,549530
bœuf et moutons et porcs et vaches etc.,7,not raw cotton,non,549530
bœuf et moutons et vaches et veaux,6,not raw cotton,non,549530
bœuf et moutons et vaches etc.,1,not raw cotton,non,549530
bœuf et taureaux,8,not raw cotton,non,549530
bœuf et vaches,10,not raw cotton,non,549530
bœuf froment,1,not raw cotton,non,549530
bœuf fumé,153,not raw cotton,non,549530
bœuf fumé et salé,3,not raw cotton,non,549530
bœuf gras,2,not raw cotton,non,549530
bœuf gras et en chair,2,not raw cotton,non,549530
bœuf illinois,1,not raw cotton,non,549530
bœuf jeune,1,not raw cotton,non,549530
bœuf maigre,2,not raw cotton,non,549530
bœuf préparé,1,not raw cotton,non,549530
bœuf salé,1598,not raw cotton,non,549530
bœuf salé d'Irlande,26,not raw cotton,non,549530
bœuf salé de Bretagne,1,not raw cotton,non,549530
bœuf salé de Hollande,1,,non,4126
bœuf salé du pays,24,not raw cotton,non,549530
bœuf salé pour l'entrepôt des Îles,3,not raw cotton,non,549530
bœuf taureau,5,not raw cotton,non,549530
bœuftins et génisses,1,not raw cotton,non,549530
bois,786,not raw cotton,non,549530
bois à brûler,4,not raw cotton,non,549530
bois à fusil,2,not raw cotton,non,549530
bois à quart,2,not raw cotton,non,549530
bois à teindre moulu,17,not raw cotton,non,549530
bois à tourner,1,not raw cotton,non,549530
bois à travailler,1,not raw cotton,non,549530
bois amer,2,not raw cotton,non,549530
bois au daumes,3,not raw cotton,non,549530
bois barres de guindeau,1,not raw cotton,non,549530
bois billots,1,not raw cotton,non,549530
bois blanc,4,not raw cotton,non,549530
bois bordage,54,not raw cotton,non,549530
bois bourdilles,21,not raw cotton,non,549530
bois bourdillons,17,not raw cotton,non,549530
bois boway de chêne,1,not raw cotton,non,549530
bois boway de sapin,1,not raw cotton,non,549530
bois brai,1,not raw cotton,non,549530
bois brandilles,1,not raw cotton,non,549530
bois brun,2,not raw cotton,non,549530
bois commun,1,not raw cotton,non,549530
bois commun de chêne et sans désignation d'espèce et scié,1,not raw cotton,non,549530
bois commun de pin et sapin brut ou équarri à la hache,1,not raw cotton,non,549530
bois commun de pin et sapin de cham et scié,1,not raw cotton,non,549530
bois commun de pin et sapin scié de 34 mm d'épaisseur,1,not raw cotton,non,549530
bois commun de pin et sapin scié de plus de 80 mm d'épaisseur,3,not raw cotton,non,549530
bois corbin,1,not raw cotton,non,549530
bois cordayer,2,not raw cotton,non,549530
bois courbé,1,not raw cotton,non,549530
bois d'acajou,228,not raw cotton,non,549530
bois d'acajou brut,6,not raw cotton,non,549530
bois d'acajou des entrepôts,1,not raw cotton,non,549530
bois d'acajou divers,2,not raw cotton,non,549530
bois d'acajou en bloc,1,not raw cotton,non,549530
bois d'acajou pour madrier,1,not raw cotton,non,549530
bois d'acajou pour planche,1,not raw cotton,non,549530
bois d'acajou scié,4,not raw cotton,non,549530
bois d'acajou scié de 2 à 3 décimètres,1,not raw cotton,non,549530
bois d'aloès,13,not raw cotton,non,549530
bois d'amarante,3,not raw cotton,non,549530
bois d'Angeot,3,not raw cotton,non,549530
bois d'Angola,1,not raw cotton,non,549530
bois d'ansprete,2,not raw cotton,non,549530
bois d'arc,1,not raw cotton,non,549530
bois d'arc et d'arbalètes,1,not raw cotton,non,549530
bois d'arc et de flèches,2,not raw cotton,non,549530
bois d'arc et de fusils,1,not raw cotton,non,549530
bois d'arc et de selles,1,not raw cotton,non,549530
bois d'aspatton,1,not raw cotton,non,549530
bois d'ébène,114,not raw cotton,non,549530
bois d'ébénisterie,12,not raw cotton,non,549530
bois d'ébénisterie des entrepôts,1,not raw cotton,non,549530
bois d'ébénisterie et des Indes,32,not raw cotton,non,549530
bois d'ébénisterie scié,2,not raw cotton,non,549530
bois d'écarage,1,not raw cotton,non,549530
bois d'érable,1,not raw cotton,non,549530
bois d'espars,6,not raw cotton,non,549530
bois d'esquine,4,not raw cotton,non,549530
bois d'Inde,1,not raw cotton,non,549530
bois d'olivier,27,not raw cotton,non,549530
bois d'olivier à brûler,1,not raw cotton,non,549530
bois d'olivier pelé,12,not raw cotton,non,549530
bois d'olivier pelé préceintes,1,not raw cotton,non,549530
bois d'orignal,2,not raw cotton,non,549530
bois d'orme,9,not raw cotton,non,549530
bois d'ormeau,1,not raw cotton,non,549530
bois d'osier,32,not raw cotton,non,549530
bois de ???,1,not raw cotton,non,549530
bois de 5 pieds,1,not raw cotton,non,549530
bois de bordage,5,not raw cotton,non,549530
bois de bordage de chêne,1,not raw cotton,non,549530
bois de bordage de sapin,1,not raw cotton,non,549530
bois de Brésil,598,not raw cotton,non,549530
bois de Brésil en bûche,7,not raw cotton,non,549530
bois de Brésil menu,1,not raw cotton,non,549530
bois de Brésil moulu,1,not raw cotton,non,549530
bois de Brésil râpé,5,not raw cotton,non,549530
bois de Brésil Sainte-Marthe,2,not raw cotton,non,549530
bois de brésillet,7,not raw cotton,non,549530
bois de brochialle,1,not raw cotton,non,549530
bois de bruyère,1,not raw cotton,non,549530
bois de buis,230,not raw cotton,non,549530
bois de buis boule,1,not raw cotton,non,549530
bois de buis ouvré,0,not raw cotton,oui,549530
bois de cabestan,1,not raw cotton,non,549530
bois de cail-cédra,3,not raw cotton,non,549530
bois de Caliatour,88,not raw cotton,non,549530
bois de Caliatour en bûche,3,not raw cotton,non,549530
bois de Caliatour moulu,27,not raw cotton,non,549530
bois de Caliatour râpé,4,not raw cotton,non,549530
bois de Campêche,1079,not raw cotton,non,549530
bois de Campêche en bûches,22,not raw cotton,non,549530
bois de Campêche en bûches pour teinture,1,not raw cotton,non,549530
bois de Campêche moulu,20,not raw cotton,non,549530
bois de Campêche pour teinture,1,not raw cotton,non,549530
bois de Campêche râpé,26,not raw cotton,non,549530
bois de camphre,1,not raw cotton,non,549530
bois de canet,1,not raw cotton,non,549530
bois de cannelle,2,not raw cotton,non,549530
bois de Cayenne,7,not raw cotton,non,549530
bois de cèdre,21,not raw cotton,non,549530
bois de cerf,2,not raw cotton,non,549530
bois de cerisier,3,not raw cotton,non,549530
bois de chacie de noyer,1,not raw cotton,non,549530
bois de chaises,3,not raw cotton,non,549530
bois de charbonnage,1,not raw cotton,non,549530
bois de charouage,1,not raw cotton,non,549530
bois de charpente,9,not raw cotton,non,549530
bois de charpente couvertures de maisons,1,not raw cotton,non,549530
bois de charpente de sapin,1,not raw cotton,non,549530
bois de charronnage,22,not raw cotton,non,549530
bois de châtaignier,3,not raw cotton,non,549530
bois de châtaignier en planches,1,not raw cotton,non,549530
bois de chêne,133,not raw cotton,non,549530
bois de chêne 30 pieds,1,not raw cotton,non,549530
bois de chêne à poutres,1,not raw cotton,non,549530
bois de chêne à sommiers,2,not raw cotton,non,549530
bois de chêne bourdilles,1,not raw cotton,non,549530
bois de chêne bouts de 6 pieds,1,not raw cotton,non,549530
bois de chêne carré,3,not raw cotton,non,549530
bois de chêne chevrons,1,not raw cotton,non,549530
bois de chêne courbé pour construction navale,1,not raw cotton,non,549530
bois de chêne d'équarrissage,1,not raw cotton,non,549530
bois de chêne de 30 à 40 pieds,1,not raw cotton,non,549530
bois de chêne de 30 pieds,1,not raw cotton,non,549530
bois de chêne de 40 pieds,1,not raw cotton,non,549530
bois de chêne de charpente,1,not raw cotton,non,549530
bois de chêne de construction,4,not raw cotton,non,549530
bois de chêne en lattes,2,not raw cotton,non,549530
bois de chêne en morceaux,1,not raw cotton,non,549530
bois de chêne en morceaux de 5 pieds,1,not raw cotton,non,549530
bois de chêne et sapin pour construction,1,not raw cotton,non,549530
bois de chêne pour bordage,2,not raw cotton,non,549530
bois de chêne pour construction,6,not raw cotton,non,549530
bois de chêne pour construction courbe,1,not raw cotton,non,549530
bois de chêne rond,3,not raw cotton,non,549530
bois de chêne scié,2,not raw cotton,non,549530
bois de chevrons,2,not raw cotton,non,549530
bois de Chine,1,not raw cotton,non,549530
bois de Chypre,1,not raw cotton,non,549530
bois de citrin et de quassie et de Rhodes et de santal blanc,2,not raw cotton,non,549530
bois de clafou,1,not raw cotton,non,549530
bois de cleippe,1,not raw cotton,non,549530
bois de coco,2,not raw cotton,non,549530
bois de Constantine,1,not raw cotton,non,549530
bois de coulette de hêtre,1,not raw cotton,non,549530
bois de couleur,31,not raw cotton,non,549530
bois de courbant,1,not raw cotton,non,549530
bois de courbaril,5,not raw cotton,non,549530
bois de coutelier,2,not raw cotton,non,549530
bois de crabe,4,not raw cotton,non,549530
bois de crible,1,not raw cotton,non,549530
bois de faïence,2,not raw cotton,non,549530
bois de fauteuils,5,not raw cotton,non,549530
bois de fauteuils et canapé,1,not raw cotton,non,549530
bois de faux,1,not raw cotton,non,549530
bois de fayard,11,not raw cotton,non,549530
bois de fer,3,not raw cotton,non,549530
bois de férole,2,not raw cotton,non,549530
bois de figuier,1,not raw cotton,non,549530
bois de flèches,1,not raw cotton,non,549530
bois de Fondal,2,not raw cotton,non,549530
bois de frêne,2,not raw cotton,non,549530
bois de fustel,95,not raw cotton,non,549530
bois de fustel haché,2,not raw cotton,non,549530
bois de fustel pour teinture,2,not raw cotton,non,549530
bois de fustet,62,not raw cotton,non,549530
bois de fustet moulu,1,not raw cotton,non,549530
bois de fustet pour teinture,1,not raw cotton,non,549530
bois de gabarit,0,not raw cotton,oui,549530
bois de gaïac,362,not raw cotton,non,549530
bois de gaïac des entrepôts,1,not raw cotton,non,549530
bois de gaïac en bûches,1,not raw cotton,non,549530
bois de gaïac râpé,2,not raw cotton,non,549530
bois de gays,1,not raw cotton,non,549530
bois de genièvre,1,not raw cotton,non,549530
bois de girofle,44,not raw cotton,non,549530
bois de gitte,1,not raw cotton,non,549530
bois de grenadier,5,not raw cotton,non,549530
bois de grenadille,3,not raw cotton,non,549530
bois de Hambourg,1,not raw cotton,non,549530
bois de Honduras,1,not raw cotton,non,549530
bois de Honduras en bûches,1,not raw cotton,non,549530
bois de houx,1,,non,4126
bois de houx bûches,1,not raw cotton,non,549530
bois de jacaranda,20,not raw cotton,non,549530
bois de lettre,6,not raw cotton,non,549530
bois de lin,3,not raw cotton,non,549530
bois de lit,24,not raw cotton,non,549530
bois de lit d'acajou,1,,non,4126
bois de machandises marbré,5,not raw cotton,non,549530
bois de machemillier,6,not raw cotton,non,549530
bois de Magny,1,not raw cotton,non,549530
bois de marbre,2,not raw cotton,non,549530
bois de marguerite,1,not raw cotton,non,549530
bois de marine,1,not raw cotton,non,549530
bois de marqueterie,82,not raw cotton,non,549530
bois de melle,1,not raw cotton,non,549530
bois de menuiserie,20,not raw cotton,non,549530
bois de Nantes,1,not raw cotton,non,549530
bois de Nicaragua,1,not raw cotton,non,549530
bois de noyer,57,not raw cotton,non,549530
bois de palissandre,45,not raw cotton,non,549530
bois de Pernambouc,240,not raw cotton,non,549530
bois de Pernambouc à teindre,2,not raw cotton,non,549530
bois de Pernambouc arbustes,2,not raw cotton,non,549530
bois de Pernambouc en bûche,4,not raw cotton,non,549530
bois de Pernambouc moulu,6,not raw cotton,non,549530
bois de Pernambouc râpé,2,not raw cotton,non,549530
bois de pin,9,not raw cotton,non,549530
bois de pourpre,1,not raw cotton,non,549530
bois de Provence,1,not raw cotton,non,549530
bois de Provence Pernambouc et Campêche,2,not raw cotton,non,549530
bois de quassie,1,not raw cotton,non,549530
bois de raquette,1,not raw cotton,non,549530
bois de réglisse,64,not raw cotton,non,549530
bois de réglisse et jus de réglisse,1,not raw cotton,non,549530
bois de Rhodes,7,not raw cotton,non,549530
bois de Rhodes et sental-citrin etc.,2,not raw cotton,non,549530
bois de romarin,1,not raw cotton,non,549530
bois de rose,76,not raw cotton,non,549530
bois de roseau,10,not raw cotton,non,549530
bois de rouage,12,not raw cotton,non,549530
bois de rouage et ouvrages de charronnerie,1,not raw cotton,non,549530
bois de Sainte-Lucie,2,not raw cotton,non,549530
bois de Sainte-Marthe,251,not raw cotton,non,549530
bois de Sainte-Marthe en bûches,3,not raw cotton,non,549530
bois de Sainte-Marthe moulu,1,not raw cotton,non,549530
bois de Sainte-Marthe pour teinture,1,not raw cotton,non,549530
bois de santal,233,not raw cotton,non,549530
bois de santal ???,1,not raw cotton,non,549530
bois de santal blanc,4,not raw cotton,non,549530
bois de santal cetrin,1,not raw cotton,non,549530
bois de santal citrin,6,not raw cotton,non,549530
bois de santal en bûches,10,not raw cotton,non,549530
bois de santal moulu,127,not raw cotton,non,549530
bois de santal mouton,1,not raw cotton,non,549530
bois de santal pour teinture,1,not raw cotton,non,549530
bois de santal rouge,4,not raw cotton,non,549530
bois de sap,1,not raw cotton,non,549530
bois de sapin,105,not raw cotton,non,549530
bois de sapin de 18 pieds,1,not raw cotton,non,549530
bois de sapin de 2 à 3 pieds,1,not raw cotton,non,549530
bois de sapin de 20 à 30 pieds,1,not raw cotton,non,549530
bois de sapin de 20 pieds,1,not raw cotton,non,549530
bois de sapin de 22 pieds et 12 pouces,1,not raw cotton,non,549530
bois de sapin de 27 pieds,1,not raw cotton,non,549530
bois de sapin de 40 pieds,2,not raw cotton,non,549530
bois de sapin de 6 pieds,1,not raw cotton,non,549530
bois de sapin peint,2,not raw cotton,non,549530
bois de sappan,47,not raw cotton,non,549530
bois de sappan moulu pour teindre,1,not raw cotton,non,549530
bois de sappan pour teindre,1,not raw cotton,non,549530
bois de sassafras,26,not raw cotton,non,549530
bois de sassafras moulu,1,not raw cotton,non,549530
bois de saule,1,not raw cotton,non,549530
bois de saune,1,not raw cotton,non,549530
bois de Sayan,1,not raw cotton,non,549530
bois de selles,1,not raw cotton,non,549530
bois de senteur,1,not raw cotton,non,549530
bois de serrure,1,not raw cotton,non,549530
bois de simarouba,40,not raw cotton,non,549530
bois de soie,0,,oui,4126
bois de sommiers,2,not raw cotton,non,549530
bois de tables doré,1,not raw cotton,non,549530
bois de tamis,1,not raw cotton,non,549530
bois de teinture,97,not raw cotton,non,549530
bois de teinture autres que Pernambouc et moulu,2,not raw cotton,non,549530
bois de teinture des entrepôts,1,not raw cotton,non,549530
bois de teinture en bûches,4,not raw cotton,non,549530
bois de teinture en bûches ou morceaux et autres bois exotiques,3,not raw cotton,non,549530
bois de teinture en bûches ou morceaux et Pernambouc,3,not raw cotton,non,549530
bois de teinture et marqueterie,3,not raw cotton,non,549530
bois de teinture moulu,16,not raw cotton,non,549530
bois de teinture moulu Pernambouc,6,not raw cotton,non,549530
bois de teinture Nicaragua,1,not raw cotton,non,549530
bois de teinture Pernambouc,2,not raw cotton,non,549530
bois de teure,1,not raw cotton,non,549530
bois de tilleul,2,not raw cotton,non,549530
bois de toctacanot,1,not raw cotton,non,549530
bois de violette,25,not raw cotton,non,549530
bois des Îles et des Indes,14,not raw cotton,non,549530
bois des Îles et des Indes moulu,3,not raw cotton,non,549530
bois des Îles et des Indes pour teinture et marqueterie,3,not raw cotton,non,549530
bois des Indes,516,not raw cotton,non,549530
bois des Indes de teinture,14,not raw cotton,non,549530
bois des Indes de teinture moulu,1,not raw cotton,non,549530
bois des Indes de violette,1,not raw cotton,non,549530
bois des Indes en bûches,15,not raw cotton,non,549530
bois des Indes et d'ébénisterie et de marqueterie,10,not raw cotton,non,549530
bois des Indes jaune,14,not raw cotton,non,549530
bois des Indes moulu,8,not raw cotton,non,549530
bois des Indes moulu en bûches,1,not raw cotton,non,549530
bois des Indes pour marqueterie,4,not raw cotton,non,549530
bois des Indes pour teinture,1,not raw cotton,non,549530
bois des Indes pour teinture et marqueterie,18,not raw cotton,non,549530
bois des Indes râpé,18,not raw cotton,non,549530
bois des Indes rose,1,not raw cotton,non,549530
bois des Indes rouge,6,not raw cotton,non,549530
bois dit à fond,1,not raw cotton,non,549530
bois dit ricter,2,not raw cotton,non,549530
bois dit schaelen ou rebuts de bois,1,not raw cotton,non,549530
bois dit weres,1,not raw cotton,non,549530
bois doré,12,not raw cotton,non,549530
bois du Honduras de teinture,1,not raw cotton,non,549530
bois du Japon,22,not raw cotton,non,549530
bois du Japon jaune,1,not raw cotton,non,549530
bois du Levant,1,not raw cotton,non,549530
bois du Surinam,1,not raw cotton,non,549530
bois durci,1,not raw cotton,non,549530
bois en ??? à houblon,1,not raw cotton,non,549530
bois en battreaux,1,not raw cotton,non,549530
bois en billes pour meuble,2,not raw cotton,non,549530
bois en bûches,1,not raw cotton,non,549530
bois en bûches pour brûler,8,not raw cotton,non,549530
bois en epriers,1,not raw cotton,non,549530
bois en tranches,18,not raw cotton,non,549530
bois équarri,1,not raw cotton,non,549530
bois et écorces de chêne et de frêne,1,not raw cotton,non,549530
bois et merrains,1,not raw cotton,non,549530
bois et ouvrages de charronerie,1,not raw cotton,non,549530
bois et paniers de coudre,1,not raw cotton,non,549530
bois et papier d'éventail,1,not raw cotton,non,549530
bois exotique d'ébénisterie,1,not raw cotton,non,549530
bois exotique de teinture,1,not raw cotton,non,549530
bois exotique de teinture en morceaux et Pernambouc,1,not raw cotton,non,549530
bois flotté en étançon rond,1,not raw cotton,non,549530
