simplification,nbr_occurences_simpl,obsolete,porcelaine,nbr_occurences_porcelaine
rognures de baleine,21,non,Sans lien avec la porcelaine,815441
rognures de bois de cerf,37,non,Sans lien avec la porcelaine,815441
rognures de bois de cerf et d'ivoire,2,non,Sans lien avec la porcelaine,815441
rognures de carte,131,non,Sans lien avec la porcelaine,815441
rognures de carterie,2,non,Sans lien avec la porcelaine,815441
rognures de cartes et de papier,84,non,Sans lien avec la porcelaine,815441
rognures de carton,2,non,Sans lien avec la porcelaine,815441
rognures de castor,7,non,Sans lien avec la porcelaine,815441
rognures de cerf et d'ivoire,4,non,Sans lien avec la porcelaine,815441
rognures de chapeau,2,non,Sans lien avec la porcelaine,815441
rognures de corne,32,non,Sans lien avec la porcelaine,815441
rognures de corne de cerf,2,non,Sans lien avec la porcelaine,815441
rognures de corne et de parchemin,44,non,Sans lien avec la porcelaine,815441
rognures de cornes,1,non,,37165
rognures de cornes de bétail sabots de bétail etc.,1,non,Sans lien avec la porcelaine,815441
rognures de cornes de cerf,31,non,Sans lien avec la porcelaine,815441
rognures de cornes de cerf et de snack,10,non,Sans lien avec la porcelaine,815441
rognures de cuir,42,non,Sans lien avec la porcelaine,815441
rognures de cuir et de peau,144,non,Sans lien avec la porcelaine,815441
rognures de dents d'éléphant,4,non,Sans lien avec la porcelaine,815441
rognures de drap,21,non,Sans lien avec la porcelaine,815441
rognures de fer-blanc,22,non,Sans lien avec la porcelaine,815441
rognures de forme,1,non,Sans lien avec la porcelaine,815441
rognures de gaïac,2,non,Sans lien avec la porcelaine,815441
rognures de gants,1,non,Sans lien avec la porcelaine,815441
rognures de mis,3,non,Sans lien avec la porcelaine,815441
rognures de papier,12,non,Sans lien avec la porcelaine,815441
rognures de parchemin,6,non,Sans lien avec la porcelaine,815441
rognures de parchemin en valeur,2,non,Sans lien avec la porcelaine,815441
rognures de peau,60,non,Sans lien avec la porcelaine,815441
rognures de peau pour colle,1,non,Sans lien avec la porcelaine,815441
rogues,117,non,Sans lien avec la porcelaine,815441
rogues de carte,1,non,Sans lien avec la porcelaine,815441
rogues de castor,1,non,Sans lien avec la porcelaine,815441
rogues de macy,2,non,Sans lien avec la porcelaine,815441
rogues de maquereau,3,non,Sans lien avec la porcelaine,815441
rogues de maquereaux,3,non,Sans lien avec la porcelaine,815441
rogues de maquereaux salées et stockfish salé,2,non,Sans lien avec la porcelaine,815441
rogues de morue,78,non,Sans lien avec la porcelaine,815441
rogues de morue salées,0,non,Sans lien avec la porcelaine,815441
rogues de poisson,39,non,Sans lien avec la porcelaine,815441
rogues de stockfish,49,non,Sans lien avec la porcelaine,815441
rogues pour la pêche,1,non,Sans lien avec la porcelaine,815441
rogues salées,2,non,Sans lien avec la porcelaine,815441
roizette,1,non,Sans lien avec la porcelaine,815441
roldor,3,non,Sans lien avec la porcelaine,815441
rollet,35,non,Sans lien avec la porcelaine,815441
rollet aune,1,oui,Sans lien avec la porcelaine,815441
rollet et batiste,69,non,Sans lien avec la porcelaine,815441
rollins,1,non,Sans lien avec la porcelaine,815441
romaine,4,non,Sans lien avec la porcelaine,815441
romals,31,non,Sans lien avec la porcelaine,815441
romals des Indes,3,oui,Sans lien avec la porcelaine,815441
romals pour mouchoirs,29,non,Sans lien avec la porcelaine,815441
romals pour mouchoirs aune,1,oui,Sans lien avec la porcelaine,815441
romals rouges,1,non,Sans lien avec la porcelaine,815441
rond de moulage,1,non,Sans lien avec la porcelaine,815441
roquelance écarlate,1,non,Sans lien avec la porcelaine,815441
roquette,1,non,Sans lien avec la porcelaine,815441
rosaire,2,non,Sans lien avec la porcelaine,815441
rosarde,1,non,Sans lien avec la porcelaine,815441
rose,2,non,Sans lien avec la porcelaine,815441
rose de dictam,1,non,Sans lien avec la porcelaine,815441
rose de Provins,2,non,Sans lien avec la porcelaine,815441
rose sèche,1,non,Sans lien avec la porcelaine,815441
roseaux,114,non,Sans lien avec la porcelaine,815441
roseaux à tisserands,1,non,,37165
roseaux champêtres,1,non,Sans lien avec la porcelaine,815441
roseaux coupés,11,non,Sans lien avec la porcelaine,815441
roseaux d'Espagne,102,non,Sans lien avec la porcelaine,815441
roseaux des Indes,3,non,Sans lien avec la porcelaine,815441
roseaux en canon,1,oui,Sans lien avec la porcelaine,815441
roseaux petits,0,non,Sans lien avec la porcelaine,815441
roseaux pour cannes,7,non,Sans lien avec la porcelaine,815441
rosée de vie,2,non,Sans lien avec la porcelaine,815441
rosette de cuivre,272,non,Sans lien avec la porcelaine,815441
rosette de cuivre et mitraille de cuivre,1,non,Sans lien avec la porcelaine,815441
rosette ou plaques de cuivres non ouvré,11,non,Sans lien avec la porcelaine,815441
rossière de toile,1,non,Sans lien avec la porcelaine,815441
rossoli,21,non,Sans lien avec la porcelaine,815441
rossoli de Turin,1,non,Sans lien avec la porcelaine,815441
rotin des Indes,2,non,Sans lien avec la porcelaine,815441
rotins,82,non,Sans lien avec la porcelaine,815441
rotins de petit calibre,3,non,Sans lien avec la porcelaine,815441
rouane,1,non,Sans lien avec la porcelaine,815441
rouault,1,non,Sans lien avec la porcelaine,815441
roudon,1,non,Sans lien avec la porcelaine,815441
rouelles,1,non,Sans lien avec la porcelaine,815441
rouergue,1,non,Sans lien avec la porcelaine,815441
roues,89,non,Sans lien avec la porcelaine,815441
roues ??? de fer,1,non,,37165
roues à cabriolets,2,non,Sans lien avec la porcelaine,815441
roues à cabrouets,31,non,Sans lien avec la porcelaine,815441
roues à chaises,4,non,Sans lien avec la porcelaine,815441
roues à filer,1,non,,37165
roues de bois,6,non,Sans lien avec la porcelaine,815441
roues de brouette,3,non,Sans lien avec la porcelaine,815441
roues de cabriolet,1,non,Sans lien avec la porcelaine,815441
roues de carrosse,3,non,Sans lien avec la porcelaine,815441
roues de chaise,9,non,Sans lien avec la porcelaine,815441
roues de chaise ferrées,1,non,Sans lien avec la porcelaine,815441
roues de charrette,,oui,Sans lien avec la porcelaine,815441
roues de charrettes,14,non,,37165
roues de charrettes ferrées,1,non,,37165
roues de voiture,1,non,Sans lien avec la porcelaine,815441
roues en bois,1,non,,37165
roues et cabrouets,1,non,,37165
roues ferrées,13,non,Sans lien avec la porcelaine,815441
roues neuves,74,non,Sans lien avec la porcelaine,815441
roues non ferrées,5,non,Sans lien avec la porcelaine,815441
rouets,14,non,Sans lien avec la porcelaine,815441
rouets à filer,34,non,Sans lien avec la porcelaine,815441
rouets à filer de bois,1,non,Sans lien avec la porcelaine,815441
rouets de moulins,1,non,Sans lien avec la porcelaine,815441
rouets petits,1,non,Sans lien avec la porcelaine,815441
rouge,6,non,Sans lien avec la porcelaine,815441
rouge à peindre,1,non,Sans lien avec la porcelaine,815441
rouge annatto colorant,117,non,Sans lien avec la porcelaine,815441
rouge brun,40,non,Sans lien avec la porcelaine,815441
rouge clair,2,non,Sans lien avec la porcelaine,815441
rouge commun,14,non,Sans lien avec la porcelaine,815441
rouge commun en poudre,1,non,Sans lien avec la porcelaine,815441
rouge d'Angleterre,20,non,Sans lien avec la porcelaine,815441
rouge d'Espagne,37,non,Sans lien avec la porcelaine,815441
rouge d'Espagne en pains,1,non,,37165
rouge d'Espagne en plats,3,non,,37165
rouge d'Espagne en play,1,oui,,37165
rouge d'Espagne en tasse,6,non,,37165
rouge de Perse,4,non,Sans lien avec la porcelaine,815441
rouge de Perse et de rosse,1,non,Sans lien avec la porcelaine,815441
rouge de rosse,3,non,Sans lien avec la porcelaine,815441
rouge de Venise,1,non,Sans lien avec la porcelaine,815441
rouge des Indes,3,non,Sans lien avec la porcelaine,815441
rouge en pierre,2,non,Sans lien avec la porcelaine,815441
rouge en poudre,4,non,Sans lien avec la porcelaine,815441
rouge fin,2,non,Sans lien avec la porcelaine,815441
rouge gras,4,non,Sans lien avec la porcelaine,815441
rouge grode,1,non,Sans lien avec la porcelaine,815441
rouge gros,6,non,Sans lien avec la porcelaine,815441
rouge minéral,2,non,Sans lien avec la porcelaine,815441
rouge muscat,1,non,Sans lien avec la porcelaine,815441
rouge perse et de rosse,1,non,Sans lien avec la porcelaine,815441
rouge végétal,1,non,Sans lien avec la porcelaine,815441
rouleau de lit,1,non,,37165
rouleau de plomb,1,non,Sans lien avec la porcelaine,815441
rouleau pour chauffer le salitre,1,non,Sans lien avec la porcelaine,815441
rouleau rôles,4,non,Sans lien avec la porcelaine,815441
roulette de bois commun à trois rouets,1,non,Sans lien avec la porcelaine,815441
roulette pour enfants,1,non,,37165
rousols,1,non,Sans lien avec la porcelaine,815441
roussettes,2,non,Sans lien avec la porcelaine,815441
ruban,263,non,Sans lien avec la porcelaine,815441
ruban à jour,2,non,Sans lien avec la porcelaine,815441
ruban à jour de fil,2,non,Sans lien avec la porcelaine,815441
ruban à perruques,2,non,Sans lien avec la porcelaine,815441
ruban au quart,5,non,Sans lien avec la porcelaine,815441
ruban au quart de soie,2,non,Sans lien avec la porcelaine,815441
ruban avec de l'or,2,non,Sans lien avec la porcelaine,815441
ruban bis de fil de lin et de chanvre écru ou herbé,1,non,Sans lien avec la porcelaine,815441
ruban blanc ou mélangé de blanc,1,non,Sans lien avec la porcelaine,815441
ruban blanc ou mélange de blanc de fil de lin et de chanvre,2,non,Sans lien avec la porcelaine,815441
ruban blancs de chanvre et de lin,1,non,Sans lien avec la porcelaine,815441
ruban commune,16,non,Sans lien avec la porcelaine,815441
ruban d'argent,10,non,Sans lien avec la porcelaine,815441
ruban d'argent et d'or,190,non,Sans lien avec la porcelaine,815441
ruban d'argent et d'or et de soie,14,non,Sans lien avec la porcelaine,815441
ruban d'argent et de soie,5,non,Sans lien avec la porcelaine,815441
ruban d'argent faux et d'or faux et de soie,1,non,Sans lien avec la porcelaine,815441
ruban d'étoupes de chanvre,1,non,Sans lien avec la porcelaine,815441
ruban d'étoupes de lin,1,non,Sans lien avec la porcelaine,815441
ruban d'or,11,non,Sans lien avec la porcelaine,815441
ruban d'or et de soie,2,non,Sans lien avec la porcelaine,815441
ruban de chanvre et de lin,4,non,Sans lien avec la porcelaine,815441
ruban de chanvre et de lin écrus,1,non,Sans lien avec la porcelaine,815441
ruban de chanvre et de lin teints,1,non,Sans lien avec la porcelaine,815441
ruban de coton,9,non,Sans lien avec la porcelaine,815441
ruban de coutil,1,non,Sans lien avec la porcelaine,815441
ruban de crin,1,non,Sans lien avec la porcelaine,815441
ruban de dorrure et de soie,3,oui,,37165
ruban de dorure et de soie,3,non,,37165
ruban de dorure et soie,2,oui,Sans lien avec la porcelaine,815441
ruban de fil,551,non,Sans lien avec la porcelaine,815441
ruban de fil blanc,2,non,Sans lien avec la porcelaine,815441
ruban de fil blanc mêlé d'argent faux,1,non,Sans lien avec la porcelaine,815441
ruban de fil d'argent et d'or,8,non,Sans lien avec la porcelaine,815441
ruban de fil de laine,6,non,Sans lien avec la porcelaine,815441
ruban de fil en laine,2,non,Sans lien avec la porcelaine,815441
ruban de fil et de laine,71,non,Sans lien avec la porcelaine,815441
ruban de fil et de soie,3,non,Sans lien avec la porcelaine,815441
ruban de fil et fleuret,1,non,Sans lien avec la porcelaine,815441
ruban de fil fleuret et laine de soie,1,non,Sans lien avec la porcelaine,815441
ruban de fil teint,3,non,Sans lien avec la porcelaine,815441
ruban de filoselle,151,non,Sans lien avec la porcelaine,815441
ruban de flearn et de soie,1,oui,Sans lien avec la porcelaine,815441
ruban de fleuret,45,non,Sans lien avec la porcelaine,815441
ruban de fleuret et de soie,3,non,Sans lien avec la porcelaine,815441
ruban de fleurs,2,oui,Sans lien avec la porcelaine,815441
ruban de laine,42,non,Sans lien avec la porcelaine,815441
ruban de laine de laine pure teinte,1,non,Sans lien avec la porcelaine,815441
ruban de laine écrue pure,1,non,Sans lien avec la porcelaine,815441
ruban de laine et de soie,1,non,Sans lien avec la porcelaine,815441
ruban de laine mélangée de fil de laine et de poils,1,oui,Sans lien avec la porcelaine,815441
ruban de laine mêlée de fil,4,non,Sans lien avec la porcelaine,815441
ruban de laine mêlée de fil de laine et de poils,1,non,,37165
ruban de laine mêlée de fil teint,1,non,Sans lien avec la porcelaine,815441
ruban de laine pure écrue et blanche,1,non,Sans lien avec la porcelaine,815441
ruban de laine pure teinte,1,non,Sans lien avec la porcelaine,815441
ruban de lin,1,non,Sans lien avec la porcelaine,815441
ruban de Padoue,1,non,Sans lien avec la porcelaine,815441
ruban de soie,1653,non,Sans lien avec la porcelaine,815441
ruban de soie unis et veloutés,2,non,Sans lien avec la porcelaine,815441
ruban de velours,6,non,Sans lien avec la porcelaine,815441
ruban dorure d'argent,14,non,Sans lien avec la porcelaine,815441
ruban dorure d'argent et d'or,42,non,Sans lien avec la porcelaine,815441
ruban dorure d'argent faux et d'or faux,3,non,Sans lien avec la porcelaine,815441
ruban dorure d'argent fin et d'or fin,16,non,Sans lien avec la porcelaine,815441
ruban dorure d'or,10,non,Sans lien avec la porcelaine,815441
ruban du Levant,1,non,Sans lien avec la porcelaine,815441
ruban écru,1,non,Sans lien avec la porcelaine,815441
ruban en dorure,2,non,Sans lien avec la porcelaine,815441
ruban et listonnerie,4,non,Sans lien avec la porcelaine,815441
ruban et passementerie de soie,6,non,Sans lien avec la porcelaine,815441
ruban et passementerie diverse,6,non,Sans lien avec la porcelaine,815441
ruban et passementerie diverses celles de soie et dorure exceptées,35,non,Sans lien avec la porcelaine,815441
ruban et tresse et agrément d'argent et d'or,1,non,Sans lien avec la porcelaine,815441
ruban mi soie,10,non,Sans lien avec la porcelaine,815441
ruban or charger,1,non,Sans lien avec la porcelaine,815441
ruban ordinaire,103,non,Sans lien avec la porcelaine,815441
ruban picard,2,non,Sans lien avec la porcelaine,815441
ruban teint,1,non,Sans lien avec la porcelaine,815441
ruban velouté,3,non,Sans lien avec la porcelaine,815441
rubea,1,non,,37165
rubea major,20,non,Sans lien avec la porcelaine,815441
rubia tinctorum,9,non,Sans lien avec la porcelaine,815441
rubis bruts,2,non,Sans lien avec la porcelaine,815441
rubis taillés,3,non,Sans lien avec la porcelaine,815441
ruches,23,non,Sans lien avec la porcelaine,815441
ruches à miel renfermant des essaims vivants,6,non,Sans lien avec la porcelaine,815441
ruches de pin,1,non,Sans lien avec la porcelaine,815441
rudon,2,non,Sans lien avec la porcelaine,815441
rusque,5,non,Sans lien avec la porcelaine,815441
rusque de chêne,4,non,Sans lien avec la porcelaine,815441
rusque de pin,24,non,Sans lien avec la porcelaine,815441
rusque de sapin,0,non,Sans lien avec la porcelaine,815441
russel de laine,1,non,Sans lien avec la porcelaine,815441
sabatines,1,non,Sans lien avec la porcelaine,815441
sable,128,non,Sans lien avec la porcelaine,815441
sable à fondeur,1,non,Sans lien avec la porcelaine,815441
sable à mouler,1,non,Sans lien avec la porcelaine,815441
sable à raffinerie,1,non,,37165
sable blanc,1,non,Sans lien avec la porcelaine,815441
sable commun,1,non,Sans lien avec la porcelaine,815441
sable de mer,1,non,Sans lien avec la porcelaine,815441
sable de verre,10,non,Sans lien avec la porcelaine,815441
sable et goëmon,2,oui,,37165
sable pour les verreries,2,oui,,37165
sablerie,8,non,Sans lien avec la porcelaine,815441
sableuée,1,non,Sans lien avec la porcelaine,815441
sablière de fer de fonte,2,non,Sans lien avec la porcelaine,815441
sablières de cuivre,3,non,Sans lien avec la porcelaine,815441
sabliers,1,non,Sans lien avec la porcelaine,815441
sabliers en compas,3,non,Sans lien avec la porcelaine,815441
sablon,1,non,Sans lien avec la porcelaine,815441
sabots,82,non,Sans lien avec la porcelaine,815441
sabots de bœuf,58,non,Sans lien avec la porcelaine,815441
sabots de bois,8,non,Sans lien avec la porcelaine,815441
sabots et selles de bois,2,non,Sans lien avec la porcelaine,815441
sabres,115,non,Sans lien avec la porcelaine,815441
sabres de traite,16,non,Sans lien avec la porcelaine,815441
sabres de traite et autres,2,non,Sans lien avec la porcelaine,815441
sabres et baïonnettes,1,non,Sans lien avec la porcelaine,815441
sabres fins,1,non,Sans lien avec la porcelaine,815441
sabres garnis d'argent,1,non,Sans lien avec la porcelaine,815441
sabres montés en cuivre doré,1,non,Sans lien avec la porcelaine,815441
sabres ordinaires,2,non,Sans lien avec la porcelaine,815441
sachets,11,non,Sans lien avec la porcelaine,815441
sachets d'odeur,3,non,Sans lien avec la porcelaine,815441
sacquin,1,non,Sans lien avec la porcelaine,815441
sacs,114,non,Sans lien avec la porcelaine,815441
sacs à café,20,non,Sans lien avec la porcelaine,815441
sacs à café neufs,2,non,Sans lien avec la porcelaine,815441
sacs à café vides,1,non,Sans lien avec la porcelaine,815441
sacs à café vieux,3,non,Sans lien avec la porcelaine,815441
sacs à farine,2,non,,37165
sacs à poudre neufs,1,non,Sans lien avec la porcelaine,815441
sacs à tabac de cuir,4,non,Sans lien avec la porcelaine,815441
sacs ayant servi et de toile,1,non,Sans lien avec la porcelaine,815441
sacs de bois et cuir,1,non,Sans lien avec la porcelaine,815441
sacs de lin,2,non,Sans lien avec la porcelaine,815441
sacs de peau d'ours,1,non,Sans lien avec la porcelaine,815441
sacs de poluard,1,non,Sans lien avec la porcelaine,815441
sacs de toile,131,non,Sans lien avec la porcelaine,815441
sacs de toile de halle,1,non,Sans lien avec la porcelaine,815441
sacs de toile vides,3,non,Sans lien avec la porcelaine,815441
sacs de toile vieux,4,non,Sans lien avec la porcelaine,815441
sacs en paquets,1,non,Sans lien avec la porcelaine,815441
sacs en toile de chanvre,2,non,Sans lien avec la porcelaine,815441
sacs gros,10,non,Sans lien avec la porcelaine,815441
sacs vides,1,non,Sans lien avec la porcelaine,815441
sacs vides au service du roi,1,non,,37165
sacs vieux,6,non,Sans lien avec la porcelaine,815441
saffle,66,non,Sans lien avec la porcelaine,815441
saffreau,1,non,Sans lien avec la porcelaine,815441
safisaigne,1,non,Sans lien avec la porcelaine,815441
safran,1521,non,Sans lien avec la porcelaine,815441
safran d'Espagne,1,non,Sans lien avec la porcelaine,815441
safran de Gâtinais,2,non,Sans lien avec la porcelaine,815441
safran du Gâtinais,14,non,Sans lien avec la porcelaine,815441
safran orange,0,non,Sans lien avec la porcelaine,815441
safranum,603,non,Sans lien avec la porcelaine,815441
safranum et tournesol,7,non,Sans lien avec la porcelaine,815441
sagapenum,6,non,Sans lien avec la porcelaine,815441
sagati,3,non,Sans lien avec la porcelaine,815441
sagati de laine,9,non,Sans lien avec la porcelaine,815441
sagne,14,non,Sans lien avec la porcelaine,815441
sagon,2,non,Sans lien avec la porcelaine,815441
sagou,42,non,Sans lien avec la porcelaine,815441
sagou des Indes,2,non,Sans lien avec la porcelaine,815441
sagre,2,non,Sans lien avec la porcelaine,815441
saigne,5,non,Sans lien avec la porcelaine,815441
sailphre,1,non,Sans lien avec la porcelaine,815441
sain,4,non,Sans lien avec la porcelaine,815441
saindoux,59,non,Sans lien avec la porcelaine,815441
saisie de fer,1,non,Sans lien avec la porcelaine,815441
salage,3,non,Sans lien avec la porcelaine,815441
salaisons,231,non,Sans lien avec la porcelaine,815441
salamouris,1,non,Sans lien avec la porcelaine,815441
salemporis,203,non,Sans lien avec la porcelaine,815441
salemporis blanc,16,non,Sans lien avec la porcelaine,815441
salemporis blanc et bleu,2,non,Sans lien avec la porcelaine,815441
salemporis bleu,52,non,Sans lien avec la porcelaine,815441
salemporis bleu et rouge,2,non,Sans lien avec la porcelaine,815441
salemporis commun,2,non,Sans lien avec la porcelaine,815441
salemporis rouge,1,non,Sans lien avec la porcelaine,815441
salep,5,non,Sans lien avec la porcelaine,815441
salicore,169,non,Sans lien avec la porcelaine,815441
salicore brûlé,1,non,Sans lien avec la porcelaine,815441
salière,1,non,Sans lien avec la porcelaine,815441
salière de cristal,4,non,Sans lien avec la porcelaine,815441
salins,4,non,Sans lien avec la porcelaine,815441
salins pour verrerie,1,non,Sans lien avec la porcelaine,815441
saloir,1,non,Sans lien avec la porcelaine,815441
saloirs de bois,1,non,Sans lien avec la porcelaine,815441
salpêtre,230,non,Sans lien avec la porcelaine,815441
salpêtre brut,5,non,Sans lien avec la porcelaine,815441
salpêtre cru,85,non,Sans lien avec la porcelaine,815441
salpêtre des Indes,6,non,Sans lien avec la porcelaine,815441
salpêtre et soufre,115,non,Sans lien avec la porcelaine,815441
salpêtre raffiné,75,non,Sans lien avec la porcelaine,815441
salsepareille,874,non,Sans lien avec la porcelaine,815441
salsola,1,non,Sans lien avec la porcelaine,815441
sament,19,non,,37165
samoine,1,non,,37165
sanas,14,non,Sans lien avec la porcelaine,815441
sanas blanc,3,non,Sans lien avec la porcelaine,815441
sanctuaire,4,non,Sans lien avec la porcelaine,815441
sandale,6,non,Sans lien avec la porcelaine,815441
sandance,1,non,Sans lien avec la porcelaine,815441
sandarac,79,oui,Sans lien avec la porcelaine,815441
sandaraque,79,non,,37165
sang,1,non,Sans lien avec la porcelaine,815441
sang de bétail,1,non,Sans lien avec la porcelaine,815441
sang de bouc,1,non,Sans lien avec la porcelaine,815441
sang de bouc desséché,1,non,Sans lien avec la porcelaine,815441
sang de boudin,1,non,,37165
sang de bouquetin,2,non,Sans lien avec la porcelaine,815441
sang de dragon,107,non,Sans lien avec la porcelaine,815441
sang de dragon commun,1,non,Sans lien avec la porcelaine,815441
sang de dragon en larmes,1,non,Sans lien avec la porcelaine,815441
sang de dragon fin,4,non,Sans lien avec la porcelaine,815441
sangles,99,non,Sans lien avec la porcelaine,815441
sangles de chanvre,1,non,Sans lien avec la porcelaine,815441
sangles de cheval,1,non,,37165
sangles de cordes,1,non,Sans lien avec la porcelaine,815441
sangles pour malets,1,non,Sans lien avec la porcelaine,815441
sanglier,5,non,Sans lien avec la porcelaine,815441
sangsues,62,non,Sans lien avec la porcelaine,815441
sangsues et vipères,3,non,Sans lien avec la porcelaine,815441
sanguine,91,non,Sans lien avec la porcelaine,815441
sanitaires,3,non,Sans lien avec la porcelaine,815441
sapan,1,non,Sans lien avec la porcelaine,815441
sapeline,0,non,Sans lien avec la porcelaine,815441
saphirs taillés,1,non,Sans lien avec la porcelaine,815441
sapien violet,1,non,Sans lien avec la porcelaine,815441
sapin,38,non,Sans lien avec la porcelaine,815441
sapin à bâtir,2,non,Sans lien avec la porcelaine,815441
sapin à faire aviron,1,non,Sans lien avec la porcelaine,815441
sapin à faire chevrons,1,non,Sans lien avec la porcelaine,815441
sapin à faire comble,26,non,Sans lien avec la porcelaine,815441
sapin à faire échelles,41,non,Sans lien avec la porcelaine,815441
sapin à faire escabelle,3,non,Sans lien avec la porcelaine,815441
sapin à faire gaffe,26,non,Sans lien avec la porcelaine,815441
sapin à faire gaffe en manches,1,non,,37165
sapin à faire manches de pioches,1,non,Sans lien avec la porcelaine,815441
sapin à pioches,32,non,Sans lien avec la porcelaine,815441
sapin anspects,1,non,Sans lien avec la porcelaine,815441
sapin comble,3,oui,Sans lien avec la porcelaine,815441
sapin en bloc,2,non,Sans lien avec la porcelaine,815441
sapin petit,3,non,Sans lien avec la porcelaine,815441
saquins,3,non,Sans lien avec la porcelaine,815441
sarcelé,1,non,Sans lien avec la porcelaine,815441
sarcelles,1,non,Sans lien avec la porcelaine,815441
sardes,1,non,Sans lien avec la porcelaine,815441
sardi de laine,1,non,Sans lien avec la porcelaine,815441
sardinals,2,non,Sans lien avec la porcelaine,815441
sardines,277,non,Sans lien avec la porcelaine,815441
sardines à l'huile,5,non,Sans lien avec la porcelaine,815441
sardines apprêtées,3,non,Sans lien avec la porcelaine,815441
sardines confites,5,non,Sans lien avec la porcelaine,815441
sardines confites au vinaigre,1,non,Sans lien avec la porcelaine,815441
sardines confites dans l'huile,4,non,Sans lien avec la porcelaine,815441
sardines en grenier,1,non,,37165
sardines en lest,1,non,,37165
sardines en saumure,1,non,Sans lien avec la porcelaine,815441
sardines fraîches,11,non,Sans lien avec la porcelaine,815441
sardines marinées et salées,3,non,Sans lien avec la porcelaine,815441
sardines pressées,34,non,Sans lien avec la porcelaine,815441
sardines pressées de Bretagne,1,non,,37165
sardines pressées et salées,5,non,Sans lien avec la porcelaine,815441
sardines salées,241,non,Sans lien avec la porcelaine,815441
sardines salées et marinée,2,non,,37165
sareaux de toile,3,non,Sans lien avec la porcelaine,815441
sarrions d'espars,2,non,Sans lien avec la porcelaine,815441
sassafars,1,oui,,37165
sassafras,148,non,Sans lien avec la porcelaine,815441
sasses,23,non,Sans lien avec la porcelaine,815441
satin,128,non,Sans lien avec la porcelaine,815441
satin à fleurs,3,non,Sans lien avec la porcelaine,815441
satin blanc,3,non,,37165
satin blanc uni,,oui,Sans lien avec la porcelaine,815441
satin broché,3,non,Sans lien avec la porcelaine,815441
satin broché en or,1,non,Sans lien avec la porcelaine,815441
satin brodé,8,non,Sans lien avec la porcelaine,815441
satin brodé couleur de paille,2,non,Sans lien avec la porcelaine,815441
satin brodé de la Chine,2,non,Sans lien avec la porcelaine,815441
satin brodé en or,1,non,Sans lien avec la porcelaine,815441
satin brodé en soie de couleur,2,non,Sans lien avec la porcelaine,815441
satin brodé en soie et or,2,non,Sans lien avec la porcelaine,815441
satin brodé lit complet,2,non,Sans lien avec la porcelaine,815441
satin brodé morceaux,2,non,Sans lien avec la porcelaine,815441
satin brodé tapis,2,non,Sans lien avec la porcelaine,815441
satin brodé toilette,2,non,Sans lien avec la porcelaine,815441
satin de Chine,1,non,Sans lien avec la porcelaine,815441
satin de Florence,1,non,Sans lien avec la porcelaine,815441
satin de Florence et de Gênes,1,non,Sans lien avec la porcelaine,815441
satin de laine,4,non,Sans lien avec la porcelaine,815441
satin de laine de Roubaix,2,non,Sans lien avec la porcelaine,815441
satin de laine et serge,1,non,Sans lien avec la porcelaine,815441
satin de laine turc,18,non,Sans lien avec la porcelaine,815441
satin de laine turc et serge,1,non,Sans lien avec la porcelaine,815441
satin de retour,1,non,,37165
satin de retour faute de vente,1,oui,Sans lien avec la porcelaine,815441
satin de soie,58,non,Sans lien avec la porcelaine,815441
satin des Indes,3,non,Sans lien avec la porcelaine,815441
satin fil,2,non,,37165
satin gris,1,non,Sans lien avec la porcelaine,815441
satin imprimé de laine,1,non,,37165
satin noir,1,non,Sans lien avec la porcelaine,815441
satin pur coton,2,non,Sans lien avec la porcelaine,815441
satin pur soie,1,non,Sans lien avec la porcelaine,815441
satin rayé,12,non,Sans lien avec la porcelaine,815441
satin soie en fil,1,non,Sans lien avec la porcelaine,815441
satin soie et coton,1,non,Sans lien avec la porcelaine,815441
satin soie et fil,2,non,Sans lien avec la porcelaine,815441
satin turc,9,non,Sans lien avec la porcelaine,815441
satin uni,12,non,Sans lien avec la porcelaine,815441
satin uni et rayé,1,non,Sans lien avec la porcelaine,815441
satinade,4,non,Sans lien avec la porcelaine,815441
satinette,5,non,Sans lien avec la porcelaine,815441
satinette de coton,1,non,Sans lien avec la porcelaine,815441
satinette de laine,4,non,Sans lien avec la porcelaine,815441
satissoie,1,non,Sans lien avec la porcelaine,815441
satte,1,non,Sans lien avec la porcelaine,815441
Saturne en extrait,1,non,Sans lien avec la porcelaine,815441
saucisses,20,non,Sans lien avec la porcelaine,815441
saucisses de Boulogne,5,non,Sans lien avec la porcelaine,815441
saucissons,422,non,,37165
saucissons salés,17,non,Sans lien avec la porcelaine,815441
saude,1,oui,Sans lien avec la porcelaine,815441
sauge,2,non,Sans lien avec la porcelaine,815441
saule de fer,2,non,Sans lien avec la porcelaine,815441
saulx,2,non,Sans lien avec la porcelaine,815441
saumon,87,non,Sans lien avec la porcelaine,815441
saumon d'Écosse,4,non,Sans lien avec la porcelaine,815441
saumon en daube,3,non,Sans lien avec la porcelaine,815441
saumon frais,219,non,Sans lien avec la porcelaine,815441
saumon fumé,166,non,Sans lien avec la porcelaine,815441
saumon madré,1,oui,Sans lien avec la porcelaine,815441
saumon mariné,6,non,Sans lien avec la porcelaine,815441
saumon mariné et salé,19,non,Sans lien avec la porcelaine,815441
saumon salé,1070,non,Sans lien avec la porcelaine,815441
saumon salé et mariné,1,oui,Sans lien avec la porcelaine,815441
