orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
cuivre en barrettes,2,barrettes de cuivre,3
cuivre en bassin,64,bassin de cuivre,96
cuivre en batterie,55,cuivre battu,57
cuivre en batterie de cuisine,4,batterie de cuisine en cuivre,5
cuivre en batterie de fuine,1,batterie de cuisine en cuivre,5
cuivre en batterie laminé,1,cuivre battu laminé,1
cuivre en batterie planches,1,planches de cuivre battu,1
cuivre en batterie plomb,2,plomb de cuivre battu,4
cuivre en bombes,1,bombes de cuivre,2
cuivre en bouillotte,1,bouillotte de cuivre,1
cuivre en cachets,1,cachets de cuivre,1
cuivre en cannelle pour tonneaux,1,cannelles de cuivre pour tonneaux,1
cuivre en cendre,1,cendre de cuivre,1
cuivre en chandeliers,5,chandeliers de cuivre,8
cuivre en chanvrier,1,chanvrier de cuivre,1
cuivre en chaudière,23,chaudière de cuivre,33
cuivre en chaudron,76,chaudron de cuivre,111
cuivre en chaudrons,4,chaudron de cuivre,111
cuivre en cloches,1,cloches de cuivre,1
cuivre en clochettes,3,clochettes de cuivre,5
cuivre en clous,2,clous de cuivre,11
cuivre en coupe,1,coupes de cuivre,2
cuivre en coupes,1,coupes de cuivre,2
cuivre en étuve,2,étuve de cuivre,2
cuivre en feuilles,130,feuilles de cuivre,131
cuivre en feuilles en planches,1,feuilles de cuivre et planches de cuivre,14
cuivre en feuilles et en planches,2,feuilles de cuivre et planches de cuivre,14
cuivre en feuilles et planches,4,feuilles de cuivre et planches de cuivre,14
cuivre en feuilles et planches et ???,5,feuilles de cuivre et planches de cuivre et ???,5
cuivre en fonds,10,fonds de cuivre,11
cuivre en fonds et en fourrure,3,fonds et fourrure de cuivre,3
cuivre en fonte,1,fonte de cuivre,1
cuivre en formes,1,forme de cuivre,1
cuivre en fourrure,15,fourrure de cuivre,15
cuivre en fourrure et mozette,1,fourrure de cuivre et mozette de cuivre,2
cuivre en fourrure et rosette,1,fourrure de cuivre et mozette de cuivre,2
cuivre en grelots,13,grelots de cuivre,49
cuivre en hôpitaux,25,hôpitaux de cuivre,47
cuivre en lames,2,lames de cuivre,2
cuivre en limaille,1,limaille de cuivre,6
cuivre en lingots,1,lingots de cuivre,1
cuivre en marmites,3,marmites de cuivre,6
cuivre en masse brut et rouge,1,cuivre en masse brut ou rouge,1
cuivre en masse brut vieux et mitraille,1,cuivre en masse brut mitraille et vieux,1
cuivre en masses,1,masses de cuivre,1
cuivre en mitraille,92,mitrailles de cuivre,100
cuivre en monnaie,7,monnaies de cuivre,34
cuivre en monnaies,13,monnaies de cuivre,34
cuivre en monnaies de Suède,2,monnaies de cuivre de Suède,4
cuivre en neptune,2,neptune de cuivre,7
cuivre en neptune et chaudron,1,chaudron de cuivre et neptune de cuivre,1
cuivre en pain,16,cuivre en pain,16
cuivre en pain en brut,1,cuivre brut en pain,1
cuivre en planches,243,planches de cuivre,244
cuivre en planches en feuilles et ouvré,1,feuilles de cuivre planches de cuivre et ouvrages de cuivre,1
cuivre en planches et feuilles,7,feuilles de cuivre et planches de cuivre,14
cuivre en planches et lingots,2,lingots de cuivre et planches de cuivre,2
cuivre en plannes,1,cuivre en plane,1
cuivre en plaques,18,plaques de cuivre,18
cuivre en plateaux,2,plateaux de cuivre,2
cuivre en plateaux de bordure,1,plateaux de bordure de cuivre,1
cuivre en plates,3,plates de cuivre,3
cuivre en platines,71,platines de cuivre,72
cuivre en platines et plaques,1,platines de cuivre et plaques de cuivre,1
cuivre en plats,1,cuivre en plats,1
cuivre en potasse,1,cuivre en potasse,1
cuivre en poterie,1,poterie de cuivre,1
cuivre en robinets,1,robinets de cuivre,3
cuivre en rosette,148,rosette de cuivre,148
cuivre en rosette et mitraille,1,rosette de cuivre et mitraille de cuivre,1
cuivre en rouleau,2,cuivre en rouleau,2
cuivre en sablières,1,sablières de cuivre,2
cuivre en saumons,1,cuivre en saumons,1
cuivre en serrure,5,serrure de cuivre,7
cuivre en toupe,1,cuivre en toupe,1
cuivre en verdet,1,cuivre en verdet,1
cuivre et airain ouvré,1,cuivre et airain ouvré,1
cuivre et en mitraille,1,mitrailles de cuivre,100
cuivre et pièces de cuivre,1,cuivre et pièces de cuivre,1
cuivre fer en poids,1,cuivre de fer en poids,1
cuivre feuilles,1,feuilles de cuivre,131
cuivre filé à toutes destinations,1,fil de cuivre,2
cuivre filé en barreaux ronds,1,fil de cuivre en barreaux ronds,1
cuivre fonds,1,fonds de cuivre,11
cuivre forgé,1,cuivre forgé,1
cuivre jaune,59,cuivre jaune,59
cuivre jaune avec calamine,1,cuivre jaune avec calamine,1
cuivre jaune brun,1,cuivre jaune brun,1
cuivre jaune brut,9,cuivre jaune brut,10
cuivre jaune en bassin,1,bassin de cuivre jaune,13
cuivre jaune en bassin et chaudron,1,bassin de cuivre jaune et chaudron de cuivre jaune,1
cuivre jaune en blocs,1,blocs de cuivre jaune,1
cuivre jaune en chaudron,1,chaudron de cuivre jaune,4
cuivre jaune en clous,1,clous de cuivre jaune,1
cuivre jaune en fourrure,1,cuivre jaune en fourrure,1
cuivre jaune en planches,4,planches de cuivre jaune,4
cuivre jaune en plates,1,plates de cuivre jaune,1
cuivre jaune et rouge,2,cuivre jaune et rouge,2
cuivre jaune fondu,1,cuivre jaune fondu,1
cuivre jaune monnayé,1,monnaies de cuivre jaune,1
cuivre jaune non ouvré,2,cuivre jaune non ouvré,2
cuivre jaune ouvré,7,ouvrages de cuivre jaune,7
cuivre laiton,1,cuivre laiton,1
cuivre laminé,2,cuivre laminé,2
cuivre mitraille,7,mitrailles de cuivre,100
cuivre monnaies,2,monnaies de cuivre,34
cuivre monnayé,1,monnaies de cuivre,34
cuivre neuf,40,cuivre neuf,40
cuivre neuf en planches,1,planches de cuivre neuf,1
cuivre non ouvré,1,cuivre non ouvré,1
cuivre non ouvré en rosette ou plaques,1,rosette ou plaques de cuivres non ouvré,1
cuivre ordinaire,1,cuivre commun,1
cuivre ouvré,763,ouvrages de cuivre,784
cuivré ouvré,2,ouvrages de cuivre,784
cuivre ouvré (autrement qu'il n'est ci-dessus),1,ouvrages de cuivre,784
cuivre ouvré bouilloires,1,bouilloires de cuivre,2
cuivre ouvré cafetière,1,cafetières de cuivre,25
cuivre ouvré en baignoires,3,baignoires de cuivre,4
cuivre ouvré en bassin,2,bassin de cuivre,96
cuivre ouvré réchauds,1,réchauds de cuivre ouvré,1
cuivre potier,1,cuivre potier,1
cuivre potin,2,potin,32
cuivre potin en chaudière,2,chaudière de potin,4
cuivre potin gris,3,cuivre et potin gris,3
cuivre potin ouvré,1,ouvrages de cuivre potin,1
cuivre pur battu ou laminé,3,cuivre pur battu ou laminé,3
cuivre pur coulé en masses brutes,2,cuivre pur coulé en masses brutes,2
cuivre pur coulé en plaques ou barres,1,cuivre pur coulé en barres et plaques,1
cuivre pur coulé en plaques ou barres régulières,1,cuivre pur coulé en barres et plaques régulières,1
cuivre pur en masses brutes,1,cuivre pur en masses brutes,1
cuivre pur en plaques ou barres régulières,1,cuivre pur en barres et plaques régulières,1
cuivre pur filé,1,fil de cuivre pur,1
cuivre pur filé non-teint,2,fil de cuivre pur non-teint,2
cuivre pur filé teint,1,fil de cuivre pur teint,1
cuivre pur monnaies,2,monnaies de cuivre pur,2
cuivre pur vieux en mitraille,1,mitrailles de cuivre pur vieux,1
cuivre rompu,1,cuivre rompu,1
cuivre rosette,3,cuivre rosette,3
cuivre rouge,76,cuivre rouge,76
cuivre rouge à monnayer,2,cuivre à monnayer rouge,2
cuivre rouge brun,8,cuivre brun et cuivre rouge,8
cuivre rouge brut,12,cuivre brut et rouge,12
cuivre rouge cru ou en blocs pour Namur,2,cuivre rouge cru ou en bloc pour Namur,2
cuivre rouge en chaudière,3,cuivre rouge en chaudière,3
cuivre rouge en chaudron,1,chaudron de cuivre rouge,1
cuivre rouge en feuilles,13,feuilles de cuivre rouge,13
cuivre rouge en fond,1,cuivre en fond et rouge,1
cuivre rouge en foudre et chaudière,2,chaudière de cuivre rouge et foudre de cuivre rouge,2
cuivre rouge en masses pour être raffiné,1,masses de cuivre rouge pour être raffiné,1
cuivre rouge en planches,20,planches de cuivre rouge,20
cuivre rouge en plaques,1,plaques de cuivre rouge,1
cuivre rouge en plates,1,plates de cuivre rouge,1
cuivre rouge neuf,4,cuivre rouge neuf,4
cuivre rouge non ouvré,2,cuivre non ouvré rouge,2
cuivre rouge ouvré,41,ouvrages de cuivre rouge,41
cuivre satin,1,cuivre satin,1
cuivre sur poil,1,cuivre sur poil,1
cuivre tangoul,264,cuivre tangoul,264
cuivre travaillé,1,ouvrages de cuivre,784
cuivre vieux,280,cuivre vieux,281
cuivre vieux et en mitraille,4,cuivre en mitraille et vieux,4
cuivrerie,32,cuivrerie,34
cuivrerie ouvrée,1,ouvrages de cuivre,784
cuivres filé pour fabrication d'épingles,1,fil de cuivre pour fabrication d'épingles,1
culotte en chemise de toile à nègre,1,culotte en chemise de toile à nègre,1
culotterie,1,culottes,18
culottes,17,culottes,18
culottes à nègre,1,culottes à nègre,1
culottes d'étamine,1,culottes d'étamine,1
culottes de bouras,2,culottes de bouras,2
culottes de chamois,8,culottes de chamois,8
culottes de chamois garnies de boutons d'argent,1,culottes de chamois garnies de boutons d'argent,1
culottes de cotonnades,2,culottes de cotonnades,2
culottes de coutil,1,culottes de coutil,1
culottes de daim,5,culottes de daim,5
culottes de drap,1,culottes de drap,1
culottes de fil,1,culottes de fil,1
culottes de laine,1,culottes de laine,1
culottes de laine tricotées,2,culottes de laine tricotées,2
culottes de mouton,2,culottes de mouton,2
culottes de panne,2,culottes de panne,2
culottes de panne ciselée,1,culottes de panne ciselée,1
culottes de peau,32,culottes de peau,32
culottes de peau d'élan,1,culottes de peau d'élan,1
culottes de peau de daim,4,culottes de peau de daim,4
culottes de peau de mouton,4,culottes de peau de mouton,4
culottes de siamoise,1,culottes de siamoise,1
culottes de soie,1,culottes de soie,1
culottes de toile,13,culottes de toile,13
culottes de velours,1,culottes de velours,1
culottes de velours de gueux,1,culottes de velours de gueux,1
culs d'artichaut,9,culs d'artichaut,9
cumin,227,cumin,235
cuny,1,cuny,1
curcuma,48,curcuma,56
curcuma en poudre,1,curcuma en poudre,1
curcuma en racine,2,curcuma en racine,2
curcuma en racine des entrepôts,1,curcuma en racine des entrepôts,1
curcuma ou terra merita,1,curcuma,56
curiosité coquillage,2,curiosité coquillage,2
curiosité naturelle,2,curiosité naturelle,2
curlas,1,curlas,1
curous,1,curous,1
curtas,3,curtas,3
cusco grains,1,grains cuscute,2
cuscutes luzerne,1,cuscutes luzerne,1
custar,3,custar,3
custas,15,custas,15
custres,1,custres,1
cuve,3,cuve,3
cuve à vin,1,cuve à vin,1
cuveaux,1,cuveaux,1
cuvette de faïence,1,cuvette de faïence,1
cuvette de fer-blanc,1,cuvette de fer-blanc,1
cuvette de grès,1,cuvette de grès,1
cuviers,3,cuviers,3
cuviers de terre,4,cuviers de terre,4
cygnes,2,cygnes,2
cygnes en vie,1,cygnes en vie,1
cylindre,3,cylindre,3
dai ou baldaquin,1,dais,2
dais,1,dais,2
dais ou faux,1,dais ou faux,1
dais pour église,1,dais pour église,1
dalles,1,dalles,1
damas,51,damas,65
damas à carreaux mandarine,2,damas à carreaux mandarine,2
damas à frange d'argent,2,damas à frange d'argent,2
damas brodé,1,damas brodé,1
damas caffart,2,caffart de damas,2
damas commun,1,damas commun,1
damas cramoisi,2,damas cramoisi,2
damas de 20 aunes,1,damas de 20 aunes,1
damas de deux couleurs,2,damas de deux couleurs,3
damas de faux,1,damas faux,1
damas de fil,1,damas de fil,1
damas de Gênes cramoisi,1,damas cramoisi de Gênes,1
damas de la Chine,3,damas de la Chine,3
damas de lin,2,damas de lin,2
damas de Luques,1,damas de Lucques,1
damas de Lyon,3,damas de Lyon,3
damas de Pékin,1,damas de Pékin,1
damas de soie,1,damas de soie,1
damas de Tours,2,damas de Tours,2
damas des deux couleurs,1,damas de deux couleurs,3
damas des Indes,18,damas des Indes,18
damas divers,14,damas,65
damas fil et coton,2,damas de coton et fil,2
damas jaune,1,damas jaune,1
damas noir,1,damas noir,1
damas pour meubles,2,damas pour meubles,2
damas rayé,3,damas rayé,3
damas rayé et broché,2,damas broché et rayé,2
damas uni,2,damas uni,2
damas vert,1,damas vert,1
damas violet,1,damas violet,1
damasquette,4,damasquette,4
damasquin,1,damasquin,1
damassin,1,damassin,1
dame-jeannes,230,dame-jeannes,234
dame-jeannes clissées,15,dame-jeannes clissées,15
dame-jeannes de grès,4,dame-jeannes de grès,4
dame-jeannes de verre,21,dame-jeannes de verre,102
dame-jeannes de verre de 4 pots,1,dame-jeannes de verre de 4 pots,1
dame-jeannes en verre,1,dame-jeannes de verre,102
dame-jeannes et vides,1,dame-jeannes vides,15
Dame-jeannes garnies d'osier,1,dame-jeannes garnies d'osier,1
dame-jeannes non clissées,1,dame-jeannes non clissées,1
dame-jeannes vides,14,dame-jeannes vides,15
damoiselle,1,demoiselle,10
damoiselle de bois,1,damoiselle de bois,1
dariabadis,5,dariabadis,5
darins,20,darins,20
dattes,200,dattes,204
dattes et pistaches,1,dattes et pistaches,1
daubes,1,daubes,1
dauphine,17,dauphine,26
dauphine aune,1,dauphine,26
de haut,2,de haut,2
de liqueurs,1,liqueurs,979
de peu de valeur,1,de peu de valeur,1
de tafia,2,de tafia,2
de ville,2,de ville,2
débris de vaisseaux et vieux ouvrages de charpente,1,débris de vaisseaux et vieux ouvrages de charpente,1
déchets de pierre,4,déchets de pierre,4
déchets et débris bourre de laine entières lanice et tontice,1,bourre de laine entière lanice et tontice,1
déchets et débris tourteaux de graines oléagineuses,1,tourteaux de graines oléagineuses,2
décorations pour carrosses,1,décorations pour carrosses,1
dégras,10,dégras,10
dégras d'huile,3,dégras d'huile,3
dégras de peau,13,dégras de peau,13
delimineas,1,delimineas,1
demi Guinée,1,demi guinée,1
demi Guinée bleue,1,demi guinée bleue,2
demi-barriques cerclées de fer,1,demi-barriques cerclées de fer,1
demi-cuirs de bœuf tannés,1,demi-cuirs de bœuf tannés,1
demi-planche de sapin,1,planches demies de sapin,1
demi-planches,3,planches demies,5
demi-planches de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,1,planches demies de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,1
"demi-planches de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur",1,"planches demies de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur",1
"demi-planches de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur",1,"planches demies de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur",1
demi-soucis,1,demi-soucis,1
demille,1,demitte,136
demitte,134,demitte,136
demitte aune,1,demitte,136
demoiselle,9,demoiselle,10
demoiselle de 25 pieds,1,demoiselle de 25 pieds,1
demoiselle de bois,1,demoiselle de bois,1
demoiselle de sapin,2,demoiselle de sapin,2
denrées,1,marchandises,1109
denrées coloniales,1,marchandises des Îles,5
denrées coloniales cacao,1,cacao,1331
denrées coloniales café,1,café,1138
denrées coloniales canefice,1,canefice,411
denrées coloniales diverses,1,denrées coloniales,3
denrées coloniales écaille de tortue,1,écaille de tortue,251
denrées coloniales en indigo et sucre,1,indigo et sucre,1
denrées coloniales épicerie en muscade et poivre,1,muscades et poivre,1
denrées coloniales et épicerie,1,denrées coloniales et épicerie,1
denrées coloniales gingembre,1,gingembre,503
denrées coloniales indigo,1,indigo,2193
denrées coloniales réunies,1,denrées coloniales,3
denrées coloniales rocou,1,rocou,995
denrées coloniales sirop mélasse,1,sirop mélasse,3
denrées coloniales sucre blanc terré et têtes,1,sucre blanc terré et têtes,1
denrées coloniales sucre brut,1,sucre brut,1307
denrées coloniales sucre cacao café,1,cacao et café et sucre,1
denrées coloniales sucre raffiné,1,sucre raffiné,236
denrées coloniales tabac,1,tabac,336
denrées coloniales tafia,1,tafia,227
denrées coloniales telles que sucre café thé,1,café et sucre et thé,1
denrées des colonies,2,marchandises des Îles,5
denrées des colonies rhum,6,rhum,28
denrées des colonies rum,6,rhum,28
denrées des colonies sirop,12,sirop,91
denrées des colonies tafia,9,tafia,227
denrées des Îles coton,3,coton des Indes,8
denrées des Îles françaises de l'Amérique cacao,1,cacao,1331
denrées des Îles françaises de l'Amérique café,1,café d'Amérique,35
denrées des Îles françaises de l'Amérique coton,1,coton,84
denrées des Îles françaises de l'Amérique gingembre,1,gingembre,503
denrées des Îles françaises de l'Amérique indigo,1,indigo,2193
denrées des Îles françaises de l'Amérique objets réunis,1,denrées coloniales,3
denrées des Îles françaises de l'Amérique rocou,1,rocou,995
denrées des Îles françaises de l'Amérique sirop mélasse,1,sirop mélasse,3
denrées des Îles françaises de l'Amérique sucre blanc et terré,1,sucre blanc et sucre terré des Îles françaises de l'Amérique,1
denrées des Îles françaises de l'Amérique sucre brut,1,sucre brut,1307
denrées des Îles françaises de l'Amérique sucre raffiné,1,sucre raffiné,236
denrées des Îles françaises de l'Amérique sucre têtes,1,sucre têtes,304
denrées des Îles rocou,1,rocou,995
denrées des Îles sucre brun,3,sucre brun,43
denrées diverses réunies,1,divers,40
denrées du crû des Isles d'Amérique provenant de la vente aux dites Isles des nègres de Guinée,1,marchandises des Îles,5
denrées du crû des Isles d'Amérique provenant de la vente aux dites Isles des nègres de Sénégal,1,marchandises des Îles,5
dentelle,49,dentelle,53
dentelle à peu de soie,2,dentelle à peu de soie,2
dentelle blanche,2,dentelle blanche,2
dentelle blonde de soie,1,dentelle blonde de soie,1
dentelle commune,45,dentelle commune,45
dentelle d'Alençon,1,dentelle d'Alençon,1
dentelle d'Andelys,1,dentelle d'Andelys,1
dentelle d'argent,16,dentelle d'argent,16
dentelle d'argent faux,4,dentelle d'argent faux,4
dentelle d'argent fin,4,dentelle d'argent fin,4
dentelle d'or,8,dentelle d'or,8
dentelle d'or et d'argent,3,dentelle d'or et d'argent,3
dentelle d'or et d'argent faux,2,dentelle d'or et d'argent faux,2
dentelle d'or faux,2,dentelle d'or faux,2
dentelle d'or fin,1,dentelle d'or fin,3
dentelle de Bretagne,2,dentelle de Bretagne,2
dentelle de Caen,17,dentelle de Caen,17
dentelle de Dieppe,1,dentelle de Dieppe,1
dentelle de fer,1,dentelle de fer,1
dentelle de fil,205,dentelle de fil,209
dentelle de fil 2 lignes,1,dentelle de fil 2 lignes,1
dentelle de fil blanc,35,dentelle de fil blanc,36
dentelle de fil blanc commune,1,dentelle de fil blanc commune,1
dentelle de fil blanc de Lille,1,dentelle de fil blanc de Lille,1
dentelle de fil commun,1,dentelle de fil commune,9
dentelle de fil commune,7,dentelle de fil commune,9
dentelle de fil d'Alençon,1,dentelle de fil d'Alençon,1
dentelle de fil de ??? et Reims,2,dentelle de fil de ??? et Reims,2
dentelle de fil de Bergame,1,dentelle de fil de Bergame,1
dentelle de fil de Caen,3,dentelle de fil de Caen,3
dentelle de fil de crin,1,dentelle de fil de crin,1
dentelle de fil de fil,1,dentelle de fil,209
dentelle de fil de Flandre,3,dentelle de fil de Flandre,3
dentelle de fil de laine,1,dentelle de fil de laine,1
dentelle de fil de lin,1,dentelle de fil de lin,1
dentelle de fil de Normandie,1,dentelle de fil de Normandie,1
dentelle de fil de soie,1,dentelle de fil de soie,1
dentelle de fil diverse,1,dentelle de fil,209
dentelle de fil dorure d'argent,1,dentelle de fil dorure d'argent,1
dentelle de fil dorure d'or faux,1,dentelle de fil d'or faux,1
dentelle de fil dorure d'or fin,1,dentelle de fil d'or fin,1
dentelle de fil du Puy,10,dentelle de fil du Puy,10
dentelle de fil du Puy et ???,2,dentelle de fil du Puy et ???,2
dentelle de fil et de soie,1,dentelle de fil et de soie,1
dentelle de fil et soie,4,dentelle de fil et soie,4
dentelle de fil et tulle,1,dentelle de fil et tulle,1
dentelle de fil et Valenciennes,3,dentelle de fil et Valenciennes,3
dentelle de fil fin,2,dentelle de fil fine,11
dentelle de fil fine,9,dentelle de fil fine,11
dentelle de fil grosse,4,dentelle de fil grosse,8
dentelle de fil grossier,1,dentelle de fil grosse,8
dentelle de Flandre,7,dentelle de Flandre,7
dentelle de France,1,dentelle de France,1
dentelle de gaze,1,dentelle de gaze,1
dentelle de Gisors,1,dentelle de Gisors,1
dentelle de Lille,2,dentelle de Lille,2
dentelle de lin et de chanvre,1,dentelle de chanvre et de lin,4
dentelle de Malines,3,dentelle de Malines,3
dentelle de Normandie,2,dentelle de Normandie,2
dentelle de pays,2,dentelle de pays,2
dentelle de Puy,1,dentelle du Puy,173
dentelle de Rouen,1,dentelle de Rouen,1
dentelle de soie,192,dentelle de soie,192
dentelle de soie au quart,1,dentelle de soie au quart,1
dentelle de soie blanche,3,dentelle de soie blanche,3
dentelle de soie blonde,3,dentelle de soie blonde,10
dentelle de soie de Rouen,3,dentelle de soie de Rouen,3
dentelle de soie dite blonde,4,dentelle de soie blonde,10
dentelle de soie et blonde,2,dentelle de soie blonde,10
dentelle de soie et fil,1,dentelle de soie et de fil,1
dentelle de soie noire,1,dentelle de soie noire,1
dentelle de toute autre sorte que soie,1,dentelle de toute autre sorte que soie,1
dentelle diverse,3,dentelle,53
dentelle dorure d'argent,3,dentelle dorure d'argent,3
dentelle dorure d'or,2,dentelle dorure d'or,2
dentelle dorure d'or et argent,1,dentelle dorure d'argent et d'or,5
dentelle dorure d'or faux,1,dentelle dorure d'or faux,1
dentelle dorure d'or fin,2,dentelle d'or fin,3
dentelle dorure or et argent,4,dentelle dorure d'argent et d'or,5
dentelle du Havre,14,dentelle du Havre,14
dentelle du pays,2,dentelle du pays,2
dentelle du Puy,172,dentelle du Puy,173
dentelle du Puy en soie,1,dentelle du Puy en soie,1
dentelle en coiffures et manchettes,1,dentelle en coiffures et manchettes,1
dentelle en dorure,2,dentelle en dorure,2
dentelle et blonde,1,dentelle et blonde,1
dentelle fil blanc,1,dentelle de fil blanc,36
dentelle fil commune,1,dentelle de fil commune,9
dentelle fil grosse,1,dentelle de fil grosse,8
dentelle fine,29,dentelle fine,29
dentelle grosse,3,dentelle grosse,8
dentelle grosse de fil,2,dentelle de fil grosse,8
dentelle grossière,4,dentelle grosse,8
dentelle mi soie,3,dentelle mi soie,3
dentelle mignonette,1,mignonette,1
dentelle moyenne,1,dentelle moyenne,1
dentelle or et argent,23,dentelle d'argent et d'or,23
dentelle or et argent faux,2,dentelle d'argent et d'or faux,2
dentelle or et argent fin,2,dentelle d'or et d'argent fin,2
dents à éléphant,1,dents d'éléphant,239
dents cheval marin,1,dents de cheval marin,3
dents d'éléphant,130,dents d'éléphant,239
dents d'éléphant entières,1,dents d'éléphant entières,1
dents d'éléphant entières des entrepôts,1,dents d'éléphant entières des entrepôts,1
dents d'éléphant sciées,2,dents d'éléphant sciées,2
dents d'éléphants,42,ivoire,59
dents de cheval marin,2,dents de cheval marin,3
dents de chien marin,2,dents de chien marin,2
dents de morphil,78,dents d'éléphant,239
dents de vache marine,9,dents de vache marine,9
derle,1,derle,3
derle ou terre à porcelaine,2,derle,3
dés,1,dés,1
dés à coudre,21,dés à coudre,21
dés à coudre de cuivre,1,dés à coudre de cuivre,6
dés à coudre de cuivre et fer,1,dés à coudre de cuivre et fer,1
dés à jouer,13,dés à jouer,13
dés d'acier,4,dés d'acier,4
dés de cuivre,29,dés de cuivre,31
dès de cuivre,1,dés de cuivre,31
dés de cuivre à coudre,4,dés à coudre de cuivre,6
dés de fer,25,dés de fer,26
dès de fer,1,dés de fer,26
dés de fer à coudre,3,dés à coudre de fer,4
dés de laiton,8,dés de laiton,9
dès de laiton,1,dés de laiton,9
dés en cuivre,1,dés de cuivre,31
déserteur,1,déserteur,1
déshabillé,1,déshabillé,1
despeigne,1,despeigne,1
dessins de papier,1,dessins de papier,1
dessus de souliers brodés,2,dessus de souliers brodés,2
dessus de table de marbre,1,dessus de table de marbre,1
devant d'autel,1,devant d'autel,1
devant de vestes,1,devant de vestes,1
devant de vestes de basin,1,devant de vestes de basin,1
dévidoir,2,dévidoir,2
diactamy en fleurs,1,diactamy en fleurs,1
diagrede,1,diagrede,1
dialbequier,1,dialbequier,1
diamants,1,diamants,1
diamants bruts,1,diamants bruts,2
diamants fins,2,diamants fins,2
diamants taillés,1,diamants taillés,3
dictame,12,dictame,12
dictionnaire du commerce,1,dictionnaire du commerce,1
dictionnaire hollandais,1,dictionnaire hollandais,1
différentes marchandises,1,marchandises,1109
différentes marchandises pour la traite des noirs,1,marchandises pour la traite,2
dimelle,1,dimelle,1
dindes,4,dindes,5
dindonneaux,10,dindonneaux,10
dindons,17,dindons,35
dissouchaye,30,dissouchaye,30
distillats,1,distillats,1
ditors,1,ditors,1
divers,3,divers,40
divers articles,1,divers,40
divers effets,1,habits,105
divers en mercerie etc.,1,mercerie,2070
divers fruits sec tels que figue et pruneaux etc.,1,fruits secs,202
divers grains,1,grains,4
divers gros et menus ouvrages de bois,1,ouvrages de bois,230
divers marchandises,1,marchandises,1109
divers petits objets,2,marchandises,1109
diverses marchandises,2,marchandises,1109
diverses marchandises permises,1,marchandises permises,3
diverses marchandises sèches,1,marchandises sèches,16
diverses provisions,1,provisions,24
dividivi,1,dividivi,1
doloirs,1,doloirs,1
domino,2,domino,2
dominoterie,39,dominoterie,41
dominoterie en images,5,dominoterie en images,9
dominoterie et cartes géographiques,2,dominoterie et cartes géographiques,2
dominoterie images,4,dominoterie en images,9
doréas,5,doréas,5
doréas brodées en couleur,1,doréas brodées en couleur,1
doréas de Zurich,3,doréas de Zurich,3
dorpins en pierre,1,dorpins en pierre,1
dorure,12,dorure,12
dorure ??? en faux,1,dorure fausse,33
dorure de Zurich,1,dorure de Zurich,1
dorure en paillettes faux,1,dorure fausse en paillettes,1
dorure fausse,32,dorure fausse,33
dorure fausse en or et argent,1,dorure fausse en or et argent,1
dorure fausse en or et argent battu tiré et laminé,2,dorure fausse en or et argent battu tiré et laminé,2
dorure filée,2,fil de dorure,2
dorure fine,293,dorure fine,295
dorure fine en galon,4,dorure en galon fine,4
dorure fine en galon d'or,1,dorure fine en galon d'or,1
dorure fine et fausse,1,dorure fausse et fine,1
dorure fine sur soie,1,dorure fine sur soie,1
dos ventres et gorges de petit-gris,1,dos gorges et ventres de petit gris,1
dos ventres et gorges de renards martes et fouines,1,dos gorges et ventres de fouines martes et renard,1
dospin en pierre,2,dospin en pierre,2
dossiers de chaises,9,dossiers de chaises,9
doublure de petis gris,1,doublures de petis gris,1
doublures de martre pour habits,1,doublures de martre pour habits,1
douelles,20,douelles,61
douelles à barils,10,douelles à barils,16
douelles à barricage,1,douelles à barricages,2
douelles à barriques,21,douelles à barriques,68
douelles à barriques neuves,1,douelles à barriques neuves,1
douelles à barriques vieilles,2,douelles à barriques vieilles,3
douelles à bure,1,douelles à bure,1
douelles à caves,1,douelles à cave,1
douelles à cuve,1,douelles à cuve,1
douelles à faire barriques,1,douelles à barriques,68
douelles à fonds,8,douelles à fond,11
douelles à pièces,1,douelles à pièce,1
douelles à pipes,12,douelles à pipes,61
douelles à poinçons,1,douelles à poinçons,1
douelles à quart,4,douelles à quart,5
douelles à tierçons,1,douelles à tierçons,3
douelles à tonneaux,147,douelles à tonneau,156
douelles à tonneaux vieilles,1,douelles à tonneau vieilles,1
douelles barriques,4,douelles à barriques,68
douelles de chêne,2,douelles de chêne,2
douelles de chêne de 3 pieds,1,douelles de chêne de 3 pieds,1
douelles de chêne de 4 pieds,1,douelles de chêne de 4 pieds,1
douelles de chêne de 5 pieds,1,douelles de chêne de 5 pieds,1
douelles de sapin,10,douelles de sapin,10
douelles de sapin de 3 pieds,1,douelles de sapin de 3 pieds,1
douelles de tonneaux,1,douelles à tonneau,156
douelles fonçaille,1,douelles fonçaille,5
douelles pour fonds,1,douelles pour fonds,1
douelles vieilles,3,douelles vieilles,3
