goods_simpl_classification,nbr_occurences_simpl,canada_classification,details_provenance,obsolete,imports_des_colonies,nbr_occurences_canada
arçons de selles,14,,,non,0,386384
arçons démontés,1,,,non,0,386384
ardoise,365,,,non,0,386384
ardoise à piler,1,,,non,0,386384
ardoise commune,2,,,non,0,386384
ardoise dite chérubin et à mortier,1,,,non,0,386384
ardoise dite grande voisine,1,,,non,0,386384
ardoise dite moyenne voisine,1,,,non,0,386384
ardoise dite petite voisine,1,,,non,0,386384
ardoise dite voisine grande moyenne et petite,2,,,non,0,386384
ardoise en carreaux,1,,,non,0,386384
ardoise en carreaux et d'1 pied carré,1,,,non,0,386384
ardoise en carreaux ou en table,7,,,non,0,386384
ardoise en livret,1,,,non,0,386384
ardoise encadrée,1,,,non,0,386384
ardoise encadrée et en livret,1,,,non,0,386384
ardoise non travaillée,1,,,non,0,386384
ardoise pour fenêtre,6,,,non,0,386384
ardoise pour toiture,8,,,non,0,386384
ardoise pour toiture au kilogramme,1,,,non,0,386384
ardoise pour toiture au nombre,2,,,non,0,386384
ardoise verte,1,,,non,0,386384
ardoises,0,,,oui,0,386384
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,Hors Canada,,non,0,154362
arelles de baleine,1,,,non,,386384
argent,11,,,non,0,386384
argent battu,1,,,non,0,386384
argent battu et en feuille,2,,,non,0,386384
argent battu filé laminé et tiré,3,,,non,0,386384
argent brisé et en lingots et en masses,1,,,non,0,386384
argent brûlé,1,Hors Canada,,non,1,154362
argent brut,1,,,non,0,386384
argent brut en lingot et en masse ouvrages détruits,2,,,non,0,386384
argent carragoux,2,,,non,0,386384
argent en barils,1,,,non,0,386384
argent en barres,2,,,non,0,386384
argent en lingots,18,,,non,0,386384
argent en lingots par Calais,1,,,non,0,386384
argent et d'or,0,,,oui,0,386384
argent et or,237,Hors Canada,,non,1,154362
argent et or billon,1,,,non,0,386384
argent faux,9,,,non,0,386384
argent faux en fil cantilles etc.,2,,,non,0,386384
argent faux et or faux,53,,,non,0,386384
argent faux et or faux traits,1,,,non,0,386384
argent fin,1,,,non,0,386384
argent monnayé et nogat d'or,4,,,non,0,386384
argent talari,0,,,oui,0,386384
argent vif,3,,,non,0,386384
argenterie,732,Hors Canada,,non,1,154362
argenterie épée,7,,,non,0,386384
argenterie et bijouterie,14,,,non,0,386384
argenterie et bijouterie et orfèvrerie,1,,,non,0,386384
argenterie et orfévrerie,0,,,oui,0,386384
argenterie et orfèvrerie,122,,,non,0,386384
argenterie et orfèvrerie vermeil,37,,,non,0,386384
argenterie neuve,4,,,non,0,386384
argenterie vieille,12,Hors Canada,,non,1,154362
argile et terre pour engrais,15,,,non,0,386384
arins,1,,,non,0,386384
aristoloche,68,,,non,0,386384
armement de tables,3,,,non,0,386384
armes,251,,,non,1,386384
armes à feu,368,,,non,0,386384
armes à feu de guerre,2,,,non,0,386384
armes à feu de guerre et de traite,1,,,non,0,386384
armes à feu de guerre portatives,2,,,non,0,386384
armes à feu de luxe,4,,,non,0,386384
armes à feu de luxe ou de traite,3,,,non,0,386384
armes à feu de munitions,2,,,non,0,386384
armes à feu de munitions fines,4,,,non,0,386384
armes à feu de traite,1,,,non,0,386384
armes à feu et artillerie,1,,,non,0,386384
armes à feu et de traite,1,,,non,0,386384
armes à feu et fusils,1,,,non,0,386384
armes armureries,1,,,non,,386384
armes autres que de guerre à feu,1,,,non,0,386384
armes autres que de guerre blanches,1,,,non,0,386384
armes blanches,201,,,non,0,386384
armes blanches de guerre,1,,,non,0,386384
armes blanches de guerre et de traite,1,,,non,0,386384
armes blanches de luxe,2,,,non,0,386384
armes blanches de luxe ou de traite,3,,,non,0,386384
armes blanches de traite,1,,,non,0,386384
armes de chasse ou de luxe à feu,2,,,non,0,386384
armes de chasse ou de luxe blanches,2,,,non,0,386384
armes de guerre,2,,,non,0,386384
armes différentes,1,,,non,0,386384
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,,,non,0,386384
armes et munitions,9,,,non,0,386384
armes lames,1,,,non,0,386384
armes remontrances,1,,,non,0,386384
armoires,57,,,non,0,386384
armoires ayant servi,1,,,non,0,386384
armoires d'acajou,12,,,non,1,386384
armoires de bois,1,,,non,0,386384
armoires de bois de noyer,1,,,non,0,386384
armoires de bois de sapin peintes,1,,,non,0,386384
armoires de bois des Indes,1,,,non,0,386384
armoires de chêne,9,,,non,0,386384
armoires de chêne ornée,1,,,non,0,386384
armoires de noyer,9,,,non,0,386384
armoires de sapin,3,,,non,0,386384
armoires et commodes,1,,,non,0,386384
armoires vieilles,2,,,non,0,386384
armoisin,46,,,non,0,386384
armure de fer,1,,,non,0,386384
armure vieille,1,,,non,0,386384
arnas,1,,,non,0,386384
arpois,1,,,non,0,386384
arquebuse,1,,,non,0,386384
arrangas,1,,,non,0,386384
arrosoirs,6,,,non,0,386384
arrosoirs de bois,2,,,non,0,386384
arrosoirs de cuivre,1,,,non,0,386384
arrosoirs de fer,1,,,non,,386384
arrosoirs de fer-blanc,6,,,non,0,386384
arrosoirs de sapin,1,,,non,0,386384
arrosoirs de terre,1,,,non,0,386384
arrowroot,1,,,non,0,386384
arséniate de potasse,2,,,non,0,386384
arsenic,411,,,non,0,386384
arsenic métallique,6,,,non,0,386384
artichauts,78,,,non,0,386384
artichauts champignons et truffes,2,,,non,0,386384
artichauts confits,68,,,non,0,386384
artichauts frais,17,,,non,0,386384
artichauts marinés,2,,,non,0,386384
artichauts secs,6,,,non,0,386384
artifice,5,,,non,0,386384
artifice fusées etc.,1,,,non,0,386384
artillerie,6,,,non,0,386384
asa fœtida,123,,,non,1,386384
asperges,9,,,non,0,386384
asperges confites,1,,,non,0,386384
asperges et scorsonères,1,,,non,0,386384
asphaltum,19,,,non,0,386384
assiette,1,,,non,0,386384
assiette de Biarritz,1,,,non,0,386384
assiette de bois,1,,,non,0,386384
assiette de faïence,8,,,non,0,386384
assiette de porcelaine,3,,,non,0,386384
assiette de porcelaine des Indes,1,,,non,0,386384
assiette de terre,6,,,non,0,386384
assiette et plats de terre,1,,,non,0,386384
asustum,1,,,non,0,386384
atastes,1,,,non,0,386384
atlas,2,,,non,0,386384
atlas à la feuille d'or,1,,,non,,386384
atlas et instruments de marine,1,,,non,0,386384
atlas jaspé,1,,,non,,386384
attaches de cuivre,1,,,non,0,386384
attelles de colliers,14,,,non,0,386384
aube,1,,,non,0,386384
auchinoise,2,,,non,0,386384
auclimes,2,,,non,0,386384
auf,117,,,non,0,386384
auf ouvré,0,,,oui,0,386384
auf travaillé,0,,,oui,0,386384
auf travaillé en cordes,0,,,oui,0,386384
augemy,2,,,non,0,386384
auges,3,,,non,0,386384
auges de carreaux,2,,,non,0,386384
augustins,2,,,non,0,386384
aurcsats,1,,,non,0,386384
