goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
creusets de terre cuite,8,Pas grain (0),non,539069
creusets et figures de pierre,1,Pas grain (0),non,539069
cribles,56,Pas grain (0),non,539069
cribles à blé,1,Pas grain (0),non,539069
cribles de bois,2,Pas grain (0),non,539069
cribles de fil de laiton,1,Pas grain (0),non,539069
cribles de laiton à café,1,Pas grain (0),non,539069
cribles et bluteaux de moulins,1,Pas grain (0),non,539069
cribles petits,1,Pas grain (0),non,539069
crics,57,Pas grain (0),non,539069
crics de fer,33,Pas grain (0),non,539069
crin,832,Pas grain (0),non,539069
crin à cordonnier,1,Pas grain (0),non,539069
crin à pêcher,1,Pas grain (0),non,539069
crin apprêté,5,Pas grain (0),non,539069
crin apprêté et frisé,5,Pas grain (0),non,539069
crin brut,13,Pas grain (0),non,539069
crin brut de cheval,1,Pas grain (0),non,539069
crin de cheval,78,Pas grain (0),non,539069
crin de cheval griporé,1,Pas grain (0),non,539069
crin de chèvre,1,Pas grain (0),non,539069
crin filé,0,Pas grain (0),oui,539069
crin frisé,85,Pas grain (0),non,539069
crin plan,1,Pas grain (0),non,539069
crin plat,18,Pas grain (0),non,539069
crin pour habit d'homme,1,Pas grain (0),non,539069
crin pour la Compagnie des Indes,1,Pas grain (0),non,539069
crin tanné,1,Pas grain (0),non,539069
crin vieux,1,,non,1391
crinières,2,Pas grain (0),non,539069
crise,1,Pas grain (0),non,539069
cristal,241,Pas grain (0),non,539069
cristal brut,16,Pas grain (0),non,539069
cristal cru,1,Pas grain (0),non,539069
cristal d'office,14,Pas grain (0),non,539069
cristal de roche,4,Pas grain (0),non,539069
cristal de roche brut,1,Pas grain (0),non,539069
cristal de Rouen,1,Pas grain (0),non,539069
cristal de tartot,1,Pas grain (0),non,539069
cristal de tartre,22,Pas grain (0),non,539069
cristal et verres à boire à vitre,2,Pas grain (0),non,539069
cristal fondu,1,Pas grain (0),non,539069
cristal minéral,4,Pas grain (0),non,539069
cristal taillé,62,Pas grain (0),non,539069
cristallin,3,Pas grain (0),non,539069
cristaux,3,Pas grain (0),non,539069
croc,1,Pas grain (0),non,539069
croc de fer à morue,1,Pas grain (0),non,539069
crochets de bois,2,Pas grain (0),non,539069
crochets de fer,2,Pas grain (0),non,539069
crockfish,0,Pas grain (0),oui,539069
crocus,1,Pas grain (0),non,539069
croisé de coton,1,Pas grain (0),non,539069
croisé noir,1,Pas grain (0),non,539069
croix à pierres fausses,2,Pas grain (0),non,539069
croix d'argent,3,Pas grain (0),non,539069
croix d'argent neuve,1,Pas grain (0),non,539069
croix d'argent pour église,1,Pas grain (0),non,539069
croix d'ivoire,2,Pas grain (0),non,539069
croix d'or,1,,non,1391
croix de cuivre,2,Pas grain (0),non,539069
croix de cuivre argenté,1,Pas grain (0),non,539069
croix de grenat,1,Pas grain (0),non,539069
croix de gresse,1,Pas grain (0),non,539069
crons et débris de maison,1,Pas grain (0),non,539069
cruches,1,Pas grain (0),non,539069
cruches de Cologne,1,Pas grain (0),non,539069
cruches de fer,2,Pas grain (0),non,539069
cruches de grès,29,Pas grain (0),non,539069
cruches de terre,12,Pas grain (0),non,539069
crucifix,1,Pas grain (0),non,539069
crucifix de bronze,1,Pas grain (0),non,539069
crucifix de marbre,1,Pas grain (0),non,539069
crussets,0,Pas grain (0),oui,539069
crustas,1,Pas grain (0),non,539069
cubeber,16,Pas grain (0),non,539069
cuillères à canons,1,,non,1391
cuillères à sucre,5,Pas grain (0),non,539069
cuillères de bois,30,Pas grain (0),non,539069
cuillères de bois pour pots,2,Pas grain (0),non,539069
cuillères de buis,5,Pas grain (0),non,539069
cuillères de fer,20,Pas grain (0),non,539069
cuillères de laiton,2,Pas grain (0),non,539069
cuillères et fourches d'argent,1,,non,1391
cuillères et fourchettes de cuivre argenté,3,Pas grain (0),non,539069
cuilles de bois,0,Pas grain (0),oui,539069
cuir de cheval tanné,0,Pas grain (0),oui,539069
cuirasses,1,Pas grain (0),non,539069
cuireaux de mouton à faire colle,2,Pas grain (0),non,539069
cuirs,75,Pas grain (0),non,539069
cuirs ??? en poil,1,Pas grain (0),non,539069
cuirs à pompe,4,,non,1391
cuirs à semelle,1,Pas grain (0),non,539069
cuirs à soutirer le vin,1,Pas grain (0),non,539069
cuirs apprêtés,308,Pas grain (0),non,539069
cuirs apprêtés de bœuf en poil,2,Pas grain (0),non,539069
cuirs apprêtés de vache,8,Pas grain (0),non,539069
cuirs avariés tannés,1,Pas grain (0),non,539069
cuirs bannettes secs en poil,1,Pas grain (0),non,539069
cuirs blancs,1,Pas grain (0),non,539069
cuirs bruts,1,Pas grain (0),non,539069
cuirs bruts tannés,1,Pas grain (0),non,539069
cuirs cannelés,2,Pas grain (0),non,539069
cuirs corroyés,14,Pas grain (0),non,539069
cuirs corroyés de vache,129,Pas grain (0),non,539069
cuirs corroyés et tannés,1,Pas grain (0),non,539069
cuirs crus et à poil,1,Pas grain (0),non,539069
cuirs d'Amérique d'Afrique et de Barbarie en poil,1,Pas grain (0),non,539069
cuirs d'Andrinople,2,,non,1391
cuirs d'âne,15,Pas grain (0),non,539069
cuirs d'âne en poil,12,Pas grain (0),non,539069
cuirs d'âne tannés,1,Pas grain (0),non,539069
cuirs d'empeignes,1,Pas grain (0),non,539069
cuirs d'Espagne,1,Pas grain (0),non,539069
cuirs d'Espagne dit maroquins,1,Pas grain (0),non,539069
cuirs d'Inde,1,Pas grain (0),non,539069
cuirs d'Irlande,1,Pas grain (0),non,539069
cuirs de ??? de poil,1,Pas grain (0),non,539069
cuirs de bœuf,30,Pas grain (0),non,539069
cuirs de bœuf apprêtés,35,Pas grain (0),non,539069
cuirs de bœuf apprêtés demi pièce,1,Pas grain (0),non,539069
cuirs de bœuf apprêtés et tannés,1,Pas grain (0),non,539069
cuirs de bœuf au poil,1,Pas grain (0),non,539069
cuirs de bœuf corroyés,12,Pas grain (0),non,539069
cuirs de bœuf d'Illinois,1,Pas grain (0),non,539069
cuirs de bœuf de Russie,1,Pas grain (0),non,539069
cuirs de bœuf en poil,1194,Pas grain (0),non,539069
cuirs de bœuf en poil et cuir de vache en poil,0,Pas grain (0),oui,539069
cuirs de bœuf en poil et cuirs de vache en poil,11,Pas grain (0),non,539069
cuirs de bœuf en poil et secs,3,Pas grain (0),non,539069
cuirs de bœuf en poil et verts,2,Pas grain (0),non,539069
cuirs de bœuf en poil tannés,1,Pas grain (0),non,539069
cuirs de bœuf en poil testes,0,Pas grain (0),oui,539069
cuirs de bœuf en poil têtes,8,Pas grain (0),non,539069
cuirs de bœuf et vache apprêtés,1,Pas grain (0),non,539069
cuirs de bœuf ou vache,8,Pas grain (0),non,539069
cuirs de bœuf passés en Hongrie,3,Pas grain (0),non,539069
cuirs de bœuf salé,3,Pas grain (0),non,539069
cuirs de bœuf secs,2,Pas grain (0),non,539069
cuirs de bœuf tannés,891,Pas grain (0),non,539069
cuirs de bœuf tannés et cuir de vache tannés,1,Pas grain (0),non,539069
cuirs de bœuf verts,2,Pas grain (0),non,539069
cuirs de bœufs en poil,40,Pas grain (0),non,539069
cuirs de buffle,2,Pas grain (0),non,539069
cuirs de buffle en poil,9,Pas grain (0),non,539069
cuirs de buffletin,1,Pas grain (0),non,539069
cuirs de cerf en poil,1,Pas grain (0),non,539069
cuirs de cheval,8,Pas grain (0),non,539069
cuirs de cheval en poil,44,Pas grain (0),non,539069
cuirs de cheval tanné,1,Pas grain (0),non,539069
cuirs de cheval tannés,89,Pas grain (0),non,539069
cuirs de chèvre en poil,1,,non,1391
cuirs de chevreau,1,Pas grain (0),non,539069
cuirs de fer et en poil,1,Pas grain (0),non,539069
cuirs de génisse,30,Pas grain (0),non,539069
cuirs de génisse corroyés,119,Pas grain (0),non,539069
cuirs de génisse en poil,8,Pas grain (0),non,539069
cuirs de génisse tannés,9,Pas grain (0),non,539069
cuirs de Hongrie,35,Pas grain (0),non,539069
cuirs de jument tannés,1,,non,1391
cuirs de loup,1,Pas grain (0),non,539069
cuirs de moscovie,1,Pas grain (0),non,539069
cuirs de mule en poil,1,Pas grain (0),non,539069
cuirs de poil,3,Pas grain (0),non,539069
cuirs de poil et salés,2,Pas grain (0),non,539069
cuirs de Prusse,1,Pas grain (0),non,539069
cuirs de Russie,462,Pas grain (0),non,539069
cuirs de Russie de vache,38,Pas grain (0),non,539069
cuirs de Sardaigne de vache,1,Pas grain (0),non,539069
cuirs de secs en poil,1,Pas grain (0),non,539069
cuirs de Turquie,1,Pas grain (0),non,539069
cuirs de vache,30,Pas grain (0),non,539069
cuirs de vache accoutrées,1,Pas grain (0),non,539069
cuirs de vache apprêtés,7,Pas grain (0),non,539069
cuirs de vache en poil,6,Pas grain (0),non,539069
cuirs de vache lissés,16,Pas grain (0),non,539069
cuirs de vache passés,1,Pas grain (0),non,539069
cuirs de vache petits,1,Pas grain (0),non,539069
cuirs de vache tannés,3,Pas grain (0),non,539069
cuirs dorés,67,Pas grain (0),non,539069
cuirs dorés vieux,1,Pas grain (0),non,539069
cuirs en basanes,2,Pas grain (0),non,539069
cuirs en basannes,0,Pas grain (0),oui,539069
cuirs en bassin,1,Pas grain (0),non,539069
cuirs en bassins,0,Pas grain (0),oui,539069
cuirs en blanc,2,Pas grain (0),non,539069
cuirs en bœuf verts,1,Pas grain (0),non,539069
cuirs en croûte,2,Pas grain (0),non,539069
cuirs en croûte de vache,23,Pas grain (0),non,539069
cuirs en échantillons,1,Pas grain (0),non,539069
cuirs en grains,2,Pas grain (0),non,539069
cuirs en grains de vache,16,Pas grain (0),non,539069
cuirs en poil,454,Pas grain (0),non,539069
cuirs en poil de vache,289,Pas grain (0),non,539069
cuirs en poil salés verts,1,Pas grain (0),non,539069
cuirs en poil tannés,5,Pas grain (0),non,539069
cuirs en poil teints fallon,1,Pas grain (0),non,539069
cuirs en poil verts,45,Pas grain (0),non,539069
cuirs en retail,2,Pas grain (0),non,539069
cuirs en rognures,2,Pas grain (0),non,539069
cuirs en rosette,1,Pas grain (0),non,539069
cuirs en têtes,1,Pas grain (0),non,539069
cuirs et peaux de bœuf et de vache apprêté,54,Pas grain (0),non,539069
cuirs et peaux non apprêtés,18,Pas grain (0),non,539069
cuirs fins en poil,1,,non,1391
cuirs forts,6,Pas grain (0),non,539069
cuirs forts tannés,21,Pas grain (0),non,539069
cuirs génisse corroyés,1,Pas grain (0),non,539069
cuirs gras,1,,non,1391
cuirs jaunes,1,Pas grain (0),non,539069
cuirs non apprêtés,134,Pas grain (0),non,539069
cuirs passés en blanc,1,Pas grain (0),non,539069
cuirs petits des Indes en poil,1,Pas grain (0),non,539069
cuirs petits en poil,2,Pas grain (0),non,539069
cuirs porcs,1,,non,1391
cuirs pour bottes,1,Pas grain (0),non,539069
cuirs pour semelles,1,Pas grain (0),non,539069
cuirs pour soufflets,1,Pas grain (0),non,539069
cuirs pour souliers,1,Pas grain (0),non,539069
cuirs restants,1,Pas grain (0),non,539069
cuirs rouges,2,Pas grain (0),non,539069
cuirs salés,10,Pas grain (0),non,539069
cuirs salés en poil,1,Pas grain (0),non,539069
cuirs salés verts,5,Pas grain (0),non,539069
cuirs secs,5,Pas grain (0),non,539069
cuirs secs en poil,125,Pas grain (0),non,539069
cuirs secs en poil de vache,1,Pas grain (0),non,539069
cuirs secs en poil des Îles,1,Pas grain (0),non,539069
cuirs secs et salés,1,Pas grain (0),non,539069
cuirs secs et tannés,1,Pas grain (0),non,539069
cuirs tannées forts,1,Pas grain (0),non,539069
cuirs tannés,350,Pas grain (0),non,539069
cuirs tannés de vache,452,Pas grain (0),non,539069
cuirs tannés pour empeignes,1,Pas grain (0),non,539069
cuirs tannés pour semelles,1,Pas grain (0),non,539069
cuirs testaux,5,Pas grain (0),non,539069
cuirs tissés de vache,4,Pas grain (0),non,539069
cuirs verts,9,Pas grain (0),non,539069
cuirs vieux,5,Pas grain (0),non,539069
cuisses,4,Pas grain (0),non,539069
cuisses d'oie,223,Pas grain (0),non,539069
cuisses d'oie à la daube,1,Pas grain (0),non,539069
cuisses d'oie en adobe,1,Pas grain (0),non,539069
cuisses d'oie salées,19,Pas grain (0),non,539069
cuivre,686,Pas grain (0),non,539069
cuivre à lessive,1,Pas grain (0),non,539069
cuivre à mitraille,1,Pas grain (0),non,539069
cuivre à monnayer rouge,2,Pas grain (0),non,539069
cuivre allié argenté battu laminé ou tiré,4,Pas grain (0),non,539069
cuivre allié argenté filé sur fil,2,Pas grain (0),non,539069
cuivre allié battu doré laminé et tiré,2,Pas grain (0),non,539069
cuivre allié battu doré laminé ou tiré,2,Pas grain (0),non,539069
cuivre allié bronze en masse,2,Pas grain (0),non,539069
cuivre allié d'étain,3,Pas grain (0),non,539069
cuivre allié d'étain brut,1,Pas grain (0),non,539069
cuivre allié doré filé sur fil,4,Pas grain (0),non,539069
cuivre allié doré filé sur soie,1,Pas grain (0),non,539069
cuivre allié et ouvré dont estagnons contenant des liquides,2,Pas grain (0),non,539069
cuivre allié ouvré,1,Pas grain (0),non,539069
cuivre allié ouvré autrement que battu filé laminé ou tiré,2,Pas grain (0),non,539069
cuivre argenté,12,Pas grain (0),non,539069
cuivre argenté battu laminé ou tiré,3,Pas grain (0),non,539069
cuivre argenté et doré,3,Pas grain (0),non,539069
cuivre argenté et doré et plaqué,37,Pas grain (0),non,539069
cuivre argenté filé sur fil,0,Pas grain (0),oui,539069
cuivre argenté flambeaux,1,Pas grain (0),non,539069
cuivre battu,153,Pas grain (0),non,539069
cuivre battu laminé,1,,non,1391
cuivre battu ou laminé à toutes destinations,1,Pas grain (0),non,539069
cuivre bronzé,1,Pas grain (0),non,539069
cuivre brun,19,Pas grain (0),non,539069
cuivre brun et cuivre rouge,8,Pas grain (0),non,539069
cuivre brut,347,Pas grain (0),non,539069
cuivre brut en pain,1,Pas grain (0),non,539069
cuivre brut et rouge,12,Pas grain (0),non,539069
cuivre clous,1,Pas grain (0),non,539069
cuivre commun,1,Pas grain (0),non,539069
cuivre coulé en barres ou plaques régulières,1,Pas grain (0),non,539069
cuivre cru,1,Pas grain (0),non,539069
cuivre cru en blocs,1,Pas grain (0),non,539069
cuivre cru en masses,1,Pas grain (0),non,539069
cuivre cru ou en plates,1,Pas grain (0),non,539069
cuivre d'argent et doré,1,Pas grain (0),non,539069
cuivre de fer,1,Pas grain (0),non,539069
cuivre de fer en poids,1,Pas grain (0),non,539069
cuivre de fourrure,2,Pas grain (0),non,539069
cuivre de Namur,1,Pas grain (0),non,539069
cuivre de pompe,1,Pas grain (0),non,539069
cuivre de Russie,1,Pas grain (0),non,539069
cuivre doré,78,Pas grain (0),non,539069
cuivre doré battu filé laminé ou tiré,2,Pas grain (0),non,539069
cuivre doré battu laminé ou tiré,1,Pas grain (0),non,539069
cuivre doré filé sur fil,0,Pas grain (0),oui,539069
cuivre en chaudron,0,Pas grain (0),oui,539069
cuivre en coupe,0,Pas grain (0),oui,539069
cuivre en fond et rouge,1,Pas grain (0),non,539069
cuivre en fonte,1,Pas grain (0),non,539069
cuivre en lancher,0,Pas grain (0),oui,539069
cuivre en masse brut mitraille et vieux,1,Pas grain (0),non,539069
cuivre en masse brut ou rouge,1,Pas grain (0),non,539069
cuivre en mitraille et vieux,11,Pas grain (0),non,539069
cuivre en pain,17,Pas grain (0),non,539069
cuivre en plane,1,Pas grain (0),non,539069
cuivre en plats,1,Pas grain (0),non,539069
cuivre en potasse,1,Pas grain (0),non,539069
cuivre en rouleau,2,Pas grain (0),non,539069
cuivre en saumons,1,Pas grain (0),non,539069
cuivre en toupe,1,Pas grain (0),non,539069
cuivre en verdet,1,Pas grain (0),non,539069
cuivre et airain ouvré,1,Pas grain (0),non,539069
cuivre et bronze et laiton,160,Pas grain (0),non,539069
cuivre et pièces de cuivre,1,Pas grain (0),non,539069
cuivre et potin gris,3,Pas grain (0),non,539069
cuivre fer plomb,1,Pas grain (0),non,539069
cuivre filé à toutes destinations,0,Pas grain (0),oui,539069
cuivre filé en barreaux ronds,0,Pas grain (0),oui,539069
cuivre filé pour fabrication d'épingles,0,Pas grain (0),oui,539069
cuivre filé teint,0,Pas grain (0),oui,539069
cuivre forgé,2,Pas grain (0),non,539069
cuivre jaune,94,Pas grain (0),non,539069
cuivre jaune avec calamine,1,Pas grain (0),non,539069
cuivre jaune brun,1,Pas grain (0),non,539069
cuivre jaune brut,9,Pas grain (0),non,539069
cuivre jaune en fourrure,1,,non,1391
cuivre jaune et rouge,9,Pas grain (0),non,539069
cuivre jaune fondu,1,Pas grain (0),non,539069
cuivre jaune non ouvré,2,Pas grain (0),non,539069
cuivre laiton,1,Pas grain (0),non,539069
cuivre laminé,2,Pas grain (0),non,539069
cuivre neuf,40,Pas grain (0),non,539069
cuivre non ouvré,1,Pas grain (0),non,539069
cuivre non ouvré rouge,2,Pas grain (0),non,539069
cuivre ouvré bouilloire,0,Pas grain (0),oui,539069
cuivre ouvré cafetière,0,Pas grain (0),oui,539069
cuivre potier,1,Pas grain (0),non,539069
cuivre pur battu ou laminé,7,Pas grain (0),non,539069
cuivre pur coulé en barres et plaques,2,Pas grain (0),non,539069
cuivre pur coulé en barres et plaques régulières,1,Pas grain (0),non,539069
cuivre pur coulé en masses brutes,5,Pas grain (0),non,539069
cuivre pur en barres et plaques régulières,1,Pas grain (0),non,539069
cuivre pur en masses brutes,2,Pas grain (0),non,539069
cuivre pur filé,0,Pas grain (0),oui,539069
cuivre pur filé non-teint,0,Pas grain (0),oui,539069
cuivre rompu,10,Pas grain (0),non,539069
cuivre rosette,3,Pas grain (0),non,539069
cuivre rouge,119,Pas grain (0),non,539069
cuivre rouge brut,1,Pas grain (0),non,539069
cuivre rouge cru ou en bloc pour Namur,2,Pas grain (0),non,539069
cuivre rouge en chaudière,3,Pas grain (0),non,539069
cuivre rouge neuf,4,Pas grain (0),non,539069
cuivre satin,1,Pas grain (0),non,539069
cuivre sur poil,1,Pas grain (0),non,539069
cuivre tangoul,395,Pas grain (0),non,539069
cuivre vieux,503,Pas grain (0),non,539069
cuivrerie,34,Pas grain (0),non,539069
cullottes,0,,oui,1391
culotte de peau de mouton,0,Pas grain (0),oui,539069
culottes,70,Pas grain (0),non,539069
culottes à nègre,1,Pas grain (0),non,539069
culottes d'étamine,1,Pas grain (0),non,539069
culottes de bouras,2,Pas grain (0),non,539069
culottes de chamois,8,Pas grain (0),non,539069
culottes de chamois garnies de boutons d'argent,1,Pas grain (0),non,539069
culottes de cotonnades,2,Pas grain (0),non,539069
culottes de coutil,1,Pas grain (0),non,539069
culottes de daim,5,Pas grain (0),non,539069
culottes de drap,1,Pas grain (0),non,539069
culottes de fil,1,Pas grain (0),non,539069
culottes de laine,1,Pas grain (0),non,539069
culottes de laine tricotées,2,Pas grain (0),non,539069
culottes de mouton,2,Pas grain (0),non,539069
culottes de panne,2,Pas grain (0),non,539069
culottes de panne ciselée,1,Pas grain (0),non,539069
culottes de peau,37,Pas grain (0),non,539069
culottes de peau d'élan,1,Pas grain (0),non,539069
culottes de peau de daim,4,Pas grain (0),non,539069
culottes de peau de mouton,4,Pas grain (0),non,539069
culottes de peaux,3,Pas grain (0),non,539069
culottes de siamoise,1,Pas grain (0),non,539069
culottes de soie,1,Pas grain (0),non,539069
culottes de toile,13,Pas grain (0),non,539069
culottes de velours,1,Pas grain (0),non,539069
culottes de velours de gueux,1,,non,1391
culs d'artichaut,9,Pas grain (0),non,539069
cumin,340,Pas grain (0),non,539069
cunier,1,Pas grain (0),non,539069
cuny,1,Pas grain (0),non,539069
curcuma,136,Pas grain (0),non,539069
curcuma en poudre,7,Pas grain (0),non,539069
curcuma en racine,7,Pas grain (0),non,539069
curcuma en racine des entrepôts,1,Pas grain (0),non,539069
curcuma moulu,79,Pas grain (0),non,539069
curiosité coquillage,2,Pas grain (0),non,539069
curiosité naturelle,2,Pas grain (0),non,539069
curlas,2,Pas grain (0),non,539069
curous,1,Pas grain (0),non,539069
curtas,5,Pas grain (0),non,539069
curucma moulu,0,Pas grain (0),oui,539069
cuscutes luzerne,1,Pas grain (0),non,539069
custar,3,Pas grain (0),non,539069
custas,15,Pas grain (0),non,539069
custres,1,Pas grain (0),non,539069
cuve,7,Pas grain (0),non,539069
cuve à vin,1,Pas grain (0),non,539069
cuveaux,1,Pas grain (0),non,539069
cuvette de faïence,1,Pas grain (0),non,539069
cuvette de fer-blanc,1,Pas grain (0),non,539069
cuvette de grès,1,,non,1391
cuvettes de marbre ouvré,1,Pas grain (0),non,539069
cuviers,5,Pas grain (0),non,539069
cuviers de terre,8,Pas grain (0),non,539069
cygnes,2,Pas grain (0),non,539069
cygnes en vie,1,Pas grain (0),non,539069
cylindre,4,Pas grain (0),non,539069
cylindre de fer,3,Pas grain (0),non,539069
cymbales,4,Pas grain (0),non,539069
dais,2,Pas grain (0),non,539069
dais ou faux,1,Pas grain (0),non,539069
dais pour église,1,Pas grain (0),non,539069
dalles,5,Pas grain (0),non,539069
damas,78,Pas grain (0),non,539069
Damas,0,Pas grain (0),oui,539069
damas à carreaux mandarine,2,Pas grain (0),non,539069
damas à frange d'argent,2,Pas grain (0),non,539069
Damas à frange d'argent,0,Pas grain (0),oui,539069
damas broché et rayé,2,Pas grain (0),non,539069
damas brodé,1,Pas grain (0),non,539069
Damas caffart,0,Pas grain (0),oui,539069
damas commun,1,Pas grain (0),non,539069
Damas commun,0,Pas grain (0),oui,539069
damas cramoisi,2,Pas grain (0),non,539069
Damas cramoisi,0,Pas grain (0),oui,539069
damas cramoisi de Gênes,1,Pas grain (0),non,539069
damas de 20 aunes,1,Pas grain (0),non,539069
damas de coton et fil,2,Pas grain (0),non,539069
damas de deux couleurs,3,Pas grain (0),non,539069
Damas de deux couleurs,0,Pas grain (0),oui,539069
Damas de faux,0,Pas grain (0),oui,539069
damas de fil,1,Pas grain (0),non,539069
Damas de fil,0,Pas grain (0),oui,539069
Damas de Gênes cramoisi,0,Pas grain (0),oui,539069
damas de la Chine,3,Pas grain (0),non,539069
damas de lin,2,,non,1391
damas de Lucques,1,Pas grain (0),non,539069
Damas de Lucques,0,Pas grain (0),oui,539069
damas de Lyon,3,Pas grain (0),non,539069
Damas de Lyon,0,Pas grain (0),oui,539069
damas de Pékin,1,Pas grain (0),non,539069
damas de retour faute de vente,1,Pas grain (0),non,539069
damas de soie,1,Pas grain (0),non,539069
Damas de soie,9,Pas grain (0),non,539069
damas de Tours,2,Pas grain (0),non,539069
Damas de Tours,0,Pas grain (0),oui,539069
Damas des deux couleurs,0,Pas grain (0),oui,539069
damas des Indes,18,Pas grain (0),non,539069
damas faux,1,Pas grain (0),non,539069
Damas fil et coton,0,Pas grain (0),oui,539069
damas jaune,1,Pas grain (0),non,539069
damas noir,1,Pas grain (0),non,539069
damas pour meubles,2,Pas grain (0),non,539069
damas rayé,3,Pas grain (0),non,539069
damas uni,2,Pas grain (0),non,539069
damas vert,1,Pas grain (0),non,539069
damas violet,1,Pas grain (0),non,539069
damasquette,4,Pas grain (0),non,539069
damasquin,1,Pas grain (0),non,539069
damassin,1,Pas grain (0),non,539069
dame-jeannes,303,Pas grain (0),non,539069
dame-jeannes clissées,16,Pas grain (0),non,539069
dame-jeannes clissées et de verres,8,Pas grain (0),non,539069
dame-jeannes cuivré et de verres,1,Pas grain (0),non,539069
dame-jeannes de grès,3,Pas grain (0),non,539069
dame-jeannes de verre,112,Pas grain (0),non,539069
dame-jeannes de verre de 4 pots,1,Pas grain (0),non,539069
dame-jeannes garnies d'osier,1,Pas grain (0),non,539069
dame-jeannes non clissées,1,Pas grain (0),non,539069
dame-jeannes vides,15,Pas grain (0),non,539069
damoiselle de bois,2,Pas grain (0),non,539069
dareau de laine,1,Pas grain (0),non,539069
dariabadis,4,Pas grain (0),non,539069
darins,23,Pas grain (0),non,539069
dattes,278,Pas grain (0),non,539069
dattes et pistaches,1,Pas grain (0),non,539069
dattes sèches,9,Pas grain (0),non,539069
dattes secs et prunes sèches,11,Pas grain (0),non,539069
daubes,1,Pas grain (0),non,539069
dauphine,38,Pas grain (0),non,539069
de haut,2,Pas grain (0),non,539069
de peu de valeur,2,Pas grain (0),non,539069
de tafia,2,Pas grain (0),non,539069
de ville,2,Pas grain (0),non,539069
débris de vaisseaux et vieux ouvrages de charpente,1,Pas grain (0),non,539069
déchet de laine,2,Pas grain (0),non,539069
déchet de laine bourre lanice tontisse,5,Pas grain (0),non,539069
déchet de pierre,4,Pas grain (0),non,539069
déchets d'animaux et sang de bétail,2,Pas grain (0),non,539069
déchets de laine,2,Pas grain (0),non,539069
déchets de laine entière,1,Pas grain (0),non,539069
déchets de laine lanice,1,Pas grain (0),non,539069
déchets de laine tontisse,1,Pas grain (0),non,539069
décorations pour carrosses,1,Pas grain (0),non,539069
dégras,23,Pas grain (0),non,539069
dégras d'huile,3,Pas grain (0),non,539069
dégras de peau,56,Pas grain (0),non,539069
déjeuner de vermeil,1,Pas grain (0),non,539069
delimineas,1,Pas grain (0),non,539069
demi guinée,1,Pas grain (0),non,539069
demi guinée bleue,2,Pas grain (0),non,539069
demi Guinée bleue,0,Pas grain (0),oui,539069
demi-barriques cerclées de fer,1,Pas grain (0),non,539069
demi-cuirs de bœuf tannés,1,Pas grain (0),non,539069
demi-cuirs tannés de vache,1,Pas grain (0),non,539069
demi-planchs,0,Pas grain (0),oui,539069
Demi-planchs,0,Pas grain (0),oui,539069
demi-soucis,1,,non,1391
demitte,172,Pas grain (0),non,539069
demoiselle,12,Pas grain (0),non,539069
demoiselle de sapin,2,Pas grain (0),non,539069
denrées coloniales,18,Pas grain (0),non,539069
denrées coloniales et épicerie,22,Pas grain (0),non,539069
dentelle,320,Pas grain (0),non,539069
dentelle à peu de soie,3,Pas grain (0),non,539069
dentelle blanche,2,Pas grain (0),non,539069
dentelle blonde de soie,1,Pas grain (0),non,539069
dentelle commune,61,Pas grain (0),non,539069
dentelle d'Alençon,1,Pas grain (0),non,539069
dentelle d'Andelys,1,Pas grain (0),non,539069
dentelle d'argent,22,Pas grain (0),non,539069
dentelle d'argent et d'or,62,Pas grain (0),non,539069
dentelle d'argent et d'or faux,2,Pas grain (0),non,539069
dentelle d'argent faux,5,Pas grain (0),non,539069
dentelle d'argent fin,6,Pas grain (0),non,539069
dentelle d'or,8,Pas grain (0),non,539069
dentelle d'or et d'argent,6,Pas grain (0),non,539069
dentelle d'or et d'argent faux,2,Pas grain (0),non,539069
dentelle d'or et d'argent fin,5,Pas grain (0),non,539069
dentelle d'or faux,4,Pas grain (0),non,539069
dentelle d'or fin,8,Pas grain (0),non,539069
dentelle de Bretagne,2,Pas grain (0),non,539069
dentelle de Caen,18,Pas grain (0),non,539069
dentelle de chanvre et de lin,8,Pas grain (0),non,539069
dentelle de coton et blonde de coton,18,Pas grain (0),non,539069
dentelle de Dieppe,1,Pas grain (0),non,539069
dentelle de fer,1,Pas grain (0),non,539069
dentelle de fil,320,Pas grain (0),non,539069
dentelle de fil 2 lignes,1,Pas grain (0),non,539069
dentelle de fil blanc,318,Pas grain (0),non,539069
dentelle de fil blanc commune,1,Pas grain (0),non,539069
dentelle de fil blanc de Lille,1,Pas grain (0),non,539069
dentelle de fil commune,71,Pas grain (0),non,539069
dentelle de fil d'Alençon,1,Pas grain (0),non,539069
dentelle de fil d'or faux,1,Pas grain (0),non,539069
dentelle de fil d'or fin,2,Pas grain (0),non,539069
dentelle de fil de ??? et Reims,2,Pas grain (0),non,539069
dentelle de fil de Bergame,1,Pas grain (0),non,539069
dentelle de fil de Caen,9,Pas grain (0),non,539069
dentelle de fil de crin,2,Pas grain (0),non,539069
dentelle de fil de Flandre,10,Pas grain (0),non,539069
dentelle de fil de laine,1,Pas grain (0),non,539069
dentelle de fil de lin,1,Pas grain (0),non,539069
dentelle de fil de Normandie,4,Pas grain (0),non,539069
