marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
///Industrie Etrangère///Savons,industrie étrangère savon,,3,9
///Industrie étrangère///Savons,industrie étrangère savon,,6,9
///Industrie Etrangère///Voitures,industrie étrangère voiture,,1,3
///Industrie étrangère///Voitures,industrie étrangère voiture,,2,3
///Industrie générale///Armes,industrie générale armes,,2,2
///Industrie générale///Articles d'industrie réunis,industrie générale articles d'industrie réunis,,35,56
///Industrie Générale///Articles d'industrie réunis,industrie générale articles d'industrie réunis,,21,56
///Industrie générale///Bijouterie,industrie générale bijouterie,,24,30
///Industrie Générale///Bijouterie,industrie générale bijouterie,,6,30
///Industrie générale///Bougie,industrie générale bougie,,1,2
///Industrie Générale///Bougie,industrie générale bougie,,1,2
///Industrie générale///Cauris,industrie générale cauris,,2,3
///Industrie Générale///Cauris,industrie générale cauris,,1,3
///Industrie générale///Chandelle,industrie générale chandelle,,1,2
///Industrie Générale///Chandelles,industrie générale chandelle,,1,2
///Industrie générale///Cordages,industrie générale cordage,,2,3
///Industrie Générale///Cordages,industrie générale cordage,,1,3
///Industrie générale///Dorures fines,industrie générale dorure fine,,17,23
///Industrie Générale///Dorures fines,industrie générale dorure fine,,6,23
///Industrie générale///Esprit de vin,industrie générale esprit-de-vin,,11,14
///Industrie Générale///Esprit de vin,industrie générale esprit-de-vin,,3,14
///Industrie générale///Faience et poterie,industrie générale faïence et poterie,,14,19
///Industrie Générale///Faience et poterie,industrie générale faïence et poterie,,5,19
///Industrie générale///Gants de peau,industrie générale gants de peau,,21,29
///Industrie Générale///Gants de peau,industrie générale gants de peau,,8,29
///Industrie générale///Habillemens et lingerie,industrie générale habillement et lingerie,,22,29
///Industrie Générale///Habillements et lingeries,industrie générale habillement et lingerie,,7,29
///Industrie générale///Horlogerie,industrie générale horlogerie,,15,21
///Industrie Générale///Horlogerie,industrie générale horlogerie,,6,21
///Industrie générale///Jeux de voiles,industrie générale jeux de voile,,2,3
///Industrie Générale///Jeux de voiles,industrie générale jeux de voile,,1,3
///Industrie générale///Librairie,industrie générale librairie,,31,45
///Industrie Générale///Librairie,industrie générale librairie,,14,45
///Industrie Générale///Marchandises des indes,industrie générale marchandises des Indes,,1,1
///Industrie générale///Merceries,industrie générale mercerie,,37,54
///Industrie Générale///Merceries,industrie générale mercerie,,17,54
///Industrie générale///Meubles et glaces,industrie générale meubles et glaces,,28,38
///Industrie Générale///Meubles et glaces,industrie générale meubles et glaces,,10,38
///Industrie Générale///Ouvrages de cruivre doré et argenté,industrie générale ouvrages de cuivre doré et argenté,,4,17
///Industrie générale///Ouvrages de cuir en cordonnerie et sellerie,industrie générale ouvrages de cuir en cordonnerie et sellerie,,9,11
///Industrie Générale///Ouvrages de cuir en cordonnerie et sellerie,industrie générale ouvrages de cuir en cordonnerie et sellerie,,2,11
///Industrie générale///Ouvrages de cuivre doré et argenté,industrie générale ouvrages de cuivre doré et argenté,,13,17
///Industrie générale///Ouvrages de modes et fleurs artificielles,industrie générale ouvrages de modes et fleurs artificielles,,24,32
///Industrie Générale///Ouvrages de modes et fleurs artificielles,industrie générale ouvrages de modes et fleurs artificielles,,8,32
///Industrie générale///Ouvrages de terre cuite,industrie générale ouvrages de terre cuite,,1,1
///Industrie générale///Ouvrages divers,industrie générale ouvrages divers,,22,22
///Industrie Générale///Ouvrages divers en bois et futailles vuides,industrie générale ouvrages divers en bois et futailles vides,,5,5
///Industrie Générale///Ouvrages en terre cuite,industrie générale ouvrages en terre cuite,,1,1
///Industrie générale///Papier pour tenture,industrie générale papier pour tenture,,6,28
///Industrie générale///Papiers à écrire,industrie générale papier à écrire,,36,51
///Industrie Générale///Papiers à écrire,industrie générale papier à écrire,,15,51
///Industrie générale///Papiers pour tenture,industrie générale papier pour tenture,,14,28
///Industrie Générale///Papiers pour tenture,industrie générale papier pour tenture,,8,28
///Industrie Générale///Parasols,industrie générale parasols,,1,1
///Industrie générale///Parfumerie,industrie générale parfumerie,,21,36
///Industrie Générale///Parfumerie,industrie générale parfumerie,,15,36
///Industrie générale///Passementerie,industrie générale passementerie,,6,8
///Industrie Générale///Passementerie,industrie générale passementerie,,2,8
///Industrie générale///Peaux et pelleteries,industrie générale peaux et pelleterie,,28,40
///Industrie Générale///Peaux et pelleteries,industrie générale peaux et pelleterie,,12,40
///Industrie générale///Porcelaine,industrie générale porcelaine,,13,20
///Industrie Générale///Porcelaine,industrie générale porcelaine,,7,20
///Industrie générale///Poudre à tirer,industrie générale poudre à tirer,,1,3
///Industrie Générale///Poudre à tirer,industrie générale poudre à tirer,,2,3
///Industrie générale///Quincaillerie,industrie générale quincaillerie,,26,40
///Industrie Générale///Quincaillerie,industrie générale quincaillerie,,14,40
///Industrie générale///Savons,industrie générale savon,,30,44
///Industrie Générale///Savons,industrie générale savon,,14,44
///Industrie générale///Tableaux et estampes,industrie générale tableaux et estampes,,12,17
///Industrie Générale///Tableaux et Estampes,industrie générale tableaux et estampes,,5,17
///Industrie générale///Verrerie,industrie générale verrerie,,19,31
///Industrie Générale///Verrerie,industrie générale verrerie,,12,31
///Matière d'Or et d'argent///Monnaies au type étranger,matières d'or et d'argent monnaies au type étranger,,6,7
///Matière d'Or et d'argent///Orfévrerie,matières d'or et d'argent orfévrerie,,16,34
