goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
écorce de grenade,13,0a,x,non,80056
écorce de limon,1,0a,x,non,80056
écorce de limons sec,1,0a,x,non,80056
écorce de Magellan,1,2,x,non,73883
écorce de mandragore,1,2,x,non,73883
écorce de mélisse,1,2,,non,73883
écorce de pin,2,2,x,non,73883
écorce de pin en poussière,1,2,x,non,73883
écorce de pin moulue,7,2,,non,73883
écorce de quinquina,58,2,x,non,73883
écorce de simarouba,1,2,,non,73883
écorce de soie,2,2,x,non,73883
écorce de tilleul,8,2,x,non,73883
écorce de tilleul pour cordages,2,2,,non,73883
écorce pour tanner,19,2,x,non,73883
écorce rayée,1,2,,non,73883
écorce unie,1,2,,non,73883
ecouette,1,???,,non,4790
ecouette de nattes,1,???,,non,4790
écouvillons,1,9c,,non,11345
écrans,2,9c,,non,11345
écrelet,1,0a,,non,80056
écrevisses,2,0a,,non,80056
écrevisses de mer,1,0a,,non,80056
écrevisses de rivière,1,0a,,non,80056
écritoire,7,8,,non,59809
écritoire de chagrin,1,8,x,non,59809
écritoire de corne,1,8,,non,59809
écritoire de maroquin,1,8,x,non,59809
écritoire garni d'or,2,8,,non,59809
écru de cerise,1,???,,non,4790
écuelles de terre,1,6k,,non,17039
écuelles de vermillon,3,6k,,non,17039
écume de verre,1,???,,non,4790
écumoires à sucre,2,9c,x,non,11345
écus à palmes,1,9a,x,non,1068
édredon,1,8,,non,59809
édredon de plume,7,8,,non,59809
effets de troupes,1,9a,x,non,1068
effilé de fil,14,6i,x,non,21622
effilé de soie,5,6f,x,non,12147
effilé or fil,1,9b,,non,6225
efforces à tondre,1,6j,,non,39131
églefins,2,0a,,non,80056
églefins salés,1,0a,,non,80056
egoutals,1,8,x,non,59809
egoutals de bois,1,6b,x,non,17579
égouttoirs,51,8,,non,59809
égouttoirs à fondre,1,8,,non,59809
égouttoirs de bois,2,8,x,non,59809
egrat,1,???,,non,4790
elatches,18,???,,non,4790
elbots,1,0a,,non,80056
elbots salés,1,0a,,non,80056
elegias,2,???,,non,4790
élixir,51,5,,non,49562
élixir de garus,4,5,x,non,49562
élixir purgatif,1,5,x,non,49562
ellébore,6,2,x,non,73883
ellébore blanc,1,2,x,non,73883
élocs de fer,2,???,x,non,4790
émail,57,6k,x,non,17039
émail brut,2,6k,x,non,17039
emballage,1,9c,,non,11345
embarcations à dépecer,5,7,,non,8907
embarcations avec agrès,20,7,x,non,8907
embarcations en état de servir,2,7,,non,8907
embarcations et autres objets de marine,44,7,x,non,8907
embarcations et navire marchand,0,7,,oui,8907
embarcations et voiles de navire,3,7,,non,8907
émeraudes brutes,1,6k,,non,17039
émeraudes et opales taillées,1,6k,,non,17039
émeraudes taillés,2,6k,,non,17039
émeri,42,2,x,non,73883
émeri en pierre,2,2,,non,73883
émeri en pierres,7,2,,non,73883
émeri en poudre,14,2,x,non,73883
empeignes,5,8,x,non,59809
empeignes brodées,1,8,,non,59809
empeignes brodées pour souliers,1,8,,non,59809
empeignes coupées pour empeignes,1,8,x,non,59809
empeignes de souliers,11,8,,non,59809
empeignes de souliers brodés,1,8,x,non,59809
empeignes de souliers imprimées,1,8,x,non,59809
empeignes de toile,1,8,,non,59809
empeignes et talons de cuir coupés,1,8,,non,59809
empeignes peintes pour souliers,1,8,,non,59809
en bâtiments de mer,1,7,x,non,8907
en pain,1,???,x,non,4790
enamitte,1,???,,non,4790
encens,503,5,x,non,49562
encens commun,3,5,x,non,49562
encens des Indes,1,5,x,non,49562
encens en grabeau,4,5,x,non,49562
encens en poudre,1,5,x,non,49562
encens en poussière,4,5,x,non,49562
enclumes,2,6j,,non,39131
enclumes de fer,111,6j,x,non,39131
enclumes de fer et étaux de fer,1,6j,,non,39131
encoignement,1,???,x,non,4790
encoignures,5,6b,x,non,17579
encoignures de bois vernissé,1,6b,x,non,17579
encre,37,5,x,non,49562
encre à dessiner en tablettes,3,5,,non,49562
encre à écrire,53,5,x,non,49562
encre à écrire et à imprimer,13,5,x,non,49562
encre à imprimer,3,5,x,non,49562
encre commune,1,5,x,non,49562
encre d'imprimerie,9,5,x,non,49562
encre de la Chine,14,5,,non,49562
encre de la petite vertu,1,5,x,non,49562
encre de nankin,2,5,,non,49562
encre glassine,1,5,,non,49562
encre liquide à écrire ou à imprimer,4,5,,non,49562
encre odorante,1,5,,non,49562
encre rouge,4,5,x,non,49562
encrin,1,???,,non,4790
endives,1,0a,,non,80056
engrais,49,2,x,non,73883
engrais colombine,15,2,x,non,73883
engrais divers,1,2,x,non,73883
engrais en court fumier,1,2,,non,73883
engrais en fournelle,1,2,,non,73883
engrais en fumier de rue,1,2,,non,73883
engrais en pourette,1,2,,non,73883
engrais gru,1,2,x,non,73883
entenolles,1,???,,non,4790
épagnolette simple,1,???,,non,4790
épaulettes,1,6i,x,non,21622
épaulettes d'argent,1,6i,x,non,21622
épeautre,1,0a,x,non,80056
épeautre en gerbes,1,0a,x,non,80056
épée,24,8,x,non,59809
épée à garde d'argent,4,8,x,non,59809
épée à garde de cuivre doré,1,8,x,non,59809
épée argentée,1,8,x,non,59809
épée d'acier,2,8,x,non,59809
épée d'argent,33,8,x,non,59809
épée d'argent doré,1,8,x,non,59809
épée d'argent et de cuivre,2,8,x,non,59809
épée d'argent et de cuivre doré,1,8,x,non,59809
épée de cuivre,5,8,x,non,59809
épée de cuivre doré,5,8,x,non,59809
épée masquinée,1,8,x,non,59809
épée montée en acier,1,8,x,non,59809
épée montée en argent,1,8,x,non,59809
éperons,3,7,x,non,8907
éperons et étriers,1,7,x,non,8907
éperviers,1,9c,,non,11345
épice,1,0a,x,non,80056
épice de Curons,3,???,x,non,4790
épicerie,886,9b,x,non,6225
épicerie commune,9,0a,x,non,80056
épicerie douce,9,9b,x,non,6225
épicerie fine,62,0a,,non,80056
épices,1,9b,,non,6225
épices préparées,2,9b,,non,6225
épices préparées autres que moutarde et poudre de kari,1,9b,,non,6225
épices préparées autres que moutarde et sauces épicées,2,9b,,non,6225
epinelle,1,8,x,non,59809
épines à planter,1,???,,non,4790
épinettes,7,8,x,non,59809
épingles,301,6j,x,non,39131
épingles communes,1,6j,,non,39131
épingles de laiton,4,6j,,non,39131
épingles de mercerie fine,17,6j,,non,39131
épingles en cuivre,1,6j,,non,39131
épingoles,3,???,,non,4790
epiterie,7,???,x,non,4790
éponges,599,2,x,non,73883
éponges communes,65,2,x,non,73883
éponges communes et fines,6,2,,non,73883
éponges et tournesol,1,9b,x,non,6225
éponges fines,66,2,x,non,73883
éponges grosses,1,2,,non,73883
épousterie,45,???,,non,4790
éprouvette de cuivre,1,8,,non,59809
équerre,2,8,,non,59809
equeurs,1,???,,non,4790
équille,2,???,,non,4790
équille pour voile pour la Compagnie de Guinée,2,???,,non,4790
equine,2,???,,non,4790
ergots de bœuf,14,2,x,non,73883
ergots de caret,1,2,x,non,73883
érnail,1,6k,x,non,17039
escabelles,2,8,x,non,59809
escamitte,99,6g,x,non,11410
escamotte,4,???,,non,4790
escaralles,1,???,,non,4790
escarasse,29,???,,non,4790
escarbille,1,3,x,non,2999
escargots,3,0a,,non,80056
escargots et crekels,1,???,x,non,4790
escarpins,1,8,x,non,59809
escarpins de chambre,1,8,x,non,59809
escayolles,287,2,,non,73883
esclapes,1,???,,non,4790
esclapes de bois,2,6b,,non,17579
esco,1,???,,non,4790
escope,20,6j,x,non,39131
escortines,6,???,,non,4790
escortines à huile,1,???,,non,4790
escortines d'espars,5,???,,non,4790
escortines de jonc,1,???,,non,4790
escosses,1,???,,non,4790
escot,6,6e,,non,11419
escot de bois,1,6b,,non,17579
escot de fer,6,6j,,non,39131
escot de laine,3,6e,,non,11419
escotins de bois,1,???,,non,4790
espadrilles,4,8,,non,59809
espagnolette,260,6i,x,non,21622
espagnolette à fleurs,1,6i,x,non,21622
espagnolette croisée,119,6e,x,non,11419
espagnolette croisée et simple,3,6e,,non,11419
espagnolette de laine,18,6e,x,non,11419
espagnolette de laine croisée,4,6e,x,non,11419
espagnolette de laine lisse,2,6e,x,non,11419
espagnolette de laine simple,1,6e,x,non,11419
espagnolette des prises,2,6i,x,non,21622
espagnolette simple,83,6i,x,non,21622
espars,384,7,x,non,8907
espars de 10 à 15 pieds,2,7,x,non,8907
espars de 10 pieds,1,7,x,non,8907
espars de 11 à 20 pieds,2,7,,non,8907
espars de 12 à 15 pieds,1,7,x,non,8907
espars de 14 à 16 pieds,1,7,x,non,8907
espars de 14 pieds,1,7,x,non,8907
espars de 15 à 20 pieds,3,7,x,non,8907
espars de 15 à 25 centimètres,3,7,,non,8907
espars de 15 centimètres inclusivement à 25 exclusivement,5,7,,non,8907
espars de 16 à 36 pieds,1,7,,non,8907
espars de 18 à 20 pieds,3,7,x,non,8907
espars de 18 à 36 pieds,1,7,x,non,8907
espars de 18 pieds,6,7,x,non,8907
espars de 20 à 22 pieds,2,7,x,non,8907
espars de 20 à 25 pieds,3,7,x,non,8907
espars de 20 à 25 pieds de long,3,7,,non,8907
espars de 20 à 26 pieds,1,7,x,non,8907
espars de 20 à 30 pieds,1,7,x,non,8907
espars de 20 pieds,3,7,x,non,8907
espars de 24 à 36 pieds,1,7,x,non,8907
espars de 25 à 26 pieds,1,7,x,non,8907
espars de 25 à 30 pieds,4,7,x,non,8907
espars de 26 à 28 pieds,1,7,x,non,8907
espars de 26 pieds,2,7,x,non,8907
espars de 27 pieds,1,7,x,non,8907
espars de 28 à 30 pieds,1,7,x,non,8907
espars de 28 à 36 pieds,1,7,x,non,8907
espars de 28 pieds,1,7,x,non,8907
espars de 30 à 40 pieds,2,7,x,non,8907
espars de 30 pieds,6,7,x,non,8907
espars de 35 à 46,1,7,x,non,8907
espars de 35 pieds,2,7,x,non,8907
espars de 36 à 40 pieds,1,7,,non,8907
espars de 4 à 5 pieds,1,7,,non,8907
espars de 40 à 45 pieds,1,7,x,non,8907
espars de 40 à 50 pieds,3,7,x,non,8907
espars de 40 pieds,1,7,x,non,8907
espars de 45 pieds,1,7,x,non,8907
espars de 5 à 6 pieds,1,7,,non,8907
espars de 55 pieds,1,7,x,non,8907
espars de 56 à 61 pieds,1,7,,non,8907
espars de 8 à 9 pieds,1,7,x,non,8907
espars de différente longueur,5,7,x,non,8907
espars de nitriol,1,???,x,non,4790
espars de sapin,26,7,x,non,8907
espars de sapin de 15 pieds,1,7,x,non,8907
espars de sapin de 18 pieds,1,7,x,non,8907
espars de sapin de 20 pieds,1,7,x,non,8907
espars de sapin de 24 pieds,1,7,,non,8907
espars de sapin de 25 pieds,1,7,x,non,8907
espars de sapin de 30 pieds,1,7,x,non,8907
espars de sapin de 45 pieds,1,7,x,non,8907
espars divers,1,7,x,non,8907
espars doubles,8,7,x,non,8907
espars marmoyées en argent,1,7,x,non,8907
espars petit,2,7,x,non,8907
espars petits,1,7,x,non,8907
espars pour construction,2,7,,non,8907
espars simple,3,7,x,non,8907
espars simples,3,7,x,non,8907
espèce monnayée ???,1,9a,x,non,1068
espèces,42,9a,,non,1068
espèces d'argent,1,9a,,non,1068
espingole,2,???,,non,4790
esponton,4,8,x,non,59809
esprit,1,5,x,non,49562
esprit d'absinthe,1,5,x,non,49562
esprit de bergamote,149,5,x,non,49562
esprit de cédrat,2,5,,non,49562
esprit de citron,128,5,x,non,49562
esprit de coclearia,9,5,x,non,49562
esprit de corne de cerf,3,5,x,non,49562
esprit de coton,1,5,x,non,49562
esprit de feuilles d'orange,1,5,,non,49562
esprit de fil,1,5,x,non,49562
esprit de fleurs d'oranger,9,5,,non,49562
esprit de lavande,1,5,x,non,49562
esprit de limon,4,5,x,non,49562
esprit de miroly,1,5,,non,49562
esprit de myrrhe,1,5,x,non,49562
esprit de myrthe,1,5,,non,49562
esprit de nitre,11,5,x,non,49562
esprit de romarin,4,5,x,non,49562
esprit de sel,14,5,x,non,49562
esprit de sel ammoniac,2,5,x,non,49562
esprit de sel marin,1,5,x,non,49562
esprit de soufre,10,5,x,non,49562
esprit de taffia,2,5,,non,49562
esprit de tamarin,1,5,,non,49562
esprit de vitriol,51,5,x,non,49562
esprit-de-vin,158,5,x,non,49562
esprots,3,0a,,non,80056
esprots fumés,1,0a,,non,80056
espuirie,1,???,,non,4790
esquine,22,2,x,non,73883
essandoles,1,6b,,non,17579
essence,315,5,x,non,49562
essence aromatique,6,5,,non,49562
essence au bruit aromatique,1,5,x,non,49562
essence d'anis,1,5,x,non,49562
essence de bergamote,5,5,x,non,49562
essence de cannelle,6,5,x,non,49562
essence de cendre de bois,1,5,x,non,49562
essence de citron,47,5,x,non,49562
essence de fleurs d'orange,1,5,,non,49562
essence de girofle,6,5,x,non,49562
essence de jasmin,10,5,x,non,49562
essence de lavande,2,5,,non,49562
essence de limon,5,5,x,non,49562
essence de muscade,1,5,,non,49562
essence de paruce,1,5,x,non,49562
essence de pommade,1,5,,non,49562
essence de romarin,1,5,,non,49562
essence de rose,7,5,x,non,49562
essence de soie,1,5,,non,49562
essence de térébenthine,36,5,x,non,49562
essence de térébenthine et huile de térébenthine,85,5,x,non,49562
essence de thym,1,5,x,non,49562
essence de vitriol,15,5,x,non,49562
essence et huile de térébenthine,184,5,,non,49562
essence et pommade,3,5,x,non,49562
essence odoriférante,1,5,x,non,49562
essence ou esprit de citron,1,5,,non,49562
essence vitriolique et vitriol huile,9,5,,non,49562
essieux,1,7,,non,8907
essieux à cabrouets,2,7,x,non,8907
essieux de fer,71,7,x,non,8907
estagnons,4,6j,,non,39131
estagnons de cuivre allié,1,6j,,non,39131
estampes,312,8,x,non,59809
estampes en feuilles,1,8,,non,59809
estampes encadrées,2,8,x,non,59809
estampes et cartes géographiques,14,8,,non,59809
estampes et gravures,43,8,x,non,59809
estampes et images,1,8,,non,59809
estampes et librairie,13,8,,non,59809
estampes et tableaux,336,8,x,non,59809
estampes sur papier,1,8,x,non,59809
estampes sur toile,1,8,x,non,59809
estères,2,8,x,non,59809
estères de jonc,4,8,x,non,59809
estrasse de cocons,1,2,x,non,73883
estrasse de Savoie,1,2,x,non,73883
estrasse de soie,65,2,x,non,73883
esturgeon,31,0a,x,non,80056
esturgeon en adaube,1,0a,,non,80056
esturgeon mariné,4,0a,x,non,80056
esturgeon salé,2,0a,x,non,80056
étain,420,6j,x,non,39131
étain battu,13,6j,x,non,39131
étain battu ou limé,4,6j,,non,39131
étain brut,47,6j,x,non,39131
étain brut d'Inde,1,6j,,non,39131
étain brut d'Inde des entrepôts,1,6j,,non,39131
étain brut en masses ouvrages brisés et saumons,1,6j,,non,39131
étain creux,1,6j,,non,39131
étain d'Angleterre,2,6j,x,non,39131
étain de glaces,36,6j,,non,39131
étain de j ???,1,???,,non,4790
étain de malgue,1,6j,x,non,39131
étain de Melac,11,6j,x,non,39131
étain de retour faute de vente,1,6j,,non,39131
étain des Indes,22,6j,x,non,39131
étain du Pérou,1,6j,,non,39131
étain en bloc,452,6j,x,non,39131
étain en enclumes de fer,1,6j,,non,39131
étain en faux,3,6j,,non,39131
étain en feuilles,12,6j,x,non,39131
étain en lingots,2,6j,x,non,39131
étain en plats,1,6j,x,non,39131
étain en plomb,1,6j,,non,39131
étain en saumon,26,6j,x,non,39131
étain et plomb,18,6j,x,non,39131
étain fin,1,6j,x,non,39131
étain fin en bloc,1,6j,,non,39131
étain neuf,7,6j,x,non,39131
étain non ouvré,14,6j,x,non,39131
étain pour glaces,1,6j,x,non,39131
étain pour soudure,2,6j,x,non,39131
étain rouge,1,6j,,non,39131
étain seringues,2,8,x,non,59809
étain verni,1,6j,,non,39131
étain vieux,88,6j,x,non,39131
étais en bois,1,6b,x,non,17579
etalchasse,3,???,,non,4790
étamette,5,6i,x,non,21622
étamette dauphine casinettes,2,6i,,non,21622
étamine,227,6i,x,non,21622
étamine à bluteau,4,6i,x,non,21622
étamine à passer fromage,1,6i,x,non,21622
étamine à pavillon,13,6i,x,non,21622
étamine à peu de soie,4,6f,x,non,12147
étamine au quart de soie,2,6f,x,non,12147
étamine au sixième de soie,1,6f,,non,12147
étamine aune,1,6i,x,non,21622
étamine avec soie,2,6f,x,non,12147
étamine avec vingt brins de soie,1,6f,x,non,12147
étamine blanche,1,6i,,non,21622
étamine burail,85,6i,x,non,21622
étamine buratée de laine,1,6e,,non,11419
étamine burette,2,6i,,non,21622
étamine commune,1,6i,,non,21622
étamine d'Agen,3,6i,,non,21622
étamine d'Allemagne,2,6i,x,non,21622
étamine d'Amiens,13,6i,x,non,21622
étamine d'argent,2,6i,,non,21622
étamine d'Auvergne,17,6i,,non,21622
étamine de Acims,10,6i,x,non,21622
étamine de belzamine,2,6i,x,non,21622
étamine de laine,645,6e,x,non,11419
étamine de laine d'Angleterre,2,6e,x,non,11419
étamine de laine et de soie,6,6f,x,non,12147
étamine de laine fine,1,6e,,non,11419
étamine de Laval,3,6i,,non,21622
étamine de Nogent,6,6i,x,non,21622
étamine de Noyau,2,6i,x,non,21622
étamine de Reims,214,6i,x,non,21622
étamine de Rouen,1,6i,x,non,21622
étamine de Sainte,1,6i,,non,21622
étamine de soie,7,6f,,non,12147
étamine des prises,3,6i,,non,21622
étamine du Mans,88,6i,x,non,21622
étamine du pays,1,6i,x,non,21622
étamine Maine,1,6i,x,non,21622
étamine mi soie,2,6f,x,non,12147
étamine noire,2,6i,,non,21622
étamine oneraile,1,6i,,non,21622
étamine ouvrée,1,6i,x,non,21622
étamine piquée de soie,1,6f,,non,12147
étamine rayée,3,6i,x,non,21622
étamine virée,1,6i,x,non,21622
étampes,21,6h,,non,16365
étampes de chanvre,1,6h,,non,16365
etatchasse,6,???,,non,4790
étaux,2,6j,,non,39131
étaux de fer,28,6j,x,non,39131
étaux en bâtit pour serruriers,1,6j,,non,39131
étaux ouvragés,1,6j,,non,39131
etaya,1,???,,non,4790
étendards,2,6i,x,non,21622
etendelle,3,6e,x,non,11419
éternelle de coton,1,6g,,non,11410
etocs,4,???,x,non,4790
etocs de fer,13,???,x,non,4790
étocs de fer,12,???,x,non,4790
étoffe,386,6i,x,non,21622
étoffe à carreaux,1,6i,,non,21622
étoffe à carreaux et de toile de coutil,1,6d,x,non,8013
étoffe à galon d'or,1,6i,,non,21622
étoffe à la valeur,2,6i,,non,21622
étoffe à peu,20,6i,x,non,21622
étoffe à peu de soie,135,6f,x,non,12147
étoffe au ??? de soie,4,6h,x,non,16365
étoffe au dessus du sixième de soie,1,6h,,non,16365
étoffe au filoselle,2,6f,x,non,12147
étoffe au poil sorge de Rome,1,???,x,non,4790
étoffe au quart,53,6i,x,non,21622
étoffe au quart de soie,159,6f,x,non,12147
étoffe au sixième,1,6i,x,non,21622
étoffe au sixième de soie,22,6f,x,non,12147
étoffe au sixième de soie en siamoise,2,6f,x,non,12147
étoffe au sixième de soie siamoise,1,6f,x,non,12147
étoffe au tiers de soie,1,6f,x,non,12147
étoffe au-dessus du sixième de soie,1,6f,x,non,12147
étoffe avec argent et or,2,6i,x,non,21622
étoffe avec un brin de soie,2,6f,x,non,12147
étoffe avec vin brin de soie,1,6f,x,non,12147
étoffe brochée d'argent et d'or faux de soie pure,2,6f,,non,12147
étoffe brochée d'argent et d'or fin de soie pure,2,6f,,non,12147
étoffe brochée de coton et de fil siamois,1,6i,,non,21622
étoffe brochée de soie de soie pure,2,6f,,non,12147
étoffe brochée et brodée,2,???,,non,4790
étoffe cotonne,1,6g,,non,11410
étoffe crêpe,1,6i,x,non,21622
étoffe croisée,1,6i,,non,21622
étoffe d'Amiens façonnée,1,6i,x,non,21622
étoffe d'argent,10,6i,x,non,21622
étoffe d'argent d'or et de soie,58,6f,x,non,12147
étoffe d'argent et d'or,192,6i,x,non,21622
étoffe d'argent et d'or faux,3,6i,x,non,21622
étoffe d'argent et d'or fin,4,6i,x,non,21622
étoffe d'argent et de soie,9,6f,x,non,12147
étoffe d'argent et soie,1,6f,,non,12147
étoffe d'argent fil et soie,1,6f,,non,12147
étoffe d'herbes,5,6i,x,non,21622
étoffe d'or,28,6i,x,non,21622
étoffe d'or et de soie,9,6f,x,non,12147
étoffe d'or faux et de soie,1,6f,x,non,12147
étoffe de bourre de soie,7,6f,x,non,12147
étoffe de capiton,4,6f,x,non,12147
étoffe de chanvre,4,6d,x,non,8013
étoffe de chanvre et de fil de lin en toile,12,6h,,non,16365
étoffe de chanvre et de lin en toile diverse,26,6h,,non,16365
étoffe de coton,388,6g,x,non,11410
étoffe de coton ???,2,6g,x,non,11410
étoffe de coton au quart de soie,3,6f,,non,12147
étoffe de coton brillant blanc,1,6g,x,non,11410
étoffe de coton brodé,1,6g,x,non,11410
étoffe de coton de fil,6,6g,x,non,11410
étoffe de coton de fil et de laine,3,6f,,non,12147
étoffe de coton de fil et de soie,7,6i,,non,21622
étoffe de coton de fleuret et de soie,1,6f,,non,12147
étoffe de coton de laine,3,6i,x,non,21622
étoffe de coton de laine et de soie,3,6f,,non,12147
étoffe de coton de quart de soie,1,6f,x,non,12147
étoffe de coton de velours,7,6i,x,non,21622
étoffe de coton des Indes,1,6g,x,non,11410
étoffe de coton en drap,14,6g,x,non,11410
étoffe de coton en soie,8,6f,x,non,12147
étoffe de coton et bonneterie,1,9b,x,non,6225
étoffe de coton et chapeaux,1,9b,x,non,6225
étoffe de coton et de fil,42,6g,x,non,11410
étoffe de coton et de fil de soie,2,6i,,non,21622
étoffe de coton et de fil et de laine et de poil chameau,3,6i,,non,21622
étoffe de coton et de fil et de laine et de poil de chèvre,4,6i,,non,21622
étoffe de coton et de fil mélangés,10,6g,,non,11410
étoffe de coton et de fleuret,3,6i,x,non,21622
étoffe de coton et de laine,22,6i,x,non,21622
étoffe de coton et de laine diverse,1,6i,,non,21622
étoffe de coton et de laine et de filoselle,7,6i,x,non,21622
étoffe de coton et de laine et de soie mélangés,26,6f,,non,12147
étoffe de coton et de laine retour,1,6i,x,non,21622
étoffe de coton et de soie,58,6f,x,non,12147
étoffe de coton et de soie des Indes,1,6f,,non,12147
étoffe de coton et de soie éternelle,1,6f,,non,12147
étoffe de coton et de toile,1,6g,,non,11410
étoffe de coton et drap de coton et velours de coton,15,6g,x,non,11410
étoffe de coton et drap de coton et velours de coton et couvertures de coton,13,6g,,non,11410
étoffe de coton et mercerie,1,6i,,non,21622
étoffe de coton et pellerie,1,9b,,non,6225
étoffe de coton et velours commun,1,6i,,non,21622
étoffe de coton imprimé,2,6h,,non,16365
étoffe de coton mélangée,1,6i,,non,21622
étoffe de coton mêlée de soie,1,6f,,non,12147
étoffe de coton mi soie,2,6f,,non,12147
étoffe de coton peint,1,6g,,non,11410
étoffe de coton piqué,1,6g,,non,11410
étoffe de crin,32,6e,x,non,11419
étoffe de d'argent et d'or et de soie,24,6f,x,non,12147
étoffe de dorure de laine et de soie,2,6f,,non,12147
étoffe de fil,7,6i,x,non,21622
étoffe de fil au quart de soie,1,6f,x,non,12147
étoffe de fil de laine,6,6e,x,non,11419
étoffe de fil et bourre de chèvre,1,6i,,non,21622
étoffe de fil et de laine,46,6i,x,non,21622
étoffe de fil et de poil,1,6i,,non,21622
étoffe de fil et de poil de chèvre,2,6i,x,non,21622
étoffe de fil et de soie,22,6f,x,non,12147
étoffe de fil et moquette,1,6i,,non,21622
étoffe de fil et poil de chèvre,1,6i,x,non,21622
étoffe de fil et poil de chèvre aune,1,6i,x,non,21622
étoffe de filoselle,48,6f,x,non,12147
étoffe de filoselle et de laine,2,6f,,non,12147
étoffe de filoselle et de soie,6,6f,x,non,12147
étoffe de Flandre et de poil,2,6i,,non,21622
étoffe de fleuret,73,6f,x,non,12147
étoffe de fleuret au brin de soie,1,6f,,non,12147
étoffe de fleuret et de laine,5,6i,x,non,21622
étoffe de fleuret et de soie,7,6f,x,non,12147
étoffe de fleuret et laine,2,6i,x,non,21622
étoffe de fleuret pure,2,6f,,non,12147
étoffe de galette et de soie,1,6f,x,non,12147
étoffe de laine,547,6e,x,non,11419
étoffe de laine ???,5,6e,x,non,11419
étoffe de laine à faire moufles,1,6e,,non,11419
étoffe de laine à fil,1,6e,x,non,11419
étoffe de laine à la valeur,1,6e,x,non,11419
étoffe de laine angora,1,6e,,non,11419
étoffe de laine au quart de soie,1,6f,,non,12147
étoffe de laine avec dorure,1,6e,x,non,11419
étoffe de laine avec soie,1,6f,x,non,12147
étoffe de laine bêche,1,6e,x,non,11419
étoffe de laine beige 309 lignes,1,6e,,non,11419
étoffe de laine blanche,1,6e,x,non,11419
étoffe de laine brodée de dorure et de soie,1,6f,,non,12147
étoffe de laine cannelée,1,6e,,non,11419
étoffe de laine chaleur,1,6e,x,non,11419
étoffe de laine couterie,1,6e,x,non,11419
étoffe de laine crêpe,2,6e,x,non,11419
étoffe de laine de Rome,1,6e,,non,11419
étoffe de laine en cachemire,2,6e,x,non,11419
étoffe de laine en croisé,1,6e,x,non,11419
étoffe de laine en quart de soie,1,6f,,non,12147
étoffe de laine en raz de castor,5,6e,x,non,11419
étoffe de laine en sarain,1,6e,x,non,11419
étoffe de laine et de fil,1,6i,x,non,21622
étoffe de laine et de poil,33,6e,x,non,11419
étoffe de laine et de soie,57,6f,x,non,12147
étoffe de laine et de soie aune,1,6f,x,non,12147
étoffe de laine et de soie brodée,1,6f,,non,12147
étoffe de laine et de soie diverse,1,6f,,non,12147
étoffe de laine et de velours d'Utrecht,1,6i,x,non,21622
étoffe de laine et poil,9,6e,x,non,11419
étoffe de laine fabrique de Tournai,1,6e,x,non,11419
étoffe de laine fabriquée à Arras,1,6e,,non,11419
étoffe de laine fleuret au quart,1,6f,,non,12147
étoffe de laine fleuret et de soie,2,6f,,non,12147
étoffe de laine florentine,1,6e,,non,11419
étoffe de laine grains d'orge,1,6e,,non,11419
étoffe de laine grosse,1,6e,,non,11419
étoffe de laine imprimée,2,6e,x,non,11419
étoffe de laine large et serge,2,6e,,non,11419
étoffe de laine mélangée,1,6e,,non,11419
étoffe de laine mêlée de soie,3,6f,,non,12147
étoffe de laine mêlée ou pure,1,6e,,non,11419
étoffe de laine Minorque,3,6e,,non,11419
étoffe de laine poil et laine,4,6e,x,non,11419
étoffe de laine poil et laine velours,1,6e,,non,11419
étoffe de laine poil poil et laine,1,6e,x,non,11419
étoffe de laine pour nègre,1,6e,,non,11419
étoffe de laine pure,1,6e,x,non,11419
étoffe de laine pure aune,1,6e,x,non,11419
étoffe de laine reste,1,6e,x,non,11419
étoffe de laine retour,1,6e,x,non,11419
étoffe de laine riche,1,6e,x,non,11419
étoffe de laine royale,1,6e,,non,11419
étoffe de laine satinée,1,6e,,non,11419
étoffe de laine serge à doublure,2,6e,,non,11419
étoffe de laine teinte,3,6e,,non,11419
étoffe de laine turque,2,6i,,non,21622
étoffe de laine velverde,1,6i,x,non,21622
étoffe de laine verlastine,1,6i,x,non,21622
étoffe de laine voile noir,1,6e,x,non,11419
étoffe de peluches pour nègre,1,6i,,non,21622
étoffe de poil,36,6e,x,non,11419
étoffe de poil de chameau,2,6e,x,non,11419
étoffe de poil de laine et de velours d'Utrecht,4,6i,,non,21622
étoffe de poil et de velour d'Utrecht,1,6i,,non,21622
étoffe de poil et de velours,2,6i,x,non,21622
étoffe de poil et fil,1,6i,x,non,21622
étoffe de poil et laine velours,2,6i,x,non,21622
étoffe de poil et laine velours d'Utrecht,1,6i,x,non,21622
étoffe de Reims,1,6i,,non,21622
étoffe de riche,1,6i,x,non,21622
étoffe de Rouen,1,6i,x,non,21622
étoffe de soie,2632,6f,x,non,12147
étoffe de soie à fil,1,6f,x,non,12147
étoffe de soie au peu,4,6f,,non,12147
étoffe de soie au quart,315,6f,x,non,12147
étoffe de soie aune,1,6f,x,non,12147
étoffe de soie avec argent et or,1,6f,x,non,12147
étoffe de soie brochée d'argent et d'or faux,1,6f,,non,12147
étoffe de soie brochée d'argent et d'or fin,1,6f,,non,12147
étoffe de soie brochée de soie,2,6f,,non,12147
