simplification,nbr_occurences_simpl,coton,obsolete,nbr_occurences_coton
ânon,2,not raw cotton,non,817071
anspects,118,not raw cotton,non,817071
anspects de 3 à 4 pieds,1,not raw cotton,non,817071
anspects de bois,21,not raw cotton,non,817071
anspects de sapin,1,not raw cotton,non,817071
antale,3,not raw cotton,non,817071
antale et cauris,1,not raw cotton,non,817071
antchibanis,9,not raw cotton,oui,817071
antenelle,1,not raw cotton,non,817071
antennes,2,not raw cotton,non,817071
antennes et mâts de bateaux,1,not raw cotton,non,817071
antimoine,283,not raw cotton,non,817071
antimoine cru,27,not raw cotton,non,817071
antimoine métallique et sulfuré,2,not raw cotton,non,817071
antimoine préparé,2,not raw cotton,non,817071
antimoine vert,1,not raw cotton,non,817071
antofle,1,not raw cotton,non,817071
antofle de girofle,11,not raw cotton,non,817071
apasier,1,not raw cotton,non,817071
apier,3,not raw cotton,non,817071
apios,7,not raw cotton,non,817071
apparaux,1,,non,38841
apparaux et bâtiments de mer,38,not raw cotton,non,817071
apprêtée à toiler les livres,2,not raw cotton,non,817071
apprêtée pour parchemins,2,not raw cotton,non,817071
apprêts,0,,non,38841
arachis olives fraîches,1,not raw cotton,non,817071
arains,6,not raw cotton,non,817071
arak,17,not raw cotton,non,817071
arbalètes,7,not raw cotton,non,817071
arbalètrie et cartes marines,1,,non,38841
arbalètrrie et cartes marines,1,not raw cotton,oui,817071
arbres,51,not raw cotton,non,817071
arbres à fruits,2,not raw cotton,non,817071
arbres à planter,141,not raw cotton,non,817071
arbres à planter pommiers,1,,non,38841
arbres châtaignier,4,not raw cotton,non,817071
arbres d' ???,1,not raw cotton,non,817071
arbres d'auban,1,not raw cotton,non,817071
arbres de sapin,1,not raw cotton,non,817071
arbres et arbrisseaux,25,not raw cotton,non,817071
arbres et arbrisseaux à fruits,134,not raw cotton,non,817071
arbres et arbrisseaux sauvages,138,not raw cotton,non,817071
arbres et arbustes,6,not raw cotton,non,817071
arbres et plants,1,not raw cotton,non,817071
arbres fruitiers,94,not raw cotton,non,817071
arbres marronniers à planter,1,not raw cotton,non,817071
arbres nains,1,not raw cotton,non,817071
arbres tilleul,3,not raw cotton,non,817071
arbrisseaux,9,not raw cotton,non,817071
arbustes,4,not raw cotton,non,817071
arcanette,1,not raw cotton,non,817071
arcanie,1,not raw cotton,non,817071
arcanson,4,not raw cotton,non,817071
arcanum duplicatum,2,not raw cotton,non,817071
archets de violons,19,not raw cotton,non,817071
archets et violon,1,not raw cotton,non,817071
archiabanis,2,not raw cotton,oui,817071
arçons de bas de bois,1,not raw cotton,non,817071
arçons de bois,1,not raw cotton,non,817071
arçons de selles,23,not raw cotton,non,817071
arçons démontés,1,not raw cotton,non,817071
ardoise,382,not raw cotton,non,817071
ardoise à piler,1,not raw cotton,non,817071
ardoise commune,215,not raw cotton,non,817071
ardoise dite chérubin et à mortier,63,not raw cotton,non,817071
ardoise dite grande voisine,2,not raw cotton,non,817071
ardoise dite moyenne voisine,3,not raw cotton,non,817071
ardoise dite petite voisine,2,not raw cotton,non,817071
ardoise dite voisine grande moyenne et petite,7,not raw cotton,non,817071
ardoise en carreaux,2,not raw cotton,non,817071
ardoise en carreaux et d'1 pied carré,1,not raw cotton,non,817071
ardoise en carreaux ou en table,7,not raw cotton,non,817071
ardoise en livret,7,not raw cotton,non,817071
ardoise encadrée,2,not raw cotton,non,817071
ardoise encadrée et en livret,71,not raw cotton,non,817071
ardoise non travaillée,8,not raw cotton,non,817071
ardoise pour fenêtre,6,not raw cotton,non,817071
ardoise pour toiture,8,not raw cotton,non,817071
ardoise pour toiture au kilogramme,1,not raw cotton,non,817071
ardoise pour toiture au nombre,2,not raw cotton,non,817071
ardoise verte,1,not raw cotton,non,817071
ardoises,2,,non,38841
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,not raw cotton,non,817071
arelles de baleine,1,,non,38841
argent,12,not raw cotton,non,817071
argent battu,1,not raw cotton,non,817071
argent battu et en feuille,2,not raw cotton,non,817071
argent battu filé laminé et tiré,3,not raw cotton,non,817071
argent brisé et en lingots et en masses,1,not raw cotton,non,817071
argent brûlé,7,not raw cotton,non,817071
argent brut,1,not raw cotton,non,817071
argent brut en lingot et en masse ouvrages détruits,2,not raw cotton,non,817071
argent carragoux,2,not raw cotton,non,817071
argent en barils,2,not raw cotton,non,817071
argent en barres,17,not raw cotton,non,817071
argent en lingots,27,not raw cotton,non,817071
argent en lingots par Calais,1,not raw cotton,non,817071
argent et or,237,not raw cotton,non,817071
argent et or billon,8,not raw cotton,non,817071
argent faux,9,not raw cotton,non,817071
argent faux en fil cantilles etc.,3,not raw cotton,non,817071
argent faux et or faux,53,not raw cotton,non,817071
argent faux et or faux traits,5,not raw cotton,non,817071
argent fin,1,not raw cotton,non,817071
argent monnayé et nogat d'or,4,not raw cotton,non,817071
argent talari,0,not raw cotton,oui,817071
argent vif,3,not raw cotton,non,817071
argenterie,733,not raw cotton,non,817071
argenterie épée,7,not raw cotton,non,817071
argenterie et bijouterie,21,not raw cotton,non,817071
argenterie et bijouterie et orfèvrerie,1,not raw cotton,non,817071
argenterie et orfèvrerie,122,not raw cotton,non,817071
argenterie et orfèvrerie vermeil,37,not raw cotton,non,817071
argenterie neuve,4,not raw cotton,non,817071
