simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
perruques de peau de mouton,1,8,x,non,73824
perruques de poil de chèvre,1,8,,non,73824
perruques neuves,1,8,,non,73824
perruques vieilles,1,8,,non,73824
perses,1,6h,,non,15105
persienne,3,6b,x,non,36431
persil de macédoine,2,0a,,non,122047
pertiolles,5,9c,,non,13242
pertuisanes,2,8,,non,73824
pesetas,1,9a,,non,1579
petit carré de fer,1,6i,,non,9168
petit raze de castor,2,6e,,non,20927
petit raze refoulé,1,6i,,non,9168
petit salé,34,0a,x,non,122047
petit salé et porcs salés,1,0a,,non,122047
petit son,1,0a,,non,122047
petite Venise,1,9c,,non,13242
petites de lit en satin,2,8,,non,73824
petites de lit en satin brodé,2,8,,non,73824
petites pièces de pin,1,6b,,non,36431
petits chênes dits chêneaux,16,2,,non,131731
pétrification,1,8,,non,73824
pétrole,6,5,,non,61910
petum,2,2,,non,131731
peury,1,9c,,non,13242
pevine,1,9c,,non,13242
phaéton,21,7,,non,14031
phiass,1,9c,,non,13242
philas,1,9c,,non,13242
philipichine,18,6e,x,non,20927
philipichine de poil,1,6e,x,non,20927
phillipichine,11,6e,x,non,20927
photas des Indes,2,6g,x,non,16886
piano,2,8,x,non,73824
piano forte,1,8,,non,73824
piastres,125,9a,x,non,1579
piastres d'Espagne,7,9a,x,non,1579
piastres du grand seigneur,2,9a,x,non,1579
piastres et talaris,1,9a,x,non,1579
piastres et talaris par La Cure et Strasbourg,1,9a,x,non,1579
piastres et talaris par Marseille,2,9a,x,non,1579
piastres et talaris par Strasbourg,1,9a,x,non,1579
piastres fortes,1,9a,x,non,1579
piastres gourdes,1,9a,x,non,1579
piastres par le Havre,1,9a,x,non,1579
piastres par le Pont de Beauvoisin,2,9a,x,non,1579
picotte,21,6e,x,non,20927
picotte de laine,2,6e,x,non,20927
picotte de Lille,4,6e,,non,20927
picotte de soie,1,6f,,non,16662
pièces à eau,4,9c,,non,13242
pièces couvertures de laine,3,8,,non,73824
pièces d'argent et d'or d'Espagne,1,9a,,non,1579
pièces d'or d'Espagne,1,9a,,non,1579
pièces de ???,1,9a,,non,1579
pièces de bois,3,,,non,295
pied d'huile,1,4,x,non,18446
pied d'huile de poisson,1,4,x,non,18446
piedmento,2,9c,,non,13242
pieds d'élan,6,2,,non,131731
pieds de bœuf,3,2,,non,131731
pieds de bœuf et sang de bétail,2,2,,non,131731
pieds de cochon,1,0a,,non,122047
pieds de gite de bois scié,4,6b,,non,36431
pieds de vide,1,9c,,non,13242
pieds doré,1,6i,,non,9168
pieds et têtes,1,9c,,non,13242
pienne de fil,1,9c,,non,13242
pierre à plâtre ou plâtre brut,2,2,,non,131731
pierre d'ailx,1,9c,,non,13242
pierre d'algazon,1,9c,,non,13242
pierrerie,1,6k,,non,22524
pierrerie fausse,1,6k,,non,22524
pierrerie fausse et fine,1,6k,,non,22524
pierres,398,2,x,non,131731
pierres ???,1,2,,non,131731
pierres à,1,2,x,non,131731
pierres à affiler,1,2,,non,131731
pierres à affiler de 1 à 2 1/2 pieds,87,2,x,non,131731
pierres à affiler de 3 à 4 pieds,17,2,x,non,131731
pierres à affiler de 5 à 6 pieds,85,2,x,non,131731
pierres à affiler milanaises ou fiquets,11,2,x,non,131731
pierres à aiguiser,532,2,x,non,131731
pierres à aiguiser et en meules et à taillandier,30,6k,x,non,22524
pierres à aiguiser et tendres,1,2,x,non,131731
pierres à aiguiser milanaise ou fiquets,1,2,x,non,131731
pierres à aiguiser ou fiquets,96,2,x,non,131731
pierres à bâtir,184,6k,x,non,22524
pierres à bâtir brutes,47,2,,non,131731
pierres à bâtir chaux et plâtre,51,9b,x,non,61966
pierres à bâtir communes,142,6k,x,non,22524
pierres à bâtir communes de 3 à 7 pieds,2,6k,x,non,22524
pierres à bâtir dites tuffeaux,3,6k,x,non,22524
pierres à bâtir et à paver,15,6k,x,non,22524
pierres à broyer couleurs,2,2,,non,131731
pierres à broyer couleurs et moudre tabac,1,2,x,non,131731
pierres à broyer couleurs et tabac,2,2,x,non,131731
pierres à broyer le cacao,1,2,x,non,131731
pierres à calfeutrer,1,2,x,non,131731
pierres à chaux,154,2,x,non,131731
pierres à détacher,1,2,,non,131731
pierres à diguer,104,2,x,non,131731
pierres à distiller d'eau,1,2,x,non,131731
pierres à éviers,2,6k,x,non,22524
pierres à faire chaux,16,2,x,oui,131731
pierres à faucher,1,2,,non,131731
pierres à faux,212,2,x,non,131731
pierres à faux et à polir,13,2,x,non,131731
pierres à feu,7,2,x,non,131731
pierres à feu autres qu'agates,2,2,,non,131731
pierres à filtrer,5,2,x,non,131731
pierres à filtrer l'eau,23,2,x,non,131731
pierres à fouler le blé,1,2,,non,131731
pierres à four,4,2,x,non,131731
pierres à foyer,9,2,x,non,131731
pierres à fusils,1048,2,x,non,131731
pierres à fusils et autres,1,9c,,non,13242
pierres à hamatilles,1,9c,,non,13242
pierres à huile,13,2,x,non,131731
pierres à manganèse,1,2,x,non,131731
pierres à meubles,2,2,x,non,131731
pierres à meuler,1,2,x,non,131731
pierres à meules,30,2,x,non,131731
pierres à mordre,1,2,x,non,131731
pierres à mordre moutarde de 1 1/2 à 3 pieds,2,6k,x,non,22524
pierres à mordre tabac,2,2,x,non,131731
pierres à moules,1,2,,non,131731
pierres à moutarde travaillées,15,6k,,non,22524
pierres à passer,1,6k,,non,22524
pierres à paver,96,6k,x,non,22524
pierres à paver d'1 pied carré,55,6k,x,non,22524
pierres à paver d'en dessus d'1 pied carré,16,6k,x,non,22524
pierres à paver de 12 à 13 pouces,2,6k,x,non,22524
pierres à paver de 3 à 9 pouces,3,6k,x,non,22524
pierres à paver de 9 pouces,4,6k,x,non,22524
pierres à paver non polies,6,6k,,non,22524
pierres à paver polies,11,6k,,non,22524
pierres à plaque,1,6k,,non,22524
pierres à plâtre ou plâtre brut,4,2,,non,131731
pierres à polir,2,2,x,non,131731
pierres à polir et ponce,76,2,x,non,131731
pierres à rasoir,43,2,x,non,131731
pierres à repasser,4,2,x,non,131731
pierres à taillandier,30,2,,non,131731
pierres à tombe,1,6k,x,non,22524
pierres antiques,1,6k,x,non,22524
pierres bant et de jais,1,9c,x,non,13242
pierres bas de malle,1,9c,,non,13242
pierres blanches,16,2,x,non,131731
pierres blanches à bâtir,4,2,x,non,131731
pierres blanches à carreler,1,6k,,non,22524
pierres blanches en longues pièces à paver,42,6k,,non,22524
pierres bleues,25,2,x,non,131731
pierres bleues à paver,2,6k,,non,22524
pierres bleues brûlées,1,2,x,non,131731
pierres bleues en blocs,8,6k,,non,22524
pierres bleues en carreaux,1,6k,,non,22524
pierres bleues travaillées,1,6k,x,non,22524
pierres calamines,4,9c,x,non,13242
pierres calcaires,1,2,,non,131731
pierres caprades blanches,2,9c,,non,13242
pierres carrées à bâtir,1,6k,,non,22524
pierres carrées à paver,8,6k,,non,22524
pierres carrées à paver de 8 à 9 pouces,49,6k,,non,22524
pierres chaux et plâtre,24,9b,x,oui,61966
pierres codes,102,9c,,non,13242
pierres cornaline,1,6k,,non,22524
pierres d'absinthe,1,9c,x,non,13242
pierres d'agate,13,6k,,non,22524
pierres d'agate travaillées,1,6k,,non,22524
pierres d'aimant,15,2,x,non,131731
pierres d'architecture,119,2,x,non,131731
pierres d'ardoise,44,2,x,non,131731
pierres d'arquebuse,2,9c,x,non,13242
pierres d'asphalte,1,9c,x,non,13242
pierres d'autel,17,6k,x,non,22524
pierres d'écrevisses,1,9c,,non,13242
pierres d'élan,1,9c,x,non,13242
pierres d'émeraude,2,6k,,non,22524
pierres d'émeri,81,2,x,non,131731
pierres d'éponges,2,9c,,non,13242
pierres d'hyacinthe,1,9c,x,non,13242
pierres de ??? à paver,1,6k,x,non,22524
pierres de barre,1,6k,,non,22524
pierres de barriques,1,9c,,non,13242
pierres de bas de meule,1,6k,x,non,22524
pierres de Bentem,2,2,x,non,131731
pierres de Bidache,7,2,x,non,131731
pierres de Bidache en carreaux,2,6k,x,non,22524
pierres de bleu,1,9c,x,non,13242
pierres de Briançon,1,2,,non,131731
pierres de chaussée ou de grès,118,6k,x,non,22524
pierres de chaux,6,2,x,oui,131731
pierres de composition,7,2,x,non,131731
pierres de coument,1,9c,,non,13242
pierres de faux,2,2,,non,131731
pierres de fer,1,9c,,non,13242
pierres de fonte,1,9c,,non,13242
pierres de four,40,2,x,non,131731
pierres de fusils,3,2,x,non,131731
pierres de grès,4,2,x,non,131731
pierres de grés à paver,5,6k,,non,22524
pierres de grison,40,9c,x,non,13242
pierres de jais,5,6k,x,non,22524
pierres de jais brut,1,6k,x,non,22524
pierres de jais et ???,5,6k,x,non,22524
pierres de jaspe,2,6k,x,non,22524
pierres de laine,4,9c,x,non,13242
pierres de Malte,54,2,x,non,131731
pierres de marbre,9,2,x,non,131731
pierres de marbre brut,1,2,,non,131731
pierres de marbre ouvré,7,6k,x,non,22524
pierres de matte,2,9c,x,non,13242
pierres de meubles,1,9c,,non,13242
pierres de meules,3,2,x,non,131731
pierres de Milan,3,2,x,non,131731
pierres de mine,1,2,x,non,131731
pierres de molasse,1,9c,,non,13242
pierres de mole,2,9c,,non,13242
pierres de mouches,2,9c,,non,13242
pierres de moulage,11,9c,,non,13242
pierres de Namur,6,2,x,non,131731
pierres de roche,2,2,x,non,131731
pierres de Saint-Cast,23,2,x,non,131731
pierres de seuil,4,6k,x,non,22524
pierres de Suisse,8,2,x,non,131731
pierres de taille,72,6k,x,non,22524
pierres de taille à effiler,1,6k,,non,22524
pierres de taille de 5 pieds de longueur sur 3 pieds de largueur,2,6k,,non,22524
pierres de tombe,10,6k,x,non,22524
pierres de tombe de 4 à 6 pieds,45,6k,x,non,22524
pierres de tombe de 7 à 9 pieds,31,6k,x,non,22524
pierres de tombe de haute catégorie,6,6k,x,non,22524
pierres de tombe de moindre classe,48,6k,x,non,22524
pierres de touche,2,2,x,non,131731
pierres de tuiles,1,2,,non,131731
pierres de verre,5,9c,x,non,13242
pierres de vin,109,9c,x,non,13242
pierres des Indes,1,9c,,non,13242
pierres éclatantes,8,6k,,non,22524
pierres éclatantes et de verre,1,6k,x,non,22524
pierres éclatantes et fausses,4,6k,x,non,22524
pierres éclatantes ou de verre,1,6k,x,non,22524
pierres en ???,1,2,x,non,131731
pierres en blocs,4,6k,,non,22524
pierres en blocs et brutes,3,9b,x,non,61966
pierres en borne-frontière,1,6k,x,non,22524
pierres en carreaux,9,6k,x,non,22524
pierres en carreaux à mouler,1,6k,,non,22524
pierres en cheminée et statue,2,6k,x,non,22524
pierres en cheminée et travaillées,1,6k,x,non,22524
pierres en cippes,2,6k,,non,22524
pierres en grès taillés meules,25,6k,x,non,22524
pierres en longues pièces à paver,56,6k,,non,22524
pierres en masses et en blocs,47,6k,,non,22524
pierres en meules,11,6k,x,non,22524
pierres en mortier,2,2,x,non,131731
pierres en pièces grandes,1,6k,x,non,22524
pierres en quartiers,14,6k,,non,22524
pierres en quartiers à bâtir,1,6k,,non,22524
pierres et chanvre,1,9b,x,non,61966
pierres et grès taillés,28,6k,,non,22524
pierres et meules à aiguiser,18,6k,x,non,22524
pierres et plâtre,6,2,,non,131731
pierres et terres à bâtir,1,2,,non,131731
pierres et terres servant aux arts et métiers,2,6k,,non,22524
pierres façonnées d'architecte,1,6k,,non,22524
pierres fausses,72,6k,x,non,22524
pierres fausses et fines,1,6k,x,non,22524
pierres fausses et montées,35,8,x,non,73824
pierres fausses et pur métal,1,9b,x,non,61966
pierres fausses non montées,2,6k,,non,22524
pierres ferrugineuses,4,2,,non,131731
pierres fines,1,6k,x,non,22524
pierres froides,2,6k,,non,22524
pierres fusil,3,2,,non,131731
pierres jaunes,1,2,,non,131731
pierres lithographiques,3,2,,non,131731
pierres lithographiques et autres,3,2,,non,131731
pierres maguisses minérales pour la fabrique de Tournai,3,2,x,non,131731
pierres manganèse,5,2,x,non,131731
pierres marcassite,2,2,x,non,131731
pierres meules,6,6k,,non,22524
pierres minérales,2,2,x,non,131731
pierres noires,32,2,,non,131731
pierres ponces,236,2,,non,131731
pierres pour faire sucre,3,2,x,non,131731
pierres pour la bâtisse,9,2,x,non,131731
pierres pour la fortification de la rade,1,2,,non,131731
pierres pour la rade,142,2,,non,131731
pierres pour les fortifications,2,2,,non,131731
pierres pour les travaux du roi,2,2,,non,131731
pierres pour piliers,2,2,x,non,131731
pierres pourries,5,2,,non,131731
pierres serpentine,2,2,x,non,131731
pierres signons,1,,,non,295
pierres taillées,15,6k,x,non,22524
pierres taillées à bâtir,1,6k,,non,22524
pierres taillées en auge,2,6k,,non,22524
pierres tendres,1,2,,non,131731
pierres travaillées,49,6k,x,non,22524
pierres travaillées en banc balcon goulots etc.,125,6k,x,non,22524
pierrestre,2,9c,,non,13242
pierrette,2,0a,,non,122047
pierreuve,1,9c,,non,13242
pierriers,20,8,,non,73824
pierriers de fer,13,8,,non,73824
pierriers de fonte,1,8,,non,73824
pierriers garnis de leurs boites,2,8,,non,73824
pigaras,1,2,,non,131731
pigeons,11,0a,x,non,122047
pigeons sauvages,1,0a,x,non,122047
pignes de fer à corde,1,6j,,non,52338
pignons,25,0a,x,non,122047
pignons cassés,47,0a,,non,122047
pignons d'épine,128,9c,x,non,13242
pignons d'Inde,42,2,x,non,131731
pignons de pin,11,0a,,non,122047
pigouilles,2,6b,,non,36431
pigouilles de 11 à 15,2,6b,,non,36431
piharge,4,9c,x,non,13242
piles de bois,1,6b,x,non,36431
piliers de frêne,1,6b,,non,36431
pilotis,2,6b,,non,36431
pilules,1,5,,non,61910
pilules de Belloste,1,5,,non,61910
piment,516,0a,x,non,122047
piment des entrepôts,0,0a,,non,122047
piment en grain,1,,,non,295
piment en grains,5,0a,,non,122047
piment et poivre,83,9b,x,non,61966
pinasse,31,7,x,non,14031
pince de fer,4,6j,x,non,52338
pinceaux,144,8,,non,73824
pinceaux ???,1,8,,non,73824
pinceaux à blanchir,1,8,,non,73824
pinceaux à dorer,1,8,,non,73824
pinceaux à goudron,5,8,,non,73824
pinceaux à goudronner,21,8,,non,73824
pinceaux à peindre,4,8,,non,73824
pinceaux de fer,1,6j,,non,52338
pincettes,2,6j,,non,52338
pincettes de fer,1,6j,x,non,52338
pinche,1,9c,,non,13242
pinchinat,50,6e,x,non,20927
pinchinat de laine,16,6e,x,non,20927
pinchinat gris,1,6e,,non,20927
pinen,1,9c,x,non,13242
pinques,1,7,,non,14031
pioches de fer,3,6j,,non,52338
pipes,18,7,,non,14031
pipes à cordée,1,9c,,non,13242
pipes à cuivre,1,8,,non,73824
pipes à fumer,877,8,x,non,73824
pipes à fumer ???? pour la Hollande,1,8,,non,73824
pipes à fumer de terre,4,8,,oui,73824
pipes à fumer de terre cuite,35,8,,non,73824
pipes à fumer grosses,1,8,,non,73824
pipes à tabac,122,8,x,non,73824
pipes cerclées de fer,1,6b,,non,36431
pipes céréalier de fer,0,6b,,non,36431
pipes de bois à fumer,2,8,,oui,73824
pipes de bois pour fumer,2,8,,non,73824
pipes de terre,7,8,,non,73824
pipes de terre cuite,8,8,,oui,73824
pipes en bottes,6,8,,non,73824
pipes muid,3,6b,,non,36431
pipes sans émail à fumer de terre,1,8,,non,73824
pipes vides,25,6b,,non,36431
pipes vieilles,2,6b,,non,36431
pipes vieilles et vides,7,6b,,non,36431
piphout en blocs,7,9c,,non,13242
piques,4,8,,non,73824
piques de fer,1,8,,non,73824
pissuron,1,9c,,non,13242
pistache,3,0a,,non,122047
pistaches,318,0a,x,non,122047
pistaches cassées,2,0a,,non,122047
pistaches en coques,1,0a,,non,122047
pistaches non cassées,1,0a,,non,122047
pistaches sèches,6,0a,x,non,122047
pistolets,101,8,x,non,73824
pistolets à feu,1,8,,non,73824
pistolets d'arçon,1,8,,non,73824
pistolets Damas ?,1,8,,non,73824
pistolets de maître,1,8,,non,73824
pistolets de traite,7,8,,non,73824
pistolets démontés,38,8,,non,73824
pistolets garnis d'argent,1,8,,non,73824
pistolets montés,123,8,,non,73824
pistolets par paire,1,8,,non,73824
pistolets vieux,1,8,,non,73824
pivoine,2,2,,non,131731
pivots de fer,9,6j,x,non,52338
plaids,85,8,,non,73824
plaids ou châles,16,8,,non,73824
plaire,5,9c,,non,13242
plaisses et solles sec et fumés,64,0a,,non,122047
plan d'habitation,1,8,,non,73824
plancards,10,9c,,non,13242
planchenier,1,9c,x,non,13242
planches,4729,6b,x,non,36431
planches à bâtir,1,6b,,non,36431
planches alcalines,5,6b,,non,36431
planches communes,6,6b,x,non,36431
planches communes de chêne et hêtre,4,6b,x,non,36431
planches communes de hêtre,73,6b,x,non,36431
planches communes de sapin,35,6b,x,non,36431
planches communes de sapin ou pin,2,6b,,non,36431
planches communes et bois,44,6b,,non,36431
planches d'acajou,41,6b,x,non,36431
planches d'acajou de 10 pieds,3,6b,,non,36431
planches d'acajou de 12 pieds,1,6b,,non,36431
planches d'acajou de 4 pieds,1,6b,,non,36431
planches d'acajou de 5 à 10 pieds,1,6b,,non,36431
planches d'acajou de 5 pieds,1,6b,,non,36431
planches d'acajou de 6 pieds,1,6b,,non,36431
planches d'acajou de 8 pieds,4,6b,x,non,36431
planches d'acajou de 9 pieds,1,6b,x,non,36431
planches d'arbres,4,6b,x,non,36431
planches d'ardoise,1,6b,x,non,36431
planches d'aunis,1,6b,x,non,36431
planches d'orme,4,6b,x,non,36431
planches d'orme de 80 pieds de longueur sur 3 pouces d'épaisseur,2,6b,x,non,36431
planches de 12 à 18 pieds,2,6b,x,non,36431
planches de 15 à 16 pieds,2,6b,,non,36431
planches de 18 pieds,1,6b,x,non,36431
planches de 20 pied sur 1 pouce,3,6b,x,non,36431
planches de 24 à 30 pieds,1,6b,x,non,36431
planches de 3 à 12 pieds,1,6b,,non,36431
planches de 3 pieds dites pakdragers,2,6b,x,non,36431
planches de 4 pieds,1,6b,x,non,36431
planches de 7 pieds,1,6b,,non,36431
planches de 9 à 10 pieds,1,6b,,non,36431
planches de 9 pieds,1,6b,x,non,36431
planches de bois,128,6b,x,non,36431
planches de bois blanc,6,6b,x,non,36431
planches de bois de 10 à 15 pieds,1,6b,,non,36431
planches de bois de faïence,1,6b,,non,36431
planches de bois de hêtre de 8 pieds,1,6b,,non,36431
planches de bois de rose,0,6b,,non,36431
planches de bois de rose de 8 à 9 pieds,1,6b,,non,36431
planches de bois des Îles,1,6b,,non,36431
planches de bois des Indes,1,6b,x,non,36431
planches de bois du Nord,12,6b,x,non,36431
planches de bois et à barils,1,6b,x,non,36431
planches de bois falquettes,2,6b,,non,36431
planches de bois fortes,1,6b,,non,36431
planches de bois jaune,1,6b,,non,36431
planches de bois melliaises,1,6b,,non,36431
planches de bois minces,1,6b,,non,36431
planches de bois pour bordage,2,6b,,non,36431
planches de bois pour construction,3,6b,x,non,36431
planches de bois rouge,1,6b,,non,36431
planches de bois vernies,1,6b,,non,36431
planches de charme,0,6b,,non,36431
planches de charme de 10 pieds,1,6b,,non,36431
planches de châtaignier,7,6b,x,non,36431
planches de châtaignier de 16 pieds,1,6b,,non,36431
planches de châtaignier de 5 pieds,1,6b,,non,36431
planches de chêne,345,6b,x,non,36431
planches de chêne 24 pieds,1,6b,x,non,36431
planches de chêne 26 pieds,1,6b,x,non,36431
planches de chêne 6 pieds,1,6b,x,non,36431
planches de chêne à 6,1,6b,x,non,36431
planches de chêne à 9,1,6b,x,non,36431
planches de chêne bouts,1,6b,,non,36431
planches de chêne commune,14,6b,x,non,36431
planches de chêne d'un pouce et en dessous,136,6b,x,non,36431
planches de chêne de 1 1/2 pouces,3,6b,x,non,36431
planches de chêne de 1 1/4 pouces,2,6b,x,non,36431
planches de chêne de 1/2 pouce,3,6b,x,non,36431
planches de chêne de 1/4 pouce,2,6b,x,non,36431
planches de chêne de 10 12 à 14 pieds,1,6b,,non,36431
planches de chêne de 10 à 11 pieds,2,6b,x,non,36431
planches de chêne de 10 à 12 pieds,2,6b,x,non,36431
planches de chêne de 10 à 12 pieds et de 1 pouce d'épaisseur,1,6b,,non,36431
planches de chêne de 10 pieds,23,6b,x,non,36431
"planches de chêne de 10 pieds de long et de 0,75 pouce d'épaisseur",2,6b,,non,36431
"planches de chêne de 10 pieds et de 0,5 pouces d'épaisseur",1,6b,,non,36431
planches de chêne de 11 à 12 pieds,2,6b,,non,36431
planches de chêne de 11 pieds,3,6b,x,non,36431
planches de chêne de 11 pieds de long et de 2 pouces d'épaisseur,1,6b,,non,36431
planches de chêne de 12 pieds,25,6b,x,non,36431
planches de chêne de 13 à 14 pieds,1,6b,,non,36431
planches de chêne de 13 pieds,2,6b,x,non,36431
planches de chêne de 14 pieds,4,6b,x,non,36431
planches de chêne de 15 à 20 pieds,1,6b,x,non,36431
planches de chêne de 15 pieds,7,6b,x,non,36431
planches de chêne de 16 pieds,3,6b,,non,36431
planches de chêne de 18 pieds,11,6b,x,non,36431
planches de chêne de 18 pieds de long et de 1 pouce d'épaisseur,1,6b,,non,36431
"planches de chêne de 19,5 pieds de long et de 2 pouces d'épaisseur",1,6b,,non,36431
planches de chêne de 2 pouces et en dessus,109,6b,x,non,36431
"planches de chêne de 2,5 pouces",2,6b,x,non,36431
planches de chêne de 20 à 30 pieds,1,6b,,non,36431
planches de chêne de 20 pieds,7,6b,x,non,36431
planches de chêne de 21 pieds,1,6b,,non,36431
planches de chêne de 22 pieds,3,6b,,non,36431
planches de chêne de 24 pieds,3,6b,x,non,36431
planches de chêne de 25 à 30 pieds,1,6b,,non,36431
planches de chêne de 25 pieds,6,6b,x,non,36431
planches de chêne de 27 pieds,3,6b,,non,36431
planches de chêne de 28 pieds,4,6b,x,non,36431
planches de chêne de 3 pouces et en dessus,96,6b,x,non,36431
planches de chêne de 30 pieds,6,6b,,non,36431
planches de chêne de 32 pieds,3,6b,,non,36431
planches de chêne de 35 pieds,6,6b,x,non,36431
planches de chêne de 36 pieds,2,6b,x,non,36431
planches de chêne de 38 pieds,1,6b,,non,36431
planches de chêne de 4 pieds,1,6b,x,non,36431
planches de chêne de 4 pouces,3,6b,x,non,36431
planches de chêne de 40 pieds,4,6b,x,non,36431
planches de chêne de 42 pieds,1,6b,x,non,36431
planches de chêne de 5 pouces,2,6b,x,non,36431
planches de chêne de 6 à 7 pieds,1,6b,,non,36431
planches de chêne de 6 pieds,9,6b,x,non,36431
planches de chêne de 7 à 8 pieds,1,6b,x,non,36431
planches de chêne de 7 pieds,3,6b,x,non,36431
planches de chêne de 8 à 9 pieds,2,6b,,non,36431
planches de chêne de 8 pieds,11,6b,x,non,36431
planches de chêne de 8 pieds et demi,1,6b,x,non,36431
planches de chêne de 9 à 10 pieds,4,6b,x,non,36431
planches de chêne de 9 à 12 pieds,1,6b,x,non,36431
planches de chêne de 9 pieds,8,6b,x,non,36431
planches de chêne de 9 pieds et demi,1,6b,,non,36431
planches de chêne et planches de sapin,1,6b,x,non,36431
planches de chêne pour bordage,9,6b,,non,36431
planches de chêne pour bordage de 21 pieds,0,6b,,non,36431
planches de chênes de 20 pieds,1,6b,x,non,36431
planches de chênes pour bordage,1,6b,,non,36431
planches de citronnier,1,6b,x,non,36431
planches de Coperwick,5,9c,,non,13242
planches de cuivre,425,6j,x,non,52338
planches de cuivre battu,1,6j,,non,52338
planches de cuivre gravées,1,6j,x,non,52338
planches de cuivre jaune,4,6j,x,non,52338
planches de cuivre neuf,1,6j,x,non,52338
planches de cuivre rouge,21,6j,x,non,52338
planches de cyprès,2,6b,x,non,36431
planches de Danemark Prusse et Poméranie,9,6b,x,non,36431
planches de futeau,2,6b,x,non,36431
planches de hêtre,5,6b,x,non,36431
planches de hêtre de 6 pieds,2,6b,,non,36431
planches de jacaranda,1,6b,x,non,36431
planches de laiton,13,6b,x,non,36431
planches de lard,1,6b,x,non,36431
planches de liège,1,6b,,non,36431
planches de liège petites,1,6b,,non,36431
planches de lin,1,6b,x,non,36431
planches de Lorient,1,6b,x,non,36431
planches de merisier,1,6b,x,non,36431
planches de mûrier,1,6b,,non,36431
planches de noyer,45,6b,x,non,36431
planches de noyer d'un pouce de 1/2,1,6b,x,non,36431
planches de noyer de 1 pied,1,6b,,non,36431
planches de noyer de 12 pieds,2,6b,,non,36431
planches de noyer de 3 pieds,1,6b,,non,36431
planches de noyer de 4 pieds,1,6b,,non,36431
planches de noyer de 5 à 7 pieds,1,6b,,non,36431
"planches de noyer de 5 à 7 pieds de long de 1 à 1,5 pieds de large et de 1 à 3 pouce d'épaisseur",1,6b,,non,36431
"planches de noyer de 5,5 pieds de long de 0,5 pieds de large et de 1 pouce d'épaisseur",1,6b,,non,36431
planches de noyer de 6 pieds,1,6b,x,non,36431
"planches de noyer de 6 pieds de long de 0,5 pieds de large et de 1 pouce d'épaisseur",1,6b,,non,36431
planches de papier communes,1,6b,,non,36431
planches de peuplier,1,6b,x,non,36431
planches de pin,24,6b,x,non,36431
planches de piphout,75,6b,x,non,36431
planches de plomb,87,6j,x,non,52338
planches de plomb et grains de plomb,5,6j,x,non,52338
planches de plomb et plomb en saumon et plomb en rouleau,6,6j,x,non,52338
planches de plomb gravées,2,6j,x,non,52338
planches de poirier cerisier etc,4,6b,x,non,36431
planches de pont de barque,1,6b,x,non,36431
planches de Prusse,176,6b,x,non,36431
planches de Prusse 28 pieds,1,6b,x,non,36431
planches de Prusse communes,5,6b,x,non,36431
planches de Prusse de 10 à 12 pieds,2,6b,,non,36431
planches de Prusse de 10 pieds,1,6b,x,non,36431
planches de Prusse de 11 à 12 pieds,1,6b,x,non,36431
planches de Prusse de 12 a 13 pieds et de 1 pouce d'épaisseur,1,6b,,non,36431
planches de Prusse de 12 pieds,1,6b,x,non,36431
planches de Prusse de 13 à 16 pieds,1,6b,,non,36431
planches de Prusse de 13 pieds,1,6b,x,non,36431
planches de Prusse de 15 pieds,2,6b,x,non,36431
"planches de Prusse de 18 à 30 pieds et de 1,75 à 2 pouces d'épaisseur",1,6b,,non,36431
planches de Prusse de 18 pieds,3,6b,x,non,36431
planches de Prusse de 18 pieds à 41 pieds à 1 pouce 1/2 4 pouces d'épaisseur,1,6b,,non,36431
planches de Prusse de 20 pieds,2,6b,x,non,36431
planches de Prusse de 21 à 22 pieds,1,6b,x,non,36431
planches de Prusse de 22 pieds,1,6b,x,non,36431
planches de Prusse de 24 pieds,4,6b,x,non,36431
planches de Prusse de 25 pieds,3,6b,x,non,36431
planches de Prusse de 26 à 27 pieds,1,6b,x,non,36431
planches de Prusse de 26 ou 27 pieds,1,6b,,non,36431
planches de Prusse de 26 pieds,1,6b,,non,36431
planches de Prusse de 27 à 28 pieds,1,6b,x,non,36431
planches de Prusse de 27 pieds,6,6b,x,non,36431
planches de Prusse de 28 à 30 pieds,2,6b,x,non,36431
planches de Prusse de 28 pieds,4,6b,x,non,36431
planches de Prusse de 30 à 32 pieds,1,6b,,non,36431
planches de Prusse de 30 à 40 pieds,1,6b,,non,36431
planches de Prusse de 30 ou 32 pieds,1,6b,,non,36431
planches de Prusse de 30 pieds,7,6b,x,non,36431
planches de Prusse de 32 pieds,1,6b,,non,36431
planches de Prusse de 33 à 35 pieds,1,6b,x,non,36431
planches de Prusse de 33 pieds,3,6b,x,non,36431
planches de Prusse de 34 à 35 pieds et de 2 pouces d'épaisseur,1,6b,,non,36431
planches de Prusse de 35 pieds,3,6b,x,non,36431
planches de Prusse de 36 pieds,3,6b,x,non,36431
planches de Prusse de 37 pieds,1,6b,,non,36431
planches de Prusse de 38 pieds,1,6b,,non,36431
planches de Prusse de 4 pieds,1,6b,,non,36431
planches de Prusse de 40 à 41 pieds à 3 pouces d'épaisseur,1,6b,,non,36431
planches de Prusse de 40 pieds,2,6b,,non,36431
planches de Prusse de 42 pieds,0,6b,,non,36431
planches de Prusse de 5 pieds,1,6b,,non,36431
planches de Prusse de 7 à 9 pieds,1,6b,,non,36431
