simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
argenterie et bijouterie,14,8,x,non,73824
argenterie et bijouterie et orfèvrerie,1,8,x,non,73824
argenterie et orfèvrerie,122,8,x,non,73824
argenterie et orfèvrerie vermeil,37,8,x,non,73824
argenterie neuve,4,8,,non,73824
argenterie vieille,12,8,x,non,73824
argile et terre pour engrais,15,2,x,non,131731
arins,1,9c,,non,13242
aristoloche,68,2,x,non,131731
armement de tables,3,8,,non,73824
armes,337,8,x,non,73824
armes à feu,350,8,x,non,73824
armes à feu de guerre,2,8,,non,73824
armes à feu de guerre et de traite,1,8,,non,73824
armes à feu de guerre portatives,2,8,,non,73824
armes à feu de luxe,4,8,,non,73824
armes à feu de luxe ou de traite,3,8,,non,73824
armes à feu de munitions,2,8,x,non,73824
armes à feu de munitions fines,4,8,x,non,73824
armes à feu de traite,1,8,,non,73824
armes à feu et artillerie,1,8,x,non,73824
armes à feu et de traite,1,8,,non,73824
armes à feu et fusils,1,8,,non,73824
armes armureries,1,8,,non,73824
armes autres que de guerre à feu,1,8,,non,73824
armes autres que de guerre blanches,1,8,,non,73824
armes blanches,201,8,x,non,73824
armes blanches de guerre,1,8,,non,73824
armes blanches de guerre et de traite,1,8,,non,73824
armes blanches de luxe,2,8,,non,73824
armes blanches de luxe ou de traite,3,8,,non,73824
armes blanches de traite,1,8,,non,73824
armes de chasse ou de luxe à feu,2,8,,non,73824
armes de chasse ou de luxe blanches,2,8,,non,73824
armes de guerre,2,8,x,non,73824
armes différentes,1,8,,non,73824
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,8,x,non,73824
armes et munitions,9,8,x,non,73824
armes lames,1,8,x,non,73824
armes remontrances,3,8,x,non,73824
armoires,57,8,x,non,73824
armoires ayant servi,1,8,x,non,73824
armoires d'acajou,12,8,x,non,73824
armoires de bois,2,8,,non,73824
armoires de bois de noyer,1,8,,non,73824
armoires de bois de sapin peintes,0,8,,non,73824
armoires de bois des Indes,1,8,x,non,73824
armoires de chêne,9,8,x,non,73824
armoires de chêne ornée,1,8,x,non,73824
armoires de noyer,9,8,x,non,73824
armoires de sapin,4,8,x,non,73824
armoires et commodes,1,8,,non,73824
armoires vieilles,2,8,,non,73824
armoisin,46,6f,x,non,16662
armure de fer,1,8,x,non,73824
armure vieille,1,8,x,non,73824
arnas,1,9c,,non,13242
arquebuse,1,8,x,non,73824
arrangas,1,9c,,non,13242
arrosoirs,6,6j,x,non,52338
arrosoirs de bois,2,6b,x,non,36431
arrosoirs de cuivre,1,6j,x,non,52338
arrosoirs de fer,1,6j,,non,52338
arrosoirs de fer-blanc,6,6j,x,non,52338
arrosoirs de sapin,1,6b,x,non,36431
arrosoirs de terre,1,6j,,non,52338
arrowroot,1,2,,non,131731
arséniate de potasse,2,5,,non,61910
arsenic,473,2,x,non,131731
arsenic métallique,6,5,,non,61910
artichauts,82,0a,x,non,122047
artichauts champignons et truffes,2,0a,,non,122047
artichauts confits,67,0a,,non,122047
artichauts frais,17,0a,x,non,122047
artichauts marinés,2,0a,,non,122047
artichauts secs,6,0a,x,non,122047
artifice,5,8,x,non,73824
artifice fusées etc.,43,8,x,non,73824
artillerie,6,8,x,non,73824
asa fœtida,122,2,x,non,131731
asperges,9,0a,x,non,122047
asperges confites,1,0a,,non,122047
asperges et scorsonères,69,0a,,non,122047
asphaltum,19,2,x,non,131731
aspic en grabeau,1,2,,non,131731
assiette,1,6k,x,non,22524
assiette de Biarritz,1,6k,x,non,22524
assiette de bois,1,6b,x,non,36431
assiette de faïence,9,6k,x,non,22524
assiette de porcelaine,3,6k,x,non,22524
assiette de porcelaine des Indes,1,6k,,non,22524
assiette de terre,6,6k,x,non,22524
assiette et plats de terre,1,6k,x,non,22524
asustum,1,2,x,non,131731
atastes,1,9c,,non,13242
atlas,2,8,,non,73824
atlas à la feuille d'or,1,8,,non,73824
atlas et instruments de marine,2,8,,non,73824
atlas jaspé,1,8,,non,73824
attaches de cuivre,1,6j,x,non,52338
attelles de colliers,14,7,x,non,14031
aube,1,8,x,non,73824
auchinoise,2,9c,x,non,13242
auclimes,3,9c,,non,13242
auf,117,2,x,non,131731
augemy,2,9c,,non,13242
auges,3,6b,x,non,36431
auges de carreaux,2,6k,x,non,22524
augustins,2,9c,,non,13242
aurcsats,1,9c,,non,13242
aurcsats étoile,1,9c,,non,13242
aussière,0,6i,,non,9168
autel de marbre,2,6k,x,non,22524
aux travaux du Roi,6,2,,non,131731
avelanèdes,59,5,x,non,61910
avelines,8,0a,x,non,122047
avelines et noisettes sèches,22,0a,x,non,122047
avelines faînes noisettes noix,1,0a,,non,122047
avelines noisettes noix,5,0a,,non,122047
avirons,658,7,x,non,14031
avirons bruts,17,7,,non,14031
avirons de 12 pieds,1,7,x,non,14031
avirons de 18 pieds,1,7,x,non,14031
avirons de 30 pieds,1,7,x,non,14031
avirons de 5 pieds,1,7,x,non,14031
avirons de 8 à 12 pieds,1,7,x,non,14031
avirons de bois,54,7,x,non,14031
avirons de bois façonné,1,7,x,non,14031
avirons de chêne,1,7,,non,14031
avirons de sapin,1,7,,non,14031
avirons en bois de construction,2,7,,non,14031
avirons et perches de bois,1,7,,non,14031
avirons et rames bruts,2,7,x,non,14031
avirons et rames de bois,1,7,x,non,14031
avirons et rames de bois façonné,2,7,x,non,14031
avirons et rames façonnés,5,7,x,non,14031
avirons polis,1,7,,non,14031
avoine,865,0a,,non,122047
avoine en gerbes,22,0a,,non,122047
avoine et haricots,1,0a,x,non,122047
avoine et orge etc.,1,0a,x,non,122047
avoine mondée,1,0a,x,non,122047
avoine moulée,1,0a,x,non,122047
azur,736,5,x,non,61910
azur commun,331,5,x,non,61910
azur et bleu de Prusse,9,5,x,non,61910
azur et cobalt,20,5,x,non,61910
azur fin,13,5,x,non,61910
azur gros,24,5,x,non,61910
babassis,1,9c,,non,13242
babouches,91,8,x,non,73824
babouches de maroquin,2,8,x,non,73824
bacs d'1 aime,1,6k,x,non,22524
bacs de pierre,4,6k,,non,22524
bacs de pierre bleue,2,6k,,non,22524
bacs de pierre d'1 aime,13,6k,x,non,22524
bacs de pierre de 4 aimes,2,6k,x,non,22524
bacs de pierre de demi d'aime,66,6k,x,non,22524
bacs de pierre de moindre classe,85,6k,x,non,22524
bacs de pierre de trois-quart d'aime,2,6k,x,non,22524
bacs de pierre en dessous d'1 aime,14,6k,x,non,22524
bacs de pierre en dessus d'1 aime,54,6k,x,non,22524
badiane,61,2,x,non,131731
baffetas,10,6g,,non,16886
baffetas blanc,20,6g,x,non,16886
baffetas bleu,27,6g,x,non,16886
baffetas des Indes,4,6g,x,non,16886
bafs ?,0,9c,,non,13242
bagages,3,8,,non,73824
bagarot,1,9c,,non,13242
bagues,5,8,x,non,73824
bagues à pierres fausses,1,8,x,non,73824
bagues d'argent,2,8,x,non,73824
bagues d'or,1,8,x,non,73824
bagues de cuivre,2,6j,x,non,52338
bagues de laiton,1,8,x,non,73824
bagues de verre,3,8,x,non,73824
baguettes,6,9c,x,non,13242
baguettes à chandelle,1,9c,x,non,13242
baguettes à étoffe,2,6j,x,non,52338
baguettes d'étain,2,6j,x,non,52338
baguettes de bois,1,6b,x,non,36431
baguettes de bois doré,1,6b,x,non,36431
baguettes de cuivre,3,6j,x,non,52338
baguettes de fer à fusil,53,8,,non,73824
baguettes de fusil,47,8,x,non,73824
bahuts,24,8,x,non,73824
baie de laurier,28,2,x,non,131731
baies de buis,1,2,,non,131731
baies de genévrier à distiller,2,0a,,non,122047
baies de genièvre,9,0a,,non,122047
baignes,3,6e,x,non,20927
baignoires,2,8,x,non,73824
baignoires d'acajou,1,8,x,non,73824
baignoires de cuivre,4,8,x,non,73824
baignoires de sapin,1,8,x,non,73824
baignoires de tôle,2,8,x,non,73824
baigots,1,9c,,non,13242
baillarge,14,0a,,non,122047
bailles,1,6b,x,non,36431
baïonnettes,77,8,,non,73824
bais de bois de chêne,2,9c,,non,13242
bajutapau,243,6g,x,non,16886
bajutapau commun,1,6g,x,non,16886
