marchandises_simplification,provenance_nord_américaine,details_provenance
suif,Hors Amérique du Nord,
suite des matières premières,Hors Amérique du Nord,
tabac,Hors Amérique du Nord,
tabac commun,Hors Amérique du Nord,
tabac commun en feuilles,Hors Amérique du Nord,
tabac d'Espagne,Hors Amérique du Nord,Espagne
tabac d'Espagne et en feuilles,Hors Amérique du Nord,Espagne
tabac de la Havane,Hors Amérique du Nord,antilles
tabac de St. Domingue,Hors Amérique du Nord,antilles
tabac du Brésil,Hors Amérique du Nord,tropiques
tabac en andouille,Hors Amérique du Nord,
tabac en carotte,Hors Amérique du Nord,
tabac en carrotte,Hors Amérique du Nord,
tabac en cordes,Hors Amérique du Nord,
tabac en filé,Hors Amérique du Nord,
tabac en manoque,Hors Amérique du Nord,
tabac en poudre,Hors Amérique du Nord,
tabac fabriqué,Hors Amérique du Nord,
tabac filé,Hors Amérique du Nord,
tabac râpé,Hors Amérique du Nord,
tafia,Hors Amérique du Nord,
tamarin,Hors Amérique du Nord,Indes
tapis de Guinée,Hors Amérique du Nord,Afrique
térébenthine,Hors Amérique du Nord,
térébenthine commune,Hors Amérique du Nord,
thé,Hors Amérique du Nord,
toile blanche,Hors Amérique du Nord,
toile commune,Hors Amérique du Nord,
toile de Beaufort,Hors Amérique du Nord,
toile de Bretagne crée large,Hors Amérique du Nord,
toile de coton,Hors Amérique du Nord,
toile de coton mousselines Nankin et des Indes,Hors Amérique du Nord,Asie
toile de paille,Hors Amérique du Nord,
toile de voile,Hors Amérique du Nord,
toile peinte,Hors Amérique du Nord,
toile platier de Guinée,Hors Amérique du Nord,Afrique
vanille,Hors Amérique du Nord,
vin,Hors Amérique du Nord,
vin d'orange,Hors Amérique du Nord,
vin de Hongrie,Hors Amérique du Nord,Europe
vin de liqueurs,Hors Amérique du Nord,
vin de palme,Hors Amérique du Nord,
vin de Provence,Hors Amérique du Nord,Europe
vin de Rhin de retour,Hors Amérique du Nord,Europe
vin des Canaries,Hors Amérique du Nord,Afrique
vin divers,Hors Amérique du Nord,
vin ordinaire,Hors Amérique du Nord,
vin ordinaire divers,Hors Amérique du Nord,
??? d'une valeur moindre de deux mille francs chacun,Intraitable,
capalme,Intraitable,
carnifié,Intraitable,
caves files,Intraitable,
divers,Intraitable,
écorce médicinaux et feuilles médicinaux et fleurs médicinaux et fruits médicinaux et herbes médicinaux et plantes médicinaux et racines médicinaux,Intraitable,
graine diverse,Intraitable,
graine diverse et de jardin,Intraitable,
habillement et lingerie,Intraitable,
huile diverse,Intraitable,
jus,Intraitable,
marchandises,Intraitable,
marchandises de retour faute de vente contrebordée,Intraitable,
matières premières,Intraitable,
NA,Intraitable,
réunies,Intraitable,
valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial,Intraitable,
baumanes,Peut être Amérique du Nord,
billes de bois marbré,Peut être Amérique du Nord,
bois de machemillier,Peut être Amérique du Nord,
bois de sap,Peut être Amérique du Nord,
bois de Siramonbas,Peut être Amérique du Nord,
bois rozat,Peut être Amérique du Nord,
bois vert,Peut être Amérique du Nord,
cafetou de fer,Peut être Amérique du Nord,
capillaire en herbes,Peut être Amérique du Nord,
caril,Peut être Amérique du Nord,
cornes,Peut être Amérique du Nord,
cornes de bétail,Peut être Amérique du Nord,
cuir de bœufs en poil,Peut être Amérique du Nord,
cuirs de bœuf,Peut être Amérique du Nord,
cuirs de bœuf en poil,Peut être Amérique du Nord,
cuirs de bœuf en poil et secs,Peut être Amérique du Nord,
cuirs de bœuf en poil tannés,Peut être Amérique du Nord,
cuirs de bœuf salé,Peut être Amérique du Nord,
cuirs de bœuf tannés,Peut être Amérique du Nord,
cuirs de bœuf vert,Peut être Amérique du Nord,
cuirs en poil de vache,Peut être Amérique du Nord,
cuirs tannés de vache,Peut être Amérique du Nord,
langues de bœuf,Peut être Amérique du Nord,
maquereaux,Peut être Amérique du Nord,
maquereaux salés,Peut être Amérique du Nord,
rogues,Peut être Amérique du Nord,
rogues de poisson,Peut être Amérique du Nord,
