marchandises_norm_ortho,marchandises_simplification
autres matières minérales de toute sorte,matières minérales
autres métaux,métaux
autres outils de fer rechargé d'acier,outils de fer rechargé d'acier
autres outils de pur fer,outils de fer pur
avelanèdes,avelanèdes
"avelanèdes, valonèdes ou vallonées",avelanèdes
avelines,avelines
aviron,avirons
avirons,avirons
avirons bruts,avirons bruts
avirons de 12 pieds,avirons de 12 pieds
avirons de 18 pieds,avirons de 18 pieds
avirons de 30 pieds,avirons de 30 pieds
avirons de 5 pieds,avirons de 5 pieds
avirons de 8 à 12,avirons de 8 à 12 pieds
avirons de chêne,avirons de chêne
avirons de sapin,avirons de sapin
avirons et rames bruts,avirons et rames bruts
avirons et rames façonnés,avirons et rames façonnés
avirons polis,avirons polis
avoine,avoine
avoine en gerbes,avoine en gerbes
avoine et haricots,avoine et haricots
avoine mondée,avoine mondée
avoine moulée,avoine moulée
avoine orge etc.,avoine et orge etc.
azur,azur
azur commun,azur commun
azur et cobalt,azur et cobalt
azur fin,azur fin
azur gros,azur gros
azur ou bleu commun,azur commun
babouches,babouches
babouches de maroquin,babouches de maroquin
bacs contenant une aime,bacs d'1 aime
bacs de pierre,bacs de pierre
bacs de pierre bleue,bacs de pierre bleue
bacs de pierre contenant 1 aime,bacs de pierre d'1 aime
bacs de pierre contenant 4 aimes,bacs de pierre de 4 aimes
bacs de pierre de demi d'aime,bacs de pierre de demi d'aime
bacs de pierre de moindre classe,bacs de pierre de moindre classe
bacs de pierre de trois-quart d'aime,bacs de pierre de trois-quart d'aime
bacs de pierre en dessous d'1 aime,bacs de pierre en dessous d'1 aime
bacs de pierre en dessus d'1 aime,bacs de pierre en dessus d'1 aime
badiane,badiane
badiane ou anis étoilé,badiane
baffetas,taffetas
baffetas blanc,baffetas blanc
baffetas bleu,baffetas bleu
bagarot,bagarot
bagues,bagues
bagues à pierres fausses,bagues à pierres fausses
bagues d'or,bagues d'or
bagues de cuivre,bagues de cuivre
bagues de laiton,bagues de laiton
bagues de verre,bagues de verre
baguettes,baguettes
baguettes à chandelle,baguettes à chandelle
baguettes à fusils,baguettes de fusil
baguettes de bois,baguettes de bois
baguettes de bois doré,baguettes de bois doré
baguettes de cuivre,baguettes de cuivre
baguettes de fer pour fusils,baguettes de fer à fusil
baguettes de fusils,baguettes de fusil
baguettes étoffe,baguettes à étoffe
bahuts,bahuts
baie de laurier,baie de laurier
baies de buis,baies de buis
baies de genièvre,baies de genièvre
baignes,baignes
baignoires,baignoires
baignoires de cuivre,baignoires de cuivre
baignoires de sapin,baignoires de sapin
baignoires de tôle,baignoires de tôle
baigots,baigots
baillarge,baillarge
bailles,bailles
baïonnettes,baïonnettes
bais de bois de chêne,bais de bois de chêne
bajutapau,bajutapau
balais,balais
balais communs,balais communs
balais coupés,balais coupés
balais de bois,balais de bois
balais de brandes,balais de brandes
balais de bruyère,balais de bruyère
balais de chanvre,balais de chanvre
balais de crin,balais de crin
balais de foyer,balais de foyer
balais de jonc,balais de jonc
balais de jonc petits,balais de jonc petits
balais de laine à laver les planchers,balais de laine à laver les planchers
balais de millet,balais de millet
balais de paille,balais de paille
balais de paille de riz,balais de paille de riz
balais de palme,balais de palme
balais de palme grands,balais grands de palme
balais de palme petits,balais de palme petits
balais de plumes,balais de plumes
balais de poil,balais de poil
balais de riz,balais de riz
balais de soie,balais de soie
balais de soie de porc,balais de soie de porc
balais de soie en porc,balais de soie de porc
balais de toile,balais de toile
balais divers,balais
balais du roi,balais du roi
balais fins,balais fins
balais ou ramons,balais ou ramons
balance,balance
balance à la romaine,balance à la romaine
balance complète,balance complète
balance de bois,balance de bois
balance de cuivre,balance de cuivre
balance de cuivre jaune,balance de cuivre jaune
balance et poids de cuivre,balance et poids de cuivre
balance et romaine,balance romaine
balance et ses poids,balance et ses poids
