marchandises_norm_ortho,marchandises_simplification
tissus de lin ou de chanvre toile unie teinte de 8 fils inclusivement à 13 fils exclusivement,toile de chanvre et de lin unie teinte de 8 fils inclusivement à 13 fils exclusivement
tissus de lin ou de chanvre toile unie teinte de moins de 8 fils,toile de chanvre et de lin unie teinte de moins de 8 fils
tissus de lin ou de chanvre tulle,tulle de chanvre et de lin
tissus de plocq,étoffes de plocq
tissus de poil tapis bonneterie et étoffes,bonneterie étoffes et tapis de poil
tissus de soie blonde,étoffes de soie blonde
tissus de soie bonneterie,bonneterie de soie
tissus de soie brochés d'or et d'argent faux,étoffes brochées d'argent et d'or faux de soie
tissus de soie brochés d'or et d'argent fin,étoffes brochées d'argent et d'or fin de soie
tissus de soie brochés de soie,étoffes brochées de soie de soie
tissus de soie coton et laine mélangés,étoffe de coton et de laine et de soie mélangés
tissus de soie crêpe,crêpe de soie
tissus de soie dentelles de soie dites blondes,dentelle de soie blonde
tissus de soie étoffes mêlées de fil,étoffe de soie mêlée de fil
tissus de soie étoffes pures brochées d'or ou d'argent faux,étoffe brochée d'argent et d'or faux de soie pure
tissus de soie étoffes pures brochées d'or ou d'argent fin,étoffe brochée d'argent et d'or fin de soie pure
tissus de soie étoffes pures brochées de soie,étoffe brochée de soie de soie pure
tissus de soie étoffes pures façonnées,étoffe façonnée de soie pure
tissus de soie étoffes pures unies,étoffe de soie pure unie
tissus de soie étoffes pures unies et façonnées mouchoirs et châles,châles et mouchoirs de soie façonnée pure et unie
tissus de soie façonnés,étoffes façonnés de soie
tissus de soie gaze de toute espèce,gaze de soie
tissus de soie gazes crêpes et tulles,crêpe et gaze et tulle de soie
tissus de soie mêlés d'autres matières,étoffes de soie mêlée
tissus de soie passementerie d'or et d'argent faux,passementerie d'argent et d'or faux et de soie
tissus de soie passementerie de mêlée d'or et d'argent,passementerie mêlée d'argent d'or et de soie
tissus de soie passementerie de soie pure,passementerie de soie pure
tissus de soie passementerie de soie sans mélange,passementerie de soie
tissus de soie passementerie mêlée d'autres matières,passementerie de soie mêlée
tissus de soie passementerie mêlée d'or ou d'argent fin et faux,passementerie mêlée d'argent d'or faux et fin et de soie
tissus de soie ruban ceux de velours compris,ruban de soie
tissus de soie ruban et passementerie soie pure,passementerie et ruban de soie pure
tissus de soie ruban unis et veloutés,ruban de soie unis et veloutés
tissus de soie tulle,tulle de soie
tissus de soie unis,étoffes de soie unis
tissus de soie velours,velours de soie
tissus de toile de coutil,toile de coutil
tissus de toile de coutil et à carreaux,étoffe à carreaux et de toile de coutil
tissus de toile en linge de tables,linge de table de toile
tissus dentelle de fil,dentelle de fil
tissus en feuilles,étoffes en feuilles
tissus en feuilles des mêmes matières,étoffes en feuilles
tissus en laine à poil long,étoffe de laine angora
tissus en laine fabriqué à Arras,étoffe de laine fabriquée à Arras
tissus mélangés de lin et de chanvre sans indication d'espèce,étoffes de chanvre ou de lin mêlés
tobines,tobines
tobines de Hollande,tobines de Hollande
toile,toile
toile ???,toile ???
toile 3/4 large,toile 3/4
toile a ???,toile a ???
toile à 4 fils,toile à 4 fils
toile à bas,toile à bas
toile à bât,ruban de laine mêlée de fil
toile à bâts,toile à bâts
toile à bluteaux,toile à bluteaux
toile à canevas,toile à canevas
toile à carreaux,toile à carreaux
toile à carreaux et à matelas,toile à carreaux et à matelas
toile à carreaux pièces de 50 aunes,toile à carreaux et en pièces de 50 aunes
toile à cottray,toile à cottray
toile à doubler,toile à doubler
toile à faire chemises à nègre,toile pour faire chemise à nègre
toile à faire linge,toile pour faire linge
toile à matelas,toile à matelas
toile à matelot,toile à matelot
toile à ménages,toile à ménages
toile à nappes,toile à nappes
toile à nappes et serviettes,toile à nappes et serviettes
toile à nègre,toile à nègre
toile à paillasses,toile à paillasse
toile à pavillon,toile à pavillon
toile à peindre,toile à peindre
toile à robes,toile à robes
toile à robes fil et coton de Cholet,toile de coton et de fil de Cholet à robes
toile à sacquette dite talette,toile à sacquette dite talette
toile à sacs,toile à sacs
toile à saquette dite talette aune,toile à sacquette dite talette
toile à serpillière,toile à serpillière
toile à serviettes,toile à serviettes
toile à serviettes de Lille,toile de Lille à serviettes
toile à tamis,toile à tamis
toile à tapisser,toile à tapisser
toile à voile,toile à voile
toile à voile de 24 aunes,toile à voile de 24 aunes
toile abas,toile abas
toile abat,toile abat
toile ajamis,toile ajamis
toile alanea,toile alanea
toile Alep,toile d'Alep
toile aleph,toile d'Alep
toile amant,toile amant
toile anascotes,toile anascotes
toile anglaise,toile anglaise
toile anglaise de prise,toile anglaise de prise
toile Antioche,toile Antioche
toile ardoisée et rayonnée,toile ardoisée et rayonnée
toile assortie,toile
toile au lain,toile au lain
toile au lait,toile au lait
toile au lait lin,toile au lait lin
toile au lin de Lille,toile de lin de Lille
toile babassis,babassis
toile baffetas,baffetas
toile bajas,toile bajas
toile bajouge,toile bajouge
toile bajutapau,bajutapau
toile bajutapau commun,bajutapau commun
toile bajutapaux,bajutapau
toile baras,baras
toile barrière,toile barrière
toile Barrois,toile Barrois
toile bas brin,toile bas brin
toile basin,toile de basin
toile basin blanc de fil,basin blanc de fil
toile basin brodé en soie et or,basin brodé de soie et d'or
toile basin clair mêlé de coton,basin clair mêlé de coton
toile basin clair uni,toile de basin clair et uni
toile basin commun,toile commune de basin
toile basin de coton,toile de basin de coton
toile basin de coton commune,toile de basin de coton commune
toile basin de Rouen,toile de basin de Rouen
toile basin étranger,toile de basin étranger
toile basin fin,toile de basin fin
toile basin gros,toile de basin gros
toile basin national,toile de basin national
toile basine,toile de basine
toile batanonis,batanony
toile batanony,batanony
toile batiste,batiste
toile batiste brochée,batiste brochée
toile batiste de 12 aunes,batiste de 12 aunes
toile batiste écrue,batiste écrue
toile batiste et fine,batiste fine
toile batiste et linon,batiste et linon
toile batiste fine,batiste fine
toile batiste ou toilettes,batiste
toile bayette,bayette
toile bayette bleue,bayette bleue
toile beaugrain,toile beaugrain
toile bem ???,bem ???
toile bem à voile,bem à voile
toile bem de Vimoutiers,bem de Vimoutiers
toile bétilles,bétilles
toile beurrière,beurrière
toile birampots,birampots
toile blancard,toile blancard
toile blancard de lin,toile blancard de lin
toile blancard de Rouen,toile blancard de Rouen
toile blancard lin,toile blancard de lin
toile blanche,toile blanche
toile blanche à imprimer,toile blanche à imprimer
toile blanche commune,toile blanche commune
toile blanche de 13 à 20 fils,toile blanche de 13 à 20 fils
toile blanche de 20 fils et au-dessus,toile blanche de 20 fils et au-dessus
toile blanche de Cholet,toile blanche de Cholet
Toile blanche de coton fine,toile blanche de coton fine
toile blanche de France,toile blanche de France
toile blanche de Hollande,toile blanche de Hollande
toile blanche de la Compagnie,toile blanche de la Compagnie
Toile blanche de la Compagnie,toile blanche de la Compagnie
toile blanche de lin,toile blanche de lin
toile blanche de ménages,toile blanche de ménages
toile blanche de moins de 13 fils,toile blanche de 13 fils
toile blanche de Saint Quentin et Valenciennes,toile blanche de Saint Quentin et Valenciennes
toile blanche de Saint-Quentin,toile blanche de Saint-Quentin
toile blanche dite abati,toile blanche abati
toile blanche dite aman,toile blanche aman
toile blanche dite demitte,toile blanche demitte
toile blanche dite escanite,toile blanche escanite
toile blanche dite Guinée,toile blanche guinée
toile blanche dite large,toile blanche large
toile blanche et rouge,toile blanche et rouge
toile blanche et rousse,toile blanche et rousse
toile blanche et teinte,toile blanche et teinte
toile blanche fine,toile blanche fine
toile blanche fine de coton,toile blanche de coton et fine
toile blanche mousselines,mousselines blanche
toile blanche Nankin,nankin blanche
toile blanche ordinaire,toile blanche ordinaire
toile blanche ordre,toile blanche ordre
toile blanche peinte,toile blanche peinte
toile blanche pièces de 20 aunes,toile blanche en pièces de 20 aunes
toile blanche pour essuie-mains,toile blanche pour essuie-mains
toile blanchie,toile blanchie
toile bleue,toile bleue
toile bleue diverse,toile bleue
toile bleue peinte,toile bleue peinte
toile bocadille,toile bocadillo
toile bocadillo,toile bocadillo
toile boelans,toile boelans
toile boucassin,toile boucassine
toile boucassine,toile boucassine
toile bougran,toile bougran
toile boulange,toile boulange
toile bourlegambis,toile bourlegambis
toile brauls,toile brauls
toile brauls imitant celles des Indes,toile brauls imitant celles des Indes
toile Bretagne,toile de Bretagne
toile Bretagne à carreaux,toile de Bretagne à carreaux
toile Bretagne à voile,toile de Bretagne à voile
toile Bretagne crée,toile de Bretagne crée
toile Bretagne d'Olonne,toile d'Olonne
toile Bretagne de brin,toile de Bretagne de brin
toile Bretagne de halle,toile de Bretagne de halle
toile Bretagne de ménage,toile de Bretagne de ménage
toile Bretagne diverse,toile de Bretagne diverse
toile Bretagne entre large,toile de Bretagne entre large
toile Bretagne étroite,toile de Bretagne étroite
toile Bretagne gratienne,toile de Bretagne gratienne
toile Bretagne large,toile de Bretagne large
toile Bretagne Locronan,locronan
toile Bretagne rosconne,toile de Bretagne rosconne
toile Bretagne rousse,toile de Bretagne rousse
toile brin,toile brin
toile brin de Dinant,toile brin de Dinant
toile brochée,toile brochée
toile brodée,toile brodée
toile bueadille,toile bueadille
toile cacanava,toile cacanava
toile cadéas,toile cadéas
toile caissie,toile caissie
toile caladaris,toile caladaris
toile calanea,toile calanea
toile calias,toile calias
toile Cambrai,toile de Cambrai
toile canevas,toile canevas
toile carotte,toile carotte
toile carotte double,toile carotte double
toile carotte simple,toile carotte simple
toile casse,toile casse
toile casselis,toile casselis
toile cassie,toile cassie
toile ce chasse,toile ce chasse
toile cerda,toile cerda
toile céruse,toile céruse
toile chafarcani,chafarcany
toile chanvre blanche,toile de chanvre blanche
toile chapelur,toile chapelur
toile chapilas,toile chapilas
toile chasselas,toile chasselas
toile chebine,toile chebiny
toile chebiny,toile chebiny
Toile chebiny,toile chebiny
toile chille,toile chille
toile chitte,toile chitte
toile choilette,toile choilette
toile Cholet,toile Cholet
toile Cholet à carreaux,toile Cholet à carreaux
toile cholette,toile cholette
toile cirée,toile cirée
toile cirée aune,toile cirée
toile cirée de 13 à 20 fils,toile cirée de 13 à 20 fils
toile cirée de moins de 8 fils,toile cirée de moins de 8 fils
toile cirée et de crin,toile de crin cirée
toile cirée et gommée,toile cirée et gommée
toile cirée et lustrée,toile cirée et lustrée
toile cirée et peinte,toile cirée et peinte
toile cirée gommée et de crin,toile cirée et de crin et gommée
toile cirée peinte,toile cirée et peinte
toile cirée pour paravent,toile cirée pour paravent
toile cirsaca,toile cirsaca
toile claire,toile claire
toile cochelis,toile cochelis
toile coffres,toile coffres
toile colette,toile colette
toile Combourg,toile de Combourg
toile commune,toile commune
toile commune de 25 aunes,toile commune de 25 aunes
toile commune de Lille,toile commune de Lille
toile cordas,toile cordat
toile cordat,toile cordat
toile cordeillat,toile cordeillat
toile corot,toile corot
toile corot double,toile corot double
toile corot imitant celle des Indes,toile corot imitant celle des Indes
toile corot simple,toile corot simple
toile coton,toile de coton
toile coton à bas,toile de coton à bas
toile coton à jamis,toile de coton à jamis
toile coton aman,toile de coton aman
toile coton Antioche,toile de coton d'Antioche
toile coton blanche,toile de coton blanche
toile coton commune,toile de coton commune
toile coton demitte,toile de coton demitte
toile coton des Indes,toile de coton des Indes
toile coton escamitte,toile de coton escamitte
toile coton et fil,toile de coton et de fil
toile coton forte,toile de coton forte
toile coton Guinée,guinée de coton
toile coton large,toile de coton large
toile coton mousselines,toile de coton mousseline
toile coton peinte,toile de coton peinte
toile coton teinte,toile de coton teinte
toile coton vieux,toile de coton vieux
toile cotonade fil et coton,toile de coton et de fil
toile cotonine,cotonnine
toile cotonnade,toile cotonnade
toile cottray,toile cottray
toile coupis,toile coupis
toile coupis imitant celle des Indes,toile coupis imitant celle des Indes
toile courtrai,toile de Courtrai
toile coutil,toile coutil
toile coutil commune,toile coutil commune
toile coutil de fil,toile coutil de fil
toile coutil fil,toile coutil de fil
toile coutil fil et laine,toile coutil de fil et de laine
toile crée,toile crée
toile crée entretarge,toile crée entrelarge
toile crée gratienne,toile crée gratienne
toile crée large,toile crée large
toile crée margé,toile crée margé
toile crée pièces de 50 aunes,toile crée pièces de 50 aunes
toile crée rayée,toile crée rayée
toile crée rosconne,toile crée rosconne
toile cretonne,toile cretonne
toile crin,toile crin
toile crise,toile crise
toile croisée coutil basin et autres,toile basin coutil croisée et autres
toile croisée coutils,toile coutil croisée
toile crue,toile crue
toile crue de ménage,toile crue de ménage
toile crue et teinte,toile crue et teinte
toile crue grise et ardoisée,toile crue grise et ardoisée
toile crue large,toile crue large
toile crue pièces de 20 aunes,toile crue pièces de 20 aunes
toile cunbabis,toile cunbabis
toile custas,toile custas
toile custas imitant celle des Indes,toile custas imitant celle des Indes
toile d'abas,toile d'abas
toile d'Agen,toile d'Agen
toile d'Alençon,toile d'Alençon
toile d'Alep,toile d'Alep
toile d'Allemagne,toile d'Allemagne
toile d'Allemagne aune,toile d'Allemagne
toile d'Allemagne et Silésie,toile d'Allemagne et toile de Silésie
toile d'aman,toile d'aman
toile d'amat,toile d'amat
toile d'Angers,toile d'Angers
toile d'anne,toile d'anne
toile d'antal,toile d'antale
toile d'antale,toile d'antale
toile d'antale large,toile d'antale
toile d'Antioche,toile d'Antioche
toile d'antrain,toile d'antrain
toile d'Argouges,toile d'Argouges
toile d'Artische,toile d'Artische
toile d'aune,toile d'aune
toile d'Autriche,toile d'Autriche
toile d'auxonne,toile d'auxonne
toile d'azar,toile d'azar
toile d'azard,toile d'azar
toile d'azur,toile d'azur
toile d'azur bleue,toile d'azur bleue
toile d'ecripe,toile d'ecripe
toile d'embabe,toile d'emballage
toile d'embale,toile d'emballage
toile d'emballage,toile d'emballage
toile d'emballage 2270 lignes,toile d'emballage 2270 lignes
toile d'emballage neuve,toile d'emballage neuve
toile d'emballage vieille,toile d'emballage vieille
toile d'étoupes,toile d'étoupes
toile d'étoupes 1000 lignes,toile d'étoupes 1000 lignes
toile d'étoupes de chanvre,toile de chanvre d'étoupes
toile d'étoupes de lin,toile d'étoupes de lin
toile d'étoupes de lin dite serpillière,toile d'étoupes de lin
toile d'étoupes et de chanvre,toile de chanvre d'étoupes
toile d'Hambrie,toile d'Hambrie
toile d'herbes,toile d'herbe
toile d'Irlande,toile d'Irlande
toile d'Olonne,toile d'Olonne
toile damassée,toile damassée
toile damassée aune,toile damassée
toile damassée de 1 aune,toile damassée de 1 aune
toile damassée de 2 1/2 aunes,toile damassée de 2 1/2 aunes
toile damassée de 2 aunes,toile damassée de 2 aunes
toile damassée de 3 aunes large,toile damassée de 3 aunes large
toile damassée de Caux,toile damassée de Caux
toile de ??? lin,toile de ??? lin
toile de 3 aunes de largeur et en dessus,toile de 3 aunes de largeur et en dessus
toile de 3 aunes pour nappes,toile de 3 aunes pour nappes
toile de 30 aunes,toile de 30 aunes
toile de 4 fils,toile de 4 fils
toile de 7/8,toile de 7/8
toile de balle,toile de balle
toile de Barbezieux,toile de Barbezieux
toile de basin,basin
toile de basin en fil,basin de fil
toile de basin fil en coton,basin de coton et basin de fil
toile de batiste,batiste
toile de bazouges,toile de bazouges
toile de Beaufort,toile de Beaufort
toile de Beauvais,toile de Beauvais
toile de Bernay,toile de Bernay
toile de bleue,toile de bleue
toile de Bretagne,toile de Bretagne
toile de Bretagne ??? brin,toile de Bretagne ??? brin
toile de Bretagne 3 aunes,toile de Bretagne de 3 aunes
toile de Bretagne 3/4,toile de Bretagne 3/4
toile de Bretagne 7/8,toile de Bretagne 7/8
toile de Bretagne à 4 fils,toile de Bretagne à 4 fils
toile de Bretagne à carreaux,toile de Bretagne à carreaux
toile de Bretagne à nègre,toile de Bretagne à nègre
toile de Bretagne à voile,toile de Bretagne à voile
toile de Bretagne bas brin,toile de Bretagne bas brin
toile de Bretagne beurrière,toile de Bretagne beurrière
toile de Bretagne blancard,toile de Bretagne blancard
toile de Bretagne blanche,toile de Bretagne blanche
toile de Bretagne blanchie,toile de Bretagne blanche
toile de Bretagne cirée,toile de Bretagne cirée
toile de Bretagne Combourg,toile de Combourg
toile de Bretagne commune,toile de Bretagne commune
toile de Bretagne cotonnade,toile de Bretagne cotonnade
toile de Bretagne cottray,toile de Bretagne cottray
toile de Bretagne crée,toile de Bretagne crée
toile de Bretagne crée étroite,toile de Bretagne crée étroite
toile de Bretagne crée large,toile de Bretagne crée large
toile de Bretagne crée large de 40 aunes,toile de Bretagne crée large de 40 aunes
toile de Bretagne crée-large,toile de Bretagne crée large
toile de Bretagne crue,toile de Bretagne crue
toile de Bretagne d'aune,toile de Bretagne d'aune
toile de Bretagne d'emballage,toile de Bretagne d'emballage
toile de Bretagne d'Ernée,toile d'Ernée
toile de Bretagne d'étoupe,toile de Bretagne d'étoupe
toile de Bretagne d'Olonne,toile de Bretagne d'Olonne
toile de Bretagne de ???,toile de Bretagne de ???
toile de Bretagne de ??? fil,toile de Bretagne de ??? fil
toile de Bretagne de 4 fils,toile de Bretagne de 4 fils
toile de Bretagne de 6 fils,toile de Bretagne de 6 fils
toile de Bretagne de balles,toile de Bretagne de balles
toile de Bretagne de bas brin,toile de Bretagne de bas brin
toile de Bretagne de bazot,toile de Bretagne de bazot
toile de Bretagne de Brieu,toile de Brieu
toile de Bretagne de brin,toile de Bretagne de brin
toile de Bretagne de challe,toile de Bretagne de challe
toile de Bretagne de chanvre,toile de Bretagne de chanvre
toile de Bretagne de Combourg,toile de Combourg
toile de Bretagne de coton,toile de Bretagne de coton
toile de Bretagne de couleur,toile de Bretagne de couleur
toile de Bretagne de couleurs,toile de Bretagne de couleur
toile de Bretagne de couture,toile de Bretagne de couture
toile de Bretagne de Dinan,toile de Dinan
toile de Bretagne de Dinant,toile de Dinan
toile de Bretagne de fil,toile de Bretagne de fil
toile de Bretagne de Fougères,toile de Fougères
toile de Bretagne de gratienne,toile de Bretagne gratienne
toile de Bretagne de halle,toile de Bretagne de halle
toile de Bretagne de haut brin,toile de Bretagne de haut brin
toile de Bretagne de Hollande,toile de Hollande
toile de Bretagne de Landerneau,toile de Landerneau
toile de Bretagne de Languenan,toile de Languenan
toile de Bretagne de Laval,toile de Laval
toile de Bretagne de Léon,toile de Léon
toile de Bretagne de Locronan,locronan
toile de Bretagne de Lombourg,toile de Lombourg
toile de Bretagne de Mayenne,toile de Mayenne
toile de Bretagne de ménage,toile de Bretagne de ménage
toile de Bretagne de ménages,toile de Bretagne de ménage
toile de Bretagne de Moncontour,toile de Moncontour
toile de Bretagne de Morlaix,toile de Morlaix
toile de Bretagne de Mortagne,toile de Mortagne
toile de Bretagne de Mortagne ???,toile de Mortagne ???
toile de Bretagne de Moutier,toile de Moutier
toile de Bretagne de Noirmoutier,toile de Noirmoutier
toile de Bretagne de Poldavie,toile de Poldavie
toile de Bretagne de Pontigny,toile de Pontigny
toile de Bretagne de pontivy,toile de Pontivy
toile de Bretagne de Pontivy,toile de Pontivy
toile de Bretagne de Pouldavid,toile de Pouldavid
toile de Bretagne de quatre fils,toile de Bretagne de quatre fils
toile de Bretagne de Quintin,toile de Quintin
toile de Bretagne de réforme,toile de Bretagne de réforme
toile de Bretagne de rondelette,toile de Bretagne de rondelette
toile de Bretagne de rosconne,toile de Bretagne de rosconne
toile de Bretagne de rousse,toile de Bretagne rousse
toile de Bretagne de Saint-???,toile de Bretagne de Saint-???
toile de Bretagne de Saint-Georges,toile de Bretagne de St. Georges
toile de Bretagne de Savigny,toile de Bretagne de Savigny
toile de Bretagne de sept huit,toile de Bretagne de sept huit
toile de Bretagne de serpillère,toile de Bretagne de serpillère
toile de Bretagne de Suvignan,toile de Suvignan
toile de Bretagne de Vimoutier,toile de Vimoutiers
toile de Bretagne de Vimoutiers,toile de Vimoutiers
toile de Bretagne de Vitré,toile de Vitré
toile de Bretagne de Vitrée,toile de Vitré
toile de Bretagne diverse,toile de Bretagne diverse
toile de Bretagne diverse à carreaux,toile de Bretagne à carreaux
toile de Bretagne diverse à voile,toile de Bretagne à voile
toile de Bretagne diverse bas brin,toile de Bretagne bas brin
toile de Bretagne diverse blanche,toile de Bretagne blanche
toile de Bretagne diverse blanche large,toile de Bretagne blanche large
toile de Bretagne diverse chanvre,toile de Bretagne de chanvre
toile de Bretagne diverse crée large,toile de Bretagne crée large
toile de Bretagne diverse crue,toile de Bretagne crue
toile de Bretagne diverse d'Olonne,toile d'Olonne
toile de Bretagne diverse de Bonbourg,toile de Bonbourg
toile de Bretagne diverse de chanvre,toile de Bretagne de chanvre
toile de Bretagne diverse de Fougères,toile de Fougères
toile de Bretagne diverse de halle,toile de Bretagne de halle
toile de Bretagne diverse de haut brin,toile de Bretagne de haut brin
toile de Bretagne diverse de Languenan,toile de Languenan
toile de Bretagne diverse de ménage,toile de Bretagne de ménage
toile de Bretagne diverse de Morlaix,toile de Morlaix
toile de Bretagne diverse de Poldavie,toile de Poldavie
toile de Bretagne diverse de Pontivy,toile de Pontivy
toile de Bretagne diverse de rosconne,toile de Bretagne de rosconne
toile de Bretagne diverse de Saint-Georges,toile de Saint-Georges
toile de Bretagne diverse de Savigny,toile de Savigny
toile de Bretagne diverse de Vitrée,toile de Vitrée
toile de Bretagne diverse écrue,toile de Bretagne écrue
toile de Bretagne diverse entre large,toile de Bretagne entre large
toile de Bretagne diverse étroite,toile de Bretagne étroite
toile de Bretagne diverse gratienne,toile de Bretagne gratienne
toile de Bretagne diverse grenade,toile de Bretagne grenade
toile de Bretagne diverse haut brin,toile de Bretagne de haut brin
toile de Bretagne diverse lacormen,toile de Bretagne lacormen
toile de Bretagne diverse Languenan,toile de Languenan
toile de Bretagne diverse large,toile de Bretagne large
toile de Bretagne diverse ménage,toile de Bretagne de ménage
toile de Bretagne diverse Morlaix,toile de Morlaix
toile de Bretagne diverse ouvrée,toile de Bretagne ouvrée
toile de Bretagne diverse pièces larges,toile de Bretagne large
toile de Bretagne diverse Poldavie,toile de Poldavie
toile de Bretagne diverse Pontivy,toile de Pontivy
toile de Bretagne diverse rayée,toile de Bretagne rayée
toile de Bretagne diverse rosconne,toile de Bretagne rosconne
toile de Bretagne diverse rousse,toile de Bretagne rousse
toile de Bretagne diverse serpillère,toile de Bretagne serpillère
toile de Bretagne diverse serpillière,toile de Bretagne serpillière
toile de Bretagne diverse verges rayées,toile de Bretagne verges rayées
toile de Bretagne diverse verges serpillère,toile de Bretagne verges serpillère
toile de Bretagne écrue,toile de Bretagne écrue
toile de Bretagne écrue large,toile de Bretagne écrue large
toile de Bretagne en quatre fils,toile de Bretagne quatre fils
toile de Bretagne entre large,toile de Bretagne entre large
toile de Bretagne étroite,toile de Bretagne étroite
toile de Bretagne fine claire,toile de Bretagne fine claire
toile de Bretagne fine étroite,toile de Bretagne fine étroite
toile de Bretagne fine large,toile de Bretagne fine large
toile de Bretagne Fougères,toile de Bretagne Fougères
toile de Bretagne gratienne,toile de Bretagne gratienne
toile de Bretagne grise,toile de Bretagne grise
toile de Bretagne gros brin,toile de Bretagne gros brin
toile de Bretagne guingan,toile de Bretagne guingan
toile de Bretagne haut brin,toile de Bretagne haut brin
toile de Bretagne haute louise,toile de Bretagne haute louise
toile de Bretagne jaune,toile de Bretagne jaune
toile de Bretagne Landerneau,toile de Landerneau
toile de Bretagne Languenan,toile de Languenan
toile de Bretagne large,toile de Bretagne large
toile de Bretagne Locronan,locronan
toile de Bretagne ménage,toile de ménage
toile de Bretagne Morlaix,toile de Morlaix
toile de Bretagne ouvrée,toile de Bretagne ouvrée
toile de Bretagne peinte,toile de Bretagne peinte
toile de Bretagne platille,toile de Bretagne platille
toile de Bretagne Poldavie,toile de Poldavie
toile de Bretagne Pontivy,toile de Pontivy
toile de Bretagne Pouldavid,toile de Pouldavid
toile de Bretagne quatre fils,toile de Bretagne quatre fils
toile de Bretagne rayeé,toile de Bretagne rayée
toile de Bretagne rayée,toile de Bretagne rayée
toile de Bretagne rayée à carreaux,toile de Bretagne rayée à carreaux
toile de Bretagne reforme,toile de Bretagne reforme
toile de Bretagne réforme,toile de Bretagne reforme
toile de Bretagne rondelette,toile de Bretagne rondelette
toile de Bretagne rosconne,toile de Bretagne rosconne
toile de Bretagne rouge et bleue,toile de Bretagne rouge et bleue
toile de Bretagne rousse,toile de Bretagne rousse
toile de Bretagne royale,toile de Bretagne royale
toile de Bretagne serpillère,toile de Bretagne serpillière
toile de Bretagne serpillière,toile de Bretagne serpillière
toile de Bretagne siamoise,toile siamoise
toile de Bretagne Vitré,toile de Vitré
toile de Bretagne Vitrée,toile de Vitré
toile de brin,toile de brin
toile de brin fine,toile de brin fine
toile de Bruges,toile de Bruges
toile de Bruges aune,toile de Bruges
toile de caladaris,toile de caladaris
toile de Caladric,toile de caladaris
toile de Cambrai,toile de Cambrai
toile de canevas,toile de canevas
toile de capiton,toile de capiton
toile de carreaux,toile de carreaux
toile de châle,toile de challe
toile de challe,toile de challe
toile de chanvre,toile de chanvre
toile de chanvre ???,toile de chanvre ???
toile de chanvre 1400 lignes,toile de chanvre 1400 lignes
toile de chanvre 1500 lignes,toile de chanvre 1500 lignes
toile de chanvre 1700 lignes,toile de chanvre 1700 lignes
toile de chanvre 450 lignes,toile de chanvre 450 lignes
toile de chanvre à voile,toile de chanvre à voile
toile de chanvre aune,toile de chanvre
toile de chanvre blanche,toile de chanvre blanche
toile de chanvre blanche 398 lignes,toile blanche de chanvre 398 lignes
toile de chanvre coutil,toile de chanvre coutil
toile de chanvre d'emballage,toile de chanvre d'emballage
toile de chanvre d'étoupes,toile de chanvre d'étoupes
toile de chanvre de ???,toile de chanvre de ???
toile de chanvre de bas prix,toile à bas prix de chanvre
toile de chanvre de coutil,toile de chanvre de coutil
toile de chanvre de fil d'épreuve,toile de chanvre et de fil d'épreuve
toile de chanvre de la ville de Halle,toile de chanvre de Halle
toile de chanvre dite coutil,toile de chanvre dite coutil
toile de chanvre dite de Halle,toile de chanvre de Halle
toile de chanvre diverse,toile de chanvre
toile de chanvre écrue,toile de chanvre écrue
toile de chanvre en canevas,toile de chanvre en canevas
toile de chanvre étoupes,toile de chanvre étoupes
toile de chanvre étoupes grise,toile de chanvre étoupes grise
toile de chanvre étoupes grises aune,toile de chanvre étoupes grises aune
toile de chanvre fine,toile de chanvre fine
toile de chanvre grise,toile de chanvre grise
toile de chanvre grosse,toile de chanvre grosse
toile de chanvre ouvré,toile de chanvre ouvrée
toile de chanvre ouvrée,toile de chanvre ouvrée
toile de chanvre peinte,toile de chanvre peinte
toile de chanvre pour nègre,toile de chanvre pour nègre
toile de chanvre rousse,toile de chanvre rousse
toile de chanvre teinte,toile de chanvre teinte
toile de chanvre trillin,toile de chanvre trillin
toile de chasse,toile de chasse
toile de Château-Gontier,toile de Château-Gontier
toile de Chauvreau,toile de Chauvreau
toile de Cholet,toile de Cholet
toile de Clisson,toile de Clisson
toile de Combourg,toile de Combourg
toile de Comté,toile de Comté
toile de cordat,toile de cordat
toile de coton,toile de coton
toile de coton ???,toile de coton ???
toile de coton à bouquets de laine,toile à bouquets de laine de coton
toile de coton à carreaux,toile à carreaux et de coton
toile de coton à fleurs,toile de coton à fleurs
toile de coton à imprimer,toile de coton à imprimer
toile de coton antoine,toile de coton antoine
toile de coton basin,toile de coton basin
toile de coton bisinette,toile de coton bisinette
toile de coton blanc,toile blanche de coton
toile de coton blanc aune,toile blanche de coton
toile de coton blanche,toile blanche de coton
toile de coton blanche bas prix,toile à bas prix blanche et de coton
toile de coton blanche de ???,toile blanche de coton et de ???
toile de coton blanche des Indes,toile blanche de coton et des Indes
toile de coton blanche nationale,toile blanche de coton et nationale
toile de coton blanche pour mouchoirs,toile blanche de coton pour mouchoirs
toile de coton blanche pour mouchoirs aune,toile blanche de coton pour mouchoirs
toile de coton blanche rayée,toile blanche de coton et rayée
toile de coton bleu,toile de coton bleu
toile de coton bleue,toile bleue de coton
toile de coton brochée,toile de coton brochée
toile de coton brodée,toile brodée et de coton
toile de coton brodée en laine,toile brodée en laine et de coton
toile de coton brodée en soie,toile brodée en soie et de coton
toile de coton commune,toile commune de coton
