simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
artichauts marinés,2,non,out,820768
artichauts secs,6,non,out,820768
artifice,5,non,out,820768
artifice fusées etc.,44,non,out,820768
artillerie,6,non,out,820768
asa fœtida,124,non,out,820768
ascrile,1,non,,37440
asperges,9,non,out,820768
asperges confites,1,non,out,820768
asperges et scorsonères,69,non,out,820768
asphaltum,19,non,out,820768
aspic en grabeau,1,non,,37440
assiette,2,non,out,820768
assiette de Biarritz,1,non,out,820768
assiette de bois,1,non,out,820768
assiette de faïence,10,non,out,820768
assiette de porcelaine,3,non,out,820768
assiette de porcelaine des Indes,1,non,out,820768
assiette de terre,6,non,out,820768
assiette et plats de terre,1,non,out,820768
asustum,1,non,out,820768
atastes,1,non,out,820768
atchiabanis,14,oui,,37440
atlas,4,non,out,820768
atlas à la feuille d'or,1,non,out,820768
atlas et instruments de marine,2,non,out,820768
atlas jaspé,1,non,out,820768
attaches de cuivre,1,non,out,820768
attelles de colliers,14,non,out,820768
aube,1,non,out,820768
auchinoise,2,non,out,820768
auclimes,3,non,out,820768
auf,117,non,out,820768
augemy,2,non,out,820768
auges,3,non,out,820768
auges de carreaux,2,non,out,820768
augustins,2,non,out,820768
aurcsats,1,non,out,820768
aurcsats étoile,1,non,out,820768
aussière,0,non,out,820768
autel de marbre,2,non,out,820768
aux travaux du Roi,6,non,,37440
avelanède,62,non,,37440
avelanèdes,59,oui,out,820768
avelines,9,non,out,820768
avelines et noisettes sèches,22,non,out,820768
avelines faînes noisettes noix,1,non,out,820768
avelines noisettes noix,5,non,out,820768
avirons,663,non,out,820768
avirons bruts,17,non,out,820768
avirons de 12 pieds,1,non,out,820768
avirons de 18 pieds,1,non,out,820768
avirons de 30 pieds,1,non,out,820768
avirons de 5 pieds,1,non,out,820768
avirons de 8 à 12 pieds,1,non,out,820768
avirons de bois,60,non,out,820768
avirons de bois façonné,1,non,out,820768
avirons de chêne,1,non,out,820768
avirons de sapin,1,non,out,820768
avirons en bois de construction,2,non,,37440
avirons et perches de bois,0,non,out,820768
avirons et rames bruts,2,non,out,820768
avirons et rames de bois,1,non,out,820768
avirons et rames de bois façonné,2,non,out,820768
avirons et rames façonnés,5,non,out,820768
avirons polis,1,non,out,820768
avoine,1026,non,out,820768
avoine en gerbes,22,non,out,820768
avoine et haricots,1,non,out,820768
avoine et orge etc.,1,non,out,820768
avoine mondée,1,non,out,820768
avoine moulée,1,non,out,820768
azur,744,non,out,820768
azur commun,333,non,out,820768
azur et bleu de Prusse,9,non,out,820768
azur et cobalt,20,non,out,820768
azur fin,13,non,out,820768
azur gros,24,non,out,820768
babassis,1,non,out,820768
babouches,91,non,out,820768
babouches de maroquin,2,non,out,820768
bacs d'1 aime,1,non,out,820768
bacs de pierre,4,non,out,820768
bacs de pierre bleue,2,non,out,820768
bacs de pierre d'1 aime,13,non,out,820768
bacs de pierre de 4 aimes,2,non,out,820768
bacs de pierre de demi d'aime,66,non,out,820768
bacs de pierre de moindre classe,85,non,out,820768
bacs de pierre de trois-quart d'aime,2,non,out,820768
bacs de pierre en dessous d'1 aime,14,non,out,820768
bacs de pierre en dessus d'1 aime,54,non,out,820768
badiane,61,non,out,820768
baffetas,10,non,out,820768
baffetas blanc,20,non,out,820768
baffetas bleu,27,non,out,820768
baffetas des Indes,4,non,out,820768
bafs ?,0,non,,37440
bagages,5,non,,37440
bagarot,1,non,out,820768
bagues,5,non,out,820768
bagues à pierres fausses,1,non,out,820768
bagues d'argent,2,non,out,820768
bagues d'or,1,non,out,820768
bagues de cuivre,2,non,out,820768
bagues de laiton,1,non,out,820768
bagues de verre,3,non,out,820768
baguettes,6,non,out,820768
baguettes à chandelle,1,non,out,820768
baguettes à étoffe,2,non,out,820768
baguettes d'étain,2,non,out,820768
baguettes de bois,1,non,out,820768
baguettes de bois doré,1,non,out,820768
baguettes de cuivre,3,non,out,820768
baguettes de fer à fusil,53,non,out,820768
baguettes de fusil,48,non,out,820768
bahuts,24,non,out,820768
baie de laurier,28,non,out,820768
baies de buis,1,non,out,820768
baies de genévrier à distiller,2,non,out,820768
baies de genièvre,9,non,out,820768
baignes,3,non,out,820768
baignoires,2,non,out,820768
baignoires d'acajou,1,non,out,820768
baignoires de cuivre,4,non,out,820768
baignoires de sapin,1,non,out,820768
baignoires de tôle,2,non,out,820768
baigots,1,non,out,820768
baillarge,9,non,out,820768
bailles,1,non,out,820768
baïonnettes,78,non,out,820768
bais de bois de chêne,2,non,out,820768
bajutapau,248,non,out,820768
bajutapau commun,1,non,out,820768
bajutapau des Indes,3,oui,out,820768
"bajutapau, canelis, etc.",3,non,out,820768
balais,153,non,out,820768
balais communs,5,non,out,820768
balais coupés,3,non,out,820768
balais de bois,39,non,out,820768
balais de brandes,1,non,out,820768
balais de bruyère,12,non,out,820768
balais de chanvre,1,non,out,820768
balais de crin,12,non,out,820768
balais de foyer,1,non,out,820768
balais de jonc,50,non,out,820768
balais de jonc petits,1,non,out,820768
balais de laine à laver les planchers,1,non,out,820768
balais de Livourne,18,non,,37440
balais de millet,2,non,out,820768
balais de paille,2,non,out,820768
balais de paille de riz,6,non,out,820768
balais de palme,299,non,out,820768
balais de palme petits,2,non,out,820768
balais de plumes,3,non,out,820768
balais de poil,2,non,out,820768
balais de riz,6,non,out,820768
balais de soie,7,non,out,820768
balais de soie de porcs,18,non,out,820768
balais de toile,1,non,out,820768
balais du roi,1,non,out,820768
balais fins,1,non,out,820768
balais grands de palme,3,non,out,820768
balais ou ramons,101,non,out,820768
balais petits,6,non,out,820768
balance,11,non,out,820768
balance à la romaine,1,non,out,820768
balance complète,1,non,out,820768
balance de bois,1,non,out,820768
balance de cuivre,8,non,out,820768
balance de cuivre jaune,1,non,out,820768
balance de fer,4,non,out,820768
balance et poids de cuivre,1,non,out,820768
balance et romaine,2,non,out,820768
balance et ses poids,1,non,out,820768
balance ou fléaux en fer,3,non,out,820768
balance petite,1,non,out,820768
balance romaine,3,non,out,820768
balcon de fer,1,non,out,820768
baleine,128,non,out,820768
baleine apprêtée,1,non,out,820768
baleine coupée,781,non,out,820768
baleine coupée en fanon,11,non,out,820768
baleine coupée et en fanon,11,non,out,820768
baleine de sarde,18,non,out,820768
baleine en fanon,287,non,out,820768
baleine en fanon apprêté,4,oui,,37440
baleine en fanon brut,4,oui,,37440
baleine en fanon brut de pêche étrangère,2,oui,,37440
baleine en fanon brut de pêche française,2,oui,,37440
baleine en fanon de sarde,19,oui,,37440
baleine en fanon et de sarde,1,non,out,820768
baleine non sciée,75,non,out,820768
baleine taillée,2,non,out,820768
balles,9,non,out,820768
balles à jouer,105,non,out,820768
balles d'osier,3,non,out,820768
