goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
basanes de mouton tannées,2,Not coffee,non,442379,551912
basanes de veau,4,Not coffee,non,442379,551912
basanes tannées,292,Not coffee,non,442379,551912
basanes tannées de veau,8,Not coffee,non,442379,551912
basannes,0,Not coffee,oui,442379,551912
basannes de mouton tannées,0,Not coffee,oui,442379,551912
basannes de veau tannées,0,Not coffee,oui,442379,551912
basannes tannées,0,Not coffee,oui,442379,551912
basin,686,Not coffee,non,442379,551912
basin argent et or,1,Not coffee,non,442379,551912
basin blanc,3,Not coffee,non,442379,551912
basin blanc de 10 aunes,1,Not coffee,non,442379,551912
basin blanc de 11 aunes,1,Not coffee,non,442379,551912
basin blanc de fil,1,Not coffee,non,442379,551912
basin brodé,7,Not coffee,non,442379,551912
basin brodé de soie,1,Not coffee,non,442379,551912
basin brodé de soie et d'or,1,Not coffee,non,442379,551912
basin clair mêlé de coton,1,Not coffee,non,442379,551912
basin commun,16,Not coffee,non,442379,551912
basin coton,1,Not coffee,non,442379,551912
"basin de Bruges écru en pièce de 11,5 aunes",1,Not coffee,non,442379,551912
basin de coton et basin de fil,2,Not coffee,non,442379,551912
basin de coton et Nankin de coton,0,Not coffee,oui,442379,551912
basin de coton et Nankin de coton et toile de coton,0,Not coffee,oui,442379,551912
basin de fil,4,Not coffee,non,442379,551912
basin de fil et de coton,2,Not coffee,non,442379,551912
basin de Godelour,1,Not coffee,non,442379,551912
basin de lin,2,Not coffee,non,442379,551912
basin de lin peint,1,Not coffee,non,442379,551912
basin de Rouen,1,Not coffee,non,442379,551912
basin de soie,1,Not coffee,non,442379,551912
basin de Troyes,11,Not coffee,non,442379,551912
basin des Indes,47,Not coffee,non,442379,551912
basin en aunes,1,Not coffee,non,442379,551912
basin et Nakin,0,Not coffee,oui,442379,551912
basin et Nankin,99,Not coffee,non,442379,551912
basin peint,1,Not coffee,non,442379,551912
basin pièces de 11 aunes,1,Not coffee,non,442379,551912
basin pièces de 15 aunes,1,Not coffee,non,442379,551912
basin pièces de 40 aunes,1,Not coffee,non,442379,551912
basin rayé,1,Not coffee,non,442379,551912
basin sec fil,1,Not coffee,non,442379,551912
basin tout coton,1,Not coffee,non,442379,551912
basin uni et Nankin uni,38,Not coffee,non,442379,551912
baspormettes,1,Not coffee,non,442379,551912
basse,6,Not coffee,non,442379,551912
basse de viole,12,Not coffee,non,442379,551912
basse et bassons,1,Not coffee,non,442379,551912
basse et chapeaux chinois,2,Not coffee,non,442379,551912
bassin à barbe,1,Not coffee,non,442379,551912
bassin à barbe de cuivre,1,Not coffee,non,442379,551912
bassin à cassave,1,Not coffee,non,442379,551912
bassin d'étain,28,Not coffee,non,442379,551912
bassin de barbe,1,Not coffee,non,442379,551912
bassin de bois,1,Not coffee,non,442379,551912
bassin de cuivre,122,Not coffee,non,442379,551912
bassin de cuivre grand,1,Not coffee,non,442379,551912
bassin de cuivre jaune,13,Not coffee,non,442379,551912
bassin de cuivre jaune et chaudron de cuivre jaune,1,Not coffee,non,442379,551912
bassin de cuivre jaune pour l'entrepôt à la destination de la Compagnie des Indes,1,Not coffee,non,442379,551912
bassin de cuivre petit,1,Not coffee,non,442379,551912
bassin de cuivre pour l'entrepôt pour Guinée,1,Not coffee,non,442379,551912
bassin de fer,8,Not coffee,non,442379,551912
bassin de marbre,1,Not coffee,non,442379,551912
bassines de cuivre,6,Not coffee,non,442379,551912
bassons,4,Not coffee,non,442379,551912
bassons clarinettes,2,Not coffee,non,442379,551912
bast et écorce d'arbre et foularde,4,Not coffee,non,442379,551912
batanomes,146,Not coffee,non,442379,551912
batanony,3,Not coffee,non,442379,551912
bâtardes,1,Not coffee,non,442379,551912
batavia,7,Not coffee,non,442379,551912
bateaux,8,Not coffee,non,442379,551912
bateaux à pêcher,3,Not coffee,non,442379,551912
bateaux neufs,40,Not coffee,non,442379,551912
bâtiments de mer,21,Not coffee,non,442379,551912
bâtiments de mer et apparaux,0,Not coffee,oui,442379,551912
bâtiments de mer vieux,1,Not coffee,non,442379,551912
bâtiments naufragés,1,Not coffee,non,442379,551912
batiste,559,Not coffee,non,442379,551912
batiste blanche,1,Not coffee,non,442379,551912
batiste brochée,1,Not coffee,non,442379,551912
batiste de 12 aunes,1,Not coffee,non,442379,551912
batiste de fil,12,Not coffee,non,442379,551912
batiste de lin,15,Not coffee,non,442379,551912
batiste de lin et linon de lin,14,Not coffee,non,442379,551912
batiste écrue,2,Not coffee,non,442379,551912
batiste et fine,0,Not coffee,oui,442379,551912
batiste et linog,0,Not coffee,oui,442379,551912
batiste et linon,135,Not coffee,non,442379,551912
batiste et linon de chanvre,2,Not coffee,non,442379,551912
batiste et linon de chanvre et de lin,7,Not coffee,non,442379,551912
batiste fine,8,Not coffee,non,442379,551912
batiste grise,1,Not coffee,non,442379,551912
batiste Lorient,1,Not coffee,non,442379,551912
batonge de bois,1,Not coffee,non,442379,551912
bâtons,5,Not coffee,non,442379,551912
bâtons à chandelle,2,Not coffee,non,442379,551912
bâtons à étendre le linge,1,Not coffee,non,442379,551912
bâtons à faire cercles,1,Not coffee,non,442379,551912
bâtons à frottoir,1,Not coffee,non,442379,551912
bâtons à gaffes,6,Not coffee,non,442379,551912
bâtons à lave-place,18,Not coffee,non,442379,551912
bâtons à œillets,1,Not coffee,non,442379,551912
bâtons à pinceaux,1,Not coffee,non,442379,551912
bâtons d'éventails d'ivoire,1,Not coffee,non,442379,551912
bâtons de bois,2,Not coffee,non,442379,551912
bâtons de bois peints,1,Not coffee,non,442379,551912
bâtons de bois vernis,1,Not coffee,non,442379,551912
bâtons de brosses à goudronner,1,Not coffee,non,442379,551912
bâtons de cap,1,Not coffee,non,442379,551912
bâtons de colliers,3,Not coffee,non,442379,551912
bâtons de fer,2,Not coffee,non,442379,551912
bâtons de gabares,1,Not coffee,non,442379,551912
bâtons de gabares de 14 à 16 pieds,1,Not coffee,non,442379,551912
bâtons de gaffe,1,Not coffee,non,442379,551912
bâtons de pompes,1,Not coffee,non,442379,551912
bâtons de saloups,1,Not coffee,non,442379,551912
bâtons de sapin,36,Not coffee,non,442379,551912
bâtons de sapin de 4 pieds de long,2,Not coffee,non,442379,551912
bâtons de sapin peint,1,Not coffee,non,442379,551912
bâtons peints,2,Not coffee,non,442379,551912
bâtons vernis,22,Not coffee,non,442379,551912
bâts,2,Not coffee,non,442379,551912
bâts à matelas,1,Not coffee,non,442379,551912
bâts d'ânes,3,Not coffee,non,442379,551912
bats de bois,0,Not coffee,oui,442379,551912
bâts de bois,1,Not coffee,non,442379,551912
bâts de chevaux,5,Not coffee,non,442379,551912
bâts de mulets,7,Not coffee,non,442379,551912
batterie d'airain,5,Not coffee,non,442379,551912
batterie de cuisine,5,Not coffee,non,442379,551912
batterie de cuisine en cuivre,5,Not coffee,non,442379,551912
batterie de cuivre,3,Not coffee,non,442379,551912
batterie de cuivre à cuisine,0,Not coffee,oui,442379,551912
batterie de cuivre de fuine,0,Not coffee,oui,442379,551912
batterie de fer,12,Not coffee,non,442379,551912
batterie de fer à cuisine,2,Not coffee,non,442379,551912
batterie de fer coulé,2,Not coffee,non,442379,551912
batterie de fer-blanc,1,Not coffee,non,442379,551912
batterie en plaque,1,Not coffee,non,442379,551912
battes à fer,1,Not coffee,non,442379,551912
battoirs,1,Not coffee,non,442379,551912
battoirs à lessive,1,Not coffee,non,442379,551912
baudeaux,0,Not coffee,oui,442379,551912
baudriers,30,Not coffee,non,442379,551912
baudriers de cuir,3,Not coffee,non,442379,551912
baule,1,Not coffee,non,442379,551912
baumanes,1,Not coffee,non,442379,551912
baume,143,Not coffee,non,442379,551912
baume de benjoin,44,Not coffee,non,442379,551912
baume de Copahu,123,Not coffee,non,442379,551912
baume de copahu du Pérou,0,Not coffee,oui,442379,551912
baume de Copahu et du Pérou,3,Not coffee,non,442379,551912
baume de gaïac,1,Not coffee,non,442379,551912
baume de l'Amérique,1,Not coffee,non,442379,551912
baume de la Mecque,14,Not coffee,non,442379,551912
baume de storax liquide et en pain,2,Not coffee,non,442379,551912
baume de storax naturel,3,Not coffee,non,442379,551912
baume de storax préparé,2,Not coffee,non,442379,551912
baume de storax préparé en grains,1,Not coffee,non,442379,551912
baume de storax préparé liquide,29,Not coffee,non,442379,551912
baume de Sucre,2,Not coffee,non,442379,551912
baume de Tolu,2,Not coffee,non,442379,551912
baume de vie,14,Not coffee,non,442379,551912
baume du Canada,1,Not coffee,non,442379,551912
baume du Levant,1,Not coffee,non,442379,551912
baume du Pérou,86,Not coffee,non,442379,551912
baume et élixir,1,Not coffee,non,442379,551912
baume et sucs d'espèces particulières,2,Not coffee,non,442379,551912
baume laque,1,Not coffee,non,442379,551912
baume noir,1,Not coffee,non,442379,551912
baume rouge,1,Not coffee,non,442379,551912
baume tranquille,1,Not coffee,non,442379,551912
bavette,1,Not coffee,non,442379,551912
bavoirs,1,Not coffee,non,442379,551912
bayette,140,Not coffee,non,442379,551912
bayette blanche,1,Not coffee,non,442379,551912
bayette blanche aune,1,Not coffee,non,442379,551912
bayette bleue,7,Not coffee,non,442379,551912
bayette bleue et rouge,1,Not coffee,non,442379,551912
bayette de Beauvais,1,Not coffee,non,442379,551912
bayette de prise,6,Not coffee,non,442379,551912
bayette des Indes,1,Not coffee,non,442379,551912
bayette grosse,1,Not coffee,non,442379,551912
bayette teinte,1,Not coffee,non,442379,551912
bayette teinte aune,1,Not coffee,non,442379,551912
bayoulen,1,Not coffee,non,442379,551912
bazzitte,1,Not coffee,non,442379,551912
bdellium,21,Not coffee,non,442379,551912
beau vert broyé,2,Not coffee,non,442379,551912
beaudeaux,1,Not coffee,non,442379,551912
beaupré,1,Not coffee,non,442379,551912
bécasses,9,Not coffee,non,442379,551912
bécassines,2,Not coffee,non,442379,551912
becfigues marinés,1,Not coffee,non,442379,551912
bêches,1,Not coffee,non,442379,551912
bêches de fer,1,Not coffee,non,442379,551912
beige,1,Not coffee,non,442379,551912
béliers brebis et moutons communs,7,Not coffee,non,442379,551912
béliers mérinos,2,Not coffee,non,442379,551912
béliers mérinos et métis,7,Not coffee,non,442379,551912
belinge,1,Not coffee,non,442379,551912
bem ???,1,Not coffee,non,442379,551912
bem de Vimoutiers,1,Not coffee,non,442379,551912
bem pour voile,3,Not coffee,non,442379,551912
benblanc,1,Not coffee,non,442379,551912
benfletins,1,Not coffee,non,442379,551912
Bengale,1,Not coffee,non,442379,551912
bénitier de marbre,3,Not coffee,non,442379,551912
bénitier de marbre ouvré,1,Not coffee,non,442379,551912
bénitier de marbre pesant 250 livres,1,Not coffee,non,442379,551912
benjoin,151,Not coffee,non,442379,551912
benjoin du Levant,1,Not coffee,non,442379,551912
bennes,1,Not coffee,non,442379,551912
bennes vides,1,Not coffee,non,442379,551912
berce de fer et lit de fer,1,Not coffee,non,442379,551912
berceau d'enfant,2,Not coffee,non,442379,551912
berceau d'osier,1,Not coffee,non,442379,551912
bergamote,2,Not coffee,non,442379,551912
bergamotes,111,Not coffee,non,442379,551912
bergamotes fraîches,1,Not coffee,non,442379,551912
bergamotes ouvrées,0,Not coffee,oui,442379,551912
Bergopzoom,5,Not coffee,non,442379,551912
Bergopzoom aune,1,Not coffee,non,442379,551912
berline,6,Not coffee,non,442379,551912
berline et harnais,3,Not coffee,non,442379,551912
berline garnie de velours,1,Not coffee,non,442379,551912
berline garnie de velours et crêpine d'or et harnais riche,1,Not coffee,non,442379,551912
berline vieille,1,Not coffee,non,442379,551912
bernes,12,Not coffee,non,442379,551912
bernes de laine,4,Not coffee,non,442379,551912
bernes ou tapsel,1,Not coffee,non,442379,551912
bernic,1,Not coffee,non,442379,551912
besnes,0,Not coffee,oui,442379,551912
bestiaux,259,Not coffee,non,442379,551912
bestiaux et bêtes de somme,2,Not coffee,non,442379,551912
bêtes de somme,151,Not coffee,non,442379,551912
bêtes de somme et bœuf,1,Not coffee,non,442379,551912
bêtes de somme et poulains,1,Not coffee,non,442379,551912
bêtes principalement en mules et mulets,11,Not coffee,non,442379,551912
bétilles,30,Not coffee,non,442379,551912
bétilles des Indes,2,Not coffee,non,442379,551912
betteraves,2,Not coffee,non,442379,551912
beunne,1,Not coffee,non,442379,551912
beurre,2333,Not coffee,non,2705,551912
beurre commun,22,Not coffee,non,2705,551912
beurre d'Angleterre,1,Not coffee,non,2705,551912
beurre d'Irlande,21,Not coffee,non,2705,551912
beurre d'Irlande non comestible,1,Not coffee,non,2705,551912
beurre d'Irlande salé,10,Not coffee,non,2705,551912
beurre de Bretagne,18,Not coffee,non,2705,551912
beurre de cacao,4,Not coffee,non,2705,551912
beurre de Dixmude,1,Not coffee,non,2705,551912
beurre du pays,10,Not coffee,non,2705,551912
beurre du pays salé,8,Not coffee,non,2705,551912
beurre et fromage,6,Not coffee,non,2705,551912
beurre fondu,2,Not coffee,non,2705,551912
beurre frais,18,Not coffee,non,2705,551912
beurre frais ou fondu,7,Not coffee,non,2705,551912
beurre frais ou fondu ou salé,2,Not coffee,non,2705,551912
beurre pour Genève par transit,1,Not coffee,non,2705,551912
beurre pour l'entrepôt des Îles,5,Not coffee,non,2705,551912
beurre salé,227,Not coffee,non,2705,551912
beurreterie en bar de fil blanc,1,Not coffee,non,442379,551912
beurrière,63,Not coffee,non,442379,551912
bezoar,5,Not coffee,non,442379,551912
bezoar du Ponent,1,Not coffee,non,442379,551912
bibelots et mercerie,1,Not coffee,non,442379,551912
bibliothèque,3,Not coffee,non,442379,551912
bidets,2,Not coffee,non,442379,551912
bidets de faïence,1,Not coffee,non,442379,551912
bidets de faïence avec leurs pieds de bois,1,Not coffee,non,442379,551912
bidets de faïence et leurs pièces,1,Not coffee,non,442379,551912
bidons,1,Not coffee,non,442379,551912
bière,1415,Not coffee,non,442379,551912
bière aigre,1,Not coffee,non,442379,551912
bière blanche,1,Not coffee,non,442379,551912
bière cidre et vinaigre,1,Not coffee,non,2314,551912
bière commune du pays,1,Not coffee,non,442379,551912
bière d'Angleterre,2,Not coffee,non,442379,551912
bière d'Hoegaarden,1,Not coffee,non,442379,551912
bière de Hollande,7,Not coffee,non,442379,551912
bière de Hollande et d'Angleterre,1,Not coffee,non,442379,551912
bière de Liège,1,Not coffee,non,442379,551912
bière de Lübeck,3,Not coffee,non,442379,551912
bière de Lübeck pour médecine,1,Not coffee,non,442379,551912
bière dite juypenbier,1,Not coffee,non,442379,551912
bière dite lumay,1,Not coffee,non,442379,551912
bière en barrique,1,Not coffee,non,442379,551912
bière en bouteille,3,Not coffee,non,442379,551912
bière en muid,4,Not coffee,non,442379,551912
bière et cidre,100,Not coffee,non,442379,551912
bière et cidre et vinaigre,9,Not coffee,non,2314,551912
bière forte,1,Not coffee,non,442379,551912
bière médicinale de Lübeck,1,Not coffee,non,442379,551912
bière vétérinaire,1,Not coffee,non,442379,551912
bigarade,1,Not coffee,non,442379,551912
bigarade fraîche,1,Not coffee,non,442379,551912
bignes,2,Not coffee,non,442379,551912
bigons,14,Not coffee,non,442379,551912
bigous,1,Not coffee,non,442379,551912
bigues,6,Not coffee,non,442379,551912
bijouterie,866,Not coffee,non,442379,551912
bijouterie d'argent,6,Not coffee,non,442379,551912
bijouterie d'argent autre qu'ornée en perles fines ou pierres,2,Not coffee,non,442379,551912
bijouterie d'argent ornée en perles fines ou pierres,2,Not coffee,non,442379,551912
bijouterie d'or,7,Not coffee,non,442379,551912
bijouterie d'or autre qu'ornée en perles fines ou pierres,2,Not coffee,non,442379,551912
bijouterie d'or ornée en perles fines ou pierres,2,Not coffee,non,442379,551912
bijouterie en argent,1,Not coffee,non,442379,551912
bijouterie et mercerie,1,Not coffee,non,442379,551912
bijouterie et perles fines,17,Not coffee,non,442379,551912
bijouterie fine,4,Not coffee,non,442379,551912
bijouterie fine fausse en pierres faite métal,2,Not coffee,non,442379,551912
bijouterie pour montres d'argent,1,Not coffee,non,442379,551912
bijoux,1,Not coffee,non,442379,551912
bijoux d'or,1,Not coffee,non,442379,551912
bilardeaux,3,Not coffee,non,442379,551912
billard,14,Not coffee,non,442379,551912
billard vieux,1,Not coffee,non,442379,551912
billes d'ivoire,8,Not coffee,non,442379,551912
billes de billard,1,Not coffee,non,442379,551912
billes de bois,4,Not coffee,non,442379,551912
billes de bois de gaiac,0,Not coffee,oui,442379,551912
billes de bois de gaïac,1,Not coffee,non,442379,551912
billes de bois et de marbre,1,Not coffee,non,442379,551912
billes de bois marbré,4,Not coffee,non,442379,551912
billes de bois pour meuble,1,Not coffee,non,442379,551912
billets de parchemin,7,Not coffee,non,442379,551912
billons,6,Not coffee,non,442379,551912
billons de bois,2,Not coffee,non,442379,551912
billons de bois blanc,3,Not coffee,non,442379,551912
billons de bois petits,1,Not coffee,non,442379,551912
billons de pin,1,Not coffee,non,442379,551912
billons de sapin,4,Not coffee,non,442379,551912
billons et bois blanc,1,Not coffee,non,442379,551912
billots,1,Not coffee,non,442379,551912
billots de chêne pour merrain,1,Not coffee,non,442379,551912
billots de pin,1,Not coffee,non,442379,551912
billots de sapin,13,Not coffee,non,442379,551912
billots de sapin de 20 pieds,1,Not coffee,non,442379,551912
billots de sapin de 30 à 35 pieds,1,Not coffee,non,442379,551912
billots pour merrain,1,Not coffee,non,442379,551912
bimbeloterie,91,Not coffee,non,442379,551912
binages à pousser,1,Not coffee,non,442379,551912
birampots,3,Not coffee,non,442379,551912
birampots bleu,1,Not coffee,non,442379,551912
birampots des Indes,2,Not coffee,non,442379,551912
biscuit,261,Not coffee,non,442379,551912
biscuit amer,2,Not coffee,non,442379,551912
biscuit anisé,1,Not coffee,non,442379,551912
biscuit de mer,172,Not coffee,non,442379,551912
biscuit de mer et pain,7,Not coffee,non,442379,551912
biscuit de mer et pâte d'Italie,1,Not coffee,non,442379,551912
biscuit de munition,1,Not coffee,non,442379,551912
biscuit en pain,1,Not coffee,non,442379,551912
biscuit et farine et gruau et pâte,14,Not coffee,non,442379,551912
biscuit sucré,7,Not coffee,non,442379,551912
biseaux,1,Not coffee,non,442379,551912
bismuth,5,Not coffee,non,442379,551912
bitume,2,Not coffee,non,442379,551912
bitume de Judée,6,Not coffee,non,442379,551912
bitume et ambre jaune,2,Not coffee,non,442379,551912
bitume et bitume de Judée,2,Not coffee,non,442379,551912
bitume et houille brute,2,Not coffee,non,442379,551912
bitume et houille coak,1,Not coffee,non,442379,551912
bitume et succin,0,Not coffee,oui,442379,551912
blagues,3,Not coffee,non,442379,551912
blagues à tabac,1,Not coffee,non,442379,551912
blagues de cuir,1,Not coffee,non,442379,551912
blallst,1,Not coffee,non,442379,551912
blanc,3,Not coffee,non,442379,551912
blanc d'écaille,2,Not coffee,non,442379,551912
blanc d'Espagne,75,Not coffee,non,442379,551912
blanc d'Espagne craie blanche et moulue,2,Not coffee,non,442379,551912
blanc de ???,2,Not coffee,non,442379,551912
blanc de baleine,128,Not coffee,non,210,551912
blanc de céruse,30,Not coffee,non,442379,551912
blanc de céruse pour l'entrepôt de la Compagnie des Indes,1,Not coffee,non,442379,551912
blanc de ferax,9,Not coffee,non,9794,551912
blanc de ferux,5,Not coffee,non,9794,551912
blanc de Herps,3,Not coffee,non,442379,551912
blanc de Hollande,1,Not coffee,non,442379,551912
blanc de Marne,1,Not coffee,non,442379,551912
blanc de Naples,1,Not coffee,non,442379,551912
blanc de plomb,51,Not coffee,non,442379,551912
blanc de plomb et térébenthine,1,Not coffee,non,442379,551912
blanc de Troyes,23,Not coffee,non,442379,551912
blanc de Troyes et craie,2,Not coffee,non,442379,551912
blanc en chevron,1,Not coffee,non,442379,551912
blanc simple,2,Not coffee,non,442379,551912
blanchette,1,Not coffee,non,442379,551912
blanchissoire,2,Not coffee,non,442379,551912
blanquette,3,Not coffee,non,442379,551912
blé,16,Not coffee,non,442379,551912
blé avarié,1,Not coffee,non,442379,551912
blé en gerbe,1,Not coffee,non,442379,551912
blé et autres grains,17,Not coffee,non,442379,551912
bleu,18,Not coffee,non,442379,551912
bleu azure,1,Not coffee,non,442379,551912
bleu calaminé,1,Not coffee,non,442379,551912
bleu commun,7,Not coffee,non,442379,551912
bleu d'Allemagne,1,Not coffee,non,442379,551912
bleu d'azur,1,Not coffee,non,442379,551912
bleu de Berlin,1,Not coffee,non,442379,551912
bleu de Berlin ou de Prusse,1,Not coffee,non,442379,551912
bleu de paille,1,Not coffee,non,442379,551912
bleu de Pierre,1,Not coffee,non,442379,551912
bleu de Prusse,168,Not coffee,non,442379,551912
bleu de Prusse boules et indique,2,Not coffee,non,442379,551912
bleu de Prusse et graine jaune,2,Not coffee,non,442379,551912
bleu de Prusse et grains jaune,0,Not coffee,oui,442379,551912
bleu de Prusse et lazulite,15,Not coffee,non,442379,551912
bleu de Saxe,1,Not coffee,non,442379,551912
bleu de smalt,1,Not coffee,non,442379,551912
bleu en encre,1,Not coffee,non,442379,551912
bleu en pierres,5,Not coffee,non,442379,551912
bleu et vert minéral ou de montagne,1,Not coffee,non,442379,551912
bleu fin,2,Not coffee,non,442379,551912
bleu foncé,1,Not coffee,non,442379,551912
bleu ordinaire,1,Not coffee,non,442379,551912
bleu ou tournesol,1,Not coffee,non,442379,551912
Blicourt écarlate,1,Not coffee,non,442379,551912
bloc de 30 pieds,1,Not coffee,non,442379,551912
bloc de bois de l'Amérique,1,Not coffee,non,442379,551912
blocs,4,Not coffee,non,442379,551912
blocs de cuivre jaune,1,Not coffee,non,442379,551912
blocs de jonc,0,Not coffee,oui,442379,551912
blonde,4,Not coffee,non,442379,551912
blonde d'argent,2,Not coffee,non,442379,551912
blonde d'or,1,Not coffee,non,442379,551912
blonde de fil,1,Not coffee,non,442379,551912
blonde de soie,127,Not coffee,non,442379,551912
blonde or et argent,1,Not coffee,non,442379,551912
blonde visage,2,Not coffee,non,442379,551912
blondine,1,Not coffee,non,442379,551912
blues d'étain,1,Not coffee,non,442379,551912
bluteau de laine,7,Not coffee,non,442379,551912
bluteaux,2,Not coffee,non,442379,551912
bobine de cuir,1,Not coffee,non,442379,551912
bocage en fer,0,Not coffee,oui,442379,551912
bocages en fer,0,Not coffee,oui,442379,551912
bocard de verre,1,Not coffee,non,442379,551912
bocau soie,1,Not coffee,non,442379,551912
bodans,1,Not coffee,non,442379,551912
boëland,18,Not coffee,non,442379,551912
bœuf,427,Not coffee,non,442379,551912
bœuf à l'écarlate,11,Not coffee,non,442379,551912
bœuf à la mode,7,Not coffee,non,442379,551912
bœuf d'Irlande,1,Not coffee,non,442379,551912
bœuf du pays,3,Not coffee,non,442379,551912
bœuf en daube,57,Not coffee,non,442379,551912
bœuf et génisses et vaches,1,Not coffee,non,442379,551912
bœuf et langue salée,6,Not coffee,non,442379,551912
bœuf et moutons et porcs et vaches,123,Not coffee,non,442379,551912
bœuf et moutons et porcs et vaches et veaux,67,Not coffee,non,442379,551912
bœuf et moutons et porcs et vaches etc.,7,Not coffee,non,442379,551912
bœuf et moutons et vaches et veaux,6,Not coffee,non,442379,551912
bœuf et moutons et vaches etc.,1,Not coffee,non,442379,551912
bœuf et taureaux,8,Not coffee,non,442379,551912
bœuf et vaches,9,Not coffee,non,442379,551912
bœuf froment,1,Not coffee,non,442379,551912
bœuf fumé,153,Not coffee,non,442379,551912
bœuf fumé et salé,3,Not coffee,non,442379,551912
bœuf gras,2,Not coffee,non,442379,551912
bœuf gras et en chair,2,Not coffee,non,442379,551912
bœuf illinois,1,Not coffee,non,442379,551912
bœuf jeune,1,Not coffee,non,442379,551912
bœuf maigre,2,Not coffee,non,442379,551912
bœuf préparé,1,Not coffee,non,442379,551912
bœuf salé,1599,Not coffee,non,442379,551912
bœuf salé d'Irlande,36,Not coffee,non,442379,551912
bœuf salé de Bretagne,1,Not coffee,non,442379,551912
bœuf salé de Hollande,1,Not coffee,non,442379,551912
bœuf salé du pays,24,Not coffee,non,442379,551912
bœuf salé pour l'entrepôt des Îles,3,Not coffee,non,442379,551912
bœuf taureau,5,Not coffee,non,442379,551912
bœuftins et génisses,1,Not coffee,non,442379,551912
bois,785,Not coffee,non,442379,551912
bois à brûler,4,Not coffee,non,442379,551912
bois à fusil,2,Not coffee,non,442379,551912
bois à quart,2,Not coffee,non,442379,551912
bois à teindre moulu,17,Not coffee,non,2490,551912
bois à tourner,1,Not coffee,non,442379,551912
bois à travailler,1,Not coffee,non,442379,551912
bois amer,2,Not coffee,non,442379,551912
bois au daumes,3,Not coffee,non,442379,551912
bois barres de guindeau,1,Not coffee,non,442379,551912
bois billots,1,Not coffee,non,442379,551912
bois blanc,4,Not coffee,non,442379,551912
bois bordage,54,Not coffee,non,442379,551912
bois bourdilles,21,Not coffee,non,442379,551912
bois bourdillons,17,Not coffee,non,442379,551912
bois boway de chêne,1,Not coffee,non,442379,551912
bois boway de sapin,1,Not coffee,non,442379,551912
bois brai,1,Not coffee,non,442379,551912
bois brandilles,1,Not coffee,non,442379,551912
bois brun,2,Not coffee,non,442379,551912
bois commun,1,Not coffee,non,442379,551912
bois commun de chêne et sans désignation d'espèce et scié,1,Not coffee,non,442379,551912
bois commun de pin et sapin brut ou équarri à la hache,1,Not coffee,non,442379,551912
bois commun de pin et sapin de cham et scié,1,Not coffee,non,442379,551912
bois commun de pin et sapin scié de 34 mm d'épaisseur,1,Not coffee,non,442379,551912
bois commun de pin et sapin scié de plus de 80 mm d'épaisseur,3,Not coffee,non,442379,551912
bois corbin,1,Not coffee,non,442379,551912
bois cordayer,2,Not coffee,non,442379,551912
bois courbé,1,Not coffee,non,442379,551912
bois d'acajou,228,Not coffee,non,442379,551912
bois d'acajou brut,6,Not coffee,non,442379,551912
bois d'acajou des entrepôts,1,Not coffee,non,442379,551912
bois d'acajou divers,2,Not coffee,non,442379,551912
bois d'acajou en bloc,1,Not coffee,non,442379,551912
bois d'acajou pour madrier,1,Not coffee,non,442379,551912
bois d'acajou pour planche,1,Not coffee,non,442379,551912
bois d'acajou scié,4,Not coffee,non,442379,551912
bois d'acajou scié de 2 à 3 décimètres,1,Not coffee,non,442379,551912
bois d'aloès,13,Not coffee,non,442379,551912
bois d'amarante,3,Not coffee,non,442379,551912
bois d'Angeot,3,Not coffee,non,442379,551912
bois d'Angola,1,Not coffee,non,442379,551912
bois d'ansprete,2,Not coffee,non,442379,551912
bois d'arc,1,Not coffee,non,442379,551912
bois d'arc et d'arbalètes,1,Not coffee,non,442379,551912
bois d'arc et de flèches,2,Not coffee,non,442379,551912
bois d'arc et de fusils,1,Not coffee,non,442379,551912
bois d'arc et de selles,1,Not coffee,non,442379,551912
bois d'aspatton,1,Not coffee,non,442379,551912
bois d'ébène,114,Not coffee,non,442379,551912
bois d'ébénisterie,12,Not coffee,non,442379,551912
bois d'ébénisterie des entrepôts,1,Not coffee,non,442379,551912
bois d'ébénisterie et des Indes,32,Not coffee,non,442379,551912
bois d'ébénisterie scié,2,Not coffee,non,442379,551912
bois d'écarage,1,Not coffee,non,442379,551912
bois d'érable,1,Not coffee,non,442379,551912
bois d'espars,6,Not coffee,non,442379,551912
bois d'esquine,4,Not coffee,non,442379,551912
bois d'Inde,1,Not coffee,non,442379,551912
bois d'olivier,27,Not coffee,non,442379,551912
bois d'olivier à brûler,1,Not coffee,non,442379,551912
bois d'olivier pelé,12,Not coffee,non,442379,551912
bois d'olivier pelé préceintes,1,Not coffee,non,442379,551912
bois d'orignal,2,Not coffee,non,442379,551912
bois d'orme,9,Not coffee,non,442379,551912
bois d'ormeau,1,Not coffee,non,442379,551912
bois d'osier,32,Not coffee,non,442379,551912
bois de ???,1,Not coffee,non,442379,551912
bois de 5 pieds,1,Not coffee,non,442379,551912
bois de bordage,5,Not coffee,non,442379,551912
bois de bordage de chêne,1,Not coffee,non,442379,551912
bois de bordage de sapin,1,Not coffee,non,442379,551912
bois de Brésil,599,Not coffee,non,888,551912
bois de Brésil en bûche,7,Not coffee,non,888,551912
