simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
selles communes,7,Cordonnerie et sellerie,non,2064
selles de bois,3,Cordonnerie et sellerie,non,2064
selles de cuir,1,Cordonnerie et sellerie,non,2064
selles de femme,2,Cordonnerie et sellerie,non,2064
selles de fer,1,Cordonnerie et sellerie,non,2064
selles de maître,1,Cordonnerie et sellerie,non,2064
selles de poste,1,Cordonnerie et sellerie,non,2064
selles de sapin,1,Cordonnerie et sellerie,non,2064
selles de velours,116,Cordonnerie et sellerie,non,2064
selles garnies de velours,1,Cordonnerie et sellerie,non,2064
selles neuves,1,Cordonnerie et sellerie,non,2064
selles vieilles,2,Cordonnerie et sellerie,non,2064
sellet et télescope,1,Divers incertains,non,8518
selliers,3,Produits inconnus,non,7059
semelles et talons,1,Cordonnerie et sellerie,non,2064
semen contra,143,Drogues médicinales diverses,non,11402
semen dacy,3,Matières premières diverses,non,15181
semence de Caroy,1,Produits inconnus,non,7059
semence de perles,1,Matières premières diverses,non,15181
semence écarlate,0,Matières premières diverses,non,15181
semence froide,22,Graines diverses et mélangées,non,3342
semencine,13,Matières premières diverses,non,15181
semenconna,1,Produits inconnus,non,7059
semoirs,1,Ouvrages divers et mélangés,non,16505
semoule,99,Subsistances diverses et mélangées,non,10028
sempiterne,27,Étoffes de laine,non,13973
sendaline,2,Soieries diverses,non,3516
séné,637,Séné,non,1082
séné en follicule,3,Séné,non,1082
séné en grabeau,155,Séné,non,1082
sennes,43,Cordage et filets,non,3165
senobre,4,Matières premières diverses,non,15181
sequins,15,Monnaies et métaux précieux,non,1024
sequins par Marseille,1,Monnaies et métaux précieux,non,1024
serains,1,Ouvrages divers et mélangés,non,16505
serans,4,Ouvrages divers et mélangés,non,16505
serans à peigner,1,Ouvrages divers et mélangés,non,16505
serans à peigner le lin,4,Ouvrages divers et mélangés,non,16505
séraphine,1,Produits inconnus,non,7059
sercliers,1,Produits inconnus,non,7059
serge,191,Étoffes diverses,non,6808
serge ???,2,Étoffes diverses,non,6808
serge 1/2 Londres,1,Étoffes diverses,non,6808
serge à doubler,87,Étoffes diverses,non,6808
serge à doubler et drap,2,Étoffes diverses,non,6808
serge à doubler et drapée,7,Étoffes diverses,non,6808
serge à draper,2,Étoffes diverses,non,6808
serge à fleurs,1,Étoffes diverses,non,6808
serge blanche,0,Étoffes diverses,non,6808
serge Blicourt,1,Étoffes diverses,non,6808
serge commune,1,Étoffes diverses,non,6808
serge commune teinte,0,Étoffes diverses,non,6808
serge croisée,2,Étoffes diverses,non,6808
serge croisée de laine,1,Étoffes de laine,non,13973
serge d'Angleterre,0,Étoffes diverses,non,6808
serge d'Arnetal,6,Étoffes diverses,non,6808
serge d'Aumale,30,Étoffes diverses,non,6808
serge d'Aumale de laine,2,Étoffes de laine,non,13973
serge d'Aumale imprimée,2,Étoffes diverses,non,6808
serge de Bruxelles,1,Étoffes diverses,non,6808
serge de fil et de laine,6,Étoffes diverses,non,6808
serge de fil et laine,1,Étoffes diverses,non,6808
serge de laine,778,Étoffes de laine,non,13973
serge de laine ???,4,Étoffes de laine,non,13973
serge de laine Blicourt,2,Étoffes de laine,non,13973
serge de laine d'Aumale,6,Étoffes de laine,non,13973
serge de laine de Blicourt,9,Étoffes de laine,non,13973
serge de laine de Rome,1,Étoffes de laine,non,13973
serge de laine de Rouen,1,Étoffes de laine,non,13973
serge de laine diverse,6,Étoffes de laine,non,13973
serge de laine drapée,2,Étoffes de laine,non,13973
serge de laine et de soie,1,Étoffes de soie,non,8554
serge de laine étroite,2,Étoffes de laine,non,13973
serge de laine forte,1,Étoffes de laine,non,13973
serge de laine imprimée,3,Étoffes de laine,non,13973
serge de laine large,3,Étoffes de laine,non,13973
serge de laine Minorque,6,Étoffes de laine,non,13973
serge de laine noire,1,Étoffes de laine,non,13973
serge de laine sagati,2,Étoffes de laine,non,13973
serge de laine voile,6,Étoffes de laine,non,13973
serge de Lille,27,Étoffes diverses,non,6808
serge de Londres et autres,8,Étoffes diverses,non,6808
serge de Montauban,17,Étoffes diverses,non,6808
serge de Nîmes,0,Étoffes diverses,non,6808
serge de Poitou,1,Étoffes diverses,non,6808
serge de Rome,4,Étoffes diverses,non,6808
serge de Rouen,1,Étoffes diverses,non,6808
serge de Saint-Maixent,5,Étoffes diverses,non,6808
serge de Savoie,1,Étoffes diverses,non,6808
serge de soie,12,Étoffes de soie,non,8554
serge des prises,6,Étoffes diverses,non,6808
serge double,4,Étoffes diverses,non,6808
serge drap,1,Étoffes diverses,non,6808
serge drapée,84,Étoffes diverses,non,6808
serge drapée à doubler,3,Étoffes diverses,non,6808
serge drapée de laine,1,Étoffes de laine,non,13973
serge drapée et de laine,5,Étoffes de laine,non,13973
serge du Languedoc,7,Étoffes diverses,non,6808
serge du pays,1,Étoffes diverses,non,6808
serge écarlate,1,Étoffes diverses,non,6808
serge écarlatine,2,Étoffes diverses,non,6808
serge et prunelle de laine étroite,3,Étoffes de laine,non,13973
serge fil et laine,1,Étoffes diverses,non,6808
serge forte,5,Étoffes diverses,non,6808
serge imprimée,132,Étoffes diverses,non,6808
serge imprimée d'Aumale,1,Étoffes diverses,non,6808
serge Minorque,3,Étoffes diverses,non,6808
serge sergette,1,Étoffes diverses,non,6808
serge teinte,0,Étoffes diverses,non,6808
serge verte,1,Étoffes diverses,non,6808
sergette,10,Étoffes diverses,non,6808
sergette de laine,4,Étoffes de laine,non,13973
sergette de Montauban,7,Étoffes diverses,non,6808
sergette des prises,3,Étoffes diverses,non,6808
sergette fine,1,Étoffes diverses,non,6808
sergette Maine,2,Étoffes diverses,non,6808
serinettes,61,Ouvrages divers et mélangés,non,16505
serinettes ouvrées,1,Ouvrages divers et mélangés,non,16505
seringues,14,Ouvrages divers et mélangés,non,16505
seringues d'étain,19,Ouvrages métalliques,non,20598
serpentera virgina,1,Produits inconnus,non,7059
serpentin à distiller,1,Ouvrages divers et mélangés,non,16505
serpentine,3,Matières premières diverses,non,15181
serpentine à distiller l'eau-de-vie,1,Ouvrages divers et mélangés,non,16505
serpents,2,Animaux,non,3801
serpes,12,Ouvrages divers et mélangés,non,16505
serpes de fer,6,Ouvrages métalliques,non,20598
serratille,1,Divers incertains,non,8518
serrure de bois,3,Quincaillerie,non,8417
serrure de cuivre,8,Quincaillerie,non,8417
serrure de fer,1,Quincaillerie,non,8417
serrure petite,1,Quincaillerie,non,8417
serrure pour canevettes,1,Quincaillerie,non,8417
serrure pour fossettes,0,Quincaillerie,non,8417
service de garde-côte,3,Divers incertains,non,8518
service de porcelaine,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
service de tables,0,Argenterie et orfèvrerie,non,1552
service de tables argenté et doré et d'osier,1,Argenterie et orfèvrerie,non,1552
serviettes,124,Textiles manufacturés divers et mélangés,non,1795
serviettes à nappes,1,Textiles manufacturés divers et mélangés,non,1795
serviettes communes,6,Textiles manufacturés divers et mélangés,non,1795
serviettes d'étoupes,1,Textiles manufacturés divers et mélangés,non,1795
serviettes de lin,1,Toiles de chanvre et de lin,non,12934
serviettes de table,2,Textiles manufacturés divers et mélangés,non,1795
serviettes de toile,2,Toiles de chanvre et de lin,non,12934
serviettes de toile de ménage,1,Toiles de chanvre et de lin,non,12934
serviettes de toile peinte,1,Toiles diverses,non,11364
serviettes découpées,0,Habits et lingerie,non,8220
serviettes et nappes,1,Habits et lingerie,non,8220
serviettes et nappes de toile peinte,1,Toiles diverses,non,11364
serviettes et nappes des Indes,1,Habits et lingerie,non,8220
serviettes ouvrées,7,Textiles manufacturés divers et mélangés,non,1795
serviettes ouvrées de toile,1,Habits et lingerie,non,8220
sevan de cuir de Russie,1,Produits inconnus,non,7059
Sèvres,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
shetas des Indes,1,Produits inconnus,non,7059
siagne,2,Produits inconnus,non,7059
siague,1,Produits inconnus,non,7059
siamoise,993,Étoffes diverses,non,6808
siamoise à bouquet de coton,1,Étoffes diverses,non,6808
siamoise à bouquets de laine de coton et de fil,4,Étoffes diverses,non,6808
siamoise à bouquets de laine de fil,1,Étoffes diverses,non,6808
siamoise à fleurs,41,Étoffes diverses,non,6808
siamoise à fleurs de soie,0,Étoffes de soie,non,8554
siamoise à peu de soie,70,Étoffes de soie,non,8554
siamoise au quart de soie,2,Étoffes de soie,non,8554
siamoise au sixième de soie,9,Étoffes de soie,non,8554
siamoise blanche de coton,1,Toiles de coton,non,9075
siamoise blanche de coton et de fil,2,Étoffes diverses,non,6808
siamoise brochée de coton et de fil,2,Étoffes diverses,non,6808
siamoise commune,18,Étoffes diverses,non,6808
siamoise de coton,5,Toiles de coton,non,9075
siamoise de coton au quart de soie,1,Étoffes de soie,non,8554
siamoise de coton au sixième de soie,1,Étoffes de soie,non,8554
siamoise de coton et de fil,90,Étoffes diverses,non,6808
siamoise de coton et de fil et imprimée,2,Étoffes diverses,non,6808
siamoise de coton et de fil et teinte,2,Étoffes diverses,non,6808
siamoise de coton et de fil imprimée,3,Étoffes diverses,non,6808
siamoise de coton et de fil unie,4,Étoffes diverses,non,6808
siamoise de coton et toile de coton peinte,16,Toiles de coton,non,9075
siamoise de coton imprimée,5,Toiles de coton,non,9075
siamoise de coton teinte,1,Toiles de coton,non,9075
siamoise de fil imprimée,1,Étoffes diverses,non,6808
siamoise de fil peinte,2,Étoffes diverses,non,6808
siamoise de fil rayée,1,Étoffes diverses,non,6808
siamoise de fil simple,1,Étoffes diverses,non,6808
siamoise de fil teinte,2,Étoffes diverses,non,6808
siamoise de Rouen,8,Étoffes diverses,non,6808
siamoise de soie,9,Étoffes de soie,non,8554
siamoise en crin,1,Étoffes diverses,non,6808
siamoise fil coton,1,Étoffes diverses,non,6808
siamoise fil de coton,1,Étoffes diverses,non,6808
siamoise fine,5,Étoffes diverses,non,6808
siamoise imprimée,9,Étoffes diverses,non,6808
siamoise teinte,4,Étoffes diverses,non,6808
sicader,1,Produits inconnus,non,7059
sigle vis de laine,1,Produits inconnus,non,7059
simarouba,17,Drogues médicinales diverses,non,11402
simples,1,Drogues diverses,non,10513
sinabre,1,Matières brutes et transformées pour teinture,non,17255
siné,0,Produits inconnus,non,7059
singalette,1,"Mousseline, basin et nankin",non,2630
singe,0,Animaux,non,3801
siragondis,1,Produits inconnus,non,7059
sirop,2055,Sirop et mélasse,non,3383
sirop à boire,2,Sirop et mélasse,non,3383
sirop brut,1,Sirop et mélasse,non,3383
sirop calbasse,1,Sirop et mélasse,non,3383
sirop d'alkermès,109,Drogues médicinales diverses,non,11402
sirop d'altea,1,Divers incertains,non,8518
sirop d'amont,28,Sirop et mélasse,non,3383
sirop d'amour,3,Divers incertains,non,8518
sirop d'orgeat,8,Sirop et mélasse,non,3383
sirop d'orgeat au fiasque,4,Sirop et mélasse,non,3383
sirop de Calabre,1,Sirop et mélasse,non,3383
sirop de calbasse,2,Sirop et mélasse,non,3383
sirop de capillaire,627,Drogues médicinales diverses,non,11402
sirop de capillaire et autre composés,0,Drogues médicinales diverses,non,11402
sirop de capitaine,9,Boissons diverses et mélangées,non,513
sirop de cédrat,2,Sirop et mélasse,non,3383
sirop de citron,1,Sirop et mélasse,non,3383
sirop de coriandre,1,Sirop et mélasse,non,3383
sirop de framboise,1,Sirop et mélasse,non,3383
sirop de l'étranger,0,Sirop et mélasse,non,3383
sirop de limon,56,Sirop et mélasse,non,3383
sirop de mélasse,793,Sirop et mélasse,non,3383
sirop de mûre,1,Sirop et mélasse,non,3383
sirop de raffinerie,3,Sirop et mélasse,non,3383
sirop de sucre,253,Sirop et mélasse,non,3383
sirop de sucre candi,0,Sirop et mélasse,non,3383
sirop de vinaigre,9,Sirop et mélasse,non,3383
sirop de violette,2,Sirop et mélasse,non,3383
sirop des Indes,70,Sirop et mélasse,non,3383
sirop et sucre,9,Denrées coloniales et épiceries diverses,non,3107
sirop fin,45,Sirop et mélasse,non,3383
sirop fin et mélasse,3,Sirop et mélasse,non,3383
sirop fins et sucre,9,Denrées coloniales et épiceries diverses,non,3107
sirop médicinal,1,Drogues médicinales diverses,non,11402
sirop mélasse,23,Sirop et mélasse,non,3383
sirop terré,1,Sirop et mélasse,non,3383
sistes condales,1,Produits inconnus,non,7059
sistresaye,15,Produits inconnus,non,7059
sivadille,12,Drogues médicinales diverses,non,11402
slin de laine,1,Produits inconnus,non,7059
smalte,0,Verrerie,non,6073
soberton,1,Produits inconnus,non,7059
socle de fer,1,Ouvrages métalliques,non,20598
socreton,5,Toiles de coton,non,9075
socrotour,1,Produits inconnus,non,7059
socs,0,Ouvrages métalliques,non,20598
socs de charrues,6,Ouvrages métalliques,non,20598
socs de fer,3,Ouvrages métalliques,non,20598
soie,589,Soie,non,2148
soie à broder,2,Soie,non,2148
soie à coudre,312,Soie,non,2148
soie à coudre teinte,0,Soie,non,2148
soie à tricoter,1,Soie,non,2148
soie apprêtée,391,Soie,non,2148
soie ardasse,2,Soie,non,2148
soie ardassine,1,Soie,non,2148
soie blanche,2,Soie,non,2148
soie blanche sans apprêt,0,Soie,non,2148
soie bourre cardée en feuilles et ouates,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre écrue,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre écrue en masse,2,"Filoselle, fleuret et bourre de soie",non,859
soie bourre écrue et teinte,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre écrue filée moulinée,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre écrue filée non moulinée,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre en masse teinte,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre filée fleuret écru,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre filée fleuret teint,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre filée-fleuret en masse,1,"Filoselle, fleuret et bourre de soie",non,859
soie bourre fleuret écru et teint,1,"Filoselle, fleuret et bourre de soie",non,859
soie brousse,3,Soie,non,2148
soie Canton,1,Soie,non,2148
soie cendre,1,Soie,non,2148
soie cocon,1,Soie,non,2148
soie cocons perus,1,Soie,non,2148
soie commune,2,Soie,non,2148
soie crue,451,Soie,non,2148
soie crue organsine,1,Soie,non,2148
soie de ???,1,Soie,non,2148
soie de Bruges,0,Soie,non,2148
soie de charrues,1,Soie,non,2148
soie de Chypre,1,Soie,non,2148
soie de fleuret,1,"Filoselle, fleuret et bourre de soie",non,859
soie de la chaîne,1,Soie,non,2148
soie de laine,1,Soie,non,2148
soie de Liège,0,Soie,non,2148
soie de Nankin,39,Soie,non,2148
soie de porcs,180,Poils et crin,non,3093
soie de porcs ???,2,Poils et crin,non,3093
soie de porcs et soie de sanglier,91,Poils et crin,non,3093
soie de porcs étrangère,1,Poils et crin,non,3093
soie de porcs ouvré,3,Poils et crin,non,3093
soie de Provence,2,Soie,non,2148
soie de sanglier,6,Poils et crin,non,3093
soie de toile,4,Soie,non,2148
soie de toile vieille,2,Soie,non,2148
soie de Zagora,1,Soie,non,2148
soie des Indes,6,Soie,non,2148
soie des pays étrangers,1,Soie,non,2148
soie du Bengale,2,Soie,non,2148
soie écrue,11,Soie,non,2148
soie écrue moulinée,1,Soie,non,2148
soie écrue moulinée doupion,1,Soie,non,2148
soie en cocon,6,Matières premières diverses,non,15181
soie en cocons et en estrasse,0,"Filoselle, fleuret et bourre de soie",non,859
soie en estrasse,6,Soie,non,2148
soie en étoupes,4,"Filoselle, fleuret et bourre de soie",non,859
soie en fleuret,5,"Filoselle, fleuret et bourre de soie",non,859
soie en laine,1,Soie,non,2148
soie en masses,1,Soie,non,2148
soie en rames,15,Soie,non,2148
soie en strasse,1,"Filoselle, fleuret et bourre de soie",non,859
soie en suaze,0,Produits inconnus,non,7059
soie étoupes,6,"Filoselle, fleuret et bourre de soie",non,859
soie exportée de Marseille,1,Soie,non,2148
soie fleuret ???,0,"Filoselle, fleuret et bourre de soie",non,859
soie floche,0,Soie,non,2148
soie galette,1,Soie,non,2148
soie grège,32,Soie,non,2148
soie grège ???,0,Soie,non,2148
soie grège autre que doupion,1,Soie,non,2148
soie grège de Provence,1,Soie,non,2148
soie grège doupion,3,Soie,non,2148
soie grège écrue,1,Soie,non,2148
soie grège écrue doupion,1,Soie,non,2148
soie grège par Marseille,1,Soie,non,2148
soie limeneas,1,Soie,non,2148
soie lorce,1,Soie,non,2148
soie mauresque,8,Soie,non,2148
soie mêlée,0,Soie,non,2148
soie moulinée,3,Soie,non,2148
soie moulinée autre que doupion,1,Soie,non,2148
soie moulinée doupion,3,Soie,non,2148
soie ouvrée,41,Soieries diverses,non,3516
soie par Collonges et Strasbourg,1,Soie,non,2148
soie par Marseille,3,Soie,non,2148
soie plate,4,Soie,non,2148
soie siamoise,2,Soie,non,2148
soie tani,47,Soie,non,2148
soie tapis,3,Soie,non,2148
soie teinte,20,Soie,non,2148
soie torse,1,Soie,non,2148
soie trame ???,1,Soie,non,2148
soie tricoter,1,Soie,non,2148
soie tripoline,1,Soie,non,2148
soierie,186,Soieries diverses,non,3516
soierie brodée,1,Soieries diverses,non,3516
soierie confinant,2,Soieries diverses,non,3516
soierie de fil à fleurs,1,Soieries diverses,non,3516
soierie de lin,1,Soieries diverses,non,3516
soierie de Lyon,4,Soieries diverses,non,3516
soierie de toile,1,Soieries diverses,non,3516
soierie de Tours,2,Soieries diverses,non,3516
soierie des Indes,1,Soieries diverses,non,3516
soierie et coton des Indes,1,Textiles manufacturés divers et mélangés,non,1795
soierie et dorure,12,Soieries diverses,non,3516
soierie et dorure fine,13,Soieries diverses,non,3516
soierie fleuret,1,Soieries diverses,non,3516
soins,1,Drogues diverses,non,10513
solas,1,Produits inconnus,non,7059
soles,2,Pêche et fruits de mer,non,13709
soles marinées,1,Pêche et fruits de mer,non,13709
soliveaux,110,"Ouvrages de bois, liège et jonc",non,32327
soliveaux d'acajou,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 10 à 12 pieds et de sapin,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 10 pieds et de sapin,5,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 12 pieds et de sapin,8,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 14 à 16 pieds et de 4 pouces de carré,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 14 pieds et de sapin,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 15 à 20 pieds et de sapin,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 15 pieds,0,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 15 pieds et de sapin,4,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 17 pieds et de sapin,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 18 à 20 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 18 à 20 pieds et de sapin,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 18 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 18 pieds et de sapin,6,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 20 à 22 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 20 à 25 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 20 à 30 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 20 pieds et de sapin,10,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 21 à 22 pieds et dde sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 22 pieds et de sapin,5,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 24 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 24 pieds et de sapin,4,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 25 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 25 pieds et de sapin,5,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 26 pieds et de sapin,5,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 29 à 30 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 30 pieds et de sapin,3,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 34 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 36 pieds et de sapin,3,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 50 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 6 à 7 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 9 à 18 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de 9 pieds et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de bois,3,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de bois de nache,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de châtaigner,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne,31,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 10 pieds,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 12 à 15 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 13 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 15 à 20 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 16 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 18 pieds,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 20 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 22 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de chêne de 24 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de cyprès,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de hêtre,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de hêtre de 53 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de hêtre de 7 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de hêtre de 9 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin,104,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 14 à 15 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 14 à 18 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 16 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 22 à 24 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 24 à 29 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 28 pieds,2,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 42 à 43 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 5 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux de sapin de 6 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux petits,1,"Ouvrages de bois, liège et jonc",non,32327
soliveaux petits et de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
solives,3,"Ouvrages de bois, liège et jonc",non,32327
solives de 16 à 20 pieds,1,"Ouvrages de bois, liège et jonc",non,32327
solives de sapin,1,"Ouvrages de bois, liège et jonc",non,32327
solles ou langues,0,Produits inconnus,non,7059
sommiers bruts et pour Mannem,0,"Ouvrages de bois, liège et jonc",non,32327
sommiers de bois,2,"Ouvrages de bois, liège et jonc",non,32327
sommiers de chêne,1,"Ouvrages de bois, liège et jonc",non,32327
sommiers façonnés et de chêne,0,"Ouvrages de bois, liège et jonc",non,32327
sommiers ou corps d'arbre de sapin,0,"Ouvrages de bois, liège et jonc",non,32327
son,179,Blé et autres grains comestibles,non,9572
son d'Espagne,1,Blé et autres grains comestibles,non,9572
son de farine,0,Blé et autres grains comestibles,non,9572
son et vesse de fer,1,Produits inconnus,non,7059
sonde,6,Ouvrages divers et mélangés,non,16505
sonde d'argent,1,Ouvrages métalliques,non,20598
sonde ou soudes,1,Divers incertains,non,8518
sonnettes,27,Ouvrages métalliques,non,20598
sonnettes de bronze,1,Ouvrages métalliques,non,20598
sonnettes de fonte,1,Ouvrages métalliques,non,20598
soquet,1,Produits inconnus,non,7059
sorbet,7,Subsistances diverses et mélangées,non,10028
sortes,1,Produits inconnus,non,7059
sotas,1,Produits inconnus,non,7059
soucade,3,Produits inconnus,non,7059
souchais,2,Produits inconnus,non,7059
soucis,53,"Mousseline, basin et nankin",non,2630
soucis de soie,1,"Mousseline, basin et nankin",non,2630
soucis pour mouchoirs,0,"Mousseline, basin et nankin",non,2630
soucoupes de faïence,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
soucoupes et tasses de faïence,2,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
soucoupes vernies,1,"Porcelaine, poterie, faïence et ouvrages de terre",non,7632
soucrillon,2,Matières premières diverses,non,15181
soucrillon en gerbes,0,Matières premières diverses,non,15181
soudes,1129,Alcalis,non,1223
soudes (cendre),1,Alcalis,non,1223
soudes de toute sorte,6,Alcalis,non,1223
soudes et natron et salin,40,Alcalis,non,1223
soudes et potasse,23,Alcalis,non,1223
soudes et tartre,1,Drogues diverses,non,10513
soudes soufre,0,Drogues diverses,non,10513
soudure,9,Ouvrages métalliques,non,20598
soudure de cuivre,1,Ouvrages métalliques,non,20598
soufflets,46,Ouvrages divers et mélangés,non,16505
soufflets à bouche,2,Ouvrages divers et mélangés,non,16505
soufflets à feu,11,Ouvrages divers et mélangés,non,16505
soufflets à forge,9,Ouvrages divers et mélangés,non,16505
soufflets à poudre,3,Ouvrages divers et mélangés,non,16505
soufflets à tirer,1,Ouvrages divers et mélangés,non,16505
soufflets à tirer le vin,7,Ouvrages divers et mélangés,non,16505
soufflets à tirer le vin au clair,1,Ouvrages divers et mélangés,non,16505
soufflets à tirer le vin au clair et sa garniture,1,Ouvrages divers et mélangés,non,16505
soufflets à tirer vin au clair,1,Ouvrages divers et mélangés,non,16505
soufflets d'hermine,1,Ouvrages divers et mélangés,non,16505
soufflets de bois,0,Ouvrages divers et mélangés,non,16505
soufflets de cheminée,7,Ouvrages divers et mélangés,non,16505
soufflets de fer,1,Ouvrages divers et mélangés,non,16505
soufflets de forge,21,Ouvrages divers et mélangés,non,16505
soufflets de maréchal,1,Ouvrages divers et mélangés,non,16505
soufflets petits,5,Ouvrages divers et mélangés,non,16505
soufflets pour orgues,0,Ouvrages divers et mélangés,non,16505
soufre,1398,Salpêtre et soufre,non,2035
soufre ???,1,Salpêtre et soufre,non,2035
soufre à canons,1,Salpêtre et soufre,non,2035
soufre brut,7,Salpêtre et soufre,non,2035
soufre en canons,57,Salpêtre et soufre,non,2035
soufre en canons épuré,1,Salpêtre et soufre,non,2035
soufre en fanon,12,Salpêtre et soufre,non,2035
soufre en fleurs,17,Salpêtre et soufre,non,2035
soufre en mèche,1,Salpêtre et soufre,non,2035
soufre épuré,7,Salpêtre et soufre,non,2035
soufre raffiné,3,Salpêtre et soufre,non,2035
soufre sublimé en poudre,8,Salpêtre et soufre,non,2035
soufre vif,1,Salpêtre et soufre,non,2035
souliers,836,Cordonnerie et sellerie,non,2064
souliers à dessus de soie pour femme,5,Ouvrages divers et mélangés,non,16505
souliers anglais,1,Ouvrages divers et mélangés,non,16505
souliers blancs,3,Ouvrages divers et mélangés,non,16505
souliers brodés,22,Ouvrages divers et mélangés,non,16505
souliers brodés d'argent,4,Ouvrages divers et mélangés,non,16505
souliers brodés d'argent et d'or,8,Ouvrages divers et mélangés,non,16505
souliers brodés d'argent et de soie,1,Ouvrages divers et mélangés,non,16505
souliers brodés d'or,1,Ouvrages divers et mélangés,non,16505
souliers brodés et pour femme,11,Ouvrages divers et mélangés,non,16505
