simplification,nbr_occurences_simpl,revolutionempire,obsolete,nbr_occurences_revolutionempire
alouettes,3,Animaux,non,3801
alpargate,36,Ouvrages divers et mélangés,non,16505
alphabets,1,Librairie,non,3643
alpiste,21,Blé et autres grains comestibles,non,9572
alpiste et millet,9,Blé et autres grains comestibles,non,9572
alquifoux,480,"Alquifoux, mine de plomb et graphite",non,946
alquifoux en galène,2,"Alquifoux, mine de plomb et graphite",non,946
alquifoux et mine de plomb,36,"Alquifoux, mine de plomb et graphite",non,946
alquifoux mine de plomb ou graphite,23,"Alquifoux, mine de plomb et graphite",non,946
alquifoux ou mine de plomb,1,"Alquifoux, mine de plomb et graphite",non,946
alquifoux sable plombifère,1,"Alquifoux, mine de plomb et graphite",non,946
alquitra,3,"Brai, goudron et résines",non,8389
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,Ouvrages divers et mélangés,non,16505
alto basses contrebasses guitare lyres violes violons,2,Ouvrages divers et mélangés,non,16505
alto bassons guitare violons,3,Ouvrages divers et mélangés,non,16505
alun,2414,Alun,non,2440
alun à cordonnier,1,Alun,non,2440
alun autre que brûlé ou calciné,2,Alun,non,2440
alun bon,2,Alun,non,2440
alun brûlé,1,Alun,non,2440
alun commun,1,Alun,non,2440
alun de glace,1,Alun,non,2440
alun de roche,5,Alun,non,2440
alun de Rome,3,Alun,non,2440
alun de Rome fin rosé,1,Alun,non,2440
alun de Rouen,2,Alun,non,2440
alun de Surde,2,Alun,non,2440
alun du Levant,1,Alun,non,2440
alun en dracy,1,Alun,non,2440
alun en rame,1,Alun,non,2440
alun gâté,1,Alun,non,2440
alun ordinaire,1,Alun,non,2440
alvés,0,Produits inconnus,non,7059
amadou,225,Matières premières diverses,non,15181
amadou et agaric amadouvier,7,Matières premières diverses,non,15181
amandes,2175,Fruits secs et noix,non,13142
amandes à la praline,4,Fruits secs et noix,non,13142
amandes amères,1,Fruits secs et noix,non,13142
amandes arachis noisettes noix noyaux,2,Fruits secs et noix,non,13142
amandes cassée,6,Fruits secs et noix,non,13142
amandes cassées,384,Fruits secs et noix,non,13142
amandes cassées ou en coque,3,Fruits secs et noix,non,13142
amandes courtes,0,Fruits secs et noix,non,13142
amandes douces,5,Fruits secs et noix,non,13142
amandes en coque,301,Fruits secs et noix,non,13142
amandes et figue et raisin,33,Fruits secs et noix,non,13142
amandes et pelures et prunes et raisin,0,Fruits secs et noix,non,13142
amandes et pruneaux,82,Fruits secs et noix,non,13142
amandes et raisin sec,15,Fruits secs et noix,non,13142
amandes et raisin sec et savon,1,Divers mélangés,non,39767
amandes et savon,13,Divers mélangés,non,39767
amandes et sucre,25,Subsistances diverses et mélangées,non,10028
amandes et verdet,33,Divers mélangés,non,39767
amandes fraîches,0,Fruits secs et noix,non,13142
amandes longues,0,Fruits secs et noix,non,13142
amandes mondées,2,Fruits secs et noix,non,13142
amandes sèches,64,Fruits secs et noix,non,13142
amandes sèches et figue sèche et ???,0,Fruits secs et noix,non,13142
amandes sèches et figue sèche et raisin sec,135,Fruits secs et noix,non,13142
amarinage,10,Bâtiments de mer et apparaux,non,8061
amarine,1,Matières premières diverses,non,15181
ambrain à grande barrique,1,Produits inconnus,non,7059
ambre,42,Gommes diverses,non,4177
ambre blanc,1,Parfumerie et toilette,non,3571
ambre brut,0,Gommes diverses,non,4177
ambre carabé,21,Gommes diverses,non,4177
ambre carabé jaune,2,Gommes diverses,non,4177
ambre en grains,1,Gommes diverses,non,4177
ambre et corail,1,Matières premières diverses,non,15181
ambre gris,38,Gommes diverses,non,4177
ambre jaune,86,Gommes diverses,non,4177
ambre moulu,2,Drogues diverses,non,10513
amer,3,Matières brutes et transformées pour teinture,non,17255
amer de laine,1,Étoffes de laine,non,13973
amertis,4,Toiles de coton,non,9075
ameublement,2,"Meubles, glaces et miroirs",non,3811
ameublement de chitte,1,"Meubles, glaces et miroirs",non,3811
ami de toilé,1,Produits inconnus,non,7059
amidon,1266,Ouvrages divers et mélangés,non,16505
amidon alun,1,Ouvrages divers et mélangés,non,16505
amidon en grains,1,Ouvrages divers et mélangés,non,16505
amidon en poudre,1,Ouvrages divers et mélangés,non,16505
amidon et poudre à poudrer,0,Ouvrages divers et mélangés,non,16505
ammoniac,7,Gommes diverses,non,4177
ammoniac et sel,21,Drogues diverses,non,10513
ammonium,1,Drogues diverses,non,10513
amomum,16,Drogues médicinales diverses,non,11402
amomum et fèves de tonka et noix de ravensara,2,Drogues médicinales diverses,non,11402
amomum verum,2,Drogues médicinales diverses,non,11402
amurca,4,Drogues diverses,non,10513
anabasse,121,Toiles diverses,non,11364
anabasse bajutapau,3,Toiles diverses,non,11364
anabasse corat nicaneas platille,2,Toiles diverses,non,11364
anacardes,2,Fruits secs et noix,non,13142
anacoste,3,Étoffes de laine,non,13973
ananas,0,Fruits frais,non,8185
ananas confit,2,Subsistances diverses et mélangées,non,10028
ananas et pommes de grenade,0,Fruits frais,non,8185
ananas planté,1,Matières premières diverses,non,15181
anatomie,1,Librairie,non,3643
anatose,3,Produits inconnus,non,7059
anches de tonneaux,2,"Ouvrages de bois, liège et jonc",non,32327
anchois,897,Pêche et fruits de mer,non,13709
anchois câpres et olives,10,Subsistances diverses et mélangées,non,10028
anchois câpres etc.,1,Subsistances diverses et mélangées,non,10028
