orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
droguerie pour peintures et teinture diverses,divers,4,2987
droguerie pour peintures et teinture galle,galle,3,795
droguerie pour peintures et teinture garance,garance,3,1118
droguerie pour peintures et teinture graine d'écarlate,graine d'écarlate,1,3
droguerie pour peintures et teinture graine vermillon,graine vermillon,1,1
droguerie pour peintures et teinture huile de térébenthine,huile de térébenthine,3,235
droguerie pour peintures et teinture inde plate,inde plate,1,118
droguerie pour peintures et teinture indigo,indigo,6,3292
droguerie pour peintures et teinture iris,iris,1,177
droguerie pour peintures et teinture lakmoës,lakmoes,1,12
droguerie pour peintures et teinture mine de plomb,mine de plomb,1,332
droguerie pour peintures et teinture noix de galle,noix de Galle,2,383
droguerie pour peintures et teinture ocre en pierres,ocre en pierre,1,2
droguerie pour peintures et teinture racines d'alizari,racines d'alizari,1,99
droguerie pour peintures et teinture safranum,safranum,4,581
droguerie pour peintures et teinture stil de grain,stil de grain,1,55
droguerie pour peintures et teinture sumac,sumac,2,632
droguerie pour peintures et teinture tartre,tartre,1,821
droguerie pour peintures et teinture térébenthine,térébenthine,2,563
droguerie pour peintures et teinture tournesol,tournesol,1,287
droguerie pour peintures et teinture verdet,verdet,3,1318
droguerie pour peintures et teinture vermillon,vermillon,2,547
droguerie pour teinture et peintures alun,alun,1,1873
droguerie pour teinture et peintures céruse,céruse,2,887
droguerie pour teinture et peintures cinabre,cinabre,1,207
droguerie pour teinture et peintures cochenille,cochenille,1,1079
droguerie pour teinture et peintures couleurs composées,couleurs composées,4,5
droguerie pour teinture et peintures galle,galle,2,795
droguerie pour teinture et peintures litharge,litharge,1,530
droguerie pour teinture et peintures mine de plomb,mine de plomb,1,332
droguerie pour teinture et peintures noir de fumée,noir de fumée,1,535
droguerie pour teinture et peintures ocre,ocre,2,527
droguerie pour teinture et peintures verdet,verdet,2,1318
droguerie quinquina,quinquina,1,948
droguerie rhubarbe,rhubarbe,1,659
droguerie safran,safran,5,1159
droguerie safranum,safran,1,1159
droguerie sel ammoniac,sel d'ammoniac,1,421
droguerie sel chimique,sel chimique,2,296
droguerie sel de nitre,sel de nitre,1,9
droguerie sel de Saturne,sel de Saturne,3,249
droguerie séné,séné,1,630
droguerie verdet,verdet,2,1318
droguerie vitriol,vitriol,3,393
drogueries diverses,drogues,1,2404
drogues,drogues,15,2404
drogues ???,drogues ???,2,2
drogues à peindre,drogues à peindre,1,1
drogues à teindre,drogues à teindre,10,19
drogues alquifoux,alquifoux,1,479
drogues alun,alun,1,1873
drogues azur,azur,1,729
drogues baie de laurier,baie de laurier,2,28
drogues benjoin,benjoin,1,151
drogues blanc de plomb,blanc de plomb,1,51
drogues bois de réglisse,bois de réglisse,1,64
drogues borax,borax,2,285
drogues camphre,camphre,2,292
drogues canefice,canefice,1,578
drogues cantharides,cantharides,1,354
drogues capillaire,capillaire,1,28
drogues carabé,carabé,1,37
drogues cassia lignea,cassia lignea,1,146
drogues castor,castor,1,9
drogues chimiques,drogues chimiques,2,15
drogues chimiques diverses,drogues chimiques,12,15
drogues chimiques eau-forte,eau-forte,18,391
drogues chimiques esprit de sel,esprit de sel,2,14
drogues chimiques esprit de vin,esprit-de-vin,2,158
drogues chimiques et métaliques,drogues chimiques et métalliques,1,17
drogues chimiques et métalliques,drogues chimiques et métalliques,13,17
drogues chimiques et métalliques ammoniac,ammoniac,6,7
drogues chimiques et métalliques antimoine,antimoine,1,221
drogues chimiques et métalliques antimoine cru,antimoine cru,2,27
drogues chimiques et métalliques argent vif,mercure,2,602
drogues chimiques et métalliques arsenic,arsenic,1,411
drogues chimiques et métalliques diverses,drogues chimiques et métalliques,1,17
drogues chimiques et métalliques eau-forte,eau-forte,1,391
drogues chimiques et métalliques esprit de sel,esprit de sel,1,14
drogues chimiques et métalliques mercure,mercure,1,602
drogues chimiques et métalliques odorantes encres,encre odorante,1,1
drogues chimiques et métalliques régule d'antimoine,régule d'antimoine,2,11
drogues chimiques et métalliques sel ammoniac,sel d'ammoniac,4,421
drogues chimiques et métalliques sel d'antimoine,sel d'antimoine,2,2
drogues chimiques et métalliques sel d'Epsom,sel d'Epsom,2,208
drogues chimiques et métalliques sel de Glauber,sel de Glauber,1,59
drogues chimiques et métalliques sel de Saturne,sel de Saturne,2,249
drogues chimiques et métalliques sel divers,sel,2,1667
drogues chimiques et métalliques sel Saturne,sel de Saturne,8,249
drogues chimiques et métalliques sublimé,drogues chimiques et métalliques sublimé,1,1
drogues chimiques et métalliques vitriol,vitriol,9,393
drogues chimiques et métalliques vitriol bleu,vitriol bleu,1,4
drogues chimiques et métalliques zinc,zinc,3,44
drogues chimiques huile de vitriol,huile de vitriol,1,289
drogues chimiques sel,sel,1,1667
drogues chimiques sel ammoniac,ammoniac et sel,20,21
drogues chimiques sel ammoniaque,ammoniac et sel,1,21
drogues chimiques sel d'Epsom,sel d'Epsom,3,208
drogues chimiques sel d'opium,sel d'opium,1,7
drogues chimiques sel de fat ???,sel de fat ???,1,1
drogues chimiques sel de Glauber,sel de Glauber,2,59
drogues chimiques sel de paume,sel de paume,2,2
drogues chimiques sel de plomb,sel de plomb,1,1
drogues chimiques sel de potasse,sel de potasse,4,4
drogues chimiques sel de prunelle,sel de prunelle,2,2
drogues chimiques sel de Prusse,sel de Prusse,1,1
drogues chimiques sel de Saturne,sel de Saturne,13,249
drogues chimiques sel de tamarin,sel de tamarin,3,17
drogues chimiques sel divers,sel,2,1667
drogues chimiques sel gemme,sel gemme,2,40
drogues chimiques sel Saturne,sel de Saturne,4,249
drogues chimiques sel sublimé,sel sublimé,2,2
drogues chimiques sublimé,sublimé,1,142
drogues chimiques vitriol,vitriol,1,393
drogues cochenille,cochenille,2,1079
drogues comme agaric,agaric,2,139
drogues communes,drogues,26,2404
drogues communes d'apothicaire,drogues d'apothicaire,1,69
drogues composées pour la médecine baume du Pérou,baume du Pérou,4,86
drogues composées pour la médecine benjoin,benjoin,1,151
drogues composées pour la médecine canefice,canefice,1,578
drogues composées pour la médecine cantharides,cantharides,5,354
drogues composées pour la médecine canyolore,canyolore,3,3
drogues composées pour la médecine castoreum du ???,castoreum du ???,1,1
drogues composées pour la médecine crème à tartre,crème de tartre,4,461
drogues composées pour la médecine diverses,médicaments,5,289
drogues composées pour ma médecine aloès,aloès,3,229
drogues composées pour ma médecine benjoin,benjoin,1,151
drogues composées pour ma médecine camphre,camphre,2,292
drogues composées pour ma médecine canefice,canefice,2,578
drogues composées pour ma médecine cantharides,cantharides,4,354
drogues composées pour ma médecine crème de tartre,crème de tartre,9,461
drogues composées pour ma médecine cristal de tartot,cristal de tartot,1,1
drogues composées pour ma médecine diverses,médicaments,12,289
drogues composées pour ma médecine jus de réglisse,jus de réglisse,8,807
drogues composées pour ma médecine manne,manne,8,846
drogues composées pour ma médecine poudre brillant,poudre brillant,2,2
drogues composées pour ma médecine sableuée,sableuée,1,1
drogues composées pour ma médecine sang dragon,sang de dragon,1,106
drogues composées pour ma médecine scammonée,scammonée,1,190
drogues composées pour ma médecine storax,storax,3,202
drogues composées pour médecine ???,drogues composées pour médecine ???,2,2
drogues composées pour médecine chévaque,chévaque,1,1
drogues composées pour médecine jus de réglisse,jus de réglisse,3,807
drogues composées pour médecine manne,manne,8,846
drogues composées pour médecine opium,opium,1,229
drogues composées pour médecine précipité,drogues composées pour médecine précipité,2,2
drogues composées pour médecine résines de jalap,résines de jalap,1,21
drogues composées pour médecine sang dragon,sang de dragon,2,106
drogues composées pour médecine scammonée,scammonée,1,190
drogues composées pour médecine storax,storax,3,202
drogues composées pour médecine sublimé,sublimé,3,142
drogues composées pour médecine thériaque,thériaque,2,150
drogues couperose,couperose,3,954
drogues couperose verte,couperose verte,2,257
drogues crème de tartre,crème de tartre,1,461
drogues d'apothicaire,drogues d'apothicaire,61,69
drogues d'apothicaire communes,drogues d'apothicaire communes,2,2
drogues de castor,drogues de castor,1,1
drogues de laine,droguet de laine,6,42
drogues de laine et fil,droguet de laine et fil,2,2
drogues de misme,drogues de misme,1,1
drogues de peinture en ocre rouge,ocre rouge,1,30
drogues de réglisse,réglisse,2,625
drogues de soie,drogues de soie,3,3
drogues de toutes espèces diverses pour les peintures et teinture,drogues pour peintures et la teinture,6,6
drogues de toutes espèces rhubarbe,rhubarbe,4,659
drogues de toutes espèces salsepareille,salsepareille,5,839
drogues de toutes espèces sel médicinal divers,sel médicinal divers,4,4
drogues diverses,drogues,219,2404
drogues diverses brai raffiné,brai raffiné,2,2
drogues diverses composées,drogues diverses composées,2,2
drogues diverses drogues diverses réunies,drogues diverses réunies,45,635
drogues diverses drogues réunies,drogues,33,2404
drogues diverses eau-forte,eau-forte,3,391
drogues diverses gomme,gomme,1,672
drogues diverses gomme adragant,gomme adragant,1,331
drogues diverses gomme arabique,gomme arabique,2,609
drogues diverses gomme d'Arabie,gomme arabique,1,609
drogues diverses gomme diverse,gomme,43,672
drogues diverses gomme du Sénégal,gomme du Sénégal,1,297
drogues diverses gommes diverses,gomme,13,672
drogues diverses huile et essence de térébenthine,huile et essence de térébenthine,24,24
drogues diverses médicinales,drogues diverses médicinales,4,5
drogues diverses mêlées,drogues,2,2404
drogues diverses pour la médecine,drogues diverses médicinales,1,5
drogues diverses pour la peinture et teinture,drogues diverses pour peintures et teinture,4,4
drogues diverses réunies,drogues,506,2404
drogues diverses sagon,sagon,2,2
drogues diverses sel chimique,sel chimique,15,296
drogues émeri,émeri,2,40
drogues et épiceries diverses pour la peinture et teinture,drogues et épiceries diverses pour peintures et teinture,2,2
drogues fines,drogues fines,4,14
drogues fleurs d'aspic,fleurs d'aspic,1,79
drogues garance,garance,1,1118
drogues gaude,gaude,1,24
drogues gomme,gomme,1,672
drogues gomme adragant,gomme adragant,4,331
drogues gomme ammoniac,gomme ammoniac,1,107
drogues gomme arabique,gomme arabique,13,609
drogues gomme commune,gomme commune,6,104
drogues gomme copale,gomme copale,2,217
drogues gomme couperose,gomme couperose,1,1
drogues gomme de Barbarie,gomme de Barbarie,5,82
drogues gomme diverse,gomme,1,672
drogues gomme du Sénégal,gomme du Sénégal,1,297
drogues gomme élastique,gomme élastique,1,11
drogues gomme galle,gomme galle,1,3
drogues gomme gedda,gomme gedda,1,13
drogues gomme herbes grandes,gomme herbes grandes,1,1
drogues gomme laque,gomme laque,6,302
drogues gomme médicinales diverses,drogues gomme médicinales diverses,1,1
drogues gomme métalliques diverses,drogues gomme métalliques diverses,1,1
drogues gomme myrrhe,gomme myrrhe,2,2
drogues gomme pour peintures et teinture,gomme pour peintures et teinture,1,1
drogues gomme racines d'alizari,gomme racines d'alizari,1,1
drogues gomme sandarac,gomme sandaraque,1,141
drogues gomme sandrack,gomme sandaraque,2,141
drogues gomme Sénégal,gomme du Sénégal,7,297
drogues gomme verdet,gomme verdet,1,1
drogues gommes diverse,gomme,5,672
drogues huile de térébenthine,huile de térébenthine,4,235
drogues huile de vitriol,huile de vitriol,8,289
drogues indigo,indigo,7,3292
drogues indigo des Îles françaises,indigo des Îles françaises,1,1
drogues jus de réglisse,jus de réglisse,2,807
drogues litharge,litharge,3,530
drogues mastic,mastic,2,122
drogues mauris,mauris,1,1
drogues médicinales,drogue médicinale,32,32
drogues médicinales ???,drogues médicinales ???,6,6
drogues médicinales agaric gros,agaric gros,1,3
drogues médicinales aloès,aloès,2,229
drogues médicinales aloès cabalin,aloès cabalin,2,6
drogues médicinales alquifoux,alquifoux,1,479
drogues médicinales antimoine,antimoine,1,221
drogues médicinales asa fœtida,asa fœtida,3,123
drogues médicinales baume,baume,2,143
drogues médicinales baume de Copahu,baume de Copahu,2,123
drogues médicinales baume du Pérou,baume du Pérou,3,86
drogues médicinales baurne divers,baume,4,143
drogues médicinales benjoin,benjoin,5,151
drogues médicinales beunne,beunne,1,1
drogues médicinales bière vétérinaire,bière vétérinaire,1,1
drogues médicinales bois de réglisse,bois de réglisse,2,64
drogues médicinales bol d'Arménie,bol d'Arménie,1,19
drogues médicinales borax,borax,4,285
drogues médicinales boules d'acier,boules d'acier,2,5
drogues médicinales cachou,cachou,1,42
drogues médicinales calaurure,calaurure,1,1
drogues médicinales camphre,camphre,8,292
drogues médicinales camphre raffiné,camphre raffiné,1,44
drogues médicinales canefice,canefice,2,578
drogues médicinales cantharides,cantharides,7,354
drogues médicinales capillaire,capillaire,5,28
drogues médicinales cardamome,cardamome,1,64
drogues médicinales carouge,carouge,2,142
drogues médicinales carrabe,carrabe,2,2
drogues médicinales casse,casse,8,104
drogues médicinales casse en ???,drogues médicinales casse en ???,1,1
drogues médicinales cassia lignea,cassia lignea,9,146
drogues médicinales cassia sèche,cassia sèche,1,1
drogues médicinales cautardes,cautardes,1,1
drogues médicinales cévadille,cévadille,3,9
drogues médicinales chicotin,chicotin,3,9
drogues médicinales chimiques eau-forte,eau-forte,3,391
drogues médicinales coloquinte,coloquinte,4,161
drogues médicinales coque du Levant,coque du Levant,5,119
drogues médicinales coque Levant,coque du Levant,1,119
drogues médicinales coraline,coraline,2,2
drogues médicinales cordial,cordial,1,1
drogues médicinales coriandre,coriandre,1,32
drogues médicinales corne fine,corne fine,1,1
drogues médicinales crème de tartre,crème de tartre,26,461
drogues médicinales cristal de tartre,cristal de tartre,1,22
drogues médicinales cumin,cumin,9,340
drogues médicinales diagedum,diagedum,1,1
drogues médicinales diverses,médicaments,111,289
drogues médicinales diverses manne,manne,1,846
drogues médicinales drogues médicinales réunies,médicaments,46,289
drogues médicinales drogues réunies,médicaments,39,289
drogues médicinales eau de Seltzer,eau de Seltzer,2,8
drogues médicinales eau sederale,eau sederale,1,1
drogues médicinales eau vulnéraire,eau vulnéraire,1,21
drogues médicinales en camomille,camomille,1,1
drogues médicinales en plantes ???,drogues en plantes,6,6
drogues médicinales en plantes agaric,agaric,2,139
drogues médicinales en plantes aristoloche,aristoloche,1,68
drogues médicinales en plantes carrue,carrue,1,1
drogues médicinales en plantes casse en baton,casse en baton,2,2
drogues médicinales en plantes cassia lignea,cassia lignea,6,146
drogues médicinales en plantes civadille,civadille,3,100
drogues médicinales en plantes coloquinte,coloquinte,2,161
drogues médicinales en plantes coque Levant,coque du Levant,2,119
drogues médicinales en plantes coriandre,coriandre,2,32
drogues médicinales en plantes cumin,cumin,3,340
drogues médicinales en plantes diverses,drogues médicinales en plantes diverses,11,11
drogues médicinales en plantes fleurs de benjoin,fleurs de benjoin,1,9
drogues médicinales en plantes galanga,galanga,1,64
drogues médicinales en plantes ginseng,ginseng,1,40
drogues médicinales en plantes jalap,jalap,3,441
drogues médicinales en plantes ogarie,ogarie,1,1
drogues médicinales en plantes quinquina,quinquina,10,948
drogues médicinales en plantes racines diverses,racines,3,91
drogues médicinales en plantes réglisse,réglisse,14,625
drogues médicinales en plantes rhubarbe,rhubarbe,7,659
drogues médicinales en plantes safran,safran,9,1159
drogues médicinales en plantes salsepareille,salsepareille,6,839
drogues médicinales en plantes sebestre,sébeste,1,49
drogues médicinales en plantes séné,séné,13,630
drogues médicinales en plantes simarouba,simarouba,1,17
drogues médicinales en plantes tamarin,tamarin,3,300
drogues médicinales en plantes tournesol,tournesol,3,287
drogues médicinales en quinquina,quinquina,1,948
drogues médicinales en rhubarbe composée,drogues médicinales en rhubarbe composée,3,3
drogues médicinales extrait ???,extrait ???,1,1
drogues médicinales fleurs de violette,fleurs de violette,1,96
drogues médicinales follicule,follicule,1,5
drogues médicinales galbanum,galbanum,1,67
drogues médicinales gentiane,gentiane,1,12
drogues médicinales huile d'amandes douces,huile d'amandes douces,2,14
drogues médicinales huile de térébenthine,huile de térébenthine,6,235
drogues médicinales ipécacuanha,ipécacuanha,16,297
drogues médicinales jalap,jalap,19,441
drogues médicinales jujubes,jujubes,1,94
drogues médicinales jus de réglisse,jus de réglisse,33,807
drogues médicinales liqueurs,liqueurs,1,1920
drogues médicinales magnésie,magnésie,2,2
drogues médicinales manne,manne,55,846
drogues médicinales marue,marue,2,2
drogues médicinales mêlée,drogues médicinales,1,253
drogues médicinales mousse,mousse,1,13
drogues médicinales mousse de mer,mousse de mer,1,8
drogues médicinales opium,opium,5,229
drogues médicinales orge perlé,orge perlé,3,42
drogues médicinales pignons,pignons,2,25
drogues médicinales pignons d'Inde,pignons d'Inde,2,43
drogues médicinales précipité,précipité,2,28
drogues médicinales quinoa,quinoa,3,3
drogues médicinales quinquina,quinquina,46,948
drogues médicinales racinages,racinages,1,1
drogues médicinales racine de fouchet,racines de fouchet,1,1
drogues médicinales racines diverses,racines,1,91
drogues médicinales réglisse,réglisse,5,625
drogues médicinales réglisse de bois,réglisse de bois,3,3
drogues médicinales réglisse en bois,réglisse en bois,5,6
drogues médicinales réglisse en jus,réglisse en jus,6,6
drogues médicinales réglisse sur bâne,réglisse sur bâne,2,2
drogues médicinales remèdes composés,remèdes composés,1,5
drogues médicinales remèdes safranum,safranum,1,581
drogues médicinales remèdes sercé en feuilles,remèdes sercé en feuilles,1,1
drogues médicinales réunies,drogues médicinales,215,253
drogues médicinales rhubarbe,rhubarbe,21,659
drogues médicinales safran,safran,53,1159
drogues médicinales salsepareille,salsepareille,20,839
drogues médicinales sapan,sapan,1,1
drogues médicinales scammonée,scammonée,5,190
drogues médicinales sel ammoniac,sel d'ammoniac,1,421
drogues médicinales semen contra,semen contra,2,144
drogues médicinales sené,séné,4,630
drogues médicinales séné,séné,36,630
drogues médicinales séné en grabeau,séné en grabeau,2,20
drogues médicinales squine,squine,1,152
drogues médicinales stafisagre,stafisagre,4,30
drogues médicinales storax,storax,9,202
drogues médicinales storax liquide,storax liquide,2,7
drogues médicinales sublimé,sublimé,1,142
drogues médicinales suc de réglisse,suc de réglisse,15,27
drogues médicinales sucre de réglisse,sucre de réglisse,1,2
drogues médicinales sucre réglisse,sucre de réglisse,1,2
drogues médicinales tamarin,tamarin,8,300
drogues médicinales tartre,tartre,1,821
drogues médicinales tartre crème,crème de tartre,1,461
drogues médicinales thériaque,thériaque,2,150
drogues médicinales vanille,vanille,5,234
drogues médicinales zedonire,zédoaire,1,29
drogues mêlées,drogues,5,2404
drogues mêlées asa fœtida,asa fœtida,1,123
drogues mêlées benjoin,benjoin,1,151
drogues mêlées blanc de baleine,blanc de baleine,2,129
drogues mêlées bongras amoniac,bongras ammoniac,1,1
drogues mêlées bongras animal,bongras animal,1,1
drogues mêlées borax,borax,1,285
drogues mêlées diverses,drogues,67,2404
drogues mêlées diverses blanc de baleine,blanc de baleine,4,129
drogues mêlées diverses borax,borax,2,285
drogues mêlées doraze,doraze,4,4
drogues mêlées essence de térébenthine,essence de térébenthine,2,36
drogues mêlées essence de vitriol,essence de vitriol,12,15
drogues mêlées fleurs d'aspic ou de lavande,fleurs d'aspic,1,79
drogues mêlées galbanum,galbanum,1,67
drogues mêlées gomme adragant,gomme adragant,3,331
drogues mêlées gomme arabique,gomme arabique,15,609
drogues mêlées gomme commune,gomme commune,4,104
drogues mêlées gomme d'Amérique,gomme d'Amérique,1,1
drogues mêlées gomme de Barbarie,gomme de Barbarie,3,82
drogues mêlées gomme de Cenzier,gomme de Cenzier,1,1
drogues mêlées gomme de gaïac,gomme de gaïac,2,66
drogues mêlées gomme de sandarac,gomme de sandarac,1,6
drogues mêlées gomme diverse,gomme,6,672
drogues mêlées gomme élastique,gomme élastique,2,11
drogues mêlées gomme elemy,gomme elemy,1,1
drogues mêlées gomme euphorbe,gomme euphorbe,2,2
drogues mêlées gomme galanga,gomme galanga,1,1
drogues mêlées gomme gedda,gomme gedda,2,13
drogues mêlées gomme gutte,gomme gutte,5,122
drogues mêlées gomme laque,gomme laque,5,302
drogues mêlées gomme sandaraque,gomme sandaraque,1,141
drogues mêlées gomme Sénégal,gomme du Sénégal,2,297
drogues mêlées gousses ???,gousses ???,1,1
drogues mêlées gousses arabiques,gousses arabiques,21,21
drogues mêlées gousses de sandarac,gousses de sandaraque,1,1
drogues mêlées gousses diverses,gousses,3,3
drogues mêlées gousses du Sénégal,gousses du Sénégal,2,2
drogues mêlées gousses gatte,gousses gatte,1,1
drogues mêlées gousses lagne,gousses lagne,2,2
drogues mêlées graine diverse,drogues et graines diverses,5,5
drogues mêlées huile d'amandes,huile d'amandes,1,77
drogues mêlées mastic,mastic,4,122
drogues métalliques,drogues métalliques,2,8
drogues métalliques ???,drogues métalliques ???,8,8
drogues métalliques antimoine,antimoine,6,221
drogues métalliques antimoire,antimoine,1,221
drogues métalliques argent,argent,1,11
drogues métalliques argent vif,mercure,14,602
drogues métalliques arsenic,arsenic,4,411
drogues métalliques auchinoise,auchinoise,2,2
drogues métalliques diverses,drogues métalliques,5,8
drogues métalliques et chimiques antimoine,antimoine,2,221
drogues métalliques et chimiques argent,argent,3,11
drogues métalliques et chimiques arsenic,arsenic,3,411
drogues métalliques et chimiques diverses,divers,1,2987
drogues métalliques et chimiques sel ammoniac,sel d'ammoniac,1,421
drogues métalliques et chimiques sel d'étain,sel d'étain,1,1
drogues métalliques et chimiques sel de tartre,sel de tartre,1,8
drogues métalliques et chimiques toutemayen,toutenague,1,40
drogues métalliques et chimiques vitriol,vitriol,4,393
drogues métalliques litharge,litharge,7,530
drogues métalliques mercerie,mercerie,1,3606
drogues métalliques mercure,mercure,4,602
drogues métalliques piharge,piharge,4,4
drogues metalliques salamouris,salamouris,1,1
drogues métalliques toutenague,toutenague,1,40
drogues métalliques vitriol,vitriol,24,393
drogues mine de plomb,mine de plomb,3,332
drogues minium,minium,1,99
drogues musc,musc,1,27
drogues noix de galle,noix de Galle,1,383
drogues noix de Galles,noix de Galle,1,383
drogues ocre,ocre,1,527
drogues ocre jaune et rouge,ocre jaune et rouge,1,1
drogues odorantes ambre,ambre,1,42
drogues odorantes ambre gris,ambre gris,1,36
drogues odorantes ambre jaune,ambre jaune,3,72
drogues odorantes diverses,divers,3,2987
drogues odorantes encens,encens,34,503
drogues odorantes encrin,encrin,1,1
drogues odorantes musc,musc,3,27
drogues odorantes myrrhe,myrrhe,2,115
drogues orge perlé,orge perlé,1,42
drogues orpin rouge,orpin rouge,1,2
drogues orseille,orseille,1,41
drogues pastel,pastel,1,94
drogues peintures,peintures,1,146
drogues peintures et teinture,drogues pour peintures et teinture,2,165
drogues peintures et teinture cochenille,cochenille,1,1079
drogues peintures et teinture diverses,divers,1,2987
drogues peintures et teinture galle,galle,1,795
drogues peintures et teinture racines d'alizari,racines d'alizari,1,99
drogues poudre d'Ailhaud,poudre d'Ailhaud,1,34
drogues pour la médecine,drogues pour la médecine,1,1
drogues pour la médecine safran,safran,1,1159
drogues pour la teinture alizari,alizari,5,16
drogues pour la teinture alun,alun,26,1873
drogues pour la teinture arsenic,arsenic,6,411
drogues pour la teinture bleu de Prusse,bleu de Prusse,2,168
drogues pour la teinture bleu en pierres,bleu en pierres,2,5
drogues pour la teinture cochenille,cochenille,15,1079
drogues pour la teinture couperose,couperose,19,954
drogues pour la teinture curcuma,curcuma,3,136
drogues pour la teinture diverses,drogues pour la teinture,11,11
drogues pour la teinture en indigo,indigo,1,3292
drogues pour la teinture garance,garance,13,1118
drogues pour la teinture herbes à teindre,herbes à teindre,10,116
drogues pour la teinture inde plate,inde plate,3,118
drogues pour la teinture indigo,indigo,10,3292
drogues pour la teinture iris,iris,3,177
drogues pour la teinture laque de Venise,laque de Venise,1,10
drogues pour la teinture laque en poudre,laque en poudre,1,1
drogues pour la teinture laque fausse,laque fausse,1,1
drogues pour la teinture laque plate,laque plate,1,156
drogues pour la teinture noir de fumée,noir de fumée,13,535
drogues pour la teinture noir de galle,noir de galle,18,18
drogues pour la teinture orseille,orseille,2,41
drogues pour la teinture rocou,rocou,2,1637
drogues pour la teinture safranum,safran,8,1159
drogues pour la teinture sumac,sumac,14,632
drogues pour la teinture tartre,tartre,20,821
drogues pour la teinture tournesol en pain,tournesol en pain,2,9
drogues pour les peintures,drogues pour peintures,7,25
drogues pour les peintures alquifoux,alquifoux,7,479
drogues pour les peintures azur,azur,1,729
drogues pour les peintures azur et bleu de Prusse,azur et bleu de Prusse,9,9
drogues pour les peintures blanc d'Espagne,blanc d'Espagne,2,74
drogues pour les peintures blanc de ferax,blanc de ferax,9,9
drogues pour les peintures blanc de ferux,blanc de ferux,5,5
drogues pour les peintures blanc de Herps,blanc de Herps,3,3
drogues pour les peintures blanc de plomb,blanc de plomb,2,51
drogues pour les peintures bleu d'Allemagne,bleu d'Allemagne,1,1
drogues pour les peintures brun rouge,brun rouge,8,465
drogues pour les peintures cendre bleue,cendre bleue,1,76
drogues pour les peintures céruse,céruse,2,887
drogues pour les peintures cinabre,cinabre,4,207
drogues pour les peintures couleurs préparées,couleurs préparées,2,2
drogues pour les peintures couleurs rouges,couleurs rouges,1,1
drogues pour les peintures couperose,couperose,2,954
drogues pour les peintures craie blanche,craie blanche,2,51
drogues pour les peintures croix d'ivoire,croix d'ivoire,2,2
drogues pour les peintures diverses,drogues pour peintures,15,25
drogues pour les peintures et la teinture,drogues pour peintures et teinture,30,165
drogues pour les peintures et la teinture ???,drogues pour peintures et teinture ???,6,9
drogues pour les peintures et la teinture alizari,alizari,1,16
drogues pour les peintures et la teinture alquifoux,alquifoux,5,479
drogues pour les peintures et la teinture alun,alun,25,1873
drogues pour les peintures et la teinture alun de roche,alun de roche,5,5
drogues pour les peintures et la teinture alun de Rouen,alun de Rouen,2,2
drogues pour les peintures et la teinture alun de Surde,alun de Surde,2,2
drogues pour les peintures et la teinture alun du Levant,alun du Levant,1,1
drogues pour les peintures et la teinture arsenic,arsenic,2,411
drogues pour les peintures et la teinture azur,azur,15,729
drogues pour les peintures et la teinture azur gros,azur gros,3,22
drogues pour les peintures et la teinture blanc de ???,blanc de ???,2,2
drogues pour les peintures et la teinture blanc de céruse,blanc de céruse,4,30
drogues pour les peintures et la teinture blanc de plomb,blanc de plomb,3,51
drogues pour les peintures et la teinture bleu commun,bleu commun,1,7
drogues pour les peintures et la teinture bleu de Pierre,bleu de Pierre,1,1
drogues pour les peintures et la teinture bleu de Prusse,bleu de Prusse,8,168
drogues pour les peintures et la teinture bleu en encre,bleu en encre,1,1
drogues pour les peintures et la teinture bleu en pierres,bleu en pierres,1,5
drogues pour les peintures et la teinture brun rouge,brun rouge,8,465
drogues pour les peintures et la teinture cendre bleue,cendre bleue,5,76
drogues pour les peintures et la teinture céruse,céruse,8,887
drogues pour les peintures et la teinture cinabre,cinabre,4,207
drogues pour les peintures et la teinture cochenille,cochenille,18,1079
drogues pour les peintures et la teinture cochenille mustack,cochenille mustack,2,2
drogues pour les peintures et la teinture couperose,couperose,10,954
drogues pour les peintures et la teinture couperose blanche,couperose blanche,3,42
drogues pour les peintures et la teinture couperose verte,couperose verte,5,257
drogues pour les peintures et la teinture craie,craie,2,180
drogues pour les peintures et la teinture cunier,cunier,1,1
drogues pour les peintures et la teinture curcuma,curcuma,6,136
drogues pour les peintures et la teinture diverses,drogues pour peintures et teinture,29,165
drogues pour les peintures et la teinture essence de térébenthine,essence de térébenthine,1,36
drogues pour les peintures et la teinture fnée platte,drogues pour les peintures et la teinture fnée platte,3,3
drogues pour les peintures et la teinture fris,fris,1,1
drogues pour les peintures et la teinture galle en sorte,galle en sorte,2,2
drogues pour les peintures et la teinture garance,garance,14,1118
drogues pour les peintures et la teinture gatte noire,gatte noire,1,1
drogues pour les peintures et la teinture gomme arabique,gomme arabique,1,609
drogues pour les peintures et la teinture graine d'Avignon,graine d'Avignon,1,147
drogues pour les peintures et la teinture graine d'écarlate,graine d'écarlate,1,3
drogues pour les peintures et la teinture graine jaune,graine jaune,1,226
drogues pour les peintures et la teinture gris,gris,1,3
drogues pour les peintures et la teinture herbes à teindre,herbes à teindre,1,116
drogues pour les peintures et la teinture herbes à teindres,herbes à teindre,7,116
drogues pour les peintures et la teinture huile de térébenthine,huile de térébenthine,14,235
