simplification,nbr_occurences_simpl,obsolete,hamburg,nbr_occurences_hamburg
argenterie vieille en couverts,1,non,,687735
argenterie vieille et bijouterie d'argent,2,non,,687735
argile et terre pour engrais,15,non,,687735
arins,1,non,,687735
aristoloche,78,non,,687735
armement de tables,3,non,,687735
armes,349,non,,687735
armes à feu,358,non,,687735
armes à feu de guerre,2,non,,687735
armes à feu de guerre et de traite,1,non,,687735
armes à feu de guerre portatives,2,non,,687735
armes à feu de luxe,4,non,,687735
armes à feu de luxe ou de traite,3,non,,687735
armes à feu de munitions,2,non,,687735
armes à feu de munitions fines,4,non,,687735
armes à feu de traite,1,non,,687735
armes à feu et artillerie,1,non,,687735
armes à feu et de traite,1,non,,687735
armes à feu et fusils,1,non,,687735
armes armureries,1,non,,687735
armes autres que de guerre à feu,1,non,,687735
armes autres que de guerre blanches,1,non,,687735
armes blanches,192,non,,687735
armes blanches à feu et artillerie,5,oui,,687735
armes blanches de guerre,1,non,,687735
armes blanches de guerre et de traite,1,non,,687735
armes blanches de luxe,2,non,,687735
armes blanches de luxe ou de traite,3,non,,687735
armes blanches de traite,1,non,,687735
armes de chasse ou de luxe à feu,2,non,,687735
armes de chasse ou de luxe blanches,2,non,,687735
armes de guerre,2,non,,687735
armes différentes,1,non,,687735
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,non,,687735
armes et munitions,9,non,,687735
armes lames,1,non,,687735
armes remontrances,3,non,,687735
armoires,58,non,,687735
armoires ayant servi,1,non,,687735
armoires d'acajou,12,non,,687735
armoires de bois,2,non,,687735
armoires de bois de noyer,1,non,,687735
armoires de bois de sapin peintes,0,non,,687735
armoires de bois des Indes,1,non,,687735
armoires de chêne,10,non,,687735
armoires de chêne ornée,1,non,,687735
armoires de noyer,12,non,,687735
armoires de sapin,4,non,,687735
armoires et commodes,1,non,,687735
armoires vieilles,2,non,,687735
armoisin,51,non,,687735
armure de fer,1,non,,687735
armure vieille,1,non,,687735
arnas,1,non,,687735
arpois,1,oui,,687735
arquebuse,1,non,,687735
arrangas,1,non,,687735
arrosoirs,7,non,,687735
arrosoirs de bois,3,non,,687735
arrosoirs de cuivre,1,non,,687735
arrosoirs de fer,1,non,,687735
arrosoirs de fer-blanc,6,non,,687735
arrosoirs de sapin,1,non,,687735
arrosoirs de terre,1,non,,687735
arrowroot,1,non,,687735
arséniate de potasse,2,non,Potasse,1511
arsenic,496,non,,687735
arsenic métallique,6,non,,687735
artichauts,85,non,,687735
artichauts champignons et truffes,2,non,,687735
artichauts confits,70,non,,687735
artichauts frais,21,non,,687735
artichauts marinés,2,non,,687735
artichauts secs,7,non,,687735
artifice,5,non,,687735
artifice fusées etc.,44,non,,687735
artillerie,6,non,,687735
asa fœtida,129,non,,687735
ascrile,1,non,,687735
asperges,9,non,,687735
asperges confites,1,non,,687735
asperges et scorsonères,69,non,,687735
asphaltum,19,non,,687735
aspic en grabeau,1,non,,687735
assiette,2,non,,687735
assiette de Biarritz,1,non,,687735
assiette de bois,1,non,,687735
assiette de faïence,13,non,,687735
assiette de faïence assorties,0,oui,,687735
assiette de porcelaine,4,non,,687735
assiette de porcelaine des Indes,1,non,,687735
assiette de terre,8,non,,687735
assiette et plats de terre,1,non,,687735
asustum,1,non,,687735
atastes,1,non,,687735
atchiabanis,14,oui,,687735
atlas,4,non,,687735
atlas à la feuille d'or,1,non,,687735
atlas et instruments de marine,2,non,,687735
atlas jaspé,1,non,,687735
attaches de cuivre,1,non,,687735
attelles de colliers,14,non,,687735
aube,1,non,,687735
auchinoise,2,non,,687735
auclimes,3,non,,687735
auf,121,non,,687735
auf ouvré,0,oui,,687735
auf travaillé,0,oui,,687735
auf travaillé en cordes,0,oui,,687735
augemy,2,non,,687735
auges,3,non,,687735
auges de carreaux,2,non,,687735
augustins,2,non,,687735
aurcsats,1,non,,687735
aurcsats étoile,1,non,,687735
aussière,0,non,,687735
autel de marbre,2,non,,687735
aux travaux du Roi,6,non,,687735
avelanède,62,non,,687735
avelanèdes,59,oui,,687735
avelines,12,non,,687735
avelines et noisettes sèches,22,non,,687735
avelines faînes noisettes noix,1,non,,687735
avelines noisettes noix,5,non,,687735
avirons,696,non,,687735
avirons bruts,17,non,,687735
avirons de 12 pieds,1,non,,687735
avirons de 18 pieds,1,non,,687735
avirons de 30 pieds,1,non,,687735
avirons de 5 pieds,1,non,,687735
avirons de 8 à 12 pieds,1,non,,687735
avirons de bois,60,non,,687735
avirons de bois façonné,1,non,,687735
avirons de chêne,1,non,,687735
avirons de sapin,2,non,,687735
avirons en bois de construction,2,non,,687735
avirons et perches de bois,0,non,,687735
avirons et rames bruts,2,non,,687735
avirons et rames de bois,1,non,,687735
avirons et rames de bois façonné,2,non,,687735
avirons et rames façonnés,5,non,,687735
avirons polis,1,non,,687735
avoine,1045,non,,687735
avoine en gerbes,22,non,,687735
avoine et haricots,1,non,,687735
avoine et orge etc.,1,non,,687735
avoine mondée,1,non,,687735
avoine moulée,1,non,,687735
azur,776,non,,687735
azur commun,341,non,,687735
azur et bleu de Prusse,10,non,,687735
azur et cobalt,20,non,,687735
azur fin,14,non,,687735
azur gros,24,non,,687735
babassis,1,non,,687735
babouches,97,non,,687735
babouches de maroquin,2,non,,687735
bacs d'1 aime,1,non,,687735
bacs de pierre,4,non,,687735
bacs de pierre bleue,2,non,,687735
bacs de pierre d'1 aime,13,non,,687735
bacs de pierre de 4 aimes,2,non,,687735
bacs de pierre de demi d'aime,66,non,,687735
bacs de pierre de moindre classe,85,non,,687735
bacs de pierre de trois-quart d'aime,2,non,,687735
bacs de pierre en dessous d'1 aime,14,non,,687735
bacs de pierre en dessus d'1 aime,54,non,,687735
badiane,62,non,,687735
badiane ou anis étoilé de la Chine,0,oui,,687735
baffetas,10,non,,687735
baffetas blanc,21,non,,687735
baffetas bleu,30,non,,687735
baffetas des Indes,4,non,,687735
bafs ?,0,non,,687735
bagages,5,non,,687735
bagarot,1,non,,687735
bagues,5,non,,687735
bagues à pierres fausses,1,non,,687735
bagues d'argent,2,non,,687735
bagues d'or,1,non,,687735
bagues de cuivre,2,non,,687735
bagues de laiton,1,non,,687735
bagues de verre,3,non,,687735
baguettes,7,non,,687735
baguettes à chandelle,1,non,,687735
baguettes à étoffe,2,non,,687735
baguettes d'étain,2,non,,687735
baguettes de bois,1,non,,687735
baguettes de bois doré,1,non,,687735
baguettes de cuivre,3,non,,687735
baguettes de fer à fusil,53,non,,687735
baguettes de fusil,48,non,,687735
bahuts,24,non,,687735
baie de laurier,28,non,,687735
baies de buis,1,non,,687735
baies de genévrier à distiller,2,non,,687735
baies de genièvre,9,non,,687735
baignes,3,non,,687735
baignoires,2,non,,687735
baignoires d'acajou,1,non,,687735
baignoires de cuivre,4,non,,687735
baignoires de sapin,1,non,,687735
baignoires de tôle,2,non,,687735
baigots,1,non,,687735
baillarge,9,non,,687735
