simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
savon et sirop de sucre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon et sucre,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon et verdet,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon gras,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon madré,82,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon marbré,250,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon mol,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon noir,86,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savon vert,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savonnettes,378,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
savonnettes de senteur,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sayessa,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sayne,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scammonée,190,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scapa,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scaps,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
schakos,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
schakos garnis,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
schakos sans garniture,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scie ?,1,,,,oui,2163
scielle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies,113,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies ?,1,,,,non,2163
scies à moulu,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies communes,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies de fer,20,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies de long,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies fines,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scies pour la Compagnie des Indes,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scille maritime,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scinque,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
scortins d'auf,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sculptures,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux à l'eau,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux à l'eau de sapin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux cerclés de fer,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux d'eau,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de bois,71,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de bois ferré,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de cuir,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de faïence,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de fer-blanc,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de sapin,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de veau,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de verre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux de vin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seaux ferrés,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sébeste,49,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
secrétaire,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
secrétaire d'acajou,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
secrétaire de noyer,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sege de Saint-Louis,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
segrin,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seigle,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seil de bois,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
seil de grain,3,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
sel,1659,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel ammonisé,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel antarctique,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel arctique,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel blanc,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel blanc pour la pêche,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel chimique,296,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel chimique de Glauber,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel chimique de lait,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel chimique de nitre,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel chimique gemme,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel commun,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel composé,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'absinthe (alsem),3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'alsem,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'ammoniac,412,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'ammoniac brut ou en poudre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'ammoniac raffiné,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Angleterre,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'antimoine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Epsom,166,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Epsom et Glauber,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Espagne,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'étain,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Oléron,42,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Oléron de Ré,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'Olonne,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'opium,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel d'oseille,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de baryte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de boue,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Bourgneuf,160,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Bretagne,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de carabé,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de caret,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de chimie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de corne de cerf,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de fat ???,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Franche-Comté,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Glauber,59,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de gruau,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de grum,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de lait,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Lorraine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de marais,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Marennes,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de mer,20,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de mer et de salins,35,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de nitre,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de paume,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de plomb,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de potasse,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de prunelle,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Prusse,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Ré,111,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de roche,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Rocq,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Saint-Gilles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Saint-Hubert ou du Portugal,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de samoine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Saturne,249,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Saturne et autres,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de sauvene,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Seignette,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de Seignette policreste et Glauber,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de tamarin,17,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de tartaric,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de tartre,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de tartre émétique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de verre,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel de vitriol,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel des mines anglaises,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel des prises,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel des sables d'Olonne,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel dit beggere,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel du Croisic,209,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel du Poulinguen,62,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel du Sable d'Olonne,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel émétique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en boue,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en gomme,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en grabeau,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en grain,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en lest,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en pain,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel en tonne,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel gemme,39,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel Glauber,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel gris,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel gruau,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel grum,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel marin de marais,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel marin gemme,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel médicinal,48,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel médicinal divers,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel minéral,11,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel misay,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel mistry,22,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel ordinaire,32,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel oxalate aide de potasse (sel d'oseille),1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel peccain,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel policreste,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel policreste et d'Epsom,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel pour la pêche libre,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel purgatif,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel regerat,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel sublimé,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel sucsin,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel sulfates de soudes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel teint,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel végétal,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel vieux,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sel volatil,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sellerie,40,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sellerie commune,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sellerie de cuir,54,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sellerie en harnais,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles,108,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles avec leurs harnais,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles communes,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de bois,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de cuir,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de femme,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de maître,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de poste,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de sapin,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles de velours,116,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles garnies de velours,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles neuves,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selles vieilles,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sellet et télescope,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
selliers,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semé,6,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
semelles et talons,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semen contra,144,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semen dacy,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semence de Caroy,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semence de perles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semence écarlate,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semence froide,22,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semencine,13,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semenconna,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semoirs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
semoule,95,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sempiterne,24,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sendaline,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
séné,636,0,Hors Canada,,non,156575
séné en follicule,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
séné en grabeau,20,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sennes,44,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
senobre,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sequins,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sequins par Marseille,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serains,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serans,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serans à peigner,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serans à peigner le lin,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
séraphine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sercliers,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge,70,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge ???,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge 1/2 Londres,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge à doubler,87,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge à doubler et drap,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge à doubler et drapée,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge à draper,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge à fleurs,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge aune blanche,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge aune commune,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge aune commune teinte,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge aune d'Angleterre,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge aune drapée,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge aune teinte,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge blanche,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge Blicourt,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge commune,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge commune teinte,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge croisée,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge croisée de laine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge d'Angleterre,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge d'Arnetal,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge d'Aumale,30,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge d'Aumale de laine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge d'Aumale imprimée,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Blicourt,9,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge de Bruxelles,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de fil et de laine,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de fil et laine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine,775,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine ???,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine Blicourt,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine d'Aumale,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine de Blicourt,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine de Rome,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine de Rouen,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine diverse,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine drapée,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine et de soie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine étroite,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine forte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine imprimée,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine large,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine Minorque,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine noire,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine sagati,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de laine voile,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Lille,27,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Londres et autres,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Montauban,17,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Nîmes,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Nîmes aune,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge de Poitou,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Rome,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Rouen,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Saint-Maixent,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de Savoie,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge de soie,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge des prises,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge diverse,6,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge double,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge drap,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge drapée,80,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge drapée à doubler,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge drapée de laine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge drapée et de laine,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge du Languedoc,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge du pays,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge écarlate,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge écarlatine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge et prunelle de laine étroite,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge étroite,2,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge fil et laine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge forte,5,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge imprimée,134,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge imprimée aune,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge imprimée d'Aumale,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge large,3,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge Minorque,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge noire,1,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge sagati,2,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serge sergette,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge teinte,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge verte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serge voile,2,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
sergette,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sergette de laine,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sergette de Montauban,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sergette des prises,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sergette fine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
sergette Maine,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serinettes,15,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serinettes ouvrées,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seringues,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
seringues d'étain,19,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpentera virgina,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpentin à distiller,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpentine,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpentine à distiller l'eau-de-vie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpents,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpes,12,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serpes de fer,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serratille,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serrure de bois,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serrure de cuivre,8,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serrure de fer,1,,,,non,2163
serrure petite,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serrure pour canevettes,1,,,,non,2163
serrure pour fossettes,1,,,,non,2163
serrures de cuivre,6,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serrures de fer,1,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
serrures pour fossettes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
service de garde-côte,1,,,,non,2163
service de porcelaine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
service de roi,2,,Pas importé en France depuis l'Atlantique avant 1765,,oui,356012
service de tables,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
service de tables argenté et doré et d'osier,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes,127,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes à nappes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes communes,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes d'étoupes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes de lin,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes de table,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes de toile,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes de toile de ménage,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes de toile peinte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes découpées,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes et nappes,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
serviettes et nappes de toile peinte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
