simplification,nbr_occurences_simpl,surement_pas_canada,canada,details_provenance,obsolete,nbr_occurences_canada
amadou,224,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amadou et agaric amadouvier,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes,1203,0,Hors Canada,,non,156575
amandes à la praline,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes amères,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes arachis noisettes noix noyaux,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes cassée,6,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes cassées,384,0,Hors Canada,,non,156575
amandes cassées ou en coque,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes courtes,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes douces,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes en coque,299,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et figue et raisin,24,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et pelures et prunes et raisin,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et pruneaux,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et raisin sec,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et raisin sec et savon,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et savon,2,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et sucre,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes et verdet,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes fraîches,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes longues,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes mondées,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes sèches,64,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes sèches et figue sèche et ???,9,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amandes sèches et figue sèche et raisin sec,135,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amarinage,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amarine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambrain à grande barrique,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre,42,0,Hors Canada,,non,156575
ambre blanc,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre brut,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre carabé,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre carabé jaune,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre en grains,1,0,Hors Canada,,non,156575
ambre et corail,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre gris,33,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ambre jaune,76,0,Hors Canada,,non,156575
ambre moulu,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amer,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amer de laine,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amertis,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ameublement,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ameublement de chitte,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ami de toilé,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amidon,1158,0,Hors Canada,,non,156575
amidon alun,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amidon en grains,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amidon en poudre,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amidon et poudre à poudrer,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ammoniac,7,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ammoniac et sel,21,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ammonium,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amomum,14,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amomum et fèves de tonka et noix de ravensara,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amomum verum,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
amurca,4,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anabasse,121,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anabasse bajutapau,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anabasse corat nicaneas platille,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anacardes,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anacoste,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ananas,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ananas confit,2,0,Hors Canada,,non,156575
ananas et pommes de grenade,1,,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
ananas planté,1,0,Hors Canada,,non,156575
anatomie,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anatose,3,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anches de tonneaux,2,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anchois,849,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anchois câpres et olives,10,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anchois câpres etc.,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
anchois câpres olives,1,1,Pas importé en France depuis l'Atlantique avant 1765,,non,356012
