source,nb_occurence_BdCFR,nbr_occurences_source,orthographic,note,obsolete,nbr_occurences_ortho
Cheuvrons de sapin ; 29 pieds,1,1,chevrons de sapin de 29 pieds,,non,1
Cheuvrons de Sapin de 6 a 7 pieds de long,1,1,chevrons de sapin de 6 à 7 pieds de long,,non,1
Cheval,14,14,chevaux,,non,493
Cheval ; à bas prix,1,1,chevaux à bas prix,,non,3
Cheval ; à haut prix,1,1,chevaux à haut prix,,non,1
Cheval ; à moyen prix,1,1,chevaux à moyen prix,,non,5
Cheval ; de bois,1,1,chevaux de bois,,non,5
Cheval ; petit,1,1,chevaux petits,,non,1
Cheval a moyen prix,2,2,chevaux à moyen prix,,non,5
Cheval à moyen prix,1,1,chevaux à moyen prix,,non,5
Cheval de bois,1,1,chevaux de bois,,non,5
Cheval de Bois,1,1,chevaux de bois,,non,5
Cheval de bois joujou d'enfant,1,1,cheval de bois joujou d'enfant,,non,1
Cheval deBois,1,1,chevaux de bois,,non,5
Cheval jument,4,4,chevaux juments,,non,21
Cheval Jument,1,1,chevaux juments,,non,21
Chevaux,453,461,chevaux,,non,493
Chevaux ; a bas prix,1,1,chevaux à bas prix,,non,3
Chevaux ; à bas prix,1,1,chevaux à bas prix,,non,3
Chevaux ; anglais,1,1,chevaux anglais,,non,1
Chevaux ; chevaux,15,15,chevaux chevaux,,non,15
Chevaux ; d'un an,1,1,chevaux d'un an,,non,1
Chevaux ; de 3 ans,1,1,chevaux de trois ans,,non,1
Chevaux ; de bas pris,0,0,chevaux de bas prix,,oui,0
Chevaux ; de bois,1,1,chevaux de bois,,non,5
Chevaux ; de haut prix,0,0,chevaux de haut prix,,oui,0
Chevaux ; de labour,2,2,chevaux de labour,,non,2
Chevaux ; de selle,2,2,chevaux de selle,,non,2
Chevaux ; entiers,3,3,chevaux entiers,,non,3
Chevaux ; hongres,4,4,chevaux hongres,,non,4
Chevaux ; Hongres,0,0,chevaux hongres,,oui,4
Chevaux ; jumens,4,4,chevaux juments,,non,21
Chevaux ; Jumens,2,2,chevaux juments,,non,21
Chevaux ; jument,2,2,chevaux juments,,non,21
Chevaux ; juments,3,3,chevaux juments,,non,21
Chevaux ; poulain,1,1,chevaux poulains,,non,35
Chevaux ; poulains,11,11,chevaux poulains,,non,35
Chevaux ; Poulains,0,0,chevaux poulains,,oui,35
Chevaux ; poulin,1,1,chevaux poulains,,non,35
Chevaux ; poulins,1,1,chevaux poulains,,non,35
Chevaux de barbarie,1,1,chevaux de Barbarie,,non,1
Chevaux en juments,1,1,chevaux juments,,non,21
Chevaux en poulains,4,4,chevaux poulains,,non,35
Chevaux et ânes,4,4,chevaux et ânes,,non,4
Chevaux et mulets,2,2,chevaux et mulets,,non,2
Chevaux et mulets ; chevaux,1,1,chevaux et mulets chevaux,,non,1
Chevaux et mulets ; mules,1,1,chevaux et mulets mules,,non,1
Chevaux et mulets ; mulets,1,1,chevaux et mulets mulets,,non,1
Chevaux et mulets ; poulains,1,1,chevaux et mulets poulains,,non,1
Chevaux et poulains,1,1,chevaux et poulains,,non,1
Chevaux jument,1,1,chevaux juments,,non,21
Chevaux juments,3,3,chevaux juments,,non,21
Chevaux poulain,2,2,chevaux poulains,,non,35
Chevaux poulains,4,4,chevaux poulains,,non,35
Chevaux poulains de lait,1,1,chevaux poulains de lait,,non,1
Chevaux poulins,6,6,chevaux poulains,,non,35
Chevaux vieux,0,0,chevaux vieux,,oui,0
"Chevaux,juments et poulins",8,8,chevaux juments et poulains,,non,8
Cheveaux,18,18,chevaux,,non,493
Cheveaux ; poulains,1,1,chevaux poulains,,non,35
Cheveaux à moyen prix,1,1,chevaux à moyen prix,,non,5
Cheveaux d'Espagne,1,1,chevaux d'Espagne,,non,1
Cheveaux en poulains,4,4,chevaux poulains,,non,35
CheVeaux pour enfant,1,1,chevaux pour enfant,,non,1
Cheverons,1,1,chevrons,,non,75
Cheverons de sapin,0,0,chevrons de sapin,,oui,83
Cheverons de sapin de 40 pieds,1,1,chevrons de sapin de 40 pieds,,non,2
Cheveus,1,1,cheveux,,non,325
Cheveux,322,323,cheveux,,non,325
Cheveux ; communs,4,4,cheveux communs,,non,34
Cheveux à faire peruques,0,0,cheveux à faire perruques,,oui,0
Cheveux aprêtés,1,1,cheveux apprêtés,,non,1
Cheveux commun,9,9,cheveux communs,,non,34
Cheveux communs,18,18,cheveux communs,,non,34
Cheveux communx,1,1,cheveux communs,,non,34
Cheveux comuns,2,2,cheveux communs,,non,34
Cheveux et laines en perruques,0,0,cheveux et laine en perruques,,oui,0
Cheveyx,1,1,cheveux,,non,325
Cheville de Bois,5,5,cheville de bois,,non,6
Cheville de fer,1,1,cheville de fer,,non,3
Cheville de Fer,1,1,cheville de fer,,non,3
Chevilleres a tresser,0,0,chevillières à tresser,,oui,0
Chevilles,0,103,cheville,,non,103
Chevilles ; de chesne,1,1,cheville de chêne,,non,1
Chevilles de bois,2,2,chevilles de bois,,non,2
Chevilles de Bois,1,1,cheville de bois,,non,6
Chevilles de chaine,1,1,cheville de chaîne,,non,1
Chevilles de fer,1,1,cheville de fer,,non,3
Chevillieres,1,1,chevillières,,non,1
Chevillieres ; de fil,2,2,chevillières de fil,,non,2
Chevran de sapin,1,1,chevrons de sapin,,non,83
Chevre,4,4,chèvres,,non,143
Chévre passée,3,3,,,non,94525
Chevreaux,10,10,chevreaux,,non,10
Chevreaux a moyen prix,1,1,chevreaux à moyen prix,,non,1
Chevres,97,97,chèvres,,non,143
Chèvres,42,42,chèvres,,non,143
Chèvres et boucs,2,2,chèvres et boucs,,non,2
Chevreuil,0,0,chevreuil,,oui,0
Chevron,7,7,chevrons,,non,75
Chevron ; de sapin,3,3,chevrons de sapin,,non,83
Chevron de 9 pieds,1,1,chevrons de 9 pieds,,non,1
Chevron de Bois d'Acajou,1,1,chevrons de bois d'acajou,,non,6
Chevron de chesne de 18 pieds,1,1,chevrons de chêne de 18 pieds,,non,4
Chevron de sapin,12,12,chevrons de sapin,,non,83
Chevron de sapins,1,1,chevrons de sapin,,non,83
Chevrons,67,67,chevrons,,non,75
Chevrons ; de 10 pieds,1,1,chevrons de 10 pieds,,non,1
Chevrons ; de 16 pieds,1,1,chevrons de 16 pieds,,non,1
Chevrons ; de 18 pieds,1,1,chevrons de 18 pieds,,non,3
Chevrons ; de 25 pieds,1,1,chevrons de 25 pieds,,non,1
Chevrons ; de 26 pieds,1,1,chevrons de 26 pieds,,non,1
Chevrons ; de bois,3,3,chevrons de bois,,non,10
Chevrons ; de chesne,3,3,chevrons de chêne,,non,9
Chevrons ; de sapin,21,21,chevrons de sapin,,non,83
Chevrons ; de sapin ; 12 pieds,1,1,chevrons de sapin 12 pieds,,non,1
Chevrons ; de sapin ; 24 pieds,1,1,chevrons de sapin 24 pieds,,non,1
Chevrons ; de sapin ; de 10 pieds,1,1,chevrons de sapin de 10 pieds,,non,2
Chevrons ; de sapin ; de 14 pieds,1,1,chevrons de sapin de 14 pieds,,non,2
Chevrons ; de sapin ; de 24 pieds,1,1,chevrons de sapin de 24 pieds,,non,5
Chevrons de 12 pieds,1,1,chevrons de 12 pieds,,non,1
Chevrons de 18 pieds,2,2,chevrons de 18 pieds,,non,3
Chevrons de 45 a 50 pieds,1,1,chevrons de 45 à 50 pieds,,non,1
Chevrons de 8 pieds,1,1,chevrons de 8 pieds,,non,1
Chevrons de bois,7,7,chevrons de bois,,non,10
Chevrons de bois d'acajou,0,0,chevrons de bois d'acajou,,oui,6
Chevrons de Bois d'Acajou,4,4,chevrons de bois d'acajou,,non,6
Chevrons de bois d'acajou de 8 pieds,1,1,chevrons de bois d'acajou de 8 pieds,,non,1
Chevrons de bois dacajou,1,1,chevrons de bois d'acajou,,non,6
Chevrons de bois de moyer de 12 pieds de long,1,1,chevrons de bois de noyer de 12 pieds de long,,non,1
Chevrons de Cedre,1,1,chevrons de cèdre,,non,1
Chevrons de chene,1,1,chevrons de chêne,,non,9
Chevrons de Chêne,1,1,chevrons de chêne,,non,9
Chevrons de chêne de 5 a 6 pieds,1,1,chevrons de chêne de 5 à 6 pieds,,non,1
Chevrons de chene de 7 pieds,1,1,chevrons de chêne de 7 pieds,,non,1
Chevrons de chesne,4,4,chevrons de chêne,,non,9
Chevrons de chesne ; 10 pieds,1,1,chevrons de chêne de 10 pieds,,non,1
Chevrons de chesne ; 12 pieds,1,1,chevrons de chêne de 12 pieds,,non,1
Chevrons de chesne ; 15 pieds,1,1,chevrons de chêne de 15 pieds,,non,1
Chevrons de chesne ; 16 pieds,2,2,chevrons de chêne de 16 pieds,,non,2
Chevrons de chesne ; 18 pieds,3,3,chevrons de chêne de 18 pieds,,non,4
Chevrons de Chesne ; 22 pieds,1,1,chevrons de chêne de 22 pieds,,non,1
Chevrons de chesne ; 6 pieds,1,1,chevrons de chêne de 6 pieds,,non,1
Chevrons de chesne ; 8 pieds,1,1,chevrons de chêne de 8 pieds,,non,1
Chevrons de chesne de 11 pieds,1,1,chevrons de chêne de 11 pieds,,non,1
Chevrons de chesne de 12 à 18 pieds,1,1,chevrons de chêne de 12 à 18 pieds,,non,1
Chevrons de planches,1,1,chevrons de planches,,non,1
Chevrons de sapin,32,32,chevrons de sapin,,non,83
Chevrons de Sapin,11,11,chevrons de sapin,,non,83
Chevrons de sapin ; 12 pieds,2,2,chevrons de sapin de 12 pieds,,non,3
Chevrons de sapin ; 14 pieds,1,1,chevrons de sapin de 14 pieds,,non,2
Chevrons de sapin ; 15 pieds,1,1,chevrons de sapin de 15 pieds,,non,3
Chevrons de sapin ; 16 pieds,2,2,chevrons de sapin de 16 pieds,,non,4
Chevrons de sapin ; 18 pieds,1,1,chevrons de sapin de 18 pieds,,non,3
Chevrons de sapin ; 20 pieds,2,2,chevrons de sapin de 20 pieds,,non,3
Chevrons de Sapin ; 20 pieds,1,1,chevrons de sapin de 20 pieds,,non,3
Chevrons de sapin ; 24 pieds,1,1,chevrons de sapin de 24 pieds,,non,5
Chevrons de Sapin ; 24 pieds,1,1,chevrons de sapin de 24 pieds,,non,5
Chevrons de Sapin ; 30 pieds,1,1,chevrons de sapin de 30 pieds,,non,1
Chevrons de Sapin ; 36 pieds,1,1,chevrons de sapin de 36 pieds,,non,3
Chevrons de Sapin ; 40 pieds,1,1,chevrons de sapin de 40 pieds,,non,2
Chevrons de sapin ; 8 pieds,1,1,chevrons de sapin de 8 pieds,,non,2
Chevrons de sapin ; 9 pieds,1,1,chevrons de sapin de 9 pieds,,non,1
Chevrons de sapin ; de 15 a 20 pieds,1,1,chevrons de sapin de 15 à 20 pieds,,non,1
Chevrons de sapin ; de 3 a 4 pieds,1,1,chevrons de sapin de 3 à 4 pieds,,non,1
Chevrons de sapin ; de 7 a 8 pieds,1,1,chevrons de sapin de 7 à 8 pieds,,non,1
Chevrons de sapin ;16 pieds,1,1,chevrons de sapin de 16 pieds,,non,4
Chevrons de sapin ;24 pieds,1,1,chevrons de sapin de 24 pieds,,non,5
Chevrons de sapin ;36 pieds,1,1,chevrons de sapin de 36 pieds,,non,3
Chevrons de sapin de 10 pieds,1,1,chevrons de sapin de 10 pieds,,non,2
Chevrons de sapin de 14 a 15 pieds,1,1,chevrons de sapin de 14 à 15 pieds,,non,1
Chevrons de sapin de 15 pieds,1,1,chevrons de sapin de 15 pieds,,non,3
Chevrons de sapin de 15 pieds ?,1,1,chevrons de sapin de 15 pieds,,non,3
Chevrons de sapin de 16 pieds de long,1,1,chevrons de sapin de 16 pieds,,non,4
Chevrons de sapin de 18 pieds,1,1,chevrons de sapin de 18 pieds,,non,3
Chevrons de Sapin de 18 pieds,1,1,chevrons de sapin de 18 pieds,,non,3
Chevrons de sapin de 22 pieds,1,1,chevrons de sapin de 22 pieds,,non,1
Chevrons de sapin de 24 pieds de long,1,1,chevrons de sapin de 24 pieds,,non,5
Chevrons de sapin de 28 pieds de long,1,1,chevrons de sapin de 28 pieds,,non,1
Chevrons de sapin de 36 pieds de long,1,1,chevrons de sapin de 36 pieds,,non,3
Chevrons de sapin de 6 à 9 pieds,1,1,chevrons de sapin de 6 à 9 pieds,,non,1
Chevrons de sapin de 7 pieds,1,1,chevrons de sapin de 7 pieds,,non,1
Chevrons de sapin de 8 pieds de long,1,1,chevrons de sapin de 8 pieds,,non,2
Chevrons de sapin de 9 à 10 pieds,1,1,chevrons de sapin de 9 à 10 pieds,,non,1
Chewing tobacco (carots),0,14,,,non,94525
Chewing tobacco in rolls,0,119,,,non,94525
Chialar,1,1,chialar,,non,1
Chiapatonax,1,1,,,non,94525
Chicas,1,1,chillas,,non,48
Chicolin,1,1,chicotin,,non,5
"Chicorée (racine de) ; sèche, non torréfiée",2,2,chicorée (racine de) sèche on torréfiée,,non,2
Chicorée moulue,46,46,chicorée moulue,,non,46
Chicorée moulue ou faux café,1,1,chicorée moulue ou faux café,,non,1
"Chicorée moulue ou faux café, sans mélange",0,0,chicorée moulue ou faux café sans mélange,,oui,0
Chicotin,4,4,chicotin,,non,5
Chics,1,1,chiques,,non,4
Chiena,0,0,chiens,,oui,41
Chiendent,1,1,chiendent,,non,1
Chiens,41,41,chiens,,non,41
Chiens courants de chasse,0,0,chiens courants de chasse,,oui,0
Chiens de chasse,4,4,chiens de chasse,,non,4
Chiffons,17,17,chiffons,,non,17
Chilas,41,41,chillas,,non,48
Children's hats,0,6,,,non,94525
Chiles palma,1,1,chillas palma,,non,1
Chillas,1,1,chillas,,non,48
Chille,4,4,chillas,,non,48
Chima ; calin,1,1,chima calin,,non,1
Chimney soot,0,64,,,non,94525
Chimneys etc,0,3,,,non,94525
China-root,0,2,,,non,94525
Chine,1,1,chine,,non,1
Chinois,1,1,chinois,,non,3
Chinoix,2,2,chinois,,non,3
Chintz,0,143,,,non,94525
Chique,1,1,chiques,,non,4
Chiques,2,2,chiques,,non,4
Chiquette des prises,0,0,chiquette des prises,,oui,0
Chirederis,0,0,chirederis,,oui,0
Chise de fourneaux,0,19,chise de fourneaux,,non,19
Chite,3,3,chitte,,non,70
Chite patena,1,1,chitte patenas,,non,1
Chites,4,4,chitte,,non,70
Chites angloise,1,1,chitte anglaise,,non,1
Chites Keabadis,0,0,chitte Keabadis,x,oui,0
Chitspamabage,1,1,chitte d'Amedabad,,non,1
Chitte,50,50,chitte,,non,70
Chitte ; étoffe,1,1,chitte étoffe,,non,1
Chitte en tapis,1,1,chitte en tapis,,non,1
Chitte etoffe des Indes,1,1,chitte étoffe des Indes,,non,1
Chitte rouge,1,1,chitte rouge,,non,1
Chittes,13,13,chitte,,non,70
Chivelles,1,1,chivelles,,non,1
Chnavre ; cru,1,1,chanvre cru,,non,873
Chnavre ; peigné,1,1,chanvre peigné,,non,509
Chocalat,2,2,chocolat,,non,1018
Chocalate,0,0,chocolat,,oui,1018
Chocoat,1,1,chocolat,,non,1018
Chocola,1,1,chocolat,,non,1018
Chocolas,3,3,chocolat,,non,1018
Chocolat,999,1003,chocolat,,non,1018
Chocolat en patte,1,1,chocolat en pâte,,non,1
Chocolat et cacao simplement broyé,4,4,chocolat et cacao simplement broyé,,non,4
Chocolat et sorbet,0,0,chocolat et sorbet,,oui,0
Chocolate,0,137,,,non,94525
Chocolats,4,4,chocolat,,non,1018
Choises garnies,0,0,chaises garnies,,oui,4
Cholas,1,1,cholas,,non,1
Choquelas,3,3,chuquelas,,non,41
Chotton,1,1,coton,,non,833
Chou fleurs,1,1,choux-fleurs,,non,12
Chouclas,3,3,chuquelas,,non,41
Chourales,1,1,chourales,,non,1
Choux,21,21,choux,,non,21
Choux ; à planter,2,2,choux à planter,,non,6
Choux ; fleurs,1,1,choux-fleurs,,non,12
Choux a planter,1,1,choux à planter,,non,6
Choux à planter,3,3,choux à planter,,non,6
Choux cabus,1,1,choux cabus,,non,1
Choux confit,1,1,choux confits,,non,3
Choux confits,2,2,choux confits,,non,3
Choux de fer,1,1,choux de fer,,non,1
Choux fleurs,10,10,choux-fleurs,,non,12
Choux marinés,2,2,choux marinés,,non,2
Choux salés,0,0,choux salés,,oui,0
Choux-fleurs,0,0,choux-fleurs,,oui,12
"Choux-fleurs, cabus et artichoux",0,0,choux-fleurs cabus et artichauts,,oui,0
Choux-fleurs. cabus et artichoux,0,0,choux-fleurs cabus et artichauts,,oui,0
Chpeaux mi castor,1,1,chapeaux mi castor,,non,413
Chrabon ; de terre,4,4,charbon de terre,,non,1585
Christ ; d'yvoire,1,1,christ d'ivoire,,non,3
Christal,1,1,cristal,,non,155
Christal ; taillé,1,1,cristal taillé,,non,61
Christs ; d'yvoire,1,1,christ d'ivoire,,non,3
Christs ; d'yvoire ; montés sur velours,1,1,christ d'ivoire monté sur velours,,non,1
Chrits ; d'yvoire,1,1,christ d'ivoire,,non,3
Chromate de plomb,2,2,chromate de plomb,,non,2
Chromate de potasse,1,1,chromate de potasse,,non,1
Chrômates de plomb (jaune de chrôme),0,0,chromate de plomb (jaune de chrome),,oui,0
Chruches de grez,1,1,cruches de grès,,non,17
Chuclas,1,1,,,non,94525
Chuilas,1,1,chillas,,non,48
Chuivre en chaudron,1,1,cuivre en chaudron,,non,137
Chuquelas,35,35,chuquelas,,non,41
Church bench tapistry,0,60,,,non,94525
Church bench tapistry per ell,0,10,,,non,94525
Church clocks,0,3,,,non,94525
Church ornaments,0,94,,,non,94525
Cider,0,106,,,non,94525
Cidre,331,385,cidre,,non,389
Cidre et bière,13,13,cidre et bière,,non,13
Cidre jaune,0,0,cidre jaune,,oui,0
"Cidre, poiré et verjus",4,4,cidre poiré et verjus,,non,4
Cidres,4,4,cidre,,non,389
Ciere vierge,1,1,cire vierge,,non,6
Cierge ; de cire ; blanche,1,1,cierges de cire blanche,,non,2
Cierge et bougie,1,1,cierges et bougie,,non,14
Cierges,6,6,cierges,,non,6
Cierges bougies,1,1,cierges bougie,,non,1
Cierges de cire blanche,1,1,cierges de cire blanche,,non,2
Cierges et bougie,1,1,cierges et bougie,,non,14
Cierges et bougies,12,12,cierges et bougie,,non,14
Cierges et flambeaux,1,1,cierges et flambeaux,,non,1
Cigare,1,1,cigares,,non,1
Cignes,0,0,cygnes,,oui,0
Cignes ; en vie,1,1,cygnes en vie,,non,1
Cigognes à mulet,0,0,cigognes à mulet,,oui,0
Cikous,1,1,cikous,,non,1
Cilindre,2,2,cylindre,,non,4
Cilindres,1,1,cylindre,,non,4
Cime,1,1,cime,,non,1
Cimens,1,1,ciment,,non,28
Ciment,25,26,ciment,,non,28
Ciment ou tiras,0,0,ciment ou tiras,,oui,0
Cimente,1,1,ciment,,non,28
Cin d'Espagne,1,1,vin d'Espagne,,non,557
Cinabre,175,175,cinabre,,non,194
Cinabre ; broyé,4,4,cinabre broyé,,non,26
Cinabre broyé,13,13,cinabre broyé,,non,26
Cinabre Broyé,9,9,cinabre broyé,,non,26
Cinabre en pierre,6,6,cinabre en pierres,,non,6
Cinabre en roche,1,1,cinabre en roche,,non,1
Cinabre fin,1,1,cinabre fin,,non,1
Cinabre naturel,1,1,cinabre naturel,,non,1
Cinabrium,16,16,cinabre,,non,194
Cinabrun,1,1,cinabre,,non,194
Cinamomum,4,4,cannelle,,non,1203
Cinatrium,1,1,cinabre,,non,194
Cinetrium,1,1,cinabre,,non,194
Cinnamon,0,120,,,non,94525
Cintures de laine,1,1,ceintures de laine,,non,34
Cinturons,0,0,ceinturons,,oui,23
Ciradille,0,0,ciradille,,oui,0
Cirage ; pour chaussures,1,1,cirage pour chaussures,,non,1
Ciraka,1,1,cirsaca,,non,61
Circaca,8,8,cirsaca,,non,61
Circacas,4,4,cirsaca,,non,61
Cirçacas,1,1,cirsaca,,non,61
Circahas,1,1,cirsaca,,non,61
Circaka,5,5,cirsaca,,non,61
Cirçaka,5,5,cirsaca,,non,61
Circakas,1,1,cirsaca,,non,61
Circalas,1,1,cirsaca,,non,61
Circaras,1,1,cirsaca,,non,61
Circks,0,0,circks,x,oui,0
Cire,21,438,cire,,non,452
Cire ; a cacheter,7,7,cire à cacheter,,non,109
Cire ; A cacheter,4,4,cire à cacheter,,non,109
Cire ; à cacheter,11,11,cire à cacheter,,non,109
Cire ; à cachetter,45,45,cire à cacheter,,non,109
Cire ; à Cachetter,1,1,cire à cacheter,,non,109
Cire ; à cachettes,3,3,cire à cacheter,,non,109
Cire ; à cochetter,2,2,cire à cacheter,,non,109
Cire ; blanche,305,305,cire blanche,,non,578
Cire ; Blanche,20,20,cire blanche,,non,578
Cire ; blanche ; ouvré,5,5,cire blanche ouvrée,,non,64
Cire ; blanche ; ouvrée,1,1,cire blanche ouvrée,,non,64
Cire ; Blanches,3,3,cire blanche,,non,578
Cire ; brune non clarifiée du Sénégal,1,1,cire brune non clarifiée du Sénégal,,non,1
"Cire ; brune, non clarifiée",0,0,cire brune non clarifiée,,oui,0
Cire ; cierges,0,0,cire cierges,,oui,0
Cire ; Crasse,2,2,cire crasse,,non,2
Cire ; crasse (de),1,1,cire crasse (de),,non,1
Cire ; d'Espagne,30,30,cire d'Espagne,,non,83
Cire ; de bougie,3,3,cire de bougie,,non,4
Cire ; diverse,2,2,cire diverse,,non,13
Cire ; Diverses,7,7,cire diverse,,non,13
Cire ; en bougie,17,17,cire en bougie,,non,141
Cire ; En bougie,26,26,cire en bougie,,non,141
Cire ; en bougie ; etc.,1,1,cire en bougie etc.,,non,1
Cire ; en bougies,7,7,cire en bougie,,non,141
Cire ; en crasse,0,0,cire en crasse,,oui,2
Cire ; En crasse,1,1,cire en crasse,,non,2
Cire ; en flambeaux,0,0,cire en flambeaux,,oui,0
Cire ; en grabeau,18,18,cire en grabeau,,non,18
Cire ; en grain,12,12,cire en grains,,non,19
Cire ; en grains,1,1,cire en grains,,non,19
Cire ; En grains,1,1,cire en grains,,non,19
Cire ; en pain,2,2,cire en pain,,non,5
Cire ; jaune,569,569,cire jaune,,non,1391
Cire ; Jaune,40,40,cire jaune,,non,1391
Cire ; jaune ; du levant,1,1,cire jaune du Levant,,non,1
Cire ; jeaune,28,28,cire jaune,,non,1391
Cire ; jeaunne,1,1,cire jaune,,non,1391
Cire ; non ouvrée ; blanche,2,2,cire non ouvrée blanche,,non,4
Cire ; non ouvrée ; jaune,2,2,cire non ouvrée jaune,,non,2
Cire ; non ouvrée ; jaune ; des entrepôts,0,0,cire non ouvrée jaune des entrepôts,,oui,0
Cire ; verte,6,6,cire verte,,non,9
Cire ;d'Espagne,2,2,cire d'Espagne,,non,83
Cire ??,1,1,cire ???,,non,1
Cire a cacheter,17,17,cire à cacheter,,non,109
Cire à cacheter,11,11,cire à cacheter,,non,109
Cire a cachetter,6,6,cire à cacheter,,non,109
Cire à cachettes,1,1,cire à cacheter,,non,109
Cire alisari,0,1,cire alizari,,non,1
Cire blanche,247,247,cire blanche,,non,578
Cire Blanche,1,1,cire blanche,,non,578
Cire blanche en bougie,2,2,cire blanche en bougie,,non,3
Cire blanche en bougies,0,0,cire blanche en bougie,,oui,3
Cire blanche en feuilles,0,0,cire blanche en feuilles,,oui,0
Cire blanche en flambeaux,0,0,cire blanche en flambeaux,,oui,0
Cire blanche en grain,3,3,cire blanche en grains,,non,3
Cire blanche en pain,2,2,cire blanche en pain,,non,2
Cire blanche et jaune,27,27,cire blanche et jaune,,non,213
Cire blanche non ouvrée,1,1,cire blanche non ouvrée,,non,1
Cire blanche ouvré,13,13,cire blanche ouvrée,,non,64
Cire blanche ouvrée,45,45,cire blanche ouvrée,,non,64
Cire blanches,1,1,cire blanche,,non,578
Cire blanches en graines,1,1,cire blanches en graine,,non,1
Cire brute,1,1,cire brute,,non,1
Cire d' Espagne,1,1,cire d'Espagne,,non,83
Cire d'Espagne,49,49,cire d'Espagne,,non,83
Cire d'Espagne à cacheter,0,0,cire d'Espagne à cacheter,,oui,0
Cire de bougie,1,1,cire de bougie,,non,4
Cire de bougie blanche,1,1,cire de bougie blanche,,non,1
Cire de bougie jaune,1,1,cire de bougie jaune,,non,1
Cire en blanche,1,1,cire en branche,,non,2
Cire en bougie,82,82,cire en bougie,,non,141
Cire en bougie blanche,6,6,cire en bougie blanche,,non,6
Cire en bougie en cierges,5,5,cire en bougie en cierges,,non,5
Cire en bougie et cierge,4,4,cire en bougie et cierges,,non,4
Cire en bougie jaune,2,2,cire en bougie jaune,,non,2
Cire en bougies,4,4,cire en bougie,,non,141
Cire en branche,1,1,cire en branche,,non,2
Cire en crasse,1,1,cire en crasse,,non,2
Cire en figures,0,0,cire en figures,,oui,0
Cire en grain,4,4,cire en grains,,non,19
Cire en grains,1,1,cire en grains,,non,19
Cire en pain,3,3,cire en pain,,non,5
Cire et chandelles de cire,0,2,cire et chandelle de cire,,non,2
Cire jaune,636,636,cire jaune,,non,1391
Cire Jaune,59,59,cire jaune,,non,1391
Cire jaune brute,14,14,cire jaune brute,,non,14
Cire jaune en bougies et chandelles,0,0,cire jaune en bougie et chandelle,,oui,0
Cire jaune en cierge et flambeaux,0,0,cire jaune en cierges et flambeaux,,oui,0
Cire jaune en pain,2,2,cire jaune en pain,,non,2
Cire jaune et blanche,106,106,cire jaune et blanche,,non,244
Cire jaune non ouvrée,0,0,cire jaune non ouvrée,,oui,0
Cire jaune ouvrée,1,1,cire jaune ouvrée,,non,1
Cire jaune;,1,1,cire jaune,,non,1391
Cire jaune; En bougie,1,1,cire jaune en bougie,,non,1
Cire jeanne,1,1,cire jaune,,non,1391
Cire jeaune,28,28,cire jaune,,non,1391
Cire jEaune,1,1,cire jaune,,non,1391
Cire Jeaune,3,3,cire jaune,,non,1391
CIre Jeaune,1,1,cire jaune,,non,1391
Cire jeaunne,1,1,cire jaune,,non,1391
Cire moitié suif et moitié cire,0,0,cire moitié suif et moitié cire,,oui,0
Cire non ouvrée ; blanche,2,2,cire non ouvrée blanche,,non,4
Cire non ouvrée ; brune ou jaune,2,2,cire non ouvrée brune ou jaune,,non,2
Cire non ouvrée ; crasse de cire,1,1,cire non ouvrée crasse de cire,,non,1
Cire ouvrée,2,2,cire ouvrée,,non,2
Cire ouvrée ; blanche,2,2,cire ouvrée blanche,,non,2
Cire ouvrée ; jaune,2,2,cire ouvrée jaune,,non,2
Cire rouge en flambeaux,0,0,cire rouge en flambeaux,,oui,0
Cire verte,0,0,cire verte,,oui,9
Cire Verte,3,3,cire verte,,non,9
Cire vierge,5,5,cire vierge,,non,6
Cire; blanche,1,1,cire blanche,,non,578
Cire; D'Espagne,1,1,cire d'Espagne,,non,83
Cire; En bougie,1,1,cire en bougie,,non,141
Cire; En graisse,1,1,cire en graisse,,non,1
Cire; Jaune,3,3,cire jaune,,non,1391
Cirebruins ????,1,1,cire brune ???,x,non,1
Cires,10,14,cire,,non,452
Cires ; En bougie,3,3,cire en bougie,,non,141
Cires ; Grasse,1,1,cire grasse,,non,1
Cires ; Jaune,16,16,cire jaune,,non,1391
Cires à cacheter,1,1,cire à cacheter,,non,109
Cires blanche et jaune,181,181,cire blanche et jaune,,non,213
Cires blanche et jaune non ouvrées,23,23,cire blanche et jaune non ouvrée,,non,23
Cires blanches en bougie,1,1,cire blanche en bougie,,non,3
Cires blanches et jaunes,5,5,cire blanche et jaune,,non,213
Cires diverses,3,3,cire diverse,,non,13
Cires en bougie,1,1,cire en bougie,,non,141
Cires jaune et blanche,138,138,cire jaune et blanche,,non,244
Cires jaunes,1,1,cire jaune,,non,1391
Cires; Diverses,1,1,cire diverse,,non,13
Cires; Jaune,2,2,cire jaune,,non,1391
Cirkaca,2,2,cirsaca,,non,61
Cirkaka,1,1,cirsaca,,non,61
Cirsaca,23,23,cirsaca,,non,61
Cirsacas,1,1,cirsaca,,non,61
Cirthaca,1,1,cirsaca,,non,61
Cirtrons et oranges,1,1,citrons et orange,,non,3
Ciseaux,2,2,ciseaux,,non,19
Ciseaux à élaguer,2,2,ciseaux à élaguer,,non,2
Citrate de chaux,1,1,citrate de chaux,,non,1
Citron,34,35,citrons,,non,937
