goods_simpl_classification,nbr_occurences_simpl,coton_classification,obsolete,nbr_occurences_coton
bâtons à pinceaux,1,not raw cotton,non,549385
bâtons d'éventails d'ivoire,1,not raw cotton,non,549385
bâtons de bois,2,not raw cotton,non,549385
bâtons de bois peints,1,not raw cotton,non,549385
bâtons de bois vernis,1,not raw cotton,non,549385
bâtons de brosses à goudronner,1,not raw cotton,non,549385
bâtons de cap,1,not raw cotton,non,549385
bâtons de colliers,3,not raw cotton,non,549385
bâtons de fer,2,not raw cotton,non,549385
bâtons de gabares,1,not raw cotton,non,549385
bâtons de gabares de 14 à 16 pieds,1,not raw cotton,non,549385
bâtons de gaffe,1,not raw cotton,non,549385
bâtons de pompes,1,not raw cotton,non,549385
bâtons de saloups,1,not raw cotton,non,549385
bâtons de sapin,36,not raw cotton,non,549385
bâtons de sapin de 4 pieds de long,2,not raw cotton,non,549385
bâtons de sapin peint,1,,non,4510
bâtons peints,2,not raw cotton,non,549385
bâtons vernis,22,not raw cotton,non,549385
bâts,2,not raw cotton,non,549385
bâts à matelas,1,not raw cotton,non,549385
bâts d'ânes,3,not raw cotton,non,549385
bats de bois,0,,oui,4510
bâts de bois,1,,non,4510
bâts de chevaux,5,not raw cotton,non,549385
bâts de mulets,7,not raw cotton,non,549385
batterie d'airain,5,not raw cotton,non,549385
batterie de cuisine,5,not raw cotton,non,549385
batterie de cuisine en cuivre,5,,non,4510
batterie de cuivre,3,not raw cotton,non,549385
batterie de cuivre à cuisine,0,not raw cotton,oui,549385
batterie de cuivre de fuine,0,not raw cotton,oui,549385
batterie de fer,12,not raw cotton,non,549385
batterie de fer à cuisine,2,not raw cotton,non,549385
batterie de fer coulé,2,not raw cotton,non,549385
batterie de fer-blanc,1,not raw cotton,non,549385
batterie en plaque,1,not raw cotton,non,549385
battes à fer,1,not raw cotton,non,549385
battoirs,1,not raw cotton,non,549385
battoirs à lessive,1,not raw cotton,non,549385
baudriers,30,not raw cotton,non,549385
baudriers de cuir,3,not raw cotton,non,549385
baule,1,not raw cotton,non,549385
baumanes,1,not raw cotton,non,549385
baume,143,not raw cotton,non,549385
baume de benjoin,44,not raw cotton,non,549385
baume de Copahu,123,not raw cotton,non,549385
baume de Copahu et du Pérou,3,not raw cotton,non,549385
baume de gaïac,1,not raw cotton,non,549385
baume de l'Amérique,1,not raw cotton,non,549385
baume de la Mecque,14,not raw cotton,non,549385
baume de storax liquide et en pain,2,not raw cotton,non,549385
baume de storax naturel,3,not raw cotton,non,549385
baume de storax préparé,2,not raw cotton,non,549385
baume de storax préparé en grains,1,not raw cotton,non,549385
baume de storax préparé liquide,29,not raw cotton,non,549385
baume de Sucre,2,not raw cotton,non,549385
baume de Tolu,2,not raw cotton,non,549385
baume de vie,14,not raw cotton,non,549385
baume du Canada,1,not raw cotton,non,549385
baume du Levant,1,not raw cotton,non,549385
baume du Pérou,86,not raw cotton,non,549385
baume et élixir,1,not raw cotton,non,549385
baume et sucs d'espèces particulières,2,not raw cotton,non,549385
baume laque,1,not raw cotton,non,549385
baume noir,1,not raw cotton,non,549385
baume rouge,1,not raw cotton,non,549385
baume tranquille,1,,non,4510
bavette,1,not raw cotton,non,549385
bavoirs,1,not raw cotton,non,549385
bayette,140,not raw cotton,non,549385
bayette blanche,1,not raw cotton,non,549385
bayette blanche aune,1,not raw cotton,non,549385
bayette bleue,7,not raw cotton,non,549385
bayette bleue et rouge,1,not raw cotton,non,549385
bayette de Beauvais,1,not raw cotton,non,549385
bayette de prise,6,not raw cotton,non,549385
bayette des Indes,1,not raw cotton,non,549385
bayette grosse,1,not raw cotton,non,549385
bayette teinte,1,not raw cotton,non,549385
bayette teinte aune,1,not raw cotton,non,549385
bayoulen,1,not raw cotton,non,549385
bazzitte,1,not raw cotton,non,549385
bdellium,21,not raw cotton,non,549385
beau vert broyé,2,not raw cotton,non,549385
beaudeaux,1,not raw cotton,non,549385
beaupré,1,not raw cotton,non,549385
bécasses,9,not raw cotton,non,549385
bécassines,2,not raw cotton,non,549385
becfigues marinés,1,not raw cotton,non,549385
bêches,1,not raw cotton,non,549385
bêches de fer,1,not raw cotton,non,549385
beige,1,not raw cotton,non,549385
béliers brebis et moutons communs,7,not raw cotton,non,549385
béliers mérinos,2,not raw cotton,non,549385
béliers mérinos et métis,7,not raw cotton,non,549385
belinge,1,not raw cotton,non,549385
bem ???,1,not raw cotton,non,549385
bem de Vimoutiers,1,not raw cotton,non,549385
bem pour voile,3,not raw cotton,non,549385
benblanc,1,not raw cotton,non,549385
benfletins,1,not raw cotton,non,549385
Bengale,1,,non,4510
bénitier de marbre,3,not raw cotton,non,549385
bénitier de marbre ouvré,1,not raw cotton,non,549385
bénitier de marbre pesant 250 livres,1,not raw cotton,non,549385
benjoin,151,not raw cotton,non,549385
benjoin du Levant,1,not raw cotton,non,549385
bennes,1,not raw cotton,non,549385
bennes vides,1,not raw cotton,non,549385
berce de fer et lit de fer,1,not raw cotton,non,549385
berceau d'enfant,2,not raw cotton,non,549385
berceau d'osier,1,not raw cotton,non,549385
bergamote,2,not raw cotton,non,549385
bergamotes,111,not raw cotton,non,549385
bergamotes fraîches,1,not raw cotton,non,549385
bergamotes ouvrées,0,not raw cotton,oui,549385
Bergopzoom,5,not raw cotton,non,549385
Bergopzoom aune,1,not raw cotton,non,549385
berline,6,not raw cotton,non,549385
berline et harnais,3,not raw cotton,non,549385
berline garnie de velours,1,not raw cotton,non,549385
berline garnie de velours et crêpine d'or et harnais riche,1,not raw cotton,non,549385
berline vieille,1,not raw cotton,non,549385
bernes,12,not raw cotton,non,549385
bernes de laine,4,not raw cotton,non,549385
bernes ou tapsel,1,not raw cotton,non,549385
bernic,1,,non,4510
bestiaux,259,not raw cotton,non,549385
bestiaux et bêtes de somme,2,not raw cotton,non,549385
bêtes de somme,151,not raw cotton,non,549385
bêtes de somme et bœuf,1,not raw cotton,non,549385
bêtes de somme et poulains,1,not raw cotton,non,549385
bêtes principalement en mules et mulets,11,not raw cotton,non,549385
bétilles,30,not raw cotton,non,549385
bétilles des Indes,2,not raw cotton,non,549385
betteraves,2,not raw cotton,non,549385
beunne,1,not raw cotton,non,549385
beurre,2333,not raw cotton,non,549385
beurre commun,22,not raw cotton,non,549385
beurre d'Angleterre,1,not raw cotton,non,549385
beurre d'Irlande,21,not raw cotton,non,549385
beurre d'Irlande non comestible,1,not raw cotton,non,549385
beurre d'Irlande salé,10,not raw cotton,non,549385
beurre de Bretagne,18,not raw cotton,non,549385
beurre de cacao,4,not raw cotton,non,549385
beurre de Dixmude,1,not raw cotton,non,549385
beurre du pays,10,not raw cotton,non,549385
beurre du pays salé,8,not raw cotton,non,549385
beurre et fromage,6,not raw cotton,non,549385
beurre fondu,2,not raw cotton,non,549385
beurre frais,18,not raw cotton,non,549385
beurre frais ou fondu,7,not raw cotton,non,549385
beurre frais ou fondu ou salé,2,not raw cotton,non,549385
beurre pour Genève par transit,1,not raw cotton,non,549385
beurre pour l'entrepôt des Îles,5,not raw cotton,non,549385
beurre salé,227,not raw cotton,non,549385
beurreterie en bar de fil blanc,1,not raw cotton,non,549385
beurrière,63,not raw cotton,non,549385
bezoar,5,not raw cotton,non,549385
bezoar du Ponent,1,not raw cotton,non,549385
bibelots et mercerie,1,not raw cotton,non,549385
bibliothèque,3,not raw cotton,non,549385
bidets,2,not raw cotton,non,549385
bidets de faïence,1,not raw cotton,non,549385
bidets de faïence avec leurs pieds de bois,1,not raw cotton,non,549385
bidets de faïence et leurs pièces,1,not raw cotton,non,549385
bidons,1,,non,4510
bière,1415,not raw cotton,non,549385
bière aigre,1,not raw cotton,non,549385
bière blanche,1,not raw cotton,non,549385
bière cidre et vinaigre,1,not raw cotton,non,549385
bière commune du pays,1,not raw cotton,non,549385
bière d'Angleterre,2,not raw cotton,non,549385
bière d'Hoegaarden,1,not raw cotton,non,549385
bière de Hollande,7,not raw cotton,non,549385
bière de Hollande et d'Angleterre,1,not raw cotton,non,549385
bière de Liège,1,not raw cotton,non,549385
bière de Lübeck,3,not raw cotton,non,549385
bière de Lübeck pour médecine,1,not raw cotton,non,549385
bière dite juypenbier,1,not raw cotton,non,549385
bière dite lumay,1,not raw cotton,non,549385
bière en barrique,1,not raw cotton,non,549385
bière en bouteille,3,not raw cotton,non,549385
bière en muid,4,not raw cotton,non,549385
bière et cidre,100,not raw cotton,non,549385
bière et cidre et vinaigre,9,not raw cotton,non,549385
bière forte,1,not raw cotton,non,549385
bière médicinale de Lübeck,1,not raw cotton,non,549385
bière vétérinaire,1,not raw cotton,non,549385
bigarade,1,not raw cotton,non,549385
bigarade fraîche,1,not raw cotton,non,549385
bignes,2,not raw cotton,non,549385
bigons,14,not raw cotton,non,549385
bigous,1,not raw cotton,non,549385
bigues,6,not raw cotton,non,549385
bijouterie,866,not raw cotton,non,549385
bijouterie d'argent,6,not raw cotton,non,549385
bijouterie d'argent autre qu'ornée en perles fines ou pierres,2,not raw cotton,non,549385
bijouterie d'argent ornée en perles fines ou pierres,2,not raw cotton,non,549385
bijouterie d'or,7,not raw cotton,non,549385
bijouterie d'or autre qu'ornée en perles fines ou pierres,2,not raw cotton,non,549385
bijouterie d'or ornée en perles fines ou pierres,2,not raw cotton,non,549385
bijouterie en argent,1,not raw cotton,non,549385
bijouterie et mercerie,1,not raw cotton,non,549385
bijouterie et perles fines,17,not raw cotton,non,549385
bijouterie fine,4,not raw cotton,non,549385
bijouterie fine fausse en pierres faite métal,2,not raw cotton,non,549385
bijouterie pour montres d'argent,1,not raw cotton,non,549385
bijoux,1,not raw cotton,non,549385
bijoux d'or,1,not raw cotton,non,549385
bilardeaux,3,not raw cotton,non,549385
billard,14,not raw cotton,non,549385
billard vieux,1,not raw cotton,non,549385
billes d'ivoire,8,not raw cotton,non,549385
billes de billard,1,,non,4510
billes de bois,4,not raw cotton,non,549385
billes de bois de gaïac,1,not raw cotton,non,549385
billes de bois et de marbre,1,not raw cotton,non,549385
billes de bois marbré,4,not raw cotton,non,549385
billes de bois pour meuble,1,not raw cotton,non,549385
billets de parchemin,7,not raw cotton,non,549385
billons,6,not raw cotton,non,549385
billons de bois,2,not raw cotton,non,549385
billons de bois blanc,3,not raw cotton,non,549385
billons de bois petits,1,not raw cotton,non,549385
billons de pin,1,not raw cotton,non,549385
billons de sapin,4,not raw cotton,non,549385
billons et bois blanc,1,not raw cotton,non,549385
billots,1,not raw cotton,non,549385
billots de chêne pour merrain,1,not raw cotton,non,549385
billots de pin,1,not raw cotton,non,549385
billots de sapin,13,not raw cotton,non,549385
billots de sapin de 20 pieds,1,not raw cotton,non,549385
billots de sapin de 30 à 35 pieds,1,not raw cotton,non,549385
billots pour merrain,1,not raw cotton,non,549385
bimbeloterie,91,not raw cotton,non,549385
binages à pousser,1,not raw cotton,non,549385
birampots,4,not raw cotton,non,549385
birampots bleu,1,not raw cotton,non,549385
birampots des Indes,2,not raw cotton,non,549385
biscuit,261,not raw cotton,non,549385
biscuit amer,2,not raw cotton,non,549385
biscuit anisé,1,,non,4510
biscuit de mer,172,not raw cotton,non,549385
biscuit de mer et pain,7,not raw cotton,non,549385
biscuit de mer et pâte d'Italie,1,not raw cotton,non,549385
biscuit de munition,1,not raw cotton,non,549385
biscuit en pain,1,not raw cotton,non,549385
biscuit et farine et gruau et pâte,14,not raw cotton,non,549385
biscuit sucré,7,not raw cotton,non,549385
biseaux,1,not raw cotton,non,549385
bismuth,5,not raw cotton,non,549385
bitume,2,not raw cotton,non,549385
bitume de Judée,6,not raw cotton,non,549385
bitume et ambre jaune,2,not raw cotton,non,549385
bitume et bitume de Judée,2,not raw cotton,non,549385
bitume et houille brute,2,not raw cotton,non,549385
bitume et houille coak,1,not raw cotton,non,549385
blagues,3,not raw cotton,non,549385
blagues à tabac,1,not raw cotton,non,549385
blagues de cuir,1,not raw cotton,non,549385
blallst,1,not raw cotton,non,549385
blanc,3,not raw cotton,non,549385
blanc d'écaille,2,not raw cotton,non,549385
blanc d'Espagne,74,not raw cotton,non,549385
blanc d'Espagne craie blanche et moulue,2,not raw cotton,non,549385
blanc de ???,2,not raw cotton,non,549385
blanc de baleine,129,not raw cotton,non,549385
blanc de céruse,30,not raw cotton,non,549385
blanc de céruse pour l'entrepôt de la Compagnie des Indes,1,not raw cotton,non,549385
blanc de ferax,9,not raw cotton,non,549385
blanc de ferux,5,not raw cotton,non,549385
blanc de Herps,3,not raw cotton,non,549385
blanc de Hollande,1,not raw cotton,non,549385
blanc de Marne,1,not raw cotton,non,549385
blanc de Naples,1,not raw cotton,non,549385
blanc de plomb,51,not raw cotton,non,549385
blanc de plomb et térébenthine,1,not raw cotton,non,549385
blanc de Troyes,23,not raw cotton,non,549385
blanc de Troyes et craie,2,not raw cotton,non,549385
blanc en chevron,1,not raw cotton,non,549385
blanc simple,2,not raw cotton,non,549385
blanchette,1,not raw cotton,non,549385
blanchissoire,2,not raw cotton,non,549385
blanquette,3,not raw cotton,non,549385
blé,16,not raw cotton,non,549385
blé avarié,1,not raw cotton,non,549385
blé en gerbe,1,not raw cotton,non,549385
blé et autres grains,17,not raw cotton,non,549385
bleu,18,not raw cotton,non,549385
bleu azure,1,not raw cotton,non,549385
bleu calaminé,1,not raw cotton,non,549385
bleu commun,7,not raw cotton,non,549385
bleu d'Allemagne,1,not raw cotton,non,549385
bleu d'azur,1,not raw cotton,non,549385
bleu de Berlin,1,not raw cotton,non,549385
bleu de Berlin ou de Prusse,1,not raw cotton,non,549385
bleu de paille,1,not raw cotton,non,549385
bleu de Pierre,1,not raw cotton,non,549385
bleu de Prusse,168,not raw cotton,non,549385
bleu de Prusse boules et indique,2,not raw cotton,non,549385
bleu de Prusse et graine jaune,2,not raw cotton,non,549385
bleu de Prusse et lazulite,15,not raw cotton,non,549385
bleu de Saxe,1,not raw cotton,non,549385
bleu de smalt,1,not raw cotton,non,549385
bleu en encre,1,not raw cotton,non,549385
bleu en pierres,5,not raw cotton,non,549385
bleu et vert minéral ou de montagne,1,not raw cotton,non,549385
bleu fin,2,not raw cotton,non,549385
bleu foncé,1,not raw cotton,non,549385
bleu ordinaire,1,not raw cotton,non,549385
bleu ou tournesol,1,not raw cotton,non,549385
Blicourt écarlate,1,not raw cotton,non,549385
bloc de 30 pieds,1,not raw cotton,non,549385
bloc de bois de l'Amérique,1,not raw cotton,non,549385
blocs,4,not raw cotton,non,549385
blocs de cuivre jaune,1,not raw cotton,non,549385
blonde,4,not raw cotton,non,549385
blonde d'argent,2,not raw cotton,non,549385
blonde d'or,1,not raw cotton,non,549385
blonde de fil,1,not raw cotton,non,549385
blonde de soie,127,not raw cotton,non,549385
blonde or et argent,1,not raw cotton,non,549385
blonde visage,2,not raw cotton,non,549385
blondine,1,not raw cotton,non,549385
blues d'étain,1,not raw cotton,non,549385
bluteau de laine,7,not raw cotton,non,549385
bluteaux,2,not raw cotton,non,549385
bobine de cuir,1,not raw cotton,non,549385
bocard de verre,1,,non,4510
bocau soie,1,not raw cotton,non,549385
bodans,1,not raw cotton,non,549385
boëland,18,not raw cotton,non,549385
bœuf,427,not raw cotton,non,549385
bœuf à l'écarlate,11,not raw cotton,non,549385
bœuf à la mode,7,not raw cotton,non,549385
bœuf d'Irlande,1,not raw cotton,non,549385
bœuf du pays,3,not raw cotton,non,549385
bœuf en daube,57,not raw cotton,non,549385
bœuf et génisses et vaches,1,not raw cotton,non,549385
bœuf et langue salée,6,not raw cotton,non,549385
bœuf et moutons et porcs et vaches,123,not raw cotton,non,549385
bœuf et moutons et porcs et vaches et veaux,67,not raw cotton,non,549385
bœuf et moutons et porcs et vaches etc.,7,not raw cotton,non,549385
bœuf et moutons et vaches et veaux,6,not raw cotton,non,549385
bœuf et moutons et vaches etc.,1,not raw cotton,non,549385
bœuf et taureaux,8,not raw cotton,non,549385
bœuf et vaches,9,not raw cotton,non,549385
bœuf froment,1,not raw cotton,non,549385
bœuf fumé,153,not raw cotton,non,549385
bœuf fumé et salé,3,not raw cotton,non,549385
bœuf gras,2,not raw cotton,non,549385
bœuf gras et en chair,2,not raw cotton,non,549385
bœuf illinois,1,not raw cotton,non,549385
bœuf jeune,1,not raw cotton,non,549385
bœuf maigre,2,not raw cotton,non,549385
bœuf préparé,1,not raw cotton,non,549385
bœuf salé,1599,not raw cotton,non,549385
bœuf salé d'Irlande,36,not raw cotton,non,549385
bœuf salé de Bretagne,1,not raw cotton,non,549385
bœuf salé de Hollande,1,,non,4510
bœuf salé du pays,24,not raw cotton,non,549385
bœuf salé pour l'entrepôt des Îles,3,not raw cotton,non,549385
bœuf taureau,5,not raw cotton,non,549385
bœuftins et génisses,1,not raw cotton,non,549385
bois,786,not raw cotton,non,549385
bois à brûler,4,not raw cotton,non,549385
bois à fusil,2,not raw cotton,non,549385
bois à quart,2,not raw cotton,non,549385
bois à teindre moulu,17,not raw cotton,non,549385
bois à tourner,1,not raw cotton,non,549385
bois à travailler,1,not raw cotton,non,549385
bois amer,2,not raw cotton,non,549385
bois au daumes,3,not raw cotton,non,549385
bois barres de guindeau,1,not raw cotton,non,549385
bois billots,1,not raw cotton,non,549385
bois blanc,4,not raw cotton,non,549385
bois bordage,54,not raw cotton,non,549385
bois bourdilles,21,not raw cotton,non,549385
bois bourdillons,17,not raw cotton,non,549385
bois boway de chêne,1,not raw cotton,non,549385
bois boway de sapin,1,not raw cotton,non,549385
bois brai,1,not raw cotton,non,549385
bois brandilles,1,not raw cotton,non,549385
bois brun,2,not raw cotton,non,549385
bois commun,1,not raw cotton,non,549385
bois commun de chêne et sans désignation d'espèce et scié,1,not raw cotton,non,549385
bois commun de pin et sapin brut ou équarri à la hache,1,not raw cotton,non,549385
bois commun de pin et sapin de cham et scié,1,not raw cotton,non,549385
bois commun de pin et sapin scié de 34 mm d'épaisseur,1,not raw cotton,non,549385
bois commun de pin et sapin scié de plus de 80 mm d'épaisseur,3,not raw cotton,non,549385
bois corbin,1,not raw cotton,non,549385
bois cordayer,2,not raw cotton,non,549385
bois courbé,1,not raw cotton,non,549385
bois d'acajou,228,not raw cotton,non,549385
bois d'acajou brut,6,not raw cotton,non,549385
bois d'acajou des entrepôts,1,not raw cotton,non,549385
bois d'acajou divers,2,not raw cotton,non,549385
bois d'acajou en bloc,1,not raw cotton,non,549385
bois d'acajou pour madrier,1,not raw cotton,non,549385
bois d'acajou pour planche,1,not raw cotton,non,549385
bois d'acajou scié,4,not raw cotton,non,549385
bois d'acajou scié de 2 à 3 décimètres,1,not raw cotton,non,549385
bois d'aloès,13,not raw cotton,non,549385
bois d'amarante,3,not raw cotton,non,549385
bois d'Angeot,3,not raw cotton,non,549385
bois d'Angola,1,not raw cotton,non,549385
bois d'ansprete,2,not raw cotton,non,549385
bois d'arc,1,not raw cotton,non,549385
bois d'arc et d'arbalètes,1,not raw cotton,non,549385
bois d'arc et de flèches,2,not raw cotton,non,549385
bois d'arc et de fusils,1,not raw cotton,non,549385
bois d'arc et de selles,1,not raw cotton,non,549385
bois d'aspatton,1,not raw cotton,non,549385
bois d'ébène,114,not raw cotton,non,549385
bois d'ébénisterie,12,not raw cotton,non,549385
bois d'ébénisterie des entrepôts,1,not raw cotton,non,549385
bois d'ébénisterie et des Indes,32,not raw cotton,non,549385
bois d'ébénisterie scié,2,not raw cotton,non,549385
bois d'écarage,1,not raw cotton,non,549385
bois d'érable,1,not raw cotton,non,549385
bois d'espars,6,not raw cotton,non,549385
bois d'esquine,4,not raw cotton,non,549385
bois d'Inde,1,not raw cotton,non,549385
bois d'olivier,27,not raw cotton,non,549385
bois d'olivier à brûler,1,not raw cotton,non,549385
bois d'olivier pelé,12,not raw cotton,non,549385
bois d'olivier pelé préceintes,1,not raw cotton,non,549385
bois d'orignal,2,not raw cotton,non,549385
bois d'orme,9,not raw cotton,non,549385
bois d'ormeau,1,not raw cotton,non,549385
bois d'osier,32,not raw cotton,non,549385
bois de ???,1,not raw cotton,non,549385
bois de 5 pieds,1,not raw cotton,non,549385
bois de bordage,5,not raw cotton,non,549385
bois de bordage de chêne,1,not raw cotton,non,549385
bois de bordage de sapin,1,not raw cotton,non,549385
bois de Brésil,598,not raw cotton,non,549385
bois de Brésil en bûche,7,not raw cotton,non,549385
bois de Brésil menu,1,not raw cotton,non,549385
bois de Brésil moulu,1,not raw cotton,non,549385
bois de Brésil râpé,5,not raw cotton,non,549385
bois de Brésil Sainte-Marthe,2,not raw cotton,non,549385
bois de brésillet,7,not raw cotton,non,549385
bois de brochialle,1,not raw cotton,non,549385
bois de bruyère,1,not raw cotton,non,549385
bois de buis,230,not raw cotton,non,549385
bois de buis boule,1,not raw cotton,non,549385
bois de buis ouvré,0,not raw cotton,oui,549385
bois de cabestan,1,not raw cotton,non,549385
bois de cail-cédra,3,not raw cotton,non,549385
bois de Caliatour,88,not raw cotton,non,549385
bois de Caliatour en bûche,3,not raw cotton,non,549385
bois de Caliatour moulu,27,not raw cotton,non,549385
bois de Caliatour râpé,4,not raw cotton,non,549385
bois de Campêche,1079,not raw cotton,non,549385
bois de Campêche en bûches,22,not raw cotton,non,549385
bois de Campêche en bûches pour teinture,1,not raw cotton,non,549385
bois de Campêche moulu,20,not raw cotton,non,549385
bois de Campêche pour teinture,1,not raw cotton,non,549385
bois de Campêche râpé,26,not raw cotton,non,549385
bois de camphre,1,not raw cotton,non,549385
bois de canet,1,not raw cotton,non,549385
bois de cannelle,2,not raw cotton,non,549385
bois de Cayenne,7,not raw cotton,non,549385
bois de cèdre,21,not raw cotton,non,549385
bois de cerf,2,not raw cotton,non,549385
bois de cerisier,3,not raw cotton,non,549385
bois de chacie de noyer,1,not raw cotton,non,549385
bois de chaises,3,not raw cotton,non,549385
bois de charbonnage,1,not raw cotton,non,549385
bois de charouage,1,not raw cotton,non,549385
bois de charpente,9,not raw cotton,non,549385
bois de charpente couvertures de maisons,1,not raw cotton,non,549385
bois de charpente de sapin,1,not raw cotton,non,549385
bois de charronnage,22,not raw cotton,non,549385
bois de châtaignier,3,not raw cotton,non,549385
bois de châtaignier en planches,1,not raw cotton,non,549385
bois de chêne,133,not raw cotton,non,549385
bois de chêne 30 pieds,1,not raw cotton,non,549385
bois de chêne à poutres,1,not raw cotton,non,549385
bois de chêne à sommiers,2,not raw cotton,non,549385
bois de chêne bourdilles,1,not raw cotton,non,549385
bois de chêne bouts de 6 pieds,1,not raw cotton,non,549385
bois de chêne carré,3,not raw cotton,non,549385
bois de chêne chevrons,1,not raw cotton,non,549385
bois de chêne courbé pour construction navale,1,not raw cotton,non,549385
bois de chêne d'équarrissage,1,not raw cotton,non,549385
bois de chêne de 30 à 40 pieds,1,not raw cotton,non,549385
bois de chêne de 30 pieds,1,not raw cotton,non,549385
bois de chêne de 40 pieds,1,not raw cotton,non,549385
bois de chêne de charpente,1,not raw cotton,non,549385
bois de chêne de construction,4,not raw cotton,non,549385
bois de chêne en lattes,2,not raw cotton,non,549385
bois de chêne en morceaux,1,not raw cotton,non,549385
bois de chêne en morceaux de 5 pieds,1,not raw cotton,non,549385
bois de chêne et sapin pour construction,1,not raw cotton,non,549385
bois de chêne pour bordage,2,not raw cotton,non,549385
bois de chêne pour construction,6,not raw cotton,non,549385
bois de chêne pour construction courbe,1,not raw cotton,non,549385
bois de chêne rond,3,not raw cotton,non,549385
bois de chêne scié,2,not raw cotton,non,549385
bois de chevrons,2,not raw cotton,non,549385
bois de Chine,1,not raw cotton,non,549385
bois de Chypre,1,not raw cotton,non,549385
bois de citrin et de quassie et de Rhodes et de santal blanc,2,not raw cotton,non,549385
bois de clafou,1,not raw cotton,non,549385
bois de cleippe,1,not raw cotton,non,549385
bois de coco,2,not raw cotton,non,549385
bois de Constantine,1,not raw cotton,non,549385
bois de coulette de hêtre,1,not raw cotton,non,549385
bois de couleur,31,not raw cotton,non,549385
bois de courbant,1,not raw cotton,non,549385
bois de courbaril,5,not raw cotton,non,549385
bois de coutelier,2,not raw cotton,non,549385
bois de crabe,4,not raw cotton,non,549385
bois de crible,1,not raw cotton,non,549385
bois de faïence,2,not raw cotton,non,549385
bois de fauteuils,5,not raw cotton,non,549385
bois de fauteuils et canapé,1,not raw cotton,non,549385
bois de faux,1,not raw cotton,non,549385
bois de fayard,11,not raw cotton,non,549385
bois de fer,3,not raw cotton,non,549385
bois de férole,2,not raw cotton,non,549385
bois de figuier,1,not raw cotton,non,549385
bois de flèches,1,not raw cotton,non,549385
bois de Fondal,2,not raw cotton,non,549385
bois de frêne,2,not raw cotton,non,549385
bois de fustel,95,not raw cotton,non,549385
bois de fustel haché,2,not raw cotton,non,549385
bois de fustel pour teinture,2,not raw cotton,non,549385
bois de fustet,62,not raw cotton,non,549385
bois de fustet moulu,1,not raw cotton,non,549385
bois de fustet pour teinture,1,not raw cotton,non,549385
bois de gabarit,0,not raw cotton,oui,549385
bois de gaïac,362,not raw cotton,non,549385
bois de gaïac des entrepôts,1,not raw cotton,non,549385
bois de gaïac en bûches,1,not raw cotton,non,549385
bois de gaïac râpé,2,not raw cotton,non,549385
bois de gays,1,not raw cotton,non,549385
bois de genièvre,1,not raw cotton,non,549385
bois de girofle,44,not raw cotton,non,549385
bois de gitte,1,not raw cotton,non,549385
bois de grenadier,5,not raw cotton,non,549385
bois de grenadille,3,not raw cotton,non,549385
bois de Hambourg,1,not raw cotton,non,549385
bois de Honduras,1,not raw cotton,non,549385
bois de Honduras en bûches,1,not raw cotton,non,549385
bois de houx,1,,non,4510
bois de houx bûches,1,not raw cotton,non,549385
bois de jacaranda,20,not raw cotton,non,549385
bois de lettre,6,not raw cotton,non,549385
bois de lin,3,not raw cotton,non,549385
bois de lit,24,not raw cotton,non,549385
bois de lit d'acajou,1,,non,4510
bois de machandises marbré,5,not raw cotton,non,549385
bois de machemillier,6,not raw cotton,non,549385
bois de Magny,1,not raw cotton,non,549385
bois de marbre,2,not raw cotton,non,549385
bois de marguerite,1,not raw cotton,non,549385
bois de marine,1,not raw cotton,non,549385
bois de marqueterie,82,not raw cotton,non,549385
bois de melle,1,not raw cotton,non,549385
bois de menuiserie,20,not raw cotton,non,549385
bois de Nantes,1,not raw cotton,non,549385
bois de Nicaragua,1,not raw cotton,non,549385
bois de noyer,57,not raw cotton,non,549385
bois de palissandre,45,not raw cotton,non,549385
bois de Pernambouc,240,not raw cotton,non,549385
bois de Pernambouc à teindre,2,not raw cotton,non,549385
bois de Pernambouc arbustes,2,not raw cotton,non,549385
bois de Pernambouc en bûche,4,not raw cotton,non,549385
bois de Pernambouc moulu,6,not raw cotton,non,549385
bois de Pernambouc râpé,2,not raw cotton,non,549385
bois de pin,9,not raw cotton,non,549385
bois de pourpre,1,not raw cotton,non,549385
bois de Provence,1,not raw cotton,non,549385
bois de Provence Pernambouc et Campêche,2,not raw cotton,non,549385
bois de quassie,1,not raw cotton,non,549385
bois de raquette,1,not raw cotton,non,549385
bois de réglisse,64,not raw cotton,non,549385
bois de réglisse et jus de réglisse,1,not raw cotton,non,549385
bois de Rhodes,7,not raw cotton,non,549385
bois de Rhodes et sental-citrin etc.,2,not raw cotton,non,549385
bois de romarin,1,not raw cotton,non,549385
bois de rose,76,not raw cotton,non,549385
bois de roseau,10,not raw cotton,non,549385
bois de rouage,12,not raw cotton,non,549385
bois de rouage et ouvrages de charronnerie,1,not raw cotton,non,549385
bois de Sainte-Lucie,2,not raw cotton,non,549385
bois de Sainte-Marthe,251,not raw cotton,non,549385
bois de Sainte-Marthe en bûches,3,not raw cotton,non,549385
bois de Sainte-Marthe moulu,1,not raw cotton,non,549385
bois de Sainte-Marthe pour teinture,1,not raw cotton,non,549385
bois de santal,233,not raw cotton,non,549385
bois de santal ???,1,not raw cotton,non,549385
bois de santal blanc,4,not raw cotton,non,549385
bois de santal cetrin,1,not raw cotton,non,549385
bois de santal citrin,6,not raw cotton,non,549385
bois de santal en bûches,10,not raw cotton,non,549385
