simplification,nbr_occurences_simpl,obsolete,coffee,nbr_occurences_hamburg,nbr_occurences_coffee
anches de tonneaux,2,non,Not coffee,442379,825945
anchois,1185,non,Not coffee,442379,825945
anchois câpres et olives,10,non,Not coffee,442379,825945
anchois câpres etc.,1,non,Not coffee,442379,825945
anchois câpres olives,1,non,Not coffee,442379,825945
anchois et boutargue,13,non,Not coffee,442379,825945
anchois et câpres,5,non,Not coffee,442379,825945
anchois et câpres et olives,1,non,,,43966
anchois et sardes,1,non,Not coffee,442379,825945
anchois et sardines,5,non,Not coffee,442379,825945
anchois mariné,10,non,Not coffee,442379,825945
anchois mariné et salé,39,non,Not coffee,442379,825945
anchois salé,2,non,,,43966
anchois salé et mariné,2,non,Not coffee,442379,825945
anchois salés,4,non,Not coffee,442379,825945
anchois salés et marinés,9,non,Not coffee,442379,825945
ancres,56,non,Not coffee,442379,825945
ancres de chaudon,1,non,Not coffee,442379,825945
ancres de fer,609,non,Not coffee,442379,825945
ancres de fer à chaudrons,1,non,Not coffee,442379,825945
ancres de fer au-dessus de 250 kilogrammes,1,non,Not coffee,442379,825945
ancres de fer de 250 kilogrammes et au-dessous,1,non,Not coffee,442379,825945
ancres de fer et embarcations,2,non,Not coffee,442379,825945
ancres et embarcations,5,non,Not coffee,442379,825945
ancres et grappins de fer,1,non,Not coffee,442379,825945
ancres et ouvrages de fer,2,non,,,43966
ancres gravelées,1,non,Not coffee,442379,825945
ancres neuves,3,non,Not coffee,442379,825945
ancres vides,5,non,Not coffee,442379,825945
ancres vieilles,1,non,Not coffee,442379,825945
ancres vieilles vides,1,non,Not coffee,442379,825945
andolium,5,non,Not coffee,442379,825945
andouilles,45,non,Not coffee,442379,825945
andouillette,1,non,Not coffee,442379,825945
ânes,183,non,Not coffee,442379,825945
ânes et ânesses,97,non,Not coffee,442379,825945
ânes et mulets,11,non,Not coffee,442379,825945
ânesses,1,non,Not coffee,442379,825945
angélique,29,non,Not coffee,442379,825945
angélique du Rozème,1,non,Not coffee,442379,825945
anguilles,26,non,Not coffee,442379,825945
anguilles et truites,118,non,Not coffee,442379,825945
anguilles fraîches,1,non,Not coffee,442379,825945
anguilles marinées,1,non,Not coffee,442379,825945
anguilles salées,26,non,Not coffee,442379,825945
anille,1,non,Not coffee,442379,825945
animaux,5,non,Not coffee,442379,825945
anis,598,non,Not coffee,442379,825945
anis et rac et rhum etc.,101,non,Not coffee,442379,825945
anis et sucre,1,non,Not coffee,7148,825945
anis étoilé,0,oui,Not coffee,442379,825945
anis vert,100,non,Not coffee,442379,825945
anis vert à distiller,2,non,Not coffee,442379,825945
anisette,115,non,Not coffee,442379,825945
anisette au fiasque,6,non,Not coffee,442379,825945
anisette de Bordeaux,2,non,Not coffee,442379,825945
anneau de cuivre,1,non,Not coffee,442379,825945
anneau de fer,3,non,Not coffee,442379,825945
anneaux de cuivre,1,non,Not coffee,442379,825945
anneaux de fer,1,non,Not coffee,442379,825945
ânon,2,non,Not coffee,442379,825945
anspects,125,non,Not coffee,442379,825945
anspects de 3 à 4 pieds,1,non,Not coffee,442379,825945
anspects de bois,22,non,Not coffee,442379,825945
anspects de sapin,1,non,Not coffee,442379,825945
antale,3,non,Not coffee,442379,825945
antale et cauris,1,non,Not coffee,442379,825945
antchibanis,9,oui,Not coffee,442379,825945
antenelle,1,non,Not coffee,442379,825945
antennes,2,non,Not coffee,442379,825945
antennes et mâts de bateaux,1,non,Not coffee,442379,825945
antimoine,294,non,Not coffee,442379,825945
antimoine cru,29,non,Not coffee,442379,825945
antimoine métallique et sulfuré,2,non,Not coffee,442379,825945
antimoine préparé,2,non,Not coffee,442379,825945
antimoine vert,1,non,Not coffee,442379,825945
antofle,1,non,Not coffee,442379,825945
antofle de girofle,11,non,Not coffee,442379,825945
apasier,1,non,Not coffee,442379,825945
apier,3,non,Not coffee,442379,825945
apios,7,non,Not coffee,442379,825945
apparaux,1,non,,,43966
apparaux et bâtiments de mer,38,non,Not coffee,442379,825945
apprêtée à toiler les livres,2,non,Not coffee,442379,825945
apprêtée pour parchemins,2,non,Not coffee,442379,825945
apprêts,0,non,,,43966
arachis olives fraîches,1,non,Not coffee,442379,825945
arains,6,non,Not coffee,442379,825945
arak,17,non,Not coffee,442379,825945
arbalètes,7,non,Not coffee,442379,825945
arbalètrie et cartes marines,1,non,,,43966
arbalètrrie et cartes marines,1,oui,Not coffee,442379,825945
arbres,51,non,Not coffee,442379,825945
arbres à fruits,2,non,Not coffee,442379,825945
arbres à planter,144,non,Not coffee,442379,825945
arbres à planter pommiers,1,non,,,43966
arbres châtaignier,4,non,Not coffee,442379,825945
arbres d' ???,1,non,Not coffee,442379,825945
arbres d'auban,1,non,Not coffee,442379,825945
arbres de sapin,1,non,Not coffee,442379,825945
arbres et arbrisseaux,25,non,Not coffee,442379,825945
arbres et arbrisseaux à fruits,134,non,Not coffee,442379,825945
arbres et arbrisseaux sauvages,138,non,Not coffee,442379,825945
arbres et arbustes,6,non,Not coffee,442379,825945
arbres et plants,1,non,Not coffee,442379,825945
arbres fruitiers,97,non,Not coffee,442379,825945
arbres marronniers à planter,1,non,Not coffee,442379,825945
arbres nains,1,non,Not coffee,442379,825945
arbres tilleul,5,non,Not coffee,442379,825945
arbrisseaux,10,non,Not coffee,442379,825945
arbustes,4,non,Not coffee,442379,825945
arcanette,1,non,Not coffee,442379,825945
arcanie,2,non,Not coffee,442379,825945
arcanson,4,non,Not coffee,442379,825945
arcanum duplicatum,2,non,Not coffee,442379,825945
archets de violons,19,non,Not coffee,442379,825945
archets et violon,1,non,Not coffee,442379,825945
archiabanis,2,oui,Not coffee,442379,825945
arçons de bas de bois,1,non,Not coffee,442379,825945
arçons de bois,1,non,Not coffee,442379,825945
arçons de selles,24,non,Not coffee,442379,825945
arçons démontés,1,non,Not coffee,442379,825945
ardoise,390,non,Not coffee,442379,825945
ardoise à écrire,1,non,,,43966
