goods_simpl_classification;ulrich_classification
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur;out
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur;out
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes;out
barres pour édifices;out
barres pour édifiées;out
barres rondes de fer étiré;out
barres rondes de fer étiré de 15 millimètres et plus de diamètres;out
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres;out
barres rondes de fer étiré de moins de 15 millimètres de diamètres;out
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres;out
barrettes;out
barrettes de cuivre;out
barrettes de fer;out
barriques;out
barriques à eau;out
barriques cerclées de fer;out
barriques cerclées de fer et vides;out
barriques en bœuf;out
barriques neuves;out
barriques vides;out
barriques vides vieilles;out
barriques vieilles;out
bas;out
bas à crin d'or et de soie;out
bas communs;out
bas d'estam;out
bas d'estame;out
bas d'estame fins;out
bas d'étoffe;out
bas de bourre de soie;out
bas de Carcassone;out
bas de castor;out
bas de chamois;out
bas de coton;cotton goods
bas de coton 1300 lignes;cotton goods
bas de coton de femme;cotton goods
bas de coton en paires;cotton goods
bas de coton et bas de fil;cotton goods
bas de coton et bas de fil et bas de soie;cotton goods
bas de coton et bas de fil par paires;cotton goods
bas de coton et bas de soie;cotton goods
bas de coton et bonnets de coton;cotton goods
bas de coton et laine;cotton goods
bas de coton pour enfant;cotton goods
bas de coton pour femme;cotton goods
bas de coton pour homme;cotton goods
bas de fil;out
bas de fil commun;out
bas de fil d'or;out
bas de fil divers;out
bas de fil et bas de laine;out
bas de fil et bonnets;out
bas de fil et pour femme;out
bas de fil et pour homme;out
bas de fil par paires;out
bas de filoselle;out
bas de Flandre d'homme;out
bas de Flandre de femme;out
bas de fleuret;out
bas de laine;out
bas de laine 40 lignes;out
bas de laine communs;out
bas de laine d'homme;out
bas de laine de Ségovie;out
bas de laine écarlate;out
bas de laine et bas de soie;out
bas de laine et bonnets de laine;out
bas de laine et gants de laine et bonnets de laine;out
bas de laine fin;out
bas de laine grossière;out
bas de laine par paires;out
bas de mulet;out
bas de peau;out
bas de poil;out
bas de poil et bas de soie;out
bas de Saint-Mexant;out
bas de Ségovie;out
bas de soie;out
bas de soie à coins d'argent;out
bas de soie à coins d'or;out
bas de soie à coins d'or et bas de soie à coins d'argent;out
bas de soie brodés;out
bas de soie brodés d'or;out
bas de soie brodés d'or et bas de soie brodés d'argent;out
bas de soie de Chine;out
bas de soie de Chine pour femme;out
bas de soie de Chine pour homme;out
bas de soie et gants de soie;out
bas de soie pour femme;out
bas de soie pour homme;out
bas de soie pour teindre;out
bas de soie vieux;out
bas de toile;out
bas des Îles et des Indes;out
bas des Indes de poil;out
bas drapés;out
bas écriers;out
bas et bonnets de castor;out
bas et bonnets de fil;out
bas et gants de poil;out
bas étrillés;out
bas gants et bonnets de laine fil et coton;cotton goods
bas grossiers;out
bas pour femme;out
bas pour homme;out
bas-relief de marbre;out
basanes;out
basanes apprêtées;out
basanes de mouton;out
basanes de mouton tannées;out
basanes de veau;out
basanes tannées;out
basanes tannées de veau;out
basin;cotton goods
basin argent et or;out
basin blanc;cotton goods
basin blanc de 10 aunes;cotton goods
basin blanc de 11 aunes;cotton goods
basin blanc de fil;out
basin brodé;out
basin brodé de soie;out
basin brodé de soie et d'or;out
basin clair mêlé de coton;cotton goods
basin commun;cotton goods
basin coton;cotton goods
basin de Bruges écru en pièce de 11,5 aunes;cotton goods
basin de coton et basin de fil;cotton goods
basin de fil;cotton goods
basin de fil et de coton;cotton goods
basin de Godelour;out
basin de lin;out
basin de lin peint;out
basin de Rouen;cotton goods
basin de soie;out
basin de Troyes;cotton goods
basin des Indes;cotton goods
basin en aunes;cotton goods
basin et Nankin;cotton goods
basin peint;cotton goods
basin pièces de 11 aunes;cotton goods
basin pièces de 15 aunes;cotton goods
basin pièces de 40 aunes;cotton goods
basin rayé;cotton goods
basin sec fil;out
basin tout coton;cotton goods
basin uni et Nankin uni;cotton goods
baspormettes;out
basse;out
basse de viole;out
basse et bassons;out
basse et chapeaux chinois;out
bassin à barbe;out
bassin à barbe de cuivre;out
bassin à cassave;out
bassin d'étain;out
