goods_simpl_classification;ulrich_classification
toile de Bretagne de quatre fils;out
toile de Bretagne de réforme;out
toile de Bretagne de rondelette;out
toile de Bretagne de rosconne;out
toile de Bretagne de Saint-???;out
toile de Bretagne de Savigny;out
toile de Bretagne de sept huit;out
toile de Bretagne de serpillère;out
toile de Bretagne de St. Georges;out
toile de Bretagne diverse;out
toile de Bretagne écrue;out
toile de Bretagne écrue large;out
toile de Bretagne entre large;out
toile de Bretagne étroite;out
toile de Bretagne fine claire;out
toile de Bretagne fine étroite;out
toile de Bretagne fine large;out
toile de Bretagne Fougères;out
toile de Bretagne gratienne;out
toile de Bretagne grenade;out
toile de Bretagne grise;out
toile de Bretagne gros brin;out
toile de Bretagne guingan;out
toile de Bretagne haut brin;out
toile de Bretagne haute louise;out
toile de Bretagne jaune;out
toile de Bretagne lacormen;out
toile de Bretagne large;out
toile de Bretagne ouvrée;out
toile de Bretagne peinte;out
toile de Bretagne platille;out
toile de Bretagne pour voile;out
toile de Bretagne quatre fils;out
toile de Bretagne rayée;out
toile de Bretagne rayée à carreaux;out
toile de Bretagne reforme;out
toile de Bretagne rondelette;out
toile de Bretagne rosconne;out
toile de Bretagne rouge et bleue;out
toile de Bretagne rousse;out
toile de Bretagne royale;out
toile de Bretagne serpillère;out
toile de Bretagne serpillière;out
toile de Bretagne verges rayées;out
toile de Bretagne verges serpillère;out
toile de Brieu;out
toile de brin;out
toile de brin fine;out
toile de Bruges;out
toile de caisse;out
toile de caladaris;out
toile de Cambrai;out
toile de Cambrai aune;out
toile de Cambrai et de lin;out
toile de Cambrai et de lin fin;out
toile de canevas;out
toile de capiton;out
toile de carreaux;out
toile de châles et de lin;out
toile de challe;out
toile de chanvre;out
toile de chanvre ???;out
toile de chanvre 1400 lignes;out
toile de chanvre 1500 lignes;out
toile de chanvre 1700 lignes;out
toile de chanvre 450 lignes;out
toile de chanvre à carreaux;out
toile de chanvre blanche;out
toile de chanvre commune et de fil;out
toile de chanvre coutil;out
toile de chanvre d'emballage;out
toile de chanvre d'étoupes;out
toile de chanvre de ???;out
toile de chanvre de coutil;out
toile de chanvre de Halle;out
toile de chanvre dite coutil;out
toile de chanvre écrue;out
toile de chanvre en canevas;out
toile de chanvre et de fil d'épreuve;out
toile de chanvre et de lin;out
toile de chanvre et de lin apprêtée écrue de 13 à 20 fils;out
toile de chanvre et de lin apprêtée écrue de 8 à 13 fils;out
toile de chanvre et de lin apprêtée écrue de fils;out
toile de chanvre et de lin apprêtée écrue de moins de 8 fils;out
toile de chanvre et de lin blanches;out
toile de chanvre et de lin écrue pour voile;out
toile de chanvre et de lin écrues;out
toile de chanvre et de lin imprimée de 13 à 20 fils;out
toile de chanvre et de lin imprimée mi-blanche unie de moins de 8 fils;out
toile de chanvre et de lin imprimée unie;out
toile de chanvre et de lin mi-blanche;out
toile de chanvre et de lin peinte sur enduit pour tapisserie;out
toile de chanvre et de lin peinte sur enduit unie pour tapisserie;out
toile de chanvre et de lin pour matelas;out
toile de chanvre et de lin sans apprêt écrue d'étoupes;out
toile de chanvre et de lin sans apprêt écrue de 13 à 20 fils;out
toile de chanvre et de lin sans apprêt écrue de 8 à 13 fils;out
toile de chanvre et de lin sans apprêt écrue de fils;out
toile de chanvre et de lin sans apprêt écrue de moins de 8 fils;out
toile de chanvre et de lin teinte de 13 à 20 fils;out
toile de chanvre et de lin teinte de 20 fils et au-dessus;out
toile de chanvre et de lin teinte de 8 à 13 fils;out
toile de chanvre et de lin teinte de moins de 8 fils;out
toile de chanvre et de lin unie pour matelas;out
toile de chanvre et de lin unie teinte;out
toile de chanvre et de lin unie teinte de 13 fils inclusivement à 20 fils exclusivement;out
toile de chanvre et de lin unie teinte de 8 fils inclusivement à 13 fils exclusivement;out
toile de chanvre et de lin unie teinte de moins de 8 fils;out
toile de chanvre et écrue et de lin;out
toile de chanvre étoupes;out
toile de chanvre étoupes grise;out
toile de chanvre étoupes grises aune;out
toile de chanvre fine;out
toile de chanvre grise;out
toile de chanvre grosse;out
toile de chanvre ouvrée;out
toile de chanvre peinte;out
toile de chanvre pour nègre;out
toile de chanvre pour voile;out
toile de chanvre rousse;out
toile de chanvre teinte;out
toile de chanvre trillin;out
toile de chasse;out
toile de Château-Gontier;out
toile de Chauvreau;out
toile de Cholet;out
toile de Clisson;out
toile de Combourg;out
toile de Comté;out
toile de cordat;out
Toile de coton;cotton goods
toile de coton;cotton goods
toile de coton ???;cotton goods
toile de coton à bas;cotton goods
toile de coton à fleurs;cotton goods
toile de coton à imprimer;cotton goods
toile de coton à jamis;cotton goods
toile de coton aman;cotton goods
toile de coton antoine;cotton goods
toile de coton basin;cotton goods
toile de coton bisinette;cotton goods
toile de coton blanche;cotton goods
toile de coton bleu;cotton goods
toile de coton brochée;cotton goods
toile de coton commune;cotton goods
toile de coton corroyée;cotton goods
toile de coton d'Angleterre;cotton goods
toile de coton d'Antioche;cotton goods
toile de coton de ???;cotton goods
toile de coton de coton français;cotton goods
toile de coton de duvet;cotton goods
toile de coton de France;cotton goods
toile de coton de juve;cotton goods
toile de coton de la Compagnie;cotton goods
toile de coton de Rouen;cotton goods
toile de coton demitte;cotton goods
toile de coton des Indes;cotton goods
toile de coton des Indes brodée;cotton goods
toile de coton dite armanie;cotton goods
toile de coton du Levant;cotton goods
toile de coton du Piémont;cotton goods
toile de coton en siamoise;cotton goods
toile de coton escamitte;cotton goods
toile de coton et de fil;cotton goods
toile de coton et de fil à fleurs;cotton goods
toile de coton et de fil de Cholet à robes;cotton goods
toile de coton et de fil imprimée;cotton goods
toile de coton et de fil peinte;cotton goods
toile de coton et de fil pour mouchoirs;cotton goods
toile de coton et de fil teinte;cotton goods
toile de coton et de laine;cotton goods
toile de coton et de lin;cotton goods
toile de coton et soie;cotton goods
toile de coton étranger;cotton goods
toile de coton étranger et des Indes;cotton goods
toile de coton étrangère;cotton goods
toile de coton fine;cotton goods
toile de coton forte;cotton goods
toile de coton haut prix et teinte;cotton goods
toile de coton imprimée;cotton goods
toile de coton imprimée aune;cotton goods
toile de coton imprimée et à haut prix;cotton goods
toile de coton imprimée et peigne et peinte;cotton goods
toile de coton imprimée et peinte;cotton goods
toile de coton imprimée et teinte;cotton goods
toile de coton large;cotton goods
toile de coton mousseline;cotton goods
toile de coton nationale;cotton goods
toile de coton nationale et peinte;cotton goods
toile de coton non ???;cotton goods
toile de coton peinte;cotton goods
toile de coton persiste;cotton goods
toile de coton piquée;cotton goods
toile de coton pointe;cotton goods
toile de coton pour mouchoirs;cotton goods
toile de coton pour mouchoirs teinte;cotton goods
toile de coton pour nègre;cotton goods
toile de coton quadrillée;cotton goods
toile de coton rayée;cotton goods
toile de coton rayée ou unie;cotton goods
toile de coton Rouen;cotton goods
toile de coton rousse;cotton goods
toile de coton saisie;cotton goods
toile de coton teinte;cotton goods
toile de coton teinte et bas prix;cotton goods
toile de coton vieux;cotton goods
toile de cottray;cotton goods
toile de couleur;cotton goods
toile de Courtrai;out
toile de coutil;cotton goods
toile de coutil rayée;cotton goods
toile de crin;out
toile de crin à tamis;out
toile de crin cirée;out
toile de demi large;out
toile de demi-Hollande;out
toile de Dinan;out
toile de Dinant;out
toile de façon de Hambourg et de Hollande;out
toile de fil;out
toile de fil à carreaux;out
toile de fil blanche;out
toile de fil commune;out
toile de fil coutil;out
toile de fil de ???;out
toile de fil de coton;cotton goods
toile de fil de coton siamoise;cotton goods
toile de fil en coutil;out
toile de fil et coton;cotton goods
toile de fil et de laine;out
toile de fil et de laine de Lille;out
toile de fil et de soie;out
toile de fil peinte;out
toile de fil peinte et teinte;out
toile de fil teinte;out
toile de filezie;out
toile de Flandre;out
toile de fleuret de Rouen;out
toile de fleuret et blancard;out
toile de Fougères;out
toile de frame;out
toile de France;out
toile de Frise;out
toile de Gand;out
toile de Grandville;out
toile de Grenade;out
toile de Grenade de lin;out
toile de Grenoble;out
toile de gris;out
toile de halle;out
toile de Hanovre;out
toile de haut brin;out
toile de Hollande;out
toile de Hollande blanche;out
toile de Hollande fine de 36 aunes;out
toile de Hollande pièces de 15 aunes;out
toile de Hollande pièces de 30 aunes;out
toile de killis;out
toile de laine;out
toile de laine dite herbage;out
toile de laine pour blutoir;out
toile de laiton;out
toile de Landerneau;out
toile de Languenan;out
toile de Laval;out
toile de Laval de renvoi;out
toile de Léon;out
toile de Levant;out
toile de Levant diverse;out
toile de Lille;out
toile de Lille à serviettes;out
toile de lin;out
toile de lin à doubler;out
toile de lin à matelas;out
toile de lin au lait;out
toile de lin bas prix et teinte;out
toile de lin blanche;out
toile de lin brochée;out
toile de lin Cambrai;out
toile de lin cirée;out
toile de lin claire;out
toile de lin claire et gaze;out
toile de lin coutel;out
toile de lin coutil;out
toile de lin crue;out
toile de lin d'Abbeville;out
toile de lin d'Alençon;out
toile de lin d'Amiens;out
toile de lin d'Anvers;out
toile de lin d'Arras;out
toile de lin de 13 aunes;out
toile de lin de 15 aunes;out
toile de lin de Beaujolais;out
toile de lin de Beauvais;out
toile de lin de Bernay;out
toile de lin de Cholet;out
toile de lin de Flandre;out
toile de lin de Frise;out
toile de lin de Gand;out
toile de lin de Hollande;out
toile de lin de Laval;out
toile de lin de Lille;out
toile de lin de linge de tables;out
toile de lin de linon;out
toile de lin de Marigny;out
toile de lin de ménage;out
toile de lin de Rouen;out
toile de lin de Russie;out
toile de lin de Saint-Quentin;out
toile de lin de Senlis;out
toile de lin de Servins;out
toile de lin de St. Malo;out
toile de lin de Suisse;out
toile de lin de Troyes;out
toile de lin de Valenciennes;out
toile de lin du pays;out
toile de lin écrue;out
toile de lin entre large;out
toile de lin et de batiste et linon;out
toile de lin et de chanvre;out
toile de lin et mélangée et de couleur;out
toile de lin façon de Hollande;out
toile de lin fil d'épreuve;out
toile de lin fine à drap;out
toile de lin fine de ???;out
toile de lin fine de Hollande;out
toile de lin grosse;out
toile de lin grosse pointe;out
toile de lin haut prix et teinte;out
toile de lin imprimée;out
toile de lin indigo;out
toile de lin large;out
toile de lin lingerie;out
toile de lin linon;out
toile de lin linon brodée;out
toile de lin linon et Cambrai;out
toile de lin ouvrée;out
toile de lin peinte;out
toile de lin pour emballage;out
toile de lin pour mouchoirs et teinte;out
toile de lin pour robes et rayée;out
toile de lin rayée;out
toile de lin rayée en carreaux;out
toile de lin rayée et teinte;out
toile de lin rousse;out
toile de lin royale;out
toile de lin teinte;out
toile de lin toilette;out
toile de linet;out
toile de linge de tables;out
toile de linge de tables et à serviettes;out
toile de linge vieux;out
toile de lingerie;out
toile de linon;out
toile de linon de Saint-Quentin;out
toile de Lisieux;out
toile de lisson;out
toile de Lombourg;out
toile de Lyon;out
toile de Lyon teinte;out
toile de Marigny;out
toile de Marigny blanche;out
toile de Marigny écrue;out
toile de Mayenne;out
toile de ménage;out
toile de Moncontour;out
toile de montagne;out
toile de Morlaix;out
toile de Mortagne;out
toile de Mortagne ???;out
toile de Moutier;out
toile de Moutiers;out
toile de Noirmoutier;out
toile de paille;out
toile de pays;out
toile de Piémont;out
toile de plocq;out
toile de poil de chèvre;out
toile de Poldavie;out
toile de Pontigny;out
toile de Pontivy;out
toile de Pontorson;out
toile de Pouldavid;out
toile de Quintin;out
toile de réforme;out
toile de retour;out
toile de rite;out
toile de rouanée;out
toile de Rouen;out
toile de Russie;out
toile de Saint-Gail;out
toile de Saint-Georges;out
toile de Saint-Jean;out
toile de Saint-Quentin;out
toile de Saint-Quentin commune;out
toile de Saintonge;out
toile de Saintonge fine;out
toile de Savigny;out
toile de senigat;out
toile de serpillière;out
toile de serviette;out
toile de serviette vieille;out
toile de Sevigneau;out
toile de siamoise;cotton goods
toile de siamoise au sixième de soie;out
toile de Silésie;out
toile de soie;out
toile de Suisse;out
toile de Surate;cotton goods
toile de Suvignan;out
toile de table;out
toile de treillis;out
toile de Troyes;out
toile de Valenciennes;out
toile de Vigery;out
toile de ville;out
toile de Vimoutiers;out
toile de Vitré;out
toile de Vitrée;out
toile de voile;out
toile découpée;out
toile demitte;out
toile des Flandres;out
toile des Indes;out
toile des Indes ???;out
toile des Indes ??? ??? ??? Indes;out
toile des Indes commerce français;out
toile des Indes du commerce étranger;out
toile des Indes du commerce français;out
toile des Indes en ??? français;out
toile des Indes et perles;out
toile des Indes gastas;out
toile des Indes imitant celles des Indes;out
toile des Indes peinte;out
toile des Indes peinte de thille;out
toile des Indes Perse du commerce étranger;out
toile des prises;out
toile du Béarn;out
toile du Brabant;out
toile du cerf;out
toile du commerce de France et des Indes;out
toile du commerce étranger et des Indes;out
toile du Levant;out
toile du Lyonnais;out
toile du Mans;out
toile du pays;out
toile du Piémont;out
toile dure;out
toile écrue;out
toile écrue commune;out
toile écrue de Languenan;out
toile écrue de lin;out
toile écrue et grise de lin;out
toile écrue et grosse de lin;out
toile écrue large;out
toile écrue pour essuie-mains;out
toile embabis;out
toile emballée;out
toile en ???;out
toile en basin de coton;cotton goods
toile en basin de coton brodé en soie;cotton goods
toile en chemises;out
toile en claire et de lin;out
toile en fair;out
toile en sacs;out
toile en serviettes;out
toile entre large;out
toile et bonneterie;out
toile et laine à bouquets de laine;out
toile et treillis lustrés;out
toile étoilée;out
toile étoupes de lin;out
toile étoupière;out
toile étrangère;out
toile étroite;out
toile étroite de lin;out
toile étroite et fine;out
toile façon de Hollande;out
toile façon de Silésie;out
toile fil de laine;out
toile fine;out
toile fine de Flandre;out
toile fine de lin;out
toile fine de lin de Valenciennes;out
toile fine et large;out
toile fine rousse;out
toile française;out
toile futaine;cotton goods
toile galcienne de lin;out
toile glacée;out
toile gommée;out
toile gommée bougron;out
toile gommée et de lin;out
toile gommée et treillis;out
toile grasse;out
toile gratienne;out
toile gratienne rayée;out
toile grise;out
toile grise de laine;out
toile grise de lin;out
toile grise de lin à 10 sols et en dessous;out
toile grise de lin à 10 sols et en dessus;out
toile grise de lin à 30 sols l'aune;out
toile grise de lin à bas prix;out
toile grise de lin en dessous de 10 sols l'aune;out
toile grise de lin en dessous de 20 sols l'aune;out
toile grise non battue;out
toile gros brin;out
toile gros fort;out
toile grosse;out
toile grosse ???;out
toile grosse blanche;out
toile grosse commune;out
toile grosse de lin;out
toile grosse de lin de Saint-Quentin;out
toile grosse de lin et pour nègre;out
toile grosse en faces;out
toile grosse et sommiers;out
toile grosse garnie ??? pour prélat;out
toile grossière en pièce de 50 aunes;out
toile haut brin;out
toile haut brin de Dinant;out
toile hivre;out
toile hollande;out
toile Hollande de Paris;out
toile hollandille;out
toile hollandille de Paris;out
toile humaine;out
toile imitant celle des Indes;out
toile imitant celle des Indes et de Rouen;out
toile imitant celle des Indes et nationale;out
toile imprimée;out
toile imprimée et de fil et peinte et teinte;out
toile imprimée et de lin et nationale et peinte;out
toile imprimée et de lin et peinte;out
toile imprimée ou peinte;out
toile indienne;cotton goods
toile indienne fine;cotton goods
toile indienne française;cotton goods
toile indienne grosse;cotton goods
toile indienne nationale;cotton goods
toile judieau;out
toile kettroy;out
toile killis;out
toile kircochaye;out
toile lagias;out
toile laistoufaire;out
toile Languenan;out
toile large;out
toile large de lin;out
toile lavée;out
toile lesat;out
toile linon;out
toile lizat;out
toile lustrée;out
toile manche;out
toile manouf;out
toile mêlée;out
toile mêlée de coton et de fil;cotton goods
toile mêlée ganak;out
toile mesdin;out
toile mi-blanche de moins de 8 fils;out
toile miennel;out
toile montagne;out
toile Morlaix;out
toile Mortagne;out
toile mouchoirs;out
toile nationale;out
toile navale;out
toile neganepeau et imitant celle des Indes;out
toile noire;out
toile non battue;out
toile ordre et rousse;out
toile organdi;out
toile ouvragée de chanvre et de lin pour linge de table;out
toile ouvrée chaussettes;out
toile ouvrée chemises;out
toile ouvrée nappes;out
toile ouvrée nappes et serviettes;out
toile ouvrée serviettes;out
toile palmite;out
toile pécate;out
toile peignée;out
toile peinte;out
toile peinte de Hollande;out
toile peinte en camaïeu;out
toile peinte et siamoise;out
toile peinte et teinte;out
toile peinte française;out
toile peinte imprimée;out
toile peinte indienne;out
toile peinte pour paravent;out
toile peinte sur enduit pour tapisserie;out
toile petite;out
toile photas;out
toile photas imitant celle des Indes;out
toile pièces étroites;out
toile pièces larges;out
toile pignée;out
toile pignole;out
toile piquée;out
toile piquée de Marseille;out
toile piqûre de Marseille;out
toile platier de Guinée;out
toile point;out
toile Poldavie;out
toile polonaise;out
toile Pontivy;out
toile poupoulis;out
toile pour ameublement;out
toile pour ameublement cirée;out
toile pour ameublement teinte;out
toile pour chemise à nègre;out
toile pour coiffes de chapeaux de lin et teinte;out
toile pour cribles;out
toile pour doublure;out
toile pour emballage;out
toile pour emballage grise de lin;out
toile pour essuie-mains;out
toile pour essuie-mains grise de lin;out
toile pour faire chemise à nègre;out
toile pour faire linge;out
toile pour la Hollande;out
toile pour matelas;out
toile pour mouchoirs;out
toile pour mouchoirs rayée;out
toile pour nappes;out
toile pour nappes et serviettes;out
toile pour serviettes;out
toile pour tabac;out
toile pour tableaux;out
toile pour talliet;out
toile pour tente;out
toile pour voile;out
toile pour voile commune;out
toile pour voile de 24 aunes;out
toile pour voile étrangère;out
toile presitte;out
toile pressée;out
toile preville;out
toile prohibée;out
toile quatre fils;out
toile quilly;out
toile ralette de Hambourg;out
toile ramoise;out
toile rayée;out
toile rayée coton et soie;cotton goods
toile rayée de couleur;out
toile réforme;out
toile reploc;out
toile romals;out
toile rondelette;out
toile rondelle;out
toile rosconne;out
toile rouge;out
toile rousse;out
toile royale;out
toile royalle;out
toile sacs à boîtes;out
toile salemporis;out
toile salemporis bleue;out
toile sanas lustrée;out
toile sangalette;out
toile sans apprêt;out
toile sans apprêt de chanvre et de lin écrue de 13 à 20 fils;out
toile sans apprêt de chanvre et de lin écrue de 20 fils et au-dessus;out
toile sans apprêt de chanvre et de lin écrue de 8 à 13 fils;out
toile sans apprêt de chanvre et de lin écrue de moins de 8 fils;out
toile sans apprêt de chanvre et de lin écrue unie;out
toile sans apprêt de chanvre et de lin écrue unie de 13 fils inclusivement à 20 fils exclusivement;out
toile sans apprêt de chanvre et de lin écrue unie de 20 fils et au-dessus;out
toile sans apprêt de chanvre et de lin écrue unie de 8 fils inclusivement à 13 fils exclusivement;out
toile sans apprêt de chanvre et de lin écrue unie de moins de 8 fils;out
toile sans apprêt écrue de 13 à 20 fils;out
toile sans apprêt écrue de 20 fils et au-dessus;out
toile sans apprêt écrue de 8 à 13 fils inclus;out
toile sans apprêt écrue de moins de 8 fils;out
toile sempiterne;out
toile serpillère;out
toile serpillère commune;out
toile serpillière;out
toile serviettes;out
toile siamoise;out
toile sigillée;out
toile sirsacas;out
toile sistresaye;out
toile socreton;out
toile socreton bleue;out
toile solonaise;out
toile Suisse;out
toile tapsel;out
toile tapsel imitant celle des Indes;out
toile tarnatanes;out
toile teinte;out
toile teinte de 13 à 20 fils;out
toile teinte de 8 à 13 fils;out
toile teinte de moins de 8 fils;out
toile tissée;out
toile tissée très fin;out
toile treillis;out
toile vernante;out
toile vernie;out
toile Vimoutiers;out
toile Vitré;out
toilettes;out
toilettes blanches de lin;out
toilettes brodées de soie;out
toilettes d'acajou;out
toilettes de bois;out
toilettes de bois de Chine;out
toilettes de bois verni;out
toilettes de Valenciennes;out
toilettes façon Chine;out
toilettes grises de lin;out
toilettes pour femme;out
toilettes vernie de Chine;out
tôle;out
tôle de fer;out
tôle de fer laminé ou platiné;out
tôle de fer noir laminé ou platiné;out
tôle de fer simple;out
tôle de fer-blanc;out
tôle double de fer;out
tôle en platines vernies;out
tombas;out
tombe de marbre;out
tombeaux;out
tombeaux de marbre;out
tombereaux;out
tombereaux et voitures;out
tondelle;out
tondures de drap;out
tonneaux;out
tonneaux à l'eau cerclés de fer;out
tonneaux cercles de bois;out
tonneaux cercles de fer;out
tonneaux cerclés de fer;out
tonneaux cuvelles et futailles;out
tonneaux neufs;out
tonneaux vides;out
tonneaux vieux;out
topazes bruts;out
topazes taillés;out
toques;out
tortue;out
tortue marinée et salée;out
tortues vivantes et volailles;out
touques de grès;out
touques petites;out
tourbe;out
toures;out
tournebres;out
tournebroche;out
tournes-viandes;out
tournesol;out
tournesol apprêté;out
tournesol en drapeau;out
tournesol en herbes;out
tournesol en pain;out
tournesol et d'acmail;out
tourons;out
tourons d'Espagne;out
tours;out
tours à barriques;out
tours à filer;out
tours à filer de bois;out
tours à guillocher;out
tours de col;out
tours de lit de bourre;out
tours de pin;out
tours pour tourneur;out
tourteaux de graines grasses;out
tourteaux de graines oléagineuses;out
toutenague;out
train de cabriolet;out
train de carrosses;out
trait d'argent et d'or;out
trait d'or;out
tramail;out
traques de cuir;out
traverses;out
travettes;out
travettes de bois;out
travons;out
travons de sapin;out
travout;out
trèfle;out
treillis;out
treillis bougrand et canevas;out
treillis d'Allemagne;out
treillis gommé;out
treillis non lustré;out
treillis peint;out
tremille;out
trenelle;out
trenelle d'Espagne;out
trenelle d'espars;out
trenelle de jonc;out
trépan;out
trépan de marbre;out
trépieds;out
trépieds de fer;out
tresse d'argent;out
tresse d'argent et d'or;out
tresse d'or;out
tresse de fil;out
tresse de fleures;out
tresse de fleuret;out
tresse de jonc;out
tresse de laine;out
tresse de laine 30 lignes;out
tresse de lin;out
tresse de soie;out
tréteaux de chêne de 6 pouces;out
tricots;out
tricots chinés de 6 aunes;out
tricots de coton;cotton goods
tricots de coton et tricots de fil;cotton goods
tricots de fil;out
tricots de laine;out
tricots de laine en bonneterie;out
tricots de soie;out
trictrac;out
triomphante;out
tripe;out
tripe d'huîtres;out
tripe de bœuf salé;out
tripe de fil et de laine;out
tripe de laine;out
tripe de laine et de fil;out
tripe de Lannoy;out
tripe de morue;out
tripe de velours;out
tripe mêlée de soie et tripe de velours;out
tripe sur soie;out
tripes marinées et salées;out
tripes salées;out
tripoli;out
trompes;out
trompes de fer;out
trompettes;out
trompettes de cuivre;out
trompettes de fer;out
trot de vin;out
trousse de fleures;out
truelles;out
truelles de fer;out
truffe noire;out
truffes;out
truffes ??? et culs d'artichauts;out
truffes à l'huile;out
truffes culs d'artichauts et autres secs;out
truffes de fer;out
truffes de fonte de fer;out
truffes fraîches;out
truffes fraîches et marinées;out
truffes marinées;out
truffes noires;out
truffes sèches;out
truffes vertes;out
truites;out
truites séchées;out
trully;out
trumeaux de glace;out
tuffeaux;out
tuffeaux doubles;out
tuffeaux simples;out
tuiles;out
tuiles courbées;out
tuiles courbées de terre cuite;out
tuiles de couverture;out
tuiles de terre;out
tuiles de terre cuite;out
tuiles plates;out
tuiles plates de terre cuite;out
tulle;out
tulle de chanvre et de lin;out
tulle de soie;out
turban;out
turban de soie;out
turbit;out
turbot;out
turbot salé;out
turlutaines;out
turlutaines et turquoise;out
turquoise;out
turquoise des prises;out
tussaux;out
tutic;out
tutilly;out
tuttie;out
tuyaux;out
tuyaux d'orgue;out
tuyaux de cuir pour les pompes;out
tuyaux de fer;out
tuyaux de fer à vernir;out
tuyaux de fer de fonte;out
tuyaux de fonte;out
tuyaux de grenade;out
tuyaux de pipes;out
tuyaux de plomb;out
tuyaux en fer;out
tympanon;out
urnes de terre;out
ustensiles d'imprimerie;out
ustensiles de marine;out
ustensiles de pêcheur;out
ustensiles militaires;out
vaches;out
vaches en vie;out
vaches et veaux;out
vaches grasses et en chair;out
vaches maigres;out
vaches tuées;out
vacquette;out
vairon;out
vaisseaux montés;out
vaisselle;out
vaisselle d'Allemagne d'argent;out
vaisselle d'argent;out
vaisselle d'étain;out
vaisselle d'or;out
vaisselle d'orfèvrerie;out
vaisselle de Biarritz;out
vaisselle de bois;out
vaisselle de bois verni;out
vaisselle de faïence;out
vaisselle de métal;out
vaisselle de terre;out
vaisselle de verre pour desserts;out
vaisselle plate;out
valeurs de diverses marchandises entrées en franchise de droits à charge de réexportation pour le commerce colonial;out
valises;out
valises petites;out
vallonea;out
valtones;out
valvorette de coton;cotton goods
vandes;out
vanille;out
vanille botte;out
vannerie;out
vannerie 9050 lignes;out
vannerie brute;out
vannerie brute d'espèce;out
vannerie coupée;out
vannerie coupée d'espèce;out
vannerie d'espèce;out
vannerie d'espèce pelée;out
vannerie d'osier;out
vannerie pelée;out
vannes de coton blanches;cotton goods
vans à vanner;out
vans à vanner de bois;out
vans et verges d'osier;out
vareuse de toile;out
varlopes;out
vas du Rhin;out
vases;out
vases d'église d'orfèvrerie;out
vases de briques;out
vases de faïence;out
vases de jardin de faïence;out
vases de pierre;out
vases de plâtre;out
vases de terre;out
vaté;out
vatons;out
vaudes;out
vaudes bottes;out
veaux;out
veaux de lait;out
veaux en vie;out
veaux gras;out
veaux maigres;out
veaux petits;out
veaux pour ???;out
védasse;out
végétal;out
veiles;out
velbar;out
velours;out
velours à ramage;out
velours avec argent;out
velours bleu;out
velours ciselé à fond d'or;out
velours commun;out
velours cramoisi;out
velours d'Utrecht;out
velours de Chine;out
velours de coton;cotton goods
velours de coton aune;cotton goods
velours de coton et de fil;cotton goods
velours de coton imprimé;cotton goods
velours de fil et de poil;out
velours de Gênes;out
velours de Gênes noir;out
velours de gueux;cotton goods
velours de laine;out
velours de poil d'Utrecht;out
velours de soie;out
velours de soie aune;out
velours de soie pièces de 30 aunes;out
velours gueuse;out
velours noir;out
velours ordinaire;out
velours uni;out
velverette de coton;cotton goods
vendange;out
vénitienne;out
ver ???;out
verdasse;out
verdes;out
verdet;out
verdet cristallisé;out
verdet cristallisé et non cristallisé;out
verdet non cristallisé;out
verdet non cristallisé sec;out
verge de fer blanc;out
verges à moulins;out
verges d'étain;out
verges de cuivres;out
verges de fer;out
verges de fer et barres de fer et battu de fer;out
verges de sapin;out
vergnes;out
vergues;out
vergues à mâture;out
vergues de 25 pieds;out
vergues de 35 pieds sur 8 pouces de diamètre;out
vergues de 40 pieds sur 10 pouces de diamètre;out
vergues de 44 à 50 pieds;out
vergues de 44 pieds;out
vergues de 47 pieds sur 10,5 pouces de diamètre;out
vergues de 53 à 57 pieds;out
vergues de 56 pieds sur 10,5 pouces de diamètre;out
vergues de fer;out
vergues de navire;out
vergues de sapin;out
vergues de sapin de 44 pieds;out
vergues pour navire;out
verjus;out
vermeil et vernis;out
vermeille;out
vermicelle;out
vermilles;out
vermillon;out
vermillon de tasse;out
vernis;out
vernis à peindre;out
vernis de terre;out
vernis massé;out
vernis préparés;out
vernoix;out
vernunes;out
verrerie;out
verrerie à boire;out
verrerie à vitre;out
verrerie autres que cristaux;out
verrerie bouteilles;out
verrerie cassée;out
verrerie d'office;out
verrerie de Baume;out
verrerie diverse;out
verrerie en boucaut;out
verrerie en bouteilles;out
verres;out
verres ??? d'estampes;out
verres à boire;out
verres à boire communs;out
verres à boire cristallins;out
verres à boire de cristal;out
verres à boire de Venise;out
verres à boire et à vitre;out
verres à boire gobelets;out
verres à boire moutardiers etc.;out
verres à cadran et à lunettes polis et taillés;out
verres à carreaux;out
verres à carreaux et vitre;out
verres à cristal;out
verres à gobelets;out
verres à horloge de mer;out
verres à liqueur;out
verres à lunettes;out
verres à vin;out
verres à vitre;out
verres à vitre d'Allemagne;out
verres à vitre de France;out
verres blancs;out
verres blancs en assortiment;out
verres brodés;out
verres bruts à cadran et à lunettes;out
verres cassés;out
verres cassés en groisil;out
verres chimiques;out
verres communs;out
verres communs à boire;out
verres communs à vitre;out
verres communs gobelets;out
verres cristallins et cuivrés;out
verres cuivrés en gobeleterie et à boire;out
verres cuivrés en table;out
verres d'Allemagne;out
verres d'Alsace;out
verres d'ambre;out
verres d'antimoine;out
verres d'Étampes;out
verres d'offre;out
verres de baromètre;out
verres de Bohème;out
verres de Bohème à boire;out
verres de bois;out
verres de cristal;out
verres de lampes;out
verres de lanternes;out
verres de Lorraine;out
verres de mer;out
verres de Saint Louis;out
verres de table;out
verres de toute sorte;out
verres du Barrois;out
verres en ???;out
verres en carreaux et à vitre;out
verres en fioles;out
verres en petits carreaux et à vitre;out
verres et verrerie;out
verres filés;out
