product_simplification,product_sitc_FR,quantity_unit_metric,mean_price,median_price,sd_price,nbobs,type,position_type,PositiondansSITC,obsolete
toile teinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.1355276,6.6394281,3.6967256,22,tissés,bas de gamme,milieu de gamme,non
étoffe de chanvre et de fil de lin en toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,5.2725315,5.2725315,0,12,tissés,bas de gamme,milieu de gamme,non
batanomes,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,4.8379607,5.1072521,3.2680898,11,tissés,bas de gamme,milieu de gamme,non
étoffe de chanvre et de lin en toile diverse,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,4.6319265,4.6319265,0.15881553,26,tissés,bas de gamme,milieu de gamme,non
toile coutil,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,6.5179782,4.5965271,7.1028743,90,tissés,bas de gamme,milieu de gamme,non
toile à serviettes,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,4.2586622,4.0858016,1.2562658,26,tissés,bas de gamme,bas de gamme,non
toile de Fougères,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,3.5478377,4.0858016,1.7323693,15,tissés,bas de gamme,bas de gamme,non
toile de Combourg,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,5.1481099,4.0858016,2.5657187,10,tissés,bas de gamme,bas de gamme,non
toile crue,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,3.9806075,4.0858016,1.8905799,67,tissés,bas de gamme,bas de gamme,non
toile grise,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,3.4815879,3.0643513,1.9937276,59,tissés,bas de gamme,bas de gamme,non
toile manouf,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,7.641726,3.0643513,6.9268317,16,tissés,bas de gamme,milieu de gamme,non
toile commune,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,4.400094,3.0643513,3.1665521,26,tissés,bas de gamme,bas de gamme,non
toile treillis,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,3.5136733,2.5536261,3.3345792,60,tissés,bas de gamme,bas de gamme,non
toile cirée,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,3.4636564,2.5536261,3.6256034,162,tissés,bas de gamme,bas de gamme,non
toile à voile,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,4.9516406,2.5536261,25.554716,255,tissés,,,non
toile de Piémont,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,2.4514811,2.247191,0.63131917,11,tissés,,,non
toile d'emballage,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,1.6514328,2.0429008,0.51692051,271,tissés,bas de gamme,bas de gamme,non
carisel,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,2.5257683,2.0429008,1.4908215,11,tissés,bas de gamme,bas de gamme,non
toile de Halle,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,2.0674157,1.9407558,0.62082005,25,tissés,bas de gamme,bas de gamme,non
toile d'étoupes,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,1.767895,1.5321757,1.0094366,26,tissés,bas de gamme,bas de gamme,non
toile serpillière,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,1.0493082,1.0214504,0.23333339,11,tissés,bas de gamme,bas de gamme,non
toile blanche et teinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,,,,,tissés,bas de gamme,milieu de gamme,oui
toile de fil de coton siamoise,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,,,,,tissés,bas de gamme,milieu de gamme,oui
toile ramoise,Autres filés ou tissés mélangés de fibres végétales dont toiles,kg,,,,,tissés,bas de gamme,milieu de gamme,oui
toile crue,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile à serviettes,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile vernante,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile d'emballage,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile blanche,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile bleue,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile caissie,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile de Levant,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
batanomes,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
mouchoirs de Rouen,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile de Killis,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
mouchoirs du Béarn,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile étroite,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
demitte,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile grise,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile cottray,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile d'antale,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile de Hollande,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile cirée,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
mouchoirs peints,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
toile étrangère,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
mouchoirs de coton et fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile à bâts,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
siamoise,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile manouf,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile serpillière,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile coutil,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile rayée,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
mouchoirs de coton et de fil,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile d'étoupes,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile abat,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile d'Antioche,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
toile embabis,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
toile commune,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
cotonnine,Autres filés ou tissés mélangés de fibres végétales dont toiles,pièces,,,,,tissés,bas de gamme,milieu de gamme,oui
indienne peinte,Autres filés ou tissés mélangés de fibres végétales dont toiles,unité manquante,,,,20,tissés,milieu de gamme,milieu de gamme,non
toile cirée et gommée,Autres filés ou tissés mélangés de fibres végétales dont toiles,unité manquante,,,,11,tissés,bas de gamme,bas de gamme,non
mouchoirs de fil et de coton,Autres filés ou tissés mélangés de fibres végétales dont toiles,unité manquante,,,,82,tissés,bas de gamme,milieu de gamme,non
velours de coton,Filés ou tissés de coton,cm,0.074451581,0.067317404,0.023713414,23,tissés,haut de gamme,haut de gamme,non
mousseline,Filés ou tissés de coton,cm,0.081486434,0.058902726,0.079254344,33,tissés,milieu de gamme,haut de gamme,non
drap de coton,Filés ou tissés de coton,cm,0.051253021,0.050488051,0.01094202,11,tissés,milieu de gamme,milieu de gamme,non
indienne de coton,Filés ou tissés de coton,cm,0.033039976,0.033658702,0.0075763008,17,tissés,milieu de gamme,haut de gamme,non
basin,Filés ou tissés de coton,cm,0.022127965,0.025244026,0.0088764075,64,tissés,milieu de gamme,milieu de gamme,non
toile blanche de coton,Filés ou tissés de coton,cm,0.026683377,0.025244026,0.004860878,19,tissés,milieu de gamme,milieu de gamme,non
toile de coton des Indes,Filés ou tissés de coton,cm,0.025817754,0.025244026,0.0093176579,11,tissés,milieu de gamme,milieu de gamme,non
toile de basin,Filés ou tissés de coton,cm,0.030292831,0.025244026,0.012938601,15,tissés,milieu de gamme,milieu de gamme,non
toile de coton,Filés ou tissés de coton,cm,0.024383374,0.023140356,0.010221774,84,tissés,milieu de gamme,milieu de gamme,non
indienne,Filés ou tissés de coton,cm,0.024981067,0.021036688,0.010927683,24,tissés,milieu de gamme,milieu de gamme,non
Nankin,Filés ou tissés de coton,cm,0.017384613,0.017128572,0.002754183,20,tissés,milieu de gamme,haut de gamme,non
cotonnades,Filés ou tissés de coton,cm,0.01763257,0.016829351,0.0031169504,66,tissés,milieu de gamme,bas de gamme,non
cotonille,Filés ou tissés de coton,cm,0.018438037,0.016829351,0.0054922183,17,tissés,milieu de gamme,milieu de gamme,non
toile guingans,Filés ou tissés de coton,cm,0.011269654,0.0084146755,0.0098155485,42,tissés,milieu de gamme,milieu de gamme,non
mousseline de coton unie et brûlée,Filés ou tissés de coton,kg,406.0799,406.0799,0,14,tissés,,,non
mousseline de coton,Filés ou tissés de coton,kg,121.61289,102.14504,88.009636,31,tissés,milieu de gamme,haut de gamme,non
mousseline,Filés ou tissés de coton,kg,88.288269,81.716034,69.331856,83,tissés,milieu de gamme,haut de gamme,non
siamoise de coton et toile de coton peinte,Filés ou tissés de coton,kg,68.003731,68.003731,0,16,tissés,milieu de gamme,bas de gamme,non
étoffe de coton,Filés ou tissés de coton,kg,44.146778,52.601177,19.96331,39,tissés,milieu de gamme,milieu de gamme,non
étoffe de coton et drap de coton et velours de coton et couvertures de coton,Filés ou tissés de coton,kg,47.148323,47.148323,0,13,tissés,milieu de gamme,milieu de gamme,non
toile de coton peinte,Filés ou tissés de coton,kg,29.707182,32.686413,6.9885874,12,tissés,milieu de gamme,milieu de gamme,non
mousseline de coton unie et peinte,Filés ou tissés de coton,kg,26.204401,25.183168,1.2581726,17,tissés,,,non
indienne de coton et toile de coton peinte,Filés ou tissés de coton,kg,21.578354,21.578354,0,12,tissés,milieu de gamme,milieu de gamme,non
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,Filés ou tissés de coton,kg,19.675583,20.707382,1.0960751,25,tissés,milieu de gamme,haut de gamme,non
velours de coton,Filés ou tissés de coton,kg,22.834793,20.429008,5.740294,152,tissés,haut de gamme,haut de gamme,non
gaze de coton et crêpe de coton et tulle de coton,Filés ou tissés de coton,kg,44.807316,20.413343,60.84111,16,tissés,haut de gamme,milieu de gamme,non
mouchoirs des Indes,Filés ou tissés de coton,kg,29.427502,16.343206,30.880287,21,tissés,milieu de gamme,haut de gamme,non
étoffe de coton et drap de coton et velours de coton,Filés ou tissés de coton,kg,15.06245,15.06245,0,15,tissés,milieu de gamme,milieu de gamme,non
toile blanche de coton,Filés ou tissés de coton,kg,13.923702,14.300306,4.3440523,23,tissés,milieu de gamme,milieu de gamme,non
étoffe de coton et de fil mélangés,Filés ou tissés de coton,kg,13.831125,13.271549,3.7346535,10,tissés,milieu de gamme,bas de gamme,non
basin,Filés ou tissés de coton,kg,11.312758,12.257405,6.953145,291,tissés,milieu de gamme,milieu de gamme,non
toile de basin,Filés ou tissés de coton,kg,11.252979,12.257405,3.3784182,30,tissés,milieu de gamme,milieu de gamme,non
toile de coton des Indes,Filés ou tissés de coton,kg,13.767376,12.257405,8.4448547,23,tissés,milieu de gamme,milieu de gamme,non
Nankin,Filés ou tissés de coton,kg,23.717495,11.920333,28.785877,47,tissés,milieu de gamme,haut de gamme,non
drap de coton et étoffe de coton,Filés ou tissés de coton,kg,13.232519,11.51976,1.8194565,25,tissés,milieu de gamme,milieu de gamme,non
salemporis,Filés ou tissés de coton,kg,20.283644,11.235954,27.216522,14,tissés,milieu de gamme,haut de gamme,non
futaine,Filés ou tissés de coton,kg,8.1716032,10.214504,2.6448555,23,tissés,milieu de gamme,bas de gamme,non
toile de coton,Filés ou tissés de coton,kg,10.833697,10.214504,5.5276437,253,tissés,milieu de gamme,milieu de gamme,non
toile de coton à fleurs,Filés ou tissés de coton,kg,9.1930542,9.1930542,1.0668703,12,tissés,,,non
limeneas,Filés ou tissés de coton,kg,24.671957,9.1930542,22.533138,13,tissés,milieu de gamme,haut de gamme,non
indienne de coton et siamoise de coton et toile de coton peinte,Filés ou tissés de coton,kg,33.420235,8.213068,33.609554,16,tissés,milieu de gamme,haut de gamme,non
indienne,Filés ou tissés de coton,kg,12.024514,8.1716032,10.384874,75,tissés,milieu de gamme,milieu de gamme,non
mouchoirs de coton,Filés ou tissés de coton,kg,20.697317,8.1716032,22.250702,118,tissés,milieu de gamme,milieu de gamme,non
toile guingans,Filés ou tissés de coton,kg,6.8871298,7.1501532,4.6302071,120,tissés,milieu de gamme,milieu de gamme,non
cotonnée,Filés ou tissés de coton,kg,7.8197703,6.1287026,11.873733,90,tissés,milieu de gamme,bas de gamme,non
cotonnades,Filés ou tissés de coton,kg,5.9596348,6.1287026,2.0717494,29,tissés,milieu de gamme,bas de gamme,non
ajamis,Filés ou tissés de coton,kg,9.1873798,4.0858016,7.7103071,18,tissés,milieu de gamme,bas de gamme,non
demitte,Filés ou tissés de coton,kg,4.0653725,2.5536261,3.3918035,10,tissés,,,non
mousseline de coton unies et brûlées,Filés ou tissés de coton,kg,,,,,tissés,milieu de gamme,haut de gamme,oui
cotonné de coton,Filés ou tissés de coton,kg,,,,,tissés,milieu de gamme,bas de gamme,oui
mousseline de coton unies et peintes,Filés ou tissés de coton,kg,,,,,tissés,milieu de gamme,haut de gamme,oui
limeneas,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
percale,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
guinée bleue,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,bas de gamme,oui
toile d'aman,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mouchoirs de coton de France,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
salemporis blanc,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
basin,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
nicanéas,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
guinée,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mouchoirs de Pondichéry,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
salemporis,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
mouchoirs de Bengale,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
guinée blanche,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
cotonnée,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,bas de gamme,oui
coupis,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
baffetas blanc,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
nicanéas petits,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
Nankin,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
mouchoirs des Indes,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
toile guingans,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile corot,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile blanche de coton,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
sanas,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
basin des Indes,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
garas bleu,Filés ou tissés de coton,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
bajutapau,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
escamitte,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,bas de gamme,oui
salemporis bleu,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
chillas,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile de coton des Indes,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
chitte,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
ajamis,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,bas de gamme,oui
baffetas bleu,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,bas de gamme,oui
garas blanc,Filés ou tissés de coton,pièces,,,,,tissés,bas de gamme,bas de gamme,oui
mouchoirs d'indienne,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mouchoirs de Masulipatan,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
nicanéas grands,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mousseline,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
fottes,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile chasselas,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile d'Alep,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile de coton,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mouchoirs de mousseline,Filés ou tissés de coton,pièces,,,,,tissés,haut de gamme,haut de gamme,oui
toile guingans de Madras,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
bétilles,Filés ou tissés de coton,pièces,,,,,tissés,haut de gamme,haut de gamme,oui
mouchoirs de coton,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile de basin,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
indienne,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
neganepeau,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mouchoirs de coton des Indes,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,haut de gamme,oui
romals,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
cotonnades,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,bas de gamme,oui
toile guingans de Pondichéry,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
toile des Indes,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
mouchoirs Masulipatan,Filés ou tissés de coton,pièces,,,,,tissés,haut de gamme,haut de gamme,oui
mouchoirs romals,Filés ou tissés de coton,pièces,,,,,tissés,milieu de gamme,milieu de gamme,oui
étoffe de coton et de fil,Filés ou tissés de coton,unité manquante,,,,12,tissés,,,non
mousseline de coton et Nankin des Indes,Filés ou tissés de coton,unité manquante,,,,21,tissés,milieu de gamme,haut de gamme,non
mousseline de coton et Nankin,Filés ou tissés de coton,unité manquante,,,,11,tissés,milieu de gamme,haut de gamme,non
mouchoirs de coton et fil de coton,Filés ou tissés de coton,unité manquante,,,,16,tissés,bas de gamme,milieu de gamme,non
étoffe et gaze et crêpe et tulle,Filés ou tissés de coton,unité manquante,,,,10,tissés,milieu de gamme,milieu de gamme,non
batiste,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.06485711,0.067317404,0.027396865,105,tissés,milieu de gamme,haut de gamme,non
batiste de fil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.050488051,0.050488051,0,11,tissés,milieu de gamme,haut de gamme,non
batiste de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.041652642,0.050488051,0.01297276,15,tissés,milieu de gamme,haut de gamme,non
toile fine de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.034500167,0.029451363,0.0085996352,10,tissés,milieu de gamme,haut de gamme,non
toile royale,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.036893092,0.023140356,0.0641362,40,tissés,milieu de gamme,haut de gamme,non
toile de Bretagne hauts brins,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.018646155,0.021036688,0.0098827761,22,tissés,bas de gamme,milieu de gamme,non
toile de lin,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.022029825,0.021036688,0.0096789431,41,tissés,bas de gamme,milieu de gamme,non
toile de lin blanche,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.022639483,0.021036688,0.0085685393,21,tissés,bas de gamme,milieu de gamme,non
toile large,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.017355267,0.018933019,0.003297142,24,tissés,bas de gamme,milieu de gamme,non
toile de Bretagne large,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.016280059,0.017881185,0.0061708405,72,tissés,bas de gamme,milieu de gamme,non
toile de Bretagne de ménage,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.014752826,0.016829351,0.0042114528,31,tissés,bas de gamme,bas de gamme,non
coutil,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.02075519,0.016829351,0.011228906,139,tissés,bas de gamme,milieu de gamme,non
toile de Bretagne blanche,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.015908996,0.016829351,0.0057978248,16,tissés,bas de gamme,milieu de gamme,non
toile de chanvre,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.015535594,0.014094581,0.0060876147,40,tissés,bas de gamme,bas de gamme,non
toile de Morlaix,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.010131541,0.012622013,0.0046317056,62,tissés,bas de gamme,bas de gamme,non
toile de Laval,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.014184372,0.012622013,0.0063214754,82,tissés,bas de gamme,bas de gamme,non
toile de Bretagne,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.013161892,0.012622013,0.0064045941,113,tissés,bas de gamme,bas de gamme,non
toile de Bretagne crée large,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.012216578,0.011780545,0.0029137633,55,tissés,bas de gamme,bas de gamme,non
toile de Bretagne gratienne,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.011755302,0.011780545,0.0011480178,50,tissés,bas de gamme,bas de gamme,non
toile rousse,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.011890302,0.011359812,0.0043172389,23,tissés,bas de gamme,bas de gamme,non
toile crée large,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0094402134,0.010939077,0.0055713602,32,tissés,bas de gamme,bas de gamme,non
toile de ménage,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.012455934,0.010518344,0.0044714338,38,tissés,bas de gamme,bas de gamme,non
toile de Bretagne entre large,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.010243952,0.010518344,0.0038259416,23,tissés,bas de gamme,bas de gamme,non
toile de Bretagne d'Olonne,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.010295602,0.010518344,0.001191108,17,tissés,bas de gamme,bas de gamme,non
toile de Cholet,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.011019218,0.010518344,0.0048841718,21,tissés,bas de gamme,bas de gamme,non
toile de Bretagne étroite,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0105752,0.010518344,0.0040098112,74,tissés,bas de gamme,bas de gamme,non
toile de Bretagne diverse,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.012481768,0.010518344,0.0051963339,27,tissés,bas de gamme,bas de gamme,non
toile de Bretagne à carreaux,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0090983678,0.0084146755,0.0021998666,32,tissés,bas de gamme,bas de gamme,non
toile de Bretagne de 4 fils,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0092280935,0.0084146755,0.003249146,15,tissés,bas de gamme,bas de gamme,non
toile de Bretagne rousse,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0090157231,0.0084146755,0.0019920571,14,tissés,bas de gamme,bas de gamme,non
toile de Bretagne crue,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0084988223,0.0084146755,0.0010074208,10,tissés,bas de gamme,bas de gamme,non
toile à carreaux,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.016651347,0.0084146755,0.038016673,26,tissés,bas de gamme,milieu de gamme,non
toile écrue,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0068158871,0.0075732074,0.0067835483,10,tissés,,,non
toile de Bretagne rosconne,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0079174442,0.0075732074,0.001055342,44,tissés,bas de gamme,bas de gamme,non
toile de Languenan,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0075919069,0.0075732074,0.0028605333,45,tissés,bas de gamme,bas de gamme,non
toile de Saintonge,"Filés ou tissés de fibre végétale non mélangée (lin, chanvre, jute, etc.)",cm,0.0069654812,0.007152474,0.0024817898,27,tissés,bas de gamme,bas de gamme,non
