simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
sanitaires,3,,non,739563
santal,0,,oui,739563
santal Blanc,0,,oui,739563
santal blanc,0,,oui,739563
santal citrin,0,,oui,739563
santal moulu,0,,oui,739563
santal rouge,0,,oui,739563
santnaires,0,,oui,739563
santuaire,0,,oui,739563
sapan,1,,non,739563
sapeline,0,,non,739563
saphirs taillés,1,,non,739563
sapien violet,1,,non,739563
sapin,33,,non,739563
sapin à bâtir,1,,non,739563
sapin à faire aviron,1,,non,739563
sapin à faire chevrons,1,,non,739563
sapin à faire comble,22,,non,739563
sapin à faire échelles,41,,non,739563
sapin à faire escabelle,3,,non,739563
sapin à faire gaffe,27,,non,739563
sapin à faire manches de pioches,1,,non,739563
sapin à pioches,32,,non,739563
sapin anspects,1,,non,739563
sapin comble,3,,non,739563
sapin en bloc,2,,non,739563
sapin petit,3,,non,739563
saquins,3,,non,739563
sarcelé,1,,non,739563
sarcelles,1,,non,739563
sardes,1,,non,739563
sardi de laine,1,,non,739563
sardinals,2,,non,739563
sardine,0,,oui,739563
sardines,276,,non,739563
sardines à l'huile,5,,non,739563
sardines apprêtées,3,,non,739563
sardines confites,5,,non,739563
sardines confites au vinaigre,1,,non,739563
sardines confites dans l'huile,4,,non,739563
sardines en saumure,1,,non,739563
sardines fraîches,11,,non,739563
sardines marinées et salées,3,,non,739563
sardines pressées,25,,non,739563
sardines pressées de Bretagne,2,,non,739563
sardines pressées et salées,5,,non,739563
sardines salées,237,,non,739563
sareaux de toile,3,,non,739563
sarge,0,,oui,739563
sarge de Poitou,0,,oui,739563
sarge de Saint-Maixant,0,,oui,739563
sarge de soie,0,,oui,739563
sarge du Languedoc,0,,oui,739563
sargette,0,,oui,739563
sargette fine,0,,oui,739563
sargue,0,,oui,739563
sargue de fil et de laine,0,,oui,739563
sarions d'Eparts,0,,oui,739563
sarrions d'espars,2,,non,739563
sassafars,1,,oui,739563
sassafras,147,,non,739563
sasses,23,,non,739563
satin,127,,non,739563
satin à fleurs,3,,non,739563
satin blanc,3,,non,739563
satin blanc uni,0,,oui,739563
satin broché,3,,non,739563
satin broché en or,1,,non,739563
satin brodé,8,,non,739563
satin brodé couleur de paille,2,,non,739563
satin brodé de la Chine,2,,non,739563
satin brodé en or,1,,non,739563
satin brodé en soie de couleur,2,,non,739563
satin brodé en soie et or,2,,non,739563
satin brodé lit complet,2,,non,739563
satin brodé morceaux,2,,non,739563
satin brodé tapis,2,,non,739563
satin brodé toilette,2,,non,739563
satin de Chine,1,,non,739563
satin de Florence,1,,non,739563
satin de Florence et de Gênes,1,,non,739563
satin de laine,3,,non,739563
satin de laine de Roubaix,2,,non,739563
satin de laine et serge,1,,non,739563
satin de laine turc,17,Lainage,non,9878
satin de laine turc et serge,1,,non,739563
satin de retour,0,,oui,739563
satin de retour faute de vente,1,,non,739563
satin de soie,58,Soie,non,9986
satin des Indes,3,,non,739563
satin fil,2,,non,739563
satin gris,1,,non,739563
satin imprimé de laine,1,,non,739563
satin noir,1,,non,739563
satin pur coton,2,,non,739563
satin pur soie,1,,non,739563
satin rayé,12,,non,739563
satin soie en fil,1,,non,739563
satin soie et coton,1,,non,739563
satin soie et fil,2,,non,739563
satin turc,9,,non,739563
satin uni,12,,non,739563
satin uni et rayé,1,,non,739563
satinade,4,,non,739563
satinette,5,,non,739563
satinette de coton,1,Coton de toute espèce,non,10317
satinette de laine,3,Lainage,non,9878
satissoie,1,,non,739563
satte,1,,non,739563
Saturne,0,,oui,739563
Saturne en extrait,1,,non,739563
saucisses,20,,non,739563
saucisses de Boulogne,5,,non,739563
saucissons,420,,non,739563
saucissons salés,16,,non,739563
saude,1,,oui,739563
sauge,2,,non,739563
saule de fer,2,,non,739563
saulx,2,,non,739563
saumon,55,,non,739563
saumon d'Écosse,4,,non,739563
saumon en daube,3,,non,739563
saumon frais,219,,non,739563
saumon fumé,165,,non,739563
saumon madré,1,,oui,739563
saumon mariné,6,,non,739563
saumon mariné et salé,19,,non,739563
saumon salé,1064,,non,739563
saumon salé et mariné,1,,oui,739563
saumon salé et séché,5,,non,739563
saumon sec,1,,oui,739563
saumon séché,1,,non,739563
saumonée,4,,non,739563
saumoule,0,,oui,739563
saumure,103,,non,739563
saumure salée,1,,non,739563
sauphas,1,,non,739563
saur,1,,non,739563
sauvagines,1,,non,739563
savine,2,,non,739563
savoine languine,1,,non,739563
savon,2200,,non,739563
savon blanc,90,,non,739563
savon blanc et marbré,131,,non,739563
savon blanc noir rouge marbré,2,,non,739563
savon d'Alicante,23,,non,739563
savon d'Espagne,1,,non,739563
savon de Gênes,1,,non,739563
savon de Marseille,18,,non,739563
savon de retour,1,,non,739563
savon de terre,1,,non,739563
savon et pruneaux,4,,non,739563
savon et sirop de sucre,1,,non,739563
savon et sucre,1,,non,739563
savon et verdet,4,,non,739563
savon et vert-de-gris,0,,oui,739563
savon gras,2,,non,739563
savon madré,83,,non,739563
savon marbré,250,,non,739563
savon mol,4,,non,739563
savon noir,211,,non,739563
savon vert,4,,non,739563
savonnettes,381,,non,739563
savonnettes de senteur,13,,non,739563
saye,0,,oui,739563
saye blanche,0,,oui,739563
saye blanche sans apprêt,0,,oui,739563
saye de Bruges,0,,oui,739563
saye de Liège,0,,oui,739563
saye teinte,0,,oui,739563
saye teinte aune,0,,oui,739563
sayessa,3,,non,739563
sayne,14,,non,739563
sayns,0,,oui,739563
scammonée,191,,non,739563
scammonnée,0,,oui,739563
scapa,1,,non,739563
scaps,4,,non,739563
sceaux de sapin,0,,oui,739563
schakos,2,,non,739563
schakos garnis,2,,non,739563
schakos sans garniture,2,,non,739563
scie ?,1,,oui,739563
scielle,1,,non,739563
scies,113,,non,739563
scies ?,0,,non,739563
scies à moulu,1,,non,739563
scies communes,4,,non,739563
scies de fer,23,,non,739563
scies de long,1,,non,739563
scies fines,4,,non,739563
scies pour la Compagnie des Indes,1,,non,739563
scille maritime,4,,non,739563
scinque,1,,non,739563
scortins d'auf,1,,non,739563
sculptures,16,,non,739563
seamonnée,0,,oui,739563
seau à l'eau de sapin,0,,oui,739563
seau de Martre,0,,oui,739563
seaux,7,,non,739563
seaux à l'eau,1,,non,739563
seaux à l'eau de sapin,1,,non,739563
seaux cerclés de fer,2,,non,739563
seaux d'eau,1,,non,739563
seaux de bois,72,,non,739563
seaux de bois ferré,1,,non,739563
seaux de cuir,7,,non,739563
seaux de faïence,1,,non,739563
seaux de fer-blanc,1,,non,739563
seaux de sapin,9,,non,739563
seaux de veau,1,,non,739563
seaux de verre,1,,non,739563
seaux de vin,1,,non,739563
seaux ferrés,1,,non,739563
sébeste,49,,non,739563
secrétaire,6,,non,739563
secrétaire d'acajou,4,,non,739563
secrétaire de noyer,2,,non,739563
sege de Saint-Louis,2,,non,739563
segrin,1,,non,739563
seigle,1,,non,739563
seil de bois,1,,oui,739563
seil de grain,3,,oui,739563
seil de grains,0,,oui,739563
seilles de bois,0,,oui,739563
seivadille,0,,oui,739563
sel,13250,,non,739563
sel amine,1,,non,739563
sel ammoniac en grabeau,7,,non,739563
sel ammonisé,4,,non,739563
sel antarctique,8,,non,739563
sel arctique,2,,non,739563
sel artique,0,,oui,739563
sel blanc,144,,non,739563
sel blanc pour la pêche,2,,non,739563
sel chimique,303,,non,739563
sel chimique de Glauber,4,,non,739563
sel chimique de lait,2,,non,739563
sel chimique de nitre,2,,non,739563
sel chimique en gemme,0,,oui,739563
sel chimique gemme,5,,non,739563
sel commun,1,,non,739563
sel composé,3,,non,739563
sel d'absinthe (alsem),4,,non,739563
sel d'alsem,1,,non,739563
sel d'ammoniac,515,,non,739563
sel d'ammoniac brut ou en poudre,20,,non,739563
sel d'ammoniac raffiné,25,,non,739563
sel d'Angleterre,33,,non,739563
sel d'antimoine,2,,non,739563
sel d'Epsom,208,,non,739563
sel d'Epsom et Glauber,1,,non,739563
sel d'Espagne,9,,non,739563
sel d'étain,1,,non,739563
sel d'Oléron,42,,non,739563
sel d'Oléron de Ré,1,,non,739563
sel d'Olonne,2,,non,739563
sel d'opium,7,,non,739563
sel d'orseille,0,,oui,739563
sel d'oseille,11,,non,739563
sel de,1,,non,739563
sel de baryte,1,,non,739563
sel de boue,1,,non,739563
sel de Bourgneuf,160,,non,739563
sel de Bretagne,1,,non,739563
sel de carabé,1,,non,739563
sel de caret,1,,non,739563
sel de chimie,1,,non,739563
sel de corne de cerf,1,,non,739563
sel de duobus,0,,oui,739563
sel de fat ???,0,,non,739563
sel de Franche-Comté,1,,non,739563
sel de gemme,0,,oui,739563
sel de Glauber,58,,non,739563
sel de gruau,3,,non,739563
sel de grum,2,,non,739563
sel de lait,13,,non,739563
sel de Lorraine,1,,non,739563
sel de marais,2,,non,739563
sel de Marennes,21,,non,739563
sel de mer,19,,non,739563
sel de mer et de salins,35,,non,739563
sel de nitre,14,,non,739563
sel de paume,2,,non,739563
sel de plomb,1,,non,739563
sel de potasse,4,,non,739563
sel de prunelle,2,,non,739563
sel de Prusse,1,,non,739563
sel de Ré,111,,non,739563
sel de roche,4,,non,739563
sel de Rocq,4,,non,739563
sel de Saint-Gilles,1,,non,739563
sel de Saint-Hubert ou du Portugal,3,,non,739563
sel de samoine,2,,non,739563
sel de Saturne,2,,non,739563
sel de Saturne et autres,7,,oui,739563
sel de sauvene,5,,non,739563
sel de Seignette,3,,non,739563
sel de seignette,0,,oui,739563
sel de Seignette policreste et Glauber,5,,non,739563
sel de seignette policreste et Glauber,0,,oui,739563
sel de tamarin,17,,non,739563
sel de tartaric,1,,non,739563
sel de tartre,8,,non,739563
sel de tartre émétique,1,,non,739563
sel de verre,14,,non,739563
sel de vitriol,4,,non,739563
sel des mines anglaises,1,,non,739563
sel des prises,3,,non,739563
sel des sables d'Olonne,1,,non,739563
sel dit beggere,2,,non,739563
sel du Croisic,209,,non,739563
sel du Poulinguen,62,,non,739563
sel du Sable d'Olonne,1,,non,739563
sel duobus,0,,oui,739563
sel émétique,1,,non,739563
sel en boue,6,,non,739563
sel en gemme,0,,oui,739563
sel en gomme,1,,non,739563
sel en grabeau,1,,non,739563
sel en grain,4,,non,739563
sel en lest,1,,non,739563
sel en pain,1,,non,739563
sel en tonne,29,,non,739563
sel gemme,47,,non,739563
sel Glauber,6,,non,739563
sel gris,84,,non,739563
sel gruau,1,,non,739563
sel grum,10,,non,739563
sel marin de marais,5,,non,739563
sel marin gemme,3,,non,739563
sel médicinal,48,,non,739563
sel médicinal divers,4,,non,739563
sel minéral,11,,non,739563
sel misay,1,,non,739563
sel mistry,22,,non,739563
sel ordinaire,32,,non,739563
sel oxalate aide de potasse (sel d'oseille),1,,non,739563
sel peccain,2,,non,739563
sel policreste,1,,non,739563
sel policreste et d'Epsom,18,,non,739563
sel pour la pêche,3,,non,739563
sel pour la pêche libre,12,,non,739563
sel purgatif,1,,non,739563
sel regerat,1,,non,739563
sel Saturne,0,,oui,739563
sel sublimé,2,,non,739563
sel sucsin,3,,non,739563
sel sulfates de magnésie,0,,oui,739563
sel sulfates de soude,32,,oui,739563
sel sulfates de soudes,32,,non,739563
sel tartre émétique,0,,oui,739563
sel teint,1,,non,739563
sel végétal,3,,non,739563
sel vieux,2,,non,739563
sel volatil,5,,non,739563
sellerie,41,Sellerie,non,168
sellerie commune,1,,non,739563
sellerie de cuir,54,,non,739563
sellerie en harnais,1,,non,739563
selles,210,,non,739563
selles avec leurs harnais,1,,non,739563
selles communes,7,,non,739563
selles de bois,3,,non,739563
selles de cuir,1,,non,739563
selles de femme,2,,non,739563
selles de fer,1,,non,739563
selles de maître,1,,non,739563
selles de poste,1,,non,739563
selles de sapin,1,,non,739563
selles de velours,116,Sellerie,non,168
selles garnies de velours,1,,non,739563
selles neuves,1,,non,739563
selles vieilles,2,,non,739563
sellet et télescope,1,,non,739563
selleterie commune,0,,oui,739563
selliers,3,,non,739563
sels,0,,oui,739563
semble de moissar,1,,non,739563
semé,6,,oui,739563
semelles et talons,1,,non,739563
semen contra,146,,non,739563
semen dacy,3,,non,739563
semence de Caroy,1,,non,739563
semence de perles,1,,non,739563
semence écarlate,1,,non,739563
semence froide,22,,non,739563
semencine,13,,non,739563
semenconna,1,,non,739563
semoirs,1,,non,739563
semoule,99,,non,739563
sempiterne,27,,non,739563
sendaline,2,,non,739563
séné,645,,non,739563
séné en follicule,3,,oui,739563
séné en grabeau,157,,non,739563
senes,0,,oui,739563
sennes,43,,non,739563
sennes à pêcher,0,,oui,739563
senobre,4,,non,739563
sequins,16,,non,739563
sequins par Marseille,1,,non,739563
serains,1,,non,739563
serans,4,,non,739563
serans à peigner,1,,non,739563
serans à peigner le lin,4,,non,739563
séraphine,1,,non,739563
sercliers,1,,non,739563
serencontra,0,,oui,739563
serge,75,,non,739563
serge ???,2,,non,739563
serge 1/2 Londres,1,,non,739563
serge à doubler,87,,non,739563
serge à doubler et drap,2,,non,739563
serge à doubler et drapée,7,,non,739563
serge à draper,2,,non,739563
serge à fleurs,1,,non,739563
serge aune blanche,1,,oui,739563
serge aune commune,1,,oui,739563
serge aune commune teinte,1,,oui,739563
serge aune d'Angleterre,1,,oui,739563
serge aune drapée,1,,oui,739563
serge aune teinte,1,,oui,739563
serge blanche,18,,non,739563
serge Blicourt,1,,non,739563
serge commune,37,,non,739563
serge commune aune,0,,oui,739563
serge commune teinte,23,,non,739563
serge croisée,2,,non,739563
serge croisée de laine,1,,non,739563
serge d'Angleterre,5,,non,739563
serge d'Arnetal,6,,non,739563
serge d'Aumale,30,,non,739563
serge d'Aumale de laine,2,,non,739563
serge d'Aumale imprimée,2,,non,739563
serge de ??? commune,1,,non,739563
serge de Blicourt,9,,oui,739563
serge de Bruxelles,1,,non,739563
serge de fil et de laine,6,,non,739563
serge de fil et laine,1,,non,739563
serge de laine,785,Lainage,non,9878
serge de laine ???,4,,non,739563
serge de laine Aumale,0,,oui,739563
serge de laine Blicourt,2,,non,739563
serge de laine d'Aumale,6,,non,739563
serge de laine de Blicourt,9,,non,739563
serge de laine de Rome,1,,non,739563
serge de laine de Rouen,1,,non,739563
serge de laine diverse,6,,non,739563
serge de laine drapée,2,,non,739563
serge de laine et de soie,1,,non,739563
serge de laine étroite,2,,non,739563
serge de laine forte,1,,non,739563
serge de laine imprimée,3,,non,739563
serge de laine large,3,,non,739563
serge de laine Minorque,6,,non,739563
serge de laine noire,1,,non,739563
serge de laine pour ???,0,Lainage,oui,9878
serge de laine sagati,2,,non,739563
serge de laine voile,6,,non,739563
serge de Lille,27,,non,739563
serge de Londres et autres,8,,non,739563
serge de Montauban,17,,non,739563
serge de Nîmes,119,,non,739563
serge de Nîmes aune,1,,oui,739563
serge de Poitou,1,,non,739563
serge de Rome,4,,non,739563
serge de Rouen,1,,non,739563
serge de Saint-Maixant,0,,oui,739563
serge de Saint-Maixent,5,,non,739563
serge de Savoie,1,,non,739563
serge de soie,12,,non,739563
serge des prise,0,,oui,739563
serge des prises,6,,non,739563
serge diverse,6,,oui,739563
serge double,4,,non,739563
serge drap,1,,non,739563
serge drapée,84,,non,739563
serge drapée à doubler,3,,non,739563
serge drapée de laine,1,,non,739563
serge drapée et de laine,5,,non,739563
serge du Languedoc,7,,non,739563
serge du pays,1,,non,739563
serge écarlate,1,,non,739563
serge écarlatine,2,,non,739563
serge et prunelle de laine étroite,3,,non,739563
serge étroite,2,,oui,739563
serge fil et laine,1,,non,739563
serge forte,5,,non,739563
serge imprimée,151,,non,739563
serge imprimée aune,1,,oui,739563
serge imprimée d'Aumale,1,,non,739563
serge large,3,,oui,739563
serge Minorque,3,,non,739563
serge noire,1,,oui,739563
serge sagati,2,,oui,739563
serge sergette,1,,non,739563
serge teinte,20,,non,739563
serge verte,1,,non,739563
serge voile,2,,oui,739563
sergette,10,,non,739563
sergette de laine,5,,non,739563
sergette de Montauban,7,,non,739563
sergette des prises,3,,non,739563
sergette fine,1,,non,739563
sergette Maine,2,,non,739563
serinettes,61,,non,739563
serinettes ouvrées,1,,non,739563
seringues,14,,non,739563
seringues d'étain,19,,non,739563
serisaffs,1,,non,739563
serizes,0,,oui,739563
serlecan brodé,1,,non,739563
serpentera virgina,1,,non,739563
serpentin à distiller,1,,non,739563
serpentine,3,,non,739563
serpentine à distiller l'eau-de-vie,1,,non,739563
serpents,4,,non,739563
serpes,12,,non,739563
serpes de fer,6,,non,739563
serratille,1,,non,739563
serrure de bois,3,,non,739563
serrure de cuivre,8,,non,739563
serrure de fer,1,,non,739563
serrure petite,1,,non,739563
serrure pour canevettes,1,,non,739563
serrure pour faucettes,0,,oui,739563
serrure pour fossettes,0,,non,739563
serrures de cuivre,6,,oui,739563
serrures de fer,1,,oui,739563
serrures pour fossettes,1,,oui,739563
service de garde-côte,3,,non,739563
service de porcelaine,1,,non,739563
service de roi,2,,oui,739563
service de tables,48,,non,739563
service de tables argenté et doré et d'osier,1,,non,739563
serviettes,140,,non,739563
serviettes à nappes,1,,non,739563
serviettes communes,6,,non,739563
serviettes d'étoupes,1,,non,739563
serviettes de lin,1,,non,739563
serviettes de table,2,,non,739563
serviettes de toile,2,,non,739563
serviettes de toile de ménage,1,,non,739563
serviettes de toile peinte,1,,non,739563
serviettes découpées,76,,non,739563
serviettes et nappes,1,,non,739563
serviettes et nappes de toile peinte,1,,non,739563
serviettes et nappes des Indes,1,,non,739563
serviettes ouvrées,7,,non,739563
serviettes ouvrées de toile,1,,non,739563
sevagagis,1,,non,739563
sevan de cuir de Russie,1,,non,739563
Sèvres,1,,non,739563
shetas des Indes,1,,non,739563
siagne,2,,non,739563
siague,1,,non,739563
siamoise,852,,non,739563
siamoise à bouquet de coton,1,,non,739563
siamoise à bouquets de laine de coton et de fil,4,,non,739563
siamoise à bouquets de laine de fil,1,,non,739563
siamoise à fleurs,41,,non,739563
siamoise à fleurs de soie,0,,non,739563
siamoise à peu,0,,oui,739563
siamoise à peu de soie,70,,non,739563
siamoise au quart de soie,2,,non,739563
siamoise au sixième de soie,9,,non,739563
siamoise blanche de coton,1,,non,739563
siamoise blanche de coton et de fil,2,,non,739563
siamoise brochée de coton et de fil,2,,non,739563
siamoise commune,18,,non,739563
siamoise de coton,5,,non,739563
siamoise de coton au quart de soie,1,,non,739563
siamoise de coton au sixième de soie,1,,non,739563
siamoise de coton et de fil,241,Coton de toute espèce,non,10317
siamoise de coton et de fil et imprimée,2,,non,739563
siamoise de coton et de fil et teinte,2,,non,739563
siamoise de coton et de fil imprimée,3,,non,739563
siamoise de coton et de fil unie,4,,non,739563
siamoise de coton et toile de coton peinte,16,,non,739563
siamoise de coton imprimée,5,,non,739563
siamoise de coton teinte,1,,non,739563
siamoise de fil à bouquets de laine,0,,oui,739563
siamoise de fil et teinte,0,,oui,739563
siamoise de fil imprimée,1,,non,739563
siamoise de fil peinte,2,,non,739563
siamoise de fil rayée,1,,non,739563
siamoise de fil simple,1,,non,739563
siamoise de fil teinte,2,,non,739563
siamoise de Rouen,8,,non,739563
siamoise de soie,9,,non,739563
siamoise en crin,1,,non,739563
siamoise fil coton,1,,non,739563
siamoise fil de coton,1,,non,739563
siamoise fine,5,,non,739563
siamoise imprimée,9,,non,739563
siamoise imprimée et de fil,0,,oui,739563
siamoise teinte,4,,non,739563
sicader,1,,non,739563
sigle vis de laine,1,Lainage,non,9878
simaboura,0,,oui,739563
simarouba,17,,non,739563
simenontrea,0,,oui,739563
simples,1,,non,739563
sinabre,1,,non,739563
siné,0,,oui,739563
singalette,1,,non,739563
singe,14,,non,739563
siomedes,1,,non,739563
siragondis,1,,non,739563
siraménéas,0,,oui,739563
sirop,2209,,non,739563
sirop à boire,2,,non,739563
sirop brut,1,,non,739563
sirop calbasse,1,,non,739563
sirop d'alkermès,109,,non,739563
sirop d'altea,1,,non,739563
sirop d'amont,28,,non,739563
sirop d'amour,3,,non,739563
sirop d'orgeat,8,,non,739563
sirop d'orgeat au fiasque,4,,non,739563
sirop de Calabre,1,,non,739563
sirop de calbasse,2,,non,739563
sirop de capillaire,628,,non,739563
sirop de capillaire et autre composés,67,,non,739563
sirop de capitaine,9,,non,739563
sirop de cédrat,2,,non,739563
sirop de citron,1,,non,739563
sirop de coriandre,1,,non,739563
sirop de framboise,1,,non,739563
sirop de l'étranger,0,,non,739563
sirop de limon,56,,non,739563
sirop de mélasse,794,,non,739563
sirop de mûre,1,,non,739563
sirop de raffinerie,3,,non,739563
sirop de sucre,253,,non,739563
sirop de sucre candi,2,,non,739563
sirop de vinaigre,9,,non,739563
sirop de violette,2,,non,739563
sirop des Indes,70,,non,739563
sirop et sucre,9,,non,739563
sirop fin,45,,non,739563
sirop fin et mélasse,3,,non,739563
sirop fins et sucre,9,,non,739563
sirop médicinal,1,,non,739563
sirop mélasse,23,,non,739563
sirop ou jus de cerise et de grenade avec nourritures,0,,oui,739563
sirop ou jus de cerise et de grenades,0,,oui,739563
sirop terré,1,,non,739563
sirops,0,,oui,739563
sistes condales,1,,non,739563
sistresaye,15,,non,739563
sivadille,12,,non,739563
slatille des Indes,4,,oui,739563
slin de laine,1,,non,739563
smalte,5,,non,739563
soberton,1,,non,739563
socle de fer,1,,non,739563
socreton,5,,non,739563
socrotour,1,,non,739563
socs,3,,non,739563
socs de charrues,6,,non,739563
socs de fer,3,,non,739563
soie,594,Soie,non,9986
soie à broder,2,,non,739563
soie à coudre,322,Soie,non,9986
soie à coudre teinte,120,,non,739563
soie à tricoter,1,,non,739563
soie apprêtée,392,Soie,non,9986
soie ardasse,2,,non,739563
soie ardassine,1,,non,739563
soie blanche,117,,non,739563
soie blanche à l'aune,1,,oui,739563
soie blanche sans apprêt,8,,non,739563
soie blanche sans apprêt à l'aune,1,,oui,739563
soie bourre cardée en feuilles et ouates,1,,non,739563
soie bourre écrue,1,,non,739563
soie bourre écrue en masse,2,,non,739563
soie bourre écrue et teinte,1,,non,739563
soie bourre écrue filée moulinée,1,,non,739563
soie bourre écrue filée non moulinée,1,,non,739563
soie bourre en masse teinte,1,,non,739563
soie bourre filée fleuret écru,1,,non,739563
soie bourre filée fleuret teint,1,,non,739563
soie bourre filée-fleuret en masse,1,,non,739563
soie bourre fleuret écru et teint,1,,non,739563
soie brousse,5,,non,739563
soie Canton,1,,non,739563
soie cendre,1,,non,739563
soie cocon,1,,non,739563
soie cocons perus,1,,non,739563
soie commune,2,,non,739563
soie crue,569,,non,739563
soie crue organsine,1,,non,739563
soie de ???,1,,non,739563
soie de Bruges,7,,non,739563
soie de charrues,1,,non,739563
soie de Chypre,1,,non,739563
soie de fleuret,1,,non,739563
soie de la chaîne,1,Soie,non,9986
soie de laine,1,,non,739563
soie de Liège,6,,non,739563
soie de Nankin,39,Soie,non,9986
soie de porcs,296,,non,739563
soie de porcs ???,2,,non,739563
soie de porcs et soie de sanglier,91,,non,739563
soie de porcs étrangère,1,,non,739563
soie de porcs ouvré,3,,non,739563
soie de Provence,2,,non,739563
soie de sanglier,7,Soie,non,9986
soie de toile,4,,non,739563
soie de toile vieille,2,,non,739563
soie de Zagora,1,,non,739563
soie des Indes,6,Soie,non,9986
soie des pays étrangers,1,,non,739563
soie dite filoselle,1,,oui,739563
soie dite fleuret,1,,oui,739563
soie du Bengale,2,,non,739563
soie écrue,11,Soie,non,9986
soie écrue moulinée,1,,non,739563
soie écrue moulinée doupion,1,,non,739563
soie en bourre,1,,oui,739563
soie en cocon,6,,non,739563
soie en cocons et en estrasse,0,,non,739563
soie en estrasse,74,,non,739563
soie en étoupes,4,,non,739563
soie en fleuret,5,,non,739563
soie en laine,1,,non,739563
soie en masses,1,,non,739563
soie en rames,15,,non,739563
soie en strasse,1,,oui,739563
soie en suaze,0,,non,739563
soie étoupe,0,,oui,739563
soie étoupes,6,,non,739563
soie exportée de Marseille,1,,non,739563
soie filée,0,,oui,739563
soie fleuret ???,0,,non,739563
soie floche,3,,non,739563
soie galette,1,,non,739563
soie grège,39,,non,739563
soie grège ???,0,,non,739563
soie grège autre que doupion,1,,non,739563
soie grège de Provence,1,,non,739563
soie grège doupion,3,,non,739563
soie grège écrue,1,,non,739563
soie grège écrue doupion,1,,non,739563
soie grège par Marseille,1,,non,739563
soie grèse,0,,oui,739563
soie grèse ???,0,,oui,739563
soie grèse de Provence,0,,oui,739563
soie grèse par Marseille,0,,oui,739563
soie limeneas,1,,non,739563
soie lorce,1,,non,739563
soie mauresque,12,,non,739563
soie mêlée,1,,non,739563
soie mêlée à l'aune,1,,oui,739563
soie moulinée,3,,non,739563
soie moulinée autre que doupion,1,,non,739563
soie moulinée doupion,3,,non,739563
soie ouvrée,45,,non,739563
soie par Collonges et Strasbourg,1,,non,739563
soie par Marseille,3,,non,739563
soie plate,4,,non,739563
soie siamoise,2,,non,739563
soie tamis,1,,oui,739563
soie tani,47,,non,739563
soie tanier,1,,oui,739563
soie tapis,3,,non,739563
soie teinte,204,,non,739563
soie torse,1,,non,739563
soie trame ???,1,,non,739563
soie tricoter,1,,non,739563
soie tripoline,1,,non,739563
soierie,189,Soie,non,9986
soierie brodée,1,,non,739563
soierie confinant,2,,non,739563
soierie de fil à fleurs,1,,non,739563
soierie de lin,1,,non,739563
soierie de Lyon,4,,non,739563
soierie de toile,1,,non,739563
soierie de Tours,2,,non,739563
soierie des Indes,1,Soie,non,9986
soierie et coton des Indes,1,Prohibé,non,335
soierie et dorure,12,,non,739563
soierie et dorure fine,13,,non,739563
soierie fleuret,1,,non,739563
soierie habits,0,,oui,739563
soins,1,,non,739563
solas,1,,non,739563
soles,2,,non,739563
soles marinées,1,,non,739563
soliveaux,110,,non,739563
soliveaux d'acajou,1,,non,739563
soliveaux de 10 à 12 pieds et de sapin,2,,non,739563
soliveaux de 10 pieds et de sapin,5,,non,739563
soliveaux de 12 pieds et de sapin,8,,non,739563
soliveaux de 14 à 16 pieds et de 4 pouces de carré,1,,non,739563
soliveaux de 14 pieds et de sapin,2,,non,739563
soliveaux de 15 à 20 pieds et de sapin,2,,non,739563
soliveaux de 15 pieds,0,,non,739563
soliveaux de 15 pieds et de sapin,4,,non,739563
soliveaux de 17 pieds et de sapin,2,,non,739563
soliveaux de 18 à 20 pieds,1,,non,739563
soliveaux de 18 à 20 pieds et de sapin,2,,non,739563
soliveaux de 18 pieds,1,,non,739563
soliveaux de 18 pieds et de sapin,6,,non,739563
soliveaux de 20 à 22 pieds,1,,non,739563
soliveaux de 20 à 25 pieds et de sapin,1,,non,739563
soliveaux de 20 à 30 pieds et de sapin,1,,non,739563
soliveaux de 20 pieds et de sapin,10,,non,739563
soliveaux de 21 à 22 pieds et dde sapin,1,,non,739563
soliveaux de 22 pieds et de sapin,5,,non,739563
soliveaux de 24 pieds,1,,non,739563
soliveaux de 24 pieds et de sapin,4,,non,739563
soliveaux de 25 pieds,1,,non,739563
soliveaux de 25 pieds et de sapin,5,,non,739563
soliveaux de 26 pieds et de sapin,5,,non,739563
soliveaux de 29 à 30 pieds et de sapin,1,,non,739563
soliveaux de 30 pieds et de sapin,3,,non,739563
soliveaux de 34 pieds et de sapin,1,,non,739563
soliveaux de 36 pieds et de sapin,3,,non,739563
soliveaux de 50 pieds et de sapin,1,,non,739563
soliveaux de 6 à 7 pieds et de sapin,1,,non,739563
soliveaux de 9 à 18 pieds et de sapin,1,,non,739563
soliveaux de 9 pieds et de sapin,1,,non,739563
soliveaux de bois,3,,non,739563
soliveaux de bois de nache,1,,non,739563
soliveaux de châtaigner,1,,non,739563
soliveaux de châtaignier,0,,oui,739563
soliveaux de chêne,31,,non,739563
soliveaux de chêne de 10 pieds,2,,non,739563
soliveaux de chêne de 12 à 15 pieds,1,,non,739563
soliveaux de chêne de 13 pieds,1,,non,739563
soliveaux de chêne de 15 à 20 pieds,1,,non,739563
soliveaux de chêne de 16 pieds,1,,non,739563
soliveaux de chêne de 18 pieds,2,,non,739563
soliveaux de chêne de 20 pieds,1,,non,739563
