simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
alun de Surde,2,,non,739563
alun du Levant,1,,non,739563
alun en dracy,1,,non,739563
alun en rame,1,,non,739563
alun gâté,1,,non,739563
alun ordinaire,1,,non,739563
alvés,0,,non,739563
amadou,326,,non,739563
amadou et agaric amadouvier,7,,non,739563
amandes,2178,,non,739563
amandes à la praline,4,,non,739563
amandes amères,1,,non,739563
amandes arachis noisettes noix noyaux,2,,non,739563
amandes cassée,7,,non,739563
amandes cassées,401,,non,739563
amandes cassées ou en coque,3,,oui,739563
amandes cassées ou en coques,3,,non,739563
amandes courtes,102,,non,739563
amandes douces,5,,non,739563
amandes en coque,438,,oui,739563
amandes en coques,439,,non,739563
amandes et figue et raisin,33,,non,739563
amandes et pelures et prunes et raisin,0,,non,739563
amandes et pruneaux,82,,non,739563
amandes et raisin sec,15,,non,739563
amandes et raisin sec et savon,1,,non,739563
amandes et savon,13,,non,739563
amandes et sucre,25,,non,739563
amandes et verdet,33,,non,739563
amandes et vert-de-gris,0,,oui,739563
amandes fraîches,0,,non,739563
amandes longues,65,,non,739563
amandes mondées,2,,non,739563
amandes sèches,64,,non,739563
amandes sèches et figue sèche et ???,0,,non,739563
amandes sèches et figue sèche et raisin sec,135,,non,739563
amaril,1,,oui,739563
amarinage,10,,non,739563
amarine,1,,non,739563
ambrain à grande barrique,1,,non,739563
ambre,43,,non,739563
ambre blanc,1,,non,739563
ambre brut,19,,non,739563
ambre carabé,21,,non,739563
ambre carabé jaune,2,,non,739563
ambre en grains,1,,non,739563
ambre et corail,1,,non,739563
ambre gris,38,,non,739563
ambre gris castoréum civette musc,0,,oui,739563
ambre jaune,87,,non,739563
ambre moulu,2,,non,739563
ameny,1,,oui,739563
amer,3,,non,739563
amer de laine,1,Lainage,non,9878
amertis,4,,non,739563
ameublement,2,,non,739563
ameublement de chitte,1,,non,739563
ami de toilé,1,,non,739563
amidon,1271,,non,739563
amidon alun,1,,non,739563
amidon en grains,1,,non,739563
amidon en poudre,1,,non,739563
amidon et poudre à poudrer,132,,non,739563
ammoniac,7,,non,739563
ammoniac et sel,22,,non,739563
ammonium,1,,non,739563
amomum,16,,non,739563
amomum et fèves de tonka et noix de ravensara,2,,non,739563
amomum verum,2,,non,739563
amurca,4,,non,739563
anabasse,121,,non,739563
anabasse bajutapau,3,,non,739563
anabasse corat nicaneas platille,2,,non,739563
anacardes,2,,non,739563
anacoste,3,,non,739563
ananas,11,,non,739563
ananas confit,2,,non,739563
ananas et pommes de grenade,8,,non,739563
ananas planté,1,,non,739563
anatomie,1,,non,739563
anatose,3,,non,739563
