goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
animaux,5,Sans lien avec la porcelaine,543223,non
anis,520,Sans lien avec la porcelaine,543223,non
anis et rac et rhum etc.,2,Sans lien avec la porcelaine,543223,non
anis et sucre,1,Sans lien avec la porcelaine,543223,non
anis vert,94,Sans lien avec la porcelaine,543223,non
anis vert à distiller,2,Sans lien avec la porcelaine,543223,non
anisette,113,Sans lien avec la porcelaine,543223,non
anisette au fiasque,6,Sans lien avec la porcelaine,543223,non
anisette de Bordeaux,2,Sans lien avec la porcelaine,543223,non
anneau de cuivre,1,,6813,non
anneau de fer,2,Sans lien avec la porcelaine,543223,non
anneaux de cuivre,1,Sans lien avec la porcelaine,543223,non
anneaux de fer,1,,6813,non
ânon,2,Sans lien avec la porcelaine,543223,non
anspects,124,Sans lien avec la porcelaine,543223,non
anspects de 3 à 4 pieds,1,Sans lien avec la porcelaine,543223,non
anspects de bois,27,Sans lien avec la porcelaine,543223,non
anspects de sapin,1,Sans lien avec la porcelaine,543223,non
antale,3,Sans lien avec la porcelaine,543223,non
antale et cauris,1,Sans lien avec la porcelaine,543223,non
antchibanis,9,Sans lien avec la porcelaine,543223,non
antenelle,1,Sans lien avec la porcelaine,543223,non
antennes,2,Sans lien avec la porcelaine,543223,non
antennes et mâts de bateaux,1,Sans lien avec la porcelaine,543223,non
antimoine,221,Sans lien avec la porcelaine,543223,non
antimoine cru,27,Sans lien avec la porcelaine,543223,non
antimoine métallique et sulfuré,2,Sans lien avec la porcelaine,543223,non
antimoine préparé,2,Sans lien avec la porcelaine,543223,non
antimoine vert,1,Sans lien avec la porcelaine,543223,non
antofle,1,Sans lien avec la porcelaine,543223,non
antofle de girofle,11,Sans lien avec la porcelaine,543223,non
apasier,1,Sans lien avec la porcelaine,543223,non
apier,3,Sans lien avec la porcelaine,543223,non
apios,7,Sans lien avec la porcelaine,543223,non
apparaux et bâtiments de mer,38,Sans lien avec la porcelaine,543223,non
apprêtée à toiler les livres,1,Sans lien avec la porcelaine,543223,non
apprêtée pour parchemins,1,Sans lien avec la porcelaine,543223,non
arachis olives fraîches,1,Sans lien avec la porcelaine,543223,non
arains,6,Sans lien avec la porcelaine,543223,non
arak,17,Sans lien avec la porcelaine,543223,non
arbalètes,1,Sans lien avec la porcelaine,543223,non
arbalètrrie et cartes marines,1,Sans lien avec la porcelaine,543223,non
arbres,7,Sans lien avec la porcelaine,543223,non
arbres à fruits,2,Sans lien avec la porcelaine,543223,non
arbres à planter,142,Sans lien avec la porcelaine,543223,non
arbres châtaignier,4,Sans lien avec la porcelaine,543223,non
arbres d' ???,1,Sans lien avec la porcelaine,543223,non
arbres d'auban,1,Sans lien avec la porcelaine,543223,non
arbres de sapin,1,Sans lien avec la porcelaine,543223,non
arbres et arbrisseaux,25,Sans lien avec la porcelaine,543223,non
arbres et arbrisseaux à fruits,1,Sans lien avec la porcelaine,543223,non
arbres et arbrisseaux sauvages,1,Sans lien avec la porcelaine,543223,non
arbres et arbustes,6,Sans lien avec la porcelaine,543223,non
arbres et plants,1,Sans lien avec la porcelaine,543223,non
arbres fruitiers,87,Sans lien avec la porcelaine,543223,non
arbres marronniers à planter,1,Sans lien avec la porcelaine,543223,non
arbres nains,1,Sans lien avec la porcelaine,543223,non
arbres tilleul,3,Sans lien avec la porcelaine,543223,non
arbrisseaux,9,Sans lien avec la porcelaine,543223,non
arbustes,3,Sans lien avec la porcelaine,543223,non
arcanette,1,Sans lien avec la porcelaine,543223,non
arcanie,1,Sans lien avec la porcelaine,543223,non
arcanson,4,Sans lien avec la porcelaine,543223,non
arcanum duplicatum,2,Sans lien avec la porcelaine,543223,non
archets de violons,1,Sans lien avec la porcelaine,543223,non
archets et violon,1,Sans lien avec la porcelaine,543223,non
archiabanis,2,Sans lien avec la porcelaine,543223,non
arçons de bas de bois,1,Sans lien avec la porcelaine,543223,non
arçons de bois,1,Sans lien avec la porcelaine,543223,non
