goods_simpl_classification,nbr_occurences_simpl,porcelaine_classification,nbr_occurences_porcelaine,obsolete
toile de chanvre pour voile,69,,6813,non
toile de chanvre rousse,27,Sans lien avec la porcelaine,543223,non
toile de chanvre teinte,2,Sans lien avec la porcelaine,543223,non
toile de chanvre trillin,1,Sans lien avec la porcelaine,543223,non
toile de chasse,23,Sans lien avec la porcelaine,543223,non
toile de Château-Gontier,2,Sans lien avec la porcelaine,543223,non
toile de Chauvreau,1,Sans lien avec la porcelaine,543223,non
toile de Cholet,53,Sans lien avec la porcelaine,543223,non
toile de Clisson,1,Sans lien avec la porcelaine,543223,non
toile de Combourg,42,Sans lien avec la porcelaine,543223,non
toile de Comté,6,Sans lien avec la porcelaine,543223,non
toile de cordat,2,Sans lien avec la porcelaine,543223,non
toile de coton,1246,Sans lien avec la porcelaine,543223,non
Toile de coton,8,Sans lien avec la porcelaine,543223,non
toile de coton ???,17,Sans lien avec la porcelaine,543223,non
toile de coton à bas,1,Sans lien avec la porcelaine,543223,non
toile de coton à fleurs,13,Sans lien avec la porcelaine,543223,non
toile de coton à imprimer,1,Sans lien avec la porcelaine,543223,non
toile de coton à jamis,1,Sans lien avec la porcelaine,543223,non
toile de coton aman,1,Sans lien avec la porcelaine,543223,non
toile de coton antoine,1,Sans lien avec la porcelaine,543223,non
toile de coton basin,37,Sans lien avec la porcelaine,543223,non
toile de coton bisinette,1,Sans lien avec la porcelaine,543223,non
toile de coton blanche,4,Sans lien avec la porcelaine,543223,non
toile de coton bleu,4,Sans lien avec la porcelaine,543223,non
toile de coton brochée,2,Sans lien avec la porcelaine,543223,non
toile de coton commune,5,Sans lien avec la porcelaine,543223,non
toile de coton corroyée,1,Sans lien avec la porcelaine,543223,non
toile de coton d'Angleterre,2,Sans lien avec la porcelaine,543223,non
toile de coton d'Antioche,1,Sans lien avec la porcelaine,543223,non
toile de coton de ???,3,Sans lien avec la porcelaine,543223,non
toile de coton de coton français,4,Sans lien avec la porcelaine,543223,non
toile de coton de duvet,1,Sans lien avec la porcelaine,543223,non
toile de coton de France,2,Sans lien avec la porcelaine,543223,non
toile de coton de juve,1,Sans lien avec la porcelaine,543223,non
toile de coton de la Compagnie,1,Sans lien avec la porcelaine,543223,non
toile de coton de Rouen,4,Sans lien avec la porcelaine,543223,non
toile de coton demitte,1,Sans lien avec la porcelaine,543223,non
toile de coton des Indes,93,Sans lien avec la porcelaine,543223,non
toile de coton des Indes brodée,1,Sans lien avec la porcelaine,543223,non
toile de coton dite armanie,2,Sans lien avec la porcelaine,543223,non
toile de coton du Levant,8,Sans lien avec la porcelaine,543223,non
toile de coton du Piémont,1,Sans lien avec la porcelaine,543223,non
toile de coton en siamoise,5,Sans lien avec la porcelaine,543223,non
toile de coton escamitte,1,Sans lien avec la porcelaine,543223,non
toile de coton et de fil,531,Sans lien avec la porcelaine,543223,non
toile de coton et de fil à fleurs,14,,6813,non
toile de coton et de fil de Cholet à robes,4,Sans lien avec la porcelaine,543223,non
toile de coton et de fil imprimée,6,Sans lien avec la porcelaine,543223,non
toile de coton et de fil peinte,2,Sans lien avec la porcelaine,543223,non
toile de coton et de fil pour mouchoirs,2,Sans lien avec la porcelaine,543223,non
toile de coton et de fil teinte,6,Sans lien avec la porcelaine,543223,non
toile de coton et de laine,1,Sans lien avec la porcelaine,543223,non
toile de coton et de lin,6,Sans lien avec la porcelaine,543223,non
toile de coton et soie,2,Sans lien avec la porcelaine,543223,non
toile de coton étranger,1,Sans lien avec la porcelaine,543223,non
toile de coton étranger et des Indes,1,Sans lien avec la porcelaine,543223,non
toile de coton étrangère,4,Sans lien avec la porcelaine,543223,non
toile de coton fine,8,Sans lien avec la porcelaine,543223,non
toile de coton forte,1,Sans lien avec la porcelaine,543223,non
toile de coton haut prix et teinte,1,Sans lien avec la porcelaine,543223,non
toile de coton imprimée,20,Sans lien avec la porcelaine,543223,non
toile de coton imprimée aune,1,Sans lien avec la porcelaine,543223,non
toile de coton imprimée et à haut prix,2,Sans lien avec la porcelaine,543223,non
toile de coton imprimée et peigne et peinte,2,Sans lien avec la porcelaine,543223,non
toile de coton imprimée et peinte,3,Sans lien avec la porcelaine,543223,non
toile de coton imprimée et teinte,1,Sans lien avec la porcelaine,543223,non
toile de coton large,1,Sans lien avec la porcelaine,543223,non
toile de coton mousseline,11,Sans lien avec la porcelaine,543223,non
toile de coton nationale,5,Sans lien avec la porcelaine,543223,non
toile de coton nationale et peinte,2,Sans lien avec la porcelaine,543223,non
toile de coton non ???,1,Sans lien avec la porcelaine,543223,non
toile de coton peinte,74,Sans lien avec la porcelaine,543223,non
toile de coton persiste,1,Sans lien avec la porcelaine,543223,non
toile de coton piquée,2,Sans lien avec la porcelaine,543223,non
toile de coton pointe,1,Sans lien avec la porcelaine,543223,non
toile de coton pour mouchoirs,1,Sans lien avec la porcelaine,543223,non
toile de coton pour mouchoirs teinte,1,Sans lien avec la porcelaine,543223,non
toile de coton pour nègre,1,Sans lien avec la porcelaine,543223,non
toile de coton quadrillée,1,Sans lien avec la porcelaine,543223,non
toile de coton rayée,22,Sans lien avec la porcelaine,543223,non
toile de coton rayée ou unie,2,,6813,non
toile de coton Rouen,1,,6813,non
toile de coton rousse,2,Sans lien avec la porcelaine,543223,non
toile de coton saisie,1,Sans lien avec la porcelaine,543223,non
toile de coton teinte,8,Sans lien avec la porcelaine,543223,non
toile de coton teinte et bas prix,1,Sans lien avec la porcelaine,543223,non
toile de coton vieux,1,Sans lien avec la porcelaine,543223,non
toile de cottray,12,Sans lien avec la porcelaine,543223,non
toile de couleur,12,Sans lien avec la porcelaine,543223,non
toile de Courtrai,3,Sans lien avec la porcelaine,543223,non
toile de coutil,53,Sans lien avec la porcelaine,543223,non
toile de coutil rayée,2,Sans lien avec la porcelaine,543223,non
toile de crin,278,Sans lien avec la porcelaine,543223,non
toile de crin à tamis,4,Sans lien avec la porcelaine,543223,non
toile de crin cirée,7,Sans lien avec la porcelaine,543223,non
toile de demi large,1,Sans lien avec la porcelaine,543223,non
toile de demi-Hollande,1,Sans lien avec la porcelaine,543223,non
toile de Dinan,6,Sans lien avec la porcelaine,543223,non
toile de Dinant,2,Sans lien avec la porcelaine,543223,non
toile de façon de Hambourg et de Hollande,1,Sans lien avec la porcelaine,543223,non
toile de fil,17,Sans lien avec la porcelaine,543223,non
toile de fil à carreaux,7,Sans lien avec la porcelaine,543223,non
toile de fil blanche,3,Sans lien avec la porcelaine,543223,non
toile de fil commune,3,Sans lien avec la porcelaine,543223,non
toile de fil coutil,4,Sans lien avec la porcelaine,543223,non
toile de fil de ???,1,Sans lien avec la porcelaine,543223,non
toile de fil de coton,28,Sans lien avec la porcelaine,543223,non
toile de fil de coton siamoise,14,Sans lien avec la porcelaine,543223,non
toile de fil en coutil,1,Sans lien avec la porcelaine,543223,non
toile de fil et coton,2,Sans lien avec la porcelaine,543223,non
toile de fil et de laine,3,Sans lien avec la porcelaine,543223,non
toile de fil et de laine de Lille,2,Sans lien avec la porcelaine,543223,non
toile de fil et de soie,1,,6813,non
toile de fil peinte,2,Sans lien avec la porcelaine,543223,non
toile de fil peinte et teinte,27,Sans lien avec la porcelaine,543223,non
toile de fil teinte,5,Sans lien avec la porcelaine,543223,non
toile de filezie,2,Sans lien avec la porcelaine,543223,non
toile de Flandre,36,Sans lien avec la porcelaine,543223,non
toile de fleuret de Rouen,2,Sans lien avec la porcelaine,543223,non
toile de fleuret et blancard,2,Sans lien avec la porcelaine,543223,non
toile de Fougères,53,Sans lien avec la porcelaine,543223,non
toile de frame,1,Sans lien avec la porcelaine,543223,non
toile de France,3,Sans lien avec la porcelaine,543223,non
toile de Frise,12,Sans lien avec la porcelaine,543223,non
toile de Gand,1,Sans lien avec la porcelaine,543223,non
toile de Grandville,1,Sans lien avec la porcelaine,543223,non
toile de Grenade,45,Sans lien avec la porcelaine,543223,non
toile de Grenade de lin,5,Sans lien avec la porcelaine,543223,non
toile de Grenoble,3,Sans lien avec la porcelaine,543223,non
toile de gris,1,Sans lien avec la porcelaine,543223,non
toile de halle,119,Sans lien avec la porcelaine,543223,non
toile de Hanovre,1,Sans lien avec la porcelaine,543223,non
toile de haut brin,8,Sans lien avec la porcelaine,543223,non
toile de Hollande,60,Sans lien avec la porcelaine,543223,non
toile de Hollande blanche,1,Sans lien avec la porcelaine,543223,non
toile de Hollande fine de 36 aunes,1,Sans lien avec la porcelaine,543223,non
toile de Hollande pièces de 15 aunes,1,Sans lien avec la porcelaine,543223,non
toile de Hollande pièces de 30 aunes,1,Sans lien avec la porcelaine,543223,non
toile de killis,4,Sans lien avec la porcelaine,543223,non
toile de laine,1,Sans lien avec la porcelaine,543223,non
toile de laine dite herbage,1,Sans lien avec la porcelaine,543223,non
toile de laine pour blutoir,2,Sans lien avec la porcelaine,543223,non
toile de laiton,1,,6813,non
toile de Landerneau,28,Sans lien avec la porcelaine,543223,non
toile de Languenan,56,Sans lien avec la porcelaine,543223,non
toile de Laval,322,Sans lien avec la porcelaine,543223,non
toile de Laval de renvoi,1,Sans lien avec la porcelaine,543223,non
toile de Léon,39,Sans lien avec la porcelaine,543223,non
toile de Levant,73,Sans lien avec la porcelaine,543223,non
toile de Levant diverse,8,Sans lien avec la porcelaine,543223,non
toile de Lille,2,Sans lien avec la porcelaine,543223,non
toile de Lille à serviettes,2,Sans lien avec la porcelaine,543223,non
toile de lin,710,Sans lien avec la porcelaine,543223,non
toile de lin à doubler,2,Sans lien avec la porcelaine,543223,non
toile de lin à matelas,6,Sans lien avec la porcelaine,543223,non
toile de lin au lait,14,Sans lien avec la porcelaine,543223,non
toile de lin bas prix et teinte,1,Sans lien avec la porcelaine,543223,non
toile de lin blanche,600,Sans lien avec la porcelaine,543223,non
toile de lin brochée,4,Sans lien avec la porcelaine,543223,non
toile de lin Cambrai,1,Sans lien avec la porcelaine,543223,non
toile de lin cirée,1,Sans lien avec la porcelaine,543223,non
toile de lin claire,3,Sans lien avec la porcelaine,543223,non
toile de lin claire et gaze,2,Sans lien avec la porcelaine,543223,non
toile de lin coutel,1,Sans lien avec la porcelaine,543223,non
toile de lin coutil,6,Sans lien avec la porcelaine,543223,non
toile de lin crue,3,Sans lien avec la porcelaine,543223,non
toile de lin d'Abbeville,1,Sans lien avec la porcelaine,543223,non
toile de lin d'Alençon,2,Sans lien avec la porcelaine,543223,non
toile de lin d'Amiens,1,Sans lien avec la porcelaine,543223,non
toile de lin d'Anvers,1,Sans lien avec la porcelaine,543223,non
toile de lin d'Arras,1,,6813,non
toile de lin de 13 aunes,1,Sans lien avec la porcelaine,543223,non
toile de lin de 15 aunes,1,Sans lien avec la porcelaine,543223,non
toile de lin de Beaujolais,1,Sans lien avec la porcelaine,543223,non
toile de lin de Beauvais,92,Sans lien avec la porcelaine,543223,non
toile de lin de Bernay,1,Sans lien avec la porcelaine,543223,non
toile de lin de Cholet,104,Sans lien avec la porcelaine,543223,non
toile de lin de Flandre,15,Sans lien avec la porcelaine,543223,non
toile de lin de Frise,1,Sans lien avec la porcelaine,543223,non
toile de lin de Gand,1,Sans lien avec la porcelaine,543223,non
toile de lin de Hollande,39,Sans lien avec la porcelaine,543223,non
toile de lin de Laval,187,Sans lien avec la porcelaine,543223,non
toile de lin de Lille,8,Sans lien avec la porcelaine,543223,non
toile de lin de linge de tables,2,Sans lien avec la porcelaine,543223,non
toile de lin de linon,6,Sans lien avec la porcelaine,543223,non
toile de lin de Marigny,2,Sans lien avec la porcelaine,543223,non
toile de lin de ménage,3,Sans lien avec la porcelaine,543223,non
toile de lin de Rouen,171,Sans lien avec la porcelaine,543223,non
toile de lin de Russie,1,Sans lien avec la porcelaine,543223,non
toile de lin de Saint-Quentin,456,Sans lien avec la porcelaine,543223,non
toile de lin de Senlis,1,Sans lien avec la porcelaine,543223,non
toile de lin de Servins,1,Sans lien avec la porcelaine,543223,non
toile de lin de St. Malo,1,Sans lien avec la porcelaine,543223,non
toile de lin de Suisse,1,,6813,non
toile de lin de Troyes,11,Sans lien avec la porcelaine,543223,non
toile de lin de Valenciennes,120,Sans lien avec la porcelaine,543223,non
toile de lin du pays,1,Sans lien avec la porcelaine,543223,non
toile de lin écrue,4,Sans lien avec la porcelaine,543223,non
toile de lin entre large,1,Sans lien avec la porcelaine,543223,non
toile de lin et de batiste et linon,72,Sans lien avec la porcelaine,543223,non
toile de lin et de chanvre,287,Sans lien avec la porcelaine,543223,non
toile de lin et mélangée et de couleur,2,Sans lien avec la porcelaine,543223,non
toile de lin façon de Hollande,2,Sans lien avec la porcelaine,543223,non
toile de lin fil d'épreuve,6,Sans lien avec la porcelaine,543223,non
toile de lin fine à drap,1,Sans lien avec la porcelaine,543223,non
toile de lin fine de ???,7,Sans lien avec la porcelaine,543223,non
toile de lin fine de Hollande,1,Sans lien avec la porcelaine,543223,non
toile de lin grosse,2,Sans lien avec la porcelaine,543223,non
toile de lin grosse pointe,1,Sans lien avec la porcelaine,543223,non
toile de lin haut prix et teinte,1,Sans lien avec la porcelaine,543223,non
toile de lin imprimée,3,Sans lien avec la porcelaine,543223,non
toile de lin indigo,1,Sans lien avec la porcelaine,543223,non
toile de lin large,2,Sans lien avec la porcelaine,543223,non
toile de lin lingerie,4,Sans lien avec la porcelaine,543223,non
toile de lin linon,24,Sans lien avec la porcelaine,543223,non
toile de lin linon brodée,1,Sans lien avec la porcelaine,543223,non
toile de lin linon et Cambrai,1,Sans lien avec la porcelaine,543223,non
toile de lin ouvrée,20,Sans lien avec la porcelaine,543223,non
toile de lin peinte,13,Sans lien avec la porcelaine,543223,non
toile de lin pour emballage,1,Sans lien avec la porcelaine,543223,non
toile de lin pour mouchoirs et teinte,1,Sans lien avec la porcelaine,543223,non
toile de lin pour robes et rayée,5,Sans lien avec la porcelaine,543223,non
toile de lin rayée,3,Sans lien avec la porcelaine,543223,non
toile de lin rayée en carreaux,1,Sans lien avec la porcelaine,543223,non
toile de lin rayée et teinte,1,Sans lien avec la porcelaine,543223,non
toile de lin rousse,4,Sans lien avec la porcelaine,543223,non
toile de lin royale,56,Sans lien avec la porcelaine,543223,non
toile de lin teinte,17,Sans lien avec la porcelaine,543223,non
toile de lin toilette,3,Sans lien avec la porcelaine,543223,non
toile de linet,2,Sans lien avec la porcelaine,543223,non
toile de linge de tables,30,Sans lien avec la porcelaine,543223,non
toile de linge de tables et à serviettes,2,Sans lien avec la porcelaine,543223,non
toile de linge vieux,1,Sans lien avec la porcelaine,543223,non
toile de lingerie,1,Sans lien avec la porcelaine,543223,non
toile de linon,8,Sans lien avec la porcelaine,543223,non
toile de linon de Saint-Quentin,1,Sans lien avec la porcelaine,543223,non
toile de Lisieux,1,,6813,non
toile de lisson,1,Sans lien avec la porcelaine,543223,non
toile de Lombourg,3,Sans lien avec la porcelaine,543223,non
toile de Lyon,3,Sans lien avec la porcelaine,543223,non
toile de Lyon teinte,1,Sans lien avec la porcelaine,543223,non
toile de Marigny,12,Sans lien avec la porcelaine,543223,non
toile de Marigny blanche,1,Sans lien avec la porcelaine,543223,non
toile de Marigny écrue,1,Sans lien avec la porcelaine,543223,non
toile de Mayenne,1,Sans lien avec la porcelaine,543223,non
toile de ménage,159,Sans lien avec la porcelaine,543223,non
toile de Moncontour,1,Sans lien avec la porcelaine,543223,non
toile de montagne,1,Sans lien avec la porcelaine,543223,non
toile de Morlaix,145,Sans lien avec la porcelaine,543223,non
toile de Mortagne,136,Sans lien avec la porcelaine,543223,non
toile de Mortagne ???,1,Sans lien avec la porcelaine,543223,non
toile de Moutier,1,Sans lien avec la porcelaine,543223,non
toile de Moutiers,1,Sans lien avec la porcelaine,543223,non
toile de Noirmoutier,1,Sans lien avec la porcelaine,543223,non
toile de paille,4,Sans lien avec la porcelaine,543223,non
toile de pays,1,,6813,non
toile de peinte,,Sans lien avec la porcelaine,543223,oui
toile de Piémont,17,Sans lien avec la porcelaine,543223,non
toile de plocq,12,Sans lien avec la porcelaine,543223,non
toile de poil de chèvre,1,Sans lien avec la porcelaine,543223,non
toile de Poldavie,38,Sans lien avec la porcelaine,543223,non
toile de Pontigny,1,Sans lien avec la porcelaine,543223,non
toile de Pontivy,32,Sans lien avec la porcelaine,543223,non
toile de Pontorson,1,Sans lien avec la porcelaine,543223,non
toile de Pouldavid,21,Sans lien avec la porcelaine,543223,non
toile de Quintin,22,Sans lien avec la porcelaine,543223,non
toile de réforme,2,Sans lien avec la porcelaine,543223,non
toile de retour,3,Sans lien avec la porcelaine,543223,non
toile de rite,1,Sans lien avec la porcelaine,543223,non
toile de rouanée,1,Sans lien avec la porcelaine,543223,non
toile de Rouen,64,Sans lien avec la porcelaine,543223,non
toile de Russie,5,Sans lien avec la porcelaine,543223,non
toile de Saint-Gail,5,Sans lien avec la porcelaine,543223,non
toile de Saint-Georges,10,Sans lien avec la porcelaine,543223,non
toile de Saint-Jean,6,Sans lien avec la porcelaine,543223,non
toile de Saint-Quentin,3,,6813,non
toile de Saint-Quentin commune,1,Sans lien avec la porcelaine,543223,non
toile de Saintonge,65,Sans lien avec la porcelaine,543223,non
toile de Saintonge fine,1,,6813,non
toile de Savigny,2,Sans lien avec la porcelaine,543223,non
toile de senigat,1,Sans lien avec la porcelaine,543223,non
toile de serpillière,2,Sans lien avec la porcelaine,543223,non
toile de serviette,3,Sans lien avec la porcelaine,543223,non
toile de serviette vieille,1,Sans lien avec la porcelaine,543223,non
toile de Sevigneau,1,Sans lien avec la porcelaine,543223,non
toile de siamoise,313,Sans lien avec la porcelaine,543223,non
toile de siamoise au sixième de soie,2,Sans lien avec la porcelaine,543223,non
toile de Silésie,6,Sans lien avec la porcelaine,543223,non
toile de soie,5,Sans lien avec la porcelaine,543223,non
toile de Suisse,41,Sans lien avec la porcelaine,543223,non
toile de Surate,1,,6813,non
toile de Suvignan,1,Sans lien avec la porcelaine,543223,non
toile de table,2,Sans lien avec la porcelaine,543223,non
toile de treillis,2,Sans lien avec la porcelaine,543223,non
toile de Troyes,12,Sans lien avec la porcelaine,543223,non
toile de Valenciennes,43,Sans lien avec la porcelaine,543223,non
toile de Vigery,1,Sans lien avec la porcelaine,543223,non
toile de ville,1,,6813,non
toile de Vimoutiers,29,Sans lien avec la porcelaine,543223,non
toile de Vitré,15,Sans lien avec la porcelaine,543223,non
toile de Vitrée,3,Sans lien avec la porcelaine,543223,non
toile de voile,15,Sans lien avec la porcelaine,543223,non
toile découpée,1,Sans lien avec la porcelaine,543223,non
toile demitte,2,Sans lien avec la porcelaine,543223,non
toile des Flandres,2,Sans lien avec la porcelaine,543223,non
toile des Indes,175,Sans lien avec la porcelaine,543223,non
toile des Indes ???,4,Sans lien avec la porcelaine,543223,non
toile des Indes ??? ??? ??? Indes,1,Sans lien avec la porcelaine,543223,non
toile des Indes commerce français,3,Sans lien avec la porcelaine,543223,non
toile des Indes du commerce étranger,2,Sans lien avec la porcelaine,543223,non
toile des Indes du commerce français,2,Sans lien avec la porcelaine,543223,non
toile des Indes en ??? français,2,Sans lien avec la porcelaine,543223,non
toile des Indes et perles,2,Sans lien avec la porcelaine,543223,non
toile des Indes gastas,1,Sans lien avec la porcelaine,543223,non
toile des Indes imitant celles des Indes,1,Sans lien avec la porcelaine,543223,non
toile des Indes peinte,7,Sans lien avec la porcelaine,543223,non
toile des Indes peinte de thille,1,Sans lien avec la porcelaine,543223,non
toile des Indes Perse du commerce étranger,1,Sans lien avec la porcelaine,543223,non
toile des prises,1,Sans lien avec la porcelaine,543223,non
toile du Béarn,10,Sans lien avec la porcelaine,543223,non
toile du Brabant,3,Sans lien avec la porcelaine,543223,non
toile du cerf,1,Sans lien avec la porcelaine,543223,non
toile du commerce de France et des Indes,18,Sans lien avec la porcelaine,543223,non
toile du commerce étranger et des Indes,10,Sans lien avec la porcelaine,543223,non
toile du Levant,1,Sans lien avec la porcelaine,543223,non
toile du Lyonnais,1,Sans lien avec la porcelaine,543223,non
toile du Mans,1,Sans lien avec la porcelaine,543223,non
toile du pays,15,Sans lien avec la porcelaine,543223,non
toile du Piémont,2,Sans lien avec la porcelaine,543223,non
toile dure,12,Sans lien avec la porcelaine,543223,non
toile écrue,65,Sans lien avec la porcelaine,543223,non
toile écrue commune,1,Sans lien avec la porcelaine,543223,non
toile écrue de Languenan,1,Sans lien avec la porcelaine,543223,non
toile écrue de lin,55,Sans lien avec la porcelaine,543223,non
toile écrue et grise de lin,4,Sans lien avec la porcelaine,543223,non
toile écrue et grosse de lin,1,Sans lien avec la porcelaine,543223,non
toile écrue large,1,Sans lien avec la porcelaine,543223,non
toile écrue pour essuie-mains,1,Sans lien avec la porcelaine,543223,non
toile embabis,14,Sans lien avec la porcelaine,543223,non
toile emballée,1,Sans lien avec la porcelaine,543223,non
toile en ???,1,Sans lien avec la porcelaine,543223,non
toile en basin de coton,6,Sans lien avec la porcelaine,543223,non
toile en basin de coton brodé en soie,1,Sans lien avec la porcelaine,543223,non
toile en chemises,1,Sans lien avec la porcelaine,543223,non
toile en claire et de lin,1,Sans lien avec la porcelaine,543223,non
toile en fair,2,Sans lien avec la porcelaine,543223,non
toile en sacs,4,Sans lien avec la porcelaine,543223,non
toile en serviettes,1,Sans lien avec la porcelaine,543223,non
toile entre large,8,Sans lien avec la porcelaine,543223,non
toile et bonneterie,1,Sans lien avec la porcelaine,543223,non
toile et laine à bouquets de laine,1,Sans lien avec la porcelaine,543223,non
toile et treillis lustrés,2,Sans lien avec la porcelaine,543223,non
toile étoilée,1,Sans lien avec la porcelaine,543223,non
toile étoupes de lin,7,Sans lien avec la porcelaine,543223,non
toile étoupière,5,Sans lien avec la porcelaine,543223,non
toile étrangère,52,Sans lien avec la porcelaine,543223,non
toile étroite,42,Sans lien avec la porcelaine,543223,non
toile étroite de lin,5,Sans lien avec la porcelaine,543223,non
toile étroite et fine,1,Sans lien avec la porcelaine,543223,non
toile façon de Hollande,3,Sans lien avec la porcelaine,543223,non
toile façon de Silésie,1,Sans lien avec la porcelaine,543223,non
toile fil de laine,1,Sans lien avec la porcelaine,543223,non
toile fine,48,Sans lien avec la porcelaine,543223,non
toile fine de Flandre,1,Sans lien avec la porcelaine,543223,non
toile fine de lin,73,Sans lien avec la porcelaine,543223,non
toile fine de lin de Valenciennes,6,Sans lien avec la porcelaine,543223,non
toile fine et large,1,Sans lien avec la porcelaine,543223,non
toile fine rousse,1,,6813,non
toile française,4,,6813,non
toile futaine,3,Sans lien avec la porcelaine,543223,non
toile galcienne de lin,1,Sans lien avec la porcelaine,543223,non
toile glacée,2,Sans lien avec la porcelaine,543223,non
toile gommée,4,Sans lien avec la porcelaine,543223,non
toile gommée bougron,3,Sans lien avec la porcelaine,543223,non
toile gommée et de lin,1,Sans lien avec la porcelaine,543223,non
toile gommée et treillis,3,Sans lien avec la porcelaine,543223,non
toile grasse,8,Sans lien avec la porcelaine,543223,non
toile gratienne,26,Sans lien avec la porcelaine,543223,non
toile gratienne rayée,1,Sans lien avec la porcelaine,543223,non
toile grise,107,Sans lien avec la porcelaine,543223,non
toile grise de laine,1,Sans lien avec la porcelaine,543223,non
toile grise de lin,29,Sans lien avec la porcelaine,543223,non
toile grise de lin à 10 sols et en dessous,1,Sans lien avec la porcelaine,543223,non
toile grise de lin à 10 sols et en dessus,2,Sans lien avec la porcelaine,543223,non
toile grise de lin à 30 sols l'aune,1,Sans lien avec la porcelaine,543223,non
toile grise de lin à bas prix,1,Sans lien avec la porcelaine,543223,non
toile grise de lin en dessous de 10 sols l'aune,4,Sans lien avec la porcelaine,543223,non
toile grise de lin en dessous de 20 sols l'aune,1,Sans lien avec la porcelaine,543223,non
toile grise non battue,1,Sans lien avec la porcelaine,543223,non
toile gros brin,2,Sans lien avec la porcelaine,543223,non
toile gros fort,33,Sans lien avec la porcelaine,543223,non
toile grosse,222,Sans lien avec la porcelaine,543223,non
toile grosse ???,3,Sans lien avec la porcelaine,543223,non
toile grosse blanche,1,Sans lien avec la porcelaine,543223,non
toile grosse commune,1,Sans lien avec la porcelaine,543223,non
toile grosse de lin,32,Sans lien avec la porcelaine,543223,non
toile grosse de lin de Saint-Quentin,1,,6813,non
toile grosse de lin et pour nègre,4,Sans lien avec la porcelaine,543223,non
toile grosse en faces,12,Sans lien avec la porcelaine,543223,non
toile grosse et sommiers,6,Sans lien avec la porcelaine,543223,non
toile grosse garnie ??? pour prélat,1,Sans lien avec la porcelaine,543223,non
toile grossière en pièce de 50 aunes,1,Sans lien avec la porcelaine,543223,non
toile haut brin,4,Sans lien avec la porcelaine,543223,non
toile haut brin de Dinant,4,Sans lien avec la porcelaine,543223,non
toile hivre,1,Sans lien avec la porcelaine,543223,non
toile hollande,1,,6813,non
toile Hollande de Paris,1,Sans lien avec la porcelaine,543223,non
toile hollandille,1,Sans lien avec la porcelaine,543223,non
toile hollandille de Paris,2,Sans lien avec la porcelaine,543223,non
toile humaine,2,Sans lien avec la porcelaine,543223,non
toile imitant celle des Indes,2,Sans lien avec la porcelaine,543223,non
toile imitant celle des Indes et de Rouen,6,Sans lien avec la porcelaine,543223,non
toile imitant celle des Indes et nationale,1,Sans lien avec la porcelaine,543223,non
toile imprimée,12,Sans lien avec la porcelaine,543223,non
toile imprimée et de fil et peinte et teinte,4,Sans lien avec la porcelaine,543223,non
toile imprimée et de lin et nationale et peinte,4,Sans lien avec la porcelaine,543223,non
toile imprimée et de lin et peinte,6,Sans lien avec la porcelaine,543223,non
toile imprimée ou peinte,3,,6813,non
toile indienne,9,Sans lien avec la porcelaine,543223,non
toile indienne fine,2,Sans lien avec la porcelaine,543223,non
toile indienne française,6,Sans lien avec la porcelaine,543223,non
toile indienne grosse,1,Sans lien avec la porcelaine,543223,non
toile indienne nationale,5,Sans lien avec la porcelaine,543223,non
toile judieau,3,Sans lien avec la porcelaine,543223,non
toile kettroy,1,Sans lien avec la porcelaine,543223,non
toile killis,40,Sans lien avec la porcelaine,543223,non
toile kircochaye,2,Sans lien avec la porcelaine,543223,non
toile lagias,1,Sans lien avec la porcelaine,543223,non
toile laistoufaire,1,Sans lien avec la porcelaine,543223,non
toile Languenan,11,Sans lien avec la porcelaine,543223,non
toile large,35,Sans lien avec la porcelaine,543223,non
toile large de lin,2,Sans lien avec la porcelaine,543223,non
toile lavée,3,Sans lien avec la porcelaine,543223,non
toile lesat,1,Sans lien avec la porcelaine,543223,non
toile linon,41,Sans lien avec la porcelaine,543223,non
toile lizat,3,Sans lien avec la porcelaine,543223,non
toile lustrée,12,Sans lien avec la porcelaine,543223,non
toile manche,1,Sans lien avec la porcelaine,543223,non
toile manouf,145,Sans lien avec la porcelaine,543223,non
toile mêlée,7,Sans lien avec la porcelaine,543223,non
toile mêlée de coton et de fil,1,Sans lien avec la porcelaine,543223,non
toile mêlée ganak,2,Sans lien avec la porcelaine,543223,non
toile merdin,,Sans lien avec la porcelaine,543223,oui
toile mesdin,8,Sans lien avec la porcelaine,543223,non
toile mi-blanche de moins de 8 fils,1,Sans lien avec la porcelaine,543223,non
toile miennel,1,Sans lien avec la porcelaine,543223,non
toile montagne,15,Sans lien avec la porcelaine,543223,non
toile Morlaix,5,Sans lien avec la porcelaine,543223,non
toile Mortagne,4,Sans lien avec la porcelaine,543223,non
toile mouchoirs,4,Sans lien avec la porcelaine,543223,non
toile nationale,5,Sans lien avec la porcelaine,543223,non
toile navale,8,Sans lien avec la porcelaine,543223,non
toile neganepeau et imitant celle des Indes,1,Sans lien avec la porcelaine,543223,non
toile noire,1,Sans lien avec la porcelaine,543223,non
toile non battue,29,Sans lien avec la porcelaine,543223,non
toile ordre et rousse,1,Sans lien avec la porcelaine,543223,non
toile organdi,1,Sans lien avec la porcelaine,543223,non
toile ouvragée de chanvre et de lin pour linge de table,3,Sans lien avec la porcelaine,543223,non
toile ouvrée chaussettes,1,Sans lien avec la porcelaine,543223,non
