quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit_ortho,quantity_unit_ajustees,nbr_bdc_quantity_unit_ajustees,u_conv,q_conv,incertitude_unit,source_hambourg,missing,needs_more_details,remarque_unit
muids de genièvre,1,1,muids de paris,3,kg,268.22,,0,,0,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
muids de Paris,1,1,muids de paris,3,kg,268.22,,,,,
muids en bouteilles,1,1,,1023,,,,,,,
muids encerclés,1,1,,1023,,,,,,,
muids le demi,1,1,demi muids de paris,1,kg,134.11,,,,,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
muids ordinaires,1,1,muids de paris,3,kg,268.22,,0,,0,Muid de Paris (Wikipedia) (137-685) (mais pas cete valeur dans Dourshter)
mulets,1,3,pièces,124,pièces,1,,0,,0,
nappes,1,1,,1023,,,,,,,
niasses,1,1,,1023,,,,,,,
nombre,1,5,nombre,5,pièces,1,,,,,
onces,1,4,onces,5,kg,.0305937494,,,,,
onces estimées,1,1,onces,5,kg,.0305937494,,,,,
ordinaire,1,4,ordinaires,4,pièces,1,,,,,
outres,1,1,,1023,,,,,,,
ouvrée,1,1,pièces,124,pièces,1,,,,,
oxhoft,0,1,oxhoft,1,kg,223.158,,1,,0,"Witthöft 1993, explication 1 oxhoft=223.158 litres"
pagats,0,1,,1023,,,,,,,
paguas,0,1,,1023,,,,,,,
pains,1,2,pains,3,pièces,1,,,,,
pains par 100,0,1,pains,3,pièces,100,,,,,
paires,1,9,paires,10,pièces,2,,,,,
paires petites,1,1,,1023,,,,,,,
palles,1,1,,1023,,,,,,,
palme,1,1,palme,2,cm,26.3952,,,,,Doursther et http://aviatechno.net/unites/pieds.php
palmes,1,1,palme,2,cm,26.3952,,,,,Doursther et http://aviatechno.net/unites/pieds.php
panal,1,1,,1023,,,,,,,
panaux,1,1,,1023,,,,,,,
panier,1,1,panier,12,contenant,1,,,,,
panier de pistolets,1,1,panier,12,contenant,1,,,,,
paniers,1,10,panier,12,contenant,1,,,,,
panneaux,1,3,,1023,,,,,,,
pans,1,2,,1023,,,,,,,
paquets,1,10,paquets,11,contenant,1,,,,,
paquets 100 faix,1,1,,1023,,,,,,,
paquets de 1000,1,1,,1023,,,,,,,
paquets estimés,1,1,paquets,11,contenant,1,,,,,
par cube,1,1,,1023,,,,,,,
parasols en nombre,1,1,pièces,124,pièces,1,,,,,
pasgas,1,1,,1023,,,,0,1,0,
pattes,1,1,,1023,,,,,,,
patz,1,1,,1023,,,,0,1,0,unité difficilement lisible dans la source
paumes,1,1,paumes,1,cm,8.119999999999999,,,,,Doursther page 392
peaux,1,4,peaux,5,pièces,1,,,,,
peintes,1,1,pièces,124,pièces,1,,,,,
pelaux,1,2,,1023,,,,,,,
pendules,1,4,pendules,5,cm,99.38493,,,,,Doursther page 393
pendules de 8 livres,1,1,pendules,5,cm,99.38493,,,,,Doursther page 393
perches,1,2,,1023,,,,,,,nécessite le lieu d'émission
petit ballot,1,1,,1023,,,,,,,
petit sac,1,1,,1023,,,,,,,
petite caisse,1,1,,1023,,,,,,1,
petite pièces,1,1,petits,6,pièces,1,,,,,
petites bouteilles,1,1,,1023,,,,,,1,
petites caisses,1,2,,1023,,,,,,1,
petites cruches,1,1,,1023,,,,,,,
petits,1,5,petits,6,pièces,1,,,,,
petoltons,1,1,,1023,,,,,,,
pezant,1,2,,1023,,,,,,,
pièce de 30 pieds,0,1,pièces,124,pièces,1,,,,,
pièce de 50L,1,1,,1023,,,,,,,
pièce double,1,1,,1023,,,,,,,
pièces,1,24,pièces,124,pièces,1,,,,,
pièces de 20 aulnes,1,1,,1023,,,,,,,
pièces des Indes,0,1,pièces,124,pièces,1,,,,,
pièces fonçailles,1,1,,1023,,,,,,,
pièces grosses,1,1,pièces,124,pièces,1,,,,,
pièces pour barriques,1,1,,1023,,,,,,,
pieds,1,4,pieds de roi,4,cm,32.484001,,,,,p426 doursther
pieds cubes,1,2,pieds cubes,2,litres,34.277,,,,,Wikipedia
pierre,1,4,pierres,4,pièces,1,,,,,
pilan,1,1,,1023,,,,,,,
pintes,1,5,pinte,5,litres,.952146,,,,,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
pipe,1,5,pipe,6,litres,411.327,,0,,1,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
pipe de 2 barriques,1,1,,1023,,,,,,,
pipe ordinaire,1,1,pipe,6,litres,411.327,,,,,Wikipedia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
pipettes,1,1,pipettes,1,contenant,1,,0,,0,
pipot,1,1,,1023,,,,,,,
planches,1,3,planches,3,pièces,1,,,,,
plaques,1,1,,1023,,,,,,,
plateaux,1,1,,1023,,,,,,,
plats,1,1,,1023,,,,,,,
plumes,1,1,pièces,124,pièces,1,,,,,
pochées,1,2,,1023,,,,,,,
poches,1,2,,1023,,,,,,,
poële,1,1,pièces,124,pièces,1,,,,,
poêles,1,1,pièces,124,pièces,1,,,,,
pognées,1,1,poignées,5,contenant,1,,,,,
poids,1,1,,1023,,,,,,,
poignées,1,4,poignées,5,contenant,1,,0,,0,
poinçons,1,9,poinçons,9,litres,201.16,,,,,Doursther page 447
pommes,1,1,pièces,124,pièces,1,,,,,
pommiers,1,1,,1023,,,,,,,
porcelets,1,1,pièces,124,pièces,1,,0,,0,
porcs,1,1,pièces,124,pièces,1,,0,,0,
postes,1,1,,1023,,,,,,,
pot,1,1,,1023,,,,,,1,
potiches,1,1,,1023,,,,,,,
pots,1,6,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
poulains,1,2,pièces,124,pièces,1,,0,,0,
poulets,1,1,,1023,,,,,,,
pour cent,1,1,pièces,124,pièces,100,,,,,
poutre,1,2,poutres,2,pièces,1,,,,,
poutrelles,1,1,poutrelles,1,pièces,1,,,,,"vérification dans la source, il s'agit de « poutrelles »"
prises,1,2,,1023,,,,,,,
q livre,0,1,quarts de livres,1,kg,.125,,,,,
quart,1,2,,1023,,,,,,1,
quart de barils,1,1,,1023,,,,,,1,
quart de charge,1,1,,1023,,,,,,1,
quartaut,1,2,quartaut,2,litres,68.55500000000001,,,,,"1 quartaut correspond à environ 68 litres, source Wikipédia"
quartiers,1,5,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
quartiers mesure de blaye,1,1,,1023,,,,,,1,
quarts,1,3,,1023,,,,,,1,
queues,1,3,queue,3,litres,411.327,,,,,"Doursther page 468, queue = pipe"
quiconir,1,1,,1023,,,,,,,unité difficilement lisible dans la source
quinquets,1,1,,1023,,,,,,,
quintal,1,3,livres,22,kg,48.949999,,,,,
quintaux,1,3,livres,22,kg,48.949999,,,,,nécessite le contenu et le lieu d'émission
quintaux de Saint-Domingue,1,1,,1023,,,,,,1,
quintaux des colonies françaises,1,1,,1023,,,,,,1,
quintaux métriques,1,1,,1023,,,,,,1,
quints,1,1,quint,1,kg,.0038242187,,,,,Doursther page 468
radeaux,1,1,,1023,,,,,,,
rame ou aunes,1,1,,1023,,,,,,,
rames,1,4,rames,4,,,1,,,,Doursther : mesure pour le papier. Entre 360 et 500 feuilles. Mais il y en aussi pour les draps...
râpé,1,1,pièces,124,pièces,1,,,,,
razières,1,7,,1023,,,,,,,Cnrtl : 1 rasière correspond à 50 litres environ
réchauds,1,1,,1023,,,,,,,
rets,1,3,retz,3,litres,30.5,,,,,Doursther page 477
rideaux,1,1,,1023,,,,,,,
robes,1,1,robes,1,pièces,1,,0,1,0,
rodes,1,4,,1023,,,,,,,
rolle,1,1,,1023,,,,,,,
rondelles,1,1,,1023,,,,,,,
roues,1,1,,1023,,,,,,,
rouleaux,1,4,,1023,,,,,,,
sabres,1,2,sabres,2,pièces,1,,0,,0,
sacs,1,4,,1023,,,,,,1,nécessite le lieu d'émission
sacs de 2800 boisseaux,1,1,,1023,,,,,,,
sanegues,1,1,,1023,,,,,,,
sannées,1,1,,1023,,,,,,,"n'apparaît qu'une fois, unité difficilement lisible dans la source"
sans,0,1,,1023,,,,,,,
saumes,1,1,,1023,,,,,,,
saumon,1,2,pièces,124,pièces,1,,0,,0,
saur,1,1,pièces,124,pièces,1,,,,,
seaux,1,1,,1023,,,,,,,
selles,1,1,,1023,,,,,,,
sennes,1,1,sennes,1,pièces,1,,0,,0,
serges,1,1,serges,1,pièces,1,,0,1,0,
serrures,1,1,,1023,,,,,,,
services,1,7,services,7,pièces,1,,0,1,0,
serviettes,1,1,serviettes,1,pièces,1,,,,,
setiers,1,11,setier,11,litres,152.343,,,,,wikipédia https://fr.wikipedia.org/wiki/Anciennes_unités_de_mesure_françaises#Unit.C3.A9s_de_longueur
simple,1,1,,1023,,,,,,,
sixains,1,5,jeux de cartes,7,pièces,6,,,,,"1 sixain ou sizain = paquet de six jeux de cartes à jouer, source Larousse"
sixième de baril,1,1,,1023,,,,,,1,
sizains,1,2,jeux de cartes,7,pièces,6,,0,1,0,"1 sixain ou sizain = paquet de six jeux de cartes à jouer, source Larousse"
solives,1,1,,1023,,,,,,,
somme,1,3,,1023,,,,,,,
sommées,1,3,,1023,,,,0,1,0,
sommiers,1,1,,1023,,,,0,1,0,
sortes,1,1,,1023,,,,,,,
sous,1,1,,1023,,,,,,,
stères,1,2,stères,3,litres,1000,,,,,"Doursther page 519, 1 stère = 1 mètre cube"
stères à bruler,1,1,stères,3,litres,1000,,,,,"Doursther page 519, 1 stère = 1 mètre cube"
tableaux,1,1,,1023,,,,,,,
tables,1,1,tables,1,pièces,1,,,,,
tabourets,1,1,,1023,,,,,,,
taille petit,1,1,,1023,,,,,,,
tapis,1,2,pièces,124,pièces,1,,0,,0,
tasses,1,2,,1023,,,,,,,
taureaux,1,1,pièces,124,pièces,1,,0,,0,
tentures,1,3,pièces,124,pièces,1,,,,,
têtes,1,1,pièces,124,pièces,1,,0,,0,
tierce,0,1,tierce,1,kg,148,,1,,0,Doursther : Tierce=nom donné par les allemands à Aime: de 130 à 166 litres -> 148 litres
tierçons,1,15,,1023,,,,,,1,nécessite le lieu d'émission
tiers,1,1,,1023,,,,0,1,0,
timbres,1,3,,1023,,,,,,,
timpettes,1,1,,1023,,,,,,,
tinéa,1,1,,1023,,,,,,,
tinettes,1,1,,1023,,,,,,,
tinnes,1,2,,1023,,,,,,,
toilette,1,1,,1023,,,,,,,
toises,1,2,toises,2,cm,194.89999,,0,,0,Wikipedia
toisons,1,1,,1023,,,,,,,
tomes,1,2,,1023,,,,,,,
tommes,1,2,,1023,,,,,,,
tones,1,1,,1023,,,,,,,
tonne,1,4,,1023,,,,0,,1,nécessite le contenu et le lieu d'émission
tonneaux,1,10,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
tonneaux a 20 quarts,1,1,,1023,,,,,,1,
tonneaux de 5250 livres,1,1,tonneaux,1,kg,2569.8749475,,,,,
tonneaux de haut,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
tonneaux de ville,1,1,,1023,,,,,,1,nécessite le contenu et le lieu d'émission
tonneaux fonds,1,1,,1023,,,,,,,
topettes,1,2,topettes,2,contenant,1,,,,,
torches,1,3,,1023,,,,,,,
traques,1,6,traques,6,pièces,3,,,,,Dictionnaire de la marine françois (books.google.fr)
treilles,1,2,,1023,,,,,,,
tuiles,1,2,tuiles,2,pièces,1,,,,,
unité,1,1,pièces,124,pièces,1,,,,,
urnes,1,1,,1023,,,,,,,
vaches,1,1,pièces,124,pièces,1,,0,,0,
valeur,1,9,,1023,,,,,,,
valeur cy,0,1,,1023,,,,,,,
vals,1,1,,1023,,,,0,1,0,
varres,1,1,,1023,,,,,,,
veaux,1,1,pièces,124,pièces,1,,0,,0,
veltes,1,6,veltes,7,litres,7.4299998,,,,,Dourshter : mesure de Paris
veltes le demi,1,1,demi velte,1,litres,3.7149999,,,,,
verges,1,2,verges,2,litres,7.4299998,,0,,0,p581 : <=> veltes
verres,1,1,,1023,,,,,,,
violons,1,1,violons,1,pièces,1,,0,,0,
vivants,1,1,pièces,124,pièces,1,,,,,
vogues,1,1,,1023,,,,,,,
voitures,1,4,voitures,4,pièces,1,,,,,
vollilles,1,1,vollilles,1,pièces,1,,0,,0,loïc charles
volume,1,2,,1023,,,,,,,
w,1,1,veltes,7,kg,7.4299998,,,,,
wagons,1,1,,1023,,,,0,,1,
yunes,1,1,imi de berne,1,litres,3.503,,0,,0,p597 doursther -> voir Imi p186
