numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,Unité de poids/quantité,prix_unitaire,value,probleme,remarks
60,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Vanille,Marseille,Espagne,"6,00",livres,"40,0000000","240,00","0,00",
61,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Arquifou,Marseille,Espagne,"123 425,00",livres,"0,1000000","12342,50","0,00",
62,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Auf,Marseille,Espagne,"523 925,00",livres,"0,1200000","62871,00","0,00",
63,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Baume,Marseille,Espagne,"51,50",livres,"12,0000000","618,00","0,00",
64,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Bonnets de laine grossiers,Marseille,Espagne,"2,00",douzaines,"4,0000000","8,00","0,00",
65,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Brun rouge,Marseille,Espagne,"16 275,00",livres,"0,0250000","406,85","-0,02",
66,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Balais de palme,Marseille,Espagne,"1 392,00",douzaines,"0,4000000","556,80","0,00",
67,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Bois d'inde,Marseille,Espagne,"710,00",livres,"0,1600000","113,60","0,00",
68,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Cochenille,Marseille,Espagne,"302,00",livres,"20,0000000","6040,00","0,00",
69,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Couvertures de coton,Marseille,Espagne,"80,00",livres,"1,0000000","80,00","0,00",
70,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Couffins de palme,Marseille,Espagne,"80,00",douzaines,"1,5000000","120,00","0,00",
71,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Ecorce d'orange seiches,Marseille,Espagne,"510,00",livres,"0,0600000","30,60","0,00",
72,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Fil de chanvre,Marseille,Espagne,"17,00",livres,"0,6000000","10,20","0,00",
73,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Gaudron,Marseille,Espagne,"5 000,00",livres,"0,0800000","400,00","0,00",
74,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Huille de poisson,Marseille,Espagne,"450,00",livres,"0,6000000","270,00","0,00",
75,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Jalap,Marseille,Espagne,"845,00",livres,"1,2500000","1056,00","-0,25",
76,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Laine lavée,Marseille,Espagne,"94 220,00",livres,"0,8000000","75376,00","0,00",
77,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Laine demi lavée,Marseille,Espagne,"1 800,00",livres,"0,6000000","1080,00","0,00",
78,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Liege,Marseille,Espagne,"10 975,00",livres,"0,1200000","1317,00","0,00",
79,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Meules a moulin,Marseille,Espagne,"15,00",en nombre,"40,0000000","600,00","0,00",
80,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Meules a aiguiser,Marseille,Espagne,"1,00",en nombre,"3,0000000","3,00","0,00",
81,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Pierre a huille,Marseille,Espagne,"12,00",livres,"0,5000000","6,00","0,00",
82,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,2,1726,Imports,Peaux de marroquins,Marseille,Espagne,"13,00",douzaines,"20,0000000","260,00","0,00",
83,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Peaux de poisson ,Marseille,Espagne,"275,00",livres,"0,4000000","110,00","0,00",
84,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Quinquina,Marseille,Espagne,"1 278,00",livres,"2,5000000","3195,00","0,00",
85,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Rouge d'Espagne ,Marseille,Espagne,"113,00",douzaines,"4,0000000","452,00","0,00",
86,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Rouge d'Espagne ,Marseille,Espagne,"42,00",livres,"3,0000000","126,00","0,00",
87,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Soyes ,Marseille,Espagne,"92 957,00",livres,"12,0000000","1115484,00","0,00",
88,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Soude ,Marseille,Espagne,"270,00",iss?,"15,0000000","4050,00","0,00",
89,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Soude ,Marseille,Espagne,"264 200,00",livres,"0,0325000","8586,50","0,00",
90,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Salsepareille,Marseille,Espagne,"243,00",livres,"1,4000000","340,20","0,00",
91,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Sel gemme ,Marseille,Espagne,"400,00",livres,"0,1500000","60,00","0,00",
92,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Tableaux ,Marseille,Espagne,"300,00",livres,"0,5000000","150,00","0,00",
93,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Terre d'ombre,Marseille,Espagne,"10,00",livres,"0,1000000","1,00","0,00",
94,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Anchois,Marseille,Piemont,"256,00",barils,"4,0000000","1024,00","0,00",
95,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Artichaux frais,Marseille,Piemont,"2,00",charges,"16,0000000","16,00","-16,00",erreur de calcul
96,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Anis vert,Marseille,Piemont,"50,00",livres,"0,3000000","15,00","0,00",
97,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Bœuf en vie,Marseille,Piemont,"36,00",en nombre,"50,0000000","1800,00","0,00",
98,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Bled froment,Marseille,Piemont,"1,00",setiers ,"8,0000000","8,00","0,00",
99,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Beurre frais,Marseille,Piemont,"267,00",livres,"0,3000000","80,10","0,00",
100,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Chair salée,Marseille,Piemont,"130,00",livres,"0,1800000","23,50","0,10",
101,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Chocolat,Marseille,Piemont,"2,00",livres,"2,5000000","5,00","0,00",
102,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Confitures,Marseille,Piemont,"50,00",livres,"1,0000000","50,00","0,00",
103,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Chataignes seches,Marseille,Piemont,"11 625,00",livres,"0,0700000","813,75","0,00",
104,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Chataignes fraiches,Marseille,Piemont,"25,00",setiers ,"1,0000000","25,00","0,00",
105,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Carubis,Marseille,Piemont,"300,00",livres,"0,0500000","15,00","0,00",
106,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Citrons,Marseille,Piemont,"7,50",charges,"5,0000000","37,50","0,00",
107,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Esprit de citrons ,Marseille,Piemont,"40,00",livres,"1,0000000","40,00","0,00",
108,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Eau de fleur d'orange,Marseille,Piemont,"170,00",livres,"0,5000000","85,00","0,00",
109,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Fromage,Marseille,Piemont,"2 200,00",livres,"0,1500000","330,00","0,00",
110,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Graisse de boucherie,Marseille,Piemont,"2 775,00",livres,"0,2500000","693,75","0,00",
111,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Huille d'ollive,Marseille,Piemont,"1 960,00",livres,"0,2500000","490,00","0,00",
112,Hasna,CCI Marseille - I 29,Local/Marseille/Archives_de_la_CCI_de_Marseille-I29/Marseille – Imports – 1726.csv,Local,3,1726,Imports,Legumes,Marseille,Piemont,"290,00",livres,"0,1000000","145,00","116,00",erreur de calcul
