numrodeligne,dataentryby,source,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Remarques
184,Hasna,CCI Marseille - I 29,4,1741,Import,Vin muscat,Marseille,Du nord qui comprend les villes hanséatiques et la moscovie,"70,00",milleroles,"40,0000000","2800,00","0,00",
185,Hasna,CCI Marseille - I 29,4,1741,Import,Anchois,Marseille,Espagne,"153 265,00",livres,"0,2000000","30653,00","0,00",
186,Hasna,CCI Marseille - I 29,4,1741,Import,Anis vert,Marseille,Espagne,"174 737,00",livres,"0,2000000","34947,00","-0,40",arrondi
187,Hasna,CCI Marseille - I 29,4,1741,Import,Amandes cassées,Marseille,Espagne,"460 162,00",livres,"0,2000000","92032,00","-0,40",arrondi
188,Hasna,CCI Marseille - I 29,4,1741,Import,Auf,Marseille,Espagne,"1 250,00",livres,"0,1000000","125,00","0,00",
189,Hasna,CCI Marseille - I 29,4,1741,Import,Bled froment,Marseille,Espagne,"105,00",charges,"20,0000000","2100,00","0,00",
190,Hasna,CCI Marseille - I 29,4,1741,Import,Bray sec,Marseille,Espagne,"900,00",livres,"0,0900000","81,00","0,00",
191,Hasna,CCI Marseille - I 29,4,1741,Import,Brun rouge,Marseille,Espagne,"5 400,00",livres,"0,0350000","189,00","0,00",
192,Hasna,CCI Marseille - I 29,4,1741,Import,Baume du perou,Marseille,Espagne,"150,00",livres,"4,0000000","600,00","0,00",
193,Hasna,CCI Marseille - I 29,4,1741,Import,Bas de filoselle,Marseille,Espagne,"180,00",douzaines de paires,"8,0000000","1440,00","0,00",15 bas de filoselle à 8 livres la douzaines de paires
194,Hasna,CCI Marseille - I 29,4,1741,Import,Bas et bonnets de coton,Marseille,Espagne,"200,00",livres,"5,0000000","1000,00","0,00",
195,Hasna,CCI Marseille - I 29,4,1741,Import,Bourre de soye,Marseille,Espagne,"2 232,00",livres,"1,5000000","3348,00","0,00",
196,Hasna,CCI Marseille - I 29,4,1741,Import,Bazannes,Marseille,Espagne,"2 850,00",livres,"1,0000000","2850,00","0,00",
197,Hasna,CCI Marseille - I 29,4,1741,Import,Balaine coupée,Marseille,Espagne,"115,00",livres,"5,0000000","575,00","0,00",
198,Hasna,CCI Marseille - I 29,4,1741,Import,Bois de cedre,Marseille,Espagne,"15,00",pieces,"3,0000000","45,00","0,00",
199,Hasna,CCI Marseille - I 29,4,1741,Import,Bois de gayac,Marseille,Espagne,"2 300,00",livres,"0,1000000","230,00","0,00",
200,Hasna,CCI Marseille - I 29,4,1741,Import,Bois d'olivier,Marseille,Espagne,"409 500,00",livres,"0,0500000","20475,00","0,00",
201,Hasna,CCI Marseille - I 29,4,1741,Import,Bois de Brezil,Marseille,Espagne,"19 030,00",livres,"0,2500000","4757,00","-0,50",arrondi
202,Hasna,CCI Marseille - I 29,4,1741,Import,Bois a bruler,Marseille,Espagne,"246 000,00",livres,"0,0140000","2214,00","-1 230,00",erreur de calcul
203,Hasna,CCI Marseille - I 29,4,1741,Import,Bourdes,Marseille,Espagne,"3 664 600,00",livres,"0,0500000","183230,00","0,00",
204,Hasna,CCI Marseille - I 29,4,1741,Import,Balais de palme,Marseille,Espagne,"1 311,67",douzaines,"0,9000000","1180,00","-0,50",arrondi
205,Hasna,CCI Marseille - I 29,4,1741,Import,Bouchons de liege,Marseille,Espagne,"200,00",livres,"10,0000000","2000,00","0,00",
206,Hasna,CCI Marseille - I 29,4,1741,Import,Cochon salé,Marseille,Espagne,"5 750,00",livres,"0,3000000","1725,00","0,00",
207,Hasna,CCI Marseille - I 29,4,1741,Import,Confitures,Marseille,Espagne,"200,00",livres,"1,0000000","200,00","0,00",
208,Hasna,CCI Marseille - I 29,4,1741,Import,Chataignes,Marseille,Espagne,"10 500,00",livres,"0,0500000","525,00","0,00",
209,Hasna,CCI Marseille - I 29,4,1741,Import,Citrons et limons,Marseille,Espagne,"10,00",milliers,"15,0000000","150,00","0,00",
210,Hasna,CCI Marseille - I 29,4,1741,Import,Chocolat,Marseille,Espagne,"959,00",livres,"3,5000000","3356,00","-0,50",arrondi
211,Hasna,CCI Marseille - I 29,4,1741,Import,Cacao,Marseille,Espagne,"10 637,00",livres,"1,4000000","14891,00","-0,80",arrondi
212,Hasna,CCI Marseille - I 29,4,1741,Import,Cumin,Marseille,Espagne,"19 775,00",livres,"0,1700000","3361,00","-0,75",arrondi
213,Hasna,CCI Marseille - I 29,4,1741,Import,Colequinte,Marseille,Espagne,"1 500,00",livres,"1,4000000","2100,00","0,00",
214,Hasna,CCI Marseille - I 29,4,1741,Import,Cochenille,Marseille,Espagne,"33 410,00",livres,"20,0000000","668200,00","0,00",
215,Hasna,CCI Marseille - I 29,4,1741,Import,Corail brut,Marseille,Espagne,"840,00",livres,"2,0000000","1680,00","0,00",
216,Hasna,CCI Marseille - I 29,4,1741,Import,Chandelle ,Marseille,Espagne,"8 927,00",livres,"0,4500000","4017,00","-0,15",arrondi
217,Hasna,CCI Marseille - I 29,4,1741,Import,Cheveux,Marseille,Espagne,"10,00",livres,"25,0000000","250,00","0,00",
218,Hasna,CCI Marseille - I 29,4,1741,Import,Crin de cheval,Marseille,Espagne,"150,00",livres,"0,5000000","75,00","0,00",
219,Hasna,CCI Marseille - I 29,4,1741,Import,Couvertures de laine,Marseille,Espagne,"30,00",nombre,"10,0000000","300,00","0,00",
220,Hasna,CCI Marseille - I 29,4,1741,Import,Culotes de bours,Marseille,Espagne,"39,00",paires,"2,5000000","97,00","-0,50",arrondi
221,Hasna,CCI Marseille - I 29,4,1741,Import,Cordages de chanvre,Marseille,Espagne,"32 500,00",livres,"0,3000000","9750,00","0,00",
222,Hasna,CCI Marseille - I 29,4,1741,Import,Cordages d'espars,Marseille,Espagne,"1 050,00",douzaines,"10,0000000","10500,00","0,00",
223,Hasna,CCI Marseille - I 29,4,1741,Import,Cuivre ouvré,Marseille,Espagne,"1 000,00",livres,"1,6000000","1600,00","0,00",
224,Hasna,CCI Marseille - I 29,4,1741,Import,Corne de cerf,Marseille,Espagne,"585,00",livres,"0,3000000","175,00","-0,50",arrondi
225,Hasna,CCI Marseille - I 29,4,1741,Import,Cornes de mouton,Marseille,Espagne,"201 250,00",paires,"0,0250000","5031,00","-0,25",arrondi
226,Hasna,CCI Marseille - I 29,4,1741,Import,Cornes de mouton,Marseille,Espagne,"3 600,00",livres,"0,0500000","180,00","0,00",
227,Hasna,CCI Marseille - I 29,4,1741,Import,Cabas de palme petits,Marseille,Espagne,"21,00",caps,"3,0000000","63,00","0,00",
228,Hasna,CCI Marseille - I 29,4,1741,Import,Cabas de palme petits,Marseille,Espagne,"36,00",douzaines,"1,5000000","54,00","0,00",
229,Hasna,CCI Marseille - I 29,4,1741,Import,Canon de fer vieux,Marseille,Espagne,"15 000,00",livres,"0,1200000","1800,00","0,00",
230,Hasna,CCI Marseille - I 29,5,1741,Import,Charbon de terre,Marseille,Espagne,"38,00",mesures,"1,0000000","38,00","0,00",
231,Hasna,CCI Marseille - I 29,5,1741,Import,Drapeaux vieux,Marseille,Espagne,"9 500,00",livres,"0,0900000","855,00","0,00",
232,Hasna,CCI Marseille - I 29,5,1741,Import,Douelles a tonneaux,Marseille,Espagne,"25,00",tonneaux,"7,0000000","175,00","0,00",
233,Hasna,CCI Marseille - I 29,5,1741,Import,Eau de la reyne d'hongrie,Marseille,Espagne,"850,00",livres,"0,7500000","637,00","-0,50",arrondi
234,Hasna,CCI Marseille - I 29,5,1741,Import,Etoffe de soye,Marseille,Espagne,"295,00",livres,"40,0000000","11800,00","0,00",
235,Hasna,CCI Marseille - I 29,5,1741,Import,Estoffes de soye,Marseille,Espagne,"150,00",livres,"1,5000000","225,00","0,00",
236,Hasna,CCI Marseille - I 29,5,1741,Import,Estampes,Marseille,Espagne,"1 125,00",livres,"2,0000000","2250,00","0,00",
237,Hasna,CCI Marseille - I 29,5,1741,Import,Escayolles,Marseille,Espagne,"42 000,00",livres,"0,1000000","4200,00","0,00",
238,Hasna,CCI Marseille - I 29,5,1741,Import,Espars,Marseille,Espagne,"1 587,00",milliers,"45,0000000","71415,00","0,00",
239,Hasna,CCI Marseille - I 29,5,1741,Import,Figues,Marseille,Espagne,"279 490,00",livres,"0,1000000","27949,00","0,00",
240,Hasna,CCI Marseille - I 29,5,1741,Import,Fleurs de mouton,Marseille,Espagne,"6,00",milliers,"12,0000000","72,00","0,00",
241,Hasna,CCI Marseille - I 29,5,1741,Import,Filets d'espars,Marseille,Espagne,"2 073,00",grosses,"4,0000000","8292,00","0,00",
242,Hasna,CCI Marseille - I 29,5,1741,Import,Filets d'espars,Marseille,Espagne,"833,00",milliers,"45,0000000","37485,00","0,00",
243,Hasna,CCI Marseille - I 29,5,1741,Import,Filets pour la peche,Marseille,Espagne,"192,00",nombre,"30,0000000","5760,00","0,00",
244,Hasna,CCI Marseille - I 29,5,1741,Import,Fer en barres,Marseille,Espagne,"72 000,00",livres,"0,1450000","10440,00","0,00",
245,Hasna,CCI Marseille - I 29,5,1741,Import,Fer vieux,Marseille,Espagne,"4 600,00",livres,"0,0750000","345,00","0,00",
246,Hasna,CCI Marseille - I 29,5,1741,Import,Furgons,Marseille,Espagne,"2,00",En nombre,.,"10,00","10,00",2 estimés à 10 livres
247,Hasna,CCI Marseille - I 29,5,1741,Import,Gaudron,Marseille,Espagne,"32 250,00",livres,"0,0900000","2902,00","-0,50",arrondi
248,Hasna,CCI Marseille - I 29,5,1741,Import,Graine de jardin,Marseille,Espagne,"1 100,00",livres,"1,2500000","1375,00","0,00",
249,Hasna,CCI Marseille - I 29,5,1741,Import,Gaudes,Marseille,Espagne,"850,00",livres,"0,0400000","34,00","0,00",
250,Hasna,CCI Marseille - I 29,5,1741,Import,Huile d'olive,Marseille,Espagne,"6 152,00",millerolles,"50,0000000","307600,00","0,00",
251,Hasna,CCI Marseille - I 29,5,1741,Import,Huile d'olive,Marseille,Espagne,"3 481,00",livres,"0,3000000","1044,00","-0,30",arrondi
252,Hasna,CCI Marseille - I 29,5,1741,Import,Huile de poisson,Marseille,Espagne,"19 900,00",livres,"0,2000000","3980,00","0,00",
253,Hasna,CCI Marseille - I 29,5,1741,Import,Herbes d'orseille,Marseille,Espagne,"26 075,00",livres,"0,7500000","19556,00","-0,25",arrondi
254,Hasna,CCI Marseille - I 29,5,1741,Import,Jus de citron,Marseille,Espagne,"1 150,00",livres,"0,0600000","69,00","0,00",
255,Hasna,CCI Marseille - I 29,5,1741,Import,Jalap,Marseille,Espagne,"33 030,00",livres,"2,5000000","82575,00","0,00",
256,Hasna,CCI Marseille - I 29,5,1741,Import,Laine de segovie,Marseille,Espagne,"131 424,00",livres,"1,5000000","197136,00","0,00",
257,Hasna,CCI Marseille - I 29,5,1741,Import,Laine surge,Marseille,Espagne,"1 268 250,00",livres,"0,5000000","634125,00","0,00",
258,Hasna,CCI Marseille - I 29,5,1741,Import,Laine d'agnelin,Marseille,Espagne,"35 050,00",livres,"0,7000000","24535,00","0,00",
259,Hasna,CCI Marseille - I 29,5,1741,Import,Laine lavée,Marseille,Espagne,"14 260,00",livres,"1,1000000","15686,00","0,00",
260,Hasna,CCI Marseille - I 29,5,1741,Import,Librairie,Marseille,Espagne,"5 475,00",livres,"2,2500000","12318,00","-0,75",arrondi
261,Hasna,CCI Marseille - I 29,5,1741,Import,Liege en planches,Marseille,Espagne,"127 100,00",livres,"0,1250000","15887,00","-0,50",arrondi
262,Hasna,CCI Marseille - I 29,5,1741,Import,Maquet,Marseille,Espagne,"31,00",barrils,"0,7500000","23,00","-0,25",arrondi
263,Hasna,CCI Marseille - I 29,5,1741,Import,Miel,Marseille,Espagne,"2 900,00",livres,"0,1300000","377,00","0,00",
264,Hasna,CCI Marseille - I 29,5,1741,Import,Mouchoirs de soye,Marseille,Espagne,"1 468,00",douzaines,"24,0000000","35232,00","0,00",
265,Hasna,CCI Marseille - I 29,5,1741,Import,Marbre en pierre,Marseille,Espagne,"57 800,00",livres,"0,0275000","1589,00","-0,50",arrondi
266,Hasna,CCI Marseille - I 29,5,1741,Import,Meules de moulin,Marseille,Espagne,"5,00",nombre,"60,0000000","300,00","0,00",
267,Hasna,CCI Marseille - I 29,5,1741,Import,Meölons de briques,Marseille,Espagne,"300,00",nombre,"0,1400000","42,00","0,00", 300 en nombre à 14 livres le cent
268,Hasna,CCI Marseille - I 29,5,1741,Import,Noisettes,Marseille,Espagne,"9 475,00",livres,"0,1000000","947,00","-0,50",arrondi
269,Hasna,CCI Marseille - I 29,5,1741,Import,Nattes d'Espars,Marseille,Espagne,"100,00",nombre,"1,0000000","100,00","0,00",
270,Hasna,CCI Marseille - I 29,5,1741,Import,Oranges,Marseille,Espagne,"8,00",milliers,"15,0000000","120,00","0,00",
271,Hasna,CCI Marseille - I 29,5,1741,Import,Os deseché,Marseille,Espagne,"105,00",livres,"0,5000000","52,00","-0,50",arrondi
272,Hasna,CCI Marseille - I 29,5,1741,Import,Poisson salé,Marseille,Espagne,"900,00",livres,"0,2000000","180,00","0,00",
273,Hasna,CCI Marseille - I 29,5,1741,Import,Pignons,Marseille,Espagne,"2 400,00",livres,"0,2000000","480,00","0,00",
274,Hasna,CCI Marseille - I 29,5,1741,Import,Poil de chevre,Marseille,Espagne,"675,00",livres,"3,0000000","2025,00","0,00",
275,Hasna,CCI Marseille - I 29,5,1741,Import,Poil de lapin,Marseille,Espagne,"4 658,00",livres,"4,0000000","18632,00","0,00",
276,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de lapin,Marseille,Espagne,"1 400,00",livres,"2,5000000","3500,00","0,00",
277,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de lievre,Marseille,Espagne,"939,00",livres,"3,5000000","3286,00","-0,50",arrondi
278,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de chagrin,Marseille,Espagne,"200,00",nombre,"1,5000000","300,00","0,00",
279,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de marroquin,Marseille,Espagne,"3 030,00",livres,"1,5000000","4545,00","0,00",
280,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de mouton en laine,Marseille,Espagne,"300,00",livres,"0,7500000","225,00","0,00",
281,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de chevre en poil,Marseille,Espagne,"600,00",livres,"1,0000000","600,00","0,00",
282,Hasna,CCI Marseille - I 29,5,1741,Import,Peaux de veau en poil,Marseille,Espagne,"43 994,00",livres,"0,5000000","21997,00","0,00",
283,Hasna,CCI Marseille - I 29,5,1741,Import,Papier,Marseille,Espagne,"1 000,00",livres,"0,4000000","400,00","0,00",
284,Hasna,CCI Marseille - I 29,5,1741,Import,Plomb en saumon,Marseille,Espagne,"69 000,00",livres,"0,2000000","13800,00","0,00",
285,Hasna,CCI Marseille - I 29,5,1741,Import,Planches de sapin,Marseille,Espagne,"254,00",douzaines,"9,0000000","2286,00","0,00",
286,Hasna,CCI Marseille - I 29,5,1741,Import,Quinquina,Marseille,Espagne,"694,00",livres,"4,0000000","2776,00","0,00",
287,Hasna,CCI Marseille - I 29,5,1741,Import,Raisins sec,Marseille,Espagne,"2 251 820,00",livres,"0,1000000","225182,00","0,00",
288,Hasna,CCI Marseille - I 29,5,1741,Import,Reglisse,Marseille,Espagne,"15 985,00",livres,"0,0500000","799,00","-0,25",
289,Hasna,CCI Marseille - I 29,5,1741,Import,Sardines salées,Marseille,Espagne,"211 425,00",livres,"0,5000000","105712,00","-0,50",
290,Hasna,CCI Marseille - I 29,5,1741,Import,Stocfiche,Marseille,Espagne,"23 600,00",livres,"0,1500000","3540,00","0,00",
291,Hasna,CCI Marseille - I 29,5,1741,Import,Saffran,Marseille,Espagne,"650,00",livres,"15,0000000","9750,00","0,00",
292,Hasna,CCI Marseille - I 29,5,1741,Import,Saumure,Marseille,Espagne,"36 575,00",livres,"0,1000000","3657,00","-0,50",
293,Hasna,CCI Marseille - I 29,5,1741,Import,Sel purgatif,Marseille,Espagne,"2 000,00",livres,"0,6000000","1200,00","0,00",
294,Hasna,CCI Marseille - I 29,5,1741,Import,Salicor,Marseille,Espagne,"11 500,00",livres,"0,0500000","575,00","0,00",
295,Hasna,CCI Marseille - I 29,5,1741,Import,Salsepareille,Marseille,Espagne,"1 050,00",livres,"0,9000000","945,00","0,00",
296,Hasna,CCI Marseille - I 29,5,1741,Import,Suif,Marseille,Espagne,"18 950,00",livres,"0,4000000","7580,00","0,00",
297,Hasna,CCI Marseille - I 29,5,1741,Import,Soye crüe,Marseille,Espagne,"347 595,00",livres,"12,0000000","4171140,00","0,00",
298,Hasna,CCI Marseille - I 29,5,1741,Import,Souliers,Marseille,Espagne,"72,00",paires,"3,5000000","852,00","600,00",erreur de calcul ou copie
299,Hasna,CCI Marseille - I 29,5,1741,Import,Soude,Marseille,Espagne,"5 344 875,00",livres,"0,0500000","267243,00","-0,75",
300,Hasna,CCI Marseille - I 29,5,1741,Import,Thé,Marseille,Espagne,"120,00",livres,"5,0000000","600,00","0,00",
301,Hasna,CCI Marseille - I 29,5,1741,Import,Tabac en poudre,Marseille,Espagne,"50,00",livres,"10,0000000","500,00","0,00",
302,Hasna,CCI Marseille - I 29,5,1741,Import,Tabac en feuilles,Marseille,Espagne,"325,00",livres,"0,2000000","65,00","0,00",
303,Hasna,CCI Marseille - I 29,5,1741,Import,Toille blanche fine,Marseille,Espagne,"5 900,00",livres,"6,0000000","35400,00","0,00",
304,Hasna,CCI Marseille - I 29,5,1741,Import,Toille d'alemagne,Marseille,Espagne,"5 000,00",livres,"6,0000000","30000,00","0,00",
305,Hasna,CCI Marseille - I 29,5,1741,Import,Toille a voile,Marseille,Espagne,"65,00",pieces,"25,0000000","1625,00","0,00",
306,Hasna,CCI Marseille - I 29,5,1741,Import,Toille d'embalage,Marseille,Espagne,"2 000,00",livres,"1,0000000","2000,00","0,00",
307,Hasna,CCI Marseille - I 29,5,1741,Import,Toille de crin,Marseille,Espagne,"100,00",livres,"5,0000000","500,00","0,00",
308,Hasna,CCI Marseille - I 29,6,1741,Import,Tableaux communs,Marseille,Espagne,"125,00",livres,"20,0000000","2500,00","0,00",
309,Hasna,CCI Marseille - I 29,6,1741,Import,Thuiles,Marseille,Espagne,"6,00",milliers,"25,0000000","150,00","0,00",
310,Hasna,CCI Marseille - I 29,6,1741,Import,Vin d'Espagne,Marseille,Espagne,"383,00",millerolles,"40,0000000","15320,00","0,00",
311,Hasna,CCI Marseille - I 29,6,1741,Import,Vin de Xeres,Marseille,Espagne,"60,00",millerolles,"100,0000000","6000,00","0,00",
312,Hasna,CCI Marseille - I 29,6,1741,Import,Vin muscat,Marseille,Espagne,"64,00",millerolles,"40,0000000","2560,00","0,00",
313,Hasna,CCI Marseille - I 29,6,1741,Import,Vin tinto,Marseille,Espagne,"658,00",millerolles,"65,0000000","42770,00","0,00",
314,Hasna,CCI Marseille - I 29,6,1741,Import,Vin rouge,Marseille,Espagne,"12,00",millerolles,"8,0000000","96,00","0,00",
315,Hasna,CCI Marseille - I 29,6,1741,Import,Vin blanc,Marseille,Espagne,"16,00",millerolles,"60,0000000","960,00","0,00",
316,Hasna,CCI Marseille - I 29,6,1741,Import,Vanille,Marseille,Espagne,"2 000,00",livres,"100,0000000","200000,00","0,00",
317,Hasna,CCI Marseille - I 29,6,1741,Import,Vermillon,Marseille,Espagne,"2 869,00",livres,"5,0000000","14345,00","0,00",
318,Hasna,CCI Marseille - I 29,6,1741,Import,Verdet,Marseille,Espagne,"390,00",livres,"0,8000000","312,00","0,00",
319,Hasna,CCI Marseille - I 29,6,1741,Import,Velours,Marseille,Espagne,"6,00",pieces,"300,0000000","1800,00","0,00",
320,Hasna,CCI Marseille - I 29,6,1741,Import,Anchois,Marseille,Savoye et Piemont,"256,50",barrils,"10,0000000","2565,00","0,00",
321,Hasna,CCI Marseille - I 29,6,1741,Import,Anchois,Marseille,Savoye et Piemont,"540,00",livres,"0,5000000","270,00","0,00",
322,Hasna,CCI Marseille - I 29,6,1741,Import,Amandes a la perline,Marseille,Savoye et Piemont,"25,00",livres,"1,0000000","25,00","0,00",
323,Hasna,CCI Marseille - I 29,6,1741,Import,Arquifou,Marseille,Savoye et Piemont,"3 498,00",livres,"0,1500000","524,00","-0,70",
324,Hasna,CCI Marseille - I 29,6,1741,Import,Beurre,Marseille,Savoye et Piemont,"420,00",livres,"0,2500000","105,00","0,00",
325,Hasna,CCI Marseille - I 29,6,1741,Import,Bas d'Estame,Marseille,Savoye et Piemont,"12,00",paires,"2,0000000","24,00","0,00",
326,Hasna,CCI Marseille - I 29,6,1741,Import,Bas de coton pour hommes,Marseille,Savoye et Piemont,"145,00",paires,"3,0000000","435,00","0,00",
327,Hasna,CCI Marseille - I 29,6,1741,Import,Bas de coton pour femmes,Marseille,Savoye et Piemont,"12,00",paires,"1,5000000","18,00","0,00",
328,Hasna,CCI Marseille - I 29,6,1741,Import,Bourre de bœuf,Marseille,Savoye et Piemont,"450,00",livres,"0,1000000","45,00","0,00",
329,Hasna,CCI Marseille - I 29,6,1741,Import,Barrils vuides,Marseille,Savoye et Piemont,"96,00",En nombre,"1,5000000","144,00","0,00",
330,Hasna,CCI Marseille - I 29,6,1741,Import,Billons de sapin,Marseille,Savoye et Piemont,"72,00",douzaines,"27,0000000","1944,00","0,00",
331,Hasna,CCI Marseille - I 29,6,1741,Import,Bois de sapin,Marseille,Savoye et Piemont,"469,00",pieces,"4,0000000","1876,00","0,00",
332,Hasna,CCI Marseille - I 29,6,1741,Import,Confitures,Marseille,Savoye et Piemont,"200,00",livres,"0,7500000","150,00","0,00",
333,Hasna,CCI Marseille - I 29,6,1741,Import,Citrons  ,Marseille,Savoye et Piemont,"65,00",charges,"10,0000000","650,00","0,00",
334,Hasna,CCI Marseille - I 29,6,1741,Import,Citrons  ,Marseille,Savoye et Piemont,"300,00",En nombre,"0,0150000","4,00","-0,50",
335,Hasna,CCI Marseille - I 29,6,1741,Import,Chataignes biscotes,Marseille,Savoye et Piemont,"500,00",livres,"0,1000000","50,00","0,00",
336,Hasna,CCI Marseille - I 29,6,1741,Import,Chataignes seches,Marseille,Savoye et Piemont,"4 225,00",livres,"0,0500000","211,00","-0,25",
337,Hasna,CCI Marseille - I 29,6,1741,Import,Chocolat,Marseille,Savoye et Piemont,"20,00",livres,"3,0000000","60,00","0,00",
338,Hasna,CCI Marseille - I 29,6,1741,Import,Carrubis,Marseille,Savoye et Piemont,"2 430,00",livres,"0,0500000","121,00","-0,50",
339,Hasna,CCI Marseille - I 29,6,1741,Import,Chandelles,Marseille,Savoye et Piemont,"752,00",livres,"0,4500000","338,00","-0,40",
340,Hasna,CCI Marseille - I 29,6,1741,Import,Chemises vieilles,Marseille,Savoye et Piemont,"2,50",douzaines,"20,0000000","50,00","0,00",
341,Hasna,CCI Marseille - I 29,6,1741,Import,Cheveux communs,Marseille,Savoye et Piemont,"7,00",livres,"25,0000000","175,00","0,00",
342,Hasna,CCI Marseille - I 29,6,1741,Import,Coton filé,Marseille,Savoye et Piemont,"234,00",livres,"1,0000000","234,00","0,00",
343,Hasna,CCI Marseille - I 29,6,1741,Import,Chanvre peigné,Marseille,Savoye et Piemont,"933,00",livres,"0,5000000","466,00","-0,50",
344,Hasna,CCI Marseille - I 29,6,1741,Import,Chanvre battu,Marseille,Savoye et Piemont,"138 561,00",livres,"0,2000000","27712,00","-0,20",
345,Hasna,CCI Marseille - I 29,6,1741,Import,Chanvre cru,Marseille,Savoye et Piemont,"42 025,00",livres,"0,1800000","7564,00","-0,50",
346,Hasna,CCI Marseille - I 29,6,1741,Import,Cordages de chanvre,Marseille,Savoye et Piemont,"184,00",livres,"0,3000000","55,00","-0,20",
347,Hasna,CCI Marseille - I 29,6,1741,Import,Couvertures de laine,Marseille,Savoye et Piemont,"7,00",En nombre,"10,0000000","70,00","0,00",
348,Hasna,CCI Marseille - I 29,6,1741,Import,Cordeillat,Marseille,Savoye et Piemont,"6,00",canes,"2,4000000","14,00","-0,40",
349,Hasna,CCI Marseille - I 29,6,1741,Import,Cuivre neuf,Marseille,Savoye et Piemont,"100,00",livres,"1,5000000","150,00","0,00",
350,Hasna,CCI Marseille - I 29,6,1741,Import,Cuivre vieux,Marseille,Savoye et Piemont,"665,00",livres,"0,8000000","532,00","0,00",
351,Hasna,CCI Marseille - I 29,6,1741,Import,Cloux de fer,Marseille,Savoye et Piemont,"45,00",livres,"0,2000000","9,00","0,00",
352,Hasna,CCI Marseille - I 29,6,1741,Import,Couffins petits,Marseille,Savoye et Piemont,"4,00",douzaines,"2,0000000","8,00","0,00",
353,Hasna,CCI Marseille - I 29,6,1741,Import,Cercles a tonneaux,Marseille,Savoye et Piemont,"37,00",faix,"1,5000000","55,00","-0,50",
354,Hasna,CCI Marseille - I 29,6,1741,Import,Cercles a barrils,Marseille,Savoye et Piemont,"500,00",En nombre,"0,0250000","12,00","-0,50",
355,Hasna,CCI Marseille - I 29,6,1741,Import,Chevron de sapins,Marseille,Savoye et Piemont,"105,00",En nombre,"0,5000000","52,00","-0,50",
356,Hasna,CCI Marseille - I 29,6,1741,Import,Doüelles a tonneaux,Marseille,Savoye et Piemont,"2,00",canelles,"10,0000000","20,00","0,00",
357,Hasna,CCI Marseille - I 29,6,1741,Import,Eau de santeur,Marseille,Savoye et Piemont,"461,00",livres,"0,5000000","230,00","-0,50",
358,Hasna,CCI Marseille - I 29,6,1741,Import,Fruits secs,Marseille,Savoye et Piemont,"50,00",livres,"0,1000000","5,00","0,00",
359,Hasna,CCI Marseille - I 29,6,1741,Import,Fromages,Marseille,Savoye et Piemont,"12 126,00",livres,"0,2000000","2425,00","-0,20",
360,Hasna,CCI Marseille - I 29,6,1741,Import,Fil grossiers,Marseille,Savoye et Piemont,"129,00",livres,"0,5000000","64,00","-0,50",
361,Hasna,CCI Marseille - I 29,6,1741,Import,Filets pour la peche,Marseille,Savoye et Piemont,"12,00",livres,"1,0000000","12,00","0,00",
362,Hasna,CCI Marseille - I 29,6,1741,Import,Fer blanc,Marseille,Savoye et Piemont,"40,00",feuilles,"0,3000000","12,00","0,00",
363,Hasna,CCI Marseille - I 29,6,1741,Import,Fer ouvré,Marseille,Savoye et Piemont,"789,00",livres,"0,2000000","157,00","-0,80",
364,Hasna,CCI Marseille - I 29,6,1741,Import,Fer en barres,Marseille,Savoye et Piemont,"2 025,00",livres,"0,1450000","293,00","-0,63",
365,Hasna,CCI Marseille - I 29,6,1741,Import,Fer vieux,Marseille,Savoye et Piemont,"75,00",livres,"7,5000000","562,00","-0,50",
366,Hasna,CCI Marseille - I 29,6,1741,Import,Graisse de boucherie,Marseille,Savoye et Piemont,"3 600,00",livres,"0,3000000","1080,00","0,00",
367,Hasna,CCI Marseille - I 29,6,1741,Import,Graine de chanvre,Marseille,Savoye et Piemont,"10 700,00",livres,"0,0500000","535,00","0,00",
368,Hasna,CCI Marseille - I 29,6,1741,Import,Graine d'esparceil ,Marseille,Savoye et Piemont,"200,00",livres,"0,2500000","50,00","0,00",
369,Hasna,CCI Marseille - I 29,6,1741,Import,Herbages,Marseille,Savoye et Piemont,"18,50",charges,"2,5000000","47,00","0,75",
370,Hasna,CCI Marseille - I 29,6,1741,Import,Huile d'olive,Marseille,Savoye et Piemont,"91 860,00",livres,"0,3000000","27558,00","0,00",
371,Hasna,CCI Marseille - I 29,6,1741,Import,Huile de santeur,Marseille,Savoye et Piemont,"340,00",livres,"1,0000000","340,00","0,00",
372,Hasna,CCI Marseille - I 29,6,1741,Import,Huile de poisson ,Marseille,Savoye et Piemont,"50,00",livres,"0,2000000","10,00","0,00",
373,Hasna,CCI Marseille - I 29,6,1741,Import,Liqueurs a boire,Marseille,Savoye et Piemont,"3 293,00",barrils,"0,4000000","1317,00","-0,20",
